"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,WO,A1,WO 2013/078334 A1,066-127-076-037-823,2013-05-30,2013,US 2012/0066287 W,2012-11-21,US 201113303407 A,2011-11-23,SYSTEM FOR COLLECTING AND PROCESSING BONE MARROW,"Methods and systems for collecting and processing bone marrow in a closed system are provided. The systems and methods include the use of a bone marrow aspiration needle and guide configured to puncture cortical bone. Tube assembly is in fluid flow communication with the bone marrow aspiration needle. A first syringe is in fluid flow communication with the tube assembly and the bone aspiration. A bone marrow aspirate collection container in fluid flow communication with the first syringe and the tube assembly. A second syringe is connected to the collection container, a bone marrow aspirate filter in fluid flow communication with the tube assembly to filter bone marrow aspirate from the first syringe into the collection container. At least one flow controller is configured to direct the flow of bone marrow aspirate between the aspiration needle, the first syringe and the collection container.",HARVEST TECHNOLOGIES INC,AZIMPOOR ALI FAGHANI;;BLASETTI LOU;;KIBBE MARK,,https://lens.org/066-127-076-037-823,Patent Application,yes,6,0,5,5,0,A61B10/0096;;A61B10/025;;A61B10/0283;;A61B2010/0258;;A61B10/0096;;A61B2010/0258;;A61B10/025;;A61B10/0283,A61M1/00;;A61J1/10;;A61M5/32;;A61M39/22,,1,0,,,See also references of EP 2782617A4,PENDING
2,US,A1,US 2013/0131546 A1,102-978-339-678-868,2013-05-23,2013,US 201113303407 A,2011-11-23,US 201113303407 A,2011-11-23,SYSTEM FOR COLLECTING AND PROCESSING BONE MARROW,"Methods and systems for collecting and processing bone marrow in a closed system are provided. The systems and methods include the use of a bone marrow aspiration needle and guide configured to puncture cortical bone. Tube assembly is in fluid flow communication with the bone marrow aspiration needle. A first syringe is in fluid flow communication with the tube assembly and the bone aspiration. A bone marrow aspirate collection container in fluid flow communication with the first syringe and the tube assembly. A second syringe is connected to the collection container, a bone marrow aspirate filter in fluid flow communication with the tube assembly to filter bone marrow aspirate from the first syringe into the collection container. At least one flow controller is configured to direct the flow of bone marrow aspirate between the aspiration needle, the first syringe and the collection container.",AZIMPOOR ALI FAGHANI;;BLASETTI LOU;;KIBBE MARK;;HARVEST TECHNOLOGIES CORP,AZIMPOOR ALI FAGHANI;;BLASETTI LOU;;KIBBE MARK,HARVEST TECHNOLOGIES CORPORATION (2011-11-14),https://lens.org/102-978-339-678-868,Patent Application,yes,3,7,5,5,0,A61B10/0096;;A61B10/025;;A61B10/0283;;A61B2010/0258;;A61B10/0096;;A61B2010/0258;;A61B10/025;;A61B10/0283,A61B10/02,600/566,0,0,,,,DISCONTINUED
3,EP,A4,EP 2782617 A4,166-759-180-670-881,2015-04-22,2015,EP 12851966 A,2012-11-21,US 201113303407 A;;US 2012/0066287 W,2011-11-23,SYSTEM FOR COLLECTING AND PROCESSING BONE MARROW,,HARVEST TECHNOLOGIES INC,AZIMPOOR ALI FAGHANI;;BLASETTI LOU;;KIBBE MARK,"HARVEST TECHNOLOGIES, INC. (2014-10-08)",https://lens.org/166-759-180-670-881,Search Report,no,5,0,5,5,0,A61B10/0096;;A61B10/025;;A61B10/0283;;A61B2010/0258;;A61B10/0096;;A61B2010/0258;;A61B10/025;;A61B10/0283,A61M1/00;;A61J1/10;;A61M5/32;;A61M39/22,,1,0,,,See also references of WO 2013078334A1,DISCONTINUED
4,EP,A1,EP 2782617 A1,057-559-422-999-914,2014-10-01,2014,EP 12851966 A,2012-11-21,US 201113303407 A;;US 2012/0066287 W,2011-11-23,SYSTEM FOR COLLECTING AND PROCESSING BONE MARROW,,HARVEST TECHNOLOGIES CORP,AZIMPOOR ALI FAGHANI;;BLASETTI LOU;;KIBBE MARK,"HARVEST TECHNOLOGIES, INC. (2014-10-08)",https://lens.org/057-559-422-999-914,Patent Application,yes,0,0,5,5,0,A61B10/0096;;A61B10/025;;A61B10/0283;;A61B2010/0258;;A61B10/0096;;A61B2010/0258;;A61B10/025;;A61B10/0283,A61M1/00;;A61J1/10;;A61M5/32;;A61M39/22,,0,0,,,,DISCONTINUED
5,EP,B1,EP 2782616 B1,191-384-929-639-914,2017-07-19,2017,EP 12850950 A,2012-11-21,US 201113303345 A;;US 2012/0066275 W,2011-11-23,BONE MARROW ASPIRATION DEVICE AND NEEDLE,,HARVEST TECH CORP,AZIMPOOR ALI FAGHANI;;BLASETTI LOU;;KIBBE MARK;;HART RUSSELL,"HARVEST TECHNOLOGIES CORP., LAKEWOOD, US (2018-02-14);;HARVEST TECHNOLOGIES CORPORATION (2017-08-16);;HARVEST TECHNOLOGIES, INC. (2016-11-16)",https://lens.org/191-384-929-639-914,Granted Patent,yes,9,0,9,9,0,A61B2010/0258;;A61B2090/034;;Y10T29/49826;;A61B10/025;;Y10T29/49826;;A61B2010/0258;;A61B2090/034;;A61B10/025,A61M1/00;;A61J1/10;;A61M5/32;;A61M39/08,,0,0,,,,ACTIVE
6,US,A1,US 2013/0131545 A1,014-643-730-772-617,2013-05-23,2013,US 201113303345 A,2011-11-23,US 201113303345 A,2011-11-23,BONE MARROW ASPIRATION DEVICE AND NEEDLE,Devices for extracting bone marrow from a bone of a patient are disclosed. The device includes a housing defined in part by a cannula and a hollow needle disposed within the cannula. The hollow needle is movable axially relative to the cannula and extendable therefrom. The hollow needle is configured to aspirate bone marrow within a bone. A depth adjustment mechanism coupled to the hollow needle and the cannula is used to adjust the depth of the hollow needle relative to the cannula to control the distance of the needle within the bone. The device is attachable to an extraction device to extract bone marrow from the patient through the hollow needle. Methods of using these devices and methods of extracting bone marrow are also included.,AZIMPOOR ALI FAGHANI;;BLASETTI LOU;;KIBBE MARK;;HART RUSSELL;;HARVEST TECHNOLOGIES CORP,AZIMPOOR ALI FAGHANI;;BLASETTI LOU;;KIBBE MARK;;HART RUSSELL,HARVEST BIOLOGICS LLC (2022-10-11);;HARVEST TECHNOLOGIES CORPORATION (2011-11-14);;GLOBUS MEDICAL INC (2022-11-01),https://lens.org/014-643-730-772-617,Patent Application,yes,6,37,9,9,0,A61B2010/0258;;A61B2090/034;;Y10T29/49826;;A61B10/025;;Y10T29/49826;;A61B2010/0258;;A61B2090/034;;A61B10/025,B23P17/04;;A61B10/02,600/566;;29/428,0,0,,,,ACTIVE
7,EP,A1,EP 2782616 A1,044-639-046-125-233,2014-10-01,2014,EP 12850950 A,2012-11-21,US 201113303345 A;;US 2012/0066275 W,2011-11-23,BONE MARROW ASPIRATION DEVICE AND NEEDLE,,HARVEST TECHNOLOGIES CORP,AZIMPOOR ALI FAGHANI;;BLASETTI LOU;;KIBBE MARK;;HART RUSSELL,"HARVEST TECHNOLOGIES CORP., LAKEWOOD, US (2018-02-14);;HARVEST TECHNOLOGIES CORPORATION (2017-08-16);;HARVEST TECHNOLOGIES, INC. (2016-11-16)",https://lens.org/044-639-046-125-233,Patent Application,yes,0,0,9,9,0,A61B2010/0258;;A61B2090/034;;Y10T29/49826;;A61B10/025;;Y10T29/49826;;A61B2010/0258;;A61B2090/034;;A61B10/025,A61M1/00;;A61J1/10;;A61M5/32;;A61M39/08,,0,0,,,,ACTIVE
8,EP,B8,EP 2782616 B8,027-035-935-044-464,2017-08-30,2017,EP 12850950 A,2012-11-21,US 201113303345 A;;US 2012/0066275 W,2011-11-23,BONE MARROW ASPIRATION DEVICE AND NEEDLE,,HARVEST TECH CORP,AZIMPOOR ALI FAGHANI;;BLASETTI LOU;;KIBBE MARK;;HART RUSSELL,"HARVEST TECHNOLOGIES CORP., LAKEWOOD, US (2018-02-14);;HARVEST TECHNOLOGIES CORPORATION (2017-08-16);;HARVEST TECHNOLOGIES, INC. (2016-11-16)",https://lens.org/027-035-935-044-464,Amended Patent,yes,9,0,9,9,0,A61B2010/0258;;A61B2090/034;;Y10T29/49826;;A61B10/025;;Y10T29/49826;;A61B2010/0258;;A61B2090/034;;A61B10/025,A61M1/00;;A61J1/10;;A61M5/32;;A61M39/08,,0,0,,,,ACTIVE
9,US,B2,US 9226732 B2,089-349-210-224-59X,2016-01-05,2016,US 201113303345 A,2011-11-23,US 201113303345 A,2011-11-23,Bone marrow aspiration device and needle,Devices for extracting bone marrow from a bone of a patient are disclosed. The device includes a housing defined in part by a cannula and a hollow needle disposed within the cannula. The hollow needle is movable axially relative to the cannula and extendable therefrom. The hollow needle is configured to aspirate bone marrow within a bone. A depth adjustment mechanism coupled to the hollow needle and the cannula is used to adjust the depth of the hollow needle relative to the cannula to control the distance of the needle within the bone. The device is attachable to an extraction device to extract bone marrow from the patient through the hollow needle. Methods of using these devices and methods of extracting bone marrow are also included.,AZIMPOOR ALI FAGHANI;;BLASETTI LOU;;KIBBE MARK;;HART RUSSELL;;HARVEST TECHNOLOGIES CORP,AZIMPOOR ALI FAGHANI;;BLASETTI LOU;;KIBBE MARK;;HART RUSSELL,HARVEST BIOLOGICS LLC (2022-10-11);;HARVEST TECHNOLOGIES CORPORATION (2011-11-14);;GLOBUS MEDICAL INC (2022-11-01),https://lens.org/089-349-210-224-59X,Granted Patent,yes,23,12,9,9,0,A61B2010/0258;;A61B2090/034;;Y10T29/49826;;A61B10/025;;Y10T29/49826;;A61B2010/0258;;A61B2090/034;;A61B10/025,A61B10/02,,2,0,,,"Written Opinion and International Search Report Dated Apr. 1, 2013 for PCT/US2012/066275.;;European Search Report for corresponding European Application 12850950.2, mailed on Apr. 24, 2015.",ACTIVE
10,WO,A1,WO 2013/078326 A1,139-231-553-247-935,2013-05-30,2013,US 2012/0066275 W,2012-11-21,US 201113303345 A,2011-11-23,BONE MARROW ASPIRATION DEVICE AND NEEDLE,Devices for extracting bone marrow from a bone of a patient are disclosed. The device includes a housing defined in part by a cannula and a hollow needle disposed within the cannula. The hollow needle is movable axially relative to the cannula and extendable therefrom. The hollow needle is configured to aspirate bone marrow within a bone. A depth adjustment mechanism coupled to the hollow needle and the cannula is used to adjust the depth of the hollow needle relative to the cannula to control the distance of the needle within the bone. The device is attachable to an extraction device to extract bone marrow from the patient through the hollow needle. Methods of using these devices and methods of extracting bone marrow are also included.,HARVEST TECHNOLOGIES INC,AZIMPOOR ALI FAGHANI;;BLASETTI LOU;;KIBBE MARK;;HART RUSSELL,,https://lens.org/139-231-553-247-935,Patent Application,yes,6,0,9,9,0,A61B2010/0258;;A61B2090/034;;Y10T29/49826;;A61B10/025;;Y10T29/49826;;A61B2010/0258;;A61B2090/034;;A61B10/025,A61M1/00;;A61J1/10;;A61M5/32;;A61M39/08,,0,0,,,,PENDING
