"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A1,US 2014/0277496 A1,028-374-998-608-450,2014-09-18,2014,US 201414165094 A,2014-01-27,US 201414165094 A;;US 201361788042 P,2013-03-15,EXPANDABLE DEVICE FOR IMPLANTATION IN BODY SPACE,"An expandable device for implantation in a body space, including an outer frame, and an inner frame slidably engaged with the outer frame. The inner frame includes a tapered wall surface. A ratchet is provided for maintaining an expansion state of the device after moving the inner frame relatively away from the outer frame so as to increase an overall size of the device, while the inner frame maintains engagement with the outer frame. The inner frame is configured to expand with respect to the outer frame in a direction perpendicular to a direction of insertion of the device into the body space.",AMMERMAN JOSHUA,AMMERMAN JOSHUA,,https://lens.org/028-374-998-608-450,Patent Application,yes,5,3,1,1,0,A61F2/4455;;A61F2/447;;A61F2002/30156;;A61F2002/30172;;A61F2002/30266;;A61F2002/30383;;A61F2002/305;;A61F2002/3055;;A61F2002/30561;;A61F2002/30579;;A61F2/4611;;A61F2/4611;;A61F2/447;;A61F2002/30156;;A61F2002/30579;;A61F2002/30266;;A61F2002/30561;;A61F2002/30383;;A61F2002/305;;A61F2002/30172;;A61F2/4455;;A61F2002/3055,A61F2/46;;A61F2/44,623/17.16,0,0,,,,DISCONTINUED
2,US,A1,US 2013/0072978 A1,015-638-641-719-419,2013-03-21,2013,US 201113234413 A,2011-09-16,US 201113234413 A,2011-09-16,VERTEBRAL BODY REPLACEMENT AND CERVICAL PLATE CONSTRUCTION,A vertebral body replacement (VBR) and cervical plate apparatus for securing the VBR in a desired position in a space between superior and inferior vertebral bodies. The VBR has a predrilled opening in a center portion of its anterior face that is constructed to receive therein a first attachment device. The cervical plate has holes in the upper and lower portions thereof that are constructed to receive second attachment devices for securing the cervical plate to the superior and inferior vertebral bodies in a desired position. The cervical plate has an elongated slot in a central portion thereof that is constructed to receive therethrough in movable relation the first attachment device which is receivable in the predrilled opening in the VBR for securing the cervical plate thereto.,AMMERMAN JOSHUA M;;AMMERMAN MATTHEW D,AMMERMAN JOSHUA M;;AMMERMAN MATTHEW D,,https://lens.org/015-638-641-719-419,Patent Application,yes,1,7,2,2,0,A61F2/30749;;A61F2/442;;A61F2/4455;;A61F2002/30431;;A61F2002/30433;;A61F2002/30576;;A61F2002/30578;;A61F2002/30594;;A61B17/7059;;A61F2002/30507;;A61F2002/30331;;A61F2/30749;;A61F2002/30431;;A61B17/7059;;A61F2002/30433;;A61F2002/30594;;A61F2/442;;A61F2002/30576;;A61F2/4455;;A61F2002/30578;;A61F2002/30331;;A61F2002/30507,A61F2/44;;A61B17/70,606/246;;623/17.11,0,0,,,,DISCONTINUED
3,WO,A1,WO 2013/039628 A1,010-487-844-591-075,2013-03-21,2013,US 2012/0050514 W,2012-08-13,US 201113234413 A,2011-09-16,VERTEBRAL BODY REPLACEMENT AND CERVICAL PLATE CONSTRUCTION,A vertebral body replacement (VBR) and cervical plate apparatus for securing the VBR in a desired position in a space between superior and inferior vertebral bodies. The VBR has a predrilled opening in a center portion of its anterior face that is constructed to receive therein a first attachment device. The cervical plate has holes in the upper and lower portions thereof that are constructed to receive second attachment devices for securing the cervical plate to the superior and inferior vertebral bodies in a desired position. The cervical plate has an elongated slot in a central portion thereof that is constructed to receive therethrough in movable relation the first attachment device which is receivable in the predrilled opening in the VBR for securing the cervical plate thereto.,AMMERMAN JOSHUA M;;AMMERMAN MATTHEW D,AMMERMAN JOSHUA M;;AMMERMAN MATTHEW D,,https://lens.org/010-487-844-591-075,Patent Application,yes,4,0,2,2,0,A61F2/30749;;A61F2/442;;A61F2/4455;;A61F2002/30431;;A61F2002/30433;;A61F2002/30576;;A61F2002/30578;;A61F2002/30594;;A61B17/7059;;A61F2002/30507;;A61F2002/30331;;A61F2/30749;;A61F2002/30431;;A61B17/7059;;A61F2002/30433;;A61F2002/30594;;A61F2/442;;A61F2002/30576;;A61F2/4455;;A61F2002/30578;;A61F2002/30331;;A61F2002/30507,A61B17/70;;A61B17/80;;A61F2/44;;A61F2/46,,0,0,,,,PENDING
4,US,A1,US 2014/0214437 A1,178-547-868-059-782,2014-07-31,2014,US 201414164911 A,2014-01-27,US 201414164911 A;;US 201361757523 P,2013-01-28,MEDICAL ADVISORY SYSTEM,"A method and computer program product is provided for a medical advisory system. The method may include receiving an anonymous request for a medical opinion by a user. The method may also include providing the anonymous request for the medical opinion to at least one anonymous medical professional. The method may further include receiving an anonymous response associated with the anonymous request for the medical opinion based upon, at least in part, review of the anonymous request for the medical opinion by the at least one anonymous medical professional. The method may also include providing the anonymous response associated with the anonymous request for the medical opinion to the user.",AMMERMAN JOSHUA M;;AMMERMAN MATTHEW D,AMMERMAN JOSHUA M;;AMMERMAN MATTHEW D,EXPERTS EDUCATING PATIENTS LLC (2014-07-11),https://lens.org/178-547-868-059-782,Patent Application,yes,1,6,1,1,0,G16H10/60;;G16H10/60;;G16H40/67;;G16H40/67;;G16H50/20;;G16H80/00;;G16H80/00,G06F19/00,705/2,0,0,,,,DISCONTINUED
5,US,A1,US 2021/0212712 A1,081-960-924-745-915,2021-07-15,2021,US 202117143260 A,2021-01-07,US 202117143260 A;;US 202062961277 P,2020-01-15,DISCECTOMY TOOL,"A discectomy device for clearing material out of a disc space of a patient having a body, a first rotatable member at the distal portion of the body, and a second rotatable member at the distal portion of the body spaced from the first rotatable member. A transverse axis passes through the first and second rotatable members. A first mechanism is actuable to rotate the first and second rotatable members about the transverse axis. A mechanism can be provided to expand the rotatable members to increase the distance between the rotatable members. The rotatable members in some versions can be detached from the device for placement within the disc space.",AMMERMAN JOSHUA M;;BRIGANTI RICHARD,BRIGANTI RICHARD;;AMMERMAN JOSHUA M,COMBINATION SPINE LLC (2021-09-20);;AMMERMAN JOSHUA M (2021-01-14),https://lens.org/081-960-924-745-915,Patent Application,yes,0,1,1,1,0,A61B2017/00261;;A61B2017/00473;;A61B17/32002;;A61B17/320016;;A61B2017/320008;;A61F2/4455;;A61F2/4611;;A61F2002/3093;;A61F2002/4625;;A61F2002/4627;;A61F2002/4628;;A61F2/30767;;A61F2002/30405;;A61F2002/30433;;A61F2002/30494;;A61F2002/30523;;A61F2002/30784;;A61F2002/30785;;A61F2/447;;A61F2002/3008;;A61F2002/30556;;A61F2002/30836;;A61F2002/4622;;A61B17/32002;;A61F2/4601;;A61B2017/00424;;A61F2/4455;;A61B2017/00261,A61B17/32;;A61F2/46,,0,0,,,,PENDING
6,US,B2,US 10758286 B2,095-673-886-316-277,2020-09-01,2020,US 201815927460 A,2018-03-21,US 201815927460 A;;US 201762474934 P,2017-03-22,Minimal impact access system to disc space,"Methods and apparatus for accessing and repairing a vertebral disc include a pad with a central cut-out mounted to the skin of a patient or, alternatively, a pedicle-mounted support. An incision is made and then a corridor is created using an elongated guide and a series of dilating tubes. An access to the disc space is created through the superior articular process and the facet joint using the corridor defined by the dilating tubes. Nucleus material is removed from the disc space and the vertebral endplates are prepared. The disc space may be sized to select a suitable implant, which is advanced through the corridor and into the disc space following discectomy and endplate preparation. Bone graft material may be inserted into the disc space following installation of the implant and then posterior rigid fixation may be achieved using percutaneous pedicle screws, followed by closure of the site.",BENVENUE MEDICAL INC,AMMERMAN JOSHUA M;;SCHALLER LAURENT B;;LORANG DOUGLAS M;;SIMMONS RICARDO J;;MCGRATH TIMOTHY J,SPINAL ELEMENTS INC (2020-12-14);;BENVENUE MEDICAL INC (2018-04-10);;BENVENUE (ASSIGNMENT FOR THE BENEFIT OF CREDITORS) LLC (2020-08-03),https://lens.org/095-673-886-316-277,Granted Patent,yes,26,5,4,4,0,A61B17/1757;;A61B17/3421;;A61B17/1671;;A61B17/320016;;A61B17/3417;;A61B2017/00991;;A61B2017/32006;;A61B2017/3407;;A61B90/50;;A61B17/0293;;A61B2017/00951;;A61B17/025;;A61B2017/0256;;A61B2017/00261;;A61B17/88;;A61B17/7064;;A61B17/00234;;A61B17/025;;A61B2017/0256;;A61F2/4601;;A61B2017/00261;;A61B17/7071;;A61B17/3421;;A61B17/320016;;A61B17/1757;;A61B17/1671;;A61B17/3417;;A61B2017/3407;;A61B90/50;;A61B2017/00991;;A61B2017/32006;;A61B17/0293;;A61B2017/00951;;A61B17/90,A61B17/88;;A61B17/00;;A61B17/02;;A61B17/16;;A61B17/17;;A61B17/32;;A61B17/34;;A61B17/70;;A61B17/90;;A61B90/50;;A61F2/46,,0,0,,,,ACTIVE
7,US,B2,US 11771483 B2,030-038-264-681-72X,2023-10-03,2023,US 202016944192 A,2020-07-31,US 202016944192 A;;US 201815927460 A;;US 201762474934 P,2017-03-22,Minimal impact access system to disc space,"Methods and apparatus for accessing and repairing a vertebral disc include a pad with a central cut-out mounted to the skin of a patient or, alternatively, a pedicle-mounted support. An incision is made and then a corridor is created using an elongated guide and a series of dilating tubes. An access to the disc space is created through the superior articular process and the facet joint using the corridor defined by the dilating tubes. Nucleus material is removed from the disc space and the vertebral endplates are prepared. The disc space may be sized to select a suitable implant, which is advanced through the corridor and into the disc space following discectomy and endplate preparation. Bone graft material may be inserted into the disc space following installation of the implant and then posterior rigid fixation may be achieved using percutaneous pedicle screws, followed by closure of the site.",SPINAL ELEMENTS INC,AMMERMAN JOSHUA M;;SCHALLER LAURENT B;;LORANG DOUGLAS M;;SIMMONS RICARDO J;;MCGRATH TIMOTHY J,SPINAL ELEMENTS INC (2020-12-14);;BENVENUE MEDICAL INC (2018-04-10);;BENVENUE (ASSIGNMENT FOR THE BENEFIT OF CREDITORS) LLC (2020-08-03),https://lens.org/030-038-264-681-72X,Granted Patent,yes,507,0,4,4,0,A61B17/1757;;A61B17/3421;;A61B17/1671;;A61B17/320016;;A61B17/3417;;A61B2017/00991;;A61B2017/32006;;A61B2017/3407;;A61B90/50;;A61B17/0293;;A61B2017/00951;;A61B17/025;;A61B2017/0256;;A61B2017/00261;;A61B17/88;;A61B17/7064;;A61B17/00234;;A61B17/025;;A61B2017/0256;;A61F2/4601;;A61B2017/00261;;A61B17/7071;;A61B17/3421;;A61B17/320016;;A61B17/1757;;A61B17/1671;;A61B17/3417;;A61B2017/3407;;A61B90/50;;A61B2017/00991;;A61B2017/32006;;A61B17/0293;;A61B2017/00951;;A61B17/90,A61B17/88;;A61B17/00;;A61B17/02;;A61B17/16;;A61B17/17;;A61B17/32;;A61B17/34;;A61B17/70;;A61B17/90;;A61B90/50;;A61F2/46,,14,0,,,"Official Communication in European Application No. 08730402.8, dated Feb. 18, 2013.;;International Search Report and Written Opinion in International Application No. PCT/US2008/054590, dated Aug. 22, 2008.;;International Preliminary Report on Patentability and Written Opinion in International Application No. PCT/US2008/054590, dated Aug. 28, 2009.;;International Search Report and Written Opinion in International Application No. PCT/US2019/015386, dated May 23, 2019.;;International Preliminary Report on Patentability and Written Opinion in International Application No. PCT/US2019/015386, dated Aug. 13, 2020.;;International Search Report and Written Opinion in International Application No. PCT/US2019/022632, dated May 30, 2019.;;International Preliminary Report on Patentability and Written Opinion in International Application No. PCT/US2019/022632, dated Oct. 1, 2020.;;International Search Report and Written Opinion in International Application No. PCT/US2014/019246, dated Aug. 19, 2014.;;International Preliminary Report on Patentability and Written Opinion in International Application No. PCT/US2014/019246, dated Sep. 24, 2015.;;Office Communication for U.S. Appl. No. 13/804,847, dated Jul. 13, 2015.;;Office Communication for U.S. Appl. No. 13/804,847, dated Oct. 16, 2015.;;Extended European Search Report for European Patent Application No. 11787510.4, dated Oct. 15, 2013.;;International Search Report and Written Opinion for PCT Patent Application No. PCT/US2011/038377, dated Aug. 25, 2011.;;International Search Report and Written Opinion for PCT Patent Application No. PCT/US2013/068906, dated Feb. 6, 2014.",ACTIVE
8,US,A1,US 2018/0271574 A1,185-603-937-718-428,2018-09-27,2018,US 201815927460 A,2018-03-21,US 201815927460 A;;US 201762474934 P,2017-03-22,Minimal Impact Access System To Disc Space,"Methods and apparatus for accessing and repairing a vertebral disc include a pad with a central cut-out mounted to the skin of a patient or, alternatively, a pedicle-mounted support. An incision is made and then a corridor is created using an elongated guide and a series of dilating tubes. An access to the disc space is created through the superior articular process and the facet joint using the corridor defined by the dilating tubes. Nucleus material is removed from the disc space and the vertebral endplates are prepared. The disc space may be sized to select a suitable implant, which is advanced through the corridor and into the disc space following discectomy and endplate preparation. Bone graft material may be inserted into the disc space following installation of the implant and then posterior rigid fixation may be achieved using percutaneous pedicle screws, followed by closure of the site.",BENVENUE MEDICAL INC,AMMERMAN JOSHUA M;;SCHALLER LAURENT B;;LORANG DOUGLAS M;;SIMMONS RICARDO J;;MCGRATH TIMOTHY J,SPINAL ELEMENTS INC (2020-12-14);;BENVENUE MEDICAL INC (2018-04-10);;BENVENUE (ASSIGNMENT FOR THE BENEFIT OF CREDITORS) LLC (2020-08-03),https://lens.org/185-603-937-718-428,Patent Application,yes,16,5,4,4,0,A61B17/1757;;A61B17/3421;;A61B17/1671;;A61B17/320016;;A61B17/3417;;A61B2017/00991;;A61B2017/32006;;A61B2017/3407;;A61B90/50;;A61B17/0293;;A61B2017/00951;;A61B17/025;;A61B2017/0256;;A61B2017/00261;;A61B17/88;;A61B17/7064;;A61B17/00234;;A61B17/025;;A61B2017/0256;;A61F2/4601;;A61B2017/00261;;A61B17/7071;;A61B17/3421;;A61B17/320016;;A61B17/1757;;A61B17/1671;;A61B17/3417;;A61B2017/3407;;A61B90/50;;A61B2017/00991;;A61B2017/32006;;A61B17/0293;;A61B2017/00951;;A61B17/90,A61B17/88;;A61B17/00;;A61B17/02;;A61B17/70;;A61F2/46,,0,0,,,,ACTIVE
9,US,A1,US 2021/0113252 A1,122-530-217-449-960,2021-04-22,2021,US 202016944192 A,2020-07-31,US 202016944192 A;;US 201815927460 A;;US 201762474934 P,2017-03-22,Minimal Impact Access System To Disc Space,"Methods and apparatus for accessing and repairing a vertebral disc include a pad with a central cut-out mounted to the skin of a patient or, alternatively, a pedicle-mounted support. An incision is made and then a corridor is created using an elongated guide and a series of dilating tubes. An access to the disc space is created through the superior articular process and the facet joint using the corridor defined by the dilating tubes. Nucleus material is removed from the disc space and the vertebral endplates are prepared. The disc space may be sized to select a suitable implant, which is advanced through the corridor and into the disc space following discectomy and endplate preparation. Bone graft material may be inserted into the disc space following installation of the implant and then posterior rigid fixation may be achieved using percutaneous pedicle screws, followed by closure of the site.",BENVENUE MEDICAL INC,AMMERMAN JOSHUA M;;SCHALLER LAURENT B;;LORANG DOUGLAS M;;SIMMONS RICARDO J;;MCGRATH TIMOTHY J,SPINAL ELEMENTS INC (2020-12-14);;BENVENUE MEDICAL INC (2018-04-10);;BENVENUE (ASSIGNMENT FOR THE BENEFIT OF CREDITORS) LLC (2020-08-03),https://lens.org/122-530-217-449-960,Patent Application,yes,7,4,4,4,0,A61B17/1757;;A61B17/3421;;A61B17/1671;;A61B17/320016;;A61B17/3417;;A61B2017/00991;;A61B2017/32006;;A61B2017/3407;;A61B90/50;;A61B17/0293;;A61B2017/00951;;A61B17/025;;A61B2017/0256;;A61B2017/00261;;A61B17/88;;A61B17/7064;;A61B17/00234;;A61B17/025;;A61B2017/0256;;A61F2/4601;;A61B2017/00261;;A61B17/7071;;A61B17/3421;;A61B17/320016;;A61B17/1757;;A61B17/1671;;A61B17/3417;;A61B2017/3407;;A61B90/50;;A61B2017/00991;;A61B2017/32006;;A61B17/0293;;A61B2017/00951;;A61B17/90,A61B17/88;;A61B17/00;;A61B17/02;;A61B17/16;;A61B17/17;;A61B17/34;;A61B17/70;;A61F2/46,,0,0,,,,ACTIVE
10,WO,A1,WO 2019/178575 A1,126-691-036-096-935,2019-09-19,2019,US 2019/0022632 W,2019-03-15,US 201862644101 P,2018-03-16,ARTICULATED INSTRUMENTATION AND METHODS OF USING THE SAME,"Articulated instruments that include tools for disrupting and/or distracting tissue, and methods of using the same.",BENVENUE MEDICAL INC,PACHECO-SERRANT HELSON;;TABER JUSTIN;;LORANG DOUGLAS;;SCHALLER LAURENT;;MCHALE PATRICIA;;BALDWIN MICHAEL;;FESSLER RICHARD;;AMMERMAN JOSHUA,,https://lens.org/126-691-036-096-935,Patent Application,yes,5,5,4,4,0,A61B17/1659;;A61B17/1671;;A61B17/1617;;A61B2017/0256;;A61B90/92;;A61B17/8825;;A61B17/8852;;A61B17/320016;;A61B17/3205;;A61B2017/003;;A61B2017/00261;;A61B2017/2927;;A61B17/025;;A61B2017/0256;;A61F2/4455;;A61F2/4611;;A61F2002/4635,A61B17/32;;A61B17/16;;A61B17/56;;A61B17/58;;A61B17/60;;A61B17/70,,0,0,,,,PENDING
