"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,CN,A,CN 111278458 A,192-229-276-879-828,2020-06-12,2020,CN 201880069762 A,2018-10-22,US 201762576819 P;;US 2018/0056823 W,2017-10-25,ADJUVANTED VACCINES,"Vaccine formulations are described comprising physically separated, lyophilized antigens and adjuvant components, which may be in lyoparticle form, as well as methods of using and making such formulations. Reconstituted formulations are also described.",MERCK SHARP & DOHME,BHAMBHANI AKHILESH;;MEDI MUNEESWARA BABU;;SALNIKOVA MAYA;;SMITH WILLIAM JAMES;;THIRIOT DAVID,,https://lens.org/192-229-276-879-828,Patent Application,no,3,2,11,11,0,A61K9/19;;A61K39/39;;A61K2039/55505;;A61K47/26;;A61K39/092;;A61K2039/6037;;A61K39/12;;A61P31/20;;C12N2710/20034;;A61K39/08;;A61P31/04;;C01B25/36;;A61K39/39;;A61K9/19;;A61K47/02;;A61K47/22;;A61K47/26;;A61P35/00;;A61K2039/55505;;A61K2039/585;;A61K47/52;;A61K39/39;;A61K2039/55505;;C01B25/36,A61K39/39;;A61K9/19;;C01B25/36,,2,0,,,"SACHIN G. THAKKAR等: ""The immunogenicity of thin-film freeze-dried, aluminum salt-adjuvanted vaccine when exposed to different temperatures"";;LI,X.R.等: ""A method of lyophilizing vaccines containing aluminum salts into a dry powder without causing particle aggregation or decreasing the immunogenicity following reconstitution""",PENDING
2,WO,A1,WO 2019/083865 A1,117-824-725-260-93X,2019-05-02,2019,US 2018/0056823 W,2018-10-22,US 201762576819 P,2017-10-25,ADJUVANTED VACCINES,"Vaccine formulations are described comprising physically separated, lyophilized antigens and adjuvant components, which may be in lyoparticle form, as well as methods of using and making such formulations. Reconstituted formulations are also described.",MERCK SHARP & DOHME;;BHAMBHANI AKHILESH;;MEDI MUNEESWARA BABU;;SALNIKOVA MAYA;;SMITH WILLIAM JAMES;;THIRIOT DAVID S,BHAMBHANI AKHILESH;;MEDI MUNEESWARA BABU;;SALNIKOVA MAYA;;SMITH WILLIAM JAMES;;THIRIOT DAVID,,https://lens.org/117-824-725-260-93X,Patent Application,yes,3,14,11,11,0,A61K9/19;;A61K39/39;;A61K2039/55505;;A61K47/26;;A61K39/092;;A61K2039/6037;;A61K39/12;;A61P31/20;;C12N2710/20034;;A61K39/08;;A61P31/04;;C01B25/36;;A61K39/39;;A61K9/19;;A61K47/02;;A61K47/22;;A61K47/26;;A61P35/00;;A61K2039/55505;;A61K2039/585;;A61K47/52;;A61K39/39;;A61K2039/55505;;C01B25/36,A61K39/39;;A61K9/19;;C01B25/36,,1,0,,,See also references of EP 3700565A1,PENDING
3,JP,A,JP 2023100922 A,111-896-329-562-463,2023-07-19,2023,JP 2023078031 A,2023-05-10,JP 2020523021 A;;US 201762576819 P,2017-10-25,ADJUVANTED VACCINES,"To provide vaccine formulations comprising physically separated, lyophilized antigens and adjuvant components.SOLUTION: An article of manufacture comprises (a) the following components: (1) a dried aluminum salt; (2) a dried phosphate; and optionally (3) water or (4) an antigen dissolved in water; where component (1), component (2), and component (3) or (4) if present are physically separated and co-packaged. Alternatively, the article of manufacture comprises (b) the following components: (1) a dried aluminum salt; (2) a dried phosphate; (3) optionally water; and (5) a dried antigen; where component (1), component (2), component (3) if present, and component (5) are physically separated and co-packaged.SELECTED DRAWING: Figure 1",MERCK SHARP & DOHME LLC,AKHILESH BHAMBHANI;;MUNEESWARA BABU MEDI;;MAYA SALNIKOVA;;WILLIAM JAMES SMITH;;DAVID S THIRIOT,,https://lens.org/111-896-329-562-463,Patent Application,no,0,0,11,11,0,A61K9/19;;A61K39/39;;A61K2039/55505;;A61K47/26;;A61K39/092;;A61K2039/6037;;A61K39/12;;A61P31/20;;C12N2710/20034;;A61K39/08;;A61P31/04;;C01B25/36;;A61K39/39;;A61K9/19;;A61K47/02;;A61K47/22;;A61K47/26;;A61P35/00;;A61K2039/55505;;A61K2039/585;;A61K47/52;;A61K39/39;;A61K2039/55505;;C01B25/36,A61K39/39;;A61K9/19;;A61K39/00;;A61K39/09;;A61K47/02;;A61K47/22;;A61K47/26;;A61P37/04,,0,0,,,,PENDING
4,US,A1,US 2020/0325020 A1,118-044-057-531-27X,2020-10-15,2020,US 201816759167 A,2018-10-22,US 201816759167 A;;US 201762576819 P;;US 2018/0056823 W,2017-10-25,ADJUVANTED VACCINES,"Vaccine formulations are described comprising physically separated, lyophilized antigens and adjuvant components, which may be in lyoparticle form, as well as methods of using and making such formulations. Reconstituted formulations are also described.",BHAMBHANI AKHILESH;;MEDI MUNEESWARA BABU;;SALNIKOVA MAYA;;SMITH JAMES WILLIAM;;THIRIOT DAVID S;;MERCK SHARP & DOHME,BHAMBHANI AKHILESH;;MEDI MUNEESWARA BABU;;SALNIKOVA MAYA;;SMITH WILLIAM JAMES;;THIRIOT DAVID S,MERCK SHARP & DOHME LLC (2022-04-07);;MERCK SHARP & DOHME CORP (2018-10-08),https://lens.org/118-044-057-531-27X,Patent Application,yes,2,0,11,11,0,A61K9/19;;A61K39/39;;A61K2039/55505;;A61K47/26;;A61K39/092;;A61K2039/6037;;A61K39/12;;A61P31/20;;C12N2710/20034;;A61K39/08;;A61P31/04;;C01B25/36;;A61K39/39;;A61K9/19;;A61K47/02;;A61K47/22;;A61K47/26;;A61P35/00;;A61K2039/55505;;A61K2039/585;;A61K47/52;;A61K39/39;;A61K2039/55505;;C01B25/36,C01B25/36;;A61K39/39;;A61K47/52,,0,0,,,,DISCONTINUED
5,JP,A,JP 2023100923 A,011-058-750-069-375,2023-07-19,2023,JP 2023078032 A,2023-05-10,JP 2020523021 A;;US 201762576819 P,2017-10-25,ADJUVANTED VACCINES,"To provide vaccine formulations comprising physically separated, lyophilized antigens and adjuvant components.SOLUTION: An article of manufacture comprises the following components: (1) (i) a dried antigen or (ii) an antigen in solution; (2) a dried aluminum-containing and/or calcium-containing reagent; and (3) a dried phosphate reagent and optionally a base; where each of components (1), (2) and (3) are physically separated from the other components and co-packaged; and where the aluminum-containing and/or calcium-containing reagent, the phosphate reagent and optionally the base react when reconstituted with water to form an adjuvant.SELECTED DRAWING: Figure 1",MERCK SHARP & DOHME LLC,AKHILESH BHAMBHANI;;MUNEESWARA BABU MEDI;;MAYA SALNIKOVA;;WILLIAM JAMES SMITH;;DAVID S THIRIOT,,https://lens.org/011-058-750-069-375,Patent Application,no,0,0,11,11,0,A61K9/19;;A61K39/39;;A61K2039/55505;;A61K47/26;;A61K39/092;;A61K2039/6037;;A61K39/12;;A61P31/20;;C12N2710/20034;;A61K39/08;;A61P31/04;;C01B25/36;;A61K39/39;;A61K9/19;;A61K47/02;;A61K47/22;;A61K47/26;;A61P35/00;;A61K2039/55505;;A61K2039/585;;A61K47/52;;A61K39/39;;A61K2039/55505;;C01B25/36,A61K39/39;;A61K9/19;;A61K39/00;;A61K39/09;;A61K47/02;;A61K47/22;;A61K47/26;;A61P37/04,,0,0,,,,PENDING
6,EP,A4,EP 3700565 A4,120-608-731-747-180,2021-09-29,2021,EP 18871592 A,2018-10-22,US 201762576819 P;;US 2018/0056823 W,2017-10-25,ADJUVANTED VACCINES,,MERCK SHARP & DOHME,BHAMBHANI AKHILESH;;MEDI MUNEESWARA BABU;;SALNIKOVA MAYA;;SMITH WILLIAM JAMES;;THIRIOT DAVID S,MERCK SHARP & DOHME LLC (2022-10-19),https://lens.org/120-608-731-747-180,Search Report,no,2,0,11,11,0,A61K9/19;;A61K39/39;;A61K2039/55505;;A61K47/26;;A61K39/092;;A61K2039/6037;;A61K39/12;;A61P31/20;;C12N2710/20034;;A61K39/08;;A61P31/04;;C01B25/36;;A61K39/39;;A61K9/19;;A61K47/02;;A61K47/22;;A61K47/26;;A61P35/00;;A61K2039/55505;;A61K2039/585;;A61K47/52;;A61K39/39;;A61K2039/55505;;C01B25/36,A61K39/39;;A61K9/19;;A61K47/00;;C01B25/36,,1,0,,,See also references of WO 2019083865A1,PENDING
7,US,A1,US 2023/0192489 A1,173-068-865-173-133,2023-06-22,2023,US 202318172624 A,2023-02-22,US 202318172624 A;;US 202016759167 A;;US 2018/0056823 W;;US 201762576819 P,2017-10-25,ADJUVANTED VACCINES,"Vaccine formulations are described comprising physically separated, lyophilized antigens and adjuvant components, which may be in lyoparticle form, as well as methods of using and making such formulations. Reconstituted formulations are also described.",MERCK SHARP & DOHME LLC,BHAMBHANI AKHILESH;;MEDI MUNEESWARA BABU;;SALNIKOVA MAYA;;SMITH WILLIAM JAMES;;THIRIOT DAVID S,MERCK SHARP & DOHME LLC (2022-04-07);;MERCK SHARP & DOHME CORP (2018-10-08),https://lens.org/173-068-865-173-133,Patent Application,yes,0,0,11,11,0,A61K9/19;;A61K39/39;;A61K2039/55505;;A61K47/26;;A61K39/092;;A61K2039/6037;;A61K39/12;;A61P31/20;;C12N2710/20034;;A61K39/08;;A61P31/04;;C01B25/36;;A61K39/39;;A61K9/19;;A61K47/02;;A61K47/22;;A61K47/26;;A61P35/00;;A61K2039/55505;;A61K2039/585;;A61K47/52;;A61K39/39;;A61K2039/55505;;C01B25/36,C01B25/36;;A61K39/39;;A61K47/52,,0,0,,,,PENDING
8,KR,A,KR 20200077538 A,122-126-605-223-002,2020-06-30,2020,KR 20207014394 A,2018-10-22,US 201762576819 P;;US 2018/0056823 W,2017-10-25,아주반트 첨가된 백신,"동결건조입자 형태일 수 있는, 물리적으로 분리된 동결건조된 항원 및 아주반트 성분을 포함하는 백신 제제, 뿐만 아니라 이러한 제제의 사용 및 제조 방법이 기재되어 있다. 재구성된 제제가 또한 기재되어 있다.",MERCK SHARP & DOHME,BHAMBHANI AKHILESH;;MEDI MUNEESWARA BABU;;SALNIKOVA MAYA;;SMITH WILLIAM JAMES;;THIRIOT DAVID S,,https://lens.org/122-126-605-223-002,Patent Application,no,0,0,11,11,0,A61K9/19;;A61K39/39;;A61K2039/55505;;A61K47/26;;A61K39/092;;A61K2039/6037;;A61K39/12;;A61P31/20;;C12N2710/20034;;A61K39/08;;A61P31/04;;C01B25/36;;A61K39/39;;A61K9/19;;A61K47/02;;A61K47/22;;A61K47/26;;A61P35/00;;A61K2039/55505;;A61K2039/585;;A61K47/52;;A61K39/39;;A61K2039/55505;;C01B25/36,A61K39/39;;A61K9/19;;A61K39/00;;A61K47/02;;A61K47/22;;A61K47/26;;A61P35/00,,0,0,,,,PENDING
9,US,A1,US 2023/0234850 A1,087-546-501-150-56X,2023-07-27,2023,US 202318172695 A,2023-02-22,US 202318172695 A;;US 202016759167 A;;US 2018/0056823 W;;US 201762576819 P,2017-10-25,ADJUVANTED VACCINES,"Vaccine formulations are described comprising physically separated, lyophilized antigens and adjuvant components, which may be in lyoparticle form, as well as methods of using and making such formulations. Reconstituted formulations are also described.",MERCK SHARP & DOHME LLC,BHAMBHANI AKHILESH;;MEDI MUNEESWARA BABU;;SALNIKOVA MAYA;;SMITH WILLIAM JAMES;;THIRIOT DAVID S,MERCK SHARP & DOHME LLC (2022-04-07);;MERCK SHARP & DOHME CORP (2018-10-08),https://lens.org/087-546-501-150-56X,Patent Application,yes,0,0,11,11,0,A61K9/19;;A61K39/39;;A61K2039/55505;;A61K47/26;;A61K39/092;;A61K2039/6037;;A61K39/12;;A61P31/20;;C12N2710/20034;;A61K39/08;;A61P31/04;;C01B25/36;;A61K39/39;;A61K9/19;;A61K47/02;;A61K47/22;;A61K47/26;;A61P35/00;;A61K2039/55505;;A61K2039/585;;A61K47/52;;A61K39/39;;A61K2039/55505;;C01B25/36,C01B25/36;;A61K39/39;;A61K47/52,,0,0,,,,PENDING
10,EP,A1,EP 3700565 A1,106-360-129-652-978,2020-09-02,2020,EP 18871592 A,2018-10-22,US 201762576819 P;;US 2018/0056823 W,2017-10-25,ADJUVANTED VACCINES,,MERCK SHARP & DOHME,BHAMBHANI AKHILESH;;MEDI MUNEESWARA BABU;;SALNIKOVA MAYA;;SMITH WILLIAM JAMES;;THIRIOT DAVID S,MERCK SHARP & DOHME LLC (2022-10-19),https://lens.org/106-360-129-652-978,Patent Application,yes,1,0,11,11,0,A61K9/19;;A61K39/39;;A61K2039/55505;;A61K47/26;;A61K39/092;;A61K2039/6037;;A61K39/12;;A61P31/20;;C12N2710/20034;;A61K39/08;;A61P31/04;;C01B25/36;;A61K39/39;;A61K9/19;;A61K47/02;;A61K47/22;;A61K47/26;;A61P35/00;;A61K2039/55505;;A61K2039/585;;A61K47/52;;A61K39/39;;A61K2039/55505;;C01B25/36,A61K39/39;;A61K9/19;;C01B25/36,,7,5,056-912-218-460-987;;003-245-746-914-998;;012-265-926-121-658;;136-061-297-537-600;;076-675-945-634-188,10.1016/j.jconrel.2015.04.030;;10.1080/21645515.2016.1259042;;pmc5404637;;28051903;;20475823;;pmc2234908;;10.1017/s0022172400015187;;10.1016/s0140-6736(00)71679-5;;18398901;;10.1002/jps.21390,"XINRAN LI ET AL: ""A method of lyophilizing vaccines containing aluminum salts into a dry powder without causing particle aggregation or decreasing the immunogenicity following reconstitution"", JOURNAL OF CONTROLLED RELEASE, ELSEVIER, vol. 204, 1 April 2015 (2015-04-01), pages 38 - 50, XP055195275, ISSN: 01683659, DOI: 10.1016/j.jconrel.2015.02.035;;THAKKAR SG, RUWONA TB, WILLIAMS RO 3RD, CUI Z.: ""The immunogenicity of thin-film freeze-dried, aluminum salt-adjuvanted vaccine when exposed to different temperatures."", HUMAN VACCINES, LANDES BIOSCIENCE, GEORGETOWN, TX, US, vol. 13, no. 4, 3 April 2017 (2017-04-03), US, pages 936 - 946, XP009520486, ISSN: 1554-8600, DOI: 10.1080/21645515.2016.1259042;;""Directory of Approved Biopharmaceutical Products"", 27 August 2004, CRC PRESS, US, ISBN: 0-415-26368-9, article SPADA, STEFANIA ; WALSH, GARY: ""Infanrix Hexa"", pages: 87 - 89, XP009520487, DOI: 10.1201/9780203303429;;MASON J. H., ROBINSON MARY: ""Alkali-dissolved diphtheria toxoid-antitoxin floccules adsorbed on aluminium carriers: Preparation, and immunity experiments in animals"", JOURNAL OF HYGIENE., CAMBRIDGE PRESS, LONDON., GB, vol. 48, no. 4, 1 December 1950 (1950-12-01), GB, pages 418 - 430, XP009520488, ISSN: 0022-1724, DOI: 10.1017/S0022172400015187;;M.BARR: ""PREPARATION OF ALUM-PRECIPITATED TOXOID FOR USE AS AN IMMUNISING AGENT"", THE LANCET ONCOLOGY, ELSEVIER, AMSTERDAM, NL, vol. 238, no. 6159, 1 September 1941 (1941-09-01), AMSTERDAM, NL, pages 301 - 303, XP009520489, ISSN: 1470-2045, DOI: 10.1016/S0140-6736(00)71679-5;;AMBER CLAUSI ET AL: ""Influence of particle size and antigen binding on effectiveness of aluminum salt adjuvants in a model lysozyme vaccine"", JOURNAL OF PHARMACEUTICAL SCIENCES, vol. 97, no. 12, 1 December 2008 (2008-12-01), pages 5252 - 5262, XP055029514, ISSN: 00223549, DOI: 10.1002/jps.21390;;See also references of WO 2019083865A1",PENDING
