"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A1,US 2004/0010208 A1,020-045-273-010-47X,2004-01-15,2004,US 19063802 A,2002-07-09,US 19063802 A,2002-07-09,Brain retraction sensor,"
   An electrode grid device is disclosed comprising a deformable envelope, further comprising non-polarizable electrodes and a pressure recording port. The device is designed to allow for monitoring of brain retraction pressure and local cortical electrical activity including DC potential, as well as to redistribute the force applied during retraction and thereby diminish the chance of focal brain injury during surgery. Retraction pressure recorded is equal over the full area of contact, providing a more meaningful measurement than simply at one point on the retractor. A means is disclosed for evacuation of air from the system to improve accuracy and fidelity of the pressure measurements. It is a further aspect of the device to allow for measurement of intracranial pressure, DC potential and EEG in epileptic and severe head trauma patients for management of edema and injury, respectively. 
",AYAD MICHAEL,AYAD MICHAEL,AYAD MICHAEL (2016-12-13);;GEORGE WASHINGTON UNIVERSITY (2002-09-30),https://lens.org/020-045-273-010-47X,Patent Application,yes,26,20,2,4,0,A61B5/031;;A61B5/4076;;A61B2562/0215;;A61B5/291;;A61B5/031;;A61B5/4076;;A61B2562/0215;;A61B5/291,A61B5/03;;A61B5/0478,600/587,0,0,,,,EXPIRED
2,US,A1,US 2005/0228315 A1,074-040-227-611-473,2005-10-13,2005,US 1681804 A,2004-12-21,US 1681804 A;;US 19063802 A,2002-07-09,Brain retraction sensor,"An electrode grid device is disclosed comprising a deformable envelope, further comprising recording electrodes and a pressure recording port. The device is designed to allow for monitoring of brain retraction pressure and local cortical electrical activity including DC potential, as well as to redistribute the force applied during retraction and cushion the rigid edges of the brain retractor, thereby diminishing the chance of focal brain injury during surgery. Retraction pressure recorded is equal over the full area of contact, providing a more meaningful measurement than simply at one point on the retractor. A means is disclosed for optional evacuation of air from the system to improve accuracy and fidelity of the pressure measurements. Local brain hypothermia may be induced via the bladder and attached catheter, thereby providing additional neuroprotection during brain retraction. It is a further aspect of the device to allow for measurement of intracranial pressure, DC potential, EEG and, optionally, other physiologic parameters in epileptic and severe head trauma patients for management of edema and injury.",UNIV GEORGE WASHINGTON,AYAD MICHAEL,AYAD MICHAEL (2016-12-13);;GEORGE WASHINGTON UNIVERSITY (2005-04-01),https://lens.org/074-040-227-611-473,Patent Application,yes,30,6,2,4,0,A61B5/031;;A61B5/4076;;A61B5/291;;A61B5/031;;A61B5/4076;;A61B5/293,A61B5/03;;A61B5/0478,600/587;;607/96,0,0,,,,EXPIRED
3,US,B2,US 6916294 B2,034-006-137-941-698,2005-07-12,2005,US 19063802 A,2002-07-09,US 19063802 A,2002-07-09,Brain retraction sensor,"An electrode grid device is disclosed comprising a deformable envelope, further comprising non-polarizable electrodes and a pressure recording port. The device is designed to allow for monitoring of brain retraction pressure and local cortical electrical activity including DC potential, as well as to redistribute the force applied during retraction and thereby diminish the chance of focal brain injury during surgery. Retraction pressure recorded is equal over the full area of contact, providing a more meaningful measurement than simply at one point on the retractor. A means is disclosed for evacuation of air from the system to improve accuracy and fidelity of the pressure measurements. It is a further aspect of the device to allow for measurement of intracranial pressure, DC potential and EEG in epileptic and severe head trauma patients for management of edema and injury, respectively.",UNIV GEORGE WASHINGTON,AYAD MICHAEL,AYAD MICHAEL (2016-12-13);;GEORGE WASHINGTON UNIVERSITY (2002-09-30),https://lens.org/034-006-137-941-698,Granted Patent,yes,26,24,2,4,0,A61B5/031;;A61B5/4076;;A61B2562/0215;;A61B5/291;;A61B5/031;;A61B5/4076;;A61B2562/0215;;A61B5/291,A61B5/03;;A61B5/0478,600/587,11,8,076-155-286-528-330;;049-215-178-779-362;;046-848-638-949-686;;044-029-805-784-101;;017-929-851-505-809;;112-722-336-086-131;;014-569-918-315-319;;059-220-028-135-608,10.3171/jns.1987.66.2.0270;;3806207;;10.1016/0002-9610(72)90195-x;;5013763;;8133991;;10.1097/00006123-199312000-00014;;10.1227/00006123-199312000-00014;;10.1097/00006123-200111000-00026;;10.1227/00006123-200111000-00026;;11846910;;7847148;;10.1007/bf01400656;;3111189;;10.1007/bf01402364;;11565873;;10.3171/jns.2001.95.3.0495;;5099446,"Hongo et al., ""Monitoring retraction pressure on the Brain"", J. Neurosurg., vol. 66, Feb., 1987, pp. 270-275.;;Donaghy et al, ""Pressure Measurement beneath Retractors for Protection of Delicate Tissues"", American Journal of Surgery (1972) 123:429-431.;;Andrews et al., ""A Review of the Brain Retraction and Recommendations for Minimizing Intraoperative Brain Injury"", Neurosurgery, vol. 22, No. 6, Dec. 1993, pp. 1052-1063.;;Piper et al., ""The Camino Intracranial Sensor: Is It Optimal Technology? An Internal Audit With A Review of Current Intracranial Pressure Monitoring Technologies"", Neurosurgery, (2001), 49:1158-65.;;Behrens et al., ""Subdural and depth electrodos in the presurgical evaluation of epilepsy"", Acta Neurochi (1994), 128:84-87.;;Rosenorn, J, ""Self-Retaining Brain Retractor Pressure During Intracranial Procedures"", Acta Neurochirurgica, (1987), 85:17-22.;;Sakaki et al., ""Possible Control of Intermittent Cerebral Ischemia by Monitoring of Direct-Current Potentials"", J. Neurosurg, (2001) 95:495-9.;;Ayad, M., ""Electrocortical Concomitants of Neuroprotection and Ischemic Damage Following Cerebral Circulatory Arrest"" Doctoral Dissertation, (1994).;;Jackson et al., ""Technical report: A silicone rubber suction drain for drainage of subdural hematomas"", Surgery, Oct. 1971, vol. 70, No. 4. pp 578-579.;;Palatinsky et al., ""SSEP and BAEP Monitoring of Temporary Clip Application and Induced Hypotension during Cerebrovascular Surgery"" in Intraoperative Monitoring Techniques in Neurosurgery, (C.M. Loftus et al., eds.), 1994, Cpt. 7, pp. 61-71, McGraw-Hill, Inc., NY.;;Rampil I.J., ""Electroencephlogram"" in Textbook of Neuroanesthesia with Neurosurgical and Neuroscience Perspectives, (M.S. Albin, ed.), 1996, Cpt. 6, pp. 193, 207-208, McGraw-Hill, Inc., NY.",EXPIRED
4,US,B2,US 7153279 B2,140-087-552-875-675,2006-12-26,2006,US 1681804 A,2004-12-21,US 1681804 A;;US 19063802 A,2002-07-09,Brain retraction sensor,"An electrode device is disclosed comprising a deformable envelope, further comprising recording electrodes and a pressure recording port. The device allows for monitoring of brain retraction pressure and local cortical electrical activity including DC potential, as well as redistribution of the force applied during retraction and cushioning of the rigid edges of the brain retractor, thereby diminishing the chance of focal brain injury during surgery. Retraction pressure recorded is equal over the full area of contact. A means is disclosed for optional evacuation of air from the system to improve accuracy and fidelity of the pressure measurements. Local brain hypothermia may be induced via the bladder and attached catheter, thereby providing additional neuroprotection during brain retraction. The device also allows for measurement of intracranial pressure, DC potential, EEG and, optionally, other physiologic parameters in epileptic and severe head trauma patients for management of edema and injury.",UNIV GEORGE WASHINGTON,AYAD MICHAEL,AYAD MICHAEL (2016-12-13);;GEORGE WASHINGTON UNIVERSITY (2005-04-01),https://lens.org/140-087-552-875-675,Granted Patent,yes,31,19,2,4,0,A61B5/031;;A61B5/4076;;A61B5/291;;A61B5/031;;A61B5/4076;;A61B5/293,A61B5/117;;A61B5/03;;A61B5/0478;;A61B5/103,600/587,11,7,017-929-851-505-809;;076-155-286-528-330;;049-215-178-779-362;;046-848-638-949-686;;044-029-805-784-101;;112-722-336-086-131;;062-344-392-112-675,7847148;;10.1007/bf01400656;;10.3171/jns.1987.66.2.0270;;3806207;;10.1016/0002-9610(72)90195-x;;5013763;;8133991;;10.1097/00006123-199312000-00014;;10.1227/00006123-199312000-00014;;10.1097/00006123-200111000-00026;;10.1227/00006123-200111000-00026;;11846910;;3111189;;10.1007/bf01402364;;10682934;;10.1007/s101430050023,"Behrens et al., ""Subdural and Depth Electrodes in the Presurgical Evaluation of Epilepsy"" Acta Neurochir (1994) 128:84-87.;;Palatinksky et al., ""SSEP and BAEP Monitoring of Temporary Clip Application and Induced Hypotension during Cerebrovascular Surgery"" in Intraoperative Monitoring Techniques in Neurosurgery, (C.M. Loftus et al., eds.), 1994, Cpt. 7, pp. 61-71, McGraw-Hill, Inc., NY.;;Rampil I.J., ""Electroencephlogram"" in Textbook of Neuroanesthesia with Neurosurgical and Neuroscience Perspectives, (M.S. Albin, ed.), 1996, Cpt. 6, pp. 193, 207-208, McGraw-Hill, Inc., NY.;;Hongo et al., ""Monitoring Retraction Pressure on the Brain,"" J. Neurosurg., vol. 66, Feb. 1987, pp. 270-275.;;Donaghy et al., ""Pressure Measurement Beneath Retractors for Protection of Delicate Tissues,"" American Journal of Surgery, 1972, 123:429-431.;;Andrews et al., ""A Review of the Brain Retraction and Recommendations for Minimizing Intraoperative Brain Injury,"" Neurosurgery, vol. 22, No. 6, Dec. 1993, pp. 1052-1063.;;Piper et al., ""The Camino Intracranial Sensor: Is it Optimal Technology? An Internal Audit With a Review of Current Intracranial Pressure Monitoring Technologies,"" Neurosurgery, 2001, 49:1158-65.;;Rosenorn, J, ""Self-Retaining Brain Retractor Pressure During Intracranial Procedures,"" Acta Neurochirurgica, 1987, 85:17-22.;;Apan, A., ""A Sensitive Brain Retractor for Neurosurgery,"" Neurosurg Rev., 1999, 22:230.;;Aesculap-Spiegelberg, ""Accuracy. Reliability. Peace of Mind. ICP and CPP Monitoring,"" BBraun.;;Connolly, et al., ""Hypothermic Cardiac Standstill for Cerrebral Aneurysm Surgery,"" Current Management of Cerebral Aneurysms, Part II: Techniques of Aneurysm Occlusion, vol. 9 No. 4, Oct. 1998, pp. 681-695.",EXPIRED
5,DE,D1,DE 50306722 D1,070-145-988-996-641,2007-04-19,2007,DE 50306722 T,2003-06-20,EP 02014990 A,2002-07-10,"Elektrisches Gerät, insbesondere Schalt- und/oder Steuergerät für Kraftfahrzeuge",,TYCO ELECTRONICS AMP GMBH,KOPERLY AYAD;;SPIELVOGEL MICHAEL;;SEIPEL VOLKER;;HETSCHGER THOMAS,,https://lens.org/070-145-988-996-641,Granted Patent,no,0,0,1,4,0,,H05K5/00;;B60R16/02,,0,0,,,,EXPIRED
6,EP,A3,EP 1381262 A3,002-005-713-013-510,2004-10-13,2004,EP 03013904 A,2003-06-20,EP 03013904 A;;EP 02014990 A,2002-07-10,"Electrical device, particularly for switching and/or controlling device in vehicle","Die Erfindung betrifft ein elektrisches Gerät, insbesondere ein Schalt- und/oder Steuergerät für Kraftfahrzeuge, mit einem Trägerkörper (4) zur Aufnahme eines Schaltungsträgers, auf dem eine Schaltungsanordnung mit einer Vielzahl von zu kontaktierenden Schaltungskomponenten aufgebracht ist. Der Trägerkörper (4) ist zum Einschub in einen Gehäusekörper (21) unter Bildung eines abgedichteten Außengehäuses vorgesehen. An einer Frontseite (42) des Trägerkörpers (4) sind eine Fädelplatte (45) sowie eine Stiftleiste (47) vorgesehen. Fädelplatte (45) und/oder Stiftleiste (47) sind jeweils integrativer Bestandteil des Trägerkörpers (4).",TYCO ELECTRONICS AMP GMBH,KOPERLY AYAD;;SPIELVOGEL MICHAEL;;SEIPEL VOLKER;;HETSCHGER THOMAS,"TE CONNECTIVITY GERMANY GMBH, DE (2015-07-24)",https://lens.org/002-005-713-013-510,Search Report,yes,4,0,3,4,0,H05K5/0047;;F16H61/0006,H05K5/00,,0,0,,,,EXPIRED
7,EP,A2,EP 1381262 A2,122-359-018-681-153,2004-01-14,2004,EP 03013904 A,2003-06-20,EP 03013904 A;;EP 02014990 A,2002-07-10,"Electrical device, particularly for switching and/or controlling device in vehicle","Die Erfindung betrifft ein elektrisches Gerät, insbesondere ein Schalt- und/oder Steuergerät für Kraftfahrzeuge, mit einem Trägerkörper (4) zur Aufnahme eines Schaltungsträgers, auf dem eine Schaltungsanordnung mit einer Vielzahl von zu kontaktierenden Schaltungskomponenten aufgebracht ist. Der Trägerkörper (4) ist zum Einschub in einen Gehäusekörper (21) unter Bildung eines abgedichteten Außengehäuses vorgesehen. An einer Frontseite (42) des Trägerkörpers (4) sind eine Fädelplatte (45) sowie eine Stiftleiste (47) vorgesehen. Fädelplatte (45) und/oder Stiftleiste (47) sind jeweils integrativer Bestandteil des Trägerkörpers (4).",TYCO ELECTRONICS AMP GMBH,KOPERLY AYAD;;SPIELVOGEL MICHAEL;;SEIPEL VOLKER;;HETSCHGER THOMAS,"TE CONNECTIVITY GERMANY GMBH, DE (2015-07-24)",https://lens.org/122-359-018-681-153,Patent Application,yes,0,4,3,4,0,F16H61/0006;;H05K5/0047,H05K5/00,,0,0,,,,EXPIRED
8,EP,B1,EP 1381262 B1,139-248-301-355-906,2007-03-07,2007,EP 03013904 A,2003-06-20,EP 03013904 A;;EP 02014990 A,2002-07-10,"Electrical device, particularly for switching and/or controlling device in vehicle",,TYCO ELECTRONICS AMP GMBH,KOPERLY AYAD;;SPIELVOGEL MICHAEL;;SEIPEL VOLKER;;HETSCHGER THOMAS,"TE CONNECTIVITY GERMANY GMBH, DE (2015-07-24)",https://lens.org/139-248-301-355-906,Granted Patent,yes,4,0,3,4,0,F16H61/0006;;H05K5/0047,H05K5/00;;B60R16/02,,0,0,,,,EXPIRED
9,FR,B1,FR 3064564 B1,078-694-554-093-886,2019-06-14,2019,FR 1752851 A,2017-04-03,FR 1752851 A,2017-04-03,PANNEAU DE GARNISSAGE INTERIEUR DE VEHICULE AUTOMOBILE,"L'invention concerne un panneau (1) comprenant : une âme (2) structurelle présentant au moins un coin (6) ; une couche de revêtement d'endroit (7) associée à ladite âme, la périphérie de ladite couche étant pourvue de créneaux (9) dans ledit coin ; une couche de revêtement d'envers (10) ; un insert (11) disposé dans ledit coin de manière à présenter une face libre (12), ladite couche de revêtement d'envers s'étendant contre ladite face libre; un cache (13) à base de matériau thermoplastique, ledit cache présentant une face d'aspect (14) et une face cachée (15), ladite face cachée étant associé à ladite face libre par une pluralité de zones de soudure (16), lesdites zones étant situées entre lesdits créneaux de sorte que ledit cache soit soudé audit insert par l'intermédiaire de ladite couche de revêtement d'envers ayant subi une fusion localisée.",CERA APS,BRILLON ERIC;;AYAD MUSTAPHA;;ROUSSEAUX FREDERIC;;RAYBAUD MICHAEL;;RIBES STEPHANE,"TREVES PRODUCTS, SERVICES & INNOVATION, FR (2020-02-21)",https://lens.org/078-694-554-093-886,Granted Patent,no,0,0,2,2,0,B60R5/044;;B32B3/30;;B32B5/022;;B32B5/18;;B32B5/245;;B32B7/08;;B32B7/12;;B32B27/065;;B32B27/08;;B32B27/12;;B32B27/34;;B32B27/36;;B32B2266/0278;;B32B2307/718;;B32B2605/003;;B32B2607/00;;B60R13/0268,B60R13/01;;B29C44/12;;B29C65/02;;B29K67/00;;B29K77/00;;B60R7/02,,0,0,,,,INACTIVE
10,FR,A1,FR 3064564 A1,158-689-285-541-954,2018-10-05,2018,FR 1752851 A,2017-04-03,FR 1752851 A,2017-04-03,PANNEAU DE GARNISSAGE INTERIEUR DE VEHICULE AUTOMOBILE,"L'invention concerne un panneau (1) comprenant : une âme (2) structurelle présentant au moins un coin (6) ; une couche de revêtement d'endroit (7) associée à ladite âme, la périphérie de ladite couche étant pourvue de créneaux (9) dans ledit coin ; une couche de revêtement d'envers (10) ; un insert (11) disposé dans ledit coin de manière à présenter une face libre (12), ladite couche de revêtement d'envers s'étendant contre ladite face libre; un cache (13) à base de matériau thermoplastique, ledit cache présentant une face d'aspect (14) et une face cachée (15), ladite face cachée étant associé à ladite face libre par une pluralité de zones de soudure (16), lesdites zones étant situées entre lesdits créneaux de sorte que ledit cache soit soudé audit insert par l'intermédiaire de ladite couche de revêtement d'envers ayant subi une fusion localisée.",CERA APS,BRILLON ERIC;;AYAD MUSTAPHA;;ROUSSEAUX FREDERIC;;RAYBAUD MICHAEL;;RIBES STEPHANE,"TREVES PRODUCTS, SERVICES & INNOVATION, FR (2020-02-21)",https://lens.org/158-689-285-541-954,Patent Application,no,9,3,2,2,0,B60R5/044;;B32B3/30;;B32B5/022;;B32B5/18;;B32B5/245;;B32B7/08;;B32B7/12;;B32B27/065;;B32B27/08;;B32B27/12;;B32B27/34;;B32B27/36;;B32B2266/0278;;B32B2307/718;;B32B2605/003;;B32B2607/00;;B60R13/0268,B60R13/01;;B29C44/12;;B29C65/02;;B29K67/00;;B29K77/00;;B60R7/02,,0,0,,,,INACTIVE
