"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,ES,T3,ES 2417488 T3,049-938-051-308-378,2013-08-08,2013,ES 05823049 T,2005-12-01,US 63241204 P;;EP 2005012856 W,2004-12-02,Compuestos de triazol adecuados para tratar trastornos que responden a la modulación del receptor de dopamina D3,"Compuestos de triazol de fórmula I en la que n es 1 ó 2, Ar es un radical 1, 2, 4-triazol unido a C que porta un radical R1 en el átomo de carbono restante y un radical R1a en uno de los átomos de nitrógeno; R1 es hidrógeno, alquilo C1-C6, cicloalquilo C3-C6, alcoximetilo C1-C4, alquilo C1-C6 fluorado, cicloalquilo C3-C6 fluorado, alcoximetilo C1-C4 fluorado, fenilo o heteroarilo de 5 ó 6 miembros, pudiendo estar fenilo y heteroarilo sustituidos o no sustituidos por 1, 2, 3 ó 4 radicales Ra seleccionados independientemente entre sí de halógeno, 10 alquilo C1-C6, cicloalquilo C3-C6, alcoxi C1-C4-alquilo C1-C4, alquilo C1-C4 fluorado, CN, NO2, OR3, NR3R4, C (O) NR3R4, O-C (O) NR3R4, SO2NR3R4, COOR5, SR6, SOR6, SO2R6, O-C (O) R7, COR7 o cicloalquilmetilo C3-C5, pudiendo portar también fenilo y heteroarilo un grupo fenilo o un radical heteroaromático unido a C, aromático de 5 ó 6 miembros, que comprende 1 átomo de nitrógeno como miembro del anillo y 0, 1, 2 ó 3 heteroátomos adicionales, independientemente entre sí, seleccionados de O, S y N, pudiendo portar al menos dos radicales mencionados 1, 2, 3 ó 4 de los radicales Ra mencionados anteriormente, R1a es hidrógeno o alquilo C1-C4, R2 es alquilo C1-C6, cicloalquilo C3-C6, alquilo C1-C6 fluorado o cicloalquilo C3-C6 fluorado, R3, R4, R5, R6 y R7 independientemente entre sí son H, alquilo C1-C6, opcionalmente sustituido con OH, alcoxilo C1-C4 o fenilo, haloalquilo C1-C4 o fenilo, que puede portar 1, 2 ó 3 radicales seleccionados del grupo que consiste en 20 alquilo C1-C6, alcoxilo C1-C6, NR3aR4a, CN, fluoroalquilo C1-C2 y halógeno, siendo R3a y R4a independientemente entre sí, H, alquilo C1-C6, opcionalmente sustituido con OH, alcoxilo C1-C4 o fenilo, haloalquilo C1-C4 o fenilo, que puede portar 1, 2 ó 3 radicales seleccionados del grupo que consiste en alquilo C1-C6, alcoxilo C1-C6, amino, NH (alquilo C1-C4) y N (alquilo C1-C4) 2, R4 también puede ser un radical COR8, siendo R8 hidrógeno, alquilo C1-C6, alcoxilo C1-C6 o fenilo, que puede portar 1, 2 ó 3 radicales seleccionados del grupo que consiste en alquilo C1-C6, alcoxilo C1-C6, NR3R4, CN, fluoroalquilo C1-C2 y halógeno, R3 y R4 pueden formar, junto con el átomo de nitrógeno al que están unidos, un heterociclo saturado de 5 ó 6 miembros unido a N, que puede comprender un átomo de oxígeno o un átomo de nitrógeno adicional como miembro del anillo y que puede portar 1, 2, 3 ó 4 grupos alquilo C1-C6, y las sales de adición de ácido fisiológicamente toleradas de estos compuestos.",ABBOTT GMBH & CO KG,UNGER LILIANE;;HAUPT ANDREAS;;BEYERBACH ARMIN;;DRESCHER KARLA;;BRAJE WILFRIED;;DARBYSHIRE JOHN;;TURNER SEAN;;BACKFISCH GISELA,,https://lens.org/049-938-051-308-378,Granted Patent,no,0,0,18,18,0,C07D403/12;;A61P13/12;;A61P15/08;;A61P15/10;;A61P25/00;;A61P25/08;;A61P25/14;;A61P25/16;;A61P25/18;;A61P25/20;;A61P25/22;;A61P25/24;;A61P25/26;;A61P25/28;;A61P25/30;;A61P25/32;;A61P25/34;;A61P25/36;;A61P3/00;;A61P3/10;;A61P43/00;;C07D401/04;;C07D401/14;;C07D403/12,A61K31/506;;A61P25/18;;C07D403/12,,0,0,,,,ACTIVE
2,AU,A1,AU 2005/311452 A1,041-952-300-931-356,2006-06-08,2006,AU 2005/311452 A,2005-12-01,US 63241204 P;;EP 2005012856 W,2004-12-02,Triazole compounds suitable for treating disorders that respond to modulaiont of the dopamine D3 receptor,,ABBOTT GMBH & CO KG,TURNER SEAN C;;HAUPT ANDREAS;;DARBYSHIRE JOHN;;DRESCHER KARLA;;BACKFISCH GISELA;;UNGER LILIANE;;BEYERBACH ARMIN;;BRAJE WILFRIED,,https://lens.org/041-952-300-931-356,Patent Application,no,0,0,18,18,0,C07D403/12;;A61P13/12;;A61P15/08;;A61P15/10;;A61P25/00;;A61P25/08;;A61P25/14;;A61P25/16;;A61P25/18;;A61P25/20;;A61P25/22;;A61P25/24;;A61P25/26;;A61P25/28;;A61P25/30;;A61P25/32;;A61P25/34;;A61P25/36;;A61P3/00;;A61P3/10;;A61P43/00;;C07D401/04;;C07D401/14;;C07D403/12,A61K31/506;;A61P25/18;;C07D403/12,,0,0,,,,DISCONTINUED
3,WO,A1,WO 2006/058753 A1,076-418-167-183-167,2006-06-08,2006,EP 2005012856 W,2005-12-01,US 63241204 P,2004-12-02,TRIAZOLE COMPOUNDS SUITABLE FOR TREATING DISORDERS THAT RESPOND TO MODULAIONT OF THE DOPAMINE D3 RECEPTOR,"The invention relates to compounds of formula (I), wherein n is 1 or 2, Ar is a C-bound 1,2,4-triazol radical which carries a radical R1 on the remaining carbon atom and a radical R1a on one of the nitrogen atoms; R1 is hydrogen, C1-C6 alkyl, C3-C6 cycloalkyl, C1-C4 alkoxymethyl, fluorinated C1-C6 alkyl, fluorinated C3-C6 cycloalkyl, fluorinated C1-C4 alkoxymethyl, or optionally substituted phenyl or 5- or 6-membered heteroaryl; R1a is hydrogen or C1-C4 alkyl; and R2 is C1-C6 alkyl, C3-C6 cycloalkyl, fluorinated C1-C6 alkyl or fluorinated C3-C6 cycloalkyl; and to the physiologically tolerated acid addition salts of there compounds. The invention also relates to a pharmaceuticaly composition that comprises at least one triazole compound of the formula (I) and/or at least one physiologically tolerated acid addition salt thereof, and further to a method for treating disorders that respond beneficially to dopamine D3 receptor antagonists or dopamine D3 agonists, said method comprising administering an effective amount of at least one traizole compound or physiologically tolerated acid addition salt of the formula (I) to a subject in need thereof.",ABBOTT GMBH & CO KG;;UNGER LILIANE;;HAUPT ANDREAS;;BEYERBACH ARMIN;;DRESCHER KARLA;;BRAJE WILFRIED;;DARBYSHIRE JOHN;;TURNER SEAN C;;BACKFISCH GISELA,UNGER LILIANE;;HAUPT ANDREAS;;BEYERBACH ARMIN;;DRESCHER KARLA;;BRAJE WILFRIED;;DARBYSHIRE JOHN;;TURNER SEAN C;;BACKFISCH GISELA,,https://lens.org/076-418-167-183-167,Patent Application,yes,4,8,18,18,0,C07D403/12;;A61P13/12;;A61P15/08;;A61P15/10;;A61P25/00;;A61P25/08;;A61P25/14;;A61P25/16;;A61P25/18;;A61P25/20;;A61P25/22;;A61P25/24;;A61P25/26;;A61P25/28;;A61P25/30;;A61P25/32;;A61P25/34;;A61P25/36;;A61P3/00;;A61P3/10;;A61P43/00;;C07D401/04;;C07D401/14;;C07D403/12,A61K31/506;;A61P25/18;;C07D403/12,,0,0,,,,PENDING
4,US,B2,US 11574876 B2,187-824-473-381-186,2023-02-07,2023,US 201816008961 A,2018-06-14,US 201816008961 A;;US 201213652194 A,2012-10-15,Microchip charge patterning,"A method of forming a charge pattern on a microchip includes depositing a material on the surface of the microchip, and immersing the microchip in a fluid to develop charge in or on the material through interaction with the surrounding fluid.",PALO ALTO RES CT INC,CHOW EUGENE M;;LU JENPING;;VOLKEL ARMIN R;;HSIEH BING R;;WHITING GREGORY L;;DORIS SEAN E,PALO ALTO RESEARCH CENTER INCORPORATED (2018-06-11);;XEROX CORPORATION (2023-04-16),https://lens.org/187-824-473-381-186,Granted Patent,yes,18,0,8,8,0,H01L24/95;;H01L2223/5442;;H01L2223/54426;;H01L2223/54433;;H01L2224/95085;;H01L2224/95145;;H01L2924/10253;;H01L2924/10329;;H01L23/544;;H01L24/95;;H01L2223/5442;;H01L2223/54426;;H01L2223/54433;;H01L2224/95085;;H01L2224/95145;;H01L2924/10253;;H01L2924/10329;;H01L23/544,H01L21/00;;H01L23/00;;H01L23/544,,4,2,086-995-860-001-053;;097-202-785-873-199,10.1021/cr040087x;;17091929;;23402544;;10.1021/la3049086,"Detig, Robert H., “Electrophorectic Self Assembly: A Manufacturing Process for Various Industries,” Final Program and Proceedings of IS&T's NIP20: International Conference on Digital Printing Technologies, Oct. 31-Nov. 5, 2004, Salt Lake City, UT, Society for Imaging Science and Technology, Oct. 31, 2004, pp. 236-240.;;European Search Report, EP 13 18 8461, dated Feb. 28, 2014, 9 pages.;;Marcus et al., “Ion Pairing,” Chem. Rev. 2006, 106, 4585-4621.;;Hussain et al., “Charge Generation in Low-Polarity Solvents: Poly(ionic liquid)-Functionalized Particles,” Langmuir (2013), 29, 4204-4213.",ACTIVE
5,TW,A,TW 200633710 A,108-960-356-952-665,2006-10-01,2006,TW 94142668 A,2005-12-02,US 63241204 P,2004-12-02,Triazole compounds suitable for treating disorders that respond to modulation of the dopamine D3 receptor,"The invention relates to compounds of the formula I: wherein n is 1 or 2, Ar is a C-bound 1,2,4-triazol radical which carries a radical R1 on the remaining carbon atom and a radical R1a on one of the nitrogen atoms; R1 is hydrogen, C1-C6 alkyl, C3-C6 cycloalkyl, C1-C4 alkoxymethyl, fluorinated C1-C6 alkyl, fluorinated C3-C6 cycloalkyl, fluorinated C1-C4 alkoxymethyl, or optionially substituted phenyl or 5- or 6-membered heteroaryl; R1a is hydrogen or C1-C4 alkyl; and R2 is C1-C6 alkyl, C3-C6 cycloalkyl, fluorinated C1-C6 alkyl or fluorinated C3-C6 cycloalkyl; and to the physiologically tolerated acid addition salts of these compounds. The invention also relates to a pharmaceutical composition that comprises at least one triazole compound of the formula I and/or at least one physiologically tolerated acid addition salt thereof, and further to a method for treating disorders that respond beneficially to dopamine D3 receptor antagonists or dopamine D3 agonists, said method comprising administering an effective amount of at least one triazole compound or physiologically tolerated acid addition salt of the formula I to a subject in need thereof.",ABBOTT GMBH & CO KG,HAUPT ANDREAS;;BRAJE WILFRIED;;DRESCHER KARLA;;UNGER LILIANE;;BEYERBACH ARMIN;;DARBYSHIRE JOHN;;BACKFISCH GISELA;;TURNER SEAN C,,https://lens.org/108-960-356-952-665,Patent of Addition,no,0,0,18,18,0,C07D403/12;;A61P13/12;;A61P15/08;;A61P15/10;;A61P25/00;;A61P25/08;;A61P25/14;;A61P25/16;;A61P25/18;;A61P25/20;;A61P25/22;;A61P25/24;;A61P25/26;;A61P25/28;;A61P25/30;;A61P25/32;;A61P25/34;;A61P25/36;;A61P3/00;;A61P3/10;;A61P43/00;;C07D401/04;;C07D401/14;;C07D403/12,,,0,0,,,,PENDING
6,CA,A1,CA 2588457 A1,091-675-698-674-804,2006-06-08,2006,CA 2588457 A,2005-12-01,US 63241204 P;;EP 2005012856 W,2004-12-02,TRIAZOLE COMPOUNDS SUITABLE FOR TREATING DISORDERS THAT RESPOND TO MODULATION OF THE DOPAMINE D3 RECEPTOR,,ABBOTT GMBH & CO KG,TURNER SEAN C;;BACKFISCH GISELA;;DARBYSHIRE JOHN;;UNGER LILIANE;;HAUPT ANDREAS;;DRESCHER KARLA;;BEYERBACH ARMIN;;BRAJE WILFRIED,,https://lens.org/091-675-698-674-804,Patent Application,no,0,0,18,18,0,C07D403/12;;A61P13/12;;A61P15/08;;A61P15/10;;A61P25/00;;A61P25/08;;A61P25/14;;A61P25/16;;A61P25/18;;A61P25/20;;A61P25/22;;A61P25/24;;A61P25/26;;A61P25/28;;A61P25/30;;A61P25/32;;A61P25/34;;A61P25/36;;A61P3/00;;A61P3/10;;A61P43/00;;C07D401/04;;C07D401/14;;C07D403/12,A61P25/18;;A61K31/506;;C07D403/12,,0,0,,,,DISCONTINUED
7,US,A1,US 2012/0095015 A1,089-075-132-712-110,2012-04-19,2012,US 201113333702 A,2011-12-21,US 201113333702 A;;US 79259608 A;;EP 2005012856 W;;US 63241204 P,2004-12-02,TRIAZOLE COMPOUNDS SUITABLE FOR TREATING DISORDERS THAT RESPOND TO MODULATION OF THE DOPAMINE D3 RECEPTOR,"The invention relates to compounds of formula (I), wherein n is 1 or 2, Ar is a C-bound 1,2,4-triazol radical which carries a radical R 1 on the remaining carbon atom and a radical R 1a on one of the nitrogen atoms; R 1 is hydrogen, C 1 -C 6 alkyl, C 3 -C 6 cycloalkyl, C 1 -C 4 alkoxymethyl, fluorinated C 1 -C 6 alkyl, fluorinated C 3 -C 6 cycloalkyl, fluorinated C 1 -C 4 alkoxymethyl, or optionally substituted phenyl or 5- or 6-membered heteroaryl; R 1a is hydrogen or C 1 -C 4 alkyl; and R 2 is C 1 -C 6 alkyl, C 3 -C 6 cycloalkyl, fluorinated C 1 -C 6 alkyl or fluorinated C 3 -C 6 cycloalkyl; and to the physiologically tolerated acid addition salts of there compounds. The invention also relates to a pharmaceutically composition that comprises at least one triazole compound of the formula (I) and/or at least one physiologically tolerated acid addition salt thereof, and further to a method for treating disorders that respond beneficially to dopamine D 3 receptor antagonists or dopamine D 3 agonists, said method comprising administering an effective amount of at least one triazole compound or physiologically tolerated acid addition salt of the formula (I) to a subject in need thereof.",UNGER LILIANE;;HAUPT ANDREAS;;BEYERBACH ARMIN;;DRESCHER KARLA;;BRAJE WILFRIED;;DARBYSHIRE JOHN;;TURNER SEAN C;;BACKFISCH GISELA,UNGER LILIANE;;HAUPT ANDREAS;;BEYERBACH ARMIN;;DRESCHER KARLA;;BRAJE WILFRIED;;DARBYSHIRE JOHN;;TURNER SEAN C;;BACKFISCH GISELA,ABBVIE DEUTSCHLAND GMBH & CO KG (2012-11-01),https://lens.org/089-075-132-712-110,Patent Application,yes,5,0,18,18,0,C07D403/12;;A61P13/12;;A61P15/08;;A61P15/10;;A61P25/00;;A61P25/08;;A61P25/14;;A61P25/16;;A61P25/18;;A61P25/20;;A61P25/22;;A61P25/24;;A61P25/26;;A61P25/28;;A61P25/30;;A61P25/32;;A61P25/34;;A61P25/36;;A61P3/00;;A61P3/10;;A61P43/00;;C07D401/04;;C07D401/14;;C07D403/12,A61K31/506;;A61P25/00;;A61P25/18;;C07D403/14,514/252.19;;544/295,0,0,,,,DISCONTINUED
8,US,A1,US 2023/0187373 A1,171-829-612-003-292,2023-06-15,2023,US 202318164070 A,2023-02-03,US 202318164070 A;;US 201816008961 A;;US 201213652194 A,2012-10-15,MICROCHIP CHARGE PATTERNING,"A method of forming a charge pattern on a microchip includes depositing a first material on an insulator surface of the microchip, depositing a material having capability of forming a self-assembled monolayer on the other material, wherein the material comprises at least one material selected from the group consisting of: octadecyltrichlorosilane, phenethyltrichlorosilane, hexamethyldisilazane, allyltrimethoxysilane, or perfluorooctyltrichlorosilanem, and patterning the self-assembled monolayer to reveal a portion of the first material. A method of forming a charge pattern in a microchip includes depositing a first material as one of either a solution processed material or a vapor deposited material to generate a first polarity or first magnitude of charge, depositing a second material as a vapor deposited material to generate a second polarity or second magnitude of charge, and immersing the microchip in a non-polar fluid comprising one selected from the group consisting of: an isoparafinnic liquid, a hydrocarbon liquid and dodecane.",PALO ALTO RES CT INC,CHOW EUGENE M;;LU JENPING;;VOLKEL ARMIN R;;HSIEH BING R;;WHITING GREGORY L;;DORIS SEAN E,PALO ALTO RESEARCH CENTER INCORPORATED (2012-10-08);;XEROX CORPORATION (2023-04-16),https://lens.org/171-829-612-003-292,Patent Application,yes,2,0,8,8,0,H01L24/95;;H01L2223/5442;;H01L2223/54426;;H01L2223/54433;;H01L2224/95085;;H01L2224/95145;;H01L2924/10253;;H01L2924/10329;;H01L23/544;;H01L24/95;;H01L2223/5442;;H01L2223/54426;;H01L2223/54433;;H01L2224/95085;;H01L2224/95145;;H01L2924/10253;;H01L2924/10329;;H01L23/544,H01L23/544;;H01L23/00,,0,0,,,,PENDING
9,US,A1,US 2018/0294232 A1,033-259-371-411-790,2018-10-11,2018,US 201816008961 A,2018-06-14,US 201816008961 A;;US 201213652194 A,2012-10-15,MICROCHIP CHARGE PATTERNING,"A method of forming a charge pattern on a microchip includes depositing a material on the surface of the microchip, and immersing the microchip in a fluid to develop charge in or on the material through interaction with the surrounding fluid.",PALO ALTO RES CT INC,CHOW EUGENE M;;LU JENPING;;VOLKEL ARMIN R;;HSIEH BING R;;WHITING GREGORY L;;DORIS SEAN E,PALO ALTO RESEARCH CENTER INCORPORATED (2018-06-11);;XEROX CORPORATION (2023-04-16),https://lens.org/033-259-371-411-790,Patent Application,yes,19,0,8,8,0,H01L24/95;;H01L2223/5442;;H01L2223/54426;;H01L2223/54433;;H01L2224/95085;;H01L2224/95145;;H01L2924/10253;;H01L2924/10329;;H01L23/544;;H01L24/95;;H01L2223/5442;;H01L2223/54426;;H01L2223/54433;;H01L2224/95085;;H01L2224/95145;;H01L2924/10253;;H01L2924/10329;;H01L23/544,H01L23/544;;H01L23/00,,3,2,086-995-860-001-053;;097-202-785-873-199,10.1021/cr040087x;;17091929;;23402544;;10.1021/la3049086,"DETIG ROBERT H.: ""Electrophorectic Self Assembly : A Manufacturing Process for various Industries"", FINAL PROGRAM AND PROCEEDINGS OF IS&T'S NIP20 : INTERNATIONAL CONFERENCE ON DIGITAL PRINTING TECHNOLOGIES, 31 October 2004 (2004-10-31), Salt Lake City, UT, Society for Imaging Science and Technology, pages 236 - 240, XP009176344;;MARCUS ET AL.: ""Ion pairing"", CHEM REV, vol. 106, 2006, pages 4585 - 4621;;HUSSAIN ET AL.: ""Charge generation in Low-Polarity Solvents: Poly(ionic liquid)- Functionalized particles"", LANGMUIR, vol. 29, 2013, pages 4204 - 4213",ACTIVE
10,US,B2,US 8101754 B2,091-426-540-706-936,2012-01-24,2012,US 79259605 A,2005-12-01,US 79259605 A;;US 63241204 P;;EP 2005012856 W,2004-12-02,Triazole compounds suitable for treating disorders that respond to modulation of the dopamine D3 receptor,"The invention relates to compounds of the formula I: wherein n is 1 or 2,Ar is a C-bound 1,2,4-triazol radical which carries a radical R 1 on the remaining carbon atom and a radical R 1a on one of the nitrogen atoms;R 1 is hydrogen, C 1 -C 6 alkyl, C 3 -C 6 cycloalkyl, C 1 -C 4 alkoxymethyl, fluorinated C 1 -C 6 alkyl, fluorinated C 3 -C 6 cycloalkyl, fluorinated C 1 -C 4 alkoxymethyl, or optionially substituted phenyl or 5- or 6-membered heteroaryl;R 1a is hydrogen or C 1 -C 4 alkyl; andR 2 is C 1 -C 6 alkyl, C 3 -C 6 cycloalkyl, fluorinated C 1 -C 6 alkyl or fluorinated C 3 -C 6 cycloalkyl; and to the physiologically tolerated acid addition salts of these compounds. The invention also relates to a pharmaceutical composition that comprises at least one triazole compound of the formula I and/or at least one physiologically tolerated acid addition salt thereof, and further to a method for treating disorders that respond beneficially to dopamine D 3 receptor antagonists or dopamine D 3 agonists, said method comprising administering an effective amount of at least one triazole compound or physiologically tolerated acid addition salt of the formula I to a subject in need thereof.",UNGER LILIANE;;HAUPT ANDREAS;;BEYERBACH ARMIN;;DRESCHER KARLA;;BRAJE WILFRIED;;DARBYSHIRE JOHN;;TURNER SEAN C;;BACKFISCH GISELA;;ABBOTT GMBH & CO KG,UNGER LILIANE;;HAUPT ANDREAS;;BEYERBACH ARMIN;;DRESCHER KARLA;;BRAJE WILFRIED;;DARBYSHIRE JOHN;;TURNER SEAN C;;BACKFISCH GISELA,ABBOTT GMBH & CO. KG (2007-07-31);;ABBVIE DEUTSCHLAND GMBH & CO KG (2012-11-01),https://lens.org/091-426-540-706-936,Granted Patent,yes,12,1,18,18,0,C07D403/12;;A61P13/12;;A61P15/08;;A61P15/10;;A61P25/00;;A61P25/08;;A61P25/14;;A61P25/16;;A61P25/18;;A61P25/20;;A61P25/22;;A61P25/24;;A61P25/26;;A61P25/28;;A61P25/30;;A61P25/32;;A61P25/34;;A61P25/36;;A61P3/00;;A61P3/10;;A61P43/00;;C07D401/04;;C07D401/14;;C07D403/12,A61K31/506;;C07D403/14;;A61P25/18;;C07D403/12,544/327;;514/252.19,7,5,096-583-800-197-72X;;045-186-931-440-022;;031-458-967-384-69X;;085-016-098-817-131;;066-203-166-874-90X,10.1016/j.tips.2008.03.009;;18471899;;10.1016/s1359-6446(05)03491-4;;15993811;;9638397;;10.2165/00002512-199812060-00007;;10.1016/s0163-7258(01)00139-5;;11578658;;10.1038/347146a0;;1975644,"Strange, PG., et al., Trends in Pharmacological Sciences, vol. 29, No. 6, 314-321, 2008.;;Joyce et al., Drug Discovery Today, vol. 10, No. 13, 917-925, 2005.;;J.C. Schwartz et al., The Dopamine D3 Receptor as a Target for Antipsychotics, in Novel Antipsychotic Drugs, H.Y. Meltzer, Ed. Raven Press, New York, 1992, pp. 135-144.;;M. Dooley et al., ""Pramipexole, A Review of its Use in the Management of Early and Advanced Parkinson's Disease""; Drugs and Aging 1998, 12, 495-514.;;J. N. Joyce, Pharmacology and Therapeutics 2001, 90, pp. 231-259 ""The Dopamine D3 Receptor as a Therapeutic Target for Antipsychotic and Antiparkinsonian Drugs"".;;P. Sokoloff et al., Localization and Function of the D3 Dopamine Receptor, Arzneim. Frosch./Drug Res. 42(1), 224 (1992).;;P. Sokoloff et al., Molecular Cloning and Characterization of a Novel Dopamine Receptor (D3) as a Target for Neuroleptics, Nature, 347, 146 (1990).",INACTIVE
