"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,B2,US 11192662 B2,006-309-661-420-998,2021-12-07,2021,US 201816188512 A,2018-11-13,US 201816188512 A,2018-11-13,Aircraft integrated modular avionics inter-partition communications simulation modeling language extension,"Systems and methods for implementing a modeling language extension for inter-partition communication are provided. Aspects include defining, by a modeling language, a simulation model, defining a simulation model extension, the simulation model extension comprising at least one sampling port communication module and at least one queueing port communication module, and adding the simulation model extension to the simulation model.",KIDDE TECH INC,ADKINS DANA EUGENE,KIDDE TECHNOLOGIES INC (2018-11-09),https://lens.org/006-309-661-420-998,Granted Patent,yes,17,0,3,3,0,B64F5/00;;G06F30/15;;G06F30/15;;G06F30/20;;G06F30/20;;G06F30/3308,G06F30/20;;B64F5/00;;G06F30/15;;G06F30/3308,,4,4,120-158-205-003-397;;044-668-974-879-444;;050-965-550-424-727;;057-882-444-145-100,10.1109/dasc.2018.8569824;;10.1145/1653616.1647435;;10.1109/isorc.2010.39;;10.1109/issre.2015.7381821,"Corraro et al., “A novel approach for the development and coding of avionics functionalities for IMA architectures,” IEEE, AIAA 37th Digital Avionics Systems Conference (DASC), Sep. 23, 2018, 8 pages.;;Delange et al., “Validate, simulate, and implement ARINC653 systems using AADL,” ADA Letters, ACM, vol. 29, No. 3, Nov. 1, 2009, pp. 31-44.;;Dubey et al., “A Real-Time Component Framework: Experience with CCM and ARINC-653,” 2010 13th IEEE International Sumposium on Object/Component/Service-Oriented Real-Time Distributed Computing (ISORC), May 5, 2010, pp. 143-150.;;Zhao et al., “Event-based formalization of safety-critical operating system standards: An experience report on ARINC 653 using Event-B,” 2015 IEEE 26th International Symposium on Software Realiability Engineering (ISSRE), Nov. 2, 2015, pp. 281-292.",ACTIVE
2,EP,A1,EP 3654224 A1,125-461-349-913-502,2020-05-20,2020,EP 19208609 A,2019-11-12,US 201816188512 A,2018-11-13,AIRCRAFT INTEGRATED MODULAR AVIONICS INTER-PARTITION COMMUNICATIONS SIMULATION MODELING LANGUAGE EXTENSION,"Systems and methods for implementing a modeling language extension for inter-partition communication are provided. Aspects include defining, by a modeling language, a simulation model, defining a simulation model extension, the simulation model extension comprising at least one sampling port communication module and at least one queueing port communication module, and adding the simulation model extension to the simulation model.
",KIDDE TECH INC,ADKINS DANA EUGENE,,https://lens.org/125-461-349-913-502,Patent Application,yes,1,0,3,3,0,G06F30/15;;G06F30/20;;G06F30/20;;G06F30/15;;B64F5/00;;G06F30/3308,G06F30/20;;G06F30/15,,4,4,120-158-205-003-397;;057-882-444-145-100;;044-668-974-879-444;;050-965-550-424-727,10.1109/dasc.2018.8569824;;10.1109/issre.2015.7381821;;10.1145/1653616.1647435;;10.1109/isorc.2010.39,"CORRARO GIANLUCA ET AL: ""A novel approach for the development and coding of avionics functionalities for IMA architectures"", 2018 IEEE/AIAA 37TH DIGITAL AVIONICS SYSTEMS CONFERENCE (DASC), IEEE, 23 September 2018 (2018-09-23), pages 1 - 8, XP033469423, DOI: 10.1109/DASC.2018.8569824;;ZHAO YONGWANG ET AL: ""Event-based formalization of safety-critical operating system standards: An experience report on ARINC 653 using Event-B"", 2015 IEEE 26TH INTERNATIONAL SYMPOSIUM ON SOFTWARE RELIABILITY ENGINEERING (ISSRE), IEEE, 2 November 2015 (2015-11-02), pages 281 - 292, XP032850020, DOI: 10.1109/ISSRE.2015.7381821;;JULIEN DELANGE ET AL: ""Validate, simulate, and implement ARINC653 systems using the AADL"", ADA LETTERS, ACM, NEW YORK, NY, US, vol. 29, no. 3, 1 November 2009 (2009-11-01), pages 31 - 44, XP058374713, ISSN: 1094-3641, DOI: 10.1145/1653616.1647435;;ABHISHEK DUBEY ET AL: ""A Real-Time Component Framework: Experience with CCM and ARINC-653"", OBJECT/COMPONENT/SERVICE-ORIENTED REAL-TIME DISTRIBUTED COMPUTING (ISORC), 2010 13TH IEEE INTERNATIONAL SYMPOSIUM ON, IEEE, PISCATAWAY, NJ, USA, 5 May 2010 (2010-05-05), pages 143 - 150, XP031686162, ISBN: 978-1-4244-7083-9",PENDING
3,US,A1,US 2020/0148390 A1,189-030-796-811-222,2020-05-14,2020,US 201816188512 A,2018-11-13,US 201816188512 A,2018-11-13,AIRCRAFT INTEGRATED MODULAR AVIONICS INTER-PARTITION COMMUNICATIONS SIMULATION MODELING LANGUAGE EXTENSION,"Systems and methods for implementing a modeling language extension for inter-partition communication are provided. Aspects include defining, by a modeling language, a simulation model, defining a simulation model extension, the simulation model extension comprising at least one sampling port communication module and at least one queueing port communication module, and adding the simulation model extension to the simulation model.",KIDDE TECH INC,ADKINS DANA EUGENE,,https://lens.org/189-030-796-811-222,Patent Application,yes,0,0,3,3,0,B64F5/00;;G06F30/15;;G06F30/15;;G06F30/20;;G06F30/20;;G06F30/3308,B64F5/00,,0,0,,,,ACTIVE
4,US,A1,US 2015/0203056 A1,099-735-666-709-307,2015-07-23,2015,US 201414160896 A,2014-01-22,US 201414160896 A;;US 201361804927 P,2013-03-25,VEHICLE CONTROL SWITCH WITH CAPACITIVE TOUCH REDUNDANCY ACTUATION,"A vehicle control switch for controlling operation of a device in a motor vehicle is disclosed. The vehicle control switch includes an electromechanical switch switchable between ON and OFF states responsive to physical actuation of the electromechanical switch by an operator, the physical actuation comprising an application of force onto the electromechanical switch by the operator. The vehicle control switch also includes a capacitance sensitive touch sensor positioned adjacent the electromechanical switch and whose capacitance changes when brought into contact with a grounded object, with activation of the electromechanical switch into the ON state being inhibited until a grounded object is brought into contact with the capacitance sensitive touch sensor, such that an activation of the rocker switch to the ON state is enabled only upon contact with the capacitance sensitive touch sensor by the grounded object.",EATON CORP,ADKINS KYLE BENJAMIN;;LELAND DANA KATHRYN,EATON INTELLIGENT POWER LIMITED (2017-12-31);;EATON CORPORATION (2014-01-17),https://lens.org/099-735-666-709-307,Patent Application,yes,2,27,2,2,0,H03K17/962;;H03K17/962;;H01H23/025;;H01H23/025;;H01H23/16;;H01H23/16;;H01H2239/006;;H01H2239/006;;H03K2217/960755;;H03K2217/960755;;Y10T29/49105;;Y10T29/49105,B60R16/02;;H01H11/00;;H01H21/18;;H03K17/96,,0,0,,,,INACTIVE
5,US,B1,US 9926758 B1,101-272-708-745-763,2018-03-27,2018,US 201615363546 A,2016-11-29,US 201615363546 A,2016-11-29,Systems and methods for removing components of a subsea well,Disclosed are systems and methods for removing components of a subsea well having a wellhead located on a seabed and multiple well casings connected to the wellhead and penetrating the seabed. A cutting tool is lowered from a floating vessel to a predetermined cut location in the subsea well. The cutting tool is at the end of a utility line connected to an actuator located on the floating vessel. The cutting tool is used to sever the multiple well casings at the predetermined cut location such that the multiple well casings are completely severed concurrently. The wellhead and the severed multiple well casings are raised together from the seabed to the floating vessel as a single assembly. Various forms of the cutting tool are disclosed. The methods disclosed can include an integrated procedure for dispensing cement to plug the well at the seabed as the well components are being removed.,CHEVRON USA INC,ADKINS JIMMIE DEAN;;WITT DANA EARL,CHEVRON U.S.A. INC (2016-11-29),https://lens.org/101-272-708-745-763,Granted Patent,yes,19,9,1,1,0,E21B29/12;;E21B29/12;;E21B31/20;;E21B31/20,E21B29/12;;E21B19/00;;E21B19/22;;E21B33/035,,0,0,,,,ACTIVE
6,US,B2,US 9559689 B2,042-528-916-931-585,2017-01-31,2017,US 201414160896 A,2014-01-22,US 201414160896 A;;US 201361804927 P,2013-03-25,Vehicle control switch with capacitive touch redundancy actuation,"A vehicle control switch for controlling operation of a device in a motor vehicle is disclosed. The vehicle control switch includes an electromechanical switch switchable between ON and OFF states responsive to physical actuation of the electromechanical switch by an operator, the physical actuation comprising an application of force onto the electromechanical switch by the operator. The vehicle control switch also includes a capacitance sensitive touch sensor positioned adjacent the electromechanical switch and whose capacitance changes when brought into contact with a grounded object, with activation of the electromechanical switch into the ON state being inhibited until a grounded object is brought into contact with the capacitance sensitive touch sensor, such that an activation of the rocker switch to the ON state is enabled only upon contact with the capacitance sensitive touch sensor by the grounded object.",EATON CORP,ADKINS KYLE BENJAMIN;;LELAND DANA KATHRYN,EATON INTELLIGENT POWER LIMITED (2017-12-31);;EATON CORPORATION (2014-01-17),https://lens.org/042-528-916-931-585,Granted Patent,yes,8,2,2,2,0,H03K17/962;;H03K17/962;;H01H23/025;;H01H23/025;;H01H23/16;;H01H23/16;;H01H2239/006;;H01H2239/006;;H03K2217/960755;;H03K2217/960755;;Y10T29/49105;;Y10T29/49105,B60L1/00;;H01H23/02;;H01H23/16;;H03K17/96,,0,0,,,,INACTIVE
7,WO,A1,WO 1991/018345 A1,126-394-999-779-308,1991-11-28,1991,US 9103407 W,1991-05-21,US 52705490 A,1990-05-22,VOICE MESSAGE DECODING AND BUFFERING SYSTEM,"An audio message decoding and buffering system (110) includes a microprocessor (120), a set of message buffers (134) for storing voice messages, and a bus (104) which couples the system to a host computer and a CDROM. The system is pregrogrammed to accept a set of commands from the host computer (102). In particular, the host can instruct the system to preload specified messages in specified ones of its message buffers, and then the host can instruct the system to play back any one or specified set of the voice messages storred in its buffers. In addition, the host can send voice data for storage in a specified message buffer. The system is also programmed to use interleaved CDROM data. In this mode of operation the system simultaneously plays audio data retrieved from the CDROM while transferring to the host computer other data which is interleaved with the audio data being played. Finally, the host can access the CDROM directly, for example so that it can retrieve non-voice data directly from the CDROM.",OPTICAL MEDIA INTERNATIONAL,ADKINS ALLEN L;;REDINGTON DANA;;BOULTON DAVID;;TRAN HIEN,,https://lens.org/126-394-999-779-308,Patent Application,yes,6,16,1,1,0,B60R16/0373;;G01C21/3629;;G06F3/0601;;G06F3/16;;G06F2003/0697;;G11B7/0037;;G11B20/10527;;G11B20/1254;;G11B27/105;;G11B2220/213;;G11B2220/2545,B60R16/02;;B60R16/037;;G01C21/36;;G06F3/06;;G06F3/16;;G11B7/0037;;G11B20/10;;G11B20/12;;G11B27/10,,0,0,,,,PENDING
8,CN,B,CN 102030907 B,197-163-273-359-678,2014-06-25,2014,CN 201010294114 A,2010-09-21,US 24536609 P,2009-09-24,"Crosslinked polysiloxanes, a process for their preparation and use of the crosslinked polysiloxanes in emulsifier systems for water-in-oil emulsion",,EVONIK GOLDSCHMIDT GMBH,NEWMANN THOMAS;;GRUENING BURGHARD;;HOWE ANNA;;ADKINS DANA;;REDDINGER JERRY,EVONIK DEGUSSA GMBH (2015-01-16),https://lens.org/197-163-273-359-678,Granted Patent,no,0,0,12,12,0,A61K8/06;;A61K8/891;;A61Q1/06;;A61Q1/10;;A61Q17/00;;A61Q17/04;;A61Q19/00;;A61Q19/002;;A61Q19/04;;C08G77/38;;C08G77/46;;C08L83/12;;A61P17/00;;C09K23/54;;C08G77/46;;A61Q19/00;;A61Q19/002;;A61Q17/04;;A61Q1/10;;A61Q17/00;;C08L83/12;;A61Q19/04;;C08G77/38;;A61Q1/06;;A61K8/891;;A61K8/06;;C09K23/54,C08G81/00;;A61K8/06;;A61K8/89;;A61K9/107;;A61K47/34;;A61P17/00;;A61Q19/00;;C08G77/38;;C09K23/00;;C09K23/42;;C09K23/52;;C09K23/54,,0,0,,,,ACTIVE
9,JP,A,JP 2011074383 A,168-581-986-641-497,2011-04-14,2011,JP 2010211606 A,2010-09-22,US 24536609 P,2009-09-24,"CROSSLINKED POLYSILOXANE, METHOD FOR PRODUCTION THEREOF AND USE OF CROSSLINKING POLYSILOXANE IN EMULSIFIER SYSTEM FOR WATER-IN-OIL TYPE EMULSIFIED PRODUCT","<P>PROBLEM TO BE SOLVED: To provide an emulsifier system containing a crosslinked organopolysiloxane. <P>SOLUTION: There are provided crosslinked organopolysiloxane combined through Si atom by a polyether building block, the emulsifier system having these crosslinking organopolysiloxanes, and a cosmetic preparation, a skin care preparation or a medical preparation containing the crosslinked organopolysiloxane or the emulsifier system containing these. <P>COPYRIGHT: (C)2011,JPO&INPIT",EVONIK GOLDSCHMIDT GMBH,NEUMANN THOMAS;;GRUENING BURGHARD;;HOWE ANNA;;ADKINS DANA;;REDDINGER JERRY,,https://lens.org/168-581-986-641-497,Patent Application,no,7,0,12,12,0,A61K8/06;;A61K8/891;;A61Q1/06;;A61Q1/10;;A61Q17/00;;A61Q17/04;;A61Q19/00;;A61Q19/002;;A61Q19/04;;C08G77/38;;C08G77/46;;C08L83/12;;A61P17/00;;C09K23/54;;C08G77/46;;A61Q19/00;;A61Q19/002;;A61Q17/04;;A61Q1/10;;A61Q17/00;;C08L83/12;;A61Q19/04;;C08G77/38;;A61Q1/06;;A61K8/891;;A61K8/06;;C09K23/54,C08G77/38;;A61K8/06;;A61K8/894;;A61Q19/00;;C08G77/46;;C09K23/00;;C09K23/42;;C09K23/52;;C09K23/54,,0,0,,,,PENDING
10,CA,A1,CA 2715242 A1,000-674-833-628-435,2011-03-24,2011,CA 2715242 A,2010-09-23,US 24536609 P,2009-09-24,"CROSSLINKED POLYSILOXANES, A PROCESS FOR THEIR PREPARATION AND USE OF THE CROSSLINKED POLYSILOXANES IN EMULSIFIER SYSTEMS FOR WATER-IN-OIL EMULSIONS","The invention relates to crosslinked organopolysiloxanes which are linked by a polyether building block via the Si atoms, to emulsifier systems which have these crosslinked organopolysiloxanes, and also to cosmetic, dermatological or pharmaceutical formulations comprising a crosslinked organopolysiloxane or an emulsifier system comprising these.",EVONIK GOLDSCHMIDT GMBH,NEWMANN THOMAS;;GRUENING BURGHARD;;HOWE ANNA;;ADKINS DANA;;REDDINGER JERRY,,https://lens.org/000-674-833-628-435,Patent Application,no,0,0,12,12,0,A61K8/06;;A61K8/891;;A61Q1/06;;A61Q1/10;;A61Q17/00;;A61Q17/04;;A61Q19/00;;A61Q19/002;;A61Q19/04;;C08G77/38;;C08G77/46;;C08L83/12;;A61P17/00;;C09K23/54;;C08G77/46;;A61Q19/00;;A61Q19/002;;A61Q17/04;;A61Q1/10;;A61Q17/00;;C08L83/12;;A61Q19/04;;C08G77/38;;A61Q1/06;;A61K8/891;;A61K8/06;;C09K23/54,C08G77/46;;A61K8/06;;A61K8/89;;A61K9/107;;A61K47/34;;C08J3/24;;C09K23/00;;C09K23/42;;C09K23/52;;C09K23/54,,0,0,,,,INACTIVE
