"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A1,US 2014/0028463 A1,139-550-534-241-86X,2014-01-30,2014,US 201213559513 A,2012-07-26,US 201213559513 A,2012-07-26,METHODS AND SYSTEMS FOR DETECTION OF SENSOR TAMPERING,"A system includes a utility meter, which includes a first sensor configured to detect usage of electric power, and a tamper detection system configured to detect an abnormality with an electrical current measurement from the first sensor as an indication of a tamper event associated with the first sensor.",CHAMARTI SUBRAMANYAM SATYASURYA;;MURTAZA MOFEEZ;;BIETZ STEVEN LEE;;ANSELL III WILLIAM FREDERICK;;GEN ELECTRIC,CHAMARTI SUBRAMANYAM SATYASURYA;;MURTAZA MOFEEZ;;BIETZ STEVEN LEE;;ANSELL III WILLIAM FREDERICK,GENERAL ELECTRIC COMPANY (2012-07-02),https://lens.org/139-550-534-241-86X,Patent Application,yes,11,15,1,1,0,G01D4/002;;G01R22/066;;G01D4/002;;G01R22/066;;Y02B90/20;;Y04S20/30,G08C15/06,340/870.02,1,0,,,"Musser, George, How home solar arrays can help stabilize the grid, May 24, 2010",DISCONTINUED
2,WO,A1,WO 2008/046901 A1,008-352-564-315-770,2008-04-24,2008,EP 2007061181 W,2007-10-18,EP 06255404 A,2006-10-20,FUEL COMPOSITIONS,"Use of a Fischer-Tropsch derived fuel component, in a fuel composition containing a static dissipator additive, for the purpose of increasing the electrical conductivity of the composition and/or for reducing the concentration of the static dissipator additive in the composition. The fuel composition is preferably an automotive diesel fuel composition.",SHELL INT RESEARCH;;ANSELL CLAIRE;;CLARK RICHARD HUGH;;WARDLE ROBERT WILFRED MATTHEWS;;LEE SZE HSUEAN KAREN,ANSELL CLAIRE;;CLARK RICHARD HUGH;;WARDLE ROBERT WILFRED MATTHEWS;;LEE SZE HSUEAN KAREN,,https://lens.org/008-352-564-315-770,Patent Application,yes,2,1,5,5,0,C10L1/1616;;C10L1/1616;;C10L1/04;;C10L1/04;;C10L1/08;;C10L1/08;;C10L1/14;;C10L1/14;;C10L1/1608;;C10L1/1608;;C10L1/2437;;C10L1/2437;;C10L10/00;;C10L10/00,C10L1/14;;C10L1/04;;C10L1/08;;C10L10/00,,0,0,,,,PENDING
3,WO,A1,WO 2008/046900 A1,094-556-632-198-056,2008-04-24,2008,EP 2007061180 W,2007-10-18,EP 06255403 A,2006-10-20,FUEL COMPOSITIONS,"Use of a lubricity enhancing additive, in a fuel composition containing a static dissipater additive, for the purpose of increasing the electrical conductivity of the composition, and/or for reducing the concentration of the static dissipator additive in the composition. The fuel composition is preferably an automotive diesel fuel composition and preferably contains a Fischer-Tropsch derived fuel component.",SHELL INT RESEARCH;;ANSELL CLAIRE;;WARDLE ROBERT WILFRED MATTHEWS;;CLARK RICHARD HUGH;;LEE SZE HSUEAN KAREN,ANSELL CLAIRE;;WARDLE ROBERT WILFRED MATTHEWS;;CLARK RICHARD HUGH;;LEE SZE HSUEAN KAREN,,https://lens.org/094-556-632-198-056,Patent Application,yes,4,2,4,4,0,C10L1/14;;C10L1/143;;C10L1/19;;C10L1/2437;;C10L10/08;;C10L1/14;;C10L1/2437;;C10L1/143;;C10L10/08;;C10L1/19,C10L1/18;;C10L1/14;;C10L1/24;;C10L10/08,,0,0,,,,PENDING
4,EP,A1,EP 2079818 A1,011-580-749-365-427,2009-07-22,2009,EP 07821544 A,2007-10-18,EP 2007061180 W;;EP 06255403 A;;EP 07821544 A,2006-10-20,FUEL COMPOSITIONS,,SHELL INT RESEARCH,ANSELL CLAIRE;;WARDLE ROBERT WILFRED MATTHEWS;;CLARK RICHARD HUGH;;LEE SZE HSUEAN KAREN,,https://lens.org/011-580-749-365-427,Patent Application,yes,0,0,4,4,0,C10L1/14;;C10L1/14;;C10L1/143;;C10L1/143;;C10L1/19;;C10L1/19;;C10L1/2437;;C10L1/2437;;C10L10/08;;C10L10/08,C10L1/14;;C10L1/18;;C10L1/24;;C10L10/08,,1,0,,,See references of WO 2008046900A1,DISCONTINUED
5,EP,A1,EP 2084250 A1,098-255-620-041-760,2009-08-05,2009,EP 07821545 A,2007-10-18,EP 2007061181 W;;EP 06255404 A;;EP 07821545 A,2006-10-20,FUEL COMPOSITIONS,,SHELL INT RESEARCH,ANSELL CLAIRE;;CLARK RICHARD HUGH;;WARDLE ROBERT WILFRED MATTHEWS;;LEE SZE HSUEAN KAREN,,https://lens.org/098-255-620-041-760,Patent Application,yes,0,0,5,5,0,C10L1/1616;;C10L1/1616;;C10L1/04;;C10L1/04;;C10L1/08;;C10L1/08;;C10L1/14;;C10L1/14;;C10L1/1608;;C10L1/1608;;C10L1/2437;;C10L1/2437;;C10L10/00;;C10L10/00,C10L1/14;;C10L1/04;;C10L1/08;;C10L10/00,,1,0,,,See references of WO 2008046901A1,DISCONTINUED
6,US,B2,US 8926716 B2,081-900-745-240-642,2015-01-06,2015,US 87478207 A,2007-10-18,EP 06255404 A,2006-10-20,Method of formulating a fuel composition,"In a fuel composition containing a static dissipator additive, a Fischer-Tropsch derived fuel component is blended for the purpose of increasing the electrical conductivity of the composition and/or for reducing the concentration of the static dissipator additive in the composition. The fuel composition is preferably an automotive diesel fuel composition.",ANSELL CLAIRE;;CLARK RICHARD HUGH;;WARDLE ROBERT WILFRED MATTHEWS;;LEE SZE HSUEAN KAREN;;SHELL OIL CO,ANSELL CLAIRE;;CLARK RICHARD HUGH;;WARDLE ROBERT WILFRED MATTHEWS;;LEE SZE HSUEAN KAREN,SHELL OIL COMPANY (2007-12-10),https://lens.org/081-900-745-240-642,Granted Patent,yes,36,0,5,5,0,C10L1/1616;;C10L1/1616;;C10L1/04;;C10L1/04;;C10L1/08;;C10L1/08;;C10L1/14;;C10L1/14;;C10L1/1608;;C10L1/1608;;C10L1/2437;;C10L1/2437;;C10L10/00;;C10L10/00,C10L1/10;;C10L1/04;;C10L1/08;;C10L1/14;;C10L1/16;;C10L1/18;;C10L1/24;;C10L10/00,44/300;;44/370;;44/385,4,1,030-518-074-670-547,10.1016/0043-1648(86)90221-8,"The Shell Middle Distillate Synthesis Process, paper delivered at the 5th Synfuels Worldwide Symposium, Washington DC, Nov. 1985.;;The Shell Middle Distillate Synthesis Process Nov. 1989 from Shell International Petroleum Company Ltd, London, UK.;;The Lubricity of Diesel Fuels, Danping Wei and H.A. Spikes, Wear, III (1986), 217-235.;;U.S. Appl. No. 11/874,771, filed Oct. 18, 2007, Ansell et al.",INACTIVE
7,KR,A,KR 20030001355 A,117-491-156-067-52X,2003-01-06,2003,KR 20020035624 A,2002-06-25,US 89214101 A,2001-06-25,Diagnostic golf club system,"PURPOSE: Provided is a diagnostic golf club system which has the ability to make quantitative measurements of specific mechanical or physical properties of the golf club during a golf swing. CONSTITUTION: The diagnostic golf club system includes a club head(16), a shaft(14) attached to the club head, a plurality of strain gauges(20) attached to the shaft and an internal memory device. Each of the plurality of strain gauges is capable of measuring data related to the golf club during a golf swing and the internal memory device is capable of receiving and storing data from the plurality of strain gauges. The club system also includes a computer for processing the data from the internal memory device and an interface mechanism capable of providing communication between the diagnostic golf club and the computer.",CALLAWAY GOLF CO,ANSELL IAN;;HOUSHAR JAN N;;LEE NATHAN J;;LINSDAU AARON;;MATTHEWSON PETER;;SIMMONS NIGEL,,https://lens.org/117-491-156-067-52X,Patent Application,no,0,2,13,13,0,A63B24/0003;;A63B53/10;;A63B53/12;;A63B69/0002;;A63B69/3614;;A63B69/3632;;A63B71/0619;;A63B71/0622;;A63B2220/24;;A63B2220/34;;A63B2220/35;;A63B2220/40;;A63B2220/51;;A63B2220/54;;A63B2220/62;;A63B2220/806;;A63B2220/807;;A63B2220/833;;A63B2225/50;;A63B60/10;;A63B60/06;;A63B60/08;;A63B60/42;;A63B69/362;;A63B60/002;;A63B60/42;;A63B24/0003;;A63B53/10;;A63B53/12;;A63B60/002;;A63B69/3614;;A63B69/362;;A63B69/3632;;A63B71/0622;;A63B60/08;;A63B2220/24;;A63B2220/34;;A63B2220/35;;A63B2220/40;;A63B2220/51;;A63B2220/54;;A63B2220/62;;A63B2220/806;;A63B2220/807;;A63B2220/833;;A63B2225/50;;A63B60/42;;A63B24/0003;;A63B2220/833;;A63B71/0619;;A63B2220/35;;A63B69/3614;;A63B71/0622;;A63B2225/50;;A63B2220/54;;A63B2220/51;;A63B69/3632;;A63B2220/40;;A63B2220/62;;A63B69/0002;;A63B2220/807;;A63B2220/806;;A63B2220/34;;A63B2220/24;;A63B60/06;;A63B60/10;;A63B60/08;;A63B69/362;;A63B60/002,A63B24/00;;A63B59/00;;A63B69/00;;A63B69/36;;A63B71/06,,0,0,,,,EXPIRED
8,GB,A,GB 2377649 A,005-234-836-112-285,2003-01-22,2003,GB 0214532 A,2002-06-24,US 89214101 A,2001-06-25,Diagnostic Golf Club System,"A diagnostic golf club system having a diagnostic golf club (10), an interface means (18) and a computing means (28) which includes a plurality of stain gauges (21) an internal power supply, and a non-volatile memory for capturing data relating to a golf swing. The interface means (18) is capable of transferring data from the diagnostic golf club (10) to the computing means (28) for processing the data and presenting the data in a useful and informative format. The data may be used to determine a shaft flex profile for a particular golfer. The strain guages may be replaced with means for measuring the axial force, transverse shear force, bending movements or torsion on the club shaft.",CALLAWAY GOLF CO,SIMMONS NIGEL;;MATTHEWSON PETER;;ANSELL IAN;;LEE NATHAN J;;LINSDAU AARON;;HOUSHAR JAN N,,https://lens.org/005-234-836-112-285,Patent Application,no,6,0,13,13,0,A63B24/0003;;A63B53/10;;A63B53/12;;A63B69/0002;;A63B69/3614;;A63B69/3632;;A63B71/0619;;A63B71/0622;;A63B2220/24;;A63B2220/34;;A63B2220/35;;A63B2220/40;;A63B2220/51;;A63B2220/54;;A63B2220/62;;A63B2220/806;;A63B2220/807;;A63B2220/833;;A63B2225/50;;A63B60/10;;A63B60/06;;A63B60/08;;A63B60/42;;A63B69/362;;A63B60/002;;A63B60/42;;A63B24/0003;;A63B53/10;;A63B53/12;;A63B60/002;;A63B69/3614;;A63B69/362;;A63B69/3632;;A63B71/0622;;A63B60/08;;A63B2220/24;;A63B2220/34;;A63B2220/35;;A63B2220/40;;A63B2220/51;;A63B2220/54;;A63B2220/62;;A63B2220/806;;A63B2220/807;;A63B2220/833;;A63B2225/50;;A63B60/42;;A63B24/0003;;A63B2220/833;;A63B71/0619;;A63B2220/35;;A63B69/3614;;A63B71/0622;;A63B2225/50;;A63B2220/54;;A63B2220/51;;A63B69/3632;;A63B2220/40;;A63B2220/62;;A63B69/0002;;A63B2220/807;;A63B2220/806;;A63B2220/34;;A63B2220/24;;A63B60/06;;A63B60/10;;A63B60/08;;A63B69/362;;A63B60/002,A63B24/00;;A63B59/00;;A63B69/00;;A63B69/36;;A63B71/06,A6D DPA           DPA;;A6D DTJ           DTJ,0,0,,,,EXPIRED
9,US,B2,US 7837575 B2,146-977-635-968-896,2010-11-23,2010,US 84810607 A,2007-08-30,US 84810607 A;;US 60578503 A;;US 89214101 A;;US 75326400 A;;US 31083599 A,1999-05-12,Diagnostic golf club system,"A diagnostic golf club system having a diagnostic golf club, an interface means and a computing means is disclosed herein. The diagnostic golf club includes a plurality of sensors, an internal power supply, and a non-volatile memory for capturing data relating to a golf swing. The interface means is capable of transferring data from the diagnostic golf club to the computing means for processing the data and presenting the data in a useful and informative format. The data may be used to determine a shaft flex profile for a particular golfer.",CALLAWAY GOLF CO,LEE NATHAN J;;LINDSAU AARON;;HOUSHAR JAN N;;SIMMONS NIGEL;;MATTHEWSON PETER;;ANSELL IAN,CALLAWAY GOLF COMPANY (2001-09-17),https://lens.org/146-977-635-968-896,Granted Patent,yes,66,35,13,13,0,A63B24/0003;;A63B53/10;;A63B53/12;;A63B69/0002;;A63B69/3614;;A63B69/3632;;A63B71/0619;;A63B71/0622;;A63B2220/24;;A63B2220/34;;A63B2220/35;;A63B2220/40;;A63B2220/51;;A63B2220/54;;A63B2220/62;;A63B2220/806;;A63B2220/807;;A63B2220/833;;A63B2225/50;;A63B60/10;;A63B60/06;;A63B60/08;;A63B60/42;;A63B69/362;;A63B60/002;;A63B60/42;;A63B24/0003;;A63B53/10;;A63B53/12;;A63B60/002;;A63B69/3614;;A63B69/362;;A63B69/3632;;A63B71/0622;;A63B60/08;;A63B2220/24;;A63B2220/34;;A63B2220/35;;A63B2220/40;;A63B2220/51;;A63B2220/54;;A63B2220/62;;A63B2220/806;;A63B2220/807;;A63B2220/833;;A63B2225/50;;A63B60/42;;A63B24/0003;;A63B2220/833;;A63B71/0619;;A63B2220/35;;A63B69/3614;;A63B71/0622;;A63B2225/50;;A63B2220/54;;A63B2220/51;;A63B69/3632;;A63B2220/40;;A63B2220/62;;A63B69/0002;;A63B2220/807;;A63B2220/806;;A63B2220/34;;A63B2220/24;;A63B60/06;;A63B60/10;;A63B60/08;;A63B69/362;;A63B60/002,A63B24/00;;A63B69/36;;A63B59/00;;A63B69/00;;A63B71/06,473/223;;473/131;;473/221;;473/226;;473/233,0,0,,,,EXPIRED
10,US,B2,US 7264555 B2,184-728-359-468-633,2007-09-04,2007,US 60578503 A,2003-10-27,US 60578503 A;;US 89214101 A;;US 75326400 A;;US 31083599 A,1999-05-12,Diagnostic golf club system,"A diagnostic golf club system having a diagnostic golf club, an interface means and a computing means is disclosed herein. The diagnostic golf club includes a plurality of sensors, an internal power supply, and a non-volatile memory for capturing data relating to a golf swing. The interface means is capable of transferring data from the diagnostic golf club to the computing means for processing the data and presenting the data in a useful and informative format. The data may be used to determine a shaft flex profile for a particular golfer.",CALLAWAY GOLF CO,LEE NATHAN J;;LINDSAU AARON;;HOUSHAR JAN N;;SIMMONS NIGEL;;MATTHEWSON PETER;;ANSELL IAN,CALLAWAY GOLF COMPANY (2001-09-17),https://lens.org/184-728-359-468-633,Granted Patent,yes,66,53,13,13,0,A63B24/0003;;A63B53/10;;A63B53/12;;A63B69/0002;;A63B69/3614;;A63B69/3632;;A63B71/0619;;A63B71/0622;;A63B2220/24;;A63B2220/34;;A63B2220/35;;A63B2220/40;;A63B2220/51;;A63B2220/54;;A63B2220/62;;A63B2220/806;;A63B2220/807;;A63B2220/833;;A63B2225/50;;A63B60/10;;A63B60/06;;A63B60/08;;A63B60/42;;A63B69/362;;A63B60/002;;A63B60/42;;A63B24/0003;;A63B53/10;;A63B53/12;;A63B60/002;;A63B69/3614;;A63B69/362;;A63B69/3632;;A63B71/0622;;A63B60/08;;A63B2220/24;;A63B2220/34;;A63B2220/35;;A63B2220/40;;A63B2220/51;;A63B2220/54;;A63B2220/62;;A63B2220/806;;A63B2220/807;;A63B2220/833;;A63B2225/50;;A63B60/42;;A63B24/0003;;A63B2220/833;;A63B71/0619;;A63B2220/35;;A63B69/3614;;A63B71/0622;;A63B2225/50;;A63B2220/54;;A63B2220/51;;A63B69/3632;;A63B2220/40;;A63B2220/62;;A63B69/0002;;A63B2220/807;;A63B2220/806;;A63B2220/34;;A63B2220/24;;A63B60/06;;A63B60/10;;A63B60/08;;A63B69/362;;A63B60/002,A63B69/36;;A63B24/00;;A63B59/00;;A63B69/00;;A63B71/06,473/223;;473/131;;473/221;;473/226;;473/233,0,0,,,,EXPIRED
11,US,A1,US 2004/0106460 A1,073-765-798-326-272,2004-06-03,2004,US 60578503 A,2003-10-27,US 60578503 A;;US 89214101 A;;US 75326400 A;;US 31083599 A,1999-05-12,[DIAGNOSTIC GOLF CLUB SYSTEM],"
   A diagnostic golf club system having a diagnostic golf club, an interface means and a computing means is disclosed herein. The diagnostic golf club includes a plurality of sensors, an internal power supply, and a non-volatile memory for capturing data relating to a golf swing. The interface means is capable of transferring data from the diagnostic golf club to the computing means for processing the data and presenting the data in a useful and informative format. The data may be used to determine a shaft flex profile for a particular golfer. 
",CALLAWAY GOLF CO,LEE NATHAN J;;LINSDAU AARON;;HOUSHAR JAN N;;SIMMONS NIGEL;;MATTHEWSON PETER;;ANSELL IAN,CALLAWAY GOLF COMPANY (2001-09-17),https://lens.org/073-765-798-326-272,Patent Application,yes,66,27,13,13,0,A63B24/0003;;A63B53/10;;A63B53/12;;A63B69/0002;;A63B69/3614;;A63B69/3632;;A63B71/0619;;A63B71/0622;;A63B2220/24;;A63B2220/34;;A63B2220/35;;A63B2220/40;;A63B2220/51;;A63B2220/54;;A63B2220/62;;A63B2220/806;;A63B2220/807;;A63B2220/833;;A63B2225/50;;A63B60/10;;A63B60/06;;A63B60/08;;A63B60/42;;A63B69/362;;A63B60/002;;A63B60/42;;A63B24/0003;;A63B53/10;;A63B53/12;;A63B60/002;;A63B69/3614;;A63B69/362;;A63B69/3632;;A63B71/0622;;A63B60/08;;A63B2220/24;;A63B2220/34;;A63B2220/35;;A63B2220/40;;A63B2220/51;;A63B2220/54;;A63B2220/62;;A63B2220/806;;A63B2220/807;;A63B2220/833;;A63B2225/50;;A63B60/42;;A63B24/0003;;A63B2220/833;;A63B71/0619;;A63B2220/35;;A63B69/3614;;A63B71/0622;;A63B2225/50;;A63B2220/54;;A63B2220/51;;A63B69/3632;;A63B2220/40;;A63B2220/62;;A63B69/0002;;A63B2220/807;;A63B2220/806;;A63B2220/34;;A63B2220/24;;A63B60/06;;A63B60/10;;A63B60/08;;A63B69/362;;A63B60/002,A63B24/00;;A63B59/00;;A63B69/00;;A63B69/36;;A63B71/06,473/219,0,0,,,,EXPIRED
