"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A,US 4033127 A,144-386-971-246-828,1977-07-05,1977,US 69294976 A,1976-06-04,US 69294976 A,1976-06-04,Hydraulically-powered vehicle accessory system supercharged by hydraulic vehicle drive system,"A hydraulic system for mobile industrial equipment wherein the wheels or tracks of the mobile equipment are driven by a hydraulic transmission system having an engine-driven pump assembly, and wherein the hydraulic accessories mounted on the equipment are powered by a separate engine-driven hydraulic pump which draws its fluid from the hydraulic transmission pump assembly, and particularly the charge pump component thereof.",JACOB AMSTUTZ,AMSTUTZ JACOB;;AMSTUTZ PAUL G,,https://lens.org/144-386-971-246-828,Granted Patent,yes,3,13,1,1,0,E02F9/2239;;E02F9/2292;;F15B11/17;;F15B2211/20546;;F15B2211/214;;F15B2211/40507;;F15B2211/45;;F15B2211/7058;;F15B2211/7142;;F15B2211/781;;F16H39/02;;F15B11/17;;E02F9/2292;;E02F9/2239;;F15B2211/40507;;F15B2211/214;;F15B2211/781;;F15B2211/45;;F15B2211/7058;;F15B2211/20546;;F15B2211/7142;;F16H39/02,E02F9/22;;F15B11/17;;F16H39/02,60/455,0,0,,,,EXPIRED
2,FR,A3,FR 2533368 A3,168-295-657-408-355,1984-03-23,1984,FR 8215765 A,1982-09-20,FR 8215765 A,1982-09-20,Device for cooling a semiconductor component,"According to the invention, the cooling device is constituted by an enclosure filled with a heat-carrying agent which is not subjected to forced circulation and in which the component to be cooled is immersed. This heat-carrying agent is an insulating product, solid at ambient temperature, whose melting temperature lies between 30 DEG and 80 DEG C and whose boiling temperature is 150 DEG C. Preferably, this agent is constituted by paraffin. Application to the cooling of power semiconductors used in electrical power supply choppers of the engines of rail vehicles with electric traction.",JEUMONT SCHNEIDER,AMSTUTZ PAUL;;PECHEUR DANIEL;;CHAUVET CLAUDE,,https://lens.org/168-295-657-408-355,Patent Application,no,0,1,2,2,0,H01L23/44;;H01L23/4275;;H01L2924/0002,H01L23/427;;H01L23/44,,0,0,,,,EXPIRED
3,EP,A1,EP 1743140 A1,035-826-704-506-271,2007-01-17,2007,EP 05732675 A,2005-04-28,CH 2005000238 W;;CH 8062004 A,2004-05-07,MEASURING SYSTEM COMPRISING VARIABLY SENSITIVE OUTPUTS,,KISTLER HOLDING AG,AMSTUTZ LEO;;WASER MAX P;;ENGELER PAUL,,https://lens.org/035-826-704-506-271,Patent Application,yes,0,0,8,8,0,G01D3/024;;G01D3/024,G01D3/024;;G01L9/12;;G01R15/08,,0,0,,,,ACTIVE
4,US,B2,US 7783446 B2,013-822-065-680-006,2010-08-24,2010,US 58745708 A,2008-02-04,CH 8062004 A;;CH 2005000238 W,2004-05-07,Measuring system comprising variably sensitive outputs,"A measuring system includes a piezoelectric sensor, two or more charge amplifiers that are provided with different amplification settings and one respective output, and a signal splitter which is disposed between the sensor and the amplifiers. A charge signal received by the piezoelectric sensor is subdivided into two or more partial signals on the signal splitter during a measurement, and each of two or more partial signals is fed to one of the charge amplifiers, is processed therein, and is finally fed to the outputs. The signal splitter preferably encompasses two or more capacitors. The inventive measuring system is used above all for measuring forces, pressures, extensions/expansions, moments, or accelerations.",KISTLER HOLDING AG,AMSTUTZ LEO;;WASER MAX P;;ENGELER PAUL,KISTLER HOLDING AG (2006-10-18),https://lens.org/013-822-065-680-006,Granted Patent,yes,6,1,8,8,0,G01D3/024;;G01D3/024,G01D3/024;;G01C19/00;;G01L9/12;;G01P15/09;;G01R15/08;;H01L41/00,702/104;;310/319;;73/514.34,0,0,,,,ACTIVE
5,EP,B1,EP 1743140 B1,187-613-282-789-058,2016-04-13,2016,EP 05732675 A,2005-04-28,CH 2005000238 W;;CH 8062004 A,2004-05-07,MEASURING SYSTEM COMPRISING VARIABLY SENSITIVE OUTPUTS,,KISTLER HOLDING AG,AMSTUTZ LEO;;WASER MAX P;;ENGELER PAUL,,https://lens.org/187-613-282-789-058,Granted Patent,yes,4,0,8,8,0,G01D3/024;;G01D3/024,G01D3/024;;G01L9/12;;G01R15/08,,0,0,,,,ACTIVE
6,WO,A1,WO 2005/108929 A1,024-023-739-255-97X,2005-11-17,2005,CH 2005000238 W,2005-04-28,CH 8062004 A,2004-05-07,MEASURING SYSTEM COMPRISING VARIABLY SENSITIVE OUTPUTS,"Disclosed is a measuring system comprising a piezoelectric sensor (10), two or more charge amplifiers (20, 21, 22) that are provided with different amplification settings and one respective output (A1, A2, and Ai), and a signal splitter (40) which is disposed between the sensor (10) and the amplifiers (20, 21, 22). A charge signal (Q) received by the piezoelectric sensor (10) is subdivided into two or more partial signals (Q1, Q2, and Qi) on the signal splitter (40) during a measurement, and each of said two or more partial signals (Q1, Q2, Qi) is fed to one of the charge amplifiers (20, 21, 22), is processed therein, and is finally fed to the outputs (A1, A2, and Ai). The signal splitter (40) preferably encompasses two or more capacitors (C1, C2, and Ci). The inventive measuring system comprising the piezoelectric sensor (10) is used above all for measuring forces, pressures, extensions/expansions, moments, or accelerations.",KISTLER HOLDING AG;;AMSTUTZ LEO;;WASER MAX P;;ENGELER PAUL,AMSTUTZ LEO;;WASER MAX P;;ENGELER PAUL,,https://lens.org/024-023-739-255-97X,Patent Application,yes,4,1,8,8,0,G01D3/024;;G01D3/024,G01D3/024;;G01L9/12;;G01R15/08,,0,0,,,,PENDING
7,ES,T3,ES 2579428 T3,009-681-728-264-003,2016-08-11,2016,ES 05732675 T,2005-04-28,CH 8062004 A;;CH 2005000238 W,2004-05-07,Sistema de medición con salidas de sensibilidades diferentes,"Sistema de medición para medir tamaños físicos con dos o más salidas (A1, A2, Ai) con sensibilidades altas diferentes que incluye un sensor piezoeléctrico (10), que puede medir fuerzas, presiones, dilataciones o momentos, y dos o más amplificadores de carga (20, 21, 22) con ajustes de amplificación diferentes, caracterizado por el 5 hecho de que entre el sensor (10) y los amplificadores de carga (20, 21, 22) está dispuesto un divisor de señales (40) que durante la medición puede subdividir una señal de carga (Q) del sensor (10) en señales de carga parciales (Q1, Q2, Qi) que pueden ser elaboradas cada vez en uno de los amplificadores de carga (20, 21).",KISTLER HOLDING AG,AMSTUTZ LEO;;WASER MAX P;;ENGELER PAUL,,https://lens.org/009-681-728-264-003,Granted Patent,no,0,0,8,8,0,G01D3/024;;G01D3/024,G01D3/024;;G01L9/12;;G01R15/08,,0,0,,,,ACTIVE
8,CN,A,CN 115916815 A,032-021-875-425-014,2023-04-04,2023,CN 202180040047 A,2021-05-06,US 202063020882 P;;US 202063021024 P;;US 202063057477 P;;US 202063069174 P;;US 202163145192 P;;IB 2021000320 W,2020-05-06,Novel ankyrin repeat binding proteins and uses thereof,"The present invention relates to recombinant binding proteins, nucleic acids encoding such proteins, pharmaceutical compositions comprising such proteins or nucleic acids, and the use of such proteins, nucleic acids or pharmaceutical compositions in the treatment of coronavirus diseases, in particular diseases caused by SARS-CoV-2, the recombinant binding proteins comprise one or more designed ankyrin repeat domains having binding specificity for coronavirus spike proteins.",MOLECULAR PARTNERS AG,AMSTUTZ PAUL;;CALABRO VALERIE PERRINE;;WALTHER MARTEN,,https://lens.org/032-021-875-425-014,Patent Application,no,0,0,18,19,0,A61K2039/505;;C07K2317/33;;C07K2317/35;;C07K2317/76;;C07K2317/92;;C07K2317/94;;C07K2318/20;;A61P31/14;;A61K38/00;;C07K16/1003;;C07K16/10;;C07K2317/33;;C07K2317/94;;C07K2317/35;;C07K2317/92;;C07K2317/76;;A61P31/14;;A61K38/00;;C07K2318/20;;A61K2039/505;;C07K14/47;;C07K14/47;;A61K38/00;;A61P31/14;;C07K2319/00;;C07K14/47;;A61K38/00;;A61P31/14,C07K16/10,,0,0,,,,PENDING
9,US,A1,US 2008/0300812 A1,089-577-737-622-652,2008-12-04,2008,US 58745708 A,2008-02-04,CH 8062004 A;;CH 2005000238 W,2004-05-07,Measuring System Comprising Variably Sensitive Outputs,"The measurement setup according to the invention comprises a piezoelectrical sensor 10 and two or more charge amplifiers 20, 21, 22 having different amplification settings and each having an output A 1 , A 2 and Ai, as well as a signal splitter 40 arranged between the sensor 10 and the amplifiers 20, 21, 22 . During a measurement a charge signal Q sensed by the piezoelectrical sensor 10 is split at the signal splitter 40 in two or more partial signals Q 1 , Q 2 and Qi each of which is fed and processed in one of the charge amplifiers 20, 21, 22 and eventually fed to the outputs A 1 , A 2 , and Ai. The signal splitter 40 preferably comprises two or more capacitors C 1 , C 2 , and Ci. The measurement setup with the piezoelectrical sensor 10 primarily serves for measuring forces, pressures, strain, moments, or accelerations.",AMSTUTZ LEO;;WASER MAX P;;ENGELER PAUL,AMSTUTZ LEO;;WASER MAX P;;ENGELER PAUL,KISTLER HOLDING AG (2006-10-18),https://lens.org/089-577-737-622-652,Patent Application,yes,2,3,8,8,0,G01D3/024;;G01D3/024,G01L9/12;;G01D3/024;;G01R15/08,702/104,0,0,,,,ACTIVE
10,US,A,US 4965017 A,028-171-160-415-372,1990-10-23,1990,US 21815188 A,1988-07-13,GB 8716469 A,1987-07-13,Liquid crystal devices,An alignment layer for a liquid crystal display consists at least substantially of a polyphenylene polymer wherein at least 80% of the said polyphenylene polymer is composed of aromatic phenylene rings. The alignment layer is capable of providing a homogeneous alignment of liquid crystal molecules disposed adjacent thereto with a high tilt bias angle.,ICI PLC;;BBC BROWN BOVERI & CIE,HOLMES PAUL;;NEVIN ALAN;;AMSTUTZ HERMANN;;NEHRING JURGEN,IMPERIAL CHEMICAL INDUSTRIES PLC IMPERIAL CHEMICAL HOUSE MILLBANK LONDON SW1P 3JF A BRITISH COMPANY (1988-07-08);;BBC BROWN BOVERI LTD. CORPORATE RESEARCH CH-5405 BADEN-DATTWIL (1988-07-08),https://lens.org/028-171-160-415-372,Granted Patent,yes,4,9,7,7,0,C08G61/10;;C08G2261/312;;G02F1/133711;;Y10S428/91;;Y10T428/31931;;G02F1/1337;;Y10T428/31931;;C08G61/10;;C08G2261/312;;G02F1/133711;;Y10S428/91,C08G61/00;;C08G61/10;;G02F1/1337,252/299.4;;350/330;;X350347V;;428/910;;428/521,2,1,027-496-448-892-919,10.1063/1.98706,"Nehring et al, High Pretilt Polyphenylene Layers for Liquid Crystal Displays, Appl. Phys. Lett 51 (16), Oct. 19, 1987, pp. 1283 1284.;;Patent Abstracts of Japan, P Field, vol. 12, No. 192, Jun. 4, 1988, p. 41, P 712, 62 297818.",EXPIRED
