"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A1,US 2008/0004630 A1,101-328-882-060-057,2008-01-03,2008,US 65177507 A,2007-01-10,US 65177507 A;;US 75768506 P,2006-01-10,Multiple-tract cannulas and related methods thereof,"The present invention relates to multiple-tract cannula devices and related methods of use. In certain embodiments, the present invention relates to multiple-tract cannula devices used for contacting and treating brain tissue (e.g., delivering pharmaceutical agents to brain tissue).",MADISON SURGICAL DESIGNS LLC,BADIE BEHNAM,,https://lens.org/101-328-882-060-057,Patent Application,yes,2,3,1,1,0,A61B17/3421;;A61B17/3421;;A61B2017/3411;;A61B2017/3411;;A61B2017/3445;;A61B2017/3445;;A61M25/0023;;A61M25/0023;;A61M25/003;;A61M25/003;;A61M25/007;;A61M25/007;;A61M2025/0036;;A61M2025/0036,A61M25/00,606/108,0,0,,,,DISCONTINUED
2,WO,A3,WO 2007/028151 A3,164-474-558-801-176,2007-07-12,2007,US 2006/0034475 W,2006-09-05,US 71363905 P;;US 75765206 P,2005-09-02,SURGICAL DEVICES AND RELATED METHODS THEREOF,"The present invention relates to surgical devices and related methods of use. In particular, the present invention relates to surgical devices used for contacting and treating deeply seated areas of the brain.",MADISON SURGICAL DESIGNS LLC;;BADIE BEHNAM,BADIE BEHNAM,,https://lens.org/164-474-558-801-176,Search Report,yes,4,0,5,11,0,A61B17/3421;;A61B17/3421;;A61B17/320016;;A61B17/320016;;A61B17/32056;;A61B17/32056;;A61B18/1402;;A61B18/1402;;A61B90/10;;A61B90/10;;A61B2017/3492;;A61B2017/3492;;A61B2018/00446;;A61B2018/00446;;A61B2018/00595;;A61B2018/00595;;A61B2018/00601;;A61B2018/00601;;A61B2018/144;;A61B2018/144,A61B19/00,,0,0,,,,PENDING
3,EP,A2,EP 1931276 A2,083-410-761-806-328,2008-06-18,2008,EP 06824893 A,2006-09-05,US 2006/0034475 W;;US 71363905 P;;US 75765206 P,2005-09-02,SURGICAL DEVICES AND RELATED METHODS THEREOF,,MADISON SURGICAL DESIGNS LLC,BADIE BEHNAM,,https://lens.org/083-410-761-806-328,Patent Application,yes,0,0,5,11,0,A61B17/3421;;A61B17/3421;;A61B17/320016;;A61B17/320016;;A61B17/32056;;A61B17/32056;;A61B18/1402;;A61B18/1402;;A61B90/10;;A61B90/10;;A61B2017/3492;;A61B2017/3492;;A61B2018/00446;;A61B2018/00446;;A61B2018/00595;;A61B2018/00595;;A61B2018/00601;;A61B2018/00601;;A61B2018/144;;A61B2018/144,A61B19/00,,1,0,,,See references of WO 2007028151A3,DISCONTINUED
4,US,A1,US 2010/0145330 A1,005-647-448-628-189,2010-06-10,2010,US 63861909 A,2009-12-15,US 63861909 A;;US 51552406 A;;US 75765206 P;;US 71363905 P,2005-09-02,SURGICAL DEVICES AND RELATED METHODS THEREOF,"The present invention relates to surgical devices and related methods of use. In particular, the present invention relates to surgical devices used for contacting and treating deeply seated areas of the brain.",MADISON SURGICAL DESIGNS LLC,BADIE BEHNAM,MADISON SURGICAL DESIGNS LLC (2010-02-02),https://lens.org/005-647-448-628-189,Patent Application,yes,13,26,6,11,0,A61B17/320016;;A61B17/32002;;A61B17/32056;;A61B17/320725;;A61B18/1402;;A61B18/20;;A61B2017/3443;;A61B2017/3492;;A61B2018/00446;;A61B2018/00595;;A61B2018/00601;;A61B2018/1407;;A61B2018/144;;A61B2090/103;;A61B90/10;;A61B17/3421;;A61B2018/00267;;A61B18/148;;A61B17/320016;;A61B17/32002;;A61B17/32056;;A61B17/320725;;A61B18/1402;;A61B18/20;;A61B2017/3443;;A61B2017/3492;;A61B2018/00446;;A61B2018/00595;;A61B2018/00601;;A61B2018/1407;;A61B2018/144;;A61B2090/103;;A61B90/10;;A61B2018/00196;;A61B2018/00208;;A61B17/3421;;A61B18/1492;;A61B2018/141;;A61B2218/002;;A61B2218/007,A61B17/22;;A61B18/18,606/33;;606/159,0,0,,,,ACTIVE
5,US,B2,US 11259865 B2,078-019-958-105-397,2022-03-01,2022,US 202016883537 A,2020-05-26,US 202016883537 A;;US 201615089831 A;;US 63861909 A;;US 51552406 A;;US 75765206 P;;US 71363905 P,2005-09-02,Surgical methods,"The present invention relates to methods of removing a lesion from a patient. A method of removing a lesion from a patient includes positioning wire loops of a probe device relative to the lesion. The wire loops are simultaneously rotated and expanded to cut material from the lesion. Irrigation fluid is supplied, via the probe device, to irrigate the material cut from the lesion. The supplied irrigation fluid is aspirated, via the probe device, to facilitate removal of the material cut from the lesion.",MADISON SURGICAL DESIGNS LLC,BADIE BEHNAM,MADISON SURGICAL DESIGNS LLC (2018-11-08),https://lens.org/078-019-958-105-397,Granted Patent,yes,32,0,6,11,0,A61B17/320016;;A61B17/32002;;A61B17/32056;;A61B17/320725;;A61B18/1402;;A61B18/20;;A61B2017/3443;;A61B2017/3492;;A61B2018/00446;;A61B2018/00595;;A61B2018/00601;;A61B2018/1407;;A61B2018/144;;A61B2090/103;;A61B90/10;;A61B17/3421;;A61B2018/00267;;A61B18/148;;A61B17/320016;;A61B17/32002;;A61B17/32056;;A61B17/320725;;A61B18/1402;;A61B18/20;;A61B2017/3443;;A61B2017/3492;;A61B2018/00446;;A61B2018/00595;;A61B2018/00601;;A61B2018/1407;;A61B2018/144;;A61B2090/103;;A61B90/10;;A61B2018/00196;;A61B2018/00208;;A61B17/3421;;A61B18/1492;;A61B2018/141;;A61B2218/002;;A61B2218/007,A61B18/14;;A61B17/32;;A61B17/3205;;A61B17/3207;;A61B17/34;;A61B18/00;;A61B18/20;;A61B90/10,,4,2,042-477-533-407-236;;096-787-474-812-620,10.1016/s1052-5149(03)00016-9;;13677804;;10.1002/ijc.1440;;11668491,"“Seer Cancer Statistics Review”, National Cancer Institute, 1975-2000, 2003, 66 pages.;;Hutter et al., “Brain Neoplasms: Epidemiology, Diagnosis, and Prospects for Cost-Effective Imaging”, Neuroimaging Clinics of North America, May 13, 2003, pp. 237-250.;;Levin et al., “Neoplasms of the Central Nervous System”, Cancer: Principles and Practice of Oncology, 6th ed., Lippincott Williams &Wilkins, 2001, pp. 2100-2160.;;Parkin et al., “Estimating the World Cancer Burden: Globocan 2000”, International Journal of Cancer, vol. 94, No. 2, Wiley-Liss, Inc., Oct. 15, 2001, pp. 153-156.",ACTIVE
6,US,B2,US 10702336 B2,024-469-310-531-173,2020-07-07,2020,US 201615089831 A,2016-04-04,US 201615089831 A;;US 63861909 A;;US 51552406 A;;US 75765206 P;;US 71363905 P,2005-09-02,Surgical devices,"A surgical device for use in removing a lesion from a brain includes a first tube, a second tube disposed within the first tube, a sleeve that encloses a portion of the first tube, wire loops attached to a distal end of the first tube, a loop expander and rotation mechanism drivingly coupled with the wire loops, an aspiration port, and an irrigation port. The loop expander and rotation mechanism is operable to expand the wire loops while rotating the wire loops relative to the first tube and contract the wire loops while rotating the wire loops relative to the first tube. Cut tissue is aspirated via the aspiration port. Irrigation fluid is supplied to irrigate the cut tissue via the irrigation port.",MADISON SURGICAL DESIGNS LLC,BADIE BEHNAM,MADISON SURGICAL DESIGNS LLC (2018-11-08),https://lens.org/024-469-310-531-173,Granted Patent,yes,25,0,6,11,0,A61B17/320016;;A61B17/32002;;A61B17/32056;;A61B17/320725;;A61B18/1402;;A61B18/20;;A61B2017/3443;;A61B2017/3492;;A61B2018/00446;;A61B2018/00595;;A61B2018/00601;;A61B2018/1407;;A61B2018/144;;A61B2090/103;;A61B90/10;;A61B17/3421;;A61B2018/00267;;A61B18/148;;A61B17/320016;;A61B17/32002;;A61B17/32056;;A61B17/320725;;A61B18/1402;;A61B18/20;;A61B2017/3443;;A61B2017/3492;;A61B2018/00446;;A61B2018/00595;;A61B2018/00601;;A61B2018/1407;;A61B2018/144;;A61B2090/103;;A61B90/10;;A61B2018/00196;;A61B2018/00208;;A61B17/3421;;A61B18/1492;;A61B2018/141;;A61B2218/002;;A61B2218/007,A61B18/14;;A61B17/32;;A61B17/3205;;A61B17/3207;;A61B17/34;;A61B18/00;;A61B18/20;;A61B90/10,,10,2,042-477-533-407-236;;096-787-474-812-620,10.1016/s1052-5149(03)00016-9;;13677804;;10.1002/ijc.1440;;11668491,"U.S. Appl. No. 12/638,619, “Advisory Action,” dated Jan. 5, 2015, 8 pages.;;U.S. Appl. No. 12/638,619, “Final Office Action,” dated Jan. 17, 2013, 12 Pages.;;U.S. Appl. No. 12/638,619, “Final Office Action,” dated Dec. 2, 2014, 34 pages.;;U.S. Appl. No. 12/638,619, “Non-Final Office Action,” dated Sep. 29, 2015, 31 pages.;;U.S. Appl. No. 12/638,619, “Non-Final Office Action,” dated Jul. 15, 2014, 37 pages.;;U.S. Appl. No. 12/638,619, “Notice of Allowance,” dated Dec. 18, 2015, 9 pages.;;Hutter et al., “Brain Neoplasms: Epidemiology, Diagnosis, and Prospects for Cost-Effective Imaging,” Neuroimaging Clinics of North America, May 13, 2003, pp. 237-250.;;Levin et al., “Neoplasms of the Central Nervous System,” Cancer: Principles and Practice of Oncology, 6th ed. Lippincott Williams &Wilkins, Philadelphia, PA, 2001, pp. 2100-2160.;;Parkin et al., “Estimating the World Cancer Burden: Globocan 2000,” International Journal of Cancer, 94(2) Wiley-Liss, Inc., Oct. 15, 2001, pp. 153-156.;;LAG, Seer Cancer Statistics Review, 1975-2000, Bethesda, MD: National Cancer Institute, 2003.",ACTIVE
7,US,A1,US 2007/0156156 A1,129-479-194-873-489,2007-07-05,2007,US 51552406 A,2006-09-05,US 51552406 A;;US 75765206 P;;US 71363905 P,2005-09-02,Surgical devices and related methods thereof,"The present invention relates to surgical devices and related methods of use. In particular, the present invention relates to surgical devices used for contacting and treating deeply seated areas of the brain.",MADISON SURGICAL DESIGNS LLC,BADIE BEHNAM,MADISON SURGICAL DESIGNS LLC (2006-12-14),https://lens.org/129-479-194-873-489,Patent Application,yes,4,11,5,11,0,A61B17/3421;;A61B17/3421;;A61B17/320016;;A61B17/320016;;A61B17/32056;;A61B17/32056;;A61B18/1402;;A61B18/1402;;A61B90/10;;A61B90/10;;A61B2017/3492;;A61B2017/3492;;A61B2018/00446;;A61B2018/00446;;A61B2018/00595;;A61B2018/00595;;A61B2018/00601;;A61B2018/00601;;A61B2018/144;;A61B2018/144,A61B19/00,606/129,0,0,,,,DISCONTINUED
8,US,A1,US 2007/0270841 A1,164-796-659-783-722,2007-11-22,2007,US 70046307 A,2007-01-31,US 70046307 A;;US 76351006 P,2006-01-31,Implantable devices,"The present invention relates to implantable devices, and particularly implantable devices that may be positioned, for example, into the sphenoid sinus or sella turcica of a subject. In certain embodiments, the implantable devices comprise a center plate and a plurality of protruding arms extending from the center plate, both of which may be composed of bioresorbable material. In particular embodiments, the implantable devices are configured to help reconstruct the sellar floor after it has been damaged in order to prevent cerebrospinal fluid leaks.",MADISON SURGICAL DESIGNS LLC,BADIE BEHNAM,,https://lens.org/164-796-659-783-722,Patent Application,yes,3,15,1,1,0,A61B17/8061;;A61B2017/00004;;A61B17/8061;;A61B2017/00004,A61B17/58,606/61;;606/69,0,0,,,,DISCONTINUED
9,US,A1,US 2016/0287327 A1,009-668-592-703-639,2016-10-06,2016,US 201615089831 A,2016-04-04,US 201615089831 A;;US 63861909 A;;US 51552406 A;;US 75765206 P;;US 71363905 P,2005-09-02,SURGICAL DEVICES AND RELATED METHODS THEREOF,"The present invention relates to surgical devices and related methods of use. In particular, the present invention relates to surgical devices used for contacting and treating deeply seated areas of the brain.",MADISON SURGICAL DESIGNS LLC,BADIE BEHNAM,MADISON SURGICAL DESIGNS LLC (2018-11-08),https://lens.org/009-668-592-703-639,Patent Application,yes,11,2,6,11,0,A61B17/320016;;A61B17/32002;;A61B17/32056;;A61B17/320725;;A61B18/1402;;A61B18/20;;A61B2017/3443;;A61B2017/3492;;A61B2018/00446;;A61B2018/00595;;A61B2018/00601;;A61B2018/1407;;A61B2018/144;;A61B2090/103;;A61B90/10;;A61B17/3421;;A61B2018/00267;;A61B18/148;;A61B17/320016;;A61B17/32002;;A61B17/32056;;A61B17/320725;;A61B18/1402;;A61B18/20;;A61B2017/3443;;A61B2017/3492;;A61B2018/00446;;A61B2018/00595;;A61B2018/00601;;A61B2018/1407;;A61B2018/144;;A61B2090/103;;A61B90/10;;A61B2018/00196;;A61B2018/00208;;A61B17/3421;;A61B18/1492;;A61B2018/141;;A61B2218/002;;A61B2218/007,A61B18/14,,0,0,,,,ACTIVE
10,US,B2,US 9320540 B2,046-526-553-770-546,2016-04-26,2016,US 63861909 A,2009-12-15,US 63861909 A;;US 51552406 A;;US 75765206 P;;US 71363905 P,2005-09-02,Surgical devices and related methods thereof,"Surgical devices and methods are configured to access areas of the brain while minimizing brain damage. A brain probe device for removing a lesion from a brain includes a cannula fixable to the skull to align the cannula with the lesion, a tubular stem within the cannula configured to be advanced to the lesion, and a rotatable cutting tube within the tubular stem. Expandable wire loops configured to cut tissue are attached to the distal end of the tubular stem. A loop expander and rotation motor mechanism is operably linked to the wire loops and configured to cause rotation and variable outward expansion of the wire loops. Tissue cut by the wire loops is removed through slots and a central lumen of the tubular stem. The cutting tube is rotatable to sever tissue drawn into the slots into smaller fragments that are removed through the central lumen via aspiration.",BADIE BEHNAM;;MADISON SURGICAL DESIGNS LLC,BADIE BEHNAM,MADISON SURGICAL DESIGNS LLC (2010-02-02),https://lens.org/046-526-553-770-546,Granted Patent,yes,13,16,6,11,0,A61B17/320016;;A61B17/32002;;A61B17/32056;;A61B17/320725;;A61B18/1402;;A61B18/20;;A61B2017/3443;;A61B2017/3492;;A61B2018/00446;;A61B2018/00595;;A61B2018/00601;;A61B2018/1407;;A61B2018/144;;A61B2090/103;;A61B90/10;;A61B17/3421;;A61B2018/00267;;A61B18/148;;A61B17/320016;;A61B17/32002;;A61B17/32056;;A61B17/320725;;A61B18/1402;;A61B18/20;;A61B2017/3443;;A61B2017/3492;;A61B2018/00446;;A61B2018/00595;;A61B2018/00601;;A61B2018/1407;;A61B2018/144;;A61B2090/103;;A61B90/10;;A61B2018/00196;;A61B2018/00208;;A61B17/3421;;A61B18/1492;;A61B2018/141;;A61B2218/002;;A61B2218/007,A61B18/14;;A61B17/32;;A61B17/3205;;A61B17/3207;;A61B17/34;;A61B18/00;;A61B18/20,,0,0,,,,ACTIVE
