"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A,US 3438641 A,073-642-192-189-971,1969-04-15,1969,US 3438641D A,1966-03-31,US 53910066 A,1966-03-31,STAIR CLIMBING WHEELCHAIR,,BARTHOLOMEW M BRADLEY,BRADLEY BARTHOLOMEW M,,https://lens.org/073-642-192-189-971,Granted Patent,no,4,31,1,1,0,A61G5/061;;A61G5/061,A61G5/06,280/5.28,0,0,,,,EXPIRED
2,EP,A1,EP 0283608 A1,057-105-824-014-042,1988-09-28,1988,EP 87302567 A,1987-03-25,EP 87302567 A,1987-03-25,Laminated products from inorganic papers.,"Laminated board products such as electronic circuit boards are prepared from laminating-resin-impregnated inorganic papers formed of synthetic or naturally occurring micas, vermiculites, or other sheet silicate crystals which are substantially lithium-free. The presence of an octylamine conditioner during flocculation of the lithium-free silicate gel to a paper-making silicate slurry improves the compatibility of the inorganic paper with the laminating resin, improving board properties.  ",CORNING GLASS WORKS,BARTHOLOMEW ROGER FRANK;;SAWYER CONSTANCE BRADLEY,,https://lens.org/057-105-824-014-042,Patent Application,yes,7,3,1,2,0,D21H27/30;;D21H13/40;;D21H13/44;;D21H17/07;;D21H17/52;;D21H17/56;;D21H17/72;;H05K1/0366;;H05K2201/0293,D21H13/40;;D21H13/44;;D21H17/07;;D21H17/52;;D21H17/56;;D21H27/30;;H05K1/03,,1,0,,,"W.R. HAMILTON et al.: ""Les Minéraux, Roches et Fossiles du Monde Entier en Couleurs"", 1974, pages 122,123, Elsevier Séquoia, Brussels, BE",DISCONTINUED
3,US,B1,US 9420900 B1,172-261-255-627-028,2016-08-23,2016,US 201514609278 A,2015-01-29,US 201514609278 A,2015-01-29,Mobile inventory rack apparatus and inventory rack system,An inventory rack system and a mobile inventory rack apparatus are disclosed. The mobile inventory rack apparatus includes an inventory conveyor configured to translate articles of inventory and a receiving system including a requirement indicator disposed along the inventory conveyor. The requirement indicator has an inventory required state when not in contact with an article of inventory. The mobile inventory rack apparatus further includes a supply system including a pair of spaced stoppers disposed along the inventory conveyor. Each stopper has an extended position preventing translation of the articles of inventory and a retracted position allowing translation of the articles of inventory. The inventory conveyor is configured to receive at least one article of inventory when the requirement indicator is in the inventory required state and to allow removal of at least one article of inventory when one of the stoppers is in the retracted position.,TOYOTA MOTOR ENG & MFG NORTH AMERICA INC,SIMPSON BRADLEY THOMAS;;BARTHOLOMEW ROBERT HOWARD,TOYOTA MOTOR ENGINEERING & MANUFACTURING NORTH AMERICA INC (2015-01-27),https://lens.org/172-261-255-627-028,Granted Patent,yes,35,8,2,2,0,A47B2031/003;;A47B2031/003;;A47B2031/004;;A47B2031/004;;B65G1/08;;B65G1/08;;B65G1/023;;B65G1/023;;B65G65/00;;B65G65/00,A47F1/12;;B65G11/20;;B65G13/075;;F16M11/42,,0,0,,,,ACTIVE
4,US,A1,US 2016/0220038 A1,163-617-813-581-027,2016-08-04,2016,US 201514609278 A,2015-01-29,US 201514609278 A,2015-01-29,MOBILE INVENTORY RACK APPARATUS AND INVENTORY RACK SYSTEM,An inventory rack system and a mobile inventory rack apparatus are disclosed. The mobile inventory rack apparatus includes an inventory conveyor configured to translate articles of inventory and a receiving system including a requirement indicator disposed along the inventory conveyor. The requirement indicator has an inventory required state when not in contact with an article of inventory. The mobile inventory rack apparatus further includes a supply system including a pair of spaced stoppers disposed along the inventory conveyor. Each stopper has an extended position preventing translation of the articles of inventory and a retracted position allowing translation of the articles of inventory. The inventory conveyor is configured to receive at least one article of inventory when the requirement indicator is in the inventory required state and to allow removal of at least one article of inventory when one of the stoppers is in the retracted position.,TOYOTA MOTOR ENG & MFG NORTH AMERICA INC,SIMPSON BRADLEY THOMAS;;BARTHOLOMEW ROBERT HOWARD,TOYOTA MOTOR ENGINEERING & MANUFACTURING NORTH AMERICA INC (2015-01-27),https://lens.org/163-617-813-581-027,Patent Application,yes,0,4,2,2,0,A47B2031/003;;A47B2031/003;;A47B2031/004;;A47B2031/004;;B65G1/08;;B65G1/08;;B65G1/023;;B65G1/023;;B65G65/00;;B65G65/00,A47F1/12;;B65G11/20;;B65G13/075;;F16M11/42,,0,0,,,,ACTIVE
5,EP,A2,EP 1374974 A2,016-505-281-163-660,2004-01-02,2004,EP 03011726 A,2003-05-23,US 15391202 A,2002-05-24,Hollow fiber membrane gas separation cartridge and gas purification assembly,"A hollow fiber membrane gas separation apparatus of a compact design suitable for separation and purification of gases is disclosed. The apparatus comprises an outer housing that consists of a detachable bowl and a head closure, and a removable hollow fiber membrane cartridge positioned therein. The cartridge contains several concentric separation zones and provides for efficient countercurrent flow configuration between the feed gas on the shell side and the permeate sweep gas on the lumen side of the hollow fiber membranes.",PRAXAIR TECHNOLOGY INC,BIKSON BENJAMIN;;BARTHOLOMEW SCOTT ANDREW;;GIGLIA SALVATORE;;JOHNSON BRADLEY QUINN,"L'AIR LIQUIDE, SOCIETE ANONYME POUR L'ETUDE ET L'E (2007-06-27);;L'AIR LIQUIDE, SOCIETE ANONYME AE DIRECTOIRE ET CO (2005-04-13)",https://lens.org/016-505-281-163-660,Patent Application,yes,0,12,7,7,0,B01D53/22;;B01D53/268;;B01D63/02;;B01D63/024;;B01D63/04;;B01D65/00;;B01D2313/10;;C01B13/0251;;C01B2210/0046;;B01D65/00;;B01D63/02;;C01B13/0251;;B01D2313/10;;B01D63/04;;B01D53/22;;B01D53/268;;C01B2210/0046,B01D53/22;;B01D53/26;;B01D63/00;;B01D63/02;;B01D63/04;;B01D65/00;;C01B13/02,,0,0,,,,DISCONTINUED
6,BR,A,BR 0202569 A,123-208-147-149-188,2003-04-29,2003,BR 0202569 A,2002-07-08,US 90088101 A,2001-07-10,Processo e aparelhagem de purificação de gás,"""PROCESSO E APARELHAGEM DE PURIFICAçãO DE GáS"". é descrita uma aparelhagem integral de membrana de fibra oca para a purificação de gás. A aparelhagem compreende um ou mais elementos de filtração e um cartucho de membrana de fibra oca posicionado coaxialmente em um alojamento comum. Em algumas modalidades, os elementos de filtração são omitidos e o cartucho de membrana de fibra oca é empregado como um dispositivo de filtração/separação de gás combinadas. A aparelhagem desta invenção é particularmente útil para o condicionamento de ar comprimido que inclui a remoção tanto de matéria suspensa quanto de vapor de água.",PRAXAIR TECHNOLOGY INC,BIKSON BENJAMIN;;BARTHOLOMEW SCOTT ANDREW;;GIGLIA SALVATORE;;JOHNSON BRADLEY QUINN,,https://lens.org/123-208-147-149-188,Patent Application,no,0,0,5,5,0,B01D46/003;;B01D46/2411;;B01D46/521;;B01D53/22;;B01D53/229;;B01D53/268;;B01D63/02;;B01D2313/44;;B01D50/20;;B01D46/003;;B01D2313/44;;B01D53/22;;B01D53/229;;B01D53/268;;B01D46/2411;;B01D46/521;;B01D50/20;;B01D63/031,F24F7/00;;B01D46/00;;B01D46/24;;B01D53/22;;B01D53/26;;B01D65/08,,0,0,,,,DISCONTINUED
7,US,A1,US 2003/0010205 A1,056-105-681-707-768,2003-01-16,2003,US 90088101 A,2001-07-10,US 90088101 A,2001-07-10,Integral hollow fiber membrane gas dryer and filtration device,"
   An integral hollow fiber membrane gas purification apparatus is disclosed. The apparatus comprises one or more filtration elements and a hollow fiber membrane cartridge placed coaxially in a common housing. In some embodiments, the filtration elements are omitted and the hollow fiber membrane cartridge is employed as a combined gas separation/filtration device. The apparatus of this invention is particularly useful for conditioning compressed air that includes the removal of both suspended matter and water vapor. 
",BIKSON BENJAMIN;;BARTHOLOMEW SCOTT ANDREW;;GIGLIA SALVATORE;;JOHNSON BRADLEY QUINN,BIKSON BENJAMIN;;BARTHOLOMEW SCOTT ANDREW;;GIGLIA SALVATORE;;JOHNSON BRADLEY QUINN,L'AIR LIQUIDE SOCIETE ANONYME A DIRECTOIRE ET CONSEIL DE SURVEILLANCE POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE (2004-11-11);;PRAXAIR TECHNOLOGY INC (2001-09-11),https://lens.org/056-105-681-707-768,Patent Application,yes,0,48,5,5,0,B01D46/003;;B01D46/2411;;B01D46/521;;B01D53/22;;B01D53/229;;B01D53/268;;B01D63/02;;B01D2313/44;;B01D50/20;;B01D46/003;;B01D2313/44;;B01D53/22;;B01D53/229;;B01D53/268;;B01D46/2411;;B01D46/521;;B01D50/20;;B01D63/031,B01D46/00;;F24F7/00;;B01D46/24;;B01D53/22;;B01D53/26;;B01D65/08,95/52;;96/8,0,0,,,,EXPIRED
8,US,A1,US 2002/0162451 A1,128-874-462-988-965,2002-11-07,2002,US 84623301 A,2001-05-02,US 84623301 A,2001-05-02,Hollow fiber membrane gas separation cartridge and gas purification assembly,"
   A hollow fiber membrane gas separation apparatus of a compact design suitable for separation and purification of gases is disclosed. The apparatus comprises an outer housing that consists of a detachable bowl and a head closure, and a removable hollow fiber membrane cartridge positioned therein. The cartridge contains a concentric tubular inner core member and is surrounded by a shell and at least one end closure. The cartridge is attached by its first axial end in a sealed and removable manner to a gas flow conduit positioned coaxially in the housing closure wherein said conduit being in fluid communication with a gas inlet or product gas outlet port formed in the housing head closure and by its second axial end to a waste gas exit port in the bowl. The feed gas inlet port and the product gas outlet port in the head closure are spaced in a straight line for a short overall distance providing for a liner connection with other components of a gas separation system, which is a preferred system component packaging. 
",BIKSON BENJAMIN;;BARTHOLOMEW SCOTT ANDREW;;GIGLIA SALVATORE;;JOHNSON BRADLEY QUINN,BIKSON BENJAMIN;;BARTHOLOMEW SCOTT ANDREW;;GIGLIA SALVATORE;;JOHNSON BRADLEY QUINN,L'AIR LIQUIDE SOCIETE ANONYME A DIRECTOIRE ET CONSEIL DE SURVEILLANCE POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE (2004-08-24);;PRAXAIR TECHNOLOGY INC (2001-06-20),https://lens.org/128-874-462-988-965,Patent Application,yes,26,20,2,2,0,B01D53/22;;B01D53/268;;B01D63/02;;B01D63/024;;B01D63/04;;B01D65/00;;B01D2313/10;;C01B13/0251;;C01B2210/0046;;C01B13/0251;;B01D53/22;;B01D53/268;;B01D2313/10;;B01D63/04;;B01D65/00;;C01B2210/0046;;B01D63/032,B01D53/22;;B01D53/26;;B01D63/02;;B01D63/04;;B01D65/00;;C01B13/02,95/51;;95/54;;95/52;;95/55;;96/8,0,0,,,,EXPIRED
9,JP,A,JP 2003340229 A,063-527-252-906-121,2003-12-02,2003,JP 2003146145 A,2003-05-23,US 15391202 A,2002-05-24,HOLLOW FIBER MEMBRANE GAS SEPARATION CARTRIDGE AND GAS CLEANING ASSEMBLY,"<P>PROBLEM TO BE SOLVED: To provide a compact hollow fiber gas separation module improved in capacity for forming a high purity impermeable product of high purity and small in a length to diameter ratio. <P>SOLUTION: A hollow fiber membrane gas cleaning cartridge is positioned in a chamber formed by an outside housing. The annular hollow fiber membranes 109 arranged around a hollow core pipe member 110 are formed of a large number of hollow fiber membranes unifirmly arranged around the hollow core pipe member 110 and both end parts are sealed in tube plates 112 and 113 in liquidtight arrangement constitution, in such a state that one end of the inside hollow core pipe member 110 is opened to the outside of the tube plate 113. The respective end parts of the tube plates are divided so that gas can flow to the inside and outside of the lumens of the hollow fiber membranes without being obstructed. <P>COPYRIGHT: (C)2004,JPO",PRAXAIR TECHNOLOGY INC,BIKSON BENJAMIN;;BARTHOLOMEW SCOTT ANDREW;;GIGLIA SALVATORE;;JOHNSON BRADLEY QUINN,,https://lens.org/063-527-252-906-121,Patent Application,no,0,3,7,7,0,B01D53/22;;B01D53/268;;B01D63/02;;B01D63/024;;B01D63/04;;B01D65/00;;B01D2313/10;;C01B13/0251;;C01B2210/0046;;B01D65/00;;B01D63/02;;C01B13/0251;;B01D2313/10;;B01D63/04;;B01D53/22;;B01D53/268;;C01B2210/0046,B01D53/22;;B01D53/26;;B01D63/00;;B01D63/02;;B01D63/04;;B01D65/00;;C01B13/02,,0,0,,,,EXPIRED
10,US,B2,US 6755894 B2,057-290-451-141-942,2004-06-29,2004,US 15391202 A,2002-05-24,US 15391202 A;;US 84623301 A,2001-05-02,Hollow fiber membrane gas separation cartridge and gas purification assembly,"
    A hollow fiber membrane gas separation apparatus of a compact design suitable for separation and purification of gases is disclosed. The apparatus comprises an outer housing that consists of a detachable bowl and a head closure, and a removable hollow fiber membrane cartridge positioned therein. The cartridge contains several concentric separation zones and provides for efficient countercurrent flow configuration between the feed gas on the shell side and the permeate sweep gas on the lumen side of the hollow fiber membranes. 
",PRAXAIR TECHNOLOGY INC,BIKSON BENJAMIN;;BARTHOLOMEW SCOTT ANDREW;;GIGLIA SALVATORE;;JOHNSON BRADLEY QUINN,L'AIR LIQUIDE SOCIETE ANONYME A DIRECTOIRE ET CONSEIL DE SURVEILLANCE POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE (2004-11-11);;PRAXAIR TECHNOLOGY INC (2002-05-20),https://lens.org/057-290-451-141-942,Granted Patent,yes,50,62,7,7,0,B01D53/22;;B01D53/268;;B01D63/02;;B01D63/024;;B01D63/04;;B01D65/00;;B01D2313/10;;C01B13/0251;;C01B2210/0046;;B01D65/00;;B01D63/02;;C01B13/0251;;B01D2313/10;;B01D63/04;;B01D53/22;;B01D53/268;;C01B2210/0046,B01D53/22;;B01D53/26;;B01D63/00;;B01D63/02;;B01D63/04;;B01D65/00;;C01B13/02,95/52;;96/8;;96/10;;210/321.8,0,0,,,,EXPIRED
