"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,WO,A1,WO 2018/148302 A1,103-101-586-388-994,2018-08-16,2018,US 2018/0017254 W,2018-02-07,US 201762455992 P;;US 201762510912 P,2017-02-07,SYSTEM AND METHOD FOR NEXT HOP BGP ROUTING IN A NETWORK,"Aspects of the present disclosure involve systems for providing multiple egress routes from a telecommunications network for a client of the network. In general, the system provides for a client of the network to receive intended packets of information through multiple connections to the network such that load balancing and failover services for traffic to the customer are provided. The process and system allows for telecommunications network to utilize a common next-hop value of announced border gateway protocol (BGP) routes to advertise multiple routes to reach a destination customer network or address. By utilizing a common next-hop value in the announced BGP information, the devices of the network may load balance communication packets to the destination customer or address among the multiple egress locations from the network, as well as providing fast failover to alternate routes when a failure at the network or customer occurs.",LEVEL 3 COMMUNICATIONS LLC,FERGUSON FRANCIS;;OSBORNE ERIC;;COOPER III CLYDE;;SMITH BRENT,,https://lens.org/103-101-586-388-994,Patent Application,yes,4,1,12,12,0,H04L12/4625;;H04L45/04;;H04L45/122;;H04L45/22;;H04L45/74;;H04L47/125;;H04L45/28;;H04L45/033;;H04L45/02;;H04L45/122;;H04L45/22;;H04L12/66;;H04L45/74;;H04L47/125;;H04L12/46;;H04L45/28;;H04L12/4625;;H04L45/04,H04L12/28;;H04L45/122;;H04L45/02;;H04L45/24;;H04L45/28;;H04L45/60;;H04L45/74,,0,0,,,,PENDING
2,US,B2,US 10277499 B2,151-240-391-803-327,2019-04-30,2019,US 201815891047 A,2018-02-07,US 201815891047 A;;US 201762455992 P;;US 201762510912 P,2017-02-07,System and method for next hop BGP routing in a network,"Aspects of the present disclosure involve systems for providing multiple egress routes from a telecommunications network for a client of the network. In general, the system provides for a client of the network to receive intended packets of information through multiple connections to the network such that load balancing and failover services for traffic to the customer are provided. The process and system allows for telecommunications network to utilize a common next-hop value of announced border gateway protocol (BGP) routes to advertise multiple routes to reach a destination customer network or address. By utilizing a common next-hop value in the announced BGP information, the devices of the network may load balance communication packets to the destination customer or address among the multiple egress locations from the network, as well as providing fast failover to alternate routes when a failure at the network or customer occurs.",LEVEL 3 COMMUNICATIONS LLC,FERGUSON FRANCIS;;OSBORNE ERIC;;COOPER III CLYDE DAVID;;SMITH BRENT W,LEVEL 3 COMMUNICATIONS LLC (2017-12-12),https://lens.org/151-240-391-803-327,Granted Patent,yes,12,4,12,12,0,H04L12/4625;;H04L45/04;;H04L45/122;;H04L45/22;;H04L45/74;;H04L47/125;;H04L45/28;;H04L45/033;;H04L45/02;;H04L45/122;;H04L45/22;;H04L12/66;;H04L45/74;;H04L47/125;;H04L12/46;;H04L45/28;;H04L12/4625;;H04L45/04,H04L45/02;;H04L12/46;;H04L12/66;;H04L45/122;;H04L45/24;;H04L45/28;;H04L45/60;;H04L45/74,,1,0,,,"International Search Report and Written Opinion of the International Searching Authority, dated Apr. 12, 2018, Int'l Appl. No. PCT/US18/017254, Int'l Filing Date Feb. 7, 2018; 9 pgs.",ACTIVE
3,US,B2,US 11070460 B2,052-756-150-606-590,2021-07-20,2021,US 202016821629 A,2020-03-17,US 202016821629 A;;US 201916398034 A;;US 201815891047 A;;US 201762510912 P;;US 201762455992 P,2017-02-07,System and method for next hop BGP routing in a network,"Aspects of the present disclosure involve systems for providing multiple egress routes from a telecommunications network for a client of the network. In general, the system provides for a client of the network to receive intended packets of information through multiple connections to the network such that load balancing and failover services for traffic to the customer are provided. The process and system allows for telecommunications network to utilize a common next-hop value of announced border gateway protocol (BGP) routes to advertise multiple routes to reach a destination customer network or address. By utilizing a common next-hop value in the announced BGP information, the devices of the network may load balance communication packets to the destination customer or address among the multiple egress locations from the network, as well as providing fast failover to alternate routes when a failure at the network or customer occurs.",LEVEL 3 COMMUNICATIONS LLC,FERGUSON FRANCIS;;OSBORNE ERIC;;COOPER III CLYDE DAVID;;SMITH BRENT W,LEVEL 3 COMMUNICATIONS LLC (2017-12-12),https://lens.org/052-756-150-606-590,Granted Patent,yes,24,0,12,12,0,H04L12/4625;;H04L45/04;;H04L45/122;;H04L45/22;;H04L45/74;;H04L47/125;;H04L45/28;;H04L45/033;;H04L45/02;;H04L45/122;;H04L45/22;;H04L12/66;;H04L45/74;;H04L47/125;;H04L12/46;;H04L45/28;;H04L12/4625;;H04L45/04,H04L45/02;;H04L12/46;;H04L12/66;;H04L45/122;;H04L45/24;;H04L45/28;;H04L45/60;;H04L45/74,,2,0,,,"International Preliminary Report on Patentability, dated Aug. 13, 2019, Int'l Appl. No. PCT/US18/017254, Int'l Filing Date Feb. 7, 2018; 8 pgs.;;International Search Report and Written Opinion of the International Searching Authority, dated Apr. 12, 2018, Int'l Appl. No. PCT/US18/017254, Int'l Filing Date Feb. 7, 2018; 9 pgs.",ACTIVE
4,US,B2,US 11743167 B2,126-254-885-081-409,2023-08-29,2023,US 202217976274 A,2022-10-28,US 202217976274 A;;US 202117374063 A;;US 202016821629 A;;US 201916398034 A;;US 201815891047 A;;US 201762510912 P;;US 201762455992 P,2017-02-07,System and method for next hop BGP routing in a network,"Aspects of the present disclosure involve systems for providing multiple egress routes from a telecommunications network for a client of the network. In general, the system provides for a client of the network to receive intended packets of information through multiple connections to the network such that load balancing and failover services for traffic to the customer are provided. The process and system allow for telecommunications network to utilize a common next-hop value of announced border gateway protocol (BGP) routes to advertise multiple routes to reach a destination customer network or address. By utilizing a common next-hop value in the announced BGP information, the devices of the network may load balance communication packets to the destination customer or address among the multiple egress locations from the network, as well as providing fast failover to alternate routes when a failure at the network or customer occurs.",LEVEL 3 COMMUNICATIONS LLC,FERGUSON FRANCIS;;OSBORNE ERIC;;COOPER III CLYDE DAVID;;SMITH BRENT W,LEVEL 3 COMMUNICATIONS LLC (2017-12-12),https://lens.org/126-254-885-081-409,Granted Patent,yes,29,0,12,12,0,H04L12/4625;;H04L45/04;;H04L45/122;;H04L45/22;;H04L45/74;;H04L47/125;;H04L45/28;;H04L45/033;;H04L45/02;;H04L45/122;;H04L45/22;;H04L12/66;;H04L45/74;;H04L47/125;;H04L12/46;;H04L45/28;;H04L12/4625;;H04L45/04,H04L45/02;;H04L12/46;;H04L12/66;;H04L45/00;;H04L45/122;;H04L45/28;;H04L45/74;;H04L47/125,,2,0,,,"International Preliminary Report on Patentability, dated Aug. 13, 2019, Int'l Appl. No. PCT/US18/017254, Int'l Filing Date Feb. 7, 2018; 8 pgs.;;International Search Report and Written Opinion of the International Searching Authority, dated Apr. 12, 2018, Int'l Appl. No. PCT/US18/017254, Int'l Filing Date Feb. 7, 2018; 9 pgs.",ACTIVE
5,US,A1,US 2024/0048472 A1,148-378-259-299-251,2024-02-08,2024,US 202318237544 A,2023-08-24,US 202318237544 A;;US 202217976274 A;;US 202117374063 A;;US 202016821629 A;;US 201916398034 A;;US 201815891047 A;;US 201762455992 P;;US 201762510912 P,2017-02-07,SYSTEM AND METHOD FOR NEXT HOP BGP ROUTING IN A NETWORK,"Aspects of the present disclosure involve systems for providing multiple egress routes from a telecommunications network for a client of the network. In general, the system provides for a client of the network to receive intended packets of information through multiple connections to the network such that load balancing and failover services for traffic to the customer are provided. The process and system allow for telecommunications network to utilize a common next-hop value of announced border gateway protocol (BGP) routes to advertise multiple routes to reach a destination customer network or address. By utilizing a common next-hop value in the announced BGP information, the devices of the network may load balance communication packets to the destination customer or address among the multiple egress locations from the network, as well as providing fast failover to alternate routes when a failure at the network or customer occurs.",LEVEL 3 COMMUNICATIONS LLC,FERGUSON FRANCIS;;OSBORNE ERIC;;COOPER III CLYDE DAVID;;SMITH BRENT W,,https://lens.org/148-378-259-299-251,Patent Application,yes,0,0,12,12,0,H04L12/4625;;H04L45/04;;H04L45/122;;H04L45/22;;H04L45/74;;H04L47/125;;H04L45/28;;H04L45/033;;H04L45/02;;H04L45/122;;H04L45/22;;H04L12/66;;H04L45/74;;H04L47/125;;H04L12/46;;H04L45/28;;H04L12/4625;;H04L45/04,H04L45/02;;H04L12/46;;H04L45/00;;H04L45/122;;H04L45/28;;H04L45/74;;H04L47/125,,0,0,,,,PENDING
6,US,A1,US 2023/0046362 A1,107-262-310-140-149,2023-02-16,2023,US 202217976274 A,2022-10-28,US 202217976274 A;;US 202117374063 A;;US 202016821629 A;;US 201916398034 A;;US 201815891047 A;;US 201762510912 P;;US 201762455992 P,2017-02-07,SYSTEM AND METHOD FOR NEXT HOP BGP ROUTING IN A NETWORK,"Aspects of the present disclosure involve systems for providing multiple egress routes from a telecommunications network for a client of the network. In general, the system provides for a client of the network to receive intended packets of information through multiple connections to the network such that load balancing and failover services for traffic to the customer are provided. The process and system allow for telecommunications network to utilize a common next-hop value of announced border gateway protocol (BGP) routes to advertise multiple routes to reach a destination customer network or address. By utilizing a common next-hop value in the announced BGP information, the devices of the network may load balance communication packets to the destination customer or address among the multiple egress locations from the network, as well as providing fast failover to alternate routes when a failure at the network or customer occurs.",LEVEL 3 COMMUNICATIONS LLC,FERGUSON FRANCIS;;OSBORNE ERIC;;COOPER III CLYDE DAVID;;SMITH BRENT W,LEVEL 3 COMMUNICATIONS LLC (2017-12-12),https://lens.org/107-262-310-140-149,Patent Application,yes,1,0,12,12,0,H04L12/4625;;H04L45/04;;H04L45/122;;H04L45/22;;H04L45/74;;H04L47/125;;H04L45/28;;H04L45/033;;H04L45/02;;H04L45/122;;H04L45/22;;H04L12/66;;H04L45/74;;H04L47/125;;H04L12/46;;H04L45/28;;H04L12/4625;;H04L45/04,H04L45/02;;H04L12/46;;H04L45/00;;H04L45/122;;H04L45/28;;H04L45/74;;H04L47/125,,0,0,,,,ACTIVE
7,US,B2,US 11489755 B2,166-962-987-940-954,2022-11-01,2022,US 202117374063 A,2021-07-13,US 202117374063 A;;US 202016821629 A;;US 201916398034 A;;US 201815891047 A;;US 201762510912 P;;US 201762455992 P,2017-02-07,System and method for next hop BGP routing in a network,"Aspects of the present disclosure involve systems for providing multiple egress routes from a telecommunications network for a client of the network. In general, the system provides for a client of the network to receive intended packets of information through multiple connections to the network such that load balancing and failover services for traffic to the customer are provided. The process and system allow for telecommunications network to utilize a common next-hop value of announced border gateway protocol (BGP) routes to advertise multiple routes to reach a destination customer network or address. By utilizing a common next-hop value in the announced BGP information, the devices of the network may load balance communication packets to the destination customer or address among the multiple egress locations from the network, as well as providing fast failover to alternate routes when a failure at the network or customer occurs.",LEVEL 3 COMMUNICATIONS LLC,FERGUSON FRANCIS;;OSBORNE ERIC;;COOPER III CLYDE DAVID;;SMITH BRENT W,LEVEL 3 COMMUNICATIONS LLC (2017-12-12),https://lens.org/166-962-987-940-954,Granted Patent,yes,27,0,12,12,0,H04L12/4625;;H04L45/04;;H04L45/122;;H04L45/22;;H04L45/74;;H04L47/125;;H04L45/28;;H04L45/033;;H04L45/02;;H04L45/122;;H04L45/22;;H04L12/66;;H04L45/74;;H04L47/125;;H04L12/46;;H04L45/28;;H04L12/4625;;H04L45/04,H04L12/46;;H04L12/66;;H04L45/00;;H04L45/02;;H04L45/122;;H04L45/28;;H04L45/74;;H04L47/125,,2,0,,,"International Search Report and Written Opinion of the International Searching Authority, dated Apr. 12, 2018; Int'l Appl. No. PCT/US18/017254, Int'l Filing Date Feb. 7, 2018; 9 pgs.;;International Preliminary Report on Patentability, dated Aug. 13, 2019; Int'l Appl. No. PCT/US18/017254, Int'l Filing Date Feb. 7, 2018; 8 pgs.",ACTIVE
8,US,A1,US 2021/0344585 A1,131-104-397-158-523,2021-11-04,2021,US 202117374063 A,2021-07-13,US 202117374063 A;;US 202016821629 A;;US 201916398034 A;;US 201815891047 A;;US 201762510912 P;;US 201762455992 P,2017-02-07,SYSTEM AND METHOD FOR NEXT HOP BGP ROUTING IN A NETWORK,"Aspects of the present disclosure involve systems for providing multiple egress routes from a telecommunications network for a client of the network. In general, the system provides for a client of the network to receive intended packets of information through multiple connections to the network such that load balancing and failover services for traffic to the customer are provided. The process and system allows for telecommunications network to utilize a common next-hop value of announced border gateway protocol (BGP) routes to advertise multiple routes to reach a destination customer network or address. By utilizing a common next-hop value in the announced BGP information, the devices of the network may load balance communication packets to the destination customer or address among the multiple egress locations from the network, as well as providing fast failover to alternate routes when a failure at the network or customer occurs.",LEVEL 3 COMMUNICATIONS LLC,FERGUSON FRANCIS;;OSBORNE ERIC;;COOPER III CLYDE DAVID;;SMITH BRENT W,LEVEL 3 COMMUNICATIONS LLC (2017-12-12),https://lens.org/131-104-397-158-523,Patent Application,yes,2,1,12,12,0,H04L12/4625;;H04L45/04;;H04L45/122;;H04L45/22;;H04L45/74;;H04L47/125;;H04L45/28;;H04L45/033;;H04L45/02;;H04L45/122;;H04L45/22;;H04L12/66;;H04L45/74;;H04L47/125;;H04L12/46;;H04L45/28;;H04L12/4625;;H04L45/04,H04L45/02;;H04L12/46;;H04L45/122;;H04L45/24;;H04L45/28;;H04L45/60;;H04L45/74,,0,0,,,,ACTIVE
9,US,B2,US 10601699 B2,041-073-833-887-908,2020-03-24,2020,US 201916398034 A,2019-04-29,US 201916398034 A;;US 201815891047 A;;US 201762510912 P;;US 201762455992 P,2017-02-07,System and method for next hop BGP routing in a network,"Aspects of the present disclosure involve systems for providing multiple egress routes from a telecommunications network for a client of the network. In general, the system provides for a client of the network to receive intended packets of information through multiple connections to the network such that load balancing and failover services for traffic to the customer are provided. The process and system allows for telecommunications network to utilize a common next-hop value of announced border gateway protocol (BGP) routes to advertise multiple routes to reach a destination customer network or address. By utilizing a common next-hop value in the announced BGP information, the devices of the network may load balance communication packets to the destination customer or address among the multiple egress locations from the network, as well as providing fast failover to alternate routes when a failure at the network or customer occurs.",LEVEL 3 COMMUNICATIONS LLC,FERGUSON FRANCIS;;OSBORNE ERIC;;COOPER III CLYDE DAVID;;SMITH BRENT W,LEVEL 3 COMMUNICATIONS LLC (2017-12-12),https://lens.org/041-073-833-887-908,Granted Patent,yes,18,3,12,12,0,H04L12/4625;;H04L45/04;;H04L45/122;;H04L45/22;;H04L45/74;;H04L47/125;;H04L45/28;;H04L45/033;;H04L45/02;;H04L45/122;;H04L45/22;;H04L12/66;;H04L45/74;;H04L47/125;;H04L12/46;;H04L45/28;;H04L12/4625;;H04L45/04,H04L45/02;;H04L12/46;;H04L12/66;;H04L45/122;;H04L45/24;;H04L45/28;;H04L45/60;;H04L45/74,,2,0,,,"International Search Report and Written Opinion of the International Searching Authority, dated Apr. 12, 2018, Int'l Appl. No. PCT/US18/017254, Int'l Filing Date Feb. 7, 2018; 9 pgs.;;International Preliminary Report on Patentability, dated Aug. 13, 2019, Int'l Appl. No. PCT/US18/017254, Int'l Filing Date Feb. 7, 2018; 8 pgs.",ACTIVE
10,US,A1,US 2018/0227212 A1,082-151-479-637-823,2018-08-09,2018,US 201815891047 A,2018-02-07,US 201815891047 A;;US 201762455992 P;;US 201762510912 P,2017-02-07,SYSTEM AND METHOD FOR NEXT HOP BGP ROUTING IN A NETWORK,"Aspects of the present disclosure involve systems for providing multiple egress routes from a telecommunications network for a client of the network. In general, the system provides for a client of the network to receive intended packets of information through multiple connections to the network such that load balancing and failover services for traffic to the customer are provided. The process and system allows for telecommunications network to utilize a common next-hop value of announced border gateway protocol (BGP) routes to advertise multiple routes to reach a destination customer network or address. By utilizing a common next-hop value in the announced BGP information, the devices of the network may load balance communication packets to the destination customer or address among the multiple egress locations from the network, as well as providing fast failover to alternate routes when a failure at the network or customer occurs.",LEVEL 3 COMMUNICATIONS LLC,FERGUSON FRANCIS;;OSBORNE ERIC;;COOPER III CLYDE DAVID;;SMITH BRENT W,LEVEL 3 COMMUNICATIONS LLC (2017-12-12),https://lens.org/082-151-479-637-823,Patent Application,yes,0,25,12,12,0,H04L12/4625;;H04L45/04;;H04L45/122;;H04L45/22;;H04L45/74;;H04L47/125;;H04L45/28;;H04L45/033;;H04L45/02;;H04L45/122;;H04L45/22;;H04L12/66;;H04L45/74;;H04L47/125;;H04L12/46;;H04L45/28;;H04L12/4625;;H04L45/04,H04L45/02;;H04L45/122;;H04L45/24;;H04L45/28;;H04L45/60;;H04L45/74,,0,0,,,,ACTIVE
