"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,CA,A,CA 61865 A,154-216-686-081-578,1898-11-26,1898,CA 61865D A,1898-09-17,CA 61865T A,1898-09-17,SCAFFOLD HANGER,,BOWIE CHARLES H,BOWIE CHARLES H,,https://lens.org/154-216-686-081-578,Granted Patent,no,0,0,1,1,0,,,,0,0,,,,EXPIRED
2,GB,A,GB 190904516 A,036-100-110-437-92X,1910-02-24,1910,GB 190904516D A,1909-02-24,GB 190904516T A,1909-02-24,Safety Appliance for Pit Cages.,"4516. Gilmour, C. B. Feb. 24. Catch gear of mine-cage type.-A pair of spring- actuated bolts a<2> are mounted in cylinders a on the cage roof and are connected by guided chains b to the hoisting- cable. In the event of the hoisting - cable breaking, the bolts are forced into engagement with iron ladders D or with notched bars fitted in the sides of the shaft. The cage may be strengthened by a U-shaped strap A<1> through which the bolts pass. Reference has been directed by the Comptroller to Specifications 2157/87, 2061/97, 9108/07, and 14,820/07.",GILMOUR CHARLES BOWIE,GILMOUR CHARLES BOWIE,,https://lens.org/036-100-110-437-92X,Patent Application,no,0,2,1,1,0,B66B5/26,B66B5/26,,0,0,,,,DISCONTINUED
3,US,A,US 632890 A,106-967-431-975-939,1899-09-12,1899,US 1898/0696580 A,1898-11-16,US 1898/0696580 A,1898-11-16,PUZZLE.,,BOWIE CHARLES H,BOWIE CHARLES H,,https://lens.org/106-967-431-975-939,Granted Patent,no,0,0,1,1,0,A63F9/0078;;A63F9/0078,,,0,0,,,,EXPIRED
4,CA,A,CA 47596 A,030-958-547-413-831,1894-12-04,1894,CA 47596D A,,CA 47596T A,,AUTOMATIC VENDING MACHINE,,LARKIN THOMAS;;ROGER JOHN CHARLES;;HARPER BOWIE GEORGE,LARKIN THOMAS;;ROGER JOHN CHARLES;;HARPER BOWIE GEORGE,,https://lens.org/030-958-547-413-831,Granted Patent,no,0,0,1,1,0,,,,0,0,,,,EXPIRED
5,AU,A,AU 1979/050911 A,121-983-820-709-590,1980-04-17,1980,AU 1979/050911 A,1979-09-18,GB 7839024 A;;GB 7915340 A,1978-10-03,STARTING AID FOR AN I.C. ENGINE,,LUCAS INDUSTRIES LTD,PAGE KENNETH;;BOWIE DAVID CHARLES;;TAYLOR ALFRED JAMES;;KNOWLES RICHARD PATRICK,,https://lens.org/121-983-820-709-590,Patent Application,no,0,0,23,28,0,F02N19/04;;F23Q7/001;;F02N19/04;;F23Q7/001,F02N19/02;;F02P19/02;;F23Q7/00,,0,0,,,,DISCONTINUED
6,DE,A1,DE 2939638 A1,048-214-669-465-009,1980-04-24,1980,DE 2939638 A,1979-09-29,GB 7839024 A;;GB 7915340 A,1978-10-03,STARTHILFE FUER EINEN VERBRENNUNGSMOTOR,,LUCAS INDUSTRIES LTD,PAGE KENNETH;;TAYLOR ALFRED JAMES;;BOWIE DAVID CHARLES;;KNOWLES RICHARD PATRICK,,https://lens.org/048-214-669-465-009,Patent Application,no,5,1,23,28,0,F02N19/04;;F23Q7/001;;F02N19/04;;F23Q7/001,F02N19/02;;F02P19/02;;F23Q7/00,,0,0,,,,DISCONTINUED
7,MX,A,MX 147410 A,082-574-112-736-504,1982-11-30,1982,MX 17949479 A,1979-10-03,GB 7839024 A;;GB 7915340 A,1978-10-03,MEJORAS EN AUXILIAR DE ARRANQUE PARA UNA MAQUINA DE COMBUSTION INTERNA,,LUCAS INDUSTRIES LTD,PAGE KENNETH;;BOWIE DAVID CHARLES;;TAYLOR ALFRED JAMES;;KNOWLES RICHARD PATRICK,,https://lens.org/082-574-112-736-504,Granted Patent,no,0,0,23,28,0,F02N19/04;;F23Q7/001;;F02N19/04;;F23Q7/001,F02N19/02;;F02P19/02;;F23Q7/00,66-3,0,0,,,,EXPIRED
8,IT,A0,IT 7926164 A0,045-191-630-111-58X,1979-10-02,1979,IT 2616479 A,1979-10-02,GB 7839024 A;;GB 7915340 A,1978-10-03,ASSISTENZA ALL'AVVIAMENTO PER UN MOTORE A COMBUSTIONE.,,LUCAS INDUSTRIES LTD,KENNETH PAGE;;CHARLES BOWIE DAVID;;JAMES TAYLOR ALFRED;;PATRICK KNOWLES RICHARD,,https://lens.org/045-191-630-111-58X,Patent Application,no,0,0,23,28,0,F02N19/04;;F23Q7/001;;F02N19/04;;F23Q7/001,F02N19/02;;F02P19/02;;F23Q7/00,,0,0,,,,EXPIRED
9,IT,B,IT 1193236 B,091-069-395-875-350,1988-06-15,1988,IT 2616479 A,1979-10-02,GB 7839024 A;;GB 7915340 A,1978-10-03,ASSISTENZA ALL'AVVIAMENTO PER UN MOTORE A COMBUSTIONE,,LUCAS INDUSTRIES LTD,PAGE KENNETH;;BOWIE DAVID CHARLES;;TAYLOR ALFRED JAMES;;KNOWLES RICHARD PATRICK,,https://lens.org/091-069-395-875-350,Granted Patent,no,0,0,23,28,0,F02N19/04;;F23Q7/001;;F02N19/04;;F23Q7/001,F02N19/02;;F02P19/02;;F23Q7/00,,0,0,,,,EXPIRED
10,DE,C2,DE 3141979 C2,167-709-438-659-745,1990-12-20,1990,DE 3141979 A,1981-10-22,US 20120780 A,1980-10-27,DE 3141979 C2,,"ATLAS POWDER CO., DALLAS, TEX., US","FILLMAN, HAROLD T., BOWIE, MD., US;;WADE, CHARLES GARY, LEHIGTON, PA., US",,https://lens.org/167-709-438-659-745,Granted Patent,no,0,0,9,9,0,C06B47/145;;C06B47/145,C06B47/14,,0,0,,,,EXPIRED
