"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,CA,A,CA 121591 A,062-560-955-326-615,1909-11-02,1909,CA 121591D A,1909-04-09,CA 121591T A,1909-04-09,VALVE,,BOWERS JOHN CHRISTIAN,BOWERS JOHN CHRISTIAN,,https://lens.org/062-560-955-326-615,Granted Patent,no,0,0,1,1,0,,,,0,0,,,,EXPIRED
2,WO,A1,WO 2010/044849 A1,004-492-949-114-91X,2010-04-22,2010,US 2009/0005601 W,2009-10-14,US 57812909 A;;US 10515108 P,2008-10-14,TRANSPARENT CARRYING CASE FOR PORTABLE ELECTRONIC DEVICES,"A protective case for a portable electronic device comprises a first side panel, a second, transparent side panel opposite the first side panel, and a peripheral side panel that is connected to both the first and second side panels. The second, transparent side panel is formed of first and second transparent layers that are bonded together to form a panel having a plurality of uniform, trapped-gas cells, each one fully sealed from all other cells. The transparent side panel enables full visibility of the contents of the case while providing cushioning for the contents. The first side panel also provides cushioning.",SAMSILL CORP;;BOWERS ANDREW CHRISTIAN,BOWERS ANDREW CHRISTIAN,,https://lens.org/004-492-949-114-91X,Patent Application,yes,7,8,3,3,0,A45C13/02;;A45C13/02;;A45C3/02;;A45C3/02;;A45C7/0095;;A45C7/0095;;A45C2007/0004;;A45C2007/0004;;A45C2013/025;;A45C2013/025;;A45C2200/10;;A45C2200/10;;G06F1/1628;;G06F1/1628,B65D85/38,,0,0,,,,PENDING
3,US,A1,US 2010/0089779 A1,029-842-169-758-997,2010-04-15,2010,US 57812909 A,2009-10-13,US 57812909 A;;US 10515108 P,2008-10-14,Transparent Carrying Case for Portable Electronic Devices,"A protective case for a portable electronic device comprises a first side panel, a second, transparent side panel opposite the first side panel, and a peripheral side panel that is connected to both the first and second side panels. The second, transparent side panel is formed of first and second transparent layers that are bonded together to form a panel having a plurality of uniform, trapped-gas cells, each one fully sealed from all other cells. The transparent side panel enables full visibility of the contents of the case while providing cushioning for the contents. The first side panel also provides cushioning.",BOWERS ANDREW CHRISTIAN,BOWERS ANDREW CHRISTIAN,SAMSILL CORPORATION (2010-04-20),https://lens.org/029-842-169-758-997,Patent Application,yes,29,49,3,3,0,A45C13/02;;A45C13/02;;A45C3/02;;A45C3/02;;A45C7/0095;;A45C7/0095;;A45C2007/0004;;A45C2007/0004;;A45C2013/025;;A45C2013/025;;A45C2200/10;;A45C2200/10;;G06F1/1628;;G06F1/1628,B65D81/02;;B65D85/00,206/320;;206/521,0,0,,,,INACTIVE
4,US,B2,US 8186514 B2,082-203-711-214-924,2012-05-29,2012,US 57812909 A,2009-10-13,US 57812909 A;;US 10515108 P,2008-10-14,Transparent carrying case for portable electronic devices,"A protective case for a portable electronic device combines a first side panel, a second, transparent side panel opposite the first side panel, and a peripheral side panel that is connected to both the first and second side panels. The second, transparent side panel is formed of first and second transparent layers that are bonded together to form a panel having a plurality of uniform, trapped-gas cells, each one fully sealed from all other cells. The transparent side panel enables full visibility of the contents of the case while providing cushioning for the contents. The first side panel also provides cushioning.",BOWERS ANDREW CHRISTIAN;;SAMSILL CORP,BOWERS ANDREW CHRISTIAN,SAMSILL CORPORATION (2010-04-20),https://lens.org/082-203-711-214-924,Granted Patent,yes,29,26,3,3,0,A45C13/02;;A45C13/02;;A45C3/02;;A45C3/02;;A45C7/0095;;A45C7/0095;;A45C2007/0004;;A45C2007/0004;;A45C2013/025;;A45C2013/025;;A45C2200/10;;A45C2200/10;;G06F1/1628;;G06F1/1628,B65D81/03;;B65D85/00,206/522;;206/320;;383/3,7,0,,,"Sumdex, Inc., web page product description: Aircube (TM) Notebook Sleeve-for MacBook; copyright 2008; pp. 1 http://www.sumdex.com/catalog/product-info.php?products-id=365.;;Belkin International, Inc., web page product description: Window Sleeve; copyright 2000-2009; pp. 1; http://catalog.belkin.com/IWCatProductPage.process?Product-Id=399332.;;Etsy, Inc., web page product description: Laptop Sleeve, See-Through Window, Show Off Your MAC, Padded Laptop Tote; copyright 209; pp. 1-4 http://www.etsy.com/view-listing.php?listing-id=29171555.;;Web page product description: MacCase; pp. 1; http://mac-case.com/Products/MacCase%20Sleeves.html.;;LC Corporation, web page product descripton: AIRCELL, Laptop Bag, pp. 1-4; http://www.zippack.com/product-laptop-eng.htm.;;LC Corporation, web page product descripton: AIRCELL,Air Cell Technology and Products, pp. 1 http://www.zippack.com/aircell-eng.htm.;;RedMaloo, web pages products; 3 pages; http://redmaloo.com/products.php.",INACTIVE
5,US,A,US 1774034 A,180-437-288-540-953,1930-08-26,1930,US 28568428 A,1928-06-15,US 28568428 A,1928-06-15,File-testing machine,,CARVER FILE COMPANY,CHRISTIAN NIELSEN LARS;;BOWERS FOX WINTERS,,https://lens.org/180-437-288-540-953,Granted Patent,no,0,1,1,1,0,G01N3/58;;G01N3/58,G01N3/58,,0,0,,,,EXPIRED
6,US,A1,US 2013/0317870 A1,068-500-821-403-375,2013-11-28,2013,US 201213480653 A,2012-05-25,US 201213480653 A,2012-05-25,APPARATUS AND METHODS FOR PROCESS CHANGE CONTROL,"Apparatus and methods for process change control are provided. Apparatus and methods in accordance with principles described herein may ascertain an employee readiness status. The readiness status may correspond to an ability to implement a process change. Process change control may provide a managed change readiness environment that consistently operates on target with minimal variation enabling a controlled, successful implementation of a process change. Implementation may be controlled through systematic observation, analysis, and reporting of process change requirements. Process change control may reduce deployment defects resulting from change implementation through a tailored, assessment and readiness/certification process.",FRANCO KAREN E;;DELA MERCED JANINE;;BOWERS CHRISTIAN;;BANK OF AMERICA,FRANCO KAREN E;;DELA MERCED JANINE;;BOWERS CHRISTIAN,BANK OF AMERICA (2012-05-21),https://lens.org/068-500-821-403-375,Patent Application,yes,9,9,1,1,0,G06Q10/06;;G06Q10/06,G06Q10/06,705/7.11,4,0,,,"Change ManagementXYZ Medica Inc., December 2006, May 2007;;Eckerson, Wayne W., Performance Management Strategies - How to Create and Deploy Effective MetricsThe Data Warehouse Institute, TDI Best Practices Report, First Quarter, 2009;;A Guide to Creating Dashboards People Love to UseJuice, Inc., November 2009;;Ergometrics.com Web PagesErcometrics, March 2000, Retrieved from Archive.org January 25, 2007",DISCONTINUED
7,US,S,US D0714297 S,088-283-782-146-261,2014-09-30,2014,US 201329475368 F,2013-12-03,US 201329475368 F,2013-12-03,Portable electronic device cradle,,SEMCO PLASTIC COMPANY,POULSEN CHRISTIAN B;;BOWERS JOE;;WARNER SCOTT K,SEMCO PLASTIC COMPANY (2013-12-11),https://lens.org/088-283-782-146-261,Design Right,no,0,13,1,1,0,,,0803;;D14/447,0,0,,,,ACTIVE
8,US,A1,US 2012/0080876 A1,033-648-394-312-612,2012-04-05,2012,US 201113249946 A,2011-09-30,US 201113249946 A;;US 38831210 P,2010-09-30,Spine Label Pocket for a Binder Cover,"A binding cover having a transparent overlay cover disposed over and around the spine of the binding is configured to provide a label pocket on the spine portion of the binding cover wherein a label may be inserted easily without tools or rigid label material. In several embodiments the label pocket provides a fixed label space. In another embodiment the label pocket opens along the spine when the binding cover is opened, and returns to a closed position when closed, thereby retaining a label inserted therein. In another embodiment a method for forming the label pocket is provided.",BOWERS ANDREW CHRISTIAN;;PIGG JR JOHN WILLIAM;;SCHULTZ JR JAMES ROBERT,BOWERS ANDREW CHRISTIAN;;PIGG JR JOHN WILLIAM;;SCHULTZ JR JAMES ROBERT,SAMSILL CORPORATION (2012-04-16),https://lens.org/033-648-394-312-612,Patent Application,yes,2,7,3,5,0,B42F13/006;;B42F13/006,B42F13/00;;B42C7/00;;B42D3/00,281/36;;402/3;;412/4,0,0,,,,INACTIVE
9,WO,A1,WO 2012/044982 A1,122-395-970-428-669,2012-04-05,2012,US 2011/0054308 W,2011-09-30,US 38831210 P;;US 201113249946 A,2010-09-30,SPINE LABEL POCKET FOR A BINDER COVER,"A binding cover having a transparent overlay cover disposed over and around the spine of the binding is configured to provide a label pocket on the spine portion of the binding cover wherein a label may be inserted easily without tools or rigid label material. In several embodiments the label pocket provides a fixed label space. In another embodiment the label pocket opens along the spine when the binding cover is opened, and returns to a closed position when closed, thereby retaining a label inserted therein. In another embodiment a method for forming the label pocket is provided.",SAMSILL CORP;;BOWERS ANDREW CHRISTIAN;;PIGG JOHN WILLIAM JR;;SCHULTZ JAMES ROBERT JR,BOWERS ANDREW CHRISTIAN;;PIGG JOHN WILLIAM JR;;SCHULTZ JAMES ROBERT JR,,https://lens.org/122-395-970-428-669,Patent Application,yes,5,0,3,5,0,B42F13/006;;B42F13/006,B42D3/00,,0,0,,,,PENDING
10,US,B2,US 8647008 B2,128-092-094-624-909,2014-02-11,2014,US 201113249946 A,2011-09-30,US 201113249946 A;;US 38831210 P,2010-09-30,Spine label pocket for a binder cover,"A binding cover having a transparent overlay cover disposed over and around the spine of the binding is configured to provide a label pocket on the spine portion of the binding cover wherein a label may be inserted easily without tools or rigid label material. In several embodiments the label pocket provides a fixed label space. In another embodiment the label pocket opens along the spine when the binding cover is opened, and returns to a closed position when closed, thereby retaining a label inserted therein. In another embodiment a method for forming the label pocket is provided.",BOWERS ANDREW CHRISTIAN;;PIGG JR JOHN WILLIAM;;SCHULTZ JR JAMES ROBERT;;SAMSILL CORP,BOWERS ANDREW CHRISTIAN;;PIGG JR JOHN WILLIAM;;SCHULTZ JR JAMES ROBERT,SAMSILL CORPORATION (2012-04-16),https://lens.org/128-092-094-624-909,Granted Patent,yes,14,0,3,5,0,B42F13/006;;B42F13/006,B42D1/00;;B42D5/00,402/73;;281/3.1;;281/15.1;;402/74;;402/75;;402/76;;402/77,0,0,,,,INACTIVE
