"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A1,US 2016/0055251 A1,065-860-619-068-18X,2016-02-25,2016,US 201514928294 A,2015-10-30,US 201514928294 A;;US 66556809 A;;US 2008/0067776 W;;US 93662507 P;;US 99489807 P;;US 434107 P,2007-06-21,SYSTEM AND METHOD FOR COMPENDING BLOGS,"The present disclosure provides a system and method for preparing compended blogs, In at least one embodiment, a method of posting blog content to a compended blog comprises establishing a compended blog having a selected keyword, obtaining a blog content, processing the blog content to identify at least one blog content keyword contained within the blog content, comparing the identified blog content keyword to the selected keyword to determine whether a match exists based upon at least one predetermined criterion, and posting the blog content the compended blog if the comparison reveals a match based upon meeting or exceeding the predetermined criterion",ORACLE INT CORP,BAGGOTT CHRISTOPHER C,COMPENDIUM SOFTWARE LLC (2008-09-30);;ORACLE SYSTEMS CORPORATION (2014-01-02);;ORACLE INTERNATIONAL CORPORATION (2015-10-27),https://lens.org/065-860-619-068-18X,Patent Application,yes,4,0,9,9,0,G06F16/9535;;G06F16/958;;G06F16/9577;;G06F16/282;;G06F16/9535;;G06F16/958;;G06F16/9577;;G06F16/282;;G06F40/205;;G06F16/28,G06F17/27;;G06F17/30,,0,0,,,,ACTIVE
2,US,B1,US 9537720 B1,135-517-048-445-920,2017-01-03,2017,US 201514964812 A,2015-12-10,US 201514964812 A,2015-12-10,Topology discovery for fault finding in virtual computing environments,"Embodiments include methods of topology discovery in a virtual environment. Aspects include tracking change events, responsive to a change event, rediscovering dependencies between devices in the virtual environment and maintaining a dependency mapping between the devices. Aspects also include, responsive to a fault event, building a first topology model of the virtual environment and generating a first set of the devices which the first topology model is dependent on. Aspects also include, responsive to a resolution event, building a second topology model and generating a second set of the devices which the second topology model is dependent on. Aspects further include generating a fault device set by combining the first set and the second set, deleting any duplicate devices, and utilizing the generated fault device set to determine which of the devices are more likely to be associated with future fault events.",IBM,BAGGOTT CHRISTOPHER J;;DUGGAN MATTHEW E;;FRANKLIN DAVID R,INTERNATIONAL BUSINESS MACHINES CORPORATION (2015-12-02),https://lens.org/135-517-048-445-920,Granted Patent,yes,31,22,1,1,0,H04L41/065;;H04L41/0677;;G06F9/45558;;G06F2009/45591;;G06F2009/45595;;H04L41/40;;H04L41/122;;H04L41/12;;H04L41/0677;;G06F9/45558;;G06F2009/45591;;G06F2009/45595;;H04L41/147;;H04L41/065,G06F11/25;;G06F9/455;;G06F15/173;;H04L12/24,,2,0,,,"A. Brown, et al.,""An Active Approach to Characterizing Dynamic Dependencies for Problem Determination in a Distributed Environment"", cITESEErx, Sep. 17, 2015, p. 1-14.;;L. Ravindranath, et al.,""Change Is Hard: Adapting Dependency Graph Models for Unified Diagnosis in Wired/Wireless Networks"" ACM, Aug. 21, 2009, p. 1-10.",ACTIVE
3,US,B2,US 8572435 B2,002-549-059-371-115,2013-10-29,2013,US 53587309 A,2009-08-05,US 53587309 A,2009-08-05,System and method for correlating carrier ethernet connectivity fault management events,"A method, system and computer-usable medium are disclosed for suppressing managed endpoint (MEP) child events in a network. A MEP multicast message is broadcast by an originating MEP. Responses received from peer MEPs within a selected time interval are processed to determine their respective IP address, MAC address, and VLAN. If this information is not currently stored in a table of peer MEP device information associated with the originating MEP, then it is added. The responding MEP is then marked in the peer MEP device table as having responded. Peer MEP devices that have responded to previous multicast messages, but have now failed to respond within the selected time interval, are determined. A MEP network event is generated, comprising the IP address of the device containing the MEP, the MAC address for inward-facing MEPs, the MAC address of the associated bridge, the port addresses for outward-facing MEPs, and associated VLAN information. If another MEP network event occurs, the MAC address of the MEP and its VLAN information is determined. If the VLAN associated with the current MEP network event contains a MAC address associated with a prior MEP network event, then the MEP network event is designated as a child MEP network event and suppressed. Otherwise, the MEP network event is designated as a parent MEP network.",MARTIN DANIEL J;;DUGGAN MATTHEW E;;BAGGOTT CHRISTOPHER J;;IBM,MARTIN DANIEL J;;DUGGAN MATTHEW E;;BAGGOTT CHRISTOPHER J,INTERNATIONAL BUSINESS MACHINES CORPORATION (2009-07-30),https://lens.org/002-549-059-371-115,Granted Patent,yes,13,0,2,2,0,H04L41/0663;;H04L41/0663;;H04L12/1886;;H04L12/1886;;H04L12/4641;;H04L12/4641;;H04L43/0811;;H04L43/0811,G06F11/00,714/33,2,0,,,"Finn, ""Connectivity Fault Management,"" Cisco Systems, IEEE 802.1 Tutorial, Portland, Jul. 12, 2004 http://ieee802.org/802-tutorials/july04/nfinn-cfm-tutorial-1.pdf.;;Nortel Metro Ethernet Routing Switch 8600: Troubleshooting, Nortel Networks, pp. 1-308, Aug. 2007 http://www142.nortelnetworks.com/techdocs/MERS8600-4-2/pdf/NN46220-701-01.01-TRBL.pdf.",INACTIVE
4,US,A1,US 2011/0035628 A1,189-840-643-832-844,2011-02-10,2011,US 53587309 A,2009-08-05,US 53587309 A,2009-08-05,System And Method For Correlating Carrier Ethernet Connectivity Fault Management Events,"A method, system and computer-usable medium are disclosed for suppressing managed endpoint (MEP) child events in a network. A MEP multicast message is broadcast by an originating MEP. Responses received from peer MEPs within a selected time interval are processed to determine their respective IP address, MAC address, and VLAN. If this information is not currently stored in a table of peer MEP device information associated with the originating MEP, then it is added. The responding MEP is then marked in the peer MEP device table as having responded. Peer MEP devices that have responded to previous multicast messages, but have now failed to respond within the selected time interval, are determined. A MEP network event is generated, comprising the IP address of the device containing the MEP, the MAC address for inward-facing MEPs, the MAC address of the associated bridge, the port addresses for outward-facing MEPs, and associated VLAN information. If another MEP network event occurs, the MAC address of the MEP and its VLAN information is determined. If the VLAN associated with the current MEP network event contains a MAC address associated with a prior MEP network event, then the MEP network event is designated as a child MEP network event and suppressed. Otherwise, the MEP network event is designated as a parent MEP network.",MARTIN DANIEL J;;DUGGAN MATTHEW E;;BAGGOTT CHRISTOPHER J,MARTIN DANIEL J;;DUGGAN MATTHEW E;;BAGGOTT CHRISTOPHER J,INTERNATIONAL BUSINESS MACHINES CORPORATION (2009-07-30),https://lens.org/189-840-643-832-844,Patent Application,yes,13,4,2,2,0,H04L41/0663;;H04L41/0663;;H04L12/1886;;H04L12/1886;;H04L12/4641;;H04L12/4641;;H04L43/0811;;H04L43/0811,G06F11/07,714/37;;X714E11024,0,0,,,,INACTIVE
5,WO,A3,WO 2008/157810 A3,042-166-856-340-138,2009-03-05,2009,US 2008/0067776 W,2008-06-20,US 93662507 P;;US 99489807 P;;US 434107 P,2007-06-21,SYSTEM AND METHOD FOR COMPENDING BLOGS,"The present disclosure provides a system and method for preparing compended biogs, In at least one embodiment, a method of posting blog content to a compended blog comprises establishing a eompended blog having a selected keyword, obtaining a blog content, processing the blog content to identify at least one biog content keyword contained within the blog content, comparing the identified bfog content keyword to the selected keyword to determine whether a match exists based upon at least one predetermined criterion, and posting the biog content the compended blog if the comparison reveals a match based upon meeting or exceeding the predetermined criterion.",BAGGOTT CHRISTOPHER C;;SALES ALISON L;;STAUFFER ERIC;;WALSH BRENDAN,BAGGOTT CHRISTOPHER C;;SALES ALISON L;;STAUFFER ERIC;;WALSH BRENDAN,,https://lens.org/042-166-856-340-138,Search Report,yes,4,0,9,9,0,G06F16/9535;;G06F16/958;;G06F16/9577;;G06F16/282;;G06F16/9535;;G06F16/958;;G06F16/9577;;G06F16/282;;G06F40/205;;G06F16/28,G06F7/00,,0,0,,,,PENDING
6,CN,A,CN 101855612 A,169-805-802-054-711,2010-10-06,2010,CN 200880103917 A,2008-06-20,US 2008/0067776 W;;US 93662507 P;;US 99489807 P;;US 434107 P,2007-06-21,System and method for compending blogs,"The present disclosure provides a system and method for preparing compended biogs, In at least one embodiment, a method of posting blog content to a compended blog comprises establishing a eompended blog having a selected keyword, obtaining a blog content, processing the blog content to identify at least one biog content keyword contained within the blog content, comparing the identified bfog content keyword to the selected keyword to determine whether a match exists based upon at least one predetermined criterion, and posting the biog content the compended blog if the comparison reveals a match based upon meeting or exceeding the predetermined criterion.",OUTLINE SOFTWARE CO LTD,BAGGOTT CHRISTOPHER C;;SALES ALISON L;;ERIC STAUFFER;;BRENDAN WALSH,,https://lens.org/169-805-802-054-711,Patent Application,no,0,4,9,9,0,G06F16/9535;;G06F16/958;;G06F16/9577;;G06F16/282;;G06F16/9535;;G06F16/958;;G06F16/9577;;G06F16/282;;G06F40/205;;G06F16/28,G06F7/00,,0,0,,,,DISCONTINUED
7,US,B2,US 9208245 B2,042-708-004-726-069,2015-12-08,2015,US 66556808 A,2008-06-20,US 66556808 A;;US 434107 P;;US 93662507 P;;US 99489807 P;;US 2008/0067776 W,2007-06-21,System and method for compending blogs,"The present disclosure provides a system and method for preparing compended biogs, In at least one embodiment, a method of posting blog content to a compended blog comprises establishing a compended blog having a selected keyword, obtaining a blog content, processing the blog content to identify at least one blog content keyword contained within the blog content, comparing the identified blog content keyword to the selected keyword to determine whether a match exists based upon at least one predetermined criterion, and posting the blog content the compended blog if the comparison reveals a match based upon meeting or exceeding the predetermined criterion.",BAGGOTT CHRISTOPHER C;;SALES ALLSON L;;STAUFFER ERIC;;WALSH BRENDAN;;ORACLE INT CORP,BAGGOTT CHRISTOPHER C;;SALES ALLSON L;;STAUFFER ERIC;;WALSH BRENDAN,COMPENDIUM SOFTWARE LLC (2008-07-09);;ORACLE SYSTEMS CORPORATION (2014-01-02);;ORACLE INTERNATIONAL CORPORATION (2015-10-27),https://lens.org/042-708-004-726-069,Granted Patent,yes,5,0,9,9,0,G06F16/9535;;G06F16/958;;G06F16/9577;;G06F16/282;;G06F16/9535;;G06F16/958;;G06F16/9577;;G06F16/282;;G06F40/205;;G06F16/28,G06F17/30,,2,0,,,"International Searching Authority, Written Opinion of the International Searching Authority, mailed Dec. 24, 2008 (PCT/US2008/067776).;;International Searching Authority, International Search Report, mailed Dec. 24, 2008 (PCT/US2008/067776).",ACTIVE
8,CA,A1,CA 2727537 A1,170-770-434-989-836,2008-12-24,2008,CA 2727537 A,2008-06-20,US 93662507 P;;US 99489807 P;;US 434107 P;;US 2008/0067776 W,2007-06-21,SYSTEM AND METHOD FOR COMPENDING BLOGS,"The present disclosure provides a system and method for preparing compended biogs, In at least one embodiment, a method of posting blog content to a compended blog comprises establishing a compended blog having a selected keyword, ob-taining a blog content, processing the blog content to identify at least one biog content keyword contained within the blog content, comparing the identified bfog content keyword to the selected keyword to determine whether a match exists based upon at least one predetermined criterion, and posting the biog content the compended blog if the comparison reveals a match based upon meeting or exceeding the predetermined criterion.",BAGGOTT CHRISTOPHER C;;SALES ALISON L;;STAUFFER ERIC;;WALSH BRENDAN,BAGGOTT CHRISTOPHER C;;SALES ALISON L;;STAUFFER ERIC;;WALSH BRENDAN,,https://lens.org/170-770-434-989-836,Patent Application,no,0,0,9,9,0,G06F16/9535;;G06F16/958;;G06F16/9577;;G06F16/282;;G06F16/9535;;G06F16/958;;G06F16/9577;;G06F16/282;;G06F40/205;;G06F16/28,G06F7/00,,0,0,,,,ACTIVE
9,WO,A2,WO 2008/157810 A2,176-414-268-322-549,2008-12-24,2008,US 2008/0067776 W,2008-06-20,US 93662507 P;;US 99489807 P;;US 434107 P,2007-06-21,SYSTEM AND METHOD FOR COMPENDING BLOGS,"The present disclosure provides a system and method for preparing compended biogs, In at least one embodiment, a method of posting blog content to a compended blog comprises establishing a eompended blog having a selected keyword, obtaining a blog content, processing the blog content to identify at least one biog content keyword contained within the blog content, comparing the identified bfog content keyword to the selected keyword to determine whether a match exists based upon at least one predetermined criterion, and posting the biog content the compended blog if the comparison reveals a match based upon meeting or exceeding the predetermined criterion.",BAGGOTT CHRISTOPHER C;;SALES ALISON L;;STAUFFER ERIC;;WALSH BRENDAN,BAGGOTT CHRISTOPHER C;;SALES ALISON L;;STAUFFER ERIC;;WALSH BRENDAN,,https://lens.org/176-414-268-322-549,Patent Application,yes,0,0,9,9,0,G06F16/9535;;G06F16/958;;G06F16/9577;;G06F16/282;;G06F16/9535;;G06F16/958;;G06F16/9577;;G06F16/282;;G06F40/205;;G06F16/28,G06F17/40,,0,0,,,,PENDING
10,CA,C,CA 2727537 C,086-199-915-359-769,2017-03-14,2017,CA 2727537 A,2008-06-20,US 93662507 P;;US 99489807 P;;US 434107 P;;US 2008/0067776 W,2007-06-21,SYSTEM AND METHOD FOR COMPENDING BLOGS,"The present disclosure provides a system and method for preparing compended biogs, In at least one embodiment, a method of posting blog content to a compended blog comprises establishing a compended blog having a selected keyword, ob-taining a blog content, processing the blog content to identify at least one biog content keyword contained within the blog content, comparing the identified bfog content keyword to the selected keyword to determine whether a match exists based upon at least one predetermined criterion, and posting the biog content the compended blog if the comparison reveals a match based upon meeting or exceeding the predetermined criterion.",BAGGOTT CHRISTOPHER C;;SALES ALISON L;;STAUFFER ERIC;;WALSH BRENDAN,BAGGOTT CHRISTOPHER C;;SALES ALISON L;;STAUFFER ERIC;;WALSH BRENDAN,,https://lens.org/086-199-915-359-769,Granted Patent,no,0,0,9,9,0,G06F16/9535;;G06F16/958;;G06F16/9577;;G06F16/282;;G06F16/9535;;G06F16/958;;G06F16/9577;;G06F16/282;;G06F40/205;;G06F16/28,G06F17/00;;G06F17/27;;G06F17/30;;H04L12/16,,0,0,,,,ACTIVE
