"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,WO,A2,WO 2005/000125 A2,054-059-463-669-372,2005-01-06,2005,US 2004/0016621 W,2004-06-17,US 47914503 P;;US 77822604 A;;US 84510804 A,2003-06-18,ENDOSCOPIC INSTRUMENTS AND METHODS OF MANUFACTURE,"Embodiments of the invention include a medical device with one or more of a variety of features. More particularly, embodiments of the invention relate to endoscopic devices that include one or more features that improve the use of the device. Examples of such features include chamfered edges and corners on, for example, the end effectors, a surface with a controlled finish also on, for example, the end effectors, a jaw with teeth and/or a tang having various configurations, a handle having soft-grip features, and/or an elongate member with varied rigidity. Other examples of such features include a folded portion on, for example, the end effectors and/or a snap-fit clevis assembly.",SCIMED LIFE SYSTEMS INC;;ROTHBERG ELLIOTT;;GIL DE MONTES WILLIAM;;ZARDESKAS JAMES M;;FREED DAVID I;;MAGILL MICHAEL J;;SHARMA SATISH;;GINGRICH JON;;BOARINI EDWARD,ROTHBERG ELLIOTT;;GIL DE MONTES WILLIAM;;ZARDESKAS JAMES M;;FREED DAVID I;;MAGILL MICHAEL J;;SHARMA SATISH;;GINGRICH JON;;BOARINI EDWARD,,https://lens.org/054-059-463-669-372,Patent Application,yes,2,2,9,22,0,A61B10/06;;A61B10/06;;A61B17/29;;A61B2017/00858;;A61B2017/00858;;A61B2017/2905;;A61B2017/2905;;A61B2017/2939;;A61B2017/2939;;A61B2017/294;;A61B2017/294;;A61B2017/320044;;A61B2017/320044;;A61B2017/320064;;A61B2017/320064,A61B10/00;;A61B10/06;;A61B17/00;;A61B17/28;;A61B17/32,,0,0,,,,PENDING
2,US,B2,US 9681857 B2,022-035-727-484-172,2017-06-20,2017,US 201313899285 A,2013-05-21,US 201313899285 A;;US 84510804 A;;US 77822604 A;;US 47914503 P,2003-06-18,Endoscopic instruments and methods of manufacture,"Embodiments of the invention include a medical device with one or more of a variety of features. More particularly, embodiments of the invention relate to endoscopic devices that include one or more features that improve the use of the device. Examples of such features include chamfered edges and corners on, for example, the end effectors, a surface with a controlled finish also on, for example, the end effectors, a jaw with teeth and/or a tang having various configurations, a handle having soft-grip features, and/or an elongate member with varied rigidity. Other examples of such features include a folded portion on, for example, the end effectors and/or a snap-fit clevis assembly.",BOSTON SCIENT SCIMED INC,ROTHBERG ELLIOTT;;DEMONTES WILLIAM GIL;;ZARDESKAS JAMES M;;FREED DAVID I;;MAGILL MICHAEL J;;SHARMA SATISH;;GINGRICH JON;;BOARINI EDWARD,,https://lens.org/022-035-727-484-172,Granted Patent,yes,497,2,9,22,0,A61B10/06;;A61B10/06;;A61B17/29;;A61B2017/00858;;A61B2017/00858;;A61B2017/2905;;A61B2017/2905;;A61B2017/2939;;A61B2017/2939;;A61B2017/294;;A61B2017/294;;A61B2017/320044;;A61B2017/320044;;A61B2017/320064;;A61B2017/320064,A61B10/06;;A61B10/00;;A61B17/00;;A61B17/28;;A61B17/29;;A61B17/32,,0,0,,,,ACTIVE
3,US,A1,US 2013/0253530 A1,174-560-533-737-95X,2013-09-26,2013,US 201313899285 A,2013-05-21,US 201313899285 A;;US 84510804 A;;US 77822604 A;;US 47914503 P,2003-06-18,ENDOSCOPIC INSTRUMENTS AND METHODS OF MANUFACTURE,"Embodiments of the invention include a medical device with one or more of a variety of features. More particularly, embodiments of the invention relate to endoscopic devices that include one or more features that improve the use of the device. Examples of such features include chamfered edges and corners on, for example, the end effectors, a surface with a controlled finish also on, for example, the end effectors, a jaw with teeth and/or a tang having various configurations, a handle having soft-grip features, and/or an elongate member with varied rigidity. Other examples of such features include a folded portion on, for example, the end effectors and/or a snap-fit clevis assembly.",BOSTON SCIENT SCIMED INC,ROTHBERG ELLIOTT;;DEMONTES WILLIAM GIL;;ZARDESKAS JAMES M;;FREED DAVID I;;MAGILL MICHAEL J;;SHARMA SATISH;;GINGRICH JON;;BOARINI EDWARD,,https://lens.org/174-560-533-737-95X,Patent Application,yes,8,0,9,22,0,A61B10/06;;A61B10/06;;A61B17/29;;A61B2017/00858;;A61B2017/00858;;A61B2017/2905;;A61B2017/2905;;A61B2017/2939;;A61B2017/2939;;A61B2017/294;;A61B2017/294;;A61B2017/320044;;A61B2017/320044;;A61B2017/320064;;A61B2017/320064,A61B10/06;;A61B10/00;;A61B17/00;;A61B17/28;;A61B17/32,606/114,0,0,,,,EXPIRED
4,EP,A3,EP 2294984 A3,032-489-707-867-511,2011-06-01,2011,EP 10012252 A,2004-06-17,EP 04753450 A;;US 47914503 P;;US 77822604 A;;US 84510804 A,2003-06-18,Endoscopic instrument,"A medical device comprising: 
a handle (16); 
an end effector assembly (12); and 
a member connecting the handle to the end effector assembly (13), 
wherein the end effector assembly includes at least one end effector (114) having a tang (100) defining a mounting hole (185) configured to receive one of a wire (15) and an axle (187), 
wherein the tang includes a portion disposed around the mounting hole that has a thickness greater than a thickness of other portions of the tang, and 
wherein a section of the tang (111) defining a through hole (113) is folded so that the through hole is substantially aligned with the mounting hole.
",BOSTON SCIENT LTD,ROTHBERG ELLIOTT;;GIL DE MONTES WILLIAM;;ZARDESKAS JAMES M;;FREED DAVID I;;MAGILL MICHAEL J;;SHARMA SATISH;;GINGRICH JON;;BOARINI EDWARD,"BOSTON SCIENTIFIC MEDICAL DEVICE LIMITED, IE (2021-10-28);;BOSTON SCIENTIFIC LIMITED (2014-11-26)",https://lens.org/032-489-707-867-511,Search Report,yes,3,0,11,22,0,A61B10/06;;A61B2017/00858;;A61B2017/2905;;A61B2017/2939;;A61B2017/294;;A61B2017/320044;;A61B2017/320064;;A61B17/282,A61B10/00;;A61B10/06;;A61B17/00;;A61B17/28;;A61B17/29;;A61B17/32,,0,0,,,,ACTIVE
5,EP,A2,EP 3207880 A2,174-765-663-638-326,2017-08-23,2017,EP 16193077 A,2004-06-17,US 47914503 P;;US 77822604 A;;US 84510804 A;;EP 10012252 A;;EP 04753450 A;;US 2004/0016621 W,2003-06-18,ENDOSCOPIC INSTRUMENT,"A medical device (10) comprising a handle (11), an end effector assembly (12), and a member (13) connecting the handle to the end effector assembly. The end effector assembly (12) comprises opposing jaw portions (83, 183) each including a plurality of teeth (84, 184). Each of the plurality of teeth includes a crest (88, 188), a root (89, 189), a first intermediate portion (90, 190) between the crest and the root, and a second intermediate portion (90, 190) between the crest and a root of an adjoining tooth, wherein surfaces of first intermediate portions contact surfaces of second intermediate portions of opposing jaw portions when the opposing jaw portions are in a closed configuration. The surfaces of the first intermediate portions and the surfaces of the second intermediate portions are transverse to a longitudinal axis of the jaw portions, and at least one root has a recessed portion (189, 289) configured to accommodate a tip (188) of the crest of an opposing tooth. A gap exists between the tip of the crest of the opposing tooth and a lowest point of the at least one root when the opposing jaw portions are in the closed configuration.
",BOSTON SCIENT LTD,ROTHBERG ELIOTT;;GIL DE MONTES WILLIAM;;ZARDESKAS JAMES M;;FREED DAVID I;;MAGILL MICHAEL J;;SHARMA SATISH;;GINGRICH JON;;BOARINI EDWARD,"BOSTON SCIENTIFIC MEDICAL DEVICE LIMITED, IE (2021-10-28);;BOSTON SCIENTIFIC MEDICAL DEVICE LIMITED; IE (2023-09-29)",https://lens.org/174-765-663-638-326,Patent Application,yes,0,0,11,22,0,A61B10/06;;A61B2017/00858;;A61B2017/2905;;A61B2017/2939;;A61B2017/294;;A61B2017/320044;;A61B2017/320064;;A61B17/282,A61B10/06;;A61B10/00;;A61B17/00;;A61B17/28;;A61B17/29;;A61B17/32,,0,0,,,,ACTIVE
6,WO,A3,WO 2005/000125 A3,198-966-013-851-506,2005-02-03,2005,US 2004/0016621 W,2004-06-17,US 47914503 P;;US 77822604 A;;US 84510804 A,2003-06-18,ENDOSCOPIC INSTRUMENTS AND METHODS OF MANUFACTURE,"Embodiments of the invention include a medical device with one or more of a variety of features. More particularly, embodiments of the invention relate to endoscopic devices that include one or more features that improve the use of the device. Examples of such features include chamfered edges and corners on, for example, the end effectors, a surface with a controlled finish also on, for example, the end effectors, a jaw with teeth and/or a tang having various configurations, a handle having soft-grip features, and/or an elongate member with varied rigidity. Other examples of such features include a folded portion on, for example, the end effectors and/or a snap-fit clevis assembly.",SCIMED LIFE SYSTEMS INC;;ROTHBERG ELLIOTT;;GIL DE MONTES WILLIAM;;ZARDESKAS JAMES M;;FREED DAVID I;;MAGILL MICHAEL J;;SHARMA SATISH;;GINGRICH JON;;BOARINI EDWARD,ROTHBERG ELLIOTT;;GIL DE MONTES WILLIAM;;ZARDESKAS JAMES M;;FREED DAVID I;;MAGILL MICHAEL J;;SHARMA SATISH;;GINGRICH JON;;BOARINI EDWARD,,https://lens.org/198-966-013-851-506,Search Report,yes,2,0,9,22,0,A61B10/06;;A61B10/06;;A61B17/29;;A61B2017/00858;;A61B2017/00858;;A61B2017/2905;;A61B2017/2905;;A61B2017/2939;;A61B2017/2939;;A61B2017/294;;A61B2017/294;;A61B2017/320044;;A61B2017/320044;;A61B2017/320064;;A61B2017/320064,A61B10/00;;A61B10/06;;A61B17/00;;A61B17/28;;A61B17/32,,0,0,,,,PENDING
7,EP,A3,EP 3207880 A3,055-960-709-553-264,2018-06-06,2018,EP 16193077 A,2004-06-17,US 47914503 P;;US 77822604 A;;US 84510804 A;;EP 10012252 A;;EP 04753450 A;;US 2004/0016621 W,2003-06-18,ENDOSCOPIC INSTRUMENT,"A medical device (10) comprising a handle (11), an end effector assembly (12), and a member (13) connecting the handle to the end effector assembly. The end effector assembly (12) comprises opposing jaw portions (83, 183) each including a plurality of teeth (84, 184). Each of the plurality of teeth includes a crest (88, 188), a root (89, 189), a first intermediate portion (90, 190) between the crest and the root, and a second intermediate portion (90, 190) between the crest and a root of an adjoining tooth, wherein surfaces of first intermediate portions contact surfaces of second intermediate portions of opposing jaw portions when the opposing jaw portions are in a closed configuration. The surfaces of the first intermediate portions and the surfaces of the second intermediate portions are transverse to a longitudinal axis of the jaw portions, and at least one root has a recessed portion (189, 289) configured to accommodate a tip (188) of the crest of an opposing tooth. A gap exists between the tip of the crest of the opposing tooth and a lowest point of the at least one root when the opposing jaw portions are in the closed configuration.
",BOSTON SCIENT LTD,ROTHBERG ELIOTT;;GIL DE MONTES WILLIAM;;ZARDESKAS JAMES M;;FREED DAVID I;;MAGILL MICHAEL J;;SHARMA SATISH;;GINGRICH JON;;BOARINI EDWARD,"BOSTON SCIENTIFIC MEDICAL DEVICE LIMITED, IE (2021-10-28);;BOSTON SCIENTIFIC MEDICAL DEVICE LIMITED; IE (2023-09-29)",https://lens.org/055-960-709-553-264,Search Report,yes,5,0,11,22,0,A61B10/06;;A61B2017/00858;;A61B2017/2905;;A61B2017/2939;;A61B2017/294;;A61B2017/320044;;A61B2017/320064;;A61B17/282,A61B10/06;;A61B10/00;;A61B17/00;;A61B17/28;;A61B17/29;;A61B17/32,,0,0,,,,ACTIVE
8,AT,T1,AT E502579 T1,062-173-304-935-986,2011-04-15,2011,AT 04753450 T,2004-06-17,US 47914503 P;;US 77822604 A;;US 84510804 A;;US 2004/0016621 W,2003-06-18,ENDOSKOPISCHES INSTRUMENT,"A medical device (10) comprising a handle (11), an end effector assembly (12), and a member (13) connecting the handle to the end effector assembly. The end effector assembly (12) comprises opposing jaw portions (83, 183) each including a plurality of teeth (84, 184). Each of the plurality of teeth includes a crest (88, 188), a root (89, 189), a first intermediate portion (90, 190) between the crest and the root, and a second intermediate portion (90, 190) between the crest and a root of an adjoining tooth, wherein surfaces of first intermediate portions contact surfaces of second intermediate portions of opposing jaw portions when the opposing jaw portions are in a closed configuration. The surfaces of the first intermediate portions and the surfaces of the second intermediate portions are transverse to a longitudinal axis of the jaw portions, and at least one root has a recessed portion (189, 289) configured to accommodate a tip (188) of the crest of an opposing tooth. A gap exists between the tip of the crest of the opposing tooth and a lowest point of the at least one root when the opposing jaw portions are in the closed configuration.",BOSTON SCIENT LTD,ROTHBERG ELLIOTT;;GIL DE MONTES WILLIAM;;ZARDESKAS JAMES M;;FREED DAVID I;;MAGILL MICHAEL J;;SHARMA SATISH;;GINGRICH JON;;BOARINI EDWARD,,https://lens.org/062-173-304-935-986,Granted Patent,no,0,0,11,22,0,A61B10/06;;A61B2017/00858;;A61B2017/2905;;A61B2017/2939;;A61B2017/294;;A61B2017/320044;;A61B2017/320064;;A61B17/282,A61B10/00;;A61B10/06;;A61B17/00;;A61B17/28;;A61B17/32,,0,0,,,,INACTIVE
9,CA,A1,CA 2529434 A1,104-867-777-626-559,2005-01-06,2005,CA 2529434 A,2004-06-17,US 47914503 P;;US 77822604 A;;US 84510804 A;;US 2004/0016621 W,2003-06-18,ENDOSCOPIC INSTRUMENTS AND METHODS OF MANUFACTURE,"Embodiments of the invention include a medical device with one or more of a variety of features. More particularly, embodiments of the invention relate to endoscopic devices that include one or more features that improve the use of the device. Examples of such features include chamfered edges and corners on , for example, the end effectors, a surface with a controlled finish also on, for example, the end effectors, a jaw with teeth and/or a tang having variou s configurations, a handle having soft-grip features, and/or an elongate membe r with varied rigidity. Other examples of such features include a folded porti on on, for example, the end effectors and/or a snap-fit clevis assembly.</SDOAB >",BOSTON SCIENT LTD,MAGILL MICHAEL J;;ZARDESKAS JAMES M;;ROTHBERG ELLIOTT;;GIL DE MONTES WILLIAM;;FREED DAVID I;;BOARINI EDWARD;;GINGRICH JON;;SHARMA SATISH,,https://lens.org/104-867-777-626-559,Patent Application,no,0,0,9,22,0,A61B10/06;;A61B10/06;;A61B17/29;;A61B2017/00858;;A61B2017/00858;;A61B2017/2905;;A61B2017/2905;;A61B2017/2939;;A61B2017/2939;;A61B2017/294;;A61B2017/294;;A61B2017/320044;;A61B2017/320044;;A61B2017/320064;;A61B2017/320064,A61B10/00;;A61B10/06;;A61B17/00;;A61B17/28;;A61B17/32,,0,0,,,,DISCONTINUED
10,AU,A1,AU 2004/251613 A1,142-339-580-449-076,2005-01-06,2005,AU 2004/251613 A,2004-06-17,US 77822604 A;;US 84510804 A;;US 47914503 P;;US 2004/0016621 W,2003-06-18,Endoscopic instruments and methods of manufacture,,BOSTON SCIENT LTD,ROTHBERG ELLIOTT;;FREED DAVID I;;SHARMA SATISH;;MONTES WILLIAM GIL DE;;GINGRICH JON;;MAGILL MICHAEL J;;ZARDESKAS JAMES M;;BOARINI EDWARD,,https://lens.org/142-339-580-449-076,Patent Application,no,0,0,9,22,0,A61B10/06;;A61B10/06;;A61B17/29;;A61B2017/00858;;A61B2017/00858;;A61B2017/2905;;A61B2017/2905;;A61B2017/2939;;A61B2017/2939;;A61B2017/294;;A61B2017/294;;A61B2017/320044;;A61B2017/320044;;A61B2017/320064;;A61B2017/320064,A61B10/00;;A61B10/06;;A61B17/00;;A61B17/28;;A61B17/32,,0,0,,,,DISCONTINUED
