"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,B1,US 6879156 B1,172-705-567-411-220,2005-04-12,2005,US 44001903 A,2003-05-16,US 44001903 A;;US 38115202 P,2002-05-17,Reducing dead-time effect in MRI projection,"A method for collecting data representative of a magnetic resonance image includes two or more data collection cycles in which different gradient fields are applied. A first data set collected in the first cycle leaves a portion of k-space inaccessible because of dead-time in the MRI machine. The second data set, collected in the presence of a different gradient, reaches back to populate a portion of the previously inaccessible portion of k-space.",GEN HOSPITAL CORP,CHESLER DAVID,GENERAL HOSPITAL CORPORATION (2003-07-24),https://lens.org/172-705-567-411-220,Granted Patent,yes,9,4,1,1,0,G01R33/4816;;G01R33/4816,G01R33/54,324/309;;324/307,4,3,029-738-214-566-039;;054-751-150-985-500;;000-169-667-766-99X,10.1073/pnas.96.4.1574;;9990066;;pmc15521;;10388580;;10.1006/jmre.1999.1767;;9576979;;10.1007/s002239900471,"Wu et al., ""Multinuclear Solid-State three-dimensional MRI of Bone and Synthetic Calcium Phosphates,"" P.N.A.S. USA, vol. 96, No. 4, pp. 1574-1578 (1999).;;Kuethe et al., ""Transforming NMR Data Despite Missing Points,"" J. Magnetic Resonance, vol. 139, pp. 18-25 (1999).;;Chesler, et al., Abstracts, Eleventh Annual Meeting of the Society of Magnetic Resonance in Medicine in Berlin, Germany, Aug. 8-13, 1992, 1992, p. 665.;;Wu, et al., ""Evaluation of Bone Mineral Density Using 3-Dimensional Solid State Phosphorus 3-1 NMR Projection Imaging,"" Calcified Tissue International, vol. 62, pp. 512-518, 1998.",EXPIRED
2,US,A,US 5079697 A,163-810-949-614-478,1992-01-07,1992,US 66231391 A,1991-02-21,US 66231391 A;;US 34631689 A,1989-05-01,Distortion reduction in projection imaging by manipulation of fourier transform of projection sample,"Distortion is reduced in images derived by Fourier transform methods from projection samples by manipulating the Fourier transformed values by a predetermined procedure of a kind that subjects the image values to unwanted distortion, and then applying to the projection samples or image values a correction function that corresponds to the predefined procedure.",GEN HOSPITAL CORP,CHESLER DAVID A,,https://lens.org/163-810-949-614-478,Granted Patent,yes,6,10,1,1,0,G06T11/005;;G06T2211/421;;G06T11/005;;G06T2211/421,G06T11/00,364/413.2,15,8,017-946-223-692-126;;030-042-293-382-878;;093-331-717-605-059;;052-917-980-478-350;;090-221-321-306-46X;;143-382-475-191-245;;159-036-750-114-682;;018-848-939-910-253,634228;;10.1118/1.594400;;1000953;;10.1016/0010-4825(76)90064-0;;7275130;;10.1109/tbme.1981.324736;;10.1109/tassp.1981.1163528;;10.1148/117.3.561;;1188102;;10.1109/tns.1985.4336955;;10.1109/tassp.1985.1164551;;10.1007/978-1-4613-2779-0_3,"Inouye, Analysis of Artifact Pattern Generation in Two Dimensional Fourier Transform Image Reconstruction Algorithm for Computerized Tomography, Proceedings of the 1984 International Symposium on Noise and Clutter Rejection in Radars and Imaging Sensors, pp. 170 175.;;Orphanoudakis et al., Linearizing Mechanisms in Conventional Tomographic Imagery, Medical Physics, vol. 5, No. 1, Jan./Feb. 1978, pp. 1 7.;;Mersereau, Direct Fourier Transform Techniques in 3 D Image Reconstruction, Computers in Biology and Medicine, vol. 6, No. 4, Oct., 1976, pp. 247 258.;;Niki et al., A High Speed Computerized Tomography Image Reconstruction Using Direct Two Dimensional Fourier Transformer Method, Systems Computers Controls scripta electronic japonica III, vol. 14, May Jun. 1983, 56 65.;;Stark et al., An Investigation of Computerized Tomography by Direct Fourier Inversion and Optimum Interpolation , IEEE Transactions on Biomedical Engineering, vol. BME 28, No. 5, May, 1981, 496 505.;;Stark et al., Direct Fourier Reconstruction in Computer Tomography IEEE Transactions on Acoustics, Speech and Signal Processing, vol. ASSP 29, No. 1, Feb. 1981, 237 245.;;Stark et al., Experimental Investigation of Computerized Tomography by Direct fourier Inversion , IEEE 1981 Frontiers of Engineering in Health Care, Sep. 19 21, 1981, 89 96.;;Stark et al., Fourier Transform Reconstruction in CAT by Exact Interpolation , IEEE 1979 Frontiers of Engineering in Health Care, Oct. 6 7, 1979.;;Brooks et al., Theory of Image Reconstruction in Computed Tomography , Radiology, vol. 117, No. 3, Dec., 1975.;;Llacer et al., Matrix Based Image Reconstruction Methods for Tomography , IEEE Transactions on Nuclear Science, vol. NS 32, No. 1.;;Orphanoudaki et al., A Fourier Domain Mathematical Representation of Conventional Tomographic Imaging Techniques , Proceedings of the Fourth New England Bioengineering Conference, 1976, 399 402.;;Stark et al., Image Reconstruction in Computer Aided Tomography by Direct Fourier Methods , IEEE 1980 Frontiers of Engineering in Health Care, Sep. 1980.;;Fan et al., Comments on Direct Fourier Reconstruction in Computer Tomography , IEEE Transactions on Acoustics, Speech and Signal Processing, vol. ASSP 33, No. 2, Apr., 1985, 446 449.;;Soumekh et al., Fourier Domain Reconstruction Methods with Application to Diffraction Tomography , Acoustical Imaging, vol. 13, Plenum Press: New York, 1984, 17 30.;;Buonocore et al., A New Decomposition for 2 Dimensional Image Reconstruction , Medical Physics, vol. 7, No. 4, Jul./Aug., 1980, 427.",EXPIRED
3,EP,B1,EP 3255397 B1,097-920-387-163-227,2023-02-22,2023,EP 16176932 A,2016-06-29,US 201662346103 P,2016-06-06,OPTICAL SENSOR DEVICE,,AMS INT AG,MEHRL DAVID;;CHESLER TROY;;DIERSCHKE EUGENE G,AMS INTERNATIONAL AG (2020-07-15),https://lens.org/097-920-387-163-227,Granted Patent,yes,5,0,5,5,0,G01J1/42;;G01S3/783;;G01S3/7861;;G01J1/0266;;G01J1/06;;G01J2001/4266;;G01J1/429;;G01J1/4204;;G01J1/0266;;G01J1/06;;G01J2001/4266;;G01J1/429;;G01J1/4204;;G01S3/7861;;G01S3/783;;G01J1/42,G01J1/42;;G01J1/02;;G01J1/06;;G01S3/783;;G01S3/786,,0,0,,,,ACTIVE
4,US,B2,US 10768044 B2,050-026-885-806-254,2020-09-08,2020,US 201716306649 A,2017-05-31,US 201716306649 A;;EP 16176932 A;;US 201662346103 P;;EP 2017063202 W,2016-06-06,Optical sensor device,"An optical sensor device comprises a first and a second optical sensor arrangement. In the first optical sensor arrangement at least one optical sensor structure measures the incidence angle of incoming light that is approximately on the main beam axis of a light source. The second optical sensor arrangement comprises at least one optical sensor structure with at least one optical sensor, at least two metal layers and opaque walls optically isolating the optical sensor. An evaluation circuit provides an output signal of the second optical sensor arrangement under the condition that the incidence angle measured by the first optical sensor arrangement lies within a set interval.",AMS INT AG,DIERSCHKE EUGENE G;;MEHRL DAVID;;CHESLER TROY,AMS INTERNATIONAL AG (2019-01-09),https://lens.org/050-026-885-806-254,Granted Patent,yes,7,0,5,5,0,G01J1/42;;G01S3/783;;G01S3/7861;;G01J1/0266;;G01J1/06;;G01J2001/4266;;G01J1/429;;G01J1/4204;;G01J1/0266;;G01J1/06;;G01J2001/4266;;G01J1/429;;G01J1/4204;;G01S3/7861;;G01S3/783;;G01J1/42,G01J1/42;;G01J1/02;;G01J1/06;;G01S3/783;;G01S3/786,,1,0,,,"European Patent Office, International Search Report, PCT/EP2017/063202, dated Sep. 28, 2017.",ACTIVE
5,EP,A1,EP 3255397 A1,062-503-525-640-291,2017-12-13,2017,EP 16176932 A,2016-06-29,US 201662346103 P,2016-06-06,OPTICAL SENSOR DEVICE,"An optical sensor device comprises a first (10) and a second (15) optical sensor arrangement. In the first optical sensor arrangement (10) at least one optical sensor structure (11) measures the incidence angle of incoming light (θ) that is approximately on the main beam axis (20) of a light source (22). The second optical sensor arrangement (15) comprises at least one optical sensor structure (16) with at least one optical sensor (24), at least two metal layers (43,44) and opaque walls (26) optically isolating the optical sensor (24). An evaluation circuit (14) provides an output signal (46) of the second optical sensor arrangement (15) under the condition that the incidence angle (θ) measured by the first optical sensor arrangement (10) lies within a set interval.
",AMS INT AG,MEHRL DAVID;;CHESLER TROY;;DIERSCHKE EUGENE G,AMS INTERNATIONAL AG (2020-07-15),https://lens.org/062-503-525-640-291,Patent Application,yes,5,2,5,5,0,G01J1/42;;G01S3/783;;G01S3/7861;;G01J1/0266;;G01J1/06;;G01J2001/4266;;G01J1/429;;G01J1/4204;;G01J1/0266;;G01J1/06;;G01J2001/4266;;G01J1/429;;G01J1/4204;;G01S3/7861;;G01S3/783;;G01J1/42,G01J1/42;;G01J1/02;;G01J1/06;;G01S3/786,,0,0,,,,ACTIVE
6,US,A1,US 2019/0154498 A1,144-373-249-404-347,2019-05-23,2019,US 201716306649 A,2017-05-31,US 201716306649 A;;EP 16176932 A;;US 201662346103 P;;EP 2017063202 W,2016-06-06,OPTICAL SENSOR DEVICE,"An optical sensor device comprises a first and a second optical sensor arrangement. In the first optical sensor arrangement at least one optical sensor structure measures the incidence angle of incoming light that is approximately on the main beam axis of a light source. The second optical sensor arrangement comprises at least one optical sensor structure with at least one optical sensor, at least two metal layers and opaque walls optically isolating the optical sensor. An evaluation circuit provides an output signal of the second optical sensor arrangement under the condition that the incidence angle measured by the first optical sensor arrangement lies within a set interval.",AMS INT AG,MEHRL DAVID;;CHESLER TROY;;DIERSCHKE EUGENE G,AMS INTERNATIONAL AG (2019-01-09),https://lens.org/144-373-249-404-347,Patent Application,yes,3,2,5,5,0,G01J1/42;;G01S3/783;;G01S3/7861;;G01J1/0266;;G01J1/06;;G01J2001/4266;;G01J1/429;;G01J1/4204;;G01J1/0266;;G01J1/06;;G01J2001/4266;;G01J1/429;;G01J1/4204;;G01S3/7861;;G01S3/783;;G01J1/42,G01J1/02;;G01J1/06;;G01J1/42,,0,0,,,,ACTIVE
7,WO,A1,WO 2017/211648 A1,193-443-176-998-575,2017-12-14,2017,EP 2017063202 W,2017-05-31,US 201662346103 P;;EP 16176932 A,2016-06-06,OPTICAL SENSOR DEVICE,"An optical sensor device comprises a first (10) and a second (15) optical sensor arrangement. In the first optical sensor arrangement (10) at least one optical sensor structure (11) measures the incidence angle of incoming light(θ)that is approximately on the main beam axis (20) of a light source (22). The second optical sensor arrangement (15) comprises at least one optical sensor structure (16) with at least one optical sensor (24), at least two metal layers (43,44) and opaque walls (26) optically isolating the optical sensor (24). An evaluation circuit(14) provides an output signal (46)of the second optical sensor arrangement (15) under the condition that the incidence angle (θ)measured by the first optical sensor arrangement (10) lies within a set interval.",AMS INT AG,MEHRL DAVID;;CHESLER TROY;;DIERSCHKE PH D EUGENE G,,https://lens.org/193-443-176-998-575,Patent Application,yes,5,0,5,5,0,G01J1/42;;G01S3/783;;G01S3/7861;;G01J1/0266;;G01J1/06;;G01J2001/4266;;G01J1/429;;G01J1/4204;;G01J1/0266;;G01J1/06;;G01J2001/4266;;G01J1/429;;G01J1/4204;;G01S3/7861;;G01S3/783;;G01J1/42,G01J1/42;;G01J1/02;;G01J1/06;;G01S3/786,,0,0,,,,PENDING
8,US,B2,US 8454859 B2,037-617-824-808-794,2013-06-04,2013,US 201213598418 A,2012-08-29,US 201213598418 A;;US 201213360999 A;;US 201161447160 P,2011-02-28,"Metallic nanofiber ink, substantially transparent conductor, and fabrication method","An exemplary printable composition comprises a liquid or gel suspension of a plurality of metallic nanofibers or nanowires; a first solvent; and a viscosity modifier, resin, or binder. In various embodiments, the metallic nanofibers are between about 10 microns to about 100 microns in length, are between about 10 nm to about 120 nm in diameter, and are typically functionalized with a coating or partial coating of polyvinyl pyrrolidone or a similar compound. An exemplary metallic nanofiber ink which can be printed to produce a substantially transparent conductor comprises a plurality of metallic nanofibers; one or more solvents such as 1-butanol, ethanol, 1-pentanol, n-methylpyrrolidone, cyclohexanone, cyclopentanone, 1-hexanol, acetic acid, cyclohexanol, or mixtures thereof; and a viscosity modifier, resin, or binder such as polyvinyl pyrrolidone or a polyimide, for example.",LOWENTHAL MARK DAVID;;BALDRIDGE JEFFREY;;LEWANDOWSKI MARK;;ZHENG LIXIN;;CHESLER DAVID MICHAEL;;NTHDEGREE TECH WORLDWIDE INC,LOWENTHAL MARK DAVID;;BALDRIDGE JEFFREY;;LEWANDOWSKI MARK;;ZHENG LIXIN;;CHESLER DAVID MICHAEL,NTHDEGREE TECHNOLOGIES WORLDWIDE INC (2012-03-16),https://lens.org/037-617-824-808-794,Granted Patent,yes,70,16,13,20,0,C09D11/52;;H01B1/22;;B82Y30/00;;B82Y40/00;;Y10T428/24802;;H05K1/09;;H01B1/22;;Y10T428/24802;;H01B1/22;;C09D11/52;;B82Y30/00;;B82Y40/00,H01B1/02,252/514,19,15,056-995-260-793-562;;151-251-998-686-044;;001-905-950-811-505;;005-218-929-584-281;;088-548-794-760-649;;105-148-282-451-414;;043-689-608-676-475;;015-330-676-592-605;;012-118-329-646-464;;073-677-331-690-687;;102-076-161-656-318;;019-862-701-211-732;;130-230-002-221-972;;058-088-283-243-428;;000-708-351-645-534,10.1063/1.124062;;10.1021/ja002553f;;12619411;;10.1002/cphc.200390022;;10.1021/nl034312m;;10.1021/nl0345062;;10.1364/oe.11.000735;;19461785;;12672964;;pmc153589;;10.1073/pnas.0431081100;;10.1016/s0924-4247(03)00088-8;;10.1002/anie.200460535;;15549745;;10.1021/nl048435y;;15333836;;10.1126/science.1101243;;10.1021/nl0608543;;16967995;;10.1021/nl073296g;;18189445;;10.1039/c2jm16910j;;10.1063/1.1787938,"R. Adelung et al., Nanowire networks on perfectly flat surfaces, Applied Physics Letters, May 17, 1999, vol. 74, No. 20, pp. 3053-3055.;;Benjamin Messer et al., Microchannel Networks for Nanowire Patterning, Journal of the American Chemical Society, 2000, vol. 122, pp. 10232-10233.;;Erich C. Walter et al., Metal Nanowire Arrays by Electrodeposition, ChemPhysChem, 2003, vol. 4, pp. 131-138.;;Michael C. McAlpine et al., High-Performance Nanowire Electronics and Photonics on Glass and Plastic Substrates, Nano Letters, 2003, vol. 3, No. 11, pp. 1531-1535.;;Yugang Sun et al., Polyol Synthesis of Uniform Silver Nanowires: A Plausible Growth Mechanism and the Supporting Evidence, Nano Letters, 2003, vol. 3, No. 7, pp. 955-960.;;Dongmok Whang et al., Large-Scale Hierarchical Organization of Nanowire Arrays for Integrated Nanosystems, Nano Letters, 2003, vol. 3, No. 9, pp. 1255-1259.;;Viktor A. Podolskiy et al., Plasmon modes and negative refraction in metal nanowire composites, Optics Express, Apr. 7, 2003, vol. 11, No. 7, pp. 735-745.;;Thomas Scheibel et al., Conducting nanowires built by controlled self-assembly of amyloid fibers and selective metal deposition, Proceedings of the National Academy of Sciences of the United States of America, Apr. 15, 2003, vol. 100, No. 8, pp. 4527-4532.;;M. Lindeberg et al., Interconnected nanowire clusters in polyimide for flexible circuits and magnetic sensing applications, Sensors and Actuators A: Physical, vol. 105, 2003, pp. 150-161.;;Adam E. Strevens et al., Nanowire array electrode in an organic light emitting diode, Proceedings of SPIE, 2003, vol. 4876, p. 168.;;Donghai Wang et al., A General Route to Macroscopic Heirarchical 3D Nanowire Networks, Angew. Chem. Int. Ed., 2004, vol. 43, pp. 6169-6173.;;L. Hu et al., Percolation in Transparent and Conducting Carbon Nanotube Networks, Nano Letters, 2004, vol. 4, No. 12, pp. 2513-2517.;;Zhuangchun Wu et al., Transparent, Conductive Carbon Nanotube Films, Science, Aug. 27, 2004, vol. 305, pp. 1273-1276.;;Daihua Zhang et al., Transparent, Conductive, and Flexible Carbon Nanotube Films and Their Application in Organic Light-Emitting Diodes, Nano Letters, 2006, vol. 6, No. 9, pp. 1880-1886.;;Jung-Yong Lee et al., Solution-Processed Metal Nanowire Mesh Transparent Electrodes, Nano Letters, 2008, vol. 8, No. 2, pp. 689-692.;;Michael Matthew Crouse, Enabling One-Dimensional Nanostructured Materials through Electrochemistry with Novel Template Development: An Application towards Monocrystalline Nanowires of Cadmium Sulfide, A Dissertation, Dept. of Chemical Engineering, Notre Dame, Indiana, Dec. 2003, pp. 1-277.;;David Bradley, Defect Engineers Wire Up Sapphire, Touch-Paper, The Newsletter of the Open University Chemistry Society, Jun. 2003, pp. 6-7.;;Van Hoang Luan et al., Novel conductive epoxy composites composed of 2-D chemically reduced graphene and 1-D silver nanowire hybrid fillers, J. Mater. Chem., 2012, vol. 22, pp. 8649-8653.;;Mendi M. Yazdanpanah et al., Gallium-driven assembly of gold nanowire networks, Applied Physics Letters, Aug. 30, 2004, vol. 85, No. 9, pp. 1592-1594.",ACTIVE
9,US,A1,US 2020/0048771 A1,168-336-017-769-644,2020-02-13,2020,US 201916593986 A,2019-10-05,US 201916593986 A;;US 201615018974 A;;US 201213360999 A;;US 201161447160 P,2011-02-28,"Metallic Nanofiber Ink, Substantially Transparent Conductor, and Fabrication Method","An exemplary printable composition comprises a liquid or gel suspension of a plurality of metallic nanofibers or nanowires; a first solvent; and a viscosity modifier, resin, or binder. In various embodiments, the metallic nanofibers are between about 10 microns to about 100 microns in length, are between about 10 nm to about 120 nm in diameter, and are typically functionalized with a coating or partial coating of polyvinyl pyrrolidone or a similar compound. An exemplary metallic nanofiber ink which can be printed to produce a substantially transparent conductor comprises a plurality of metallic nanofibers; one or more solvents such as 1-butanol, ethanol, 1-pentanol, n-methylpyrrolidone, cyclohexanone, cyclopentanone, 1-hexanol, acetic acid, cyclohexanol, or mixtures thereof; and a viscosity modifier, resin, or binder such as polyvinyl pyrrolidone or a polyimide, for example.",NTHDEGREE TECH WORLDWIDE INC,LOWENTHAL MARK DAVID;;LEWANDOWSKI MARK;;BALDRIDGE JEFFREY;;ZHENG LIXIN;;CHESLER DAVID MICHAEL,NTHDEGREE TECHNOLOGIES WORLDWIDE INC (2012-03-16),https://lens.org/168-336-017-769-644,Patent Application,yes,0,0,6,20,0,B82Y30/00;;B82Y40/00;;H01B1/22;;Y10T428/24802;;C09D11/033;;C09D11/52;;C23C16/56;;C09D11/52;;B82Y40/00;;B82Y30/00;;H01B1/22;;Y10T428/24802;;C09D11/033,C23C16/56;;B82Y30/00;;B82Y40/00;;C09D11/033;;C09D11/52;;H01B1/22,,0,0,,,,ACTIVE
10,US,B2,US 10494720 B2,042-277-933-760-067,2019-12-03,2019,US 201615018974 A,2016-02-09,US 201615018974 A;;US 201213360999 A;;US 201161447160 P;;US 201213598418 A,2011-02-28,"Metallic nanofiber ink, substantially transparent conductor, and fabrication method","An exemplary printable composition comprises a liquid or gel suspension of a plurality of metallic nanofibers or nanowires; a first solvent; and a viscosity modifier, resin, or binder. In various embodiments, the metallic nanofibers are between about 10 microns to about 100 microns in length, are between about 10 nm to about 120 nm in diameter, and are typically functionalized with a coating or partial coating of polyvinyl pyrrolidone or a similar compound. An exemplary metallic nanofiber ink which can be printed to produce a substantially transparent conductor comprises a plurality of metallic nanofibers; one or more solvents such as 1-butanol, ethanol, 1-pentanol, n-methylpyrrolidone, cyclohexanone, cyclopentanone, 1-hexanol, acetic acid, cyclohexanol, or mixtures thereof; and a viscosity modifier, resin, or binder such as polyvinyl pyrrolidone or a polyimide, for example.",NTHDEGREE TECH WORLDWIDE INC,LOWENTHAL MARK DAVID;;LEWANDOWSKI MARK;;BALDRIDGE JEFFREY;;ZHENG LIXIN;;CHESLER DAVID MICHAEL,NTHDEGREE TECHNOLOGIES WORLDWIDE INC (2012-03-16),https://lens.org/042-277-933-760-067,Granted Patent,yes,3,1,6,20,0,B82Y30/00;;B82Y40/00;;H01B1/22;;Y10T428/24802;;C09D11/033;;C09D11/52;;C23C16/56;;C09D11/52;;B82Y40/00;;B82Y30/00;;H01B1/22;;Y10T428/24802;;C09D11/033,C23C16/56;;B82Y30/00;;B82Y40/00;;C09D11/033;;C09D11/52;;H01B1/22,,0,0,,,,ACTIVE
