"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,S,US D0727798 S,041-218-052-397-740,2015-04-28,2015,US 201329467389 F,2013-09-18,US 201329467389 F,2013-09-18,Electric scooter frame,,MAHINDRA TRACTOR ASSEMBLY INC,DUNCAN TERENCE;;CARPENTER-CRAWFORD EVAN,MAHINDRA TRACTOR ASSEMBLY INC (2013-09-18),https://lens.org/041-218-052-397-740,Design Right,no,0,1,1,1,0,,,1211;;D12/110,0,0,,,,ACTIVE
2,US,S,US D0731364 S,085-681-340-599-452,2015-06-09,2015,US 201329467386 F,2013-09-18,US 201329467386 F,2013-09-18,Electric scooter,,MAHINDRA TRACTOR ASSEMBLY INC,DUNCAN TERENCE;;VOLLMER AXEL;;CARPENTER-CRAWFORD EVAN,MAHINDRA TRACTOR ASSEMBLY INC (2013-09-18),https://lens.org/085-681-340-599-452,Design Right,no,0,1,1,1,0,,,1211;;D12/110,0,0,,,,ACTIVE
3,US,S,US D0339327 S,177-366-796-927-536,1993-09-14,1993,US 77028591 F,1991-10-01,US 77028591 F,1991-10-01,Computer console,,CARDINAL TECH INC,CRAWFORD CHRISTOPHER L;;CARPENTER JOEL;;MCARDLE DUNCAN,CARDINAL TECHNOLOGIES INC. A PA CORPORATION (1991-10-16),https://lens.org/177-366-796-927-536,Design Right,yes,4,0,1,1,0,,,D14/100,1,0,,,"PC Magazine May 5, 1990 p. 124 Macintosh Personal Computer System.",EXPIRED
4,US,S,US D0731363 S,170-504-568-132-502,2015-06-09,2015,US 201329467382 F,2013-09-18,US 201329467382 F,2013-09-18,Electric scooter,,MAHINDRA TRACTOR ASSEMBLY INC,DUNCAN TERENCE;;VOLLMER AXEL;;CARPENTER-CRAWFORD EVAN,,https://lens.org/170-504-568-132-502,Design Right,no,0,7,1,1,0,,,1211;;D12/110,0,0,,,,ACTIVE
5,US,A,US 5028408 A,144-009-449-541-580,1991-07-02,1991,US 48931690 A,1990-03-02,US 48931690 A,1990-03-02,Process for the production of lithium hypochlorite,"A process for producing lithium hypochlorite comprises admixing an aqueous hypochlorous acid solution having a concentration of 35 percent of greater by weight of HOCl with an aqueous slurry of lithium hydroxide at a temperature in the range of from about 0.degree. to about 20.degree. C. to produce a solution of lithium hypochlorite. The solution is concentrated by evaporation at temperatures in the range of from about 30.degree. to about 60.degree. C. and at subatmospheric pressures to form a paste of lithium hypochlorite. After separating the paste into a cake of lithium hypochlorite and a mother liquor, a potassium compound is admixed with the mother liquor. The process produces a highly pure solid lithium hypochlorite product having a concentration of at least 80 percent available chlorine.",OLIN CORP,DUNCAN BUDD L;;CARPENTER LARRY D;;OSBORNE LESLIE R,ARCH CHEMICALS INC (2003-03-17);;OLIN CORPORATION (1990-03-01),https://lens.org/144-009-449-541-580,Granted Patent,yes,9,7,1,11,0,C01B11/062;;C01B11/062,C01B11/06,423/497,0,0,,,,EXPIRED
6,EP,B1,EP 0517782 B1,039-953-820-738-608,1996-10-30,1996,EP 91905450 A,1991-02-28,US 9101300 W;;US 65811191 A;;US 48931690 A,1990-03-02,PROCESS FOR THE PRODUCTION OF LITHIUM HYPOCHLORITE,,OLIN CORP,DUNCAN BUDD L;;CARPENTER LARRY D;;OSBORNE LESLIE R;;WOODEN WILLIAM T,,https://lens.org/039-953-820-738-608,Granted Patent,yes,8,0,10,11,0,C01B11/062;;C01B11/062,A61L2/18;;C01B11/06,,0,0,,,,EXPIRED
7,WO,A1,WO 1991/013025 A1,085-807-172-810-802,1991-09-05,1991,US 9101300 W,1991-02-28,US 48931690 A;;US 65811191 A,1990-03-02,PROCESS FOR THE PRODUCTION OF LITHIUM HYPOCHLORITE,"A process for producing lithium hypochlorite which admixes an aqueous hypochlorous acid solution, having a concentration of 35 percent or greater by weight of HOC1, with an aqueous slurry of lithium hydroxide at a temperature in the range of from about 0° to about 20° to produce a solution of substantially pure lithium hypochlorite. The lithium hypochlorite solutions produced can be dried directly or concentrated by cooling. The solid lithium hypochlorite produced is a highly pure source of available chlorine.",OLIN CORP,DUNCAN BUDD L;;CARPENTER LARRY D;;OSBORNE LESLIE R;;WOODEN WILLIAM T,,https://lens.org/085-807-172-810-802,Patent Application,yes,8,0,10,11,0,C01B11/062;;C01B11/062,A61L2/18;;C01B11/06,,0,0,,,,PATENTED
8,BR,A,BR 9106103 A,186-936-624-178-813,1993-02-24,1993,BR 9106103 A,1991-02-28,US 48931690 A;;US 65811191 A;;US 9101300 W,1990-03-02,PROCESSO PARA PRODUCAO DE HIPOCLORITO DE LITIO,,OLIN CORP,DUNCAN BUDD L;;CARPENTER LARRY D;;OSBORNE LESLIE R;;WOODEN WILLIAM T,,https://lens.org/186-936-624-178-813,Patent Application,no,0,0,10,11,0,C01B11/062;;C01B11/062,A61L2/18;;C01B11/06,,0,0,,,,DISCONTINUED
9,EP,A4,EP 0517782 A4,007-356-528-381-641,1993-04-21,1993,EP 91905450 A,1991-02-28,US 9101300 W;;US 65811191 A;;US 48931690 A,1990-03-02,PROCESS FOR THE PRODUCTION OF LITHIUM HYPOCHLORITE,,OLIN CORPORATION,"DUNCAN, BUDD, L.;;CARPENTER, LARRY, D.;;OSBORNE, LESLIE R.;;WOODEN, WILLIAM, T.",,https://lens.org/007-356-528-381-641,Search Report,no,0,0,10,11,0,C01B11/062;;C01B11/062,A61L2/18;;C01B11/06,,1,0,,,See references of WO 9113025A1,EXPIRED
10,US,A,US 5102648 A,085-201-655-059-033,1992-04-07,1992,US 65811191 A,1991-02-25,US 65811191 A;;US 48931690 A,1990-03-02,PROCESS FOR THE PRODUCTION OF LITHIUM HYPOCHLORIDE,"A process for producing lithium hypochlorite which admixes an aqueous hypochlorous acid solution, having a concentration of 35 percent or greater by weight of HOCl, with an aqueous slurry of lithium hydroxide at a temperature in the range of from about 0.degree. to about 20.degree. to produce a solution of substantially pure lithium hypochlorite. The lithium hypochlorite solutions produced can be dried directly or concentrated by cooling. The solid lithium hypochlorite produced is a highly pure source of available chlorine.",OLIN CORP,DUNCAN BUDD L;;CARPENTER LARRY D;;OSBORNE LESLIE R;;WOODEN WILLIAM T,ARCH CHEMICALS INC (2003-08-12);;OLIN CORPORATION A CORP. OF VA (1991-03-13),https://lens.org/085-201-655-059-033,Granted Patent,yes,10,10,10,11,0,C01B11/062;;C01B11/062,A61L2/18;;C01B11/06,423/473,0,0,,,,EXPIRED
