"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,ES,T3,ES 2665268 T3,115-557-011-791-812,2018-04-25,2018,ES 11807595 T,2011-07-15,US 36463910 P;;US 201161444281 P;;US 2011/0044253 W,2010-07-15,Clasificación de impactos a partir de datos de sensor,"Un método para determinar un riesgo de lesión a un ser humano debido a un impacto, que comprende: medir (144, 146, 148, 150) al menos una de una aceleración lineal y una aceleración angular en un primer lugar en el ser humano, el primer lugar en uno de un protector bucal y un protector labial usados por el ser humano; determinar (156) una aceleración en un centro de gravedad de la cabeza del ser humano a partir de la medida de al menos una de una aceleración lineal y una aceleración angular en el primer lugar, estando el primer lugar lejos del centro de gravedad de la cabeza; calcular (178) una pluralidad de parámetros de impacto a partir de la aceleración determinada en el centro de gravedad de la cabeza; asociar (180) la pluralidad de parámetros de impacto calculada con una clase de lesión asociada de una pluralidad de clases de lesión, representando cada clase de lesión un intervalo de probabilidades de que el ser humano sufrirá una lesión en una estructura dentro de uno de la cabeza y el cuello del ser humano, dado la pluralidad de parámetros de impacto calculada; y comunicar (182) la clase de evento asociado a un observador mediante un dispositivo de salida asociado.",CLEVELAND CLINIC FOUND,BENZEL EDWARD;;MIELE VINCENT;;BARTSCH ADAM,,https://lens.org/115-557-011-791-812,Granted Patent,no,0,0,45,57,0,A42B3/046;;A61B5/1121;;A61B5/6803;;A61B5/7264;;A61B5/7267;;A61B5/682;;G16H50/20;;A42B3/046;;A61B5/1121;;A61B5/6803;;A61B5/7264;;A61B5/7267;;A61B5/682;;A61B5/1114;;A61B5/1122;;A61B5/4064;;A61B5/7253;;A61B5/7278;;A61B5/7282;;A61B5/746;;A61B2503/10;;A61B2562/0219;;A61B2562/0247;;A61B2562/0261;;A61B2562/028,A61B5/11;;A42B3/04;;A61B5/00,,0,0,,,,ACTIVE
2,WO,A1,WO 2013/148633 A1,150-835-629-849-162,2013-10-03,2013,US 2013/0033812 W,2013-03-26,US 201261615445 P,2012-03-26,FOOTBALL HELMET,"A football helmet includes an outer shell configured to at least partially surround a head of a wearer. An inner liner is located substantially within the outer shell and is configured to contact at least a portion of the head of the wearer. A facial and mandibular protector is attached to the outer shell and is configured to at least partially surround a face of the wearer. The helmet has a center of gravity which, when the helmet is being worn, is substantially the same in two-dimensional location as the ventral-dorsal plane of the head of the wearer.",CLEVELAND CLINIC FOUNDATION,BARTSCH ADAM J;;BENZEL EDWARD C,,https://lens.org/150-835-629-849-162,Patent Application,yes,2,0,2,2,0,A42B3/20;;A42B3/04;;A42B3/18;;A42B3/20,A63B71/10;;A42B3/00,,2,2,067-282-733-650-529;;047-777-540-753-256,6513769;;10.1249/00005768-198410000-00014;;19428013;;10.1016/j.jbiomech.2009.03.029,"NJUS, GLEN 0. ET AL.: ""The inertial and geometrical properties of helmets"", MEDICINE AND SCIENCE IN SPORTS AND EXERCISE, vol. 16, no. 5, 1984, pages 498 - 505;;YOGANANDAN, NARAYAN ET AL.: ""Physical properties of the human head: Mass, center of gravity and moment of inertia"", JOURNAL OF BIOMECHANICS, vol. 42, 19 June 2009 (2009-06-19), pages 1177 - 1192, XP026172075, DOI: doi:10.1016/j.jbiomech.2009.03.029",PENDING
3,US,A1,US 2013/0247285 A1,073-096-075-692-601,2013-09-26,2013,US 201313850523 A,2013-03-26,US 201313850523 A;;US 201261615445 P,2012-03-26,FOOTBALL HELMET,"A football helmet includes an outer shell configured to at least partially surround a head of a wearer. An inner liner is located substantially within the outer shell and is configured to contact at least a portion of the head of the wearer. A facial and mandibular protector is attached to the outer shell and is configured to at least partially surround a face of the wearer. The helmet has a center of gravity which, when the helmet is being worn, is substantially the same in two-dimensional location as the ventral-dorsal plane of the head of the wearer.",CLEVELAND CLINIC FOUNDATION,BARTSCH ADAM J;;BENZEL EDWARD C,THE CLEVELAND CLINIC FOUNDATION (2014-05-12),https://lens.org/073-096-075-692-601,Patent Application,yes,22,7,2,2,0,A42B3/20;;A42B3/04;;A42B3/18;;A42B3/20,A42B3/18;;A42B3/04,2/424,0,0,,,,DISCONTINUED
4,CN,A,CN 1901854 A,146-673-811-364-483,2007-01-24,2007,CN 200480039605 A,2004-12-08,US 2004/0041402 W;;US 73196403 A;;US 73266003 A;;US 73194203 A,2003-12-10,Method and apparatus for replacing a damaged spinal disc,"A method for replacing a damaged spinal disc (10) between first and second vertebrae of a spinal column includes connecting a first mounting member (100) with the first vertebra of the spinal column. An artificial disc (10) is moved between the first and second vertebrae and into engagement with the first mounting member (100) to guide the artificial disc into position between the first and second vertebrae. The artificial disc includes a resilient core (90) having a first surface and a second surface, a first retaining member (20) connected to the first surface of the resilient core (90), and a second retaining member (60) connected to the second surface of the resilient core (90). The first retaining member (20) has an outer surface engageable with a first vertebra of the spinal column and an inner surface facing the first surface of the resilient core (90). The second retaining member (60) has an outer surface engageable with the second vertebra of the spinal column and an inner surface facing the second surface of the resilient core (90). An apparatus for replacing a damaged spinal disc in a spinal column includes a first retaining device (20) connected to the first surface of the resilient core (90). A second retaining device (60) is connected to the second surface of the resilient core (90). The second retaining device (60) has an outer surface engageable with a second vertebra and an inner surface facing the second surface of the resilient core (90). The inner surface of the first retaining device is spaced from the core (90). The core (90) deflects into engagement with the inner surface of the first retaining device (20) upon relative movement between the first and second retaining devices (20&60).",AXIOMED SPINE CORP,DU BENZEL EDWARD C LIEBERMAN I,,https://lens.org/146-673-811-364-483,Patent Application,no,0,4,27,27,0,A61B2017/0256;;A61F2/4425;;A61F2/4611;;A61F2002/30069;;A61F2002/30387;;A61F2002/30448;;A61F2002/305;;A61F2002/30507;;A61F2002/30579;;A61F2002/30604;;A61F2002/30617;;A61F2002/30769;;A61F2002/30841;;A61F2002/30879;;A61F2002/30925;;A61F2002/443;;A61F2002/4622;;A61F2002/4628;;A61F2002/4681;;A61F2220/0025;;A61F2220/005;;A61F2250/0097;;A61F2310/00023;;A61F2/4425;;A61F2/4611;;A61B2017/0256;;A61F2310/00023;;A61F2002/30069;;A61F2002/30387;;A61F2002/30448;;A61F2002/4622;;A61F2002/4628;;A61F2002/4681;;A61F2002/30925;;A61F2002/443;;A61F2002/30579;;A61F2002/30604;;A61F2002/30617;;A61F2002/30507;;A61F2002/305;;A61F2002/30879;;A61F2002/30841;;A61F2002/30769;;A61F2/4611;;A61B2017/0256;;A61F2002/443;;A61F2002/30769;;A61F2220/005;;A61F2250/0097;;A61F2002/30604;;A61F2002/305;;A61F2002/30879;;A61F2002/4622;;A61F2/4425;;A61F2002/30069;;A61F2002/30448;;A61F2002/30925;;A61F2002/30579;;A61F2002/30507;;A61F2002/4681;;A61F2002/30387;;A61F2002/30617;;A61F2220/0025;;A61F2002/30841;;A61F2310/00023;;A61F2002/4628,A61F2/44;;A61B17/02;;A61B17/28;;A61F2/00;;A61F2/30;;A61F2/46,,0,0,,,,INACTIVE
5,CN,C,CN 1124111 C,007-247-700-672-668,2003-10-15,2003,CN 97112108 A,1997-05-28,US 65666296 A,1996-05-31,Cervical spine stabilization method and system,"An apparatus (10) for retaining first (V1) and second cervical vertebrae (V2) of a spinal column in a desired spatial relationship includes a pair of longitudinal members(12 and 14) positionable along the spinal column. A first plate (30) connectable to the first vertebra has an inner side surface for engaging an anterior surface of the first vertebra. The first plate interconnects the pair of longitudinal members. First fastener means (30,40 and 42) is engageable with the first plate for connecting the first plate to the first vertebra. The first fastener means has a threaded end portion for engaging the first vertebra. A second plate (32) connectable to the second vertebra has an inner side surface for engaging an anterior surface of the second vertebra. The second plate interconnects the longitudinal members. Second fastener means (44,46 and 48) is engageable with the second plate for connecting the second plate to the second vertebra. The second fastener means has a threaded end portion for engaging the second vertebra.",ACROMED CORP,DINELLO ALEX;;BENZEL EDWARD C;;HANSEN A,,https://lens.org/007-247-700-672-668,Granted Patent,no,0,0,18,18,0,A61B17/7041;;A61B17/7044;;A61B17/7059;;A61F5/01;;A61F5/04;;A61B17/7044;;A61B17/7041;;A61B17/7059,A61B17/56;;A61B17/70,,0,0,,,,EXPIRED
6,AT,T1,AT E547999 T1,083-499-355-799-293,2012-03-15,2012,AT 01968144 T,2001-08-24,US 22816600 P;;US 0126623 W,2000-08-25,IMPLANTIERBARE VORRICHTUNG ZUR AUSWERTUNG VON BELASTUNGEN AN BENACHBARTE PAAR VON WIRBELN,"An apparatus (10) that utilizes microelectromechanical systems (MEMS) technology to provide an in vivo assessment of loads on adjacent bones (24 and 26) comprises a body (34) for insertion between the adjacent bones. At least one sensor (42) is associated with the body (34). The sensor (42) generates an output signal in response to and indicative of a load being applied to the body (34) through the adjacent bones (24 and 26). A telemetric device (40) is operatively coupled with the sensor (42). The telemetric device (40) is operable to receive the output signal from the sensor (42) and to transmit an EMF signal dependent upon the output signal. According to various aspects of the invention, the sensor comprises a pressure sensor (42), a load cell (320), and/or at least one strain gauge (142).",CLEVELAND CLINIC FOUNDATION,ROY SHUVO;;FLEISCHMAN AARON;;BENZEL EDWARD;;FERRARA LISA,,https://lens.org/083-499-355-799-293,Granted Patent,no,0,0,16,16,0,A61B5/0031;;A61B5/036;;A61B5/4504;;A61B17/7044;;A61B2562/0247;;A61B2562/0261;;A61B2562/028;;A61F2/30744;;A61F2/442;;A61F2/446;;A61F2002/2835;;A61F2002/30563;;A61F2002/3067;;A61F2002/30772;;A61F2002/3085;;A61F2002/4666;;A61F2250/0002;;A61F2/442;;A61F2002/30563;;A61B2562/0247;;A61B5/0031;;A61B2562/0261;;A61F2/30744;;A61B5/4504;;A61F2250/0002;;A61F2002/3067;;A61B17/7044;;A61B5/036;;A61F2002/2835;;A61F2002/30772;;A61F2002/4666;;A61B2562/028;;A61F2002/3085;;A61F2/446,A61B5/00;;A61B5/03;;A61B5/103;;A61B17/70;;A61F2/02;;A61F2/28;;A61F2/30;;A61F2/44;;A61F2/46,,0,0,,,,EXPIRED
7,CN,C,CN 1119125 C,077-653-516-982-407,2003-08-27,2003,CN 97112102 A,1997-05-28,US 65585196 A,1996-05-31,Spinal column retaining apparatus,"An apparatus (10) for retaining first (V1) and second vertebrae (V2) of a spinal column in a desired spatial relationship includes a longitudinal member (12) positionable along the spinal column. A member, such as a plate (30), connectable with the first vertebra has first (90) and second fastener openings (110) and a portion (80) engageable with the longitudinal member. A first fastener (38) extendable through the first fastener opening in the member has a first end portion for attachment to the first vertebra and has a longitudinal axis (92). A second fastener (40) extendable through the second fastener opening in the member has a first end portion for attachment to the first vertebra and has a longitudinal axis (114). The longitudinal axes of the first and second fasteners converge at an acute angle as viewed in a sagittal plane when the first and second fasteners connect the member with the first vertebra. The member connectable with the first vertebra has a body portion and has a lip portion (150) projecting from the body portion of the member. The lip portion of the member is engageable with a surface of the first vertebra facing toward the second vertebra.",ACROMED CORP,DINELLO ALEX;;BENZEL EDWARD C;;YUAN HASEN A,,https://lens.org/077-653-516-982-407,Granted Patent,no,0,0,20,20,0,A61B17/7041;;A61B17/7044;;A61B17/7059;;A61F5/04;;A61B17/7059;;A61B17/7041;;A61B17/7044,A61B17/56;;A61B17/58;;A61B17/70,,0,0,,,,EXPIRED
8,ES,T3,ES 2659176 T3,196-549-545-245-742,2018-03-14,2018,ES 11807594 T,2011-07-15,US 36463910 P;;US 201161444281 P;;US 2011/0044251 W,2010-07-15,Detección y caracterización de impactos en la cabeza,"Un sistema (10) para caracterizar un impacto en un usuario, que comprende: un conjunto (12) de sensores configurado para medir (144, 146, 148, 150) la aceleración lineal y/o la aceleración angular del conjunto de sensores; un componente (14) de transformación de datos conectado operativamente al conjunto de sensores y configurado para representar un lugar de interés en la cabeza del usuario en relación con una posición del conjunto de sensores como una función variable en el tiempo según un modelo del movimiento de un cerebro cuando se expone a diversas cinemáticas y cinéticas y calcular (156) una aceleración en el lugar de interés a partir de la aceleración lineal medida y/o la aceleración angular medida del conjunto de sensores y la función variable en el tiempo que representa el lugar de interés; y una interfaz (16) de sistema configurada para proporcionar (158) a un usuario, en una forma perceptible por un humano, la aceleración en el lugar de interés calculada.",CLEVELAND CLINIC FOUND,BENZEL EDWARD;;MIELE VINCENT;;BARTSCH ADAM;;GILBERTSON LARS,,https://lens.org/196-549-545-245-742,Granted Patent,no,0,0,45,57,0,A42B3/046;;A61B5/1121;;A61B5/6803;;A61B5/7264;;A61B5/7267;;A61B5/682;;G16H50/20;;A42B3/046;;A61B5/1121;;A61B5/6803;;A61B5/7264;;A61B5/7267;;A61B5/682;;A61B5/1114;;A61B5/1122;;A61B5/4064;;A61B5/7253;;A61B5/7278;;A61B5/7282;;A61B5/746;;A61B2503/10;;A61B2562/0219;;A61B2562/0247;;A61B2562/0261;;A61B2562/028,A61B5/11;;A42B3/04;;A61B5/00;;A61B5/06,,0,0,,,,ACTIVE
9,CN,A,CN 1169847 A,199-139-738-405-594,1998-01-14,1998,CN 97112104 A,1997-05-28,US 65778196 A,1996-05-31,Apparatus comprising plate and fastener for connecting plate to bone portion,,ACROMED CORP,DINELLO ALEX;;BENZEL EDWARD C;;YUAN HASEN A,,https://lens.org/199-139-738-405-594,Patent Application,no,0,0,7,7,0,A61B17/8038;;A61B17/8685;;A61B17/8038;;A61B17/8685,A61B17/58;;A61B17/80;;A61F2/46,,0,0,,,,DISCONTINUED
10,CN,A,CN 1169278 A,026-411-094-371-400,1998-01-07,1998,CN 97112108 A,1997-05-28,US 65666296 A,1996-05-31,Cervical spine stabilization method and system,"An apparatus (10) for retaining first (V1) and second cervical vertebrae (V2) of a spinal column in a desired spatial relationship includes a pair of longitudinal members(12 and 14) positionable along the spinal column. A first plate (30) connectable to the first vertebra has an inner side surface for engaging an anterior surface of the first vertebra. The first plate interconnects the pair of longitudinal members. First fastener means (30,40 and 42) is engageable with the first plate for connecting the first plate to the first vertebra. The first fastener means has a threaded end portion for engaging the first vertebra. A second plate (32) connectable to the second vertebra has an inner side surface for engaging an anterior surface of the second vertebra. The second plate interconnects the longitudinal members. Second fastener means (44,46 and 48) is engageable with the second plate for connecting the second plate to the second vertebra. The second fastener means has a threaded end portion for engaging the second vertebra.",ACROMED CORP,DINELLO ALEX;;BENZEL EDWARD C;;YUAN HANSEN A,,https://lens.org/026-411-094-371-400,Patent Application,no,0,2,18,18,0,A61B17/7041;;A61B17/7044;;A61B17/7059;;A61F5/01;;A61F5/04;;A61B17/7044;;A61B17/7041;;A61B17/7059,A61B17/56;;A61B17/70,,0,0,,,,EXPIRED
