"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A1,US 2008/0208037 A1,088-556-884-848-898,2008-08-28,2008,US 3339908 A,2008-02-19,US 3339908 A;;US 4961805 A,2005-02-02,METHOD AND SYSTEM FOR EVALUATING VERTEBROBASILAR DISEASE,"A method and system are disclosed for evaluating symptomatic VBD which uses quantitative hemodynamic assessment in order to identify patients at high risk for stroke and provide appropriate guidance for intervention. Patients with symptomatic VBD may be considered for intervention to provide blood flow augmentation if evidence of sufficient flow compromise is present as defined by specific flow criteria, and treated medically otherwise.",VASSOL INC,CHARBEL FADY T;;CHARBEL FADY;;ZHAO MEIDE;;CURCIO ANTHONY;;AMIN-HANJANI SEPIDEH,,https://lens.org/088-556-884-848-898,Patent Application,yes,6,1,4,4,0,A61B5/0263;;A61B5/7275;;G01F1/716;;G01R33/56308;;G01R33/56316;;A61B5/0263;;G01R33/56316;;G01F1/716;;G01R33/56308;;A61B5/7275,A61B5/05,600/419;;324/306,0,0,,,,ACTIVE
2,US,B2,US 7333848 B2,191-272-891-050-55X,2008-02-19,2008,US 4961805 A,2005-02-02,US 4961805 A,2005-02-02,Method and system for evaluating vertebrobasilar disease,"A method and system are disclosed for evaluating symptomatic VBD which uses quantitative hemodynamic assessment in order to identify patients at high risk for stroke and provide appropriate guidance for intervention. Patients with symptomatic VBD may be considered for intervention to provide blood flow augmentation if evidence of sufficient flow compromise is present as defined by specific flow criteria, and treated medically otherwise.",VASSOL INC,CHARBEL FADY T;;CHARBEL II FADY;;ZHAO MEIDE;;CURCIO ANTHONY;;AMIN-HANJANI SEPIDEH,VASSOL INC (2005-09-22),https://lens.org/191-272-891-050-55X,Granted Patent,yes,2,3,4,4,0,A61B5/0263;;A61B5/7275;;G01F1/716;;G01R33/56308;;G01R33/56316;;A61B5/0263;;G01R33/56316;;G01F1/716;;G01R33/56308;;A61B5/7275,A61B5/05,600/419;;600/410;;600/411;;600/509;;324/306;;324/307;;324/309,7,6,047-289-814-060-279;;009-228-770-779-654;;011-611-978-183-626;;050-569-990-045-646;;076-531-338-916-885;;103-296-974-714-053,10.1161/01.str.31.8.1958;;10926964;;11692014;;10.1161/hs1101.098330;;10.3171/jns.2004.101.6.0977;;15597758;;12223376;;pmc7976251;;10.1016/s0730-725x(00)00157-0;;10930779;;10.1016/j.jvs.2005.07.026,"Reinhardt F et al. Thrombolysis and decompressive surgery in ischemic brain infarction. Neurology Psychiatry and Brain Research. 5(4). Abstract. 1998.;;Sakoh M et al. Cerebral blood flow and blood volume measured b magnetic resonance imaging bolus tracking after acute stroke in pigs: comparison with [(15)O]H(2)O positron emission tomography. Stroke. 31 (8) Abstract. Aug. 2000.;;Kilpatrick M et al. CT-based assessment of acute stroke: CT, CT angiography, and xenon-enhanced CT cerebral blood flow. Stroke. Abstract. 2001.;;Charbel et al. A patient-specific computer model to predict outcomes of the balloon occlusion test. J. Neurosurg. 101:977-988. Dec. 2004.;;Kato T et al. Contrast-Enhanced 2D Cine Phase MR Angiography for Measurement of Basilar Artery Blood FLow in Posterior Circulation Ischemia. AJNR Am J Neuroradiol. 23:1346-1351. Sep. 2002.;;Zhao M et al. Improved phase-contrast flow quantification by three-dimensional vessel localization. Magnetic Resonance Imaging 18:697-706. 2000.;;Armin-Hanjani et al. Use of Quantitative Magnetic Resonance Angiography to Stratify Stroke Risk in Symptomatic Vertebrobasilar Disease. Atroke. 36:1140-1145. May 12 2005.",ACTIVE
3,US,B2,US 7904136 B2,040-567-659-222-823,2011-03-08,2011,US 3339908 A,2008-02-19,US 3339908 A;;US 4961805 A,2005-02-02,Method and system for evaluating vertebrobasilar disease,"A method and system are disclosed for evaluating symptomatic vertebrobasilar disease VBD which uses quantitative hemodynamic assessment in order to identify patients at high risk for stroke and provide appropriate guidance for intervention. Patients with symptomatic VBD may be considered for intervention to provide blood flow augmentation if evidence of sufficient flow compromise is present as defined by specific flow criteria, and treated medically otherwise.",VASSOL INC,CHARBEL FADY T;;CHARBEL II FADY;;ZHAO MEIDE;;CURCIO ANTHONY;;AMIN-HANJANI SEPIDEH,,https://lens.org/040-567-659-222-823,Granted Patent,yes,7,0,4,4,0,A61B5/0263;;A61B5/7275;;G01F1/716;;G01R33/56308;;G01R33/56316;;A61B5/0263;;G01R33/56316;;G01F1/716;;G01R33/56308;;A61B5/7275,A61B5/05,600/419;;600/410;;600/411;;600/504,8,6,103-296-974-714-053;;011-611-978-183-626;;050-569-990-045-646;;009-228-770-779-654;;047-289-814-060-279;;076-531-338-916-885,10.1016/j.jvs.2005.07.026;;10.3171/jns.2004.101.6.0977;;15597758;;12223376;;pmc7976251;;11692014;;10.1161/hs1101.098330;;10.1161/01.str.31.8.1958;;10926964;;10.1016/s0730-725x(00)00157-0;;10930779,"""Notice of Allowance mailed Sep. 13, 2007 in U.S. Appl. No. 11/049,618"", NOAR,6.;;Amin, H. , et al., ""Use of Quantitative Magnetic Resonance Angiography to Stratify Stroke Risk in Symptomatic Vertebrobasilar Disease."", Atroke, 36, (May 2005), 1140-1145.;;Charbel, et al., ""A patient-specific computer model to predict outcomes of the balloon occlusion test"", J Neurosurg, 101, (Dec. 2004),977-988.;;Kato, T. , et al., ""Contrast-Enhanced 2D Cine Phase MR Angiography for Measurement of Basilar Artery Blood Flow in Posterior Circulation Ischemia."", AJNR AM J Neuroradiol, 23, (Sep. 2002),1346-1351.;;Kilpatrick, M. , et al., ""CT-based assessment of acute stroke: CT, CT angiography, and xenon-enhanched CT cerebral blood flow."", Stroke, (2001).;;Reinhardt, F. , et al., ""Thrombolysis and decompressive surgery in ischemic brain infarction."", Neurology Psychiatry and Brain Research, 5(4), (1998).;;Sakoh, M. , et al., ""Cerebral blood flow and blood volume measured b magnetic resonance imaging bolus tracking after acute stroke in pigs: comparison with [(15)O]H(2)O positron emission tomography"", Stroke, 31(8), (Aug. 2000).;;Zhao, M. , et al., ""Improved phase-contrast flow quantification by three-dimensional vessel localization."", Magnetic Resonance Imaging, 18, (2000),697-706.",ACTIVE
4,US,A1,US 2006/0173281 A1,168-445-773-995-674,2006-08-03,2006,US 4961805 A,2005-02-02,US 4961805 A,2005-02-02,Method and system for evaluating vertebrobasilar disease,"A method and system are disclosed for evaluating symptomatic VBD which uses quantitative hemodynamic assessment in order to identify patients at high risk for stroke and provide appropriate guidance for intervention. Patients with symptomatic VBD may be considered for intervention to provide blood flow augmentation if evidence of sufficient flow compromise is present as defined by specific flow criteria, and treated medically otherwise.",CHARBEL FADY T;;CHARBEL FADY II;;ZHAO MEIDE;;CURCIO ANTHONY;;AMIN-HANJANI SEPIDEH,CHARBEL FADY T;;CHARBEL FADY II;;ZHAO MEIDE;;CURCIO ANTHONY;;AMIN-HANJANI SEPIDEH,VASSOL INC (2005-09-22),https://lens.org/168-445-773-995-674,Patent Application,yes,1,3,4,4,0,A61B5/0263;;A61B5/7275;;G01F1/716;;G01R33/56308;;G01R33/56316;;A61B5/0263;;G01R33/56316;;G01F1/716;;G01R33/56308;;A61B5/7275,A61B5/02;;A61B5/05,600/419;;600/483;;600/504,0,0,,,,ACTIVE
5,US,B2,US 7739090 B2,138-788-636-554-545,2010-06-15,2010,US 32412605 A,2005-12-30,US 32412605 A;;US 40036599 A;;US 24387099 A;;US 7358098 P,1998-02-03,Method and system for 3D blood vessel localization,A method and apparatus are provided for modeling circulation in a living subject. The method includes the steps of developing a model for living subjects in general and correcting the model to substantially conform to the overall cerebral physiology of the living subject. The method further includes the step of calculating a cerebral flow of the living subject based upon the corrected model and a selected cerebral blood flow perturbation.,UNIV ILLINOIS,CHARBEL FADY T;;CLARK MARLYN E;;ZHAO MEIDE,ILLINOIS UNIVERSITY OF BOARD OF TRUSTEES (2006-04-11),https://lens.org/138-788-636-554-545,Granted Patent,yes,13,107,3,20,0,G09B23/28;;G16H50/50;;G16H30/20;;G09B23/28;;G16H50/50;;G16H30/20,G06F17/10;;G06G7/48;;G16H30/20;;G16H50/50,703/11;;703/2,16,6,010-915-407-152-734;;165-927-714-465-801;;050-417-107-318-519;;095-871-914-092-504;;146-771-634-601-722;;040-175-262-223-358,10.1080/01616412.1989.11739896;;2576105;;8875456;;10.1080/01616412.1996.11740436;;10.1016/s0090-3019(97)00416-3;;9736089;;10.1109/mhs.1996.563398;;10.1115/1.3138531;;3999707;;10.1016/0169-2607(93)90067-u;;8156753,"Kaneko et al.; Volume-Preserving Surface Reconstruction from Volume Data; 0-8186-8183-7; IEEE 1997; pp. 145-148.;;Atlas Of Visualizatin; pp. 1-5; 1996; CRC Press.;;Wikipedia definition for Magnetic resonance angiography; obtained from http://en.wikipedia.org/wiki/Magnetic-resonance-angiography. no date.;;Clark, M. E., ""Natural and surgically imposed anastomoses of the circle of Willis"", Neurological Research, vol. 11(4), (1989), 217-230.;;Foutrakis, George N., et al., ""Construction of 3-D arterial volume meshes from magnetic resonance angiography"", Neurological Research, 18(4), (1996), 354-360.;;Kailasnath, Purushothaman, et al., ""Intracarotid Pressure Measurements in the Evaluation of a computer Model of the Cerebral circulation"", Elsevier Science INc., (1998), pp. 257-263.;;Karplus, W. J, et al., ""Simulation and Visualization of the Fluid Flow Field in Aneurysms: A Virtual Environments Methodology"", Proceedings of the Int'l Symposium on Micro Machine and Human Science, XX, (Jan. 1996), 35-42.;;Kufahi, R. H, et al., ""A Circle of Wills Simulation Using Distensible Vessels & Pulsatile Flow"", ASME J. Biomech. Eng. 107, (1985), 112-122.;;""Computer method and Programs in biomedicine"", Biomedical Measurement informatics and control,41(2), ISSN-0169-2607, (Dec. 1993), 69-150.;;""European Application Serial No. 08014696.2, Office Action mailed Jan. 30, 2009"", 10 pages.;;""Japanese Application Serial No. 2000-529172, Office Action mailed Feb. 24, 2009"", 5 Pages.;;Suda, M., et al., ""Preoperative assessment and prediction of postoperative results in an articfical arterial metwork using computer simulation"", Elsevier, 41(2), 77-87.;;Takeshi, K., et al., ""Role of the Circle of Wills in Cerebral Perfusion in Man"", Rhe Japan Society of Mechanical Engineers, (1998), 257-258.;;Verdonck, et al., ""Blood vessel segmentation and visualization in 3D MR and spiral CT and angiography"", (Jun. 21-24, 1995), 177-182.;;Verdonck, B., et al., ""Accurate Segmentation of blood vessels from 3D medical images"", Proceedings of the International Conference , 3, (Sep. 16, 1996), 311-314.;;""European Application Serial No. 08014696.2, Office Action mailed Sep. 30, 2009"", 5 pgs.",EXPIRED
6,US,A1,US 2006/0235669 A1,187-508-336-363-710,2006-10-19,2006,US 32412605 A,2005-12-30,US 32412605 A;;US 40036599 A;;US 24387099 A;;US 7358098 P,1998-02-03,Method and system for 3D blood vessel localization,A method and apparatus are provided for modeling circulation in a living subject. The method includes the steps of developing a model for living subjects in general and correcting the model to substantially conform to the overall cerebral physiology of the living subject. The method further includes the step of calculating a cerebral flow of the living subject based upon the corrected model and a selected cerebral blood flow perturbation.,CHARBEL FADY T;;CLARK M E;;ZHAO MEIDE,CHARBEL FADY T;;CLARK M E;;ZHAO MEIDE,ILLINOIS UNIVERSITY OF BOARD OF TRUSTEES (2006-04-11),https://lens.org/187-508-336-363-710,Patent Application,yes,10,112,3,20,0,G09B23/28;;G16H50/50;;G16H30/20;;G09B23/28;;G16H50/50;;G16H30/20,G16H30/20;;G06G7/48;;G16H50/50,703/11,0,0,,,,EXPIRED
7,IN,A,IN 2970DEN2015 A,119-355-226-054-158,2015-09-18,2015,IN 2970DEN2015 A,2015-04-09,US 201213628841 A;;US 2013/0060629 W,2012-09-27,HAPTIC AUGMENTED AND VIRTUAL REALITY SYSTEM FOR SIMULATION OF SURGICAL PROCEDURES,"The present technology relates to systems, methods and devices for haptically - enabled virtual reality simulation of cerebral aneurysm clipping , wherein a user uses two physical stations during the simulation. The first station is a haptic and augmented reality station, and the second station is a haptic and virtual reality station.",IMMERSIVE TOUCH INC,BANERJEE PAT P;;LUCIAN CRISTIAN J;;ALARAJ ALI;;CHARBEL FADY T,,https://lens.org/119-355-226-054-158,Patent Application,no,0,0,9,14,0,A61B34/30;;A61B34/30;;A61B34/76;;A61B34/76;;A61B2017/00207;;A61B2017/00207;;A61B2017/00216;;A61B2017/00216;;G06F3/011;;G06F3/011;;G06F3/016;;G06F3/016,G06F3/01,,0,0,,,,PENDING
8,EP,A2,EP 2901250 A2,096-016-406-639-437,2015-08-05,2015,EP 13840563 A,2013-09-19,US 201213628841 A;;US 2013/0060629 W,2012-09-27,HAPTIC AUGMENTED AND VIRTUAL REALITY SYSTEM FOR SIMULATION OF SURGICAL PROCEDURES,,IMMERSIVE TOUCH INC,BANERJEE PAT P;;LUCIAN CRISTIAN J;;ALARAJ ALI;;CHARBEL FADY T,,https://lens.org/096-016-406-639-437,Patent Application,yes,0,0,9,14,0,A61B34/30;;A61B34/30;;A61B34/76;;A61B34/76;;A61B2017/00207;;A61B2017/00207;;A61B2017/00216;;A61B2017/00216;;G06F3/011;;G06F3/011;;G06F3/016;;G06F3/016,G06F3/01;;A61B34/10,,0,0,,,,DISCONTINUED
9,US,A1,US 2014/0088941 A1,146-621-377-140-131,2014-03-27,2014,US 201213628841 A,2012-09-27,US 201213628841 A,2012-09-27,HAPTIC AUGMENTED AND VIRTUAL REALITY SYSTEM FOR SIMULATION OF SURGICAL PROCEDURES,"The present technology relates to systems, methods and devices for haptically-enabled virtual reality simulation of cerebral aneurysm clipping, wherein a user uses two physical stations during the simulation. The first station is a haptic and augmented reality station, and the second station is a haptic and virtual reality station.",BANERJEE P PAT;;LUCIANO CRISTIAN J;;ALARAJ ALI;;CHARBEL FADY T,BANERJEE P PAT;;LUCIANO CRISTIAN J;;ALARAJ ALI;;CHARBEL FADY T,IMMERSIVE TOUCH INC (2012-09-25);;IMMERSIVE TOUCH INC. (DELAWARE CORPORATION) (2019-03-14);;IMMERSIVETOUCH (2014-03-31);;THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS (2014-03-31),https://lens.org/146-621-377-140-131,Patent Application,yes,4,84,9,14,0,A61B34/30;;A61B34/30;;A61B34/76;;A61B34/76;;A61B2017/00207;;A61B2017/00207;;A61B2017/00216;;A61B2017/00216;;G06F3/011;;G06F3/011;;G06F3/016;;G06F3/016,G06F3/01,703/11,4,3,092-338-306-002-849;;025-238-911-240-855;;150-672-326-828-109,10.1002/micr.10106;;12740888;;19163069;;10.1109/iembs.2008.4649566;;10.1007/978-3-319-10443-0_18;;25320792,"Erel et al. Microsurgery, 23:147-152, 2003;;Mattos et al. Intelligent Robots and Systems (IROS), 2011 IEEE/RSJ International Conference on, san-Francisco, CA, 2011, p. 1359 - 1365;;Wang et al. Engineering in Medicine and Biology Society, 2008, p. 1935-1938;;Brown et al. Medical Image Computing and Computer-Assisted Intervention - MICCAI 2001Lecture Notes in Computer Science. Volume 2208, 2001, pp 137-144",ACTIVE
10,WO,A2,WO 2014/052158 A2,171-277-884-702-502,2014-04-03,2014,US 2013/0060629 W,2013-09-19,US 201213628841 A,2012-09-27,HAPTIC AUGMENTED AND VIRTUAL REALITY SYSTEM FOR SIMULATION OF SURGICAL PROCEDURES,"The present technology relates to systems, methods and devices for haptically- enabled virtual reality simulation of cerebral aneurysm clipping, wherein a user uses two physical stations during the simulation. The first station is a haptic and augmented reality station, and the second station is a haptic and virtual reality station.",IMMERSIVE TOUCH INC,BANERJEE PAT P;;LUCIAN CRISTIAN J;;ALARAJ ALI;;CHARBEL FADY T,,https://lens.org/171-277-884-702-502,Patent Application,yes,1,9,9,14,0,A61B34/30;;A61B34/30;;A61B34/76;;A61B34/76;;A61B2017/00207;;A61B2017/00207;;A61B2017/00216;;A61B2017/00216;;G06F3/011;;G06F3/011;;G06F3/016;;G06F3/016,G06F3/01,,1,0,,,See also references of EP 2901250A4,PENDING
