"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,CA,A,CA 339436 A,055-287-041-092-893,1934-02-20,1934,CA 339436D A,,CA 339436T A,,AERIAL BOMB,,ANDERSON GROVER C,ANDERSON GROVER C,,https://lens.org/055-287-041-092-893,Granted Patent,no,0,0,1,1,0,,,,0,0,,,,EXPIRED
2,US,A,US 1903348 A,101-846-982-918-92X,1933-04-04,1933,US 61794032 A,1932-06-18,US 61794032 A,1932-06-18,Aerial bomb,,ANDERSON GROVER C,ANDERSON GROVER C,,https://lens.org/101-846-982-918-92X,Granted Patent,no,0,18,1,1,0,F42B25/00;;F42B25/00,F42B25/00,,0,0,,,,EXPIRED
3,DE,D1,DE 2965052 D1,112-031-369-922-527,1983-04-21,1983,DE 2965052 T,1979-12-04,US 97070978 A,1978-12-18,A METHOD OF ELECTROPLATING NICKEL-IRON ALLOYS,,IBM,ANDERSON NATHANIEL CARL;;GROVER JR,,https://lens.org/112-031-369-922-527,Granted Patent,no,0,0,7,8,0,C25D3/562;;G11B5/3163;;H01F41/26,C25D7/00;;C25D3/56;;G11B5/31;;G11B5/858;;H01F10/14;;H01F41/26,,0,0,,,,EXPIRED
4,US,A,US 1083911 A,014-044-172-615-152,1914-01-13,1914,US 1912/0738940 A,1912-12-27,US 1912/0738940 A,1912-12-27,PROCESS OF PRODUCING LEAD-NITRATE SOLUTIONS.,,ANDERSON SAMUEL W;;KAAR GROVER C,ANDERSON SAMUEL W;;KAAR GROVER C,,https://lens.org/014-044-172-615-152,Granted Patent,no,0,1,1,1,0,C22B13/04;;C22B13/04,,,0,0,,,,EXPIRED
5,US,A,US 2279272 A,169-932-112-280-107,1942-04-07,1942,US 30955439 A,1939-12-16,US 30955439 A,1939-12-16,Refrigerating apparatus,,WESTINGHOUSE ELECTRIC & MFG CO,ANDERSON WILLIAM B;;GROVER ELLIOTT E,,https://lens.org/169-932-112-280-107,Granted Patent,no,0,9,1,1,0,F25D19/02;;F25D19/02,F25D19/02,,0,0,,,,EXPIRED
6,US,A,US 1083910 A,151-031-620-945-994,1914-01-13,1914,US 1912/0738939 A,1912-12-27,US 1912/0738939 A,1912-12-27,PROCESS OF PRODUCTION OF LEAD SOLUTIONS FROM LEAD ORE.,,ANDERSON SAMUEL W;;KAAR GROVER C,ANDERSON SAMUEL W;;KAAR GROVER C,,https://lens.org/151-031-620-945-994,Granted Patent,no,0,1,1,1,0,C22B13/04;;C22B13/04,,,0,0,,,,EXPIRED
7,CA,A,CA 409327 A,056-029-966-942-92X,1942-12-15,1942,CA 409327D A,,CA 409327T A,,REFRIGERATING APPARATUS,,WESTINGHOUSE CANADA LTD,ANDERSON WILLIAM B;;GROVER ELLIOTT E,,https://lens.org/056-029-966-942-92X,Granted Patent,no,0,0,1,1,0,,,,0,0,,,,EXPIRED
8,EP,A2,EP 0012326 A2,184-044-658-233-933,1980-06-25,1980,EP 79104890 A,1979-12-04,US 97070978 A,1978-12-18,A method of electroplating nickel-iron alloys.,"This invention relates to a method of electroplating a film of iron-nickel alloy onto an article having a complex shape. This method provides a uniform iron-nickel ratio in the film across the entire plating surface of the article. It is desirable to use a low value of Fe and Ni ion concentrations and a relatively low current density to operate at the relatively flat peak of the curve of the iron percentage in the plated alloy vs. current density curve. The curve can be raised or lowered by increasing or decreasing the total dischargeable ion concentration respectively for a given NI /Fe ion ratio. The preferred Fe ion concentration range for Ni:Fe alloy ratio near 80.20 is about 0.15 - 0.3 g/l for a range of 10 - 14 g/l of Ni ion in a solution with a pH of about 3, a temperature of about 20 - 35°C where the Na /Fe ratio in the solution ranges from about 45 to 1 to about 70 to 1. Preferably, an electrolyte for reducing pitting such as 0 - 100 g/l of NaCl is employed. The cation (Na ) of the latter electrolyte should not be a dischargeable ion. Plating current density is preferably between about 2 ma/cm 2  and 12 ma/cm 2 , and optimum results are achieved for values from about 4 to 8 ma/cm 2 .",IBM,ANDERSON NATHANIEL CARL;;GROVER JR CHARLES RAYMOND,,https://lens.org/184-044-658-233-933,Patent Application,yes,0,3,7,8,0,C25D3/562;;G11B5/3163;;H01F41/26,C25D7/00;;C25D3/56;;G11B5/31;;G11B5/858;;H01F10/14;;H01F41/26,,0,0,,,,EXPIRED
9,US,A,US 4279707 A,106-459-000-507-876,1981-07-21,1981,US 12262880 A,1980-02-19,US 12262880 A;;US 97070978 A,1978-12-18,Electroplating of nickel-iron alloys for uniformity of nickel/iron ratio using a low density plating current,"Electroplating nickel-iron alloys onto objects having complex topographical shapes with projections and hollows such as upper pole pieces of thin film magnetic recording heads has been found to yield a substantial variation in nickel-iron alloy composition from point to point within a single pattern. Providing a low total dischargeable ion concentration in the bath is helpful to reduce such variations when plating in the 80:20 Ni:Fe alloy range. That is, it is desirable to use a low value of Fe.sup.++ and Ni.sup.++ ion concentrations and a relatively low current density to operate at the relatively flat peak of the curve of the iron percentage in the plated alloy vs. current density curve. The curve can be raised or lowered by increasing or decreasing the total dischargeable ion concentration respectively for a given Ni.sup.++ /Fe.sup.++ ion ratio. The preferred Fe.sup.++ ion concentration range for Ni:Fe alloy ratio near 80:20 is about 0.15-0.3 g/l for a range of 10-14 g/l of Ni.sup.++ ion in a solution with a pH of about 3, a temperature of about 20.degree.-35.degree. C. where the Ni.sup.++ /Fe.sup.++ ratio in the solution ranges from about 45 to 1 to about 70 to 1. Preferably, an electrolyte for reducing pitting such as 0-100 g/l of NaCl is employed. The cation (Na.sup.+) of the latter electrolyte should not be a dischargeable ion. Plating current density is preferably between about 2 ma/cm.sup.2 and 12 ma/cm.sup.2, and optimum results are achieved for values from about 4 to 8 ma/cm.sup.2.",IBM,ANDERSON NATHANIEL C;;GROVER JR CHARLES R,,https://lens.org/106-459-000-507-876,Granted Patent,yes,5,39,1,8,0,C25D3/562;;H01F41/26;;H01F41/26;;C25D3/562,C25D3/56;;H01F41/26,C7B BDHL          DHL,0,0,,,,EXPIRED
10,EP,B1,EP 0012326 B1,127-015-729-565-784,1983-03-16,1983,EP 79104890 A,1979-12-04,US 97070978 A,1978-12-18,A METHOD OF ELECTROPLATING NICKEL-IRON ALLOYS,,INTERNATIONAL BUSINESS MACHINES CORPORATION,"ANDERSON, NATHANIEL CARL;;GROVER, JR., CHARLES RAYMOND",,https://lens.org/127-015-729-565-784,Granted Patent,yes,0,0,7,8,0,C25D3/562;;G11B5/3163;;H01F41/26,C25D7/00;;C25D3/56;;G11B5/31;;G11B5/858;;H01F10/14;;H01F41/26,,0,0,,,,EXPIRED
