"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,WO,A2,WO 2023/015243 A2,016-317-879-869-547,2023-02-09,2023,US 2022/0074522 W,2022-08-04,US 202163229136 P;;US 202163255173 P,2021-08-04,NEUROSURGICAL NAVIGATION SYSTEM REFERENCE ARRAY APPARATUS,"An apparatus (100), including: a stabilizing bridge (146) including: a C1 attachment (150) configured to be directly attached in a form-fit with a C1 vertebra (124); and a C2 attachment (152) configured to be directly attached in a form-fit with a C2 vertebra (126). The C1 attachment and the C2 attachment are fixed in position relative to each other.",UNIV FLORIDA,MEYER TRAVIS;;BRZEZICKI GRZEGORZ,,https://lens.org/016-317-879-869-547,Patent Application,yes,0,0,2,2,0,A61B90/14;;A61B2034/2055;;A61B34/20;;A61B90/11;;A61B2090/3983;;A61B2034/107;;A61B90/39;;A61B2090/3762,C07K7/08;;A61K38/10,,0,0,,,,PENDING
2,WO,A3,WO 2023/015243 A3,059-327-857-145-547,2023-03-23,2023,US 2022/0074522 W,2022-08-04,US 202163229136 P;;US 202163255173 P,2021-08-04,NEUROSURGICAL NAVIGATION SYSTEM REFERENCE ARRAY APPARATUS,"An apparatus (100), including: a stabilizing bridge (146) including: a C1 attachment (150) configured to be directly attached in a form-fit with a C1 vertebra (124); and a C2 attachment (152) configured to be directly attached in a form-fit with a C2 vertebra (126). The C1 attachment and the C2 attachment are fixed in position relative to each other.",UNIV FLORIDA,MEYER TRAVIS;;BRZEZICKI GRZEGORZ,,https://lens.org/059-327-857-145-547,Search Report,yes,8,0,2,2,0,A61B90/14;;A61B2034/2055;;A61B34/20;;A61B90/11;;A61B2090/3983;;A61B2034/107;;A61B90/39;;A61B2090/3762,A61B90/14;;A61B34/10;;A61B34/20;;A61B90/11,,0,0,,,,PENDING
3,PL,U1,PL 123822 U1,005-091-476-138-987,2016-08-29,2016,PL 12382215 U,2015-02-23,PL 12382215 U,2015-02-23,Device for preparation and giving out of beverages,"Przedmiotem wzoru użytkowego jest urządzenie do przygotowywania i wydawania napojów zwłaszcza wody, wody gazowanej, wody z sokiem, składające się z obudowy (1) dzielącej urządzenie na trzy segmenty: pierwszy (I) zawierający komorę nalewającą (4), instalację rurową z przyłączem do sieci wodociągowej (2) i/lub co najmniej jednego zbiornika (2a) na napoje oraz instalację do wytwarzania wody gazowanej, drugi (II) zawierający obrotnicę (5), kanał dozujący (11), wylot (12) opakowań w postaci kubków i trzeci (III) - magazynujący opakowania o większym gabarycie, zawierający półki magazynujące (3), pod którymi umieszczony jest wylot (12a) opakowań o większym gabarycie. Urządzenie charakteryzujące się tym, że na przedniej powierzchni jednego z segmentów umieszczony jest elektroniczny panel dotykowy (15) służący do jego obsługi, a obrotnica (5) magazynująca kubki ma postać dwóch płaskich pierścieni z widocznymi na ich powierzchni otworami, w osi których, pomiędzy pierścieniami, umieszczone są ażurowe zasobniki, przy czym jeden z pierścieni umieszczony jest na płaskiej podstawie z wlotem połączonym z kanałem dozującym opakowania w postaci kubków, zaopatrzonym w element blokujący grawitacyjne wypadanie opakowań i zakończonym wylotem (12) tych opakowań.",PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALN,KARWOT JANUSZ;;BURDA KRZYSZTOF;;MARKOWICZ STEFANIA;;KOJS EWA;;KASZUBA GRZEGORZ;;BRZEZICKI MACIEJ,,https://lens.org/005-091-476-138-987,Patent Application,no,0,0,2,2,0,,G07F13/10;;A47J31/40;;G07F13/06,,0,0,,,,ACTIVE
4,PL,Y1,PL 69326 Y1,103-878-926-393-750,2017-08-31,2017,PL 12382215 U,2015-02-23,PL 12382215 U,2015-02-23,Device for preparation and giving out of beverages,,PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALN,KARWOT JANUSZ;;BURDA KRZYSZTOF;;MARKOWICZ STEFANIA;;KOJS EWA;;KASZUBA GRZEGORZ;;BRZEZICKI MACIEJ,,https://lens.org/103-878-926-393-750,Limited Patent,no,0,0,2,2,0,,G07F13/10;;A47J31/40;;G07F13/06,,0,0,,,,ACTIVE
5,WO,A1,WO 2012/141602 A1,104-841-681-905-419,2012-10-18,2012,PL 2012000013 W,2012-03-18,PL 39451511 A,2011-04-11,METHOD FOR DRY HYDROCHLORINATION OF MASS FROM GLYCEROL HYDROCHLORINATION WITH HYDROCHLORIC ACID AND DEVICE FOR DRY HYDROCHLORINATION OF MASS FROM GLYCEROL HYDROCHLORINATION WITH HYDROCHLORIC ACID,"The invention relates to a method of dry hydrochlorination of mass from glycerol hydro¬ chlorination with hydrochloric acid and a device for dry hydrochlorination of mass from glycerol hydrochlorination with hydrochloric acid. According to the invention, in which the reaction of gaseous hydrogen chloride with non- reacted glycerol and monochlorohydrin isomers to a mixture of dichloropropanol isomers is carried out in a device for dry hydrochlorination in the pressure range of 5÷11 bar (a) at temperature of 120÷160°C, the method of dry hydrochlorination of mass from glycerol hydrochlorination with hydrochloric acid, consists in the following: the mass from glycerol hydrochlorination with hydrochloric acid is introduced into the dispersion zone of a device (1) for dry hydrochlorination, and the reaction is initiated by introduction of gaseous hydrogen chloride; a forced turbulent flow of the liquid mass with gaseous hydrogen chloride in the dis¬ persion zone is formed until a diphase mixture is obtained; the diphase mixture is introduced into the bubbling zone consisting of a column reac¬ tor (3) of the device (1), tangentially in relation to its internal circumference; gaseous hydrogen chloride bubbles are allowed to flow freely upwards in the bubbling zone of the device (1), in a column of liquid with a defined height, the mixture of dichloropropanol isomers obtained as a result of the reaction is carried off from the device (1 ). According to the invention, in which the reaction of gaseous hydrogen chloride with non- reacted glycerol and monochlorohydrin isomers to a mixture of dichloropropanol isomers is carried out in a column reactor (3), the device (1) for dry hydrochlorination of mass from glycerol hydrochlorination with hydrochloric acid, is characterized in that the device (1) includes a dispersion zone and a bubbling zone connected with it, while the bubbling zone consists of a column reactor (3).",ZAKLADY CHEMICZNE ZACHEM SPOLKA AKCYJNA;;INST CIEZKIEJ SYNTEZY ORGA;;SPADLO MARIAN;;SEMRAU PIOTR;;GOZDZIKIEWICZ MARCIN;;RUCZYNSKI LECH;;BRZEZICKI ANDRZEJ;;IWANSKI LECH;;KRZYZANOWSKI SYLWESTER;;KIELKOWSKI GRZEGORZ;;KOZIEL TADEUSZ;;SZCZEPANIAK ROBERT,SPADLO MARIAN;;SEMRAU PIOTR;;GOZDZIKIEWICZ MARCIN;;RUCZYNSKI LECH;;BRZEZICKI ANDRZEJ;;IWANSKI LECH;;KRZYZANOWSKI SYLWESTER;;KIELKOWSKI GRZEGORZ;;KOZIEL TADEUSZ;;SZCZEPANIAK ROBERT,,https://lens.org/104-841-681-905-419,Patent Application,yes,10,0,3,3,0,B01F2215/0431;;C07C29/62;;B01F23/2323;;B01F25/4331,C07C31/36;;B01F3/04;;B01F5/00;;B01F5/06;;C07C29/62,,1,0,,,"L.A. OSZIN: ""Izdatiestwo Chimija"", PROMYSZLIENNYJE CHLORORGANICZESKIJE PRODUKTY, 1978",PENDING
6,PL,A1,PL 394515 A1,096-736-588-877-035,2012-10-22,2012,PL 39451511 A,2011-04-11,PL 39451511 A,2011-04-11,Process for dry chloro-hydrogenation of the mass left after chloro-hydrogenation of glycerol with hydrochloric acid and a device for dry chloro-hydrogenation of the mass left after chloro-hydrogenation of glycerol with hydrochloric acid,,ZAKLADY CHEMICZNE ZACHEM SPOLKA AKCYJNA;;INST CIEZKIEJ SYNTEZY ORGA,SPADLO MARIAN;;SEMRAU PIOTR;;GOZDZIKIEWICZ MARCIN;;RUCZYNSKI LECH;;BRZEZICKI ANDRZEJ;;IWANSKI LECH;;KRZYZANOWSKI SYLWESTER;;KIELKOWSKI GRZEGORZ;;KOZIEL MAREK;;KOZIEL TADEUSZ;;SZCZEPANIAK ROBERT,,https://lens.org/096-736-588-877-035,Patent Application,no,0,0,3,3,0,B01F2215/0431;;C07C29/62;;B01F23/2323;;B01F25/4331,C07C31/36;;C07C29/62;;C07C31/42,,0,0,,,,ACTIVE
7,GB,A,GB 2173496 A,097-097-273-682-207,1986-10-15,1986,GB 8508829 A,1985-04-04,GB 8508829 A,1985-04-04,Method for producing epichlorohydrin,"Epichlorohydrin is produced by the epoxidation of a mixture composed of 70% 1,2-dichloropropanols and 30% 1, 3-dichloropropanols in an aqueous solution in a concentration of 1,8-4 wt% with milk of lime at a temperature of 38-45 DEG C at a pH up to 10-12. The process is effected in a plate column, and the epoxidation reaction is conducted simultaneously with rectifying distillation of the epichlorohydrin formed using live steam. The process is conducted in the plate column provided with at least 19 plates and the dichloropropanol solution is introduced onto the second or third plate counting from the top. The time of reaction in the liquid phase is 25-35 s, and epichlorohydrin contained in the steam mixture is received from the column top at a pressure of 47-57 kPa and a temperature of 80-85 DEG C. Live steam is fed into the column bottom so as to maintain the evaporation degree within a range of 0.045-0.080.",INST CIEZKIEJ SYNTEZY ORGA;;ORGANIKA ZACHEM ZAKLADY CHEMIC,BRZEZICKI ANDRZEJ;;DULA JANUSZ;;POKORSKA ZOFIA;;SPADLO MARIAN;;STAJSZCZYK MANFRED;;WASILEWSKI JERZY;;WOJCIK EUGENIUSZ;;USAKIEWICZ MAREK;;WILUSZ TADEUSZ;;LEWANDOWSKI GRZEGORZ;;GAWRYCH STANISLAW,,https://lens.org/097-097-273-682-207,Patent Application,no,0,29,3,3,0,C07D301/26,C07D301/26,C2C CVT;;C2C CZA;;C2C C1300;;C2C C215;;C2C C246;;C2C C247;;C2C C25Y;;C2C C253;;C2C C305;;C2C C31Y;;C2C C313;;C2C C339;;C2C C411;;C2C C413;;C2C C414;;C2C C430,0,0,,,,EXPIRED
8,PL,A1,PL 222445 A1,000-517-328-830-254,1981-09-18,1981,PL 22244580 A,1980-03-04,PL 22244580 A,1980-03-04,PL 222445 A1,,INST CIEZKIEJ SYNTEZY ORGA,GIEYSZTOR ANDRZEJ;;OKNINSKA EWA;;LEWANDOWSKI GRZEGORZ;;MADEJ WLADYSLAW;;DOBACZEWSKI EUGENIUSZ;;SPADLO MARIAN;;WASILEWSKI JERZY;;POKORSKA ZOFIA;;STAJSZCZYK MANFRED;;BRZEZICKI ANDRZEJ;;KOLODENNY RYSZARD,,https://lens.org/000-517-328-830-254,Patent Application,no,0,0,1,1,0,,C07C/,,0,0,,,,DISCONTINUED
9,PL,A1,PL 244439 A1,022-214-912-041-270,1985-05-07,1985,PL 24443983 A,1983-11-03,PL 24443983 A,1983-11-03,METHOD OF OBTAINING EPICHLORIDINE,,INST CIEZKIEJ SYNTEZY ORGA,BRZEZICKI ANDRZEJ;;DULA JANUSZ;;POKORSKA ZOFIA;;SPADLO MARIAN;;STAJSZCZYK MANFRED;;WASILEWSKI JERZY;;WOJCIK EUGENIUSZ;;USAKIEWICZ MAREK;;WILUSZ TADEUSZ;;LEWANDOWSKI GRZEGORZ;;GAWRYCH STANISLAW,,https://lens.org/022-214-912-041-270,Patent Application,no,0,0,2,2,0,,C07D/;;C07D303/08,,0,0,,,,EXPIRED
10,GB,B,GB 2173496 B,033-576-512-173-466,1989-01-05,1989,GB 8508829 A,1985-04-04,GB 8508829 A,1985-04-04,METHOD FOR PRODUCING EPICHLOROHYDRIN,,INST CIEZKIEJ SYNTEZY ORGA;;ORGANIKA ZACHEM ZAKLADY CHEMIC,BRZEZICKI ANDRZEJ;;DULA JANUSZ;;POKORSKA ZOFIA;;SPADLO MARIAN;;STAJSZCZYK MANFRED;;WASILEWSKI JERZY;;WOJCIK EUGENIUSZ;;USAKIEWICZ MAREK;;WILUSZ TADEUSZ;;LEWANDOWSKI GRZEGORZ;;GAWRYCH STANISLAW,,https://lens.org/033-576-512-173-466,Granted Patent,no,0,2,3,3,0,C07D301/26,C07D301/26,C2C1300;;C2C215;;C2C246;;C2C247;;C2C253;;C2C25Y;;C2C305;;C2C313;;C2C31Y;;C2C339;;C2C411;;C2C413;;C2C414;;C2C430;;C2CVT;;C2CZA,0,0,,,,EXPIRED
