"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A1,US 2003/0149341 A1,173-375-888-923-929,2003-08-07,2003,US 6822102 A,2002-02-06,US 6822102 A,2002-02-06,Retractor and/or distractor for anterior cervical fusion,"
   A surgical device having a blade with a surface suitable for abutting against tissue, and further having an anchor guide portion for receiving an anchor. The device further includes an anchor positioned through the anchor guide portion, having a first end suitable for anchoring into bone, and a second end suitable for engagement with a surgical distractor. In addition to being using during retraction, the device may be further used to distract without any repositioning of the device. 
",CLIFTON GUY L.,CLIFTON GUY L,,https://lens.org/173-375-888-923-929,Patent Application,yes,3,204,4,4,0,A61B17/0206;;A61B17/7077;;A61B2017/0256;;A61B17/0206;;A61B2017/0256;;A61B17/7077,A61B17/02;;A61B17/88,60021,0,0,,,,DISCONTINUED
2,AU,A1,AU 2003/209032 A1,107-293-618-003-214,2003-09-02,2003,AU 2003/209032 A,2003-02-06,US 6822102 A;;US 0303636 W,2002-02-06,RETRACTOR AND/OR DISTRACTOR FOR ANTERIOR CERVICAL FUSION,,CLIFTON GUY L,CLIFTON GUY L,,https://lens.org/107-293-618-003-214,Patent Application,no,0,0,4,4,0,A61B17/0206;;A61B17/7077;;A61B2017/0256;;A61B17/0206;;A61B2017/0256;;A61B17/7077,A61B17/02;;A61B17/88,,0,0,,,,DISCONTINUED
3,WO,A1,WO 2003/065900 A1,184-069-169-939-573,2003-08-14,2003,US 0303636 W,2003-02-06,US 6822102 A,2002-02-06,RETRACTOR AND/OR DISTRACTOR FOR ANTERIOR CERVICAL FUSION,"A surgical device (10) having a blade (500) with a surface suitable for abutting against tissue, and further having an anchor guide portion (100) for receiving an anchor (601). The device further includes an anchor (601) positioned through the anchor guide portion (100), having a first end suitable for anchoring into bone, and a second end suitable for engagement with a surgical distractor. In addition to being using during retraction, the device may be further used to distract without any repositioning of the device.",CLIFTON GUY L,CLIFTON GUY L,,https://lens.org/184-069-169-939-573,Patent Application,yes,3,0,4,4,0,A61B17/0206;;A61B17/7077;;A61B2017/0256;;A61B17/0206;;A61B2017/0256;;A61B17/7077,A61B17/02;;A61B17/88,,0,0,,,,PENDING
4,EP,A1,EP 1480564 A1,146-016-923-499-93X,2004-12-01,2004,EP 03707757 A,2003-02-06,US 0303636 W;;US 6822102 A,2002-02-06,RETRACTOR AND/OR DISTRACTOR FOR ANTERIOR CERVICAL FUSION,,CLIFTON GUY L,CLIFTON GUY L,,https://lens.org/146-016-923-499-93X,Patent Application,yes,0,0,4,4,0,A61B17/0206;;A61B17/7077;;A61B2017/0256;;A61B17/0206;;A61B2017/0256;;A61B17/7077,A61B17/02;;A61B17/88,,0,0,,,,DISCONTINUED
5,US,A,US 5486204 A,087-537-153-435-07X,1996-01-23,1996,US 30920294 A,1994-09-20,US 30920294 A,1994-09-20,Method of treating a non-penetrating head wound with hypothermia,"A method of treating severe brain trauma with hypothermia includes the introduction of specified medication to reduce the risk of cardiac arrhythmia and other malfunctions that may result from the brain trauma or the hypothermia. The method further includes a protocol for the treatment which defines time, temperature, rate of change of temperature, and the timing of the introduction of medications. Finally, rigidly controlled rewarming reduces the incidence of rewarming shock in recovering patients.",UNIV TEXAS HEALTH SCIENCE CENT,CLIFTON GUY L,UNIVERSITY OF TEXAS HEALTH & SCIENCE CENTER (1995-02-08);;BOARD OF REGENTS THE UNIVERSITY OF TEXAS SYSTEM (1995-06-30);;TEXAS NEURAL RECOVERY PROJECT (1994-10-31),https://lens.org/087-537-153-435-07X,Granted Patent,yes,5,156,1,1,0,A61F7/10;;A61F7/10;;A61K31/58;;A61K31/58,A61F7/10;;A61K31/58,607/96;;128/736;;128/748,0,0,,,,EXPIRED
6,EP,B1,EP 1073388 B1,107-433-146-541-04X,2008-11-05,2008,EP 99918777 A,1999-04-21,US 9908825 W;;US 6515698 A;;US 19729798 A,1998-04-23,HEAT TRANSFER BLANKET FOR AND METHOD OF CONTROLLING A PATIENT'S TEMPERATURE,,UNIV TEXAS,CLIFTON GUY L;;MILLER EMMY R,THE BOARD OF REGENTS OF THE UNIVERSITY OF TEXAS SY (2008-09-24),https://lens.org/107-433-146-541-04X,Granted Patent,yes,1,1,11,14,0,A61F7/02;;A61F2007/0018;;A61F2007/0054;;A61F7/02;;A61F2007/0018;;A61F2007/0054,A61F7/00;;A61F7/08;;A61F7/02,,0,0,,,,EXPIRED
7,FR,A,FR 496064 A,087-817-840-869-757,1919-10-25,1919,FR 496064D A,1919-02-22,FR 496064T A,1919-02-22,Machine pour enlever les terres,,CLIFTON ELMER WERTS;;WALTER GUY WERTS,WERTS CLIFTON ELMER;;WERTS WALTER GUY,,https://lens.org/087-817-840-869-757,Granted Patent,no,0,0,1,1,0,E02F3/848,E02F3/84,"VII, 1",0,0,,,,EXPIRED
8,DE,D1,DE 69939866 D1,085-453-489-977-146,2008-12-18,2008,DE 69939866 T,1999-04-21,US 6515698 A;;US 19729798 A;;US 9908825 W,1998-04-23,HEIZDECKE UND METHODE ZUR KONTROLLE DER PATIENTENTEMPERATUR,,UNIV TEXAS,CLIFTON GUY L;;MILLER EMMY R,,https://lens.org/085-453-489-977-146,Granted Patent,no,0,0,11,14,0,A61F7/02;;A61F2007/0018;;A61F2007/0054;;A61F7/02;;A61F2007/0018;;A61F2007/0054,A61F7/00;;A61F7/08;;A61F7/02,,0,0,,,,EXPIRED
9,AU,A,AU 1999/036612 A,105-112-377-153-191,1999-11-08,1999,AU 1999/036612 A,1999-04-21,US 6515698 A;;US 19729798 A;;US 9908825 W,1998-04-23,Heat transfer blanket for and method of controlling a patient's temperature,,UNIV TEXAS,CLIFTON GUY L;;MILLER EMMY R,,https://lens.org/105-112-377-153-191,Patent Application,no,0,0,11,14,0,A61F7/02;;A61F2007/0018;;A61F2007/0054;;A61F7/02;;A61F2007/0018;;A61F2007/0054,A61F7/08;;A61F7/00;;A61F7/02,,0,0,,,,DISCONTINUED
10,US,A1,US 2002/0107558 A1,147-495-162-547-93X,2002-08-08,2002,US 5400202 A,2002-01-19,US 5400202 A;;US 19729798 A;;US 6515698 A,1998-04-23,Heat transfer blanket for and method of controlling a patient's temperature,"
   The present invention relates to heat transfer blankets which wrap the torso and/or legs leaving the arms, buttocks, perineum, knee, and/or head exposed and allow for the selective heating or cooling of various body parts at the same or different rates. 
",CLIFTON GUY L.;;MILLER EMMY R.,CLIFTON GUY L;;MILLER EMMY R,BOARD OF REGENTS OF THE UNIVERSITY OF TEXAS SYSTEM THE (2002-01-19),https://lens.org/147-495-162-547-93X,Patent Application,yes,11,51,11,14,0,A61F7/02;;A61F2007/0018;;A61F2007/0054;;A61F7/02;;A61F2007/0018;;A61F2007/0054,A61F7/00;;A61F7/08;;A61F7/02,607/104;;607/108,0,0,,,,EXPIRED
