"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A1,US 2011/0154368 A1,086-901-918-123-353,2011-06-23,2011,US 64468409 A,2009-12-22,US 64468409 A,2009-12-22,RECURSIVE LOCKING OF A THREAD-SHARED RESOURCE,"A method for implementing process thread locking operations includes defining a lock structure having data fields that include a process thread identifier and a shared object identifier that uniquely identifies a shared object subject to lock operations. The method also includes using the lock structure to build a lock table. The lock table includes lock structures for each process thread in the process and is searchable in response to a request for a shared object from a calling thread. The method also includes determining a lock status of the shared object. The lock status indicates whether the shared object is currently locked by the calling process thread. In response to the lock status, the method includes obtaining a lock on the shared object when the request is for a lock, and releasing a lock on the shared object when the request is to unlock the shared object",IBM,BANKS LISA D;;KEENAGHAN JASON A,INTERNATIONAL BUSINESS MACHINES CORPORATION (2009-12-21),https://lens.org/086-901-918-123-353,Patent Application,yes,6,16,2,2,0,G06F9/526;;G06F9/526,G06F9/46,719/316,1,1,136-430-616-890-155,10.1007/978-3-540-89330-1_13,"Christian Haack, Reasoning about Java's Reentrant Locks, 2008.",INACTIVE
2,US,B2,US 8312470 B2,016-195-461-808-859,2012-11-13,2012,US 64468409 A,2009-12-22,US 64468409 A,2009-12-22,Recursive locking of a thread-shared resource,"A process thread locking operations includes defining a lock structure having data fields that include a process thread identifier and a shared object identifier that uniquely identifies a shared object subject to lock operations and using the lock structure to build a lock table. The lock table includes lock structures for each process thread in the process and is searchable in response to a request for a shared object from a calling thread. The method also includes determining a lock status of the shared object. The lock status indicates whether the shared object is currently locked by the calling process thread. In response to the lock status, the method includes obtaining a lock on the shared object when the request is for a lock, and releasing a lock on the shared object when the request is to unlock the shared object.",BANKS LISA D;;KEENAGHAN JASON A;;IBM,BANKS LISA D;;KEENAGHAN JASON A,INTERNATIONAL BUSINESS MACHINES CORPORATION (2009-12-21),https://lens.org/016-195-461-808-859,Granted Patent,yes,6,0,2,2,0,G06F9/526;;G06F9/526,G06F3/00,719/310;;719/313;;710/20,1,1,136-430-616-890-155,10.1007/978-3-540-89330-1_13,"Christian Haack, Reasoning about Java's Reentrant Locks, 2008.",INACTIVE
3,CN,A,CN 1742271 A,019-783-826-943-106,2006-03-01,2006,CN 200480001354 A,2004-07-27,US 69366603 A,2003-10-24,System and method for managing data using static lists,,MICROSOFT CORP,MOORE JASON F BANKS RICHARD M,MICROSOFT TECHNOLOGY LICENSING LLC (2015-05-04),https://lens.org/019-783-826-943-106,Patent Application,no,0,0,28,28,0,G06F16/10;;G06Q50/10;;G06F16/10;;Y10S707/99945;;Y10S707/99942;;Y10S707/99943,G06F17/21;;G06F/;;G06F7/00;;G06F17/00;;G06F17/30;;G06F19/00,,0,0,,,,INACTIVE
4,DE,D1,DE 60218211 D1,117-980-122-192-207,2007-03-29,2007,DE 60218211 T,2002-11-21,US 33208501 P;;US 40141102 P;;US 0237365 W,2001-11-21,LASER MIT EINEM VERTEILTEN VERSTÄRKUNGSMEDIUM,,GEN ATOMICS,PERRY D;;BANKS S;;ZWEIBACK JASON;;SCHLEICHER W,,https://lens.org/117-980-122-192-207,Granted Patent,no,0,0,20,24,0,H01S3/025;;H01S3/0401;;H01S3/0407;;H01S3/042;;H01S3/0602;;H01S3/0604;;H01S3/0612;;H01S3/07;;H01S3/0941;;H01S3/16;;H01S3/1603;;H01S3/1643;;H01S3/20;;H01S3/2341;;H01S3/025;;H01S3/042;;H01S3/20;;H01S3/2341;;H01S3/07;;H01S3/16;;H01S3/0604;;H01S3/1603;;H01S3/0401;;H01S3/0941;;H01S3/0602;;H01S3/1643;;H01S3/0407;;H01S3/0612,H01S3/04;;H01S3/042;;H01S3/06;;H01S3/07;;H01S3/094;;H01S3/0941;;H01S3/16;;H01S3/20,,0,0,,,,EXPIRED
5,DE,T2,DE 60218211 T2,160-550-891-928-652,2007-10-18,2007,DE 60218211 T,2002-11-21,US 33208501 P;;US 40141102 P;;US 0237365 W,2001-11-21,LASER MIT EINEM VERTEILTEN VERSTÄRKUNGSMEDIUM,,GEN ATOMICS,PERRY D;;BANKS S;;ZWEIBACK JASON;;SCHLEICHER W,,https://lens.org/160-550-891-928-652,Granted Patent,no,0,0,20,24,0,H01S3/025;;H01S3/0401;;H01S3/0407;;H01S3/042;;H01S3/0602;;H01S3/0604;;H01S3/0612;;H01S3/07;;H01S3/0941;;H01S3/16;;H01S3/1603;;H01S3/1643;;H01S3/20;;H01S3/2341;;H01S3/025;;H01S3/042;;H01S3/20;;H01S3/2341;;H01S3/07;;H01S3/16;;H01S3/0604;;H01S3/1603;;H01S3/0401;;H01S3/0941;;H01S3/0602;;H01S3/1643;;H01S3/0407;;H01S3/0612,H01S3/04;;H01S3/042;;H01S3/06;;H01S3/07;;H01S3/094;;H01S3/0941;;H01S3/16;;H01S3/20,,0,0,,,,EXPIRED
6,KR,A,KR 20110013540 A,132-778-071-925-11X,2011-02-09,2011,KR 20107029560 A,2009-05-20,US 15620208 A;;US 2009/0003111 W,2008-05-30,CONTROLLED ATMOSPHERE WHEN SINTERING A FRIT TO A GLASS PLATE,,CORNING INC,BOEK HEATHER D;;BANKS ANDREW D;;HOWLES JASON A,,https://lens.org/132-778-071-925-11X,Patent Application,no,0,1,17,17,0,C03B19/06;;C03C3/21;;C03C8/08;;C03C8/24;;C03C27/06;;Y10T428/131;;H10K50/8426;;Y10T428/131;;C03B19/06;;C03C3/21;;C03C8/24;;C03C27/06;;C03C8/08;;H10K50/8426,C03C17/04;;C03C23/00;;C03C27/12,,0,0,,,,INACTIVE
7,US,B2,US 8329303 B2,093-634-199-743-491,2012-12-11,2012,US 201213406950 A,2012-02-28,US 201213406950 A;;US 15620208 A,2008-05-30,Controlled atmosphere when sintering a frit to a glass plate,"A method is described herein for controlling the oxygen level within an oven while sintering a frit to a glass plate where the sintered frit and glass plate are subsequently sealed to another glass plate to form a sealed glass package. Examples of the sealed glass package include a light-emitting device (e.g., organic light emitting diode (OLED) device), a photovoltaic device, a food container, and a medicine container.",BANKS ANDREW DOUGLAS;;BOEK HEATHER DEBRA;;HOWLES JASON ARTHUR;;CORNING INC,BANKS ANDREW DOUGLAS;;BOEK HEATHER DEBRA;;HOWLES JASON ARTHUR,,https://lens.org/093-634-199-743-491,Granted Patent,yes,24,6,17,17,0,C03B19/06;;C03C3/21;;C03C8/08;;C03C8/24;;C03C27/06;;Y10T428/131;;H10K50/8426;;Y10T428/131;;C03B19/06;;C03C3/21;;C03C8/24;;C03C27/06;;C03C8/08;;H10K50/8426,E06B3/00;;B32B17/00;;H01J1/62,428/432;;428/34;;428/433;;313/512;;501/15;;501/21;;501/152,0,0,,,,INACTIVE
8,EP,B1,EP 2300387 B1,148-773-878-093-383,2018-04-18,2018,EP 09758670 A,2009-05-20,US 2009/0003111 W;;US 15620208 A,2008-05-30,CONTROLLED ATMOSPHERE WHEN SINTERING A FRIT TO A GLASS PLATE,,CORNING INC,BOEK HEATHER D;;BANKS ANDREW D;;HOWLES JASON A,,https://lens.org/148-773-878-093-383,Granted Patent,yes,8,0,17,17,0,C03B19/06;;C03C3/21;;C03C8/08;;C03C8/24;;C03C27/06;;Y10T428/131;;H10K50/8426;;Y10T428/131;;C03B19/06;;C03C3/21;;C03C8/24;;C03C27/06;;C03C8/08;;H10K50/8426,C03C17/04,,0,0,,,,ACTIVE
9,WO,A2,WO 2009/148506 A2,005-383-824-687-865,2009-12-10,2009,US 2009/0003111 W,2009-05-20,US 15620208 A,2008-05-30,CONTROLLED ATMOSPHERE WHEN SINTERING A FRIT TO A GLASS PLATE,"A method is described herein for controlling the oxygen level within an oven while sintering a frit to a glass plate where the sintered frit and glass plate are subsequently sealed to another glass plate to form a sealed glass package. Examples of the sealed glass package include a light-emitting device (e.g., organic light emitting diode (OLED) device), a photovoltaic device, a food container, and a medicine container.",CORNING INC;;BOEK HEATHER D;;BANKS ANDREW D;;HOWLES JASON A,BOEK HEATHER D;;BANKS ANDREW D;;HOWLES JASON A,,https://lens.org/005-383-824-687-865,Patent Application,yes,1,1,17,17,0,C03B19/06;;C03C3/21;;C03C8/08;;C03C8/24;;C03C27/06;;Y10T428/131;;H10K50/8426;;Y10T428/131;;C03B19/06;;C03C3/21;;C03C8/24;;C03C27/06;;C03C8/08;;H10K50/8426,C03C17/04,,0,0,,,,PENDING
10,US,A1,US 2009/0297861 A1,097-202-453-284-005,2009-12-03,2009,US 15620208 A,2008-05-30,US 15620208 A,2008-05-30,Controlled atmosphere when sintering a frit to a glass plate,"A method is described herein for controlling the oxygen level within an oven while sintering a frit to a glass plate where the sintered frit and glass plate are subsequently sealed to another glass plate to form a sealed glass package. Examples of the sealed glass package include a light-emitting device (e.g., organic light emitting diode (OLED) device), a photovoltaic device, a food container, and a medicine container.",BANKS ANDREW DOUGLAS;;BOEK HEATHER DEBRA;;HOWLES JASON ARTHUR,BANKS ANDREW DOUGLAS;;BOEK HEATHER DEBRA;;HOWLES JASON ARTHUR,CORNING INCORPORATED (2008-05-28),https://lens.org/097-202-453-284-005,Patent Application,yes,13,35,17,17,0,C03B19/06;;C03C3/21;;C03C8/08;;C03C8/24;;C03C27/06;;Y10T428/131;;H10K50/8426;;Y10T428/131;;C03B19/06;;C03C3/21;;C03C8/24;;C03C27/06;;C03C8/08;;H10K50/8426,B32B17/06;;C03B23/203,428/428;;65/36;;65/42;;65/32.2,0,0,,,,INACTIVE
