"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A1,US 2020/0009283 A1,013-659-522-177-127,2020-01-09,2020,US 201816027697 A,2018-07-05,US 201816027697 A,2018-07-05,Deodorizing System,"The present invention discloses a system for deodorizing an environment comprising a fan disposed within a housing. The fan creates an air stream by pulling air through an intake and expelling air through an exhaust. An ozone generator is disposed within the housing. As air is moved past the ozone generator, oxygen in the air is converted to ozone and expelled through the exhaust to deodorize the surrounding environment.",GARDNER JOEL;;BAUMAN DENNY,GARDNER JOEL;;BAUMAN DENNY,,https://lens.org/013-659-522-177-127,Patent Application,yes,0,2,1,1,0,A61L9/122;;A61L9/122;;A61L9/046;;A61L9/20;;A61L2209/111;;A61L2209/111;;A61L2209/12;;A61L2209/212;;A61L2209/212,A61L9/12;;A61L9/04,,0,0,,,,DISCONTINUED
2,EP,B1,EP 0202679 B1,148-393-086-559-080,1993-10-06,1993,EP 86106952 A,1986-05-22,US 73760085 A,1985-05-24,METHOD OF PRODUCING AQUEOUS LATEX OF CROSSLINKED POLYDIORGANOSILOXANE,,DOW CORNING CORPORATION,"BAUMAN, THERESE MARIE;;HUEBNER, DAVID JOEL",,https://lens.org/148-393-086-559-080,Granted Patent,yes,2,0,15,15,0,C08J3/03;;C08J2383/04;;C08K5/41;;C08K5/42;;C08J3/22;;C08G77/08;;C08J3/03;;C08K5/42;;C08K5/41;;C08J2383/04,C08L83/04;;C08J3/02;;C08J3/03;;C08J9/12;;C08K5/41;;C08K5/42;;C08L83/00,,1,0,,,"JOURNAL OF POLYMER SCIENCE. POLYMER CHEMISTRY EDITION, vol. 20, December 1982, pages 3351-3368, New York, US; J.C. SAAM et al.: ""Condensation polymerization of oligomeric polydimethylsiloxanols in aqueous emulsion""",EXPIRED
3,EP,A3,EP 0202679 A3,125-540-989-971-861,1988-05-11,1988,EP 86106952 A,1986-05-22,US 73760085 A,1985-05-24,METHOD OF PRODUCING AQUEOUS LATEX OF CROSSLINKED POLYDIORGANOSILOXANE,"A method of producing an emulsion of crosslinked polydiorganosiloxane admixes hydroxyl endblocked polydiorganosiloxane, alkoxy silicone compound; anionic emulsifying agent, and water. The mixture is homogenized, then the emulsion is admixed with surface active anionic catalyst. Maintaining the catalyzed emulsion, having a pH of less than 5, at room temperature allows the ingredients to react to raise the molecular weight of the polydiorganosiloxane and to crosslink the polymer. The reaction is halted by adding sufficient base to raise the pH to greater than 7. The resultant latex yields an elastomer upon removal of the water. When colloidal silica is also added to the mixture before homogenization, the final hatex yields a reinforced elastomer upon removal of the water,",DOW CORNING CORPORATION,"BAUMAN, THERESE MARIE;;HUEBNER, DAVID JOEL",,https://lens.org/125-540-989-971-861,Search Report,yes,2,0,15,15,0,C08J3/03;;C08J2383/04;;C08K5/41;;C08K5/42;;C08J3/22;;C08G77/08;;C08J3/03;;C08K5/42;;C08K5/41;;C08J2383/04,C08L83/04;;C08J3/02;;C08J3/03;;C08J9/12;;C08K5/41;;C08K5/42;;C08L83/00,,1,1,177-780-006-380-833,10.1002/pol.1982.170201209,"JOURNAL OF POLYMER SCIENCE. POLYMER CHEMISTRY EDITION, vol. 20, December 1982, pages 3351-3368, New York, US; J.C. SAAM et al.: ""Condensation polymerization of oligomeric polydimethylsiloxanols in aqueous emulsion""",EXPIRED
4,EP,A2,EP 0202679 A2,020-941-536-854-494,1986-11-26,1986,EP 86106952 A,1986-05-22,US 73760085 A,1985-05-24,Method of producing aqueous latex of crosslinked polydiorganosiloxane.,"A method of producing an emulsion of crosslinked polydiorganosiloxane admixes hydroxyl endblocked polydiorganosiloxane, alkoxy silicone compound; anionic emulsifying agent, and water. The mixture is homogenized, then the emulsion is admixed with surface active anionic catalyst. Maintaining the catalyzed emulsion, having a pH of less than 5, at room temperature allows the ingredients to react to raise the molecular weight of the polydiorganosiloxane and to crosslink the polymer. The reaction is halted by adding sufficient base to raise the pH to greater than 7. The resultant latex yields an elastomer upon removal of the water. When colloidal silica is also added to the mixture before homogenization, the final hatex yields a reinforced elastomer upon removal of the water,",DOW CORNING,BAUMAN THERESE MARIE;;HUEBNER DAVID JOEL,,https://lens.org/020-941-536-854-494,Patent Application,yes,0,9,15,15,0,C08J3/03;;C08J2383/04;;C08K5/41;;C08K5/42;;C08J3/22;;C08G77/08;;C08J3/03;;C08K5/42;;C08K5/41;;C08J2383/04,C08L83/04;;C08J3/02;;C08J3/03;;C08J9/12;;C08K5/41;;C08K5/42;;C08L83/00,,0,0,,,,EXPIRED
5,AU,B2,AU 582241 B2,113-300-770-805-721,1989-03-16,1989,AU 1986/057855 A,1986-05-23,US 73760085 A,1985-05-24,AQUEOUSLATEX OF CROSSLINKED POLYDIORGANOSILOXANE,,DOW CORNING,BAUMAN THERESE MARIE;;HUEBNER DAVID JOEL,,https://lens.org/113-300-770-805-721,Granted Patent,no,3,0,15,15,0,C08J3/03;;C08J2383/04;;C08K5/41;;C08K5/42;;C08J3/22;;C08G77/08;;C08J3/03;;C08K5/42;;C08K5/41;;C08J2383/04,C08L83/04;;C08J3/02;;C08J3/03;;C08J9/12;;C08K5/41;;C08K5/42;;C08L83/00,,0,0,,,,EXPIRED
6,AU,A,AU 1986/057855 A,136-355-914-289-66X,1986-11-27,1986,AU 1986/057855 A,1986-05-23,US 73760085 A,1985-05-24,AQUEOUSLATEX OF CROSSLINKED POLYDIORGANOSILOXANE,,DOW CORNING,BAUMAN THERESE MARIE;;HUEBNER DAVID JOEL,,https://lens.org/136-355-914-289-66X,Patent Application,no,0,1,15,15,0,C08J3/03;;C08J2383/04;;C08K5/41;;C08K5/42;;C08J3/22;;C08G77/08;;C08J3/03;;C08K5/42;;C08K5/41;;C08J2383/04,C08L83/04;;C08J3/02;;C08J3/03;;C08J9/12;;C08K5/41;;C08K5/42;;C08L83/00,,0,0,,,,EXPIRED
7,DE,T2,DE 3689130 T2,033-792-586-977-72X,1994-03-03,1994,DE 3689130 T,1986-05-22,US 73760085 A,1985-05-24,Verfahren zur Herstellung von wässrigem Latex aus vernetztem Polydiorganosiloxan.,,DOW CORNING,BAUMAN THERESE MARIE;;HUEBNER DAVID JOEL,,https://lens.org/033-792-586-977-72X,Granted Patent,no,0,0,15,15,0,C08J3/03;;C08J2383/04;;C08K5/41;;C08K5/42;;C08J3/22;;C08G77/08;;C08J3/03;;C08K5/42;;C08K5/41;;C08J2383/04,C08L83/04;;C08J3/02;;C08J3/03;;C08J9/12;;C08K5/41;;C08K5/42;;C08L83/00,,0,0,,,,EXPIRED
8,DE,D1,DE 3689130 D1,068-977-596-799-235,1993-11-11,1993,DE 3689130 T,1986-05-22,US 73760085 A,1985-05-24,Verfahren zur Herstellung von wässrigem Latex aus vernetztem Polydiorganosiloxan.,,DOW CORNING,BAUMAN THERESE MARIE;;HUEBNER DAVID JOEL,,https://lens.org/068-977-596-799-235,Granted Patent,no,0,0,15,15,0,C08J3/03;;C08J2383/04;;C08K5/41;;C08K5/42;;C08J3/22;;C08G77/08;;C08J3/03;;C08K5/42;;C08K5/41;;C08J2383/04,C08L83/04;;C08J3/02;;C08J3/03;;C08J9/12;;C08K5/41;;C08K5/42;;C08L83/00,,0,0,,,,EXPIRED
9,WO,A1,WO 2019/070860 A1,024-239-577-693-274,2019-04-11,2019,US 2018/0054171 W,2018-10-03,US 201762567973 P,2017-10-04,INTERACTION PERSONALIZATION SYSTEM AND METHOD,"A computer-implemented method, computer program product and computing system for rendering an initial item; receiving a selection command concerning the initial item from a user; selecting a preferred response item, chosen from a plurality of response items defined for the initial item, wherein the preferred response item is associated with a path that is based, at least in part, upon one or more user criteria associated with the user; and rendering the preferred response item.",GAMALON INC,VIGODA BENJAMIN W;;BAUMAN JOEL;;KEARNEY GLYNNIS,,https://lens.org/024-239-577-693-274,Patent Application,yes,5,0,4,4,0,G06F3/167;;G06F16/90328;;G06F16/9038;;G06F16/904;;G06F3/0482;;G06F3/04817;;G06F3/04817;;G06F3/167;;G06F3/017;;G06F3/0482;;G06F16/9038;;G06F16/904;;G06F16/90328;;G06F3/0484,G06F3/048,,0,0,,,,PENDING
10,WO,A1,WO 2019/070855 A1,117-022-850-153-477,2019-04-11,2019,US 2018/0054163 W,2018-10-03,US 201762567973 P,2017-10-04,INTERACTION PERSONALIZATION SYSTEM AND METHOD,"A computer-implemented method, computer program product and computing system for rendering a result set; receiving a user input concerning a subgroup of items chosen from the result set; and processing the user input with respect to the subgroup of items to generate an output.",GAMALON INC,VIGODA BENJAMIN W;;BAUMAN JOEL;;KEARNEY GLYNNIS,,https://lens.org/117-022-850-153-477,Patent Application,yes,3,0,4,4,0,G06F3/167;;G06F16/90328;;G06F16/9038;;G06F16/904;;G06F3/0482;;G06F3/04817;;G06F3/04817;;G06F3/167;;G06F3/017;;G06F3/0482;;G06F16/9038;;G06F16/904;;G06F16/90328;;G06F3/0484,G06F17/00;;G06Q30/00,,0,0,,,,PENDING
