"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,EP,A1,EP 3527154 A1,125-861-998-717-889,2019-08-21,2019,EP 19158113 A,2019-02-19,US 201862632039 P,2018-02-19,SYSTEMS FOR ATTENUATION OF INCREASED SPINAL FLEXION LOADS POST-FUSION.,"Implementations described herein include devices and systems for attenuation of increased spinal flexion loads post-fusion that include a transition member. The transition member may have a tension component coupleable to a fused vertebra of a plurality of fused vertebra of a fusion implant and to an adjacent unfused vertebra. The tension component may be tensionable to a selected value. The tension component may modulate a flexion range of motion of the adjacent unfused vertebra as a function of the selected value of tension of the tension component. The transition member may attenuate spinal flexion loads on adjacent unfused vertebra post-operatively.
",ZIMMER BIOMET SPINE INC;;CARIDI JOHN,CARIDI JOHN;;GANDHI ANUP;;INZANA JASON;;CHO SAMUEL,,https://lens.org/125-861-998-717-889,Patent Application,yes,6,1,4,4,0,A61B17/7001;;A61B17/7002;;A61B17/7022;;A61B17/7031;;A61B17/7032;;A61B17/7043;;A61B17/7049;;A61B17/7053;;A61B17/7062;;A61B17/7067;;A61B17/707;;A61B17/8869;;A61B17/7011;;A61B17/7032;;A61B17/7053;;A61B17/7083;;A61B17/7067;;A61B17/7001;;A61B17/7031;;A61B17/7043;;A61B17/8869;;A61B17/707;;A61B17/7022;;A61B17/7062;;A61B17/7049;;A61B17/7002,A61B17/70;;A61B17/88,,0,0,,,,PENDING
2,US,B2,US 11344337 B2,021-818-420-730-521,2022-05-31,2022,US 201916275751 A,2019-02-14,US 201916275751 A;;US 201862632039 P,2018-02-19,Systems for attenuation of increased spinal flexion loads post-fusion and associated methods,Implementations described herein include devices and systems for attenuation of increased spinal flexion loads post-fusion that include a transition member. The transition member may have a tension component coupleable to a fused vertebra of a plurality of fused vertebra of a fusion implant and to an adjacent unfused vertebra. The tension component may be tensionable to a selected value. The tension component may modulate a flexion range of motion of the adjacent unfused vertebra as a function of the selected value of tension of the tension component. The transition member may attenuate spinal flexion loads on adjacent unfused vertebra post-operatively.,ZIMMER BIOMET SPINE INC,GANDHI ANUP;;INZANA JASON;;CARIDI JOHN;;CHO SAMUEL,ZIMMER BIOMET SPINE INC (2019-02-25),https://lens.org/021-818-420-730-521,Granted Patent,yes,13,0,4,4,0,A61B17/7001;;A61B17/7002;;A61B17/7022;;A61B17/7031;;A61B17/7032;;A61B17/7043;;A61B17/7049;;A61B17/7053;;A61B17/7062;;A61B17/7067;;A61B17/707;;A61B17/8869;;A61B17/7011;;A61B17/7032;;A61B17/7053;;A61B17/7083;;A61B17/7067;;A61B17/7001;;A61B17/7031;;A61B17/7043;;A61B17/8869;;A61B17/707;;A61B17/7022;;A61B17/7062;;A61B17/7049;;A61B17/7002,A61B17/70;;A61B17/88,,30,28,037-099-713-865-844;;022-220-601-688-000;;081-402-916-369-757;;100-923-757-200-030;;078-028-862-013-847;;013-824-245-864-776;;156-636-424-080-712;;107-388-179-787-599;;029-005-044-606-297;;043-181-288-698-802;;025-360-819-141-933;;016-328-215-050-591;;056-588-064-441-991;;138-089-379-431-815;;043-646-051-998-628;;077-834-298-493-703;;063-388-974-708-074;;050-242-546-672-243;;000-632-283-993-01X;;039-824-201-587-221;;032-807-813-409-152;;038-530-738-512-502;;013-314-033-776-424;;091-231-446-487-175;;032-218-814-300-575;;011-454-888-286-588;;029-048-685-584-745;;051-242-072-789-963,pmc3616458;;10.1007/s00586-013-2676-x;;23386280;;27927461;;10.1016/j.jspd.2014.09.054;;27611508;;10.3171/2016.6.spine151477;;10.1097/brs.0b013e318246d4f2;;22210013;;10.1097/brs.0000000000000222;;24480964;;pmc4744382;;10.1186/s12891-016-0927-9;;26850001;;25186826;;10.1007/s00586-014-3531-4;;10.1097/brs.0b013e3181ae2ab2;;19752692;;10.1097/01.brs.0000169451.76359.49;;16025035;;10.1097/brs.0b013e3181c77f8c;;20081513;;27217332;;10.1016/j.spinee.2016.05.008;;15626992;;10.1097/01.brs.0000148999.21492.53;;10.1007/s11999-011-2179-1;;pmc3348289;;22086507;;10.1097/brs.0000000000000246;;24480958;;22885829;;10.1097/brs.0b013e31826d611b;;10.1097/brs.0b013e31815a7ead;;18007253;;10.1097/01.brs.0000179084.45839.ad;;16166893;;10.1097/01.brs.0000144408.02918.20;;15543067;;25271516;;10.1097/brs.0000000000000627;;pmc5453693;;10.1371/journal.pone.0178733;;28570671;;2913665;;10.1097/00007632-198901000-00006;;10.1097/00007632-198812000-00011;;3212573;;pmc4868576;;27190735;;10.1055/s-0035-1563611;;10.1097/00007632-198205000-00003;;6214027;;27046638;;27831987;;10.1097/brs.0000000000001598;;10.1097/brs.0000000000000367;;24732851;;26909838;;10.1097/brs.0000000000001523;;22357097;;10.1097/brs.0b013e31824e4888,"“European Application Serial No. 19158113.1, Response filed Feb. 20, 2020 to Extended European Search Report dated Jul. 18, 2019”, 10 pages.;;“European Application Serial No. 19158113.1, Extended European Search Report dated Jul. 18, 2019”, 9 pgs.;;Arlet, V., et al., “Junctional spinal disorders in operated adult spinal deformities: present understanding and future perspectives”, Eur Spine J (2013) 22 (Suppl 2): S276-S295, (2013), 20 pgs.;;Aubin, Carl-Eric, et al., “Instrumentation Strategies to Reduce the Risks of Proximal Junctional Kyphosis in Adult Scoliosis: A Detailed Biomechanical Analysis”, Spine Deformity 3 (2015) 211e218, (2015), 8 pgs.;;Bess, Shay, et al., “The effect of posterior polyester tethers on the biomechanics of proximal junctional kyphosis: a finite element analysis”, J Neurosurg 2017; 26:125-133, (2016), 10 pgs.;;Cahill, Patrick J., et al., “The use of a transition rod may prevent proximal junctional kyphosis in the thoracic spine after scoliosis surgery: a finite element analysis”, Spine vol. 37, No. 12, E687-E695, (2012), 9 pgs.;;Cammarata, Marco, et al., “Biomechanical risk factors for proximal junctional kyphosis: a detailed numerical analysis of surgical instrumentation variables”, Spine vol. 39, No. 8, pp. E500-E507, (2014), 8 pgs.;;Cha, Jae-Ryong, et al., “Pedicle screw fixation and posterior fusion for lumbar degenerative diseases: effects on individual paraspinal muscles and lower back pain; a single-center, prospective study”, BMC Musculoskeletal Disorders (2016) 17:63, (2016), 8 pgs.;;Cho, Samuel K., “Proximal junctional kyphosis following adult spinal deformity surgery”, Eur Spine J (2014) 23:2726-2736, (2014), 11 pgs.;;Denis, Francis, et al., “Incidence and risk factors for proximal and distal junctional kyphosis following surgical treatment for Scheuermann kyphosis: minimum five-year follow-up”, Spine vol. 34, No. 20, pp. E729-E734, (2009), 6 pgs.;;Glattes, R. Chris, et al., “Proximal junctional kyphosis in adult spinal deformity following long instrumented posterior spinal fusion: incidence, outcomes, and risk factor analysis”, Spine vol. 30, No. 14, pp. 1632-1649, (2005), 7 pgs.;;Helgeson, Melvin D., “Evaluation of proximal junctional kyphosis in adolescent idiopathic scoliosis following pedicle screw, hook, or hybrid instrumentation”, Spine vol. 35, No. 2, pp. 177-181, (2010), 5 pgs.;;Hyun, Seung-Jae, et al., “Patients with proximal junctional kyphosis after stopping at thoracolumbar junction have lower muscularity, fatty degeneration at the thoracolumbar area”, Spine J 2016; 16:1095-1101, (2016), 7 pgs.;;Kim, Dong-Yun, “Comparison of multifidus muscle atrophy and trunk extension muscle strength: percutaneous versus open pedicle screw fixation”, Spine vol. 30, No. 1, pp. 123-129, (2004), 7 pgs.;;Kim, Han Jo, et al., “Combined anterior-posterior surgery is the most important risk factor for developing proximal junctional kyphosis in idiopathic scoliosis”, Clin Orthop Relat Res (2012) 470:1633-1639, (2012), 7 pgs.;;Kim, Han Jo, et al., “Patients with proximal junctional kyphosis requiring revision surgery have higher postoperative lumbar lordosis and larger sagittal balance corrections”, Spine vol. 39, No. 9, pp. E576-E580, (2014), 5 pgs.;;Kim, Han Jo, et al., “Proximal junctional kyphosis as a distinct form of adjacent segment pathology after spinal deformity surgery: a systematic review”, Spine vol. 37, No. 22S, pp. S144-S164, (2012), 21 pgs.;;Kim, Yongjung, et al., “Proximal junctional kyphosis in adolescent idiopathic scoliosis after 3 different types of posterior segmental spinal instrumentation and fusions: incidence and risk factor analysis of 410 cases”, Spine vol. 32, No. 24, pp. 2731-2738, (2007), 8 pgs.;;Kim, Yongjung, et al., “Proximal junctional kyphosis in adolescent idiopathic scoliosis following segmental posterior spinal instrumentation and fusion: minimum 5-year follow-up”, Spine vol. 30, No. 18, pp. 2045-2050, (2005), 6 pgs.;;Lai, Po-Liang, et al., “Relation between laminectomy and development of adjacent segment instability after lumbar fusion with pedicle fixation”, Spine vol. 29, No. 22, pp. 2527-2532, (2004), 6 pgs.;;Lau, Darryl, et al., “Proximal junctional kyphosis and failure after spinal deformity surgery: a systematic review of the literature as a background to classification development”, Spine vol. 39, No. 25, pp. 2093-2102, (2014), 10 pgs.;;Liebsch, Christian, et al., “The rib cage stabilizes the human thoracic spine: An in vitro study using stepwise reduction of rib cage structures”, PloS one 2017; 12: e0178733, (2017), 13 pgs.;;Mayer, Tom G., et al., “Comparison of CT scan muscle measurements and isokinetic trunk strength in postoperative patients”, Spine 1989; 14:33-36, (1989), 4 pgs.;;McGill, Stuart M., “Estimation of force and extensor moment contributions of the disc and ligaments at L4-L5”, Spine 1988; 13:1395-1402, (1988), 8 pgs.;;Metzger, Melodie F., et al., “Biomechanical Analysis of the Proximal Adjacent Segment after Multilevel Instrumentation of the Thoracic Spine: Do Hooks Ease the Transition?”, Global Spine J 2016;6:335-343., (2016), 9 pgs.;;Panjabi, Manohar, et al., “Physiologic strains in the lumbar spinal ligaments. An in vitro biomechanical study 1981 Volvo Award in Biomechanics”, Spine 1982; 7:192-203, (1982), 12 pgs.;;Scheer, Justin, et al., “Development of Validated Computer-based Preoperative Predictive Model for Proximal Junction Failure (PJF) or Clinically Significant PJK with 86% Accuracy Based on 510 ASD Patients With 2-year Follow-up”, Spine 2016; 41: E1328-E1335, (2016), 8 pgs.;;Thawrani, Dinesh P., et al., “Transverse process hooks at upper instrumented vertebra provide more gradual motion transition than pedicle screws”, Spine vol. 39, No. 14, pp. E826-E832, (2014), 7 pgs.;;Theologis, Alexander A., et al., “Economic Impact of Revision Surgery for Proximal Junctional Failure After Adult Spinal Deformity Surgery: A Cost Analysis of 57 Operations in a 10-year Experience at a Major Deformity Center”, Spine vol. 41, No. 16, pp. E964-E972, (2016), 9 pgs.;;Yagi, Mitsuru, et al., “Incidence, risk factors, and natural course of proximal junctional kyphosis: surgical outcomes review of adult idiopathic scoliosis. Minimum 5 years of follow-up”, Spine vol. 37, No. 17, pp. 1479-1489, (2012), 11 pgs.",ACTIVE
3,US,A1,US 2019/0254719 A1,039-058-541-957-006,2019-08-22,2019,US 201916275751 A,2019-02-14,US 201916275751 A;;US 201862632039 P,2018-02-19,SYSTEMS FOR ATTENUATION OF INCREASED SPINAL FLEXION LOADS POST-FUSION AND ASSOCIATED METHODS,Implementations described herein include devices and systems for attenuation of increased spinal flexion loads post-fusion that include a transition member. The transition member may have a tension component coupleable to a fused vertebra of a plurality of fused vertebra of a fusion implant and to an adjacent unfused vertebra. The tension component may be tensionable to a selected value. The tension component may modulate a flexion range of motion of the adjacent unfused vertebra as a function of the selected value of tension of the tension component. The transition member may attenuate spinal flexion loads on adjacent unfused vertebra post-operatively.,ZIMMER BIOMET SPINE INC,GANDHI ANUP;;INZANA JASON;;CARIDI JOHN;;CHO SAMUEL,ZIMMER BIOMET SPINE INC (2019-02-25),https://lens.org/039-058-541-957-006,Patent Application,yes,0,11,4,4,0,A61B17/7001;;A61B17/7002;;A61B17/7022;;A61B17/7031;;A61B17/7032;;A61B17/7043;;A61B17/7049;;A61B17/7053;;A61B17/7062;;A61B17/7067;;A61B17/707;;A61B17/8869;;A61B17/7011;;A61B17/7032;;A61B17/7053;;A61B17/7083;;A61B17/7067;;A61B17/7001;;A61B17/7031;;A61B17/7043;;A61B17/8869;;A61B17/707;;A61B17/7022;;A61B17/7062;;A61B17/7049;;A61B17/7002,A61B17/70,,0,0,,,,ACTIVE
4,US,A1,US 2022/0233217 A1,011-170-453-135-444,2022-07-28,2022,US 202217723753 A,2022-04-19,US 202217723753 A;;US 201916275751 A;;US 201862632039 P,2018-02-19,SYSTEMS FOR ATTENUATION OF INCREASED SPINAL FLEXION LOADS POST-FUSION AND ASSOCIATED METHODS,Implementations described herein include devices and systems for attenuation of increased spinal flexion loads post-fusion that include a transition member. The transition member may have a tension component coupleable to a fused vertebra of a plurality of fused vertebra of a fusion implant and to an adjacent unfused vertebra. The tension component may be tensionable to a selected value. The tension component may modulate a flexion range of motion of the adjacent unfused vertebra as a function of the selected value of tension of the tension component. The transition member may attenuate spinal flexion loads on adjacent unfused vertebra post-operatively.,ZIMMER BIOMET SPINE INC,GANDHI ANUP;;INZANA JASON;;CARIDI JOHN;;CHO SAMUEL,ZIMMER BIOMET SPINE INC (2019-02-25),https://lens.org/011-170-453-135-444,Patent Application,yes,0,0,4,4,0,A61B17/7001;;A61B17/7002;;A61B17/7022;;A61B17/7031;;A61B17/7032;;A61B17/7043;;A61B17/7049;;A61B17/7053;;A61B17/7062;;A61B17/7067;;A61B17/707;;A61B17/8869;;A61B17/7011;;A61B17/7032;;A61B17/7053;;A61B17/7083;;A61B17/7067;;A61B17/7001;;A61B17/7031;;A61B17/7043;;A61B17/8869;;A61B17/707;;A61B17/7022;;A61B17/7062;;A61B17/7049;;A61B17/7002,A61B17/70;;A61B17/88,,0,0,,,,PENDING
5,AU,A,AU 1989/038226 A,179-729-621-465-547,1989-10-26,1989,AU 1989/038226 A,1989-07-18,US 70670885 A,1985-02-28,METERED CHARGE SEMI AUTOMATIC PRODUCTION,,ENGELHARD CORP,SHIMROCK THOMAS;;KOUBEK MICHAEL G;;COLLINS JOHN M;;CARIDI THEODORE M;;ROSYNSKY VICTOR,,https://lens.org/179-729-621-465-547,Patent Application,no,0,0,18,18,0,B01J37/0215;;Y10S502/514;;B01J37/02;;B01J37/0215;;Y10S502/514,B05D1/30;;B01J37/02;;B05C3/02;;B05C7/04;;B05C11/10;;B05D1/18,,0,0,,,,EXPIRED
6,AU,B2,AU 590541 B2,059-422-452-127-979,1989-11-09,1989,AU 1986/054155 A,1986-02-27,US 70670885 A,1985-02-28,APPLICATION OF CATALYST INSIDE A HOLLOW SUBSTRATE,"Method and apparatus for coating catalytic converter substrates with an exact amount of a precious metal. In the course of operation of the apparatus, a hollow substrate to be treated having opposed open ends is transferred from a starting location such that one end is lowered into a dip pan into which has been introduced a predetermined amount of slurry material containing the precious metal. With the one end immersed in the slurry, a vacuum placed on the other end of the substrate draws up the entire charge of slurry from the dip pan to coat the lower portion of the substrate. Thereafter, the substrate is raised from the dip pan. The vacuum continues to operate to cause the coating to be evenly distributed on all the interior surfaces of the substrate. Then the substrate is rotated and again lowered so that the other end is immersed in another predetermined charge of the slurry and the process is repeated. Thereupon, the substrate is again raised from the dip pan. Again, the vacuum continues to operate for a predetermined period of time to assure even distribution of the coating. Then the substrate is again rotated to its original orientation, and returned to its starting location.",ENGELHARD CORP,SHIMROCK THOMAS;;ROSYNSKY VICTOR;;CARIDI THEODORE M;;COLLINS JOHN M;;KOUBEK MICHAEL G,,https://lens.org/059-422-452-127-979,Granted Patent,no,3,0,18,18,0,B01J37/0215;;Y10S502/514;;B01J37/02;;B01J37/0215;;Y10S502/514,B05D1/30;;B01J37/02;;B05C3/02;;B05C7/04;;B05C11/10;;B05D1/18,,0,0,,,,EXPIRED
7,US,A,US 4609563 A,091-903-174-647-049,1986-09-02,1986,US 70670885 A,1985-02-28,US 70670885 A,1985-02-28,Metered charge system for catalytic coating of a substrate,"Method and apparatus for coating catalytic converter substrates with an exact amount of a precious metal. In the course of operation of the apparatus, a hollow substrate to be treated having opposed open ends is transferred from a starting location such that one end is lowered into a dip pan into which has been introduced a predetermined amount of slurry material containing the precious metal. With the one end immersed in the slurry, a vacuum placed on the other end of the substrate draws up the entire charge of slurry from the dip pan to coat the lower portion of the substrate. Thereafter, the substrate is raised from the dip pan. The vacuum continues to operate to cause the coating to be evenly distributed on all the interior surfaces of the substrate. Then the substrate is rotated and again lowered so that the other end is immersed in another predetermined charge of the slurry and the process is repeated. Thereupon, the substrate is again raised from the dip pan. Again, the vacuum continues to operate for a predetermined period of time to assure even distribution of the coating. Then the substrate is again rotated to its original orientation, and returned to its starting location.",ENGELHARD CORP,SHIMROCK THOMAS;;ROSYNSKY VICTOR;;CARIDI THEODORE M;;COLLINS JOHN M;;KOUBEK MICHAEL G,ENGELHARD CORPORATION (1985-02-21),https://lens.org/091-903-174-647-049,Granted Patent,yes,11,173,18,18,0,B01J37/0215;;Y10S502/514;;B01J37/02;;B01J37/0215;;Y10S502/514,B01J37/02;;B05C3/02;;B05C7/04;;B05C11/10;;B05D1/30;;B05D1/18,427/8;;118/50;;118/50.1;;427/238;;427/243;;427/294;;427/443.2;;502/439;;502/514,0,0,,,,EXPIRED
8,DE,D1,DE 3680025 D1,180-617-028-741-511,1991-08-08,1991,DE 3680025 T,1986-02-27,US 70670885 A,1985-02-28,VERFAHREN ZUM AUFBRINGEN EINER VORBESTIMMTEN MENGE EINES KATALYSATORS AUF DIE INNERE OBERFLAECHE EINES HOHLEN SUBSTRATS.,"Method and apparatus for coating catalytic converter substrates with an exact amount of a precious metal. In the course of operation of the apparatus, a hollow substrate to be treated having opposed open ends is transferred from a starting location such that one end is lowered into a dip pan into which has been introduced a predetermined amount of slurry material containing the precious metal. With the one end immersed in the slurry, a vacuum placed on the other end of the substrate draws up the entire charge of slurry from the dip pan to coat the lower portion of the substrate. Thereafter, the substrate is raised from the dip pan. The vacuum continues to operate to cause the coating to be evenly distributed on all the interior surfaces of the substrate. Then the substrate is rotated and again lowered so that the other end is immersed in another predetermined charge of the slurry and the process is repeated. Thereupon, the substrate is again raised from the dip pan. Again, the vacuum continues to operate for a predetermined period of time to assure even distribution of the coating. Then the substrate is again rotated to its original orientation, and returned to its starting location.",ENGELHARD CORP,SHIMROCK THOMAS;;CARIDI THEODORE M;;KOUBEK MICHAEL G;;ROSYNSKY VICTOR;;COLLINS JOHN M,,https://lens.org/180-617-028-741-511,Granted Patent,no,0,0,18,18,0,B01J37/0215;;Y10S502/514;;B01J37/02;;B01J37/0215;;Y10S502/514,B01J37/02;;B05C3/02;;B05D1/30;;B05C7/04;;B05C11/10;;B05D1/18,,0,0,,,,EXPIRED
9,AU,A,AU 1986/054155 A,012-370-313-474-738,1986-09-04,1986,AU 1986/054155 A,1986-02-27,US 70670885 A,1985-02-28,APPLICATION OF CATALYST INSIDE A HOLLOW SUBSTRATE,,ENGELHARD CORP,SHIMROCK THOMAS;;ROSYNSKY VICTOR;;CARIDI THEODORE M;;COLLINS JOHN M;;ROUBEK MICHAEL G,,https://lens.org/012-370-313-474-738,Patent Application,no,0,1,18,18,0,B01J37/0215;;Y10S502/514;;B01J37/02;;B01J37/0215;;Y10S502/514,B05D1/30;;B01J37/02;;B05C3/02;;B05C7/04;;B05C11/10;;B05D1/18,,0,0,,,,EXPIRED
10,EP,B1,EP 0202733 B1,131-370-843-742-685,1991-07-03,1991,EP 86301418 A,1986-02-27,US 70670885 A,1985-02-28,PROCESS FOR APPLYING A PREDETERMINED AMOUNT OF CATALYST TO THE INTERIOR SURFACES OF A HOLLOW SUBSTRATE,"Method and apparatus for coating catalytic converter substrates with an exact amount of a precious metal. In the course of operation of the apparatus, a hollow substrate to be treated having opposed open ends is transferred from a starting location such that one end is lowered into a dip pan into which has been introduced a predetermined amount of slurry material containing the precious metal. With the one end immersed in the slurry, a vacuum placed on the other end of the substrate draws up the entire charge of slurry from the dip pan to coat the lower portion of the substrate. Thereafter, the substrate is raised from the dip pan. The vacuum continues to operate to cause the coating to be evenly distributed on all the interior surfaces of the substrate. Then the substrate is rotated and again lowered so that the other end is immersed in another predetermined charge of the slurry and the process is repeated. Thereupon, the substrate is again raised from the dip pan. Again, the vacuum continues to operate for a predetermined period of time to assure even distribution of the coating. Then the substrate is again rotated to its original orientation, and returned to its starting location.",ENGELHARD CORPORATION,"SHIMROCK, THOMAS;;CARIDI, THEODORE M.;;KOUBEK, MICHAEL G.;;ROSYNSKY, VICTOR;;COLLINS, JOHN M.",,https://lens.org/131-370-843-742-685,Granted Patent,yes,4,2,18,18,0,B01J37/0215;;Y10S502/514;;B01J37/02;;B01J37/0215;;Y10S502/514,B01J37/02;;B05C3/02;;B05D1/30;;B05C7/04;;B05C11/10;;B05D1/18,,0,0,,,,EXPIRED
