"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,AT,T1,AT E362353 T1,045-380-541-648-273,2007-06-15,2007,AT 00957633 T,2000-08-21,US 38975899 A;;US 6581698 A,1998-04-23,GELENKIGES WIRBELSÄULENIMPLANTAT,"A spinal implant for intervertebral disc replacement. The implant is formed from two hemicylindrical elements, each engaging one of an adjacent pair of vertebrae. An articulating ball-and-socket joint between the two elements resists compression and lateral movement between the vertebrae, but allows pivotal movement, thereby preserving mobility. Fusion chambers are provided for allowing bone ingrowth to fuse the elements to the vertebrae. Biocompatible, bioreabsorbable struts, shims, fillers and/or end caps are provided for temporary stabilization of the first and second hemicylindrical elements. Bone chips removed from the vertebrae during implantation or bone growth stimulators can be inserted into the fusion chamber or otherwise applied to the implant to enhance bone ingrowth.",WARSAW ORTHOPEDIC INC,CAUTHEN JOSEPH,,https://lens.org/045-380-541-648-273,Granted Patent,no,0,0,15,26,0,A61B17/1604;;A61B17/1671;;A61F2/30724;;A61F2/30744;;A61F2/30767;;A61F2/442;;A61F2/4425;;A61F2/446;;A61F2/4611;;A61F2002/2817;;A61F2002/2821;;A61F2002/2835;;A61F2002/30062;;A61F2002/30232;;A61F2002/30329;;A61F2002/30385;;A61F2002/30387;;A61F2002/3039;;A61F2002/30393;;A61F2002/30397;;A61F2002/30515;;A61F2002/30649;;A61F2002/30662;;A61F2002/30663;;A61F2002/30672;;A61F2002/30785;;A61F2002/30787;;A61F2002/3081;;A61F2002/30827;;A61F2002/3085;;A61F2002/30879;;A61F2002/30934;;A61F2002/30975;;A61F2002/443;;A61F2210/0004;;A61F2220/0025;;A61F2230/0069;;A61F2310/00017;;A61F2310/00023;;A61F2310/00029;;A61F2310/00059;;A61F2310/00239;;A61F2310/00293;;A61F2310/00401;;A61F2310/00407;;A61F2310/00413;;A61F2310/00449;;A61F2310/00634;;A61F2002/30593;;A61B17/1671;;A61F2310/00023;;A61F2002/443;;A61F2002/30787;;A61F2002/30879;;A61F2/30744;;A61F2002/30649;;A61F2002/30397;;A61F2002/2817;;A61F2/30767;;A61F2002/30385;;A61F2002/30387;;A61F2002/30663;;A61F2310/00017;;A61F2002/2821;;A61F2310/00239;;A61F2/4611;;A61F2002/3039;;A61F2/4425;;A61F2002/2835;;A61F2002/30062;;A61F2002/30393;;A61F2002/3085;;A61F2002/30515;;A61F2310/00407;;A61F2002/30827;;A61F2/30724;;A61F2002/30232;;A61F2002/30975;;A61F2210/0004;;A61F2002/3081;;A61F2310/00413;;A61F2310/00634;;A61F2002/30329;;A61F2002/30662;;A61F2310/00401;;A61F2/446;;A61F2002/30785;;A61F2310/00059;;A61F2230/0069;;A61F2310/00449;;A61F2/442;;A61F2002/30934;;A61F2220/0025;;A61F2310/00293;;A61B17/1604;;A61F2002/30672;;A61F2310/00029;;A61F2002/30593,A61F2/44;;A61B17/16;;A61F2/00;;A61F2/02;;A61F2/28;;A61F2/30;;A61F2/46,,0,0,,,,EXPIRED
2,AT,T1,AT E401847 T1,076-752-502-973-523,2008-08-15,2008,AT 00973619 T,2000-10-17,US 16071099 P;;US 48470600 A,1999-10-20,STENT FÜR EINEN BANDSCHEIBENANNULUS,"A surgical method of repair and reconstruction of the spinal disc wall (annulus) after surgical invasion or pathologic rupture, incorporating suture closure, or stent insertion and fixation, designed to reduce the failure rate of conventional surgical procedures on the spinal discs. The design of the spinal disc annulus stent allows ingrowth of normal cells of healing in an enhanced fashion strengthening the normal reparative process.",ANULEX TECHNOLOGIES INC,CAUTHEN JOSEPH,,https://lens.org/076-752-502-973-523,Granted Patent,no,0,0,12,154,0,A61B17/04;;A61B17/06166;;A61B17/0642;;A61B17/86;;A61B2017/00004;;A61B2017/06176;;A61B2017/0641;;A61B2017/0647;;A61B2017/0648;;A61F2/0063;;A61F2/30907;;A61F2/441;;A61F2/442;;A61F2/4601;;A61F2/4611;;A61F2002/2817;;A61F2002/30062;;A61F2002/30158;;A61F2002/30299;;A61F2002/30579;;A61F2002/30777;;A61F2002/30784;;A61F2002/30841;;A61F2002/4435;;A61F2002/444;;A61F2002/4627;;A61F2210/0004;;A61F2210/0019;;A61F2230/0026;;A61F2230/0093;;A61F2310/00011;;Y10S623/902;;Y10S606/907;;A61F2002/30092,A61B17/56;;A61B17/00;;A61B17/04;;A61B17/06;;A61B17/064;;A61B17/70;;A61B17/86;;A61B17/88;;A61F2/00;;A61F2/02;;A61F2/28;;A61F2/30;;A61F2/44;;A61F2/46;;H04N5/44,,0,0,,,,EXPIRED
3,AU,B2,AU 777480 B2,123-314-476-330-198,2004-10-21,2004,AU 2001/041788 A,2001-02-27,US 51395400 A;;US 0106193 W,2000-02-28,Articulating spinal implant,,SDGI HOLDINGS INC,CAUTHEN JOSEPH C,,https://lens.org/123-314-476-330-198,Granted Patent,no,2,0,6,6,0,A61F2/4425;;A61F2/442;;A61F2/4611;;A61F2002/2817;;A61F2002/2835;;A61F2002/30125;;A61F2002/30179;;A61F2002/3021;;A61F2002/30232;;A61F2002/30378;;A61F2002/30385;;A61F2002/30387;;A61F2002/30393;;A61F2002/30397;;A61F2002/30507;;A61F2002/30515;;A61F2002/30593;;A61F2002/30662;;A61F2002/30663;;A61F2002/30785;;A61F2002/30787;;A61F2002/3085;;A61F2002/30873;;A61F2002/30975;;A61F2002/448;;A61F2220/0025;;A61F2220/0033;;A61F2230/0008;;A61F2230/0058;;A61F2230/0067;;A61F2230/0069;;A61F2310/00017;;A61F2310/00023;;A61F2310/00029;;A61F2310/00239,A61F2/00;;A61F2/28;;A61F2/30;;A61F2/44;;A61F2/46,,0,0,,,,EXPIRED
4,AU,C,AU 775881 C,011-750-204-198-71X,2001-04-30,2001,AU 2001/012114 A,2000-10-17,US 16071099 P;;US 48470600 A;;US 0028756 W,1999-10-20,Spinal disc annulus reconstruction method and spinal disc annulus stent,"A surgical method of repair and reconstruction of the spinal disc wall (annulus) after surgical invasion or pathologic rupture, incorporating suture closure, or stent insertion and fixation, designed to reduce the failure rate of conventional surgical procedures on the spinal discs. The design of the spinal disc annulus stent allows ingrowth of normal cells of healing in an enhanced fashion strengthening the normal reparative process.",ANULEX TECHNOLOGIES INC,CAUTHEN JOSEPH C,,https://lens.org/011-750-204-198-71X,Amended Patent,no,3,0,12,154,0,A61B17/04;;A61B17/06166;;A61B17/0642;;A61B17/86;;A61B2017/00004;;A61B2017/06176;;A61B2017/0641;;A61B2017/0647;;A61B2017/0648;;A61F2/0063;;A61F2/30907;;A61F2/441;;A61F2/442;;A61F2/4601;;A61F2/4611;;A61F2002/2817;;A61F2002/30062;;A61F2002/30158;;A61F2002/30299;;A61F2002/30579;;A61F2002/30777;;A61F2002/30784;;A61F2002/30841;;A61F2002/4435;;A61F2002/444;;A61F2002/4627;;A61F2210/0004;;A61F2210/0019;;A61F2230/0026;;A61F2230/0093;;A61F2310/00011;;Y10S623/902;;Y10S606/907;;A61F2002/30092,A61B17/56;;A61B17/00;;A61B17/04;;A61B17/06;;A61B17/064;;A61B17/70;;A61B17/86;;A61B17/88;;A61F2/00;;A61F2/02;;A61F2/28;;A61F2/30;;A61F2/44;;A61F2/46;;H04N5/44,,0,0,,,,EXPIRED
5,US,A,US 6019792 A,057-709-660-762-825,2000-02-01,2000,US 6581698 A,1998-04-23,US 6581698 A;;US 38975899 A,1998-04-23,Articulating spinal implant,"A spinal implant for intervertebral disc replacement. The implant is formed from two hemicylindrical elements, each engaging one of an adjacent pair of vertebrae. An articulating ball-and-socket joint between the two elements resists compression and lateral movement between the vertebrae, but allows pivotal movement, thereby preserving mobility. Fusion chambers are provided for allowing bone ingrowth to fuse the elements to the vertebrae. Biocompatible, bioreabsorbable struts, shims, fillers and/or end caps are provided for temporary stabilization of the first and second hemicylindrical elements. Bone chips removed from the vertebrae during implantation or bone growth stimulators can be inserted into the fusion chamber or otherwise applied to the implant to enhance bone ingrowth.",CAUTHEN RESEARCH GROUP INC,CAUTHEN JOSEPH C,SDGI HOLDINGS INC (2001-06-20);;CAUTHEN RESEARCH GROUP INC (1998-04-16),https://lens.org/057-709-660-762-825,Granted Patent,yes,42,1047,15,26,0,A61B17/1604;;A61B17/1671;;A61F2/30724;;A61F2/30744;;A61F2/30767;;A61F2/442;;A61F2/4425;;A61F2/446;;A61F2/4611;;A61F2002/2817;;A61F2002/2821;;A61F2002/2835;;A61F2002/30062;;A61F2002/30232;;A61F2002/30329;;A61F2002/30385;;A61F2002/30387;;A61F2002/3039;;A61F2002/30393;;A61F2002/30397;;A61F2002/30515;;A61F2002/30649;;A61F2002/30662;;A61F2002/30663;;A61F2002/30672;;A61F2002/30785;;A61F2002/30787;;A61F2002/3081;;A61F2002/30827;;A61F2002/3085;;A61F2002/30879;;A61F2002/30934;;A61F2002/30975;;A61F2002/443;;A61F2210/0004;;A61F2220/0025;;A61F2230/0069;;A61F2310/00017;;A61F2310/00023;;A61F2310/00029;;A61F2310/00059;;A61F2310/00239;;A61F2310/00293;;A61F2310/00401;;A61F2310/00407;;A61F2310/00413;;A61F2310/00449;;A61F2310/00634;;A61F2002/30593;;A61B17/1671;;A61F2310/00023;;A61F2002/443;;A61F2002/30787;;A61F2002/30879;;A61F2/30744;;A61F2002/30649;;A61F2002/30397;;A61F2002/2817;;A61F2/30767;;A61F2002/30385;;A61F2002/30387;;A61F2002/30663;;A61F2310/00017;;A61F2002/2821;;A61F2310/00239;;A61F2/4611;;A61F2002/3039;;A61F2/4425;;A61F2002/2835;;A61F2002/30062;;A61F2002/30393;;A61F2002/3085;;A61F2002/30515;;A61F2310/00407;;A61F2002/30827;;A61F2/30724;;A61F2002/30232;;A61F2002/30975;;A61F2210/0004;;A61F2002/3081;;A61F2310/00413;;A61F2310/00634;;A61F2002/30329;;A61F2002/30662;;A61F2310/00401;;A61F2/446;;A61F2002/30785;;A61F2310/00059;;A61F2230/0069;;A61F2310/00449;;A61F2/442;;A61F2002/30934;;A61F2220/0025;;A61F2310/00293;;A61B17/1604;;A61F2002/30672;;A61F2310/00029;;A61F2002/30593,A61F2/44;;A61B17/16;;A61F2/00;;A61F2/02;;A61F2/28;;A61F2/30;;A61F2/46,623/17,9,2,020-384-720-443-40X;;025-082-371-738-75X,8799500;;10.1016/0142-9612(96)84936-2;;9474724;;10.1097/00007632-199801150-00008,"The American Association of Neurological Surgeons Understanding Problems with Your Cervical Spine (1996).;;Centrax Bipolar System Simple & Complete, How Medica (1988, 1993).;;Bioreabsorable Implants Applcations in Anterior Cruciate Ligament Reconstruction (Author & date unknown).;;You Have Questions About Bioabsorable Implants , Instrument Makar, Inc. (date unknown).;;Bao & Yuan, The Artificial Disc, Science & Medicine Jan./Feb. 1998, vol. 5, No. 1.;;Biomaterials 1996, vol. 17 No. 12 The Artificial Disc: Theory, Design and Materials, by Qi Bin Bao, et al. .;;Treating Neck and Arm Pain and Weakness Cervical Disk Surgery, Krames Comm. (1990).;;Krames Communications, Neck Owner s Manual, 1995, all pages (1 16).;;Cauthen, et al. SPINE, Outcome Analysis of Nonistrumented Anterior Cervical Discectomy and Interbody Fusion in 348 Patients, SPINE vol. 23, No. 2, pp. 188 192 (1998).",EXPIRED
6,US,B2,US 6997956 B2,052-586-645-324-377,2006-02-14,2006,US 39272903 A,2003-03-19,US 39272903 A;;US 94707801 A;;US 48470600 A;;US 16071099 P,1999-10-20,Spinal disc annulus reconstruction method and spinal disc annulus stent,"A surgical method of repair and reconstruction of the spinal disc wall (annulus) after surgical invasion or pathologic rupture, incorporating suture closure, or stent insertion and fixation, designed to reduce the failure rate of conventional surgical procedures on the spinal discs. The design of the spinal disc annulus stent allows ingrowth of normal cells of healing in an enhanced fashion strengthening the normal reparative process.",ANULEX TECHNOLOGIES INC,CAUTHEN JOSEPH C,KRT INVESTORS INC (2013-12-27),https://lens.org/052-586-645-324-377,Granted Patent,yes,104,83,33,154,0,A61B17/04;;A61B17/06166;;A61B17/0642;;A61B17/86;;A61B2017/00004;;A61B2017/06176;;A61B2017/0641;;A61B2017/0647;;A61B2017/0648;;A61F2/0063;;A61F2/30907;;A61F2/441;;A61F2/442;;A61F2/4601;;A61F2/4611;;A61F2002/2817;;A61F2002/30062;;A61F2002/30158;;A61F2002/30299;;A61F2002/30579;;A61F2002/30777;;A61F2002/30784;;A61F2002/30841;;A61F2002/4435;;A61F2002/444;;A61F2002/4627;;A61F2210/0004;;A61F2210/0019;;A61F2230/0026;;A61F2230/0093;;A61F2310/00011;;Y10S606/907;;Y10S623/902;;A61F2002/30092;;A61F2/4611;;A61F2/0063;;A61F2002/30777;;A61B2017/06176;;A61F2/4601;;A61F2002/30841;;A61B2017/00004;;A61F2002/30579;;A61F2/442;;A61F2002/30784;;A61B17/0642;;A61F2002/30158;;A61F2002/444;;A61F2230/0093;;A61F2002/30062;;A61F2002/30299;;A61F2210/0019;;A61F2230/0026;;A61B2017/0641;;A61F2002/2817;;A61F2/30907;;A61F2/441;;A61B2017/0648;;A61F2002/4435;;Y10S623/902;;A61F2210/0004;;Y10S606/907;;A61B17/86;;A61F2002/4627;;A61F2310/00011;;A61B2017/0647;;A61B17/06166;;A61B17/04;;A61F2002/30092,A61B17/56;;A61B17/00;;A61F2/44;;A61B17/04;;A61B17/06;;A61B17/064;;A61B17/70;;A61B17/86;;A61B17/88;;A61F2/00;;A61F2/02;;A61F2/28;;A61F2/30;;A61F2/46;;H04N5/44,623/17.16;;623/902;;128/898;;600/37;;606/151,11,5,080-749-213-926-568;;056-301-818-207-114;;024-994-986-732-843;;026-665-089-003-208;;116-162-265-663-458,8009354;;10.1097/00007632-199404150-00014;;10973397;;10.1097/00007632-200009010-00004;;10.1302/0301-620x.74b5.1388173;;1388173;;3187715;;10.1097/00007632-198808000-00008;;10.1007/978-3-642-66578-3_16,"Ahlgren, B. D., M.D., et al., Annular Incision Technique on the Strength and Multidirectional Flexibility of the Healing Intervertebral Disc, SPINE vol. 19, No. 8, pp 948-954; J. B. Lippincott Company, 1994.;;Ahlgren, Bradley D.,et al., Effect of Annular Repair on the Healing Strength of the Intervertebral Disc, SPINE vol. 25, No. 17, pp 2165-2170, Lippincott Williams & Wilkins, Inc., 2000.;;Cauthen, Joseph C., M.D., ""Microsurgical Annular Reconstruction (Annuloplasty) Following Lumbar Microdiscectomy: Preliminary Report of a New Technique"", Abstract for Poster Presentation, AANS/CNS Section On Disorders Of The Spine And Peripheral Nerves Annual Meeting, 1999.;;Lehmann, Thomas R., M.D., et al., Refinements In Technique For Open Lumbar Discectomy, International Society for the Study of the Lumbar Spine, Jun. 2-6, 1997.;;Ordway, N. R., et al., ""Failure Properties Of A Hydrogel Nucleus In The Intervertebral Disc"", North American Spine Society, Oct. 2-25, 1997.;;Osti, O. L., et al., ""Annular Tears And Disc Degeneration In The Lumber Spine"", The Journal of Bone and Joint Surgery, vol. 74-B, No. 5, pp 678-682; Sep. 1992.;;Panjabi, Manohar, Ph.D., et al., ""Intrinsic Disc Pressure as a Measure Of Integrity of the Lumbar Spine"", SPINE vol. 13, No. 8, pp 913-917; 1988.;;Ray, Charles D., Prosthetic Disc Nucleus Implants: Update, North American Spine Society 13<SUP>th </SUP>Annual Meeting, pp 252.;;Yasargil, M. G., ""Microsurgical Operation of Herniated Lumbar Disc"", pp 81, in Lumbar Disc Adult Hydrocephalus edited by R. Wullenweber et al., Springer-Verlag, Berlin Heidelberg New York 1977.;;Cauthen, Joseph, Draft Abstract entitled ""Microsurgical Annular Reconstruction (Annulogplasty) Following Lumbar Microdiscectomy: Preliminary Report of a New Technique"" from abstracts@neurosurgery.org, Sep. 4, 1998.;;Cauthen, Joseph C., ""Annulotomy Study Preliminary Results: Updated Feb. 1999 for all procedures with at least one-year follow up"" (Table), Feb. 8, 1999.",EXPIRED
7,US,A1,US 2002/0151980 A1,137-697-993-325-070,2002-10-17,2002,US 16596202 A,2002-06-11,US 16596202 A;;US 94707801 A;;US 48470600 A;;US 16071099 P,1999-10-20,Intervertebral disc annulus repair device,"
   A surgical method of repair and reconstruction of the spinal disc wall (annulus) after surgical invasion or pathologic rupture, incorporating suture closure, or stent insertion and fixation, designed to reduce the failure rate of conventional surgical procedures on the spinal discs. 

   The design of the spinal disc annulus stent allows ingrowth of normal cells of healing in an enhanced fashion strengthening the normal reparative process. 
",CAUTHEN JOSEPH C.,CAUTHEN JOSEPH C,,https://lens.org/137-697-993-325-070,Patent Application,yes,1,76,33,154,0,A61B17/04;;A61B17/06166;;A61B17/0642;;A61B17/86;;A61B2017/00004;;A61B2017/06176;;A61B2017/0641;;A61B2017/0647;;A61B2017/0648;;A61F2/0063;;A61F2/30907;;A61F2/441;;A61F2/442;;A61F2/4601;;A61F2/4611;;A61F2002/2817;;A61F2002/30062;;A61F2002/30158;;A61F2002/30299;;A61F2002/30579;;A61F2002/30777;;A61F2002/30784;;A61F2002/30841;;A61F2002/4435;;A61F2002/444;;A61F2002/4627;;A61F2210/0004;;A61F2210/0019;;A61F2230/0026;;A61F2230/0093;;A61F2310/00011;;Y10S606/907;;Y10S623/902;;A61F2002/30092;;A61F2/4611;;A61F2/0063;;A61F2002/30777;;A61B2017/06176;;A61F2/4601;;A61F2002/30841;;A61B2017/00004;;A61F2002/30579;;A61F2/442;;A61F2002/30784;;A61B17/0642;;A61F2002/30158;;A61F2002/444;;A61F2230/0093;;A61F2002/30062;;A61F2002/30299;;A61F2210/0019;;A61F2230/0026;;A61B2017/0641;;A61F2002/2817;;A61F2/30907;;A61F2/441;;A61B2017/0648;;A61F2002/4435;;Y10S623/902;;A61F2210/0004;;Y10S606/907;;A61B17/86;;A61F2002/4627;;A61F2310/00011;;A61B2017/0647;;A61B17/06166;;A61B17/04;;A61F2002/30092,A61B17/00;;A61B17/56;;A61B17/04;;A61B17/06;;A61B17/064;;A61B17/70;;A61B17/86;;A61B17/88;;A61F2/00;;A61F2/02;;A61F2/28;;A61F2/30;;A61F2/44;;A61F2/46;;H04N5/44,623/17.16;;623/908,0,0,,,,DISCONTINUED
8,US,A1,US 2003/0220693 A1,052-753-325-927-676,2003-11-27,2003,US 39400803 A,2003-03-24,US 39400803 A;;US 94707801 A;;US 48470600 A;;US 16071099 P,1999-10-20,Intervertebral disc annulus repair devices and methods,"
   A surgical method of repair and reconstruction of the spinal disc wall (annulus) after surgical invasion or pathologic rupture, incorporating suture closure, or stent insertion and fixation, designed to reduce the failure rate of conventional surgical procedures on the spinal discs. 

   The design of the spinal disc annulus stent allows ingrowth of normal cells of healing in an enhanced fashion strengthening the normal reparative process. 
",CAUTHEN JOSEPH C.,CAUTHEN JOSEPH C,PROTOSTAR INC (2000-10-16);;ANULEX TECHNOLOGIES INC (2000-10-16);;CAUTHEN RESEARCH GROUP INC (2000-10-16),https://lens.org/052-753-325-927-676,Patent Application,yes,99,46,33,154,0,A61B17/04;;A61B17/06166;;A61B17/0642;;A61B17/86;;A61B2017/00004;;A61B2017/06176;;A61B2017/0641;;A61B2017/0647;;A61B2017/0648;;A61F2/0063;;A61F2/30907;;A61F2/441;;A61F2/442;;A61F2/4601;;A61F2/4611;;A61F2002/2817;;A61F2002/30062;;A61F2002/30158;;A61F2002/30299;;A61F2002/30579;;A61F2002/30777;;A61F2002/30784;;A61F2002/30841;;A61F2002/4435;;A61F2002/444;;A61F2002/4627;;A61F2210/0004;;A61F2210/0019;;A61F2230/0026;;A61F2230/0093;;A61F2310/00011;;Y10S606/907;;Y10S623/902;;A61F2002/30092;;A61F2/4611;;A61F2/0063;;A61F2002/30777;;A61B2017/06176;;A61F2/4601;;A61F2002/30841;;A61B2017/00004;;A61F2002/30579;;A61F2/442;;A61F2002/30784;;A61B17/0642;;A61F2002/30158;;A61F2002/444;;A61F2230/0093;;A61F2002/30062;;A61F2002/30299;;A61F2210/0019;;A61F2230/0026;;A61B2017/0641;;A61F2002/2817;;A61F2/30907;;A61F2/441;;A61B2017/0648;;A61F2002/4435;;Y10S623/902;;A61F2210/0004;;Y10S606/907;;A61B17/86;;A61F2002/4627;;A61F2310/00011;;A61B2017/0647;;A61B17/06166;;A61B17/04;;A61F2002/30092,A61B17/00;;A61B17/56;;A61B17/04;;A61B17/06;;A61B17/064;;A61B17/70;;A61B17/86;;A61B17/88;;A61F2/00;;A61F2/02;;A61F2/28;;A61F2/30;;A61F2/44;;A61F2/46;;H04N5/44,623/17.16,0,0,,,,DISCONTINUED
9,US,A1,US 2003/0187508 A1,049-722-610-799-298,2003-10-02,2003,US 39273903 A,2003-03-19,US 39273903 A;;US 94707801 A;;US 48470600 A;;US 16071099 P;;US 8504002 A;;US 31373805 A,1999-10-20,Spinal disc annulus reconstruction method and spinal disc annulus stent,"
   A surgical method of repair and reconstruction of the spinal disc wall (annulus) after surgical invasion or pathologic rupture, incorporating suture closure, or stent insertion and fixation, designed to reduce the failure rate of conventional surgical procedures on the spinal discs. The design of the spinal disc annulus stent allows ingrowth of normal cells of healing in an enhanced fashion strengthening the normal reparative process. 
",CAUTHEN JOSEPH C.,CAUTHEN JOSEPH C,KRT INVESTORS INC (2013-12-27),https://lens.org/049-722-610-799-298,Patent Application,yes,99,66,33,154,0,A61B17/04;;A61B17/06166;;A61B17/0642;;A61B17/86;;A61B2017/00004;;A61B2017/06176;;A61B2017/0641;;A61B2017/0647;;A61B2017/0648;;A61F2/0063;;A61F2/30907;;A61F2/441;;A61F2/442;;A61F2/4601;;A61F2/4611;;A61F2002/2817;;A61F2002/30062;;A61F2002/30158;;A61F2002/30299;;A61F2002/30579;;A61F2002/30777;;A61F2002/30784;;A61F2002/30841;;A61F2002/4435;;A61F2002/444;;A61F2002/4627;;A61F2210/0004;;A61F2210/0019;;A61F2230/0026;;A61F2230/0093;;A61F2310/00011;;Y10S606/907;;Y10S623/902;;A61F2002/30092;;A61F2/4611;;A61F2/0063;;A61F2002/30777;;A61B2017/06176;;A61F2/4601;;A61F2002/30841;;A61B2017/00004;;A61F2002/30579;;A61F2/442;;A61F2002/30784;;A61B17/0642;;A61F2002/30158;;A61F2002/444;;A61F2230/0093;;A61F2002/30062;;A61F2002/30299;;A61F2210/0019;;A61F2230/0026;;A61B2017/0641;;A61F2002/2817;;A61F2/30907;;A61F2/441;;A61B2017/0648;;A61F2002/4435;;Y10S623/902;;A61F2210/0004;;Y10S606/907;;A61B17/86;;A61F2002/4627;;A61F2310/00011;;A61B2017/0647;;A61B17/06166;;A61B17/04;;A61F2002/30092,A61B17/00;;A61B17/56;;A61B17/04;;A61B17/06;;A61B17/064;;A61B17/70;;A61B17/86;;A61B17/88;;A61F2/00;;A61F2/02;;A61F2/28;;A61F2/30;;A61F2/44;;A61F2/46;;H04N5/44,623/17.16;;623/908,0,0,,,,EXPIRED
10,US,A1,US 2007/0198026 A1,091-265-739-990-87X,2007-08-23,2007,US 36092006 A,2006-02-23,US 36092006 A,2006-02-23,Medical device support and stabilizer,"A device for stabilizing hydrocephalus shunt valves, or other medical apparatus, to reduce or eliminate repositioning, particularly when positioned in the fascia or subcutaneous tissues within a body. The shunt valve stabilizer of the subject invention is particularly useful for stabilizing lumboperitoneal (LP) shunt valves, but could be used with other types of shunt valves or medical devices susceptible to undesired movement within or on a body.",CAUTHEN JOSEPH C,CAUTHEN JOSEPH C,,https://lens.org/091-265-739-990-87X,Patent Application,yes,10,6,1,1,0,A61M25/04;;A61M25/04;;A61M27/006;;A61M27/006,A61F11/00,606/108,0,0,,,,DISCONTINUED
