"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,B1,US 10391287 B1,053-394-800-047-761,2019-08-27,2019,US 201615157646 A,2016-05-18,US 201615157646 A;;US 201514744842 A;;US 201462030946 P,2014-07-30,Shunt catheter system,"A shunt catheter system and method of use thereof. The system generally includes an open-ended ventricular catheter with drainage apertures and safety flap valves, a reservoir with inline filter, and a peritoneal catheter. After insertion, for example into the ventricles of the brain, cerebrospinal fluid would pass into the ventricular catheter, through the inline filter in the reservoir, and into the peritoneal catheter, subsequently exiting the shunt catheter system. During insertion of the ventricular catheter, a catheter stylet or wire/string and plug stylet can be positioned therein to occlude the open end. The ventricular catheter may be positioned perpendicular to the peritoneal catheter and can be coupled to one another through the reservoir and inline filter or valve.",BECKMAN JOSHUA MARSHALL;;UNIV SOUTH FLORIDA,BECKMAN JOSHUA MARSHALL,UNIVERSITY OF SOUTH FLORIDA (2016-07-03),https://lens.org/053-394-800-047-761,Granted Patent,yes,12,1,2,2,0,A61M27/006;;A61M27/006;;A61M2202/0464;;A61M2205/75;;A61M2205/7545;;A61M2205/7545;;A61M2205/7563;;A61M2205/7563,A61M27/00,,19,19,041-420-326-366-992;;128-927-540-253-937;;065-410-960-060-298;;029-610-236-520-258;;054-467-382-655-481;;108-250-011-134-038;;037-423-752-526-53X;;097-699-139-338-18X;;063-198-926-958-944;;011-003-927-325-613;;065-233-314-763-162;;068-031-717-020-367;;029-204-498-113-093;;024-207-630-544-651;;078-635-713-016-213;;000-304-436-918-65X;;026-652-255-153-998;;110-111-027-177-042;;077-152-258-134-142,10.1227/00006123-198008000-00013;;7422113;;10.1097/00006123-198008000-00013;;24089046;;10.1227/neu.0000000000000196;;10.3171/2012.9.peds1298;;23101557;;10.1016/j.clineuro.2012.02.050;;22472352;;10.3171/2012.8.peds11296;;23101558;;21508873;;10.1227/neu.0b013e31821ffa9e;;23380280;;10.1016/j.wneu.2013.01.096;;10.3171/2008.9.jns08881;;19361256;;10.1007/s00381-011-1430-0;;21476036;;10.1007/s00381-009-1055-8;;20024658;;10.1016/j.expneurol.2009.12.027;;20051241;;22157548;;10.1227/neu.0b013e318244695f;;10.3171/jns.1997.87.5.0682;;9347975;;12924722;;10.3171/jns.2003.99.2.0426;;22295926;;10.3171/2011.11.peds11255;;10.1111/j.1542-4758.2006.01176.x;;16441829;;20043731;;10.3171/2008.7.17690;;10.2176/nmc.38.399;;9745244;;10.1227/00006123-199405000-00025;;8052397;;10.1097/00006123-199405000-00025,"Reynolds et al, Adenocarcinoma Cells Trapped on a Millipore Filter in a Patient with Meningeal Carcinomatosis. Neurosurgery. 1980. vol. 7 (No. 2 ): 179-81.;;Al-Tamimi et al, Ventriculoperitoneal Shunt 30-Day Failure Rate. Neurosurgery. 2014. vol. 74: 29-34.;;Stone et al., Revision Rate of Pediatric Ventriculoperitoneal Shunts after 15 Years. Journal of Neurosurgery Pediatrics. 2013. vol. 11: 15-19.;;Reddy. Ventriculoperitoneal Shunt Surgery and the Incidence of Shunt Revision in Adult Patients with Hemorrhage-related Hydrocephalus. Clinical Neurology and Neurosurgery. 2012. vol. 114: 1211-216.;;Chittiboina et al., Posthemorrhagic Hydrocephalus and Shunts: What Are the Predictors of Multiple Revision Surgeries? Journal of Neurosurg Pediatrics. 2013. vol. 11: 37-42.;;Reddy et al, Management of Adult Hydrocephalus with Ventriculoperitoneal Shunts: Long-term Single-Institution Experience. Neurosurgery. 2011. vol. 69 (No. 4): 774-81.;;Reddy et al, Long-Term Outcomes of Ventriculoperitoneal Shunt Surgery in Patients with Hydrocephalus. World Neurosurgery. 2014. vol. 81 (No. 2): 404-410.;;O'Kelly et al, Shunt-dependent Hydrocephalus after Aneurysmal Subarachnoid Hemorrhage: Incidence, Predictors, and Revision Rates. Journal of Neurosurgery. 2009. vol. 111: 1029-035.;;Harris and Mcallister, II Does Drainage Hole Size Influence Adhesion on Ventricular Catheters? Child's Nervous System. 2011. vol. 27: 1221-232.;;Thomale et al., Perforation Holes in Ventricular Catheters—is Less More? Child's Nervous System. 2010. vol. 26: 781-89.;;Harris et al., Mechanical Contributions to Astrocyte Adhesion Using a Novel in Vitro Model of Catheter Obstruction. Experimental Neurology. 2010. vol. 222: 204-10.;;Harris and Mcallister, II. What We Should Know About the Cellular and Tissue Response Causing Catheter Obstruction in the Treatment of Hydrocephalus. Neurosurgery. 2012. vol. 70: 1589-1602.;;Cozzens et al., Increased risk of distal ventriculoperitoneal shunt obstruction associated with slit valves or distal slits in the peritoneal catheter. Journal of Neurosurgery. 1997. vol. 87: 682-86.;;Lin et al., Computational and Experimental Study of Proximal Flow in Ventricular Catheters. Journal of Neurosurgery. 2003. vol. 99: 426-31.;;Cheatle et al., Flow Characteristics of Cerebrospinal Fluid Shunt Tubing. Journal of Neurosurg: Pediatrics. 2012. vol. 9: 191-97.;;Tal et al., Comparison of Side Hole versus Non Side Hole High Flow Hemodialysis Catheters. Hemodialysis International. 2006. vol. 10: 63-67.;;Gruber and Roehrig. Prevention of Ventricular Catheter Obstruction and Slit Ventricle Syndrome by the Prophylactic Use of the Integra Antisiphon Device in Shunt Therapy for Pediatric Hypertensive Hydrocephalus: A 25-ear Follow-up Study. Journal of Neurosurgery: Pediatrics. 2010. vol. 5: 4-16.;;Takahashi et al., Ultrastructure of Obstructive Tissue in Malfunctioning Ventricular Catheters Without Infection. Neurol Med Chir (Tokyo). 1998. vol. 38: 399-404.;;Ventureyra and Higgins. A New Ventricular Catheter for the Prevention and Treatment of Proximal Obstruction in Cerebrospinal Fluid Shunts. Neurosurgery. 1994. vol. 34 (No. 5): 924-26.",ACTIVE
2,US,B1,US 9364647 B1,083-448-335-426-481,2016-06-14,2016,US 201514744842 A,2015-06-19,US 201514744842 A;;US 201462030946 P,2014-07-30,Shunt catheter system,"A shunt catheter system and method of use thereof. The system generally includes an open-ended ventricular catheter with drainage apertures and safety flap valves, a reservoir with inline filter, and a peritoneal catheter. After insertion, for example into the ventricles of the brain, cerebrospinal fluid would pass into the ventricular catheter, through the inline filter in the reservoir, and into the peritoneal catheter, subsequently exiting the shunt catheter system. During insertion of the ventricular catheter, a catheter stylet or wire/string and plug stylet can be positioned therein to occlude the open end. The ventricular catheter may be positioned perpendicular to the peritoneal catheter and can be coupled to one another through the reservoir and inline filter or valve.",BECKMAN JOSHUA MARSHALL;;UNIV SOUTH FLORIDA,BECKMAN JOSHUA MARSHALL,UNIVERSITY OF SOUTH FLORIDA (2015-08-15),https://lens.org/083-448-335-426-481,Granted Patent,yes,8,10,2,2,0,A61M27/006;;A61M27/006;;A61M2202/0464;;A61M2205/75;;A61M2205/7545;;A61M2205/7545;;A61M2205/7563;;A61M2205/7563,A61M5/00;;A61M27/00,,19,19,077-152-258-134-142;;041-420-326-366-992;;128-927-540-253-937;;065-410-960-060-298;;029-610-236-520-258;;054-467-382-655-481;;108-250-011-134-038;;037-423-752-526-53X;;097-699-139-338-18X;;063-198-926-958-944;;011-003-927-325-613;;065-233-314-763-162;;068-031-717-020-367;;029-204-498-113-093;;024-207-630-544-651;;078-635-713-016-213;;000-304-436-918-65X;;026-652-255-153-998;;110-111-027-177-042,10.1227/00006123-199405000-00025;;8052397;;10.1097/00006123-199405000-00025;;10.1227/00006123-198008000-00013;;7422113;;10.1097/00006123-198008000-00013;;24089046;;10.1227/neu.0000000000000196;;10.3171/2012.9.peds1298;;23101557;;10.1016/j.clineuro.2012.02.050;;22472352;;10.3171/2012.8.peds11296;;23101558;;21508873;;10.1227/neu.0b013e31821ffa9e;;23380280;;10.1016/j.wneu.2013.01.096;;10.3171/2008.9.jns08881;;19361256;;10.1007/s00381-011-1430-0;;21476036;;10.1007/s00381-009-1055-8;;20024658;;10.1016/j.expneurol.2009.12.027;;20051241;;22157548;;10.1227/neu.0b013e318244695f;;10.3171/jns.1997.87.5.0682;;9347975;;12924722;;10.3171/jns.2003.99.2.0426;;22295926;;10.3171/2011.11.peds11255;;10.1111/j.1542-4758.2006.01176.x;;16441829;;20043731;;10.3171/2008.7.17690;;10.2176/nmc.38.399;;9745244,"Ventureyra and Higgins. A New Ventricular Catheter for the Prevention and Treatment of Proximal Obstruction in Cerebrospinal Fluid Shunts. Neurosurgery. 1994. vol. 34 (No. 5): 924-26.;;Reynolds et al., Adenocarcinoma Cells Trapped on a Millipore Filter in a Patient with Meningeal Carcinomatosis. Neurosurgery. 1980. Volume 7 (No. 2 ): 179-81.;;Al-Tamimi et al., Ventriculoperitoneal Shunt 30-Day Failure Rate. Neurosurgery. 2014. vol. 74: 29-34.;;Stone et al., Revision Rate of Pediatric Ventriculoperitoneal Shunts after 15 Years. Journal of Neurosurgery Pediatrics. 2013. vol. 11: 15-19.;;Reddy. Ventriculoperitoneal Shunt Surgery and the Incidence of Shunt Revision in Adult Patients with Hemorrhage-related Hydrocephalus. Clinical Neurology and Neurosurgery. 2012. vol. 114: 1211-216.;;Chittiboina et al., Posthemorrhagic Hydrocephalus and Shunts: What Are the Predictors of Multiple Revision Surgeries? Journal of Neurosurg Pediatrics. 2013. vol. 11: 37-42.;;Reddy et al., Management of Adult Hydrocephalus with Ventriculoperitoneal Shunts: Long-term Single-Institution Experience. Neurosurgery. 2011. vol. 69 (No. 4): 774-81.;;Reddy et al., Long-Term Outcomes of Ventriculoperitoneal Shunt Surgery in Patients with Hydrocephalus. World Neurosurgery. 2014. vol. 81 (No. 2): 404-410.;;O'Kelly et al., Shunt-dependent Hydrocephalus after Aneurysmal Subarachnoid Hemorrhage: Incidence, Predictors, and Revision Rates. Journal of Neurosurgery. 2009. vol. 111: 1029-035.;;Harris and McAllister, II. Does Drainage Hole Size Influence Adhesion on Ventricular Catheters? Child's Nervous System. 2011. vol. 27: 1221-232.;;Thomale et al., Perforation Holes in Ventricular Catheters-is Less More? Child's Nervous System. 2010. vol. 26: 781-89.;;Harris et al., Mechanical Contributions to Astrocyte Adhesion Using a Novel in Vitro Model of Catheter Obstruction. Experimental Neurology. 2010. vol. 222: 204-10.;;Harris and McAllister, II. What We Should Know About the Cellular and Tissue Response Causing Catheter Obstruction in the Treatment of Hydrocephalus. Neurosurgery. 2012. vol. 70: 1589-1602.;;Cozzens et al., Increased risk of distal ventriculoperitoneal shunt obstruction associated with slit valves or distal slits in the peritoneal catheter. Journal of Neurosurgery. 1997. vol. 87: 682-86.;;Lin et al., Computational and Experimental Study of Proximal Flow in Ventricular Catheters. Journal of Neurosurgery. 2003. vol. 99: 426-31.;;Cheatle et al., Flow Characteristics of Cerebrospinal Fluid Shunt Tubing. Journal of Neurosurg: Pediatrics. 2012. vol. 9: 191-97.;;Tal et al., Comparison of Side Hole versus Non Side Hole High Flow Hemodialysis Catheters. Hemodialysis International. 2006. vol. 10: 63-67.;;Gruber and Roehrig. Prevention of Ventricular Catheter Obstruction and Slit Ventricle Syndrome by the Prophylactic Use of the Integra Antisiphon Device in Shunt Therapy for Pediatric Hypertensive Hydrocephalus: A 25-year Follow-up Study. Journal of Neurosurgery: Pediatrics. 2010. vol. 5: 4-16.;;Takahashi et al., Ultrastructure of Obstructive Tissue in Malfunctioning Ventricular Catheters Without Infection. Neurol Med Chir (Tokyo). 1998. vol. 38: 399-404.",ACTIVE
3,EP,A1,EP 3554411 A1,092-433-748-830-137,2019-10-23,2019,EP 17832119 A,2017-12-05,US 201615383026 A;;US 2017/0064586 W,2016-12-19,ROBOTIC SURGICAL SYSTEM WITH VIRTUAL CONTROL PANEL FOR TOOL ACTUATION,,ETHICON LLC,SWAYZE JEFFREY S;;YOUNG JOSHUA;;BECKMAN ANDREW,,https://lens.org/092-433-748-830-137,Patent Application,yes,0,0,9,9,0,A61B5/743;;A61B17/29;;A61B34/37;;A61B2090/373;;A61B2034/2065;;A61B2034/256;;A61B1/04;;A61B1/06;;A61B1/313;;A61B5/0084;;A61B5/064;;A61B5/0036;;A61B34/25;;A61B2090/3937;;G06V10/147;;G06V2201/034;;A61B34/20;;A61B34/25;;A61B34/30;;A61B90/361;;A61B2034/2068;;A61B5/743;;A61B2034/256;;A61B5/064;;A61B1/06;;A61B34/37;;A61B2090/3937;;A61B5/0036;;A61B2034/2065;;A61B1/04;;A61B1/313;;A61B17/29;;A61B5/0084;;A61B2090/373;;G06V10/147;;G06V2201/034,A61B34/00;;A61B5/00;;A61B90/00;;G06V10/147,,0,0,,,,ACTIVE
4,US,B2,US 10568701 B2,144-654-090-492-912,2020-02-25,2020,US 201615383026 A,2016-12-19,US 201615383026 A,2016-12-19,Robotic surgical system with virtual control panel for tool actuation,"A surgical system includes a detector, comprising an array of pixels configured to detect light reflected by a surgical instrument and generate a first signal comprising a first dataset representative of a visible image of the surgical instrument. The surgical system also includes a processor configured to receive the first signal, generate a modified image of the surgical instrument that includes a control panel. The control panel includes one or more control elements representative of one or more operating parameters of the surgical instrument. The processor is further configured to receive an input to the control panel from a user, the input being effective to change one of the operating parameters. The processor is also configured to generate a command signal based on the input to change the one of the operating parameters.",ETHICON LLC,SWAYZE JEFFREY S;;YOUNG JOSHUA;;BECKMAN ANDREW,CILAG GMBH INTERNATIONAL (2021-04-05);;ETHICON LLC (2017-03-02),https://lens.org/144-654-090-492-912,Granted Patent,yes,17,2,9,9,0,A61B5/743;;A61B17/29;;A61B34/37;;A61B2090/373;;A61B2034/2065;;A61B2034/256;;A61B1/04;;A61B1/06;;A61B1/313;;A61B5/0084;;A61B5/064;;A61B5/0036;;A61B34/25;;A61B2090/3937;;G06V10/147;;G06V2201/034;;A61B34/20;;A61B34/25;;A61B34/30;;A61B90/361;;A61B2034/2068;;A61B5/743;;A61B2034/256;;A61B5/064;;A61B1/06;;A61B34/37;;A61B2090/3937;;A61B5/0036;;A61B2034/2065;;A61B1/04;;A61B1/313;;A61B17/29;;A61B5/0084;;A61B2090/373;;G06V10/147;;G06V2201/034,A61B34/20;;A61B1/04;;A61B1/06;;A61B1/313;;A61B5/00;;A61B5/06;;A61B17/29;;A61B34/00;;A61B34/30;;A61B34/37;;A61B90/00;;G06V10/147,,1,0,,,"International Search Report and Written Opinion for International App. No. PCT/US2017/064586 dated Mar. 23, 2018 (15 pages).",ACTIVE
5,US,A1,US 2023/0225607 A1,181-022-662-766-760,2023-07-20,2023,US 202318151199 A,2023-01-06,US 202318151199 A;;US 202016783656 A;;US 201615383026 A,2016-12-19,ROBOTIC SURGICAL SYSTEM WITH VIRTUAL CONTROL PANEL FOR TOOL ACTUATION,"A surgical system includes a detector, comprising an array of pixels configured to detect light reflected by a surgical instrument and generate a first signal comprising a first dataset representative of a visible image of the surgical instrument. The surgical system also includes a processor configured to receive the first signal, generate a modified image of the surgical instrument that includes a control panel. The control panel includes one or more control elements representative of one or more operating parameters of the surgical instrument. The processor is further configured to receive an input to the control panel from a user, the input being effective to change one of the operating parameters. The processor is also configured to generate a command signal based on the input to change the one of the operating parameters.",CILAG GMBH INT,SWAYZE JEFFREY S;;YOUNG JOSHUA;;BECKMAN ANDREW,,https://lens.org/181-022-662-766-760,Patent Application,yes,0,0,9,9,0,A61B5/743;;A61B17/29;;A61B34/37;;A61B2090/373;;A61B2034/2065;;A61B2034/256;;A61B1/04;;A61B1/06;;A61B1/313;;A61B5/0084;;A61B5/064;;A61B5/0036;;A61B34/25;;A61B2090/3937;;G06V10/147;;G06V2201/034;;A61B34/20;;A61B34/25;;A61B34/30;;A61B90/361;;A61B2034/2068;;A61B5/743;;A61B2034/256;;A61B5/064;;A61B1/06;;A61B34/37;;A61B2090/3937;;A61B5/0036;;A61B2034/2065;;A61B1/04;;A61B1/313;;A61B17/29;;A61B5/0084;;A61B2090/373;;G06V10/147;;G06V2201/034,A61B1/313;;A61B5/00;;A61B5/06;;A61B34/00;;A61B34/20;;A61B34/30;;A61B90/00;;G06V10/147,,0,0,,,,PENDING
6,CN,A,CN 110099649 A,121-459-803-557-811,2019-08-06,2019,CN 201780078891 A,2017-12-05,US 201615383026 A;;US 2017/0064586 W,2016-12-19,ROBOTIC SURGICAL SYSTEM WITH VIRTUAL CONTROL PANEL FOR TOOL ACTUATION,"A surgical system includes a detector, comprising an array of pixels configured to detect light reflected by a surgical instrument and generate a first signal comprising a first dataset representativeof a visible image of the surgical instrument. The surgical system also includes a processor configured to receive the first signal, generate a modified image of the surgical instrument that includesa control panel. The control panel includes one or more control elements representative of one or more operating parameters of the surgical instrument. The processor is further configured to receivean input to the control panel from a user, the input being effective to change one of the operating parameters. The processor is also configured to generate a command signal based on the input to change the one of the operating parameters.",ETHICON CO LTD,SWAYZE JEFFREY S;;YOUNG JOSHUA;;BECKMAN ANDREW,,https://lens.org/121-459-803-557-811,Patent Application,no,8,3,9,9,0,A61B5/743;;A61B17/29;;A61B34/37;;A61B2090/373;;A61B2034/2065;;A61B2034/256;;A61B1/04;;A61B1/06;;A61B1/313;;A61B5/0084;;A61B5/064;;A61B5/0036;;A61B34/25;;A61B2090/3937;;G06V10/147;;G06V2201/034;;A61B34/20;;A61B34/25;;A61B34/30;;A61B90/361;;A61B2034/2068;;A61B5/743;;A61B2034/256;;A61B5/064;;A61B1/06;;A61B34/37;;A61B2090/3937;;A61B5/0036;;A61B2034/2065;;A61B1/04;;A61B1/313;;A61B17/29;;A61B5/0084;;A61B2090/373;;G06V10/147;;G06V2201/034,A61B34/00;;A61B5/00;;A61B90/00;;G06V10/147,,0,0,,,,ACTIVE
7,US,A1,US 2020/0170719 A1,031-169-316-903-15X,2020-06-04,2020,US 202016783656 A,2020-02-06,US 202016783656 A;;US 201615383026 A,2016-12-19,ROBOTIC SURGICAL SYSTEM WITH VIRTUAL CONTROL PANEL FOR TOOL ACTUATION,"A surgical system includes a detector, comprising an array of pixels configured to detect light reflected by a surgical instrument and generate a first signal comprising a first dataset representative of a visible image of the surgical instrument. The surgical system also includes a processor configured to receive the first signal, generate a modified image of the surgical instrument that includes a control panel. The control panel includes one or more control elements representative of one or more operating parameters of the surgical instrument. The processor is further configured to receive an input to the control panel from a user, the input being effective to change one of the operating parameters. The processor is also configured to generate a command signal based on the input to change the one of the operating parameters.",ETHICON LLC,SWAYZE JEFFREY S;;YOUNG JOSHUA;;BECKMAN ANDREW,CILAG GMBH INTERNATIONAL (2021-04-05),https://lens.org/031-169-316-903-15X,Patent Application,yes,0,0,9,9,0,A61B5/743;;A61B17/29;;A61B34/37;;A61B2090/373;;A61B2034/2065;;A61B2034/256;;A61B1/04;;A61B1/06;;A61B1/313;;A61B5/0084;;A61B5/064;;A61B5/0036;;A61B34/25;;A61B2090/3937;;G06V10/147;;G06V2201/034;;A61B34/20;;A61B34/25;;A61B34/30;;A61B90/361;;A61B2034/2068;;A61B5/743;;A61B2034/256;;A61B5/064;;A61B1/06;;A61B34/37;;A61B2090/3937;;A61B5/0036;;A61B2034/2065;;A61B1/04;;A61B1/313;;A61B17/29;;A61B5/0084;;A61B2090/373;;G06V10/147;;G06V2201/034,A61B34/20;;A61B1/313;;A61B5/00;;A61B5/06;;A61B34/00;;A61B34/30;;A61B90/00;;G06V10/147,,0,0,,,,ACTIVE
8,US,A1,US 2018/0168733 A1,006-726-465-616-050,2018-06-21,2018,US 201615383026 A,2016-12-19,US 201615383026 A,2016-12-19,ROBOTIC SURGICAL SYSTEM WITH VIRTUAL CONTROL PANEL FOR TOOL ACTUATION,"A surgical system includes a detector, comprising an array of pixels configured to detect light reflected by a surgical instrument and generate a first signal comprising a first dataset representative of a visible image of the surgical instrument. The surgical system also includes a processor configured to receive the first signal, generate a modified image of the surgical instrument that includes a control panel. The control panel includes one or more control elements representative of one or more operating parameters of the surgical instrument. The processor is further configured to receive an input to the control panel from a user, the input being effective to change one of the operating parameters. The processor is also configured to generate a command signal based on the input to change the one of the operating parameters.",ETHICON ENDO SURGERY INC,SWAYZE JEFFREY S;;YOUNG JOSHUA;;BECKMAN ANDREW,CILAG GMBH INTERNATIONAL (2021-04-05);;ETHICON LLC (2017-03-02),https://lens.org/006-726-465-616-050,Patent Application,yes,8,7,9,9,0,A61B5/743;;A61B17/29;;A61B34/37;;A61B2090/373;;A61B2034/2065;;A61B2034/256;;A61B1/04;;A61B1/06;;A61B1/313;;A61B5/0084;;A61B5/064;;A61B5/0036;;A61B34/25;;A61B2090/3937;;G06V10/147;;G06V2201/034;;A61B34/20;;A61B34/25;;A61B34/30;;A61B90/361;;A61B2034/2068;;A61B5/743;;A61B2034/256;;A61B5/064;;A61B1/06;;A61B34/37;;A61B2090/3937;;A61B5/0036;;A61B2034/2065;;A61B1/04;;A61B1/313;;A61B17/29;;A61B5/0084;;A61B2090/373;;G06V10/147;;G06V2201/034,A61B34/20;;A61B34/00;;A61B34/30;;A61B90/00;;G06V10/147,,0,0,,,,ACTIVE
9,WO,A1,WO 2018/118410 A1,163-052-818-599-845,2018-06-28,2018,US 2017/0064586 W,2017-12-05,US 201615383026 A,2016-12-19,ROBOTIC SURGICAL SYSTEM WITH VIRTUAL CONTROL PANEL FOR TOOL ACTUATION,"A surgical system includes a detector, comprising an array of pixels configured to detect light reflected by a surgical instrument and generate a first signal comprising a first dataset representative of a visible image of the surgical instrument. The surgical system also includes a processor configured to receive the first signal, generate a modified image of the surgical instrument that includes a control panel. The control panel includes one or more control elements representative of one or more operating parameters of the surgical instrument. The processor is further configured to receive an input to the control panel from a user, the input being effective to change one of the operating parameters. The processor is also configured to generate a command signal based on the input to change the one of the operating parameters.",ETHICON LLC,SWAYZE JEFFREY S;;YOUNG JOSHUA;;BECKMAN ANDREW,,https://lens.org/163-052-818-599-845,Patent Application,yes,8,0,9,9,0,A61B5/743;;A61B17/29;;A61B34/37;;A61B2090/373;;A61B2034/2065;;A61B2034/256;;A61B1/04;;A61B1/06;;A61B1/313;;A61B5/0084;;A61B5/064;;A61B5/0036;;A61B34/25;;A61B2090/3937;;G06V10/147;;G06V2201/034;;A61B34/20;;A61B34/25;;A61B34/30;;A61B90/361;;A61B2034/2068;;A61B5/743;;A61B2034/256;;A61B5/064;;A61B1/06;;A61B34/37;;A61B2090/3937;;A61B5/0036;;A61B2034/2065;;A61B1/04;;A61B1/313;;A61B17/29;;A61B5/0084;;A61B2090/373;;G06V10/147;;G06V2201/034,A61B34/00;;A61B5/00;;A61B90/00;;G06V10/147,,0,0,,,,PENDING
10,US,B2,US 11547494 B2,152-820-030-565-500,2023-01-10,2023,US 202016783656 A,2020-02-06,US 202016783656 A;;US 201615383026 A,2016-12-19,Robotic surgical system with virtual control panel for tool actuation,"A surgical system includes a detector, comprising an array of pixels configured to detect light reflected by a surgical instrument and generate a first signal comprising a first dataset representative of a visible image of the surgical instrument. The surgical system also includes a processor configured to receive the first signal, generate a modified image of the surgical instrument that includes a control panel. The control panel includes one or more control elements representative of one or more operating parameters of the surgical instrument. The processor is further configured to receive an input to the control panel from a user, the input being effective to change one of the operating parameters. The processor is also configured to generate a command signal based on the input to change the one of the operating parameters.",ETHICON LLC;;CILAG GMBH INT,SWAYZE JEFFREY S;;YOUNG JOSHUA;;BECKMAN ANDREW,CILAG GMBH INTERNATIONAL (2021-04-05),https://lens.org/152-820-030-565-500,Granted Patent,yes,25,0,9,9,0,A61B5/743;;A61B17/29;;A61B34/37;;A61B2090/373;;A61B2034/2065;;A61B2034/256;;A61B1/04;;A61B1/06;;A61B1/313;;A61B5/0084;;A61B5/064;;A61B5/0036;;A61B34/25;;A61B2090/3937;;G06V10/147;;G06V2201/034;;A61B34/20;;A61B34/25;;A61B34/30;;A61B90/361;;A61B2034/2068;;A61B5/743;;A61B2034/256;;A61B5/064;;A61B1/06;;A61B34/37;;A61B2090/3937;;A61B5/0036;;A61B2034/2065;;A61B1/04;;A61B1/313;;A61B17/29;;A61B5/0084;;A61B2090/373;;G06V10/147;;G06V2201/034,A61B34/20;;A61B1/04;;A61B1/06;;A61B1/313;;A61B5/00;;A61B5/06;;A61B17/29;;A61B34/00;;A61B34/30;;A61B34/37;;A61B90/00;;G06V10/147,,1,0,,,"International Search Report and Written Opinion received for PCT Application No. PCT/US2017/064586, dated Mar. 23, 2018, 15 pages.",ACTIVE
