"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A1,US 2015/0206243 A1,074-283-559-653-342,2015-07-23,2015,US 201414584111 A,2014-12-29,US 201414584111 A;;US 201361921138 P,2013-12-27,METHOD AND SYSTEM FOR MEASURING FINANCIAL ASSET PREDICTIONS USING SOCIAL MEDIA,"A method according to an exemplary aspect of the present disclosure includes, among other things, storing a prediction of an individual on a computing device. The prediction is a prediction of a value of a financial asset over a time period. The method further includes comparing the prediction to the actual price of the financial asset over the time period, and generating a rating for the individual based on the relationship between the prediction and actual price. The method is performed using a computing device, which may include at least one of a personal computer (such as a tablet, smartphone, or laptop) and a server.",CAMINS MARTIN,CAMINS MARTIN,,https://lens.org/074-283-559-653-342,Patent Application,yes,29,3,1,1,0,G06Q40/06;;G06Q40/06;;G06Q50/01;;G06Q50/01,G06Q40/06;;G06Q50/00,,0,0,,,,DISCONTINUED
2,US,A1,US 2014/0157158 A1,121-460-704-203-995,2014-06-05,2014,US 201314094115 A,2013-12-02,US 201314094115 A;;US 201261732605 P,2012-12-03,SYSTEM AND METHOD FOR VISUALLY IDENTIFYING USER PREFERENCES,"A method and system for visually identifying user preferences on a touchscreen computing device is described. The system for visually identifying user preferences can be implemented on a plurality of touchscreen devices including smart phones, tablet computers and personal computers equipped with a touchscreen user interface. In one example, any visual image in a plurality of image formats supported by the touchscreen device can be used to identify specific areas of the image that visually appeals to the user.",CAMINS MARTIN;;SEILING NATHAN,CAMINS MARTIN;;SEILING NATHAN,,https://lens.org/121-460-704-203-995,Patent Application,yes,1,0,1,1,0,G06Q30/0201;;G06F3/0481;;G06F3/0481;;G06Q30/0201,G06F3/0481,715/765,0,0,,,,DISCONTINUED
3,US,A1,US 2006/0053669 A1,005-364-689-371-222,2006-03-16,2006,US 94186404 A,2004-09-16,US 94186404 A,2004-09-16,Method and apparatus for indicating a configurable switch,"The present invention enables institutions to identify and define specific patient and staff communication needs, and then configure nurse call switches accordingly. The facility administrators are able to customize the switches by placing their own colors, fonts, and text on removable label strips. The strips are removably positioned adjacent to activation switches. The specifically configured activation switches enable a particular healthcare facility to more effectively respond to different situations, some of which may be unique to the particular institution.",EDWARDS SYSTEMS TECHNOLOGY INC,ROEHL ERIK;;CAMINS MARTIN,EDWARDS SYSTEMS TECHNOLOGY INC (2004-09-15);;GENCSUS (2005-03-23),https://lens.org/005-364-689-371-222,Patent Application,yes,2,1,1,1,0,G09F3/00;;G09F3/02;;G09F3/02;;G09F3/00,G09F3/18,40/661,0,0,,,,DISCONTINUED
4,US,A1,US 2006/0248221 A1,041-352-264-921-089,2006-11-02,2006,US 11628405 A,2005-04-28,US 11628405 A,2005-04-28,Method and apparatus for dual-mode internet protocol station/gateway,"A communications device is provided that includes a router and a local interface. The communications device also supports a plurality of remote interfaces. The remote interfaces are daisy-chain wired to the communications device and a plurality of communications devices may be operably connected to each other using an Internet Protocol network to form a communications system. The communications system may be used as part of a nurse call system. Also, methods that may be implemented by the above device and system are provided.",HOTTEL ANDREW;;PRAVONGVIENGKHAM THOMAS;;CAMINS MARTIN,HOTTEL ANDREW;;PRAVONGVIENGKHAM THOMAS;;CAMINS MARTIN,GE SECURITY INC (2010-03-01),https://lens.org/041-352-264-921-089,Patent Application,yes,9,34,1,1,0,H04L12/4625;;H04L12/4625;;H04L12/10;;H04L12/10;;H04L12/40013;;H04L12/40013,G06F15/173,709/238,0,0,,,,DISCONTINUED
5,ES,R1,ES 2395794 R1,072-937-899-823-886,2013-06-11,2013,ES 201130769 A,2011-05-12,ES 201130769 A,2011-05-12,"TEJIDO PARA FORMAR UNA LAMINA FLEXIBLE DE LADRILLOS, PROCEDIMIENTO PARA FABRICAR DICHO TEJIDO Y LAMINA FLEXIBLE QUE INCLUYE DICHO TEJIDO","Tejido para formar una lámina flexible de ladrillos, procedimiento para fabricar dicho tejido y lámina flexible que incluye dicho tejido. Tejido (1) para formar una lámina flexible de ladrillos (6) que comprende una pluralidad de varillas de soporte (2) insertables en unas ranuras (6a) de dichos ladrillos (6), estando dichas varillas de soporte (2) entretejidas con una pluralidad de varillas de posicionamiento (4) de dichos ladrillos (6), incluyendo dicho tejido (1) entre cada dos varillas de soporte (2) una varilla de armado (3) entretejida con dichas varillas de posicionamiento (4), presentando dichas varillas de soporte (2), armado (3) y posicionamiento (4) ondulaciones en sus tramos de cruce. El tejido se caracteriza por el hecho de que la distancia entre cada dos varillas de armado (3) es una distancia (d1) predeterminada en función de la anchura de dicha lámina, siendo el valor de dicha anchura un valor estándar (A) determinado en función del número y tamaño nominal de los ladrillos (6) que debe incluir la lámina. Presenta la ventaja de que permite obtener láminas de anchura estándar sin perder robustez y firmeza.",TEJIDOS METALICOS ESTRUCH S L;;SENAGUA S A,ESTRUCH MICHELI JOSEP;;SENSERRICH CAMINS MARTIN,,https://lens.org/072-937-899-823-886,Unknown,no,4,0,9,9,0,E04B1/3205;;E04B1/3205;;E04B5/21;;E04B5/43;;E04F13/0801,E04B1/32;;E04F13/08;;E04F15/02,,0,0,,,,INACTIVE
6,ES,B1,ES 2395794 B1,077-378-121-954-547,2014-01-07,2014,ES 201130769 A,2011-05-12,ES 201130769 A,2011-05-12,"TEJIDO PARA FORMAR UNA LAMINA FLEXIBLE DE LADRILLOS, PROCEDIMIENTO PARA FABRICAR DICHO TEJIDO Y LAMINA FLEXIBLE QUE INCLUYE DICHO TEJIDO",,TEJIDOS METALICOS ESTRUCH S L;;SENAGUA S A,ESTRUCH MICHELI JOSEP;;SENSERRICH CAMINS MARTIN,,https://lens.org/077-378-121-954-547,Granted Patent,no,0,0,9,9,0,E04B1/3205;;E04B1/3205;;E04B5/21;;E04B5/43;;E04F13/0801,E04B1/32;;E04F13/08;;E04F15/02,,0,0,,,,INACTIVE
7,US,A1,US 2006/0239195 A1,044-129-318-887-558,2006-10-26,2006,US 11405105 A,2005-04-26,US 11405105 A,2005-04-26,Method and apparatus for dual-mode application update protocol,"A method of distributing a set of data, such as a software application update, to a plurality of nodes in a network. Also, devices, systems and networks for implementing the method. The nodes can be any computerized devices, but computerized medical devices used in nurse call systems are particularly relevant. According to the method, either a unicast mode or a multicast mode may be used to distribute the set of data over the network. Once the set of data has been distributed, the nodes provide feedback to a network server concerning whether the set of data was accurately received.",CAMINS MARTIN;;WYMAN JEFFREY;;REUTER MICHAEL,CAMINS MARTIN;;WYMAN JEFFREY;;REUTER MICHAEL,,https://lens.org/044-129-318-887-558,Patent Application,yes,3,30,1,1,0,H04L67/34;;H04L67/34;;H04L12/185;;H04L12/185;;H04L12/1863;;H04L12/1863,H04J1/16,370/235,0,0,,,,DISCONTINUED
8,WO,A3,WO 2012/153208 A3,040-229-104-279-963,2013-01-03,2013,IB 2012051548 W,2012-03-30,ES 201130769 A,2011-05-12,"MESH FOR FORMING A FLEXIBLE BRICK PLATE, PROCESS FOR MANUFACTURING SAID MESH AND FLEXIBLE PLATE INCLUDED IN SAID MESH","Mesh (1) for forming a flexible brick plate (6) comprising a plurality of support rods (2) that can be inserted into slots (6a) formed in said bricks (6), said support rods (2) being interwoven with a plurality of positioning rods (4) of said bricks (6), said mesh (1) including a reinforcing rod (3) interwoven with said positioning rods (4) between every two support rods (2), said support (2), reinforcing (3) and positioning rods (4) which are corrugated in their intersecting sections. The mesh is characterised in that the distance between every two reinforcing rods (3) is a distance (d1) predetermined in accordance with the width of said plate, the value of said width being a standard value (A) determined based on the number and nominal size of the bricks (6) that must be included in said plate. It has the advantage of allowing plates of standard width to be obtained without losing robustness and firmness.",TEJIDOS METALICOS ESTRUCH S L;;SENAGUA S A;;ESTRUCH MICHELI JOSEP;;SENSERRICH CAMINS MARTIN,ESTRUCH MICHELI JOSEP;;SENSERRICH CAMINS MARTIN,,https://lens.org/040-229-104-279-963,Search Report,yes,3,0,9,9,0,E04B1/3205;;E04B1/3205;;E04B5/21;;E04B5/43;;E04F13/0801,E04H17/02;;E04B1/32,,0,0,,,,PENDING
9,ES,B1,ES 2373287 B1,107-876-581-211-240,2012-08-09,2012,ES 201030013 A,2010-01-11,ES 201030013 A,2010-01-11,TEJIDO PARA FORMAR UNA LAMINA FLEXIBLE DE LADRILLOS Y PROCEDIMIENTO PARA FABRICAR DICHO TEJIDO.,,TEJIDOS METALICOS ESTRUCH S L;;SENAGUA S A,ESTRUCH MICHELI JOSEP;;SENSERRICH CAMINS MARTIN,,https://lens.org/107-876-581-211-240,Granted Patent,no,0,0,2,2,0,B28B19/0053;;E04B1/3205;;E04F13/0862,E04B1/32;;B28B23/00;;E04F13/08,,0,0,,,,ACTIVE
10,EP,A2,EP 2707560 A2,134-100-489-680-088,2014-03-19,2014,EP 12718370 A,2012-03-30,ES 201130769 A;;IB 2012051548 W,2011-05-12,FLEXIBLE BRICK PLATE WITH A MESH AND PROCESS FOR MANUFACTURING A MESH FOR SAID FLEXIBLE PLATE,,TEJIDOS METALICOS ESTRUCH S L;;SENAGUA S A,ESTRUCH MICHELI JOSEP;;SENSERRICH CAMINS MARTIN,,https://lens.org/134-100-489-680-088,Patent Application,yes,0,0,9,9,0,E04B1/3205;;E04B1/3205;;E04B5/21;;E04B5/43;;E04F13/0801,E04H17/02;;E04B1/32,,1,0,,,See references of WO 2012153208A2,ACTIVE
