"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,EP,A1,EP 0736901 A1,174-123-089-748-648,1996-10-09,1996,EP 96302356 A,1996-04-03,US 41732895 A,1995-04-05,Multiple colour marking of integrated circuit packages,"A method and apparatus for providing a multiple color image pattern on an integrated circuit package. A transport means is provided to move carriers (63) which carry integrated circuit packages (61) with or without integrated circuits. An ink printing machine is used to apply a first color pattern through a first pattern symbol plate (73) onto the surface of said integrated circuit packages (63). An in line ink curing machine (77) is used to cure the ink pattern. A second color of ink is applied by a second ink printing machine onto said integrated circuit package. A second ink curing machine is then used to cure said second ink pattern. By repeating this ink color printing and curing cycle, using a separate pattern mask for each color, any desired pattern may be created on the integrated circuit package. The pattern may include trademarks, trade names, logos, advertising slogans, alphabetic and numeric characters, and machine readable patterns. Symbolization information, part numbers, and lot numbers may be included. Any number of colors may be used. Some colors may be used as backgrounds for other colored elements. Other embodiments are also described.",TEXAS INSTRUMENTS INC,CHOU JACK;;TSAI LISA;;HSU MIKE,,https://lens.org/174-123-089-748-648,Patent Application,yes,1,0,2,2,0,H01L23/544;;H01L2223/54406;;H01L2223/54473;;H01L2924/0002,B41F17/36;;B41M1/18;;B41M1/40;;B41M7/00;;H01L21/02;;H01L23/00;;H01L23/544,,5,0,,,"PATENT ABSTRACTS OF JAPAN vol. 15, no. 479 (E - 1141) 5 December 1991 (1991-12-05);;PATENT ABSTRACTS OF JAPAN vol. 16, no. 14 (E - 1154) 14 January 1992 (1992-01-14);;PATENT ABSTRACTS OF JAPAN vol. 17, no. 556 (E - 1444) 6 October 1993 (1993-10-06);;PATENT ABSTRACTS OF JAPAN vol. 18, no. 438 (M - 1656) 16 August 1994 (1994-08-16);;PATENT ABSTRACTS OF JAPAN vol. 15, no. 295 (E - 1094) 26 July 1991 (1991-07-26)",DISCONTINUED
2,DE,B4,DE 102005042252 B4,035-947-849-223-011,2008-10-16,2008,DE 102005042252 A,2005-09-05,US 94372904 A,2004-09-17,Überschlagserfassungsvorrichtung und -verfahren für Fahrzeuge,,FORD GLOBAL TECH LLC,SUBBIAN THIAG;;BAUCH DAVID;;WU FUBANG;;AMIN MIKE;;CHOU CLIFF,,https://lens.org/035-947-849-223-011,Granted Patent,no,6,0,7,7,0,B60R21/0132;;B60R2021/0018;;B60R2021/01322;;B60R2021/01327;;B60R21/01;;B60R21/13;;B60R21/16;;B60R21/0132;;B60R21/0132;;B60R2021/01327;;B60R2021/0018;;B60R2021/01322,B60R21/0136;;B60R21/00;;B60R21/0132,,0,0,,,,ACTIVE
3,DE,A1,DE 102005042252 A1,148-108-030-923-490,2006-04-06,2006,DE 102005042252 A,2005-09-05,US 94372904 A,2004-09-17,Überschlagserfassungsvorrichtung und -verfahren für Fahrzeuge,"Es werden ""intelligente"" Überschlagserfassungsvorrichtungen und -verfahren für Fahrzeuge beschrieben. Gemäß einer Ausführungsform sind verschiedene Datensensoren für eine Erfassung unterschiedlicher Signale vorgesehen sowie eine Regelschaltung (115) zum Empfang der Signale. Die Regelschaltung (115) kann so ausgebildet sein, dass ein Fahrzeuginstabilitätssignal zur Aktivierung einer ersten Insassenrückhaltevorrichtung und ein Überschlagserfassungssignal zur Aktivierung einer zweiten Insassenrückhaltevorrichtung bereitgestellt werden. Weiterhin kann vorgesehen sein, dass mittels der Regelschaltung (115) ein aktualisierter Schwellenwert und ein reduzierter Schwellenwert bestimmt und in Reaktion zumindest auf den aktualisierten Schwellenwert oder den reduzierten Schwellenwert oder auf beide Schwellenwerte die Erzeugung eines Überschlagserfasssungssignals erfolgt. Weiterhin werden zweckmäßige Ausgestaltungen beschrieben.",FORD GLOBAL TECH LLC,SUBBIAN THIAG;;BAUCH DAVID;;WU FUBANG;;AMIN MIKE;;CHOU CLIFF,,https://lens.org/148-108-030-923-490,Patent Application,no,0,3,7,7,0,B60R21/0132;;B60R2021/0018;;B60R2021/01322;;B60R2021/01327;;B60R21/01;;B60R21/13;;B60R21/16;;B60R21/0132;;B60R21/0132;;B60R2021/01327;;B60R2021/0018;;B60R2021/01322,B60R21/0136;;B60R21/00;;B60R21/0132,,0,0,,,,ACTIVE
4,WO,A1,WO 2022/251073 A1,189-104-378-483-739,2022-12-01,2022,US 2022/0030350 W,2022-05-20,US 202117328638 A,2021-05-24,"METHODS, MEDIUMS, AND SYSTEMS FOR IDENTIFYING A GENE IN A FLOURESCENCE IN-SITU HYBRIDIZATION EXPERIMENT","Exemplary embodiments provide methods, mediums, and systems for processing multiplexed image data from a fluorescence in-situ hybridization (FISH) experiment. According to exemplary embodiments, a convolutional neural network (CNN) may be applied to the image data to localize and identify hybridization spots in images corresponding to different sets of targeting probes. The CNN is configured in such a way that it is able to discriminate hybridization spots in situations that are difficult for conventional techniques. The CNN may be trained on a relatively small amount of data by exploiting the nature of the FISH codebook.",APPLIED MATERIALS INC,HUANG MIKE;;CHANG YUN-CHING;;XIE DAN;;CHEN KOK;;CHOU SHIJIE,,https://lens.org/189-104-378-483-739,Patent Application,yes,1,0,3,3,0,G16B40/20;;G16B45/00;;G16B20/00;;C12Q1/6841;;G06V20/695;;G06V20/698;;G06V10/82;;G06V10/774;;G06V10/26;;G06V10/44;;G16B40/20;;G16B45/00;;C12Q1/6841;;G06T2207/20076;;G06T2207/10064;;G06T2207/20081;;G06T2207/20084;;G06T7/0012,G16B40/20;;G06N3/04;;G06N3/08;;G16B25/00,,4,3,120-434-535-496-823;;004-615-555-560-957;;038-535-966-381-607,pmc6350914;;10.1101/sqb.2017.82.033761;;29183987;;pmc6546913;;10.1038/s41598-019-44643-z;;31160649;;31757205;;pmc6873651;;10.1186/s12859-019-2927-x,"GUDLA PRABHAKAR R., NAKAYAMA KOH, PEGORARO GIANLUCA, MISTELI TOM: ""SpotLearn: Convolutional Neural Network for Detection of Fluorescence In Situ Hybridization (FISH) Signals in High-Throughput Imaging Approaches"", COLD SPRING HARBOR SYMPOSIA ON QUANTITATIVE BIOLOGY, BIOLOGICAL LABORATORY, COLD SPRING HARBOR, NY, US, vol. 82, 1 January 2017 (2017-01-01), US , pages 57 - 70, XP055783698, ISSN: 0091-7451, DOI: 10.1101/sqb.2017.82.033761;;ZAKRZEWSKI FALK, DE BACK WALTER, WEIGERT MARTIN, WENKE TORSTEN, ZEUGNER SILKE, MANTEY ROBERT, SPERLING CHRISTIAN, FRIEDRICH KATRIN: ""Automated detection of the HER2 gene amplification status in Fluorescence in situ hybridization images for the diagnostics of cancer tissues"", SCIENTIFIC REPORTS, vol. 9, no. 1, 1 December 2019 (2019-12-01), XP093008787, DOI: 10.1038/s41598-019-44643-z;;SARAH SCHMELL; FALK ZAKRZEWSKI; WALTER DE BACK; MARTIN WEIGERT; UWE SCHMIDT; TORSTEN WENKE; SILKE ZEUGNER; ROBERT MANTEY; CHRISTIA: ""An interpretable automated detection system for FISH-based HER2 oncogene amplification testing in histo-pathological routine images of breast and gastric cancer diagnostics"", ARXIV.ORG, CORNELL UNIVERSITY LIBRARY, 201 OLIN LIBRARY CORNELL UNIVERSITY ITHACA, NY 14853, 25 May 2020 (2020-05-25), 201 Olin Library Cornell University Ithaca, NY 14853 , XP081683103;;TORADA LUIS, LORENZON LUCREZIA, BEDDIS ALICE, ISILDAK ULAS, PATTINI LINDA, MATHIESON SARA, FUMAGALLI MATTEO: ""ImaGene: a convolutional neural network to quantify natural selection from genomic data"", BMC BIOINFORMATICS, vol. 20, no. S9, 1 November 2019 (2019-11-01), XP093008788, DOI: 10.1186/s12859-019-2927-x",PENDING
5,US,A1,US 2008/0152142 A1,037-291-833-484-800,2008-06-26,2008,US 95930007 A,2007-12-18,US 95930007 A;;US 87091206 P;;US 87090306 P,2006-12-20,MEMORY SCRAMBLER UNIT (MSU),"A memory scrambler unit (MSU) is provided wherein the MSU may be within a single chip wireless transceiver operable to perform voice, data and radio frequency (RF) processing. This processing may be divided between various processing modules that access memory. This MSU may be part of a memory interface operable to provide a multi-layered scrambling approach to protect against attack scenarios on volatile memories, SRAM, and SDRAM. The MSU can be programmed to scramble configurable address regions without crossing the page, blank, or row/column boundaries, which would incur performance penalties. As an additional security measure, data may also be scrambled.",BUER MARK;;CHOU PAUL;;MADAR LAWRENCE J;;CHU HON FAI MIKE,BUER MARK;;CHOU PAUL;;MADAR LAWRENCE J;;CHU HON FAI MIKE,AVAGO TECHNOLOGIES GENERAL IP (SINGAPORE) PTE. LTD (2017-01-20);;BROADCOM CORPORATION (2008-01-22),https://lens.org/037-291-833-484-800,Patent Application,yes,8,32,1,5,0,G06F12/1408;;G06F21/79;;H04W12/069;;G06F12/1408;;G06F21/79;;H04W12/069,G06F7/58;;H04K1/00,380/270;;708/250,0,0,,,,DISCONTINUED
6,US,A1,US 2022/0375546 A1,067-569-585-013-824,2022-11-24,2022,US 202117328638 A,2021-05-24,US 202117328638 A,2021-05-24,"METHODS, MEDIUMS, AND SYSTEMS FOR IDENTIFYING A GENE IN A FLOURESCENCE IN-SITU HYBRIDIZATION EXPERIMENT","Exemplary embodiments provide methods, mediums, and systems for processing multiplexed image data from a fluorescence in-situ hybridization (FISH) experiment. According to exemplary embodiments, a convolutional neural network (CNN) may be applied to the image data to localize and identify hybridization spots in images corresponding to different sets of targeting probes. The CNN is configured in such a way that it is able to discriminate hybridization spots in situations that are difficult for conventional techniques. The CNN may be trained on a relatively small amount of data by exploiting the nature of the FISH codebook.",APPLIED MATERIALS INC,HUANG MIKE JIN-AN;;CHANG YUN-CHING;;XIE DAN;;CHEN KOK HAO;;CHOU SHIJIE NIGEL,APPLIED MATERIALS INC (2021-05-25),https://lens.org/067-569-585-013-824,Patent Application,yes,0,2,3,3,0,G16B40/20;;G16B45/00;;G16B20/00;;C12Q1/6841;;G06V20/695;;G06V20/698;;G06V10/82;;G06V10/774;;G06V10/26;;G06V10/44;;G16B40/20;;G16B45/00;;C12Q1/6841;;G06T2207/20076;;G06T2207/10064;;G06T2207/20081;;G06T2207/20084;;G06T7/0012,G16B40/20;;C12Q1/6841;;G06T7/00;;G16B45/00,,0,0,,,,PENDING
7,TW,A,TW 202305141 A,114-440-744-518-279,2023-02-01,2023,TW 111119281 A,2022-05-24,US 202117328638 A,2021-05-24,"Methods, mediums, and systems for identifying a gene in a flourescence in-situ hybridization experiment","Exemplary embodiments provide methods, mediums, and systems for processing multiplexed image data from a fluorescence in-situ hybridization (FISH) experiment. According to exemplary embodiments, a convolutional neural network (CNN) may be applied to the image data to localize and identify hybridization spots in images corresponding to different sets of targeting probes. The CNN is configured in such a way that it is able to discriminate hybridization spots in situations that are difficult for conventional techniques. The CNN may be trained on a relatively small amount of data by exploiting the nature of the FISH codebook.",APPLIED MATERIALS INC,HUANG MIKE JIN-AN;;CHANG YUN-CHING;;XIE DAN;;CHEN KOK HAO;;CHOU SHIJIE NIGEL,,https://lens.org/114-440-744-518-279,Patent of Addition,no,0,0,3,3,0,G16B40/20;;G16B45/00;;G16B20/00;;C12Q1/6841;;G06V20/695;;G06V20/698;;G06V10/82;;G06V10/774;;G06V10/26;;G06V10/44;;G16B40/20;;G16B45/00;;C12Q1/6841;;G06T2207/20076;;G06T2207/10064;;G06T2207/20081;;G06T2207/20084;;G06T7/0012,C12Q1/6816;;G06N3/08,,0,0,,,,PENDING
8,US,A1,US 2004/0013929 A1,019-876-996-458-27X,2004-01-22,2004,US 45834003 A,2003-06-10,TW 91115909 A,2002-07-17,Fuel cell assembly with humidifier,"
   A fuel cell assembly having a self-recycling humidifier. The fuel cell assembly includes a humidifier and a fuel cell module communicating with an external hydrogen source. The fuel cell module chemically combines hydrogen from the hydrogen source and oxygen from introduced air to produce electricity and water. The produced water is removed by an airflow. The moisture is recycled by the humidifier to humidify the introduced air. 
",ASIA PACIFIC FUEL CELL TECH,HSU YAO-SHENG;;YANG JEFFERSON YS;;CHENG YAW CHUNG;;KAO MIKE PEN-MU;;YANG TE-CHOU,ASIA PACIFIC FUEL CELL TECHNOLOGIES LTD (2003-05-13),https://lens.org/019-876-996-458-27X,Patent Application,yes,1,9,4,4,0,H01M8/04171;;H01M8/04171;;H01M8/0267;;H01M8/0267;;H01M8/04007;;H01M8/04007;;H01M8/04126;;H01M8/04126;;H01M8/241;;H01M8/2457;;H01M8/2457;;H01M8/2483;;Y02E60/50,F24F6/00;;H01M8/04;;H01M8/22;;H01M8/24,429/34;;429/26;;429/38;;429/39,0,0,,,,DISCONTINUED
9,TW,B,TW 550851 B,061-565-376-176-970,2003-09-01,2003,TW 91115909 A,2002-07-17,TW 91115909 A,2002-07-17,Fuel battery having moisturizing module,"A fuel battery having moisturizing module is disclosed, which is connected to a hydrogen gas supplying source. It comprises: a fuel battery and a moisturizing module. The fuel battery set is connected to a hydrogen gas supplying source, which is for reacting the hydrogen gas provided by the hydrogen supplying source with the first moisturized air to generate electric energy, and exhaust the second moisturized air; the moisturizing module is disposed on the fuel battery set, and is connected to the fuel battery set and the atmosphere, which is for introducing air from the atmosphere, so as to form a first inputted air, and transfer the water in the second moisturized air into the first introduced air, so as to form the first moisturized air.",ASIA PACIFIC FUEL CELL TECH,HSU YAO-SHENG;;YANG JEFFERSON YS;;CHENG YAW CHUNG;;KAO MIKE PEN-MU;;YANG TE-CHOU,,https://lens.org/061-565-376-176-970,Granted Patent,no,0,1,4,4,0,H01M8/04171;;H01M8/04171;;H01M8/0267;;H01M8/0267;;H01M8/04007;;H01M8/04007;;H01M8/04126;;H01M8/04126;;H01M8/241;;H01M8/2457;;H01M8/2457;;H01M8/2483;;Y02E60/50,F24F6/00;;H01M8/04;;H01M8/22;;H01M8/24,,0,0,,,,EXPIRED
10,EP,A2,EP 1498970 A2,060-448-125-816-321,2005-01-19,2005,EP 03021825 A,2003-09-26,CA 2435295 A;;CN 03141308 A,2003-06-10,Humidifying module and its unit cell for fuel cell,"A module for humidifying a fuel cell (5) and a unit cell (100) therein. The unit cell includes a first guiding plate (10), a second guiding plate (20), and an intermediate layer (30). The first guiding plate, communicating with the fuel cell, includes a plurality of first grooves (11) so that air flows to the fuel cell via the first grooves. The second guiding plate, communicating with the fuel cell, includes a plurality of second grooves (21) so that gas from the fuel cell flows out of the unit cell via the second grooves. The second grooves face the first grooves. The intermediate layer is disposed between the first guiding plate and the second guiding plate, and prevents the air flowing in the first grooves from mixing with the gas flowing in the second grooves. Water content in the gas flowing in the second grooves is transmitted to the first grooves.",ASIA PACIFIC FUEL CELL TECH,YANG JEFFERSON YS;;YANG TE-CHOU;;KAO MIKE PEN-MU;;HSU YAO-SHENG;;CHENG YAW-CHUNG,,https://lens.org/060-448-125-816-321,Patent Application,yes,0,1,2,3,0,H01M8/04291;;H01M8/04119;;H01M8/04156;;Y02E60/50,H01M8/04,,0,0,,,,DISCONTINUED
