"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,WO,A1,WO 2022/187550 A1,061-261-859-011-991,2022-09-09,2022,US 2022/0018790 W,2022-03-03,US 202163156345 P,2021-03-03,FLOW DIVERTER DEVICES AND ASSOCIATED METHODS AND SYSTEMS,"A flow diverter device for restricting blood flow to an aneurysm at a blood vessel bifurcation is disclosed and described. The flow diverter device includes a linear device body that includes a high-density distal cap having an outer convex shape structurally configured to engage an aneurysm ostium on a blood vessel side at a blood vessel bifurcation, such that the high-density distal cap restricts blood flow into the aneurysm from the blood vessel bifurcation, a low-density section adjacent the high-density distal cap to allow blood flow through the blood vessel bifurcation, a stent section adjacent the low-density section and structurally configured to stabilize the linear device body in a lumen of the blood vessel bifurcation, and a proximal wire attachment at a lateral edge of the stent section, where the stent section terminally couples to a distal end of the proximal wire attachment.",BEATY NARLIN,BEATY NARLIN,,https://lens.org/061-261-859-011-991,Patent Application,yes,4,0,2,2,0,A61F2002/068;;A61F2/90;;A61F2/95;;A61F2002/9505;;A61B17/12118;;A61B17/12172;;A61B2017/12054,A61F2/966;;A61B17/12;;A61F2/82,,0,0,,,,PENDING
2,WO,A1,WO 2023/172656 A1,155-691-803-892-839,2023-09-14,2023,US 2023/0014853 W,2023-03-08,US 202263317937 P,2022-03-08,FLOW DIVERTER DEVICES AND ASSOCIATED METHODS AND SYSTEMS,"A flow diverter device having a linear implant having an undeployed configuration and a deployed configuration, and having, in the deployed configuration, a low-porosity distal cap having an outer convex shape structurally configured to be longitudinally positionable adjacent a luminal wall of a blood vessel bifurcation at an aneurysm, a transverse flow section coupled to a proximal end of the distal cap, and a linear support body coupled to a proximal end of the transverse flow section. The linear support body is structurally configured to support the distal cap at the aneurism through the transverse flow section, wherein the low-porosity distal cap is structurally configured to divert at least a portion of blood received from the linear support body through the transverse flow section.",BEATY NARLIN,BEATY NARLIN,,https://lens.org/155-691-803-892-839,Patent Application,yes,4,0,1,3,0,A61B17/12118;;A61B2090/3966;;A61B17/12172;;A61B2017/00867;;A61F2002/823;;A61F2002/821;;A61F2/88;;A61F2230/0093,A61F2/95;;A61B17/12;;A61F2/86,,0,0,,,,PENDING
3,EP,A1,EP 4301292 A1,073-962-837-401-574,2024-01-10,2024,EP 22764093 A,2022-03-03,US 202163156345 P;;US 2022/0018790 W,2021-03-03,FLOW DIVERTER DEVICES AND ASSOCIATED METHODS AND SYSTEMS,,BEATY NARLIN,BEATY NARLIN,,https://lens.org/073-962-837-401-574,Patent Application,yes,0,0,2,2,0,A61F2002/068;;A61F2/90;;A61F2/95;;A61F2002/9505;;A61B17/12118;;A61B17/12172;;A61B2017/12054,A61F2/966;;A61B17/12;;A61F2/82,,0,0,,,,PENDING
4,WO,A1,WO 2023/168013 A1,083-734-798-183-84X,2023-09-07,2023,US 2023/0014400 W,2023-03-02,US 202263315904 P,2022-03-02,MEDICAL DEVICE DEPLOYMENT DEVICES AND ASSOCIATED SYSTEMS AND METHODS,"An implant delivery device, having a catheter sized for insertion and movement through a blood vessel, the catheter having a delivery lumen, a pusher wire slidably disposed within the delivery lumen, a distal guide linearly coupled to a distal end of the pusher wire, and an implant anchor coupled to the distal guide. The implant anchor includes a proximal transverse edge, where the proximal transverse edge is structurally configured to mechanically engage a distal-facing region of a proximal transverse opening of an expandable implant in an undeployed configuration on the distal guide, and the proximal transverse edge is further structurally configured such that radial movement of the proximal transverse opening away from the transverse edge disengages the expandable implant from the implant anchor.",NEUROMEDICA INC,BEATY NARLIN;;HEINTZE MARIO;;FRIEDRICH THOMAS,,https://lens.org/083-734-798-183-84X,Patent Application,yes,6,0,1,3,0,A61F2/966;;A61F2002/9665;;A61F2/90,A61F2/95;;A61F2/06,,0,0,,,,PENDING
5,US,A1,US 2023/0293183 A1,131-785-945-986-407,2023-09-21,2023,US 202318185943 A,2023-03-17,US 202318185943 A;;US 2023/0014400 W;;US 2023/0014853 W;;US 202263321069 P;;US 202263315904 P;;US 202263317937 P,2022-03-02,FLOW DIVERTER DELIVERY SYSTEMS AND ASSOCIATED METHODS,"A flow diverter delivery system having a catheter, a pusher wire slidably disposed within the catheter, a distal guide linearly coupled to a distal end of the pusher wire, and a flow diverter anchor coupled to the distal guide. A flow diverter having an undeployed and a deployed configuration is mechanically coupled to the flow diverter anchor and, when in the deployed configuration, includes a low-porosity distal cap, a transverse flow section coupled to the distal cap, and a linear support body coupled to the transverse flow section. The low-porosity distal cap is structurally configured to divert at least a portion of blood through the transverse flow section. When the flow diverter is exposed from the catheter, radial movement of the flow diverter away from the flow diverter anchor disengages the mechanical coupling between the flow diverter and the flow diverter anchor.",NEROMEDICA INC,BEATY NARLIN;;HEINTZE MARIO;;FRIEDRICH THOMAS,,https://lens.org/131-785-945-986-407,Patent Application,yes,0,0,1,3,0,A61F2002/823;;A61F2/90;;A61F2002/068;;A61F2/954;;A61B17/12172;;A61B2017/12054;;A61B17/12118;;A61B2017/00867;;A61B2090/3966;;A61B17/12118;;A61B2017/12054;;A61F2/86;;A61B17/12172,A61B17/12;;A61F2/86,,0,0,,,,PENDING
6,DE,T2,DE 69017559 T2,156-569-054-081-007,1995-07-06,1995,DE 69017559 T,1990-07-19,US 38453089 A,1989-07-24,Stabile Lösung von Hyaluronat in einem isotonen Salzmilieu.,,ALLERGAN PHARMACEUTICALS IRELA,MELLO ROBERT J;;TEW WILLIAM P;;BEATY NARLIN B,,https://lens.org/156-569-054-081-007,Granted Patent,no,0,0,8,9,0,A61K9/0048;;A61L27/20;;A61L2430/16;;A61P27/02;;A61L27/20,A61K9/08;;A61K9/00;;A61K31/715;;A61K47/02;;A61K47/36;;A61L27/20;;A61P27/02,,0,0,,,,EXPIRED
7,DE,D1,DE 69017559 D1,199-659-863-438-175,1995-04-13,1995,DE 69017559 T,1990-07-19,US 38453089 A,1989-07-24,Stabile Lösung von Hyaluronat in einem isotonen Salzmilieu.,,ALLERGAN PHARMACEUTICALS IRELA,MELLO ROBERT J;;TEW WILLIAM P;;BEATY NARLIN B,,https://lens.org/199-659-863-438-175,Granted Patent,no,0,0,8,9,0,A61K9/0048;;A61L27/20;;A61L2430/16;;A61P27/02;;A61L27/20,A61K9/08;;A61K9/00;;A61K31/715;;A61K47/02;;A61K47/36;;A61L27/20;;A61P27/02,,0,0,,,,EXPIRED
8,EP,B1,EP 0414373 B1,059-659-705-663-100,1995-03-08,1995,EP 90307878 A,1990-07-19,US 38453089 A,1989-07-24,Stable solution of hyaluronate in a balanced salt medium.,,ALLERGAN PHARMACEUTICALS IRELA,MELLO ROBERT J;;TEW WILLIAM P;;BEATY NARLIN B,ALLERGAN PHARMACEUTICALS (IRELAND) LIMITED (1994-09-28),https://lens.org/059-659-705-663-100,Granted Patent,yes,0,0,8,9,0,A61K9/0048;;A61L27/20;;A61L2430/16;;A61P27/02;;A61L27/20,A61K9/08;;A61K9/00;;A61K31/715;;A61K47/02;;A61K47/36;;A61L27/20;;A61P27/02,,2,0,,,"DATABASE WPIL/DERWENT, accession no. 87-194483 [28], Derwent Publications Ltd,London, GB;;Reprint from ARVO, ABSTRACT VOLUME, March 1989, vol. 30 (3), J.B. Lippincott Company",EXPIRED
9,EP,B2,EP 0414373 B2,133-039-531-718-443,2001-04-25,2001,EP 90307878 A,1990-07-19,US 38453089 A,1989-07-24,Stable solution of hyaluronate in a balanced salt medium,,ALLERGAN PHARMACEUTICALS IRELA,MELLO ROBERT J;;TEW WILLIAM P;;BEATY NARLIN B,ALLERGAN PHARMACEUTICALS (IRELAND) LIMITED (1994-09-28),https://lens.org/133-039-531-718-443,Granted Patent,yes,2,0,8,9,0,A61K9/0048;;A61L27/20;;A61L2430/16;;A61P27/02;;A61L27/20,A61K9/08;;A61K9/00;;A61K31/715;;A61K47/02;;A61K47/36;;A61L27/20;;A61P27/02,,0,0,,,,EXPIRED
10,US,B1,US 6271216 B1,131-507-370-102-235,2001-08-07,2001,US 91202992 A,1992-07-09,US 91202992 A;;US 79883591 A;;US 54238990 A;;US 38453089 A,1989-07-24,Stable solution of hyaluronate in a balanced salt medium,"A stable physiologic balanced salt solution of a hyaluronate salt, such as sodium hyaluronate, is provided which contains calcium ion, for example, in the form of calcium chloride or calcium acetate, and magnesium ion, for example in the form of magnesium chloride or magnesium acetate, together with sodium chloride, potassium chloride or potassium acetate, sodium acetate, sodium citrate and water, and optionally bicarbonate, dextrose and glutathione disulfide, preservatives and other conventional ingredients employed in irrigating solutions. This solution is used as a visco-elastic ophthalmic device during ophthalmic surgery.",ALLERGAN INC,MELLO ROBERT J;;TEW WILLIAM P;;BEATY NARLIN B,JOHNSON & JOHNSON SURGICAL VISION INC (2009-02-26);;ALLERGAN INC (1991-01-04);;CHESAPEAKE BIOLOGICAL LABORATORIES INC (1990-06-25);;EDWARD WECK INCORPORATED (1990-06-25);;ADVANCED MEDICAL OPTICS INC (2003-06-02),https://lens.org/131-507-370-102-235,Granted Patent,yes,8,36,1,9,0,A61K9/0048;;A61L27/20;;A61L2430/16;;A61K9/0048;;A61L27/20;;A61L2430/16,A61K9/00;;A61L27/20,514/78.04;;514/912;;514/54;;424/678;;424/681,16,4,142-033-065-441-174;;096-246-671-864-313;;071-276-574-722-786;;001-732-750-112-491,7428834;;6968684;;10.1016/0014-4835(80)90092-5;;10.1016/0014-4835(80)90093-7;;10.1001/archopht.1975.01010020614011;;239670;;1266927;;10.1016/0002-9394(76)90304-4;;474695;;10.1016/0002-9394(79)90472-0,"Derwent Abst: C87-081037 (Mar. 6, 1987).*;;Derwent Abstract of JP62122671, Mar. 1987.*;;VITRAX, Formulation Package Insert, Weck Feb. 1989.;;American Journal of Opthal., 99, Mar. 1985, p. 322.;;Chang et al, Abstract, Chondroitin Sulfate/Sodium Hyaluronate Compositions, EP-136782 (1985).;;Miyama, Abstract, Cosmetic Compositions Containing Mineral Components 86JP-0182693 (1988).;;Ocular Surgery News, Aug., 1987, pp. 44-47.;;Package Insert for Healon.;;Package Inwert for AMVISC.;;Package Insert for VISCOAT.;;Denlinger, J.L., et al, ""Replacement of the Liquid Vitreus with Sodium Hyaluronate in Monkeys,"" Exp. Eye Res. (1980) 31, 81-99,101-117.;;1988 PDR for Ophthalmology-Alcon Labs balanced salt solution.;;Edelhauser, H.F., Van Horn, D.L., Hyndiuk, R.A., Schultz, R.O., ""Intraocular Irrigating Solution: Their Effect on the Corneal Endothelium,"" ARch. Ophthalmol., 93: 648, 1975.;;Edelhauser, H.F., Van Horn, D.L., Schultz, R.O., Hyndiuk, R.A., ""Comparative Toxicity of Intraocular Irrigating Solution on the Corneal Endothelium,"" Am. J. Ophthalmol., 81; 473, 1976.;;Moorhead, L.C., Redburn, D.A., Merritt, J., Garcia, C.A., ""The Effects of Intravitreal Irrigation During Vitrectomy on the Electroretinogram,"" Am. J. Ophthalmol., 88: 239, 1979.;;McCulley et al, A New Quantitative Method for the In Vitro Assessment of Experimental and Clinical Sodium Hyaluronate (SH) Preparations, ARVO Abstract volume, Mar. 1989, vol. 30, No. 3.",EXPIRED
