"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A1,US 2018/0298677 A1,112-170-854-702-528,2018-10-18,2018,US 201815952198 A,2018-04-12,US 201815952198 A;;US 201762485149 P,2017-04-13,MODULAR THRESHOLD ASSEMBLY,"Disclosed is a modular threshold assembly having a frame, a cover plate detachably attached to the frame at the first end of the frame first wall and the first end of the frame second wall and an elongate body detachably attached to the frame and being proximate to the frame first wall. Also, disclosed is door frame having the modular threshold assembly. The threshold assembly can permit replacement of different components of the modular assembly, while permitting water or moisture to be expelled to the exterior.",ALKHOURY PAUL BOULOS;;TOPPAN MARCELLO,ALKHOURY PAUL BOULOS;;TOPPAN MARCELLO,VINYL WINDOW DESIGNS (2023-02-02),https://lens.org/112-170-854-702-528,Patent Application,yes,23,7,3,3,0,E06B7/14;;E06B7/14;;E06B1/70,E06B7/14;;E06B1/70;;E06B3/06,,0,0,,,,ACTIVE
2,CA,A1,CA 3001401 A1,100-679-998-397-127,2018-10-13,2018,CA 3001401 A,2018-04-13,US 201762485149 P,2017-04-13,MODULAR THRESHOLD ASSEMBLY,"Disclosed is a modular threshold assembly having a frame, a cover plate detachably attached to the frame at the first end of the frame first wall and the first end of the frame second wall and an elongate body detachably attached to the frame and being proximate to the frame first wall. Also, disclosed is door frame having the modular threshold assembly. The threshold assembly can permit replacement of different components of the modular assembly, while permitting water or moisture to be expelled to the exterior.",ALKHOURY PAUL BOULOS;;TOPPAN MARCELLO,ALKHOURY PAUL BOULOS;;TOPPAN MARCELLO,,https://lens.org/100-679-998-397-127,Patent Application,no,0,3,3,3,0,E06B7/14;;E06B7/14;;E06B1/70,E06B1/70,,0,0,,,,PENDING
3,US,B2,US 10895103 B2,086-129-626-464-083,2021-01-19,2021,US 201815952198 A,2018-04-12,US 201815952198 A;;US 201762485149 P,2017-04-13,Modular threshold assembly,"Disclosed is a modular threshold assembly having a frame, a cover plate detachably attached to the frame at the first end of the frame first wall and the first end of the frame second wall and an elongate body detachably attached to the frame and being proximate to the frame first wall. Also, disclosed is door frame having the modular threshold assembly. The threshold assembly can permit replacement of different components of the modular assembly, while permitting water or moisture to be expelled to the exterior.",ALKHOURY PAUL BOULOS;;TOPPAN MARCELLO,ALKHOURY PAUL BOULOS;;TOPPAN MARCELLO,VINYL WINDOW DESIGNS (2023-02-02),https://lens.org/086-129-626-464-083,Granted Patent,yes,30,3,3,3,0,E06B7/14;;E06B7/14;;E06B1/70,E06B7/14;;E06B1/70,,0,0,,,,ACTIVE
4,CA,A1,CA 2579234 A1,079-728-704-373-007,2008-08-20,2008,CA 2579234 A,2007-02-20,CA 2579234 A,2007-02-20,MAGNETICALLY ATTACHABLE WINDOW SCREEN SYSTEM,"A magnetically attachable window screen system comprising, a rectangular casement window comprising a casement window frame for removab ly attaching a rectangular window screen the casement window frame comprising four window frame sides, the four window frame sides comprising a lower horizontal frame side, an upp er horizontal frame side and two opposing vertical frame sides, each window frame side comprisin g a front perimeter wall and a side perimeter wall, at least one frame magnet attached to the casement window frame at least partly behind the plane defining the front perimeter wall or the plane defining the side perimeter wall, at least one support on the casement window frame for supporting the window screen, the window screen comprising a screen frame comprising four screen bars, the four screen bars comprising a lower horizontal screen bar, an upper horizontal screen ba r, and two vertical screen bars, the window screen further comprising at least one screen magnet attach ed to the window screen frame and positioned to magnetically co-operate with the at least one frame magnet attached to the casement window frame.",D UVA PASQUALINO;;ALKOURY BOULOS PAUL,D UVA PASQUALINO;;ALKOURY BOULOS PAUL,,https://lens.org/079-728-704-373-007,Patent Application,no,0,4,4,4,0,E06B9/52;;Y10S160/16;;Y10T24/32;;Y10T24/32;;E06B9/52;;Y10S160/16,E06B9/52;;A44B99/00,,0,0,,,,ACTIVE
5,CA,C,CA 2579234 C,107-407-798-821-806,2014-08-26,2014,CA 2579234 A,2007-02-20,CA 2579234 A,2007-02-20,MAGNETICALLY ATTACHABLE WINDOW SCREEN SYSTEM,"A magnetically attachable window screen system comprising, a rectangular casement window comprising a casement window frame for removably attaching a rectangular window screen the casement window frame comprising four window frame sides, the four window frame sides comprising a lower horizontal frame side, an upper horizontal frame side and two opposing vertical frame sides, each window frame side comprising a front perimeter wall and a side perimeter wall, at least one frame magnet attached to the casement window frame at least partly behind the plane defining the front perimeter wall or the plane defining the side perimeter wall, at least one support on the casement window frame for supporting the window screen, the window screen comprising a screen frame comprising four screen bars, the four screen bars comprising a lower horizontal screen bar, an upper horizontal screen bar, and two vertical screen bars, the window screen further comprising at least one screen magnet attached to the window screen frame and positioned to magnetically co-operate with the at least one frame magnet attached to the casement window frame.",ALKOURY BOULOS PAUL;;D UVA PASQUALINO,ALKOURY BOULOS PAUL;;D UVA PASQUALINO,,https://lens.org/107-407-798-821-806,Granted Patent,no,0,2,4,4,0,E06B9/52;;Y10S160/16;;Y10T24/32;;Y10T24/32;;E06B9/52;;Y10S160/16,E06B9/52;;A44B99/00,,0,0,,,,ACTIVE
6,FR,A1,FR 2798295 A1,187-311-166-654-101,2001-03-16,2001,FR 0011667 A,2000-09-13,US 39435399 A,1999-09-13,"Combined micro-macro brain stimulation lead has micro segment movable in macro segment between retracted position, deployed position extending through macro segment opening","The combined micro-macro brain stimulation lead (10) has a macro segment with an opening (50) and a micro segment (70) arranged to be movable within the macro segment between a retracted position, in which it is insider the macro segment, and a deployed position, in which it extends through the opening in the macro segment. The macro segment has at least one electrode near the opening.",MEDTRONIC INC,GIELEN FRANS LH;;BEJJANI PAUL BOULOS,,https://lens.org/187-311-166-654-101,Patent Application,no,8,3,2,12,0,A61N1/0529;;A61N1/36017;;A61N1/36025;;A61N1/36082,A61N1/05;;A61N1/36,,0,0,,,,DISCONTINUED
7,US,A1,US 2009/0183844 A1,138-454-647-768-311,2009-07-23,2009,US 7140208 A,2008-02-20,CA 2579234 A,2007-02-20,Magnetically attachable window screen system,"A magnetically attachable window screen system comprising, a rectangular casement window comprising a casement window frame for removably attaching a rectangular window screen, the casement window frame comprising four window frame sides, the four window frame sides comprising a lower horizontal frame side, an upper horizontal frame side and two opposing vertical frame sides, each window frame side comprising a front perimeter wall and a side perimeter wall, at least one frame magnet attached to the casement window frame at least partly behind the plane defining the front perimeter wall or the plane defining the side perimeter wall, at least one support on the casement window frame for supporting the window screen, the window screen comprising a screen frame comprising four screen bars, the four screen bars comprising a lower horizontal screen bar, an upper horizontal screen bar, and two vertical screen bars, the window screen further comprising at least one screen magnet attached to the window screen frame and positioned to magnetically co-operate with the at least one frame magnet attached to the casement window frame.",ALKHOURY BOULOS PAUL;;D UVA PASQUALINO,ALKHOURY BOULOS PAUL;;D UVA PASQUALINO,,https://lens.org/138-454-647-768-311,Patent Application,yes,34,17,4,4,0,E06B9/52;;Y10S160/16;;Y10T24/32;;Y10T24/32;;E06B9/52;;Y10S160/16,E06B3/00;;A44B99/00,160/369;;24/303,0,0,,,,ACTIVE
8,US,B2,US 8037923 B2,113-552-654-286-785,2011-10-18,2011,US 7140208 A,2008-02-20,CA 2579234 A,2007-02-20,Magnetically attachable window screen system,"A magnetically attachable window screen system comprising, a rectangular casement window comprising a casement window frame for removably attaching a rectangular window screen, the casement window frame comprising four window frame sides, the four window frame sides comprising a lower horizontal frame side, an upper horizontal frame side and two opposing vertical frame sides, each window frame side comprising a front perimeter wall and a side perimeter wall, at least one frame magnet attached to the casement window frame at least partly behind the plane defining the front perimeter wall or the plane defining the side perimeter wall, at least one support on the casement window frame for supporting the window screen, the window screen comprising a screen frame comprising four screen bars, the four screen bars comprising a lower horizontal screen bar, an upper horizontal screen bar, and two vertical screen bars, the window screen further comprising at least one screen magnet attached to the window screen frame and positioned to magnetically co-operate with the at least one frame magnet attached to the casement window frame.",ALKHOURY BOULOS PAUL;;D UVA PASQUALINO,ALKHOURY BOULOS PAUL;;D UVA PASQUALINO,,https://lens.org/113-552-654-286-785,Granted Patent,yes,35,19,4,4,0,E06B9/52;;Y10S160/16;;Y10T24/32;;Y10T24/32;;E06B9/52;;Y10S160/16,E06B9/52;;A44B99/00,160/369;;X160DIG 16,0,0,,,,ACTIVE
9,CA,A1,CA 2584090 A1,141-500-919-323-918,2008-10-04,2008,CA 2584090 A,2007-04-04,CA 2584090 A,2007-04-04,"WINDOW CLADDING DEVICE, METHOD AND SYSTEM","A strip of cladding covering an exterior window frame or mullion and joints between the frame or mullion and the surfaces of the adjacent window panes. The strip has a cover with first and second longitudinal opposing sides for placement over the frame or mullion and at least one joint. The first side has a first seal running substantially parallel to the longitudinal axi s of the cover for sealing the cover to the exterior surface of a window pane. The second side has a second seal running substantially parallel to the longitudinal axis of the cover for sealing the cover to the frame or another window pane. The cover is attachable to the frame or mullion for sealing the frame and adjacent joint or mullion and adjacent joints between the first seal and the second seal, in a substantially water resistant manner.",ALKOURY BOULOS PAUL;;KOZLOWSKI CHRISTOPHER H,ALKOURY BOULOS PAUL;;KOZLOWSKI CHRISTOPHER H,,https://lens.org/141-500-919-323-918,Patent Application,no,0,0,2,2,0,E06B3/302;;E06B7/16;;E06B3/302;;E06B7/16,E06B7/26;;E06B3/30;;E06B7/14;;E06B7/16,,0,0,,,,DISCONTINUED
10,US,A1,US 2001/0014820 A1,029-230-193-373-096,2001-08-16,2001,US 81885401 A,2001-03-28,US 81885401 A;;US 39435399 A;;US 924798 A,1998-01-20,Method of stimulating brain tissue using combined micro-macro brain stimulation lead,"
   A lead for brain stimulation comprising a macro segment having a macro electrode for test stimulation and subsequent chronic stimulation, and a micro segment having a micro electrode for single cell recording is described. Methods for using the lead to stimulate brain tissue and to identify functional boundaries within brain tissue are also provided. 
",MEDTRONIC INC,GIELEN FRANS L H;;BEJJANI PAUL BOULOS,,https://lens.org/029-230-193-373-096,Patent Application,yes,0,45,4,12,0,A61N1/0529;;A61N1/0534;;A61N1/3605;;A61N1/36082;;A61N1/0529;;A61N1/36082;;A61N1/0534;;A61N1/3605,A61N1/05;;A61N1/36,607/116,0,0,,,,DISCONTINUED
