"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,WO,A1,WO 2001/017830 A1,027-099-951-250-375,2001-03-15,2001,ES 0000329 W,2000-08-22,ES 9901989 A,1999-09-06,TENSIONING DEVICE FOR CABLES,"The invention relates to a tensioning device for a cable, particularly for a handbrake cable of a motor vehicle. The tensioning device comprises a simple mechanism with a cable terminating part (10) having a spherical extremity (5) and which can be wedged between a disk (4) and a plate (3) mounted on a bush (7) and wherein the brake lever (9) can also rotate. The brake lever incorporates a pawl (1) which travels on a toothing (12) of the disk (4).",BATZ S COOP;;ETXEBARRENA ALLENDE RAFAEL,ETXEBARRENA ALLENDE RAFAEL,,https://lens.org/027-099-951-250-375,Patent Application,yes,5,0,12,12,0,B60T7/108;;Y10T74/2137;;Y10T74/20408;;Y10T74/20684;;Y10T74/2137;;Y10T74/20408;;Y10T74/20684;;B60T7/108,B60T7/10,,0,0,,,,PATENTED
2,DE,T2,DE 60027402 T2,122-163-885-426-439,2006-11-09,2006,DE 60027402 T,2000-08-22,ES 9901989 A;;ES 0000329 W,1999-09-06,SPANNVORRICHTUNG FÜR KABEL,,BATZ S COOP,ETXEBARRENA ALLENDE RAFAEL,,https://lens.org/122-163-885-426-439,Granted Patent,no,0,1,12,12,0,B60T7/108;;Y10T74/2137;;Y10T74/20408;;Y10T74/20684;;Y10T74/2137;;Y10T74/20408;;Y10T74/20684;;B60T7/108,B60T7/10,,0,0,,,,EXPIRED
3,AU,A,AU 2000/068433 A,197-584-377-976-828,2001-04-10,2001,AU 2000/068433 A,2000-08-22,ES 9901989 A;;ES 0000329 W,1999-09-06,Tensioning device for cables,,BATZ S COOP,ALLENDE RAFAEL ETXEBARRENA,,https://lens.org/197-584-377-976-828,Patent Application,no,0,0,12,12,0,B60T7/108;;Y10T74/2137;;Y10T74/20408;;Y10T74/20684;;Y10T74/2137;;Y10T74/20408;;Y10T74/20684;;B60T7/108,B60T7/10,,0,0,,,,DISCONTINUED
4,EP,B1,EP 1127759 B1,081-251-733-024-830,2006-04-19,2006,EP 00956526 A,2000-08-22,ES 0000329 W;;ES 9901989 A,1999-09-06,TENSIONING DEVICE FOR CABLES,,BATZ S COOP,ETXEBARRENA ALLENDE RAFAEL,,https://lens.org/081-251-733-024-830,Granted Patent,yes,5,0,12,12,0,B60T7/108;;Y10T74/2137;;Y10T74/20408;;Y10T74/20684;;Y10T74/2137;;Y10T74/20408;;Y10T74/20684;;B60T7/108,B60T7/10,,0,0,,,,EXPIRED
5,EP,A1,EP 1127759 A1,123-449-425-901-69X,2001-08-29,2001,EP 00956526 A,2000-08-22,ES 0000329 W;;ES 9901989 A,1999-09-06,TENSIONING DEVICE FOR CABLES,"A tension device for cables, in particular for the handbrake cable of automobile vehicles. It includes a simple mechanism with a cable finishing part (10) with a spherical end (5) that can become wedged between a disc (4) and a bowl (3) mounted on a bushing (7) on which the brake lever (9) also turns. This lever includes a ratchet (1) that travels along a toothed portion (12) of the disc (4).",BATZ S COOP,ETXEBARRENA ALLENDE RAFAEL,,https://lens.org/123-449-425-901-69X,Patent Application,yes,0,1,12,12,0,B60T7/108;;Y10T74/2137;;Y10T74/20408;;Y10T74/20684;;Y10T74/2137;;Y10T74/20408;;Y10T74/20684;;B60T7/108,B60T7/10,,0,0,,,,EXPIRED
6,US,B1,US 6477915 B1,037-439-761-928-588,2002-11-12,2002,US 83051701 A,2001-08-01,ES 9901989 A;;ES 0000329 W,1999-09-06,Tensioning device for cables,"
    A tension device for cables, in particular for the handbrake cable of automobile vehicles. It includes a simple mechanism with a cable finishing part (  10  ) with a spherical end (  5  ) that can become wedged between a disc (  4  ) and a bowl (  3  ) mounted on a bushing (  7  ) on which the brake lever (  9  ) also turns. This lever includes a ratchet (  1  ) that travels along a toothed portion (  12  ) of the disc (  4  ). 
",BATZ S COOP,ETXEBARRENA ALLENDE RAFAEL,BATZ. S. COOP (2001-07-09),https://lens.org/037-439-761-928-588,Granted Patent,yes,12,3,12,12,0,B60T7/108;;Y10T74/2137;;Y10T74/20408;;Y10T74/20684;;Y10T74/2137;;Y10T74/20408;;Y10T74/20684;;B60T7/108,B60T7/10,745015R;;74/535;;X 74577 S,0,0,,,,EXPIRED
7,BR,A,BR 0007024 A,057-357-754-379-396,2001-07-03,2001,BR 0007024 A,2000-08-22,ES 9901989 A;;ES 0000329 W,1999-09-06,Dispositivo tensor para cabos,"<MU>DISPOSITIVO TENSOR PARA CABOS<MV> A invenção se refere a um dispositivo tensor para cabos, em particular para um cabo de freio de mão de veículos motores. O dispositivo tensor inclui um mecanismo simples com uma parte de terminação de cabo (10) com uma extremidade esférica (5) que pode ser encunhada entre um disco (4) e um copo (3) montados sobre uma bucha (7) em que a alavanca de freio também gira. A alavanca de freio inclui um setor dentado (1) que se movimenta ao longo de uma porção dentada (12) do disco (4).",BATZ S COOP LTDA,ALLENDE RAFAEL ETXEBARRENA,,https://lens.org/057-357-754-379-396,Patent Application,no,0,0,12,12,0,B60T7/108;;Y10T74/2137;;Y10T74/20408;;Y10T74/20684;;Y10T74/2137;;Y10T74/20408;;Y10T74/20684;;B60T7/108,B60T7/10,,0,0,,,,PENDING
8,ES,B1,ES 2160511 B1,139-187-050-518-62X,2002-06-01,2002,ES 9901989 A,1999-09-06,ES 9901989 A,1999-09-06,TENSOR DE CABLE.,"""Tensor de cable"". Un tensor de cable, en particular para cable de freno de mano de vehículos automóviles. Incluye un sencillo mecanismo con una pieza remate del cable (10) con un extremo esférico (5) el que puede acuñarse entre un disco (4) y una cazoleta (3) montadas sobre un casquillo (7) en el que gira también la palanca de freno (9). Esta última incorpora un trinquete (1) que recorre un dentado (12) del disco (4).",BATZ S COOP,ETXEBARRENA ALLENDE RAFAEL,,https://lens.org/139-187-050-518-62X,Granted Patent,no,0,0,12,12,0,B60T7/108;;Y10T74/2137;;Y10T74/20408;;Y10T74/20684;;Y10T74/2137;;Y10T74/20408;;Y10T74/20684;;B60T7/108,B60T7/10,,0,0,,,,EXPIRED
9,ES,T3,ES 2261232 T3,058-508-006-252-404,2006-11-16,2006,ES 00956526 T,2000-08-22,ES 9901989 A,1999-09-06,TENSOR PARA CABLES.,"Un tensor de cable, en particular para cable de freno de mano de vehículos automóviles. Incluye un sencillo mecanismo con una pieza remate del cable (10) con un extremo esférico (5) el que puede acuñarse entre un disco (4) y una cazoleta (3) montadas sobre un casquillo (7) en el que gira también la palanca de freno (9). Esta última incorpora un trinquete (1) que recorre un dentado (12) del disco (4).",BATZ S COOP,ETXEBARRENA ALLENDE RAFAEL,,https://lens.org/058-508-006-252-404,Granted Patent,no,0,0,12,12,0,B60T7/108;;Y10T74/2137;;Y10T74/20408;;Y10T74/20684;;Y10T74/2137;;Y10T74/20408;;Y10T74/20684;;B60T7/108,B60T7/10,,0,0,,,,EXPIRED
10,MX,A,MX PA01004172 A,182-962-086-241-013,2003-08-20,2003,MX PA01004172 A,2000-08-22,ES 9901989 A;;ES 0000329 W,1999-09-06,TENSIONING DEVICE FOR CABLES.,,BATZ S COOP LTDA,RAFAEL ETXEBARREN ALLENDE,,https://lens.org/182-962-086-241-013,Patent Application,no,0,0,12,12,0,B60T7/108;;Y10T74/2137;;Y10T74/20408;;Y10T74/20684;;Y10T74/2137;;Y10T74/20408;;Y10T74/20684;;B60T7/108,B60T7/10,,0,0,,,,EXPIRED
