"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,AU,A,AU 2000/011460 A,073-184-803-995-214,2000-08-07,2000,AU 2000/011460 A,1999-11-22,CH 9900555 W;;US 23282599 A,1999-01-19,Device and method for locating and resecting bone,"A device and method for the location of a pedicle and resection of the corresponding lamina are disclosed. The device includes an osteotome having a cutting element configured and dimensioned to remove a section of bone sized to accommodate a portion of an implant; and a pedicle finder having a handle at a proximal end for manipulation of the pedicle finder, a pedicle locator at a distal end connected to the handle by a shaft, and a osteotome guide located on the shaft configured and dimensioned to slidingly engage at least a portion of the osteotome. By providing the osteotome guide on the same device as the pedicle locator and configuring the cutting element of the osteotome and osteotome guide to remove a fixed section of bone, the size and position of the resected bone is optimized to help ensure proper seating of an implant such as a pedicle hook.",SYNTHES AG,CHESNUT RANDALL M,,https://lens.org/073-184-803-995-214,Patent Application,no,0,0,14,14,0,A61B17/1604;;A61B17/1735;;A61B17/1757;;A61B17/1604;;A61B17/1735;;A61B17/1757,A61B17/16;;A61B17/17;;A61B17/56,,0,0,,,,EXPIRED
2,EP,A1,EP 1143862 A1,031-320-616-740-718,2001-10-17,2001,EP 99973624 A,1999-11-22,CH 9900555 W;;US 23282599 A,1999-01-19,DEVICE FOR LOCATING AND RESECTING BONE,"A device and method for the location of a pedicle and resection of the corresponding lamina are disclosed. The device includes an osteotome having a cutting element configured and dimensioned to remove a section of bone sized to accommodate a portion of an implant; and a pedicle finder having a handle at a proximal end for manipulation of the pedicle finder, a pedicle locator at a distal end connected to the handle by a shaft, and a osteotome guide located on the shaft configured and dimensioned to slidingly engage at least a portion of the osteotome. By providing the osteotome guide on the same device as the pedicle locator and configuring the cutting element of the osteotome and osteotome guide to remove a fixed section of bone, the size and position of the resected bone is optimized to help ensure proper seating of an implant such as a pedicle hook.",SYNTHES AG,TROXELL THOMAS N;;CHESNUT RANDALL M,SYNTHES GMBH (2006-10-30),https://lens.org/031-320-616-740-718,Patent Application,yes,0,0,14,14,0,A61B17/1604;;A61B17/1735;;A61B17/1757;;A61B17/1604;;A61B17/1735;;A61B17/1757,A61B17/16;;A61B17/17;;A61B17/56,,0,0,,,,EXPIRED
3,US,A,US 6126664 A,083-610-263-800-237,2000-10-03,2000,US 23282599 A,1999-01-19,US 23282599 A,1999-01-19,Device and method for locating and resecting bone,"A device and method for the location of a pedicle and resection of the corresponding lamina are disclosed. The device includes an osteotome having a cutting element configured and dimensioned to remove a section of bone sized to accommodate a portion of an implant; and a pedicle finder having a handle at a proximal end for manipulation of the pedicle finder, a pedicle locator at a distal end connected to the handle by a shaft, and a osteotome guide located on the shaft configured and dimensioned to slidingly engage at least a portion of the osteotome. By providing the osteotome guide on the same device as the pedicle locator and configuring the cutting element of the osteotome and osteotome guide to remove a fixed section of bone, the size and position of the resected bone is optimized to help ensure proper seating of an implant such as a pedicle hook.",SYNTHES USA,TROXELL THOMAS N;;CHESNUT RANDALL M,SYNTHES USA LLC (1999-02-25),https://lens.org/083-610-263-800-237,Granted Patent,yes,15,70,14,14,0,A61B17/1604;;A61B17/1735;;A61B17/1757;;A61B17/1604;;A61B17/1735;;A61B17/1757,A61B17/16;;A61B17/17;;A61B17/56,606/84;;606/87,0,0,,,,EXPIRED
4,ZA,B,ZA 200104202 B,008-744-059-186-982,2001-12-10,2001,ZA 200104202 A,2001-05-23,US 23282599 A,1999-01-19,Device and method for locating and resecting bone.,"A device and method for the location of a pedicle and resection of the corresponding lamina are disclosed. The device includes an osteotome having a cutting element configured and dimensioned to remove a section of bone sized to accommodate a portion of an implant; and a pedicle finder having a handle at a proximal end for manipulation of the pedicle finder, a pedicle locator at a distal end connected to the handle by a shaft, and a osteotome guide located on the shaft configured and dimensioned to slidingly engage at least a portion of the osteotome. By providing the osteotome guide on the same device as the pedicle locator and configuring the cutting element of the osteotome and osteotome guide to remove a fixed section of bone, the size and position of the resected bone is optimized to help ensure proper seating of an implant such as a pedicle hook.",SYNTHES AG,TROXELL THOMAS N;;CHESNUT RANDALL M,,https://lens.org/008-744-059-186-982,Granted Patent,no,0,0,14,14,0,A61B17/1604;;A61B17/1735;;A61B17/1757;;A61B17/1604;;A61B17/1735;;A61B17/1757,A61B17/16;;A61B17/17;;A61B17/56,,0,0,,,,EXPIRED
5,AT,T1,AT E282363 T1,099-265-352-865-24X,2004-12-15,2004,AT 99973624 T,1999-11-22,CH 9900555 W;;US 23282599 A,1999-01-19,VORRICHTUNG ZUR LOKALIZIERUNG UND RESEKTION VON KNOCHEN,"A device and method for the location of a pedicle and resection of the corresponding lamina are disclosed. The device includes an osteotome having a cutting element configured and dimensioned to remove a section of bone sized to accommodate a portion of an implant; and a pedicle finder having a handle at a proximal end for manipulation of the pedicle finder, a pedicle locator at a distal end connected to the handle by a shaft, and a osteotome guide located on the shaft configured and dimensioned to slidingly engage at least a portion of the osteotome. By providing the osteotome guide on the same device as the pedicle locator and configuring the cutting element of the osteotome and osteotome guide to remove a fixed section of bone, the size and position of the resected bone is optimized to help ensure proper seating of an implant such as a pedicle hook.",SYNTHES AG,TROXELL THOMAS N;;CHESNUT RANDALL M,,https://lens.org/099-265-352-865-24X,Granted Patent,no,0,0,14,14,0,A61B17/1604;;A61B17/1735;;A61B17/1757;;A61B17/1604;;A61B17/1735;;A61B17/1757,A61B17/16;;A61B17/17;;A61B17/56,,0,0,,,,DISCONTINUED
6,CA,C,CA 2360854 C,181-100-095-928-436,2007-04-03,2007,CA 2360854 A,1999-11-22,CH 9900555 W;;US 23282599 A,1999-01-19,DEVICE AND METHOD FOR LOCATING AND RESECTING BONE,"A device (10) and a method for the location of a pedicle and resection of the corresponding lamina are disclosed. The device (10) includes an osteotome (12) having a cutting element (18) configured and dimensioned to remove a section of bone sized to accommodate a portion of an implant; and a pedicle finder (14) having a handle (20) at a proximal end (22) for manipulation of the pedicle finder (14), a pedicle locator (24) at a distal end (26) connected to the handle (20) by a shaft (28), and an osteotome guide (30) located on the shaft (28) configured and dimensioned to slidingly engage at least a portion of the osteotome (12).",SYNTHES USA,TROXELL THOMAS N;;CHESNUT RANDALL M,,https://lens.org/181-100-095-928-436,Granted Patent,no,0,0,14,14,0,A61B17/1604;;A61B17/1735;;A61B17/1757;;A61B17/1604;;A61B17/1735;;A61B17/1757,A61B17/16;;A61B17/17;;A61B17/56,,0,0,,,,EXPIRED
7,CA,A1,CA 2360854 A1,131-859-450-071-765,2000-07-27,2000,CA 2360854 A,1999-11-22,CH 9900555 W;;US 23282599 A,1999-01-19,DEVICE AND METHOD FOR LOCATING AND RESECTING BONE,"A device (10) and a method for the location of a pedicle and resection of th e corresponding lamina are disclosed. The device (10) includes an osteotome (1 2) having a cutting element (18) configured and dimensioned to remove a section of bone sized to accommodate a portion of an implant; and a pedicle finder (14) having a handle (20) at a proximal end (22) for manipulation of the pedicle finder (14), a pedicle locator (24) at a distal end (26) connected t o the handle (20) by a shaft (28), and an osteotome guide (30) located on the shaft (28) configured and dimensioned to slidingly engage at least a portion of the osteotome (12).",SYNTHES USA,TROXELL THOMAS N;;CHESNUT RANDALL M,,https://lens.org/131-859-450-071-765,Patent Application,no,0,0,14,14,0,A61B17/1604;;A61B17/1735;;A61B17/1757;;A61B17/1604;;A61B17/1735;;A61B17/1757,A61B17/16;;A61B17/17;;A61B17/56,,0,0,,,,EXPIRED
8,AU,B2,AU 745393 B2,183-163-050-017-795,2002-03-21,2002,AU 2000/011460 A,1999-11-22,CH 9900555 W;;US 23282599 A,1999-01-19,Device and method for locating and resecting bone,"A device and method for the location of a pedicle and resection of the corresponding lamina are disclosed. The device includes an osteotome having a cutting element configured and dimensioned to remove a section of bone sized to accommodate a portion of an implant; and a pedicle finder having a handle at a proximal end for manipulation of the pedicle finder, a pedicle locator at a distal end connected to the handle by a shaft, and a osteotome guide located on the shaft configured and dimensioned to slidingly engage at least a portion of the osteotome. By providing the osteotome guide on the same device as the pedicle locator and configuring the cutting element of the osteotome and osteotome guide to remove a fixed section of bone, the size and position of the resected bone is optimized to help ensure proper seating of an implant such as a pedicle hook.",SYNTHES AG,TROXELL THOMAS N;;CHESNUT RANDALL M,,https://lens.org/183-163-050-017-795,Granted Patent,no,0,0,14,14,0,A61B17/1604;;A61B17/1735;;A61B17/1757;;A61B17/1604;;A61B17/1735;;A61B17/1757,A61B17/16;;A61B17/17;;A61B17/56,,0,0,,,,EXPIRED
9,WO,A1,WO 2000/042924 A1,154-995-374-010-936,2000-07-27,2000,CH 9900555 W,1999-11-22,US 23282599 A,1999-01-19,DEVICE AND METHOD FOR LOCATING AND RESECTING BONE,"A device (10) and a method for the location of a pedicle and resection of the corresponding lamina are disclosed. The device (10) includes an osteotome (12) having a cutting element (18) configured and dimensioned to remove a section of bone sized to accommodate a portion of an implant; and a pedicle finder (14) having a handle (20) at a proximal end (22) for manipulation of the pedicle finder (14), a pedicle locator (24) at a distal end (26) connected to the handle (20) by a shaft (28), and an osteotome guide (30) located on the shaft (28) configured and dimensioned to slidingly engage at least a portion of the osteotome (12).",SYNTHES AG;;SYNTHES USA;;TROXELL THOMAS N;;CHESNUT RANDALL M,TROXELL THOMAS N;;CHESNUT RANDALL M,,https://lens.org/154-995-374-010-936,Patent Application,yes,5,1,14,14,0,A61B17/1604;;A61B17/1735;;A61B17/1757;;A61B17/1604;;A61B17/1735;;A61B17/1757,A61B17/16;;A61B17/17;;A61B17/56,,0,0,,,,PATENTED
10,EP,B1,EP 1143862 B1,105-476-783-779-808,2004-11-17,2004,EP 99973624 A,1999-11-22,CH 9900555 W;;US 23282599 A,1999-01-19,DEVICE FOR LOCATING AND RESECTING BONE,"A device and method for the location of a pedicle and resection of the corresponding lamina are disclosed. The device includes an osteotome having a cutting element configured and dimensioned to remove a section of bone sized to accommodate a portion of an implant; and a pedicle finder having a handle at a proximal end for manipulation of the pedicle finder, a pedicle locator at a distal end connected to the handle by a shaft, and a osteotome guide located on the shaft configured and dimensioned to slidingly engage at least a portion of the osteotome. By providing the osteotome guide on the same device as the pedicle locator and configuring the cutting element of the osteotome and osteotome guide to remove a fixed section of bone, the size and position of the resected bone is optimized to help ensure proper seating of an implant such as a pedicle hook.",SYNTHES AG,TROXELL THOMAS N;;CHESNUT RANDALL M,SYNTHES GMBH (2006-10-30),https://lens.org/105-476-783-779-808,Granted Patent,yes,5,0,14,14,0,A61B17/1604;;A61B17/1735;;A61B17/1757;;A61B17/1604;;A61B17/1735;;A61B17/1757,A61B17/16;;A61B17/17;;A61B17/56,,0,0,,,,EXPIRED
