"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,DE,D1,DE 69133557 D1,188-650-061-314-234,2007-03-15,2007,DE 69133557 T,1991-08-28,US 57474790 A;;US 9105917 W,1990-08-29,HOMOLOGE REKOMBINATION IN SÄUGETIER-ZELLEN,The invention relates to methods for intracellularly producing DNA segments by homologous recombination of smaller overlapping DNA fragments and transgenic mammalian cells and transgenic non-human mammals produced by such methods.,PHARMING INTELLECTUAL PTY BV,KAY ROBERT M;;BERNS ANTON;;KRIMPENFORT PAUL;;PIEPER FRANK;;STRIJKER REIN,,https://lens.org/188-650-061-314-234,Granted Patent,no,0,0,12,12,0,A01K67/0275;;A01K2217/05;;C07K14/765;;C07K14/79;;C07K16/00;;C12N15/85;;C12N15/87;;C12N15/907;;C12N2800/206;;C12N2830/00;;C12N2830/85;;A01K67/0275;;C12N15/87;;C12N2800/206;;C07K14/79;;C07K14/765;;C12N15/907;;C12N2830/85;;C07K16/00;;C12N15/85;;C12N2830/00;;A01K2217/05,C12N15/00;;A01K67/027;;C07K14/765;;C07K14/79;;C07K16/00;;C12N5/10;;C12N15/09;;C12N15/12;;C12N15/13;;C12N15/14;;C12N15/85;;C12N15/87;;C12N15/90,,0,0,,,,EXPIRED
2,EP,A1,EP 2692125 A1,172-517-140-275-823,2014-02-05,2014,EP 12712514 A,2012-03-30,US 201161469996 P;;US 2012/0031342 W,2011-03-31,SYSTEM AND METHOD FOR ESTABLISHING A COMMUNICATION SESSION,,SONY MOBILE COMM AB,BIRKLER PAUL JOERGEN;;FEDOSOV ANTON;;BLATTMAN JEFFREY;;REIN JR RICHARD WALTER,,https://lens.org/172-517-140-275-823,Patent Application,yes,0,1,10,10,0,G06F21/313;;H04L63/18;;H04M1/2755;;H04L67/141;;G06Q20/3276;;H04L63/08;;H04M1/72445;;H04W12/77;;H04W12/50;;G06F21/313;;H04L63/18;;H04M1/2755;;G06Q20/3276;;H04L67/141;;H04M1/72445;;H04W12/50;;H04W12/77;;H04L63/08,H04N1/32;;H04L29/06;;H04M1/72445,,0,0,,,,ACTIVE
3,AT,T1,AT E352612 T1,137-042-399-623-22X,2007-02-15,2007,AT 91917155 T,1991-08-28,US 57474790 A,1990-08-29,HOMOLOGE REKOMBINATION IN SÄUGETIER-ZELLEN,The invention relates to methods for intracellularly producing DNA segments by homologous recombination of smaller overlapping DNA fragments and transgenic mammalian cells and transgenic non-human mammals produced by such methods.,PHARMING INTELLECTUAL PTY BV,KAY ROBERT M;;BERNS ANTON;;KRIMPENFORT PAUL;;PIEPER FRANK;;STRIJKER REIN,,https://lens.org/137-042-399-623-22X,Granted Patent,no,0,0,12,12,0,A01K67/0275;;A01K2217/05;;C07K14/765;;C07K14/79;;C07K16/00;;C12N15/85;;C12N15/87;;C12N15/907;;C12N2800/206;;C12N2830/00;;C12N2830/85;;A01K67/0275;;C12N15/87;;C12N2800/206;;C07K14/79;;C07K14/765;;C12N15/907;;C12N2830/85;;C07K16/00;;C12N15/85;;C12N2830/00;;A01K2217/05,A01K67/027;;C07K14/765;;C07K14/79;;C07K16/00;;C12N5/10;;C12N15/09;;C12N15/85;;C12N15/87;;C12N15/90,,0,0,,,,EXPIRED
4,EP,A4,EP 0546091 A4,168-089-811-950-170,1993-12-29,1993,EP 91917155 A,1991-08-28,US 57474790 A;;US 9105917 W,1990-08-29,HOMOLOGOUS RECOMBINATION IN MAMMALIAN CELLS,The invention relates to methods for intracellularly producing DNA segments by homologous recombination of smaller overlapping DNA fragments and transgenic mammalian cells and transgenic non-human mammals produced by such methods.,GENPHARM INTERNATIONAL,"KAY, ROBERT M.;;BERNS, ANTON;;KRIMPENFORT, PAUL;;PIEPER, FRANK;;STRIJKER, REIN",PHARMING INTELLECTUAL PROPERTY BV (1999-06-09);;GENE PHARMING EUROPE BV (1994-07-13);;PHARMING B.V. (1996-04-10),https://lens.org/168-089-811-950-170,Search Report,no,0,0,12,12,0,A01K67/0275;;A01K2217/05;;C07K14/765;;C07K14/79;;C07K16/00;;C12N15/85;;C12N15/87;;C12N15/907;;C12N2800/206;;C12N2830/00;;C12N2830/85;;A01K67/0275;;C12N15/87;;C12N2800/206;;C07K14/79;;C07K14/765;;C12N15/907;;C12N2830/85;;C07K16/00;;C12N15/85;;C12N2830/00;;A01K2217/05,A01K67/027;;C07K14/765;;C07K14/79;;C07K16/00;;C12N5/10;;C12N15/09;;C12N15/85;;C12N15/87;;C12N15/90,,1,0,,,"Journal of Cell Biology, Volume 107 (6 parts), issued 29 January-02 February 1989, GOODMAN et al., ""Preparation from lactating bovine mammary cells grown in vitro of a partial cDNA clone for bovine lactoferrin"", pages 846a, column 1, see entire article.",EXPIRED
5,EP,B1,EP 0546091 B1,014-317-637-212-494,2007-01-24,2007,EP 91917155 A,1991-08-28,US 57474790 A;;US 9105917 W,1990-08-29,HOMOLOGOUS RECOMBINATION IN MAMMALIAN CELLS,The invention relates to methods for intracellularly producing DNA segments by homologous recombination of smaller overlapping DNA fragments and transgenic mammalian cells and transgenic non-human mammals produced by such methods.,PHARMING INTELLECTUAL PTY BV,KAY ROBERT M;;BERNS ANTON;;KRIMPENFORT PAUL;;PIEPER FRANK;;STRIJKER REIN,PHARMING INTELLECTUAL PROPERTY BV (1999-06-09);;GENE PHARMING EUROPE BV (1994-07-13);;PHARMING B.V. (1996-04-10),https://lens.org/014-317-637-212-494,Granted Patent,yes,0,0,12,12,0,A01K67/0275;;A01K2217/05;;C07K14/765;;C07K14/79;;C07K16/00;;C12N15/85;;C12N15/87;;C12N15/907;;C12N2800/206;;C12N2830/00;;C12N2830/85;;A01K67/0275;;C12N15/87;;C12N2800/206;;C07K14/79;;C07K14/765;;C12N15/907;;C12N2830/85;;C07K16/00;;C12N15/85;;C12N2830/00;;A01K2217/05,C12N15/00;;A01K67/027;;C07K14/765;;C07K14/79;;C07K16/00;;C12N5/10;;C12N15/09;;C12N15/12;;C12N15/13;;C12N15/14;;C12N15/85;;C12N15/87;;C12N15/90,,6,6,002-737-426-028-449;;050-391-356-718-465;;025-529-130-352-23X;;006-154-091-406-532;;077-608-060-717-038;;039-902-720-307-579,2195548;;pmc54271;;10.1073/pnas.87.13.5109;;1614855;;pmc336909;;10.1093/nar/20.11.2693;;2835520;;10.1128/jvi.62.6.2191-2195.1988;;pmc253328;;pmc556470;;10.1002/j.1460-2075.1992.tb05070.x;;1537326;;10.1093/nar/20.12.3073;;pmc312440;;1620604;;10.1128/mcb.10.8.4163-4169.1990;;2196449;;pmc360944;;10.1128/mcb.10.8.4163,"Pachnis et al: (1990) Proc. Natl. Acad. Sci. USA Vol. 87, pp. 5109-5113;;Davies et al: (1992) Nucleic Acids Res. Vol. 20, No. 11, pp. 2693-2698.;;Van Zijl et al: (1988) J. Virol. Vol. 62, No. 6, pp. 2191-2195;;Strauss; Jaenisch (1992), EMBO J. Vol. 11, pp. 417-422;;Schedl et al: (1992), Nucleic Acids Res. Vol. 12, pp. 3073-3077;;Pavan et al: (1990) Mol. Cell. Biol. Vol. 10, pp. 163-4169",EXPIRED
6,US,A1,US 2014/0197232 A1,080-657-769-727-064,2014-07-17,2014,US 201214008508 A,2012-03-30,US 201214008508 A;;US 201161469996 P;;US 2012/0031342 W,2011-03-31,System and Method for Establishing a Communication Session,"A server in a communications network establishes a communication channel between a user's device and another device having a display. Particularly, the server generates a Quick Response (QR) code utilizing one or more parameters, and sends it to a device for display to a user. Using his or her device, the user captures an image of the displayed QR code and extracts the parameters using an image analysis technique. The device then sends the extracted parameters back to the server, which then utilizes them to authenticate the user and establish the communications session.",BIRKLER PAUL JOERGEN;;FEDOSOV ANTON;;BLATTMAN JEFFREY;;REIN JR RICHARD WALTER;;SONY MOBILE COMM AB,BIRKLER PAUL JOERGEN;;FEDOSOV ANTON;;BLATTMAN JEFFREY;;REIN JR RICHARD WALTER,SONY MOBILE COMMUNICATIONS AB (2014-03-05);;SONY CORPORATION (2019-03-25);;SONY MOBILE COMMUNICATIONS INC (2017-09-14),https://lens.org/080-657-769-727-064,Patent Application,yes,0,118,10,10,0,G06F21/313;;H04L63/18;;H04M1/2755;;H04L67/141;;G06Q20/3276;;H04L63/08;;H04M1/72445;;H04W12/77;;H04W12/50;;G06F21/313;;H04L63/18;;H04M1/2755;;G06Q20/3276;;H04L67/141;;H04M1/72445;;H04W12/50;;H04W12/77;;H04L63/08,H04L29/06;;H04M1/72445,235/375;;726/6,0,0,,,,ACTIVE
7,US,A,US 5721367 A,154-824-102-592-358,1998-02-24,1998,US 46298695 A,1995-06-05,US 46298695 A;;US 98900293 A;;US 57474790 A,1990-08-29,Homologous recombination in mammalian cells,The invention relates to methods for intracellularly producing DNA segments by homologous recombination of smaller overlapping DNA fragments and transgenic mammalian cells and transgenic non-human mammals produced by such methods.,PHARMING BV,KAY ROBERT M;;BERNS ANTON;;KRIMPENFORT PAUL;;PIEPER FRANK;;STRIJKER REIN,PHARMING INTELLECTUAL PROPERTY B.V (1998-05-29);;GENPHARM INTERNATIONAL INC (1993-02-17);;PHARMING HOLDING N.V (1997-05-29),https://lens.org/154-824-102-592-358,Granted Patent,yes,2,536,12,12,0,A01K67/0275;;A01K2217/05;;C07K14/765;;C07K14/79;;C07K16/00;;C12N15/85;;C12N15/87;;C12N15/907;;C12N2800/206;;C12N2830/00;;C12N2830/85;;A01K67/0275;;C12N15/87;;C12N2800/206;;C07K14/79;;C07K14/765;;C12N15/907;;C12N2830/85;;C07K16/00;;C12N15/85;;C12N2830/00;;A01K2217/05,A01K67/027;;C07K14/765;;C07K14/79;;C07K16/00;;C12N5/10;;C12N15/09;;C12N15/85;;C12N15/87;;C12N15/90,800/2;;435/172.3;;435/240.1;;435/69.1;;435/69.7,4,3,063-958-137-283-170;;069-666-246-761-155;;025-529-130-352-23X,10.1016/s0065-2660(08)60011-5;;3324700;;3122179;;pmc306523;;10.1093/nar/15.23.9667;;2835520;;10.1128/jvi.62.6.2191-2195.1988;;pmc253328,"Sangos et al. Adv in Genetics 24: 285, 1987.;;Lorenz et al. NAR 15(23): 9667, 1987.;;Palmier et al in Genetic Manipulation, 1985, CSH pp. 123 132.;;Van Zijl et al J. of Virology 62(6): 2191, 1988 Staueil et al.",EXPIRED
8,CN,A,CN 103563346 A,153-394-107-739-247,2014-02-05,2014,CN 201280025866 A,2012-03-30,US 2012/0031342 W;;US 201161469996 P,2011-03-31,System and method for establishing a communication session,"A server in a communications network establishes a communication channel between a user's device and another device having a display. Particularly, the server generates a Quick Response (QR) code utilizing one or more parameters, and sends it to a device for display to a user. Using his or her device, the user captures an image of the displayed QR code and extracts the parameters using an image analysis technique. The device then sends the extracted parameters back to the server, which then utilizes them to authenticate the user and establish the communications session.",SONY MOBILE COMM AB,BIRKLER PAUL JOERGEN;;FEDOSOV ANTON;;BLATTMAN JEFFREY;;REIN JR RICHARD WALTER,,https://lens.org/153-394-107-739-247,Patent Application,no,5,16,10,10,0,G06F21/313;;H04L63/18;;H04M1/2755;;H04L67/141;;G06Q20/3276;;H04L63/08;;H04M1/72445;;H04W12/77;;H04W12/50;;G06F21/313;;H04L63/18;;H04M1/2755;;G06Q20/3276;;H04L67/141;;H04M1/72445;;H04W12/50;;H04W12/77;;H04L63/08,H04N1/32;;H04L29/06;;H04M1/72445,,0,0,,,,ACTIVE
9,AU,B2,AU 664976 B2,186-049-008-483-91X,1995-12-14,1995,AU 1991/086497 A,1991-08-28,US 57474790 A;;US 9105917 W,1990-08-29,Homologous recombination in mammalian cells,The invention relates to methods for intracellularly producing DNA segments by homologous recombination of smaller overlapping DNA fragments and transgenic mammalian cells and transgenic non-human mammals produced by such methods.,GENE PHARMING EUROP BV,KAY ROBERT M;;BERNS ANTON;;KRIMPENFORT PAUL;;PIEPER FRANK;;STRIJKER REIN,,https://lens.org/186-049-008-483-91X,Granted Patent,no,0,0,12,12,0,A01K67/0275;;A01K2217/05;;C07K14/765;;C07K14/79;;C07K16/00;;C12N15/85;;C12N15/87;;C12N15/907;;C12N2800/206;;C12N2830/00;;C12N2830/85;;A01K67/0275;;C12N15/87;;C12N2800/206;;C07K14/79;;C07K14/765;;C12N15/907;;C12N2830/85;;C07K16/00;;C12N15/85;;C12N2830/00;;A01K2217/05,A01K67/027;;C07K14/765;;C07K14/79;;C07K16/00;;C12N5/10;;C12N15/09;;C12N15/85;;C12N15/87;;C12N15/90,,0,0,,,,EXPIRED
10,EP,A1,EP 3557855 A1,017-437-671-259-291,2019-10-23,2019,EP 19178957 A,2012-03-30,US 201161469996 P;;EP 12712514 A;;US 2012/0031342 W,2011-03-31,SYSTEM AND METHOD FOR ESTABLISHING A COMMUNICATION SESSION,"A server in a communications network establishes a communication channel between a user's device and another device having a display. Particularly, the server generates a Quick Response (QR) code utilizing one or more parameters, and sends it to a device for display to a user. Using his or her device, the user captures an image of the displayed QR code and extracts the parameters using an image analysis technique. The device then sends the extracted parameters back to the server, which then utilizes them to authenticate the user and establish the communications session.
",SONY MOBILE COMM AB,BIRKLER PAUL JOERGEN;;FEDOSOV ANTON;;REIN JR RICHARD WALTER;;BLATTMAN JEFFREY,SONY GROUP CORPORATION (2021-07-28);;SONY CORPORATION (2020-12-23),https://lens.org/017-437-671-259-291,Patent Application,yes,6,0,10,10,0,G06F21/313;;H04L63/18;;H04M1/2755;;H04L67/141;;G06Q20/3276;;H04L63/08;;H04M1/72445;;H04W12/77;;H04W12/50;;G06F21/313;;H04L63/18;;H04M1/2755;;G06Q20/3276;;H04L67/141;;H04M1/72445;;H04W12/50;;H04W12/77;;H04L63/08,H04N1/32;;G06F21/31;;G06Q20/32;;H04L29/06;;H04M1/72445;;H04W12/00,,2,2,008-615-457-201-059;;072-006-312-862-013,10.1007/s00779-009-0228-5;;10.1007/978-3-642-29336-8_2,"ALEXANDRE ALAPETITE: ""Dynamic 2D-barcodes for multi-device Web session migration including mobile phones"", PERSONAL AND UBIQUITOUS COMPUTING, SPRINGER VERLAG, LO, vol. 14, no. 1, 2 April 2009 (2009-04-02), pages 45 - 52, XP019783613, ISSN: 1617-4917;;""Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering"", vol. 76, 28 October 2010, SPRINGER, DE, ISBN: 978-3-642-17758-3, ISSN: 1867-8211, article BEN DODSON ET AL: ""Secure, Consumer-Friendly Web Authentication and Payments with a Phone : Second International ICST Conference, MobiCASE 2010, Santa Clara, CA, USA, October 25-28, 2010, Revised Selected Papers"", pages: 17 - 38, XP055599094, DOI: 10.1007/978-3-642-29336-8_2",ACTIVE
