"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,B2,US 10363142 B2,185-501-681-711-857,2019-07-30,2019,US 201514965246 A,2015-12-10,US 201514965246 A;;US 201462090429 P;;US 201562158470 P;;US 201562206779 P,2014-12-11,Expandable spinal implants,"A spinal implant has a proximal region and a distal region, and includes an upper body and a lower body each having inner surfaces disposed in opposed relation relative to each other. A proximal adjustment assembly is disposed between the upper and lower bodies at the proximal region of the spinal implant and is adjustably coupled to the upper and lower bodies, and a distal adjustment assembly is disposed between the upper and lower bodies at the distal region of the spinal implant and is adjustably coupled to the upper and lower bodies. The proximal and distal adjustment assemblies are independently movable with respect to each other to change a vertical height of at least one of the proximal region or the distal region of the spinal implant.",K2M INC,MCCLINTOCK LARRY;;LUDWIG STEVEN;;DHUPAR SCOTT;;BIANCO SABATINO,K2M INC (2017-07-28),https://lens.org/185-501-681-711-857,Granted Patent,yes,275,35,11,11,0,A61F2/4425;;A61F2/447;;A61F2002/30538;;A61F2002/30556;;A61F2002/30579;;A61F2002/443;;A61F2250/0008;;A61F2002/30594;;A61F2/4425;;A61F2/447;;A61F2002/30538;;A61F2002/30556;;A61F2002/30579;;A61F2002/443;;A61F2002/30594;;A61F2/4455;;A61F2/30771;;A61F2/442;;A61F2/446;;A61F2002/30843;;A61F2002/30904;;A61F2250/0008,A61F2/44;;A61F2/30,,1,0,,,"European Search Report for EP 15 19 9537 dated Apr. 22, 2016.",ACTIVE
2,US,A1,US 2022/0323233 A1,048-960-830-105-603,2022-10-13,2022,US 202217731899 A,2022-04-28,US 202217731899 A;;US 201916516702 A;;US 201514965246 A;;US 201562206779 P;;US 201562158470 P;;US 201462090429 P,2014-12-11,Expandable Spinal Implants,"A spinal implant has a proximal region and a distal region, and includes an upper body and a lower body each having inner surfaces disposed in opposed relation relative to each other. A proximal adjustment assembly is disposed between the upper and lower bodies at the proximal region of the spinal implant and is adjustably coupled to the upper and lower bodies, and a distal adjustment assembly is disposed between the upper and lower bodies at the distal region of the spinal implant and is adjustably coupled to the upper and lower bodies. The proximal and distal adjustment assemblies are independently movable with respect to each other to change a vertical height of at least one of the proximal region or the distal region of the spinal implant.",K2M INC,MCCLINTOCK LARRY;;LUDWIG STEVEN;;DHUPAR SCOTT;;BIANCO SABATINO,K2M INC (2018-07-25),https://lens.org/048-960-830-105-603,Patent Application,yes,0,0,11,11,0,A61F2/4425;;A61F2/447;;A61F2002/30538;;A61F2002/30556;;A61F2002/30579;;A61F2002/443;;A61F2250/0008;;A61F2002/30594;;A61F2/4425;;A61F2/447;;A61F2002/30538;;A61F2002/30556;;A61F2002/30579;;A61F2002/443;;A61F2002/30594;;A61F2/4455;;A61F2/30771;;A61F2/442;;A61F2/446;;A61F2002/30843;;A61F2002/30904;;A61F2250/0008,A61F2/44;;A61F2/30,,0,0,,,,PENDING
3,EP,A1,EP 3031424 A1,010-910-445-809-773,2016-06-15,2016,EP 15199537 A,2015-12-11,US 201462090429 P;;US 201562158470 P;;US 201562206779 P;;US 201514965246 A,2014-12-11,EXPANDABLE SPINAL IMPLANTS,"A spinal implant has a proximal region and a distal region, and includes an upper body and a lower body each having inner surfaces disposed in opposed relation relative to each other. A proximal adjustment assembly is disposed between the upper and lower bodies at the proximal region of the spinal implant and is adjustably coupled to the upper and lower bodies, and a distal adjustment assembly is disposed between the upper and lower bodies at the distal region of the spinal implant and is adjustably coupled to the upper and lower bodies. The proximal and distal adjustment assemblies are independently movable with respect to each other to change a vertical height of at least one of the proximal region or the distal region of the spinal implant.
",K2M INC,MCCLINTOCK LARRY;;LUDWIG STEVEN;;DHUPAR SCOTT;;BIANCO SABATINO,"K2M, INC. (2018-12-05)",https://lens.org/010-910-445-809-773,Patent Application,yes,4,24,11,11,0,A61F2/4425;;A61F2/447;;A61F2002/30538;;A61F2002/30556;;A61F2002/30579;;A61F2002/443;;A61F2250/0008;;A61F2002/30594;;A61F2/4425;;A61F2/447;;A61F2002/30538;;A61F2002/30556;;A61F2002/30579;;A61F2002/443;;A61F2002/30594;;A61F2/4455;;A61F2/30771;;A61F2/442;;A61F2/446;;A61F2002/30843;;A61F2002/30904;;A61F2250/0008,A61F2/44;;A61F2/30;;A61F2/46,,0,0,,,,ACTIVE
4,AU,B2,AU 2020/233698 B2,153-531-129-208-138,2022-09-01,2022,AU 2020/233698 A,2020-09-16,AU 2020/233698 A;;AU 2015/268677 A;;US 201562158470 P;;US 201462090429 P;;US 201514965246 A;;US 201562206779 P,2014-12-11,EXPANDABLE SPINAL IMPLANTS,"A spinal implant is disclosed extending along a longitudinal axis between a proximal region and a distal region. The spinal implant comprises an upper body for engaging an upper vertebral body, a lower body for engaging a lower vertebral body, and a proximal adjustment assembly disposed between the upper and lower bodies and adjustably coupled thereto. The proximal adjustment assembly including a proximal translatable member and a proximal rotational actuator and is actuated by driving threaded advancement of the proximal rotational actuator to translate the proximal translatable member along the longitudinal axis. The spinal implant also includes a distal adjustment assembly including a distal translatable member and a distal rotational actuator. The distal adjustment assembly is actuated by driving threaded advancement of the distal rotational actuator to translate the distal translatable member along a distal slot of the spinal implant. 10100IQ 0b15 4°N112 1152 100 1100a 154a5 111 151 132 130 1 2 1 9 FIG. 4A FIG.4B 15210 151 110 190 g 188a 15 100a 2 30 1 l00b 110 176 178 4Eoo 110 18d FIG. 4D FIG. 4E",K2M INC,MCCLINTOCK LARRY;;LUDWIG STEVEN;;DHUPAR SCOTT;;BIANCO SABATINO,,https://lens.org/153-531-129-208-138,Granted Patent,no,1,0,11,11,0,A61F2/4425;;A61F2/447;;A61F2002/30538;;A61F2002/30556;;A61F2002/30579;;A61F2002/443;;A61F2250/0008;;A61F2002/30594;;A61F2/4425;;A61F2/447;;A61F2002/30538;;A61F2002/30556;;A61F2002/30579;;A61F2002/443;;A61F2002/30594;;A61F2/4455;;A61F2/30771;;A61F2/442;;A61F2/446;;A61F2002/30843;;A61F2002/30904;;A61F2250/0008,A61B17/70;;A61B17/66;;A61F2/44,,0,0,,,,ACTIVE
5,AU,A1,AU 2020/233698 A1,187-769-768-703-438,2020-10-08,2020,AU 2020/233698 A,2020-09-16,AU 2020/233698 A;;AU 2015/268677 A;;US 201562158470 P;;US 201462090429 P;;US 201514965246 A;;US 201562206779 P,2014-12-11,EXPANDABLE SPINAL IMPLANTS,"A spinal implant is disclosed extending along a longitudinal axis between a proximal region and a distal region. The spinal implant comprises an upper body for engaging an upper vertebral body, a lower body for engaging a lower vertebral body, and a proximal adjustment assembly disposed between the upper and lower bodies and adjustably coupled thereto. The proximal adjustment assembly including a proximal translatable member and a proximal rotational actuator and is actuated by driving threaded advancement of the proximal rotational actuator to translate the proximal translatable member along the longitudinal axis. The spinal implant also includes a distal adjustment assembly including a distal translatable member and a distal rotational actuator. The distal adjustment assembly is actuated by driving threaded advancement of the distal rotational actuator to translate the distal translatable member along a distal slot of the spinal implant. 10100IQ 0b15 4°N112 1152 100 1100a 154a5 111 151 132 130 1 2 1 9 FIG. 4A FIG.4B 15210 151 110 190 g 188a 15 100a 2 30 1 l00b 110 176 178 4Eoo 110 18d FIG. 4D FIG. 4E",K2M INC,MCCLINTOCK LARRY;;LUDWIG STEVEN;;DHUPAR SCOTT;;BIANCO SABATINO,,https://lens.org/187-769-768-703-438,Patent Application,no,0,0,11,11,0,A61F2/4425;;A61F2/447;;A61F2002/30538;;A61F2002/30556;;A61F2002/30579;;A61F2002/443;;A61F2250/0008;;A61F2002/30594;;A61F2/4425;;A61F2/447;;A61F2002/30538;;A61F2002/30556;;A61F2002/30579;;A61F2002/443;;A61F2002/30594;;A61F2/4455;;A61F2/30771;;A61F2/442;;A61F2/446;;A61F2002/30843;;A61F2002/30904;;A61F2250/0008,A61B17/70;;A61B17/66;;A61F2/44,,0,0,,,,ACTIVE
6,EP,B1,EP 3031424 B1,157-602-969-367-730,2022-03-30,2022,EP 15199537 A,2015-12-11,US 201462090429 P;;US 201562158470 P;;US 201562206779 P;;US 201514965246 A,2014-12-11,EXPANDABLE SPINAL IMPLANTS,,K2M INC,MCCLINTOCK LARRY;;LUDWIG STEVEN;;DHUPAR SCOTT;;BIANCO SABATINO,"K2M, INC. (2018-12-05)",https://lens.org/157-602-969-367-730,Granted Patent,yes,1,0,11,11,0,A61F2/4425;;A61F2/447;;A61F2002/30538;;A61F2002/30556;;A61F2002/30579;;A61F2002/443;;A61F2250/0008;;A61F2002/30594;;A61F2/4425;;A61F2/447;;A61F2002/30538;;A61F2002/30556;;A61F2002/30579;;A61F2002/443;;A61F2002/30594;;A61F2/4455;;A61F2/30771;;A61F2/442;;A61F2/446;;A61F2002/30843;;A61F2002/30904;;A61F2250/0008,A61F2/44;;A61F2/30;;A61F2/46,,0,0,,,,ACTIVE
7,AU,B2,AU 2015/268677 B2,133-103-408-915-373,2020-06-18,2020,AU 2015/268677 A,2015-12-11,US 201562158470 P;;US 201462090429 P;;US 201514965246 A;;US 201562206779 P,2014-12-11,EXPANDABLE SPINAL IMPLANTS,"A spinal implant has a proximal region and a distal region, and includes an upper body and a lower body each having inner surfaces disposed in opposed relation relative to each other. A proximal adjustment assembly is disposed between the upper and lower bodies at the proximal region of the spinal implant and is adjustably coupled to the upper and lower bodies, and a distal adjustment assembly is disposed between the upper and lower bodies at the distal region of the spinal implant and is adjustably coupled to the upper and lower bodies. The proximal and distal adjustment assemblies are independently movable with respect to each other to change a vertical height of at least one of the proximal region or the distal region of the spinal implant. 282a 282 210 276 280c 200 254c 200 210 280b 253 276 200b",K2M INC,MCCLINTOCK LARRY;;LUDWIG STEVEN;;DHUPAR SCOTT;;BIANCO SABATINO,,https://lens.org/133-103-408-915-373,Granted Patent,no,3,0,11,11,0,A61F2/4425;;A61F2/447;;A61F2002/30538;;A61F2002/30556;;A61F2002/30579;;A61F2002/443;;A61F2250/0008;;A61F2002/30594;;A61F2/4425;;A61F2/447;;A61F2002/30538;;A61F2002/30556;;A61F2002/30579;;A61F2002/443;;A61F2002/30594;;A61F2/4455;;A61F2/30771;;A61F2/442;;A61F2/446;;A61F2002/30843;;A61F2002/30904;;A61F2250/0008,A61B17/70;;A61B17/66;;A61F2/44,,0,0,,,,ACTIVE
8,US,A1,US 2020/0008951 A1,002-119-461-329-775,2020-01-09,2020,US 201916516702 A,2019-07-19,US 201916516702 A;;US 201514965246 A;;US 201562206779 P;;US 201562158470 P;;US 201462090429 P,2014-12-11,Expandable Spinal Implants,"A spinal implant has a proximal region and a distal region, and includes an upper body and a lower body each having inner surfaces disposed in opposed relation relative to each other. A proximal adjustment assembly is disposed between the upper and lower bodies at the proximal region of the spinal implant and is adjustably coupled to the upper and lower bodies, and a distal adjustment assembly is disposed between the upper and lower bodies at the distal region of the spinal implant and is adjustably coupled to the upper and lower bodies. The proximal and distal adjustment assemblies are independently movable with respect to each other to change a vertical height of at least one of the proximal region or the distal region of the spinal implant.",K2M INC,MCCLINTOCK LARRY E;;LUDWIG STEVEN;;DHUPAR SCOTT;;BIANCO SABATINO,K2M INC (2017-07-28),https://lens.org/002-119-461-329-775,Patent Application,yes,0,20,11,11,0,A61F2/4425;;A61F2/447;;A61F2002/30538;;A61F2002/30556;;A61F2002/30579;;A61F2002/443;;A61F2250/0008;;A61F2002/30594;;A61F2/4425;;A61F2/447;;A61F2002/30538;;A61F2002/30556;;A61F2002/30579;;A61F2002/443;;A61F2002/30594;;A61F2/4455;;A61F2/30771;;A61F2/442;;A61F2/446;;A61F2002/30843;;A61F2002/30904;;A61F2250/0008,A61F2/44;;A61F2/30,,0,0,,,,ACTIVE
9,US,B2,US 11331200 B2,017-356-276-780-314,2022-05-17,2022,US 201916516702 A,2019-07-19,US 201916516702 A;;US 201514965246 A;;US 201562206779 P;;US 201562158470 P;;US 201462090429 P,2014-12-11,Expandable spinal implants,"A spinal implant has a proximal region and a distal region, and includes an upper body and a lower body each having inner surfaces disposed in opposed relation relative to each other. A proximal adjustment assembly is disposed between the upper and lower bodies at the proximal region of the spinal implant and is adjustably coupled to the upper and lower bodies, and a distal adjustment assembly is disposed between the upper and lower bodies at the distal region of the spinal implant and is adjustably coupled to the upper and lower bodies. The proximal and distal adjustment assemblies are independently movable with respect to each other to change a vertical height of at least one of the proximal region or the distal region of the spinal implant.",K2M INC,MCCLINTOCK LARRY E;;LUDWIG STEVEN;;DHUPAR SCOTT;;BIANCO SABATINO,K2M INC (2017-07-28),https://lens.org/017-356-276-780-314,Granted Patent,yes,279,0,11,11,0,A61F2/4425;;A61F2/447;;A61F2002/30538;;A61F2002/30556;;A61F2002/30579;;A61F2002/443;;A61F2250/0008;;A61F2002/30594;;A61F2/4425;;A61F2/447;;A61F2002/30538;;A61F2002/30556;;A61F2002/30579;;A61F2002/443;;A61F2002/30594;;A61F2/4455;;A61F2/30771;;A61F2/442;;A61F2/446;;A61F2002/30843;;A61F2002/30904;;A61F2250/0008,A61F2/44;;A61F2/30,,2,0,,,"European Search Report for EP 15 19 9537 dated Apr. 22, 2016.;;Australian Search Report for Application No. 2015268677, dated Aug. 1, 2019, 1 pg.",ACTIVE
10,US,A1,US 2004/0015025 A1,169-155-857-162-814,2004-01-22,2004,US 11078202 A,2002-04-29,EP 0100826 W;;IT MI20000166 A,2000-02-03,Method for the preparation of hydrogenated hydrocarbons,"
   Method for the preparation of hydrogenated hydrocarbons comprising a preliminary treatment of natural gas with a catalyst at a high temperature and the subsequent hydrogenation of the mixture of cyclic and/or aromatic hydrocarbons formed. 
",BELLUSSI GIUSEPPE;;DEL BIANCO ALBERTO;;SABATINO LUIGINA MARIA FLORA;;ZENNARO ROBERTO;;MOLINARI MARIO,BELLUSSI GIUSEPPE;;DEL BIANCO ALBERTO;;SABATINO LUIGINA MARIA FLORA;;ZENNARO ROBERTO;;MOLINARI MARIO,ENITECNOLOGIE S.P.A (2002-04-12),https://lens.org/169-155-857-162-814,Patent Application,yes,6,21,14,14,0,C07C2/76;;C07C5/02;;C07C13/00;;C07C2523/40;;C07C2523/74;;Y10S585/943;;C07C5/02;;C07C2523/40;;C07C2523/74;;C07C2/76;;C07C13/00;;Y10S585/943,C07C2/76;;C07C5/02;;C07C13/00,585/319;;585/444,0,0,,,,EXPIRED
