"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,BR,A,BR 8602927 A,148-948-982-275-373,1987-02-17,1987,BR 8602927 A,1986-06-25,US 74903185 A,1985-06-26,COMPOSICAO DE POLIMERO E PROPILENO FORMADORA DE PELICULA ORIENTADA BIAXIALMENTE,,HERCULES INC,BERTA DOMINIC ANDREW;;COOPER SCOTT DANIEL,,https://lens.org/148-948-982-275-373,Patent Application,no,0,0,3,3,0,C08K5/103;;C08L2666/02;;C09J123/12,C08K5/103;;C09J123/12,,0,0,,,,DISCONTINUED
2,US,A,US 5451584 A,035-899-848-349-081,1995-09-19,1995,US 33781094 A,1994-11-10,US 33781094 A,1994-11-10,N-alkynyl carboxamides as sertonergic agents,"The compounds ##STR1## where: R and R.sup.6 are members independently selected from the group consisting of H, CN, OR.sup.2, NO.sub.2, NR.sup.2 R.sup.3, NR.sup.2 COR.sup.3, NR.sup.2 COOR.sup.3, COR.sup.2, COOR.sup.2, CONR.sup.2 R.sup.3, SR.sup.2, SOR.sup.2, SO.sub.2 R.sup.2, SO.sub.2 NR.sup.2 R.sup.3, alkyl, alkenyl, alkynyl, perhaloalkyl, and a halogen; in which R.sup.2 and R.sup.3 are alkyl, alkenyl, alkynyl, phenyl, or benzyl; R.sup.4 is a member selected from the group consisting of H, alkyl, heteroalkyl, in which the hetero atom is oxygen, sulfur or nitrogen, alkenyl and alkynyl; R.sup.5 is alkynyl of 2 to 8 carbon atoms or 1-alkynylcycloalkyl in which the alkynyl group contains 2 to 6 carbon atoms and the cycloalkyl group contains 3 to 10 carbon atoms; or a pharmaceutically acceptable salt thereof, are useful anxiolytic/antidepressant agents.",AMERICAN HOME PROD,BAUDY REINHARDT B;;BERTA SCOTT C,WYETH (1994-11-08),https://lens.org/035-899-848-349-081,Granted Patent,yes,3,3,1,1,0,C07D295/145;;C07D295/145,C07D295/145,514/255;;544/392;;544/393,0,0,,,,EXPIRED
3,US,A,US 5602128 A,084-969-453-221-567,1997-02-11,1997,US 34865194 A,1994-12-02,US 34865194 A,1994-12-02,N-heterocycloalkyl carboxamides as serotonergic agents,"The compounds ##STR1## where R and R.sup.6 are members independently selected from the group consisting of H, CN, OR.sup.2, NO.sub.2, NR.sup.2 R.sup.3, NR.sup.2 COR.sup.3, NR.sup.2 COOR.sup.3, COR.sup.2, COOR.sup.2, CONR.sup.2 R.sup.3, SR.sup.2, SOR.sup.2, SO.sub.2 R.sup.2, SO.sub.2 NR.sup.2 R.sup.3, alkyl, alkenyl, alkynyl, perhaloalkyl, and a halogen; in which R.sup.2 and R.sup.3 are alkyl, alkenyl, alkynyl, phenyl, or benzyl; R.sup.4 is a member selected from the group consisting of H, alkyl, heteroalkyl, in which the hetero atom is oxygen, sulfur or nitrogen, alkenyl and alkynyl; R.sup.5 is ##STR2## where X is O, S or NR.sup.7 and R.sup.7 is H or alkyl and n is 1, 2, 3, 4, 5, or 6; or a pharmaceutically acceptable salt thereof, are useful anxiolytic/antidepressant agents.",AMERICAN HOME PROD,BAUDY REINHARDT B;;BERTA SCOTT C,WYETH (1994-12-01),https://lens.org/084-969-453-221-567,Granted Patent,yes,5,5,1,1,0,C07D295/15;;C07D295/15,C07D295/15,514/227.8;;514/235.8;;514/252;;544/58.6;;544/121;;544/357,0,0,,,,EXPIRED
4,EP,A3,EP 0210750 A3,017-853-450-380-568,1988-01-27,1988,EP 86304922 A,1986-06-25,US 74903185 A,1985-06-26,ANTISTATIC HEAT SEALABLE FILM,"This invention provides a polymer formulation suitable for preparing a heat sealable polypropylene film and a biaxially oriented polypropylene film prepared therewith. The polymer formulation of the invention is a film-forming polymer of propylene made up of a resin mixture consisting of about 86 to about 91% polypropylene; about 9 to about 14% herd resin, said resin mixture being compounded with about 0.05 to about 0.08% of behenate glyceride (GMB), preferably from about 0.05 to about 0.6%; and about 0 to about 0.8% of wax.",HERCULES INCORPORATED,"BERTA, DOMINIC ANDREW;;COOPER, SCOTT DANIEL",,https://lens.org/017-853-450-380-568,Search Report,yes,2,0,3,3,0,C08K5/103;;C08L2666/02;;C09J123/12,C08K5/103;;C09J123/12,,0,0,,,,DISCONTINUED
5,EP,A2,EP 0210750 A2,017-579-989-569-349,1987-02-04,1987,EP 86304922 A,1986-06-25,US 74903185 A,1985-06-26,Antistatic heat sealable film.,"This invention provides a polymer formulation suitable for preparing a heat sealable polypropylene film and a biaxially oriented polypropylene film prepared therewith. The polymer formulation of the invention is a film-forming polymer of propylene made up of a resin mixture consisting of about 86 to about 91% polypropylene; about 9 to about 14% herd resin, said resin mixture being compounded with about 0.05 to about 0.08% of behenate glyceride (GMB), preferably from about 0.05 to about 0.6%; and about 0 to about 0.8% of wax.",HERCULES INC,BERTA DOMINIC ANDREW;;COOPER SCOTT DANIEL,,https://lens.org/017-579-989-569-349,Patent Application,yes,0,7,3,3,0,C08K5/103;;C08L2666/02;;C09J123/12,C08K5/103;;C09J123/12,,0,0,,,,DISCONTINUED
6,EP,A1,EP 2299919 A1,107-805-641-045-830,2011-03-30,2011,EP 09763446 A,2009-06-09,US 2009/0046756 W;;US 13142708 P;;US 13297808 P;;US 13516108 P;;US 20165708 P,2008-06-09,SURGICAL METHOD AND APPARATUS FOR TREATING SPINAL STENOSIS AND STABILIZATION OF VERTEBRAE,,SPRINGBACK INC,BERTA SCOTT COLLINS;;VANINETTI MICHAEL ANTHONY;;LAD SHIVANAND,,https://lens.org/107-805-641-045-830,Patent Application,yes,0,0,3,3,0,A61B17/7071;;A61B17/7071;;A61B17/7055;;A61B17/7055;;A61B17/7062;;A61B17/7062;;A61B17/7065;;A61B17/7065,A61B17/70,,1,0,,,See references of WO 2009152156A1,DISCONTINUED
7,US,A1,US 2010/0121381 A1,197-091-478-478-574,2010-05-13,2010,US 48053409 A,2009-06-08,US 48053409 A;;US 13142708 P;;US 13297808 P;;US 13516108 P;;US 20165708 P,2008-06-09,SURGICAL METHOD AND APPARATUS FOR TREATING SPINAL STENOSIS AND STABILIZATION OF VERTEBRAE,"Disclosed is a prosthetic device for distracting spinal column segments in the lumbar and the lumbar-sacral regions comprising a first engagement arm, a second engagement arm, a coupling mechanism and a locking mechanism. The first and the second engagement arms are configured to receive a lamina portion of the spinal column segment. The coupling mechanism is disposed between the first and the second engagement arms and is configured to allow the device to transition from an unextended configuration to an extended configuration in order to distract the spinal column segment. The locking mechanism is configured to maintain the extended configuration of the device.",SPRINGBACK INC,BERTA SCOTT COLLINS;;VANINETTI MICHAEL ANTHONY;;LAD SHIVANAND,,https://lens.org/197-091-478-478-574,Patent Application,yes,27,35,3,3,0,A61B17/7071;;A61B17/7071;;A61B17/7055;;A61B17/7055;;A61B17/7062;;A61B17/7062;;A61B17/7065;;A61B17/7065,A61B17/70;;A61B17/88,606/264;;606/246;;606/279,0,0,,,,DISCONTINUED
8,WO,A1,WO 2009/152156 A1,167-275-016-476-345,2009-12-17,2009,US 2009/0046756 W,2009-06-09,US 13142708 P;;US 13297808 P;;US 13516108 P;;US 20165708 P,2008-06-09,SURGICAL METHOD AND APPARATUS FOR TREATING SPINAL STENOSIS AND STABILIZATION OF VERTEBRAE,"Disclosed is a prosthetic device for distracting spinal column segments in the lumbar and the lumbar-sacral regions comprising a first engagement arm, a second engagement arm, a coupling mechanism and a locking mechanism. The first and the second engagement arms are configured to receive a lamina portion of the spinal column segment. The coupling mechanism is disposed between the first and the second engagement arms and is configured to allow the device to transition from an unextended configuration to an extended configuration in order to distract the spinal column segment. The locking mechanism is configured to maintain the extended configuration of the device.",SPRINGBACK INC;;BERTA SCOTT COLLINS;;VANINETTI MICHAEL ANTHONY;;LAD SHIVANAND,BERTA SCOTT COLLINS;;VANINETTI MICHAEL ANTHONY;;LAD SHIVANAND,,https://lens.org/167-275-016-476-345,Patent Application,yes,2,3,3,3,0,A61B17/7071;;A61B17/7071;;A61B17/7055;;A61B17/7055;;A61B17/7062;;A61B17/7062;;A61B17/7065;;A61B17/7065,A61B17/70,,0,0,,,,PENDING
9,US,A,US 5541179 A,135-623-746-840-10X,1996-07-30,1996,US 43363995 A,1995-05-02,US 43363995 A,1995-05-02,Tropon-2-one piperazine carboxamides as serotonergic agents,"This invention relates to compounds useful as anxiolytic agents having the formula: ##STR1## where A is ##STR2## wherein X is O or S; R.sup.1 is selected from H, --CN, --OR.sup.3, --NO.sub.2, --NR.sup.3 R.sup.4, --NR.sup.3 COR.sup.4, --NR.sup.3 COOR.sup.4, --COR.sup.3, --COOR.sup.3, --CONR.sup.3 R.sup.4, --SR.sup.3, --SOR.sup.3, --SO.sub.2 R.sup.3, --SO.sub.2 NR.sup.3 R.sup.4, C.sub.1 -C.sub.6 alkyl, C.sub.2 -C.sub.6 alkenyl, C.sub.2 -C.sub.6 alkynyl, -perhalo-C.sub.1 -C.sub.6 -alkyl, F, Cl, Br, and I; R.sup.2 is selected from H, --COR.sup.3, --COOR.sup.3, --CONR.sup.3 R.sup.4, --CONHR.sup.3, --COCHR.sup.3 R.sup.4, C.sub.1 -C.sub.6 -alkyl, C.sub.2 -C.sub.6 alkenyl, and C.sub.2 -C.sub.6 -alkynyl; R.sup.3 and R.sup.4 are independently selected from C.sub.1 -C.sub.6 -alkyl, C.sub.2 -C.sub.6 -alkenyl, C.sub.2 -C.sub.6 alkynyl, benzyl, or phenyl which may be optionally substituted by one to three groups selected from F, Cl, Br, I, --NO.sub.2, --CN, and --C.sub.1 -C.sub.6 alkoxy; or R.sup.3 and R.sup.4 together with the intervening nitrogen form a saturated or unsaturated ring having 4 to 6 carbons and one nitrogen; and or a pharmaceutically acceptable salt thereof.",AMERICAN HOME PROD,BAUDY REINHARDT B;;BERTA SCOTT C;;STACK GARY P,WYETH (1995-04-26),https://lens.org/135-623-746-840-10X,Granted Patent,yes,7,6,1,1,0,C07D295/185;;C07D295/185;;C07C2601/18;;C07C2601/18;;C07D213/74;;C07D213/74,C07D213/74;;C07D295/185,514/212;;514/252;;540/598;;544/360;;544/364,1,1,063-050-808-969-764,10.1021/jm00373a012;;6429333,"J. Bagli, T. Bogri, and K. Voith, J. Med. Chem. 1984, 27, 875 881.",EXPIRED
10,WO,A3,WO 2013/122547 A3,064-817-786-355-944,2013-11-28,2013,SG 2013000061 W,2013-02-15,US 201261599361 P,2012-02-15,RISER PROTECTION STRUCTURE,"The present invention provides a riser protection structure being suitable to be employed in a Jackup rig. The riser protection structure comprises a plurality of piles (1), an upper module (2), wherein the upper module comprises a main protection tubing (21) for receiving a riser, a plurality of sleeves (22) to be installed over the plurality of piles, and a connecting network (23); wherein the plurality of sleeves are disposed around the main protection tubing; and wherein the main protection tubing and the plurality of sleeves are connected together by the connecting network, and a lower module (3), wherein the lower module comprises a plurality of tubular guides (21) for guiding and later fixing the piles and a connecting structure (32), wherein the plurality of piles are securely disposed into the seabed for providing the requisite support for the upper and lower modules when they are assembled.",KEPPEL OFFSHORE & MARINE TECHNOLOGY CT PTE LTD;;CONOCOPHILLIPS CO,FOO KOK SENG;;PERRY MICHAEL JOHN;;QUAH CHIN KAU MATTHEW;;WANG CYNTHIA;;SHAFER RANDALL SCOTT;;NOBLE PETER;;BERTA DOMINIC P,,https://lens.org/064-817-786-355-944,Search Report,yes,2,0,7,7,0,E02B17/0021;;B63B2211/06;;E02B17/0017;;E21B17/01;;E02D5/226;;E02D5/226;;E02B17/0021;;B63B2211/06;;E02B17/0017;;E21B17/01,E21B17/01;;E21B7/136,,0,0,,,,PENDING
