"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,GB,A,GB 2568684 A,005-106-380-040-335,2019-05-29,2019,GB 201719378 A,2017-11-22,GB 201719378 A,2017-11-22,Fire-fighting apparatus and method of fire-fighting,"A firefighting apparatus comprises a nozzle assembly 100 for protruding through a barrier or wall (not shown). The apparatus 100 broadly comprises a body 120, having at a proximal end 120a a handle 130 and at a distal end 120b a tip portion 140. In use, a conduit, such as a hose or lay flat hose (not shown) is coupled to the nozzle assembly 100 at the proximal end 120a, to connect to a supply of firefighting fluid, such as water, which fluid is conducted through the interior of the body 120 to the distal end 120b where it can be delivered to a fire. A sheath member 150, in the form of an axially sliding sleeve, is positioned on the body towards its distal end, at which it abuts the tip portion 140 in the configuration shown in the figure. An annular shield 160 is fixed to, and surrounds, the sleeve 150 at a location spaced from the distal end 120b. A method of firefighting using the apparatus is also disclosed.",F B FIRE TECH LTD,ABEL KAYOMB;;GARY TAYLOR,"EXWORKS CAPITAL FUND I, LP (2018-12-12)",https://lens.org/005-106-380-040-335,Patent Application,no,7,0,3,3,0,A62C31/05;;A62C31/22;;A62C31/03;;A62C31/22,A62C31/22;;A62C31/03,,0,0,,,,ACTIVE
2,GB,B,GB 2568684 B,166-644-903-458-586,2022-01-26,2022,GB 201719378 A,2017-11-22,GB 201719378 A,2017-11-22,Fire-fighting apparatus and method of fire-fighting,,F B FIRE TECH LTD,ABEL KAYOMB;;GARY TAYLOR,"EXWORKS CAPITAL FUND I, LP (2018-12-12)",https://lens.org/166-644-903-458-586,Granted Patent,no,7,0,3,3,0,A62C31/05;;A62C31/22;;A62C31/03;;A62C31/22,A62C31/22;;A62C31/03,,0,0,,,,ACTIVE
3,US,B2,US 9786010 B2,184-665-457-552-964,2017-10-10,2017,US 201414259676 A,2014-04-23,US 201414259676 A,2014-04-23,Homeowners insurance application process using geotagged photos,"Methods, systems, and computer readable media are disclosed for determining a homeowners insurance quote from a captured image of a dwelling. The captured image includes geotagged information, and the address of the dwelling is determined by reverse geocoding this information. An insurance premium quote may then be generated based on the reverse geocoded address and any additional risk assessment factors, such as the building characteristics. Verification of the address may also be performed by accessing one or more databases, which may store information including addresses, coordinates, and images associated with the address. The building characteristics may be retrieved from one or more of the databases to allow for quote generation with minimal user intervention. Matching properties having comparative quotes near the dwelling address may also be generated.",STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,KIPER TIMOTHY;;TAYLOR DWAYNE;;ABEL JEFFREY HOWARD;;ENGELHORN AMY,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (2014-04-08),https://lens.org/184-665-457-552-964,Granted Patent,yes,10,4,3,3,0,G06Q40/08;;G06Q30/0283;;G06Q40/08;;G06Q30/0283;;G06F16/2379;;G06F16/5866;;G06F16/29,G06Q40/08;;G06Q30/02,,0,0,,,,ACTIVE
4,US,A1,US 2015/0310556 A1,055-817-757-666-771,2015-10-29,2015,US 201414259676 A,2014-04-23,US 201414259676 A,2014-04-23,Homeowners Application Process Using Geotagged Photos,"Methods, systems, and computer readable media are disclosed for determining a homeowners insurance quote from a captured image of a dwelling. The captured image includes geotagged information, and the address of the dwelling is determined by reverse geocoding this information. An insurance premium quote may then be generated based on the reverse geocoded address and any additional risk assessment factors, such as the building characteristics. Verification of the address may also be performed by accessing one or more databases, which may store information including addresses, coordinates, and images associated with the address. The building characteristics may be retrieved from one or more of the databases to allow for quote generation with minimal user intervention. Matching properties having comparative quotes near the dwelling address may also be generated.",STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,KIPER TIMOTHY;;TAYLOR DWAYNE;;ABEL JEFFREY HOWARD;;ENGELHORN AMY,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (2014-04-08),https://lens.org/055-817-757-666-771,Patent Application,yes,2,17,3,3,0,G06Q40/08;;G06Q30/0283;;G06Q40/08;;G06Q30/0283;;G06F16/2379;;G06F16/5866;;G06F16/29,G06Q40/08;;G06Q30/02,,0,0,,,,ACTIVE
5,US,B1,US 10692151 B1,139-890-704-647-194,2020-06-23,2020,US 201715667318 A,2017-08-02,US 201715667318 A;;US 201414259676 A,2014-04-23,Homeowners insurance application process using geotagged photos,"Methods, systems, and computer readable media are disclosed for determining a homeowners insurance quote from a captured image of a dwelling. The captured image includes geotagged information, and the address of the dwelling is determined by reverse geocoding this information. An insurance premium quote may then be generated based on the reverse geocoded address and any additional risk assessment factors, such as the building characteristics. Verification of the address may also be performed by accessing one or more databases, which may store information including addresses, coordinates, and images associated with the address. The building characteristics may be retrieved from one or more of the databases to allow for quote generation with minimal user intervention. Matching properties having comparative quotes near the dwelling address may also be generated.",STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,KIPER TIMOTHY;;TAYLOR DWAYNE;;ABEL JEFFREY HOWARD;;ENGELHORN AMY,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (2014-04-08),https://lens.org/139-890-704-647-194,Granted Patent,yes,12,0,3,3,0,G06Q40/08;;G06Q30/0283;;G06Q40/08;;G06Q30/0283;;G06F16/2379;;G06F16/5866;;G06F16/29,G06Q40/08;;G06F16/23;;G06F16/29;;G06F16/58;;G06K9/62;;G06Q30/02,,6,1,016-852-502-994-297,pmc4590956;;10.1155/2014/567049;;26556417,"Ensuring Confidentiality of Geocoded Health Data: Assessing Geographic Masking Strategies for Individual Level Data (Year: 2014).;;U.S. Appl. No. 14/259,676, Final Office Action, dated May 26, 2015.;;U.S. Appl. No. 14/259,676, Final Office Action, dated Nov. 10, 2014.;;U.S. Appl. No. 14/259,676, Nonfinal Office Action, dated Jul. 17, 2014.;;U.S. Appl. No. 14/259,676, Nonfinal Office Action, dated Mar. 3, 2015.;;U.S. Appl. No. 14/259,676, Notice of Allowance, dated Jun. 22, 2017.",ACTIVE
6,WO,A2,WO 2006/118637 A2,067-067-233-102-575,2006-11-09,2006,US 2006/0006491 W,2006-02-24,US 11882105 A,2005-04-29,METHOD AND APPARATUS FOR SUPPLYING AIR TO EMISSION ABATEMENT DEVICE BY USE OF TURBOCHARGER,"An apparatus comprises a combustion engine, an emission abatement device, and a turbocharger. The emission abatement device is fluidly coupled to the engine to receive exhaust gas therefrom. The turbocharger comprises an air compressor that is fluidly coupled to the engine to supply pressurized air to the engine and that is fluidly coupled to the emission abatement device via a flow path not including any combustion section of the engine to supply pressurized air to the emission abatement device. An associated method is disclosed.",ARVIN TECHNOLOGIES INC;;TAYLOR WILLIAM;;KONG YOUGEN;;HUFFMEYER CHRISTOPHER;;KOZAKIEWICZ TOMASZ;;ABEL JOHN,TAYLOR WILLIAM;;KONG YOUGEN;;HUFFMEYER CHRISTOPHER;;KOZAKIEWICZ TOMASZ;;ABEL JOHN,,https://lens.org/067-067-233-102-575,Patent Application,yes,1,4,12,12,0,F02B37/00;;F02M23/12;;F02M23/12;;F01N3/025;;F01N3/025;;F01N3/035;;F01N3/035;;F01N3/0814;;F01N3/0814;;F01N3/0842;;F01N3/0842;;F01N3/106;;F01N3/106;;F01N3/2033;;F01N3/2033;;F01N3/2066;;F01N3/2066;;F01N3/22;;F01N3/22;;F01N3/32;;F01N3/32;;F01N3/326;;F01N3/326;;F01N5/04;;F01N13/009;;F01N13/009;;F01N2240/14;;F01N2240/14;;F01N2240/30;;F01N2240/30;;F01N2610/03;;F01N2610/03;;F02B37/166;;F02B37/166;;F02B37/168;;F02B37/168;;F02B39/00;;F02M27/02;;F02M27/02;;Y02T10/12;;Y02T10/12,F02M25/06;;F01N5/04;;F02B29/04,,1,0,,,See also references of EP 1888907A4,PENDING
7,WO,A3,WO 2006/118637 A3,119-136-429-744-255,2008-01-03,2008,US 2006/0006491 W,2006-02-24,US 11882105 A,2005-04-29,METHOD AND APPARATUS FOR SUPPLYING AIR TO EMISSION ABATEMENT DEVICE BY USE OF TURBOCHARGER,"An apparatus comprises a combustion engine, an emission abatement device, and a turbocharger. The emission abatement device is fluidly coupled to the engine to receive exhaust gas therefrom. The turbocharger comprises an air compressor that is fluidly coupled to the engine to supply pressurized air to the engine and that is fluidly coupled to the emission abatement device via a flow path not including any combustion section of the engine to supply pressurized air to the emission abatement device. An associated method is disclosed.",EMCON TECHNOLOGIES LLC;;TAYLOR WILLIAM;;KONG YOUGEN;;HUFFMEYER CHRISTOPHER;;KOZAKIEWICZ TOMASZ;;ABEL JOHN,TAYLOR WILLIAM;;KONG YOUGEN;;HUFFMEYER CHRISTOPHER;;KOZAKIEWICZ TOMASZ;;ABEL JOHN,,https://lens.org/119-136-429-744-255,Search Report,yes,6,0,12,12,0,F02B37/00;;F02M23/12;;F02M23/12;;F01N3/025;;F01N3/025;;F01N3/035;;F01N3/035;;F01N3/0814;;F01N3/0814;;F01N3/0842;;F01N3/0842;;F01N3/106;;F01N3/106;;F01N3/2033;;F01N3/2033;;F01N3/2066;;F01N3/2066;;F01N3/22;;F01N3/22;;F01N3/32;;F01N3/32;;F01N3/326;;F01N3/326;;F01N5/04;;F01N13/009;;F01N13/009;;F01N2240/14;;F01N2240/14;;F01N2240/30;;F01N2240/30;;F01N2610/03;;F01N2610/03;;F02B37/166;;F02B37/166;;F02B37/168;;F02B37/168;;F02B39/00;;F02M27/02;;F02M27/02;;Y02T10/12;;Y02T10/12,F01N5/04;;F01N3/00,,1,0,,,See also references of EP 1888907A4,PENDING
8,EP,B1,EP 1888907 B1,105-651-188-936-309,2016-04-13,2016,EP 06735952 A,2006-02-24,US 2006/0006491 W;;US 11882105 A,2005-04-29,METHOD AND APPARATUS FOR SUPPLYING AIR TO EMISSION ABATEMENT DEVICE BY USE OF TURBOCHARGER,,FAURECIA EMISSIONS CONTROL TECHNOLOGIES USA LLC,TAYLOR WILLIAM;;KONG YOUGEN;;HUFFMEYER CHRISTOPHER;;KOZAKIEWICZ TOMASZ;;ABEL JOHN,"FAURECIA EMISSIONS CONTROL TECHNOLOGIES, USA, LLC (2016-02-24)",https://lens.org/105-651-188-936-309,Granted Patent,yes,11,1,12,12,0,F02B37/00;;F02M23/12;;F02M23/12;;F01N3/025;;F01N3/025;;F01N3/035;;F01N3/035;;F01N3/0814;;F01N3/0814;;F01N3/0842;;F01N3/0842;;F01N3/106;;F01N3/106;;F01N3/2033;;F01N3/2033;;F01N3/2066;;F01N3/2066;;F01N3/22;;F01N3/22;;F01N3/32;;F01N3/32;;F01N3/326;;F01N3/326;;F01N5/04;;F01N13/009;;F01N13/009;;F01N2240/14;;F01N2240/14;;F01N2240/30;;F01N2240/30;;F01N2610/03;;F01N2610/03;;F02B37/166;;F02B37/166;;F02B37/168;;F02B37/168;;F02B39/00;;F02M27/02;;F02M27/02;;Y02T10/12;;Y02T10/12,F01N3/08;;F01N3/20;;F01N3/22;;F01N3/32;;F02B37/16;;F02M23/12,,0,0,,,,ACTIVE
9,EP,A4,EP 1888907 A4,015-934-173-272-009,2011-06-15,2011,EP 06735952 A,2006-02-24,US 2006/0006491 W;;US 11882105 A,2005-04-29,METHOD AND APPARATUS FOR SUPPLYING AIR TO EMISSION ABATEMENT DEVICE BY USE OF TURBOCHARGER,,EMCON TECHNOLOGIES LLC,TAYLOR WILLIAM;;KONG YOUGEN;;HUFFMEYER CHRISTOPHER;;KOZAKIEWICZ TOMASZ;;ABEL JOHN,"FAURECIA EMISSIONS CONTROL TECHNOLOGIES, USA, LLC (2016-02-24)",https://lens.org/015-934-173-272-009,Search Report,no,5,0,12,12,0,F01N3/025;;F01N3/035;;F01N3/0814;;F01N3/0842;;F01N3/106;;F01N3/2033;;F01N3/2066;;F01N3/22;;F01N3/32;;F01N3/326;;F01N2240/14;;F01N2240/30;;F01N2610/03;;F02B37/166;;F02M23/12;;F02M27/02;;F01N13/009;;F02B37/168;;Y02T10/12;;F02B37/00;;F01N5/04;;F02B39/00;;F02M23/12;;F01N2610/03;;F01N3/035;;F01N3/22;;F01N3/106;;F01N3/0842;;F02M27/02;;F01N3/2066;;F01N2240/30;;F01N2240/14;;F01N3/32;;F01N3/0814;;F02B37/166;;F01N3/326;;F01N3/2033;;F01N3/025;;F01N13/009;;F02B37/168;;Y02T10/12,F01N3/00;;F01N5/04,,1,0,,,See also references of WO 2006118637A2,ACTIVE
10,KR,A,KR 20080009218 A,003-060-057-389-453,2008-01-25,2008,KR 20077027651 A,2006-02-24,US 11882105 A;;US 2006/0006491 W,2005-04-29,METHOD AND APPARATUS FOR SUPPLYING AIR TO EMISSION ABATEMENT DEVICE BY USE OF TURBOCHARGER,"An apparatus comprises a combustion engine, an emission abatement device, and a turbocharger. The emission abatement device is fluidly coupled to the engine to receive exhaust gas therefrom. The turbocharger comprises an air compressor that is fluidly coupled to the engine to supply pressurized air to the engine and that is fluidly coupled to the emission abatement device via a flow path not including any combustion section of the engine to supply pressurized air to the emission abatement device. An associated method is disclosed.",EMCON TECHNOLOGIES LLC,TAYLOR WILLIAM;;KONG YOUGEN;;HUFFMEYER CHRISTOPHER;;KOZAKIEWICZ TOMASZ;;ABEL JOHN,,https://lens.org/003-060-057-389-453,Patent Application,no,0,0,12,12,0,F02B37/00;;F02M23/12;;F02M23/12;;F01N3/025;;F01N3/025;;F01N3/035;;F01N3/035;;F01N3/0814;;F01N3/0814;;F01N3/0842;;F01N3/0842;;F01N3/106;;F01N3/106;;F01N3/2033;;F01N3/2033;;F01N3/2066;;F01N3/2066;;F01N3/22;;F01N3/22;;F01N3/32;;F01N3/32;;F01N3/326;;F01N3/326;;F01N5/04;;F01N13/009;;F01N13/009;;F01N2240/14;;F01N2240/14;;F01N2240/30;;F01N2240/30;;F01N2610/03;;F01N2610/03;;F02B37/166;;F02B37/166;;F02B37/168;;F02B37/168;;F02B39/00;;F02M27/02;;F02M27/02;;Y02T10/12;;Y02T10/12,F02B37/00;;F01N5/04;;F02B39/00;;F02M25/07,,0,0,,,,ACTIVE
11,EP,A2,EP 1888907 A2,099-490-105-419-534,2008-02-20,2008,EP 06735952 A,2006-02-24,US 2006/0006491 W;;US 11882105 A,2005-04-29,METHOD AND APPARATUS FOR SUPPLYING AIR TO EMISSION ABATEMENT DEVICE BY USE OF TURBOCHARGER,,EMCON TECHNOLOGIES LLC,TAYLOR WILLIAM;;KONG YOUGEN;;HUFFMEYER CHRISTOPHER;;KOZAKIEWICZ TOMASZ;;ABEL JOHN,"FAURECIA EMISSIONS CONTROL TECHNOLOGIES, USA, LLC (2016-02-24)",https://lens.org/099-490-105-419-534,Patent Application,yes,0,0,12,12,0,F02B37/00;;F02M23/12;;F02M23/12;;F01N3/025;;F01N3/025;;F01N3/035;;F01N3/035;;F01N3/0814;;F01N3/0814;;F01N3/0842;;F01N3/0842;;F01N3/106;;F01N3/106;;F01N3/2033;;F01N3/2033;;F01N3/2066;;F01N3/2066;;F01N3/22;;F01N3/22;;F01N3/32;;F01N3/32;;F01N3/326;;F01N3/326;;F01N5/04;;F01N13/009;;F01N13/009;;F01N2240/14;;F01N2240/14;;F01N2240/30;;F01N2240/30;;F01N2610/03;;F01N2610/03;;F02B37/166;;F02B37/166;;F02B37/168;;F02B37/168;;F02B39/00;;F02M27/02;;F02M27/02;;Y02T10/12;;Y02T10/12,F01N3/08;;F01N3/20;;F01N3/22;;F01N3/32;;F02B37/16;;F02M23/12,,0,0,,,,ACTIVE
