"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,GB,A,GB 1113434 A,130-227-635-645-065,1968-05-15,1968,GB 723764 A,1964-02-20,GB 723764 A,1964-02-20,Improvements in writing instruments,"1,113,434. Multiple retractable ball-point pens. EVERFLOW PEN CO. Ltd. 19 May, 1965 [20 Feb., 1964], No. 7237/64. Heading B6P. In a multiple retractable ball-point pen, crayon or pencil, the front and rear barrel portions 1 and 2 respectively, Fig. 1, are joined by an interconnecting member 3 provided with axially extending bores for guiding the refills and acting as seats for the retracting springs 9. Hook-shaped actuating members 10 are each connected to the end of a refill, and each extends through a longitudinal slot in the rear barrel portion. The actuating members may be coloured to indicate the nature of the ink in the refill.",EVERFLOW PEN COMPANY LTD,BERNSTEIN THEODORE,,https://lens.org/130-227-635-645-065,Granted Patent,no,0,2,1,1,0,B43K24/12,B43K24/12,B6P PA5A3A        -;;B6P PA5H          -;;B6P PA5X1         -;;B6P P11RY         -;;B6P P11R1D        -;;B6P P11R1Y        -,0,0,,,,EXPIRED
2,US,S,US D0819746 S,187-667-621-784-926,2018-06-05,2018,US 201829632374 F,2018-01-08,US 201829632374 F,2018-01-08,Chess board,,BERNSTEIN DAVID THEODORE;;BERNSTEIN ZOE ZHOU LEI,BERNSTEIN DAVID THEODORE,BERNSTEIN DAVID THEODORE (2018-01-22);;BERNSTEIN ZOE ZHOU LEI (2018-01-22),https://lens.org/187-667-621-784-926,Design Right,no,0,0,1,1,0,,,2101;;D21/348;;D21/362,0,0,,,,ACTIVE
3,US,A1,US 2010/0221168 A1,166-158-203-303-221,2010-09-02,2010,US 66056310 A,2010-03-01,US 66056310 A;;US 20901109 P;;US 21687909 P,2009-03-02,Cryogenic system for neon production,"A method and apparatus for the recovery of crude neon in or as part of a cryogenic air separation system wherein a neon recovery tower recovers crude neon from a nitrogen product stream originating from the top of the high pressure tower, and wherein the cooling for condensing in the neon recovery tower is provided by evaporating the liquefied nitrogen product from the bottom of the neon tower after the nitrogen liquid passes through a pressure reducing valve.",BERNSTEIN JOSEPH THEODORE,BERNSTEIN JOSEPH THEODORE,,https://lens.org/166-158-203-303-221,Patent Application,yes,2,8,1,1,0,F25J3/0409;;F25J3/04303;;F25J3/04412;;F25J3/04642;;F25J2200/32;;F25J2215/32;;F25J3/04642;;F25J3/0409;;F25J3/04303;;F25J2200/32;;F25J3/04412;;F25J2215/32,C01B23/00,423/262,0,0,,,,DISCONTINUED
4,US,B1,US 6457952 B1,036-903-662-461-388,2002-10-01,2002,US 70735900 A,2000-11-07,US 70735900 A,2000-11-07,Scroll compressor check valve assembly,"
    A compressor assembly including a housing, a compression mechanism disposed in the housing and having a discharge port, and a discharge check valve assembly. Gas substantially at suction pressure is received into the compression mechanism, compressed and discharged substantially at discharge pressure from the compression mechanism through the discharge port. The discharge check valve assembly has at least one elongate guide pin extending from the compression mechanism and a valve plate disposed about the guide pin. The valve plate has a closed position at a first position along the guide pin in which the valve plate covers the discharge port and an open position at a second position different than the first position along the guide pin in which the valve plate does not cover the discharge port. Gas substantially at discharge pressure and having been discharged from the compression mechanism is substantially prevented by the valve, in its closed position, from reentering the discharge port. 
",TECUMSEH PRODUCTS CO,HALLER DAVID K;;O'BRIEN DARRIN S;;BERNSTEIN THEODORE A,TECUMSEH PRODUCTS COMPANY (2000-10-23),https://lens.org/036-903-662-461-388,Granted Patent,yes,27,15,1,1,0,F04C29/126;;F16K15/023;;Y10T137/7918;;Y10T137/7918;;F04C29/126;;F16K15/023,F04C29/12;;F16K15/02,417/410.5;;418/55.1;;137/533.27;;417/559,0,0,,,,EXPIRED
5,US,B1,US 6859431 B1,032-704-115-324-432,2005-02-22,2005,US 49334400 A,2000-01-28,US 49334400 A,2000-01-28,System and method for calculating protection routes in a network prior to failure,"A system and method for automatically generating a protection route as an alternative to a working route through a network of switches prior to network failure. A switch selects the proposed protection route so that the protection route is disjoint from the working route. Next, a switch or switches determines whether bandwidth is available for the proposed protection route. If so, the protection route is set-up for activation when needed.",CIENA CORP,TEDIJANTO THEODORE E;;LU BIAO;;GULATI NEERAJ;;BERNSTEIN GREGORY M,CIENA CORPORATION (2002-10-04),https://lens.org/032-704-115-324-432,Granted Patent,yes,7,17,1,1,0,H04J3/14;;H04L45/22;;H04L45/28;;H04L43/0811;;H04L45/28;;H04J3/14;;H04L45/00;;H04L45/22;;H04L43/0811,H04J3/14;;H04L12/56,370/223;;370/228;;370/539,0,0,,,,EXPIRED
6,CH,A,CH 355814 A,174-735-005-804-225,1961-07-31,1961,CH 355814D A,1957-01-22,CH 355814T A,1957-01-22,Magnetische Einrichtung,,SPERRY RAND CORP,THEODORE HERTZ BONN;;JOHN PRESPER JR ECKERT;;FRED BERNSTEIN;;RICHARD WINSLOW SPENCER,,https://lens.org/174-735-005-804-225,Granted Patent,no,0,1,1,1,0,G11C11/06085;;H03K17/80;;H03K17/82,G11C11/06;;H03K17/80;;H03K17/82,"21A2,18/08",0,0,,,,EXPIRED
7,CA,A,CA 654605 A,016-528-739-317-863,1962-12-25,1962,CA 654605D A,,CA 654605T A,,COMPOSITE MAGNETIC STRUCTURES,,SPERRY RAND CORP,BONN THEODORE H;;SPENCER RICHARD W;;ECKERT JOHN P JR;;BERNSTEIN FRED,,https://lens.org/016-528-739-317-863,Granted Patent,no,0,0,1,1,0,,,,0,0,,,,EXPIRED
8,GB,A,GB 855726 A,129-797-505-381-072,1960-12-07,1960,GB 137357 A,1957-01-14,GB 137357 A,1957-01-14,Composite magnetic core structures,"855,726. Magnetic amplifiers. SPERRY RAND CORPORATION. Jan. 14, 1957, No. 1373/57. Class 40 (9). [Also in Group XXXV] An auto-self-excited full-wave rectifying transductor has a magnetic core comprising an "" active "" portion formed of one or more layers of magnetic tape material and "" return path "" portions 68, 69 which have low reluctances so that the active portion only saturates. Control windings 54-57 are provided in series and, as shown, bias windings 60, 61 are provided. Windings 64, 65 are disposed on the magnetic tape and connected between a supply 67 and a load 66.",SPERRY RAND CORP,BONN THEODORE HERTZ;;JR JOHN PRESPER ECKERT;;BERNSTEIN FRED;;SPENCER RICHARD WINSLOW,,https://lens.org/129-797-505-381-072,Granted Patent,no,0,0,1,1,0,H03F9/00,H03F9/00,,0,0,,,,EXPIRED
9,US,B2,US 7454642 B2,079-208-825-174-195,2008-11-18,2008,US 27826206 A,2006-03-31,US 27826206 A,2006-03-31,Method and architecture for power management of an electronic device,"A method of reducing static power consumption in a low power electronic device. The electronic device including one or more power islands, each power island including: a local storage capacitor coupling a local power grid to a local ground grid; and a functional circuit connected between the local power grid and the local ground grid; a global storage capacitor coupling a global power grid to a global ground grid, each local ground grid connected to the global ground grid; one or more switches, each switch selectively connecting the global power grid to a single and different corresponding local power grid; and a power dispatch unit adapted to open and close the one or more switches.",IBM,BERNSTEIN KERRY;;GOODNOW KENNETH JOSEPH;;OGILVIE CLARENCE ROSSER;;WILLIAMS KEITH ROBERT;;VENTRONE SEBASTIAN THEODORE,GLOBALFOUNDRIES U.S. INC (2020-10-22);;INTERNATIONAL BUSINESS MACHINES CORPORATION (2006-03-20);;GLOBALFOUNDRIES U.S. 2 LLC (2015-06-29);;GLOBALFOUNDRIES INC (2015-09-10),https://lens.org/079-208-825-174-195,Granted Patent,yes,6,7,2,4,0,G06F1/3203;;G06F1/3287;;H01L25/16;;H01L28/60;;H01L2924/19105;;H01L2924/15311;;H01L2224/16225;;H01L2924/19041;;Y02D10/00;;G06F1/3203;;H01L2924/19105;;H01L28/60;;H01L25/16;;G06F1/3287;;H01L2924/15311;;H01L2224/16225;;H01L2924/19041;;Y02D10/00,G06F1/26;;G06F1/32,713/324;;713/320,0,0,,,,ACTIVE
10,US,B2,US 7831935 B2,181-174-153-219-809,2010-11-09,2010,US 84657807 A,2007-08-29,US 84657807 A;;US 27826206 A,2006-03-31,Method and architecture for power management of an electronic device,"A method of reducing static power consumption in a low power electronic device. The electronic device including one or more power islands, each power island including: a local storage capacitor coupling a local power grid to a local ground grid; and a functional circuit connected between the local power grid and the local ground grid; a global storage capacitor coupling a global power grid to a global ground grid, each local ground grid connected to the global ground grid; one or more switches, each switch selectively connecting the global power grid to a single and different corresponding local power grid; and a power dispatch unit adapted to open and close the one or more switches.",IBM,BERNSTEIN KERRY;;GOODNOW KENNETH JOSEPH;;OGILVIE CLARENCE ROSSER;;WILLIAMS KEITH ROBERT;;VENTRONE SEBASTIAN THEODORE,GLOBALFOUNDRIES U.S. INC (2020-10-22);;INTERNATIONAL BUSINESS MACHINES CORPORATION (2007-10-01);;GLOBALFOUNDRIES U.S. 2 LLC (2015-06-29);;GLOBALFOUNDRIES INC (2015-09-10),https://lens.org/181-174-153-219-809,Granted Patent,yes,12,4,2,4,0,G06F1/3203;;G06F1/3203;;G06F1/3287;;G06F1/3287;;H01L25/16;;H01L25/16;;H01L28/60;;H01L28/60;;H01L2224/16225;;H01L2224/16225;;H01L2924/00011;;H01L2924/00011;;H01L2924/00014;;H01L2924/00014;;H01L2924/19105;;H01L2924/19105;;Y02D10/00;;Y02D10/00,G06F17/50,716/1,0,0,,,,ACTIVE
