"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A,US 2537361 A,117-095-672-470-177,1951-01-09,1951,US 75903247 A,1947-07-05,US 75903247 A,1947-07-05,Device for filling cartons,,BROADDUS MASSEY WILLIAM,BROADDUS MASSEY WILLIAM,,https://lens.org/117-095-672-470-177,Granted Patent,no,6,2,1,1,0,A23G9/283;;A23G9/283,A23G9/28,,0,0,,,,EXPIRED
2,US,A,US 2112173 A,011-887-759-261-273,1938-03-22,1938,US 18289937 A,1937-12-31,US 18289937 A,1937-12-31,Device for filling containers,,BROADDUS MASSEY WILLIAM,BROADDUS MASSEY WILLIAM,,https://lens.org/011-887-759-261-273,Granted Patent,no,0,6,1,1,0,A23G9/283;;A23G9/283,A23G9/28,,0,0,,,,EXPIRED
3,US,A,US 2390314 A,033-557-751-334-446,1945-12-04,1945,US 54422944 A,1944-07-10,US 54422944 A,1944-07-10,Dispensing device for paste tubes,,BROADDUS MASSEY WILLIAM,BROADDUS MASSEY WILLIAM,,https://lens.org/033-557-751-334-446,Granted Patent,no,0,22,1,1,0,B65D35/28;;B65D35/28,B65D35/28,,0,0,,,,EXPIRED
4,US,A,US 2162853 A,142-918-433-866-343,1939-06-20,1939,US 18774738 A,1938-01-29,US 18774738 A,1938-01-29,Container,,BROADDUS MASSEY WILLIAM,BROADDUS MASSEY WILLIAM,,https://lens.org/142-918-433-866-343,Granted Patent,no,0,15,1,1,0,B65D51/1683;;B65D51/1683,B65D51/16,,0,0,,,,EXPIRED
5,US,A1,US 2008/0159463 A1,191-486-412-102-10X,2008-07-03,2008,US 61843906 A,2006-12-29,US 61843906 A,2006-12-29,HANDOFF METHODS AND ASSEMBLIES FOR REFUELING A NUCLEAR REACTOR,"Systems and methods for refueling a nuclear reactor that has a reactor core in a reactor pool having a plurality of elongated reactor core components, a fuel pool for storing core components, and a transfer channel connecting the fuel pool to the reactor pool. The method includes retrieving a replacement core component from the fuel pool, and securing the replacement core component in a first compartment of a handover assembly in a vertical position. The method also includes retrieving a spent core component from the reactor core, and securing the spent core component in a second compartment of the handover assembly in a vertical position. The replacement core component is retrieved from the first compartment and installed into the reactor core. The spent core component is retrieved from the second compartment and stored in a storage rack in the fuel pool.",ORTEGA FRANK;;BROADDUS MARK WILLIAM,ORTEGA FRANK;;BROADDUS MARK WILLIAM,GE HITACHI NUCLEAR ENERGY AMERICAS LLC (2023-11-09);;GENERAL ELECTRIC COMPANY (2006-12-29),https://lens.org/191-486-412-102-10X,Patent Application,yes,11,9,7,7,0,G21C19/18;;G21C19/20;;G21C19/11;;G21C19/11;;G21C19/18;;G21C19/18;;G21C19/20;;G21C19/20;;Y02E30/30,G21C19/07,376/269,0,0,,,,ACTIVE
6,DE,A1,DE 102007062895 A1,068-321-027-328-677,2008-07-03,2008,DE 102007062895 A,2007-12-21,US 61843906 A,2006-12-29,"Fuel renewal arrangement for e.g. pressurized water reactor, has transfer arrangement permitting independent selective engagement of compartments by reactor and fuel reservoir handles, which are operated by straps, respectively","The arrangement (12) has a fuel reservoir link (26) positioned above a fuel reservoir and moved by the fuel reservoir. A transfer link (28) connects the fuel reservoir with a reactor reservoir (18). A transfer arrangement (30) is selectively positioned in a conveyor channel (32). Compartments (34) are arranged to selectively secure reactor core components (16) in a vertical position. The transfer arrangement permits an independent selective engagement of the compartments by a reactor reservoir handle (36) and a fuel reservoir handle (27), which are operated by straps, respectively.",GEN ELECTRIC,ORTEGA FRANK;;BROADDUS MARK WILLIAM,,https://lens.org/068-321-027-328-677,Patent Application,no,0,0,7,7,0,G21C19/18;;G21C19/20;;G21C19/11;;G21C19/11;;G21C19/18;;G21C19/18;;G21C19/20;;G21C19/20;;Y02E30/30,G21C19/10;;G21C19/19,,0,0,,,,DISCONTINUED
7,SE,L,SE 0702888 L,090-215-613-170-655,2008-06-30,2008,SE 0702888 A,2007-12-27,US 61843906 A,2006-12-29,Överräckningsförfaranden och aggregat för påfyllning av en kärnreaktor,,GEN ELECTRIC,ORTEGA FRANK;;BROADDUS MARK WILLIAM,,https://lens.org/090-215-613-170-655,Abstract,no,0,0,7,7,0,G21C19/18;;G21C19/20;;G21C19/11;;G21C19/11;;G21C19/18;;G21C19/18;;G21C19/20;;G21C19/20;;Y02E30/30,,,0,0,,,,ACTIVE
8,US,B2,US 9721686 B2,197-209-379-425-312,2017-08-01,2017,US 61843906 A,2006-12-29,US 61843906 A,2006-12-29,Handoff methods and assemblies for refueling a nuclear reactor,"Systems and methods for refueling a nuclear reactor that has a reactor core in a reactor pool having a plurality of elongated reactor core components, a fuel pool for storing core components, and a transfer channel connecting the fuel pool to the reactor pool. The method includes retrieving a replacement core component from the fuel pool, and securing the replacement core component in a first compartment of a handover assembly in a vertical position. The method also includes retrieving a spent core component from the reactor core, and securing the spent core component in a second compartment of the handover assembly in a vertical position. The replacement core component is retrieved from the first compartment and installed into the reactor core. The spent core component is retrieved from the second compartment and stored in a storage rack in the fuel pool.",ORTEGA FRANK;;BROADDUS MARK WILLIAM;;GEN ELECTRIC,ORTEGA FRANK;;BROADDUS MARK WILLIAM,GE HITACHI NUCLEAR ENERGY AMERICAS LLC (2023-11-09);;GENERAL ELECTRIC COMPANY (2006-12-29),https://lens.org/197-209-379-425-312,Granted Patent,yes,16,0,7,7,0,G21C19/18;;G21C19/20;;G21C19/11;;G21C19/11;;G21C19/18;;G21C19/18;;G21C19/20;;G21C19/20;;Y02E30/30,G21C19/07;;G21C19/11;;G21C19/18;;G21C19/20,,3,0,,,"U.S. Nuclear Regulatory Commission Information Notice 94-13: “Unanticipated and Unintended Movement of Fuel Assemblies and other components Due to Improper Operation of Refueling Equipment”, Feb. 22, 1994, 4 pages.;;Advances in Nuclear Fuel Management III, “Reducing Refueling Outage Duration by Optimizing Core Design and Shuffling Sequence,” P. H. Wakker et al., Oct. 5-8, 2003.;;Office Action issued in connection with JP Application No. 2007-322676, Feb. 5, 2013.",ACTIVE
9,SE,C2,SE 532196 C2,175-015-600-522-08X,2009-11-10,2009,SE 0702888 A,2007-12-27,US 61843906 A,2006-12-29,Överräckningsförfaranden och aggregat för påfyllning av en kärnreaktor,,GEN ELECTRIC,ORTEGA FRANK;;BROADDUS MARK WILLIAM,,https://lens.org/175-015-600-522-08X,Granted Patent,no,0,0,7,7,0,G21C19/18;;G21C19/20;;G21C19/11;;G21C19/11;;G21C19/18;;G21C19/18;;G21C19/20;;G21C19/20;;Y02E30/30,G21C19/19,,0,0,,,,ACTIVE
10,JP,A,JP 2008164599 A,064-954-360-815-975,2008-07-17,2008,JP 2007322676 A,2007-12-14,US 61843906 A,2006-12-29,HANDOFF METHOD AND ASSEMBLY FOR REFUELING NUCLEAR REACTOR,"<P>PROBLEM TO BE SOLVED: To provide an assembly for refueling a nuclear reactor for reducing the time for refueling operations and the downtime of electricity generation for a nuclear power plant. <P>SOLUTION: In an apparatus and a method for refueling the nuclear reactor that has a reactor core in a reactor pool having a plurality of elongated reactor core components, a fuel pool for storing core components, and a transfer channel 32 connecting the fuel pool to the reactor pool, the method includes the extraction of a replacement core component from the fuel pool, and securing the replacement core component in a first compartment of a handover assembly 30 in a vertical position. The method also includes the extraction of a spent core component from the reactor core to secure the spent core component in a second compartment of the handover assembly in a vertical position. The replacement core component is extracted from the first compartment and installed into the reactor core. The spent core component is extracted from the second compartment and stored in a storage rack in the fuel pool. <P>COPYRIGHT: (C)2008,JPO&INPIT",GEN ELECTRIC,ORTEGA FRANK;;BROADDUS MARK WILLIAM,,https://lens.org/064-954-360-815-975,Patent Application,no,16,1,7,7,0,G21C19/18;;G21C19/20;;G21C19/11;;G21C19/11;;G21C19/18;;G21C19/18;;G21C19/20;;G21C19/20;;Y02E30/30,G21C19/18,,0,0,,,,ACTIVE
