"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,WO,A1,WO 2006/013341 A1,154-337-232-501-532,2006-02-09,2006,GB 2005002997 W,2005-08-04,GB 0417438 A,2004-08-04,DECK BOX FOR A SWIMMING POOL,"The invention relates to improvements to swimming pools, in particular to providing extra facilities to a deck box, such as those commonly used to provide power to underwater swimming pool lights. The improvement comprises the provision of a facility to illuminate the lid area of a deck box, by providing an internal light source and a lid which may be translucent or transparent. The invention also extends to providing a kit of parts for converting an existing deck box into a deck box in accordance with the teachings of the invention.",FIELDING ALLAN;;BURNHAM DOUGLAS,FIELDING ALLAN;;BURNHAM DOUGLAS,,https://lens.org/154-337-232-501-532,Patent Application,yes,7,1,9,9,0,E04H4/148;;E04H4/148;;E04H4/14;;E04H4/14;;F21S8/00;;F21S8/00;;F21W2131/401;;F21W2131/401,E04H4/14;;F21S8/00;;H02G3/20,,0,0,,,,PENDING
2,ZA,B,ZA 200700766 B,008-693-430-287-458,2008-09-25,2008,ZA 200700766 A,2007-01-26,GB 0417438 A,2004-08-04,Deck box for a swimming pool,,ALLAN FIELDING;;DOUGLAS BURNHAM,ALLAN FIELDING;;DOUGLAS BURNHAM,,https://lens.org/008-693-430-287-458,Granted Patent,no,0,0,9,9,0,E04H4/148;;E04H4/148;;E04H4/14;;E04H4/14;;F21S8/00;;F21S8/00;;F21W2131/401;;F21W2131/401,E04H4/14;;F21S/;;F21S8/00;;H02G/;;H02G3/20,,0,0,,,,ACTIVE
3,US,A1,US 2009/0027902 A1,129-862-767-004-259,2009-01-29,2009,US 57303105 A,2005-08-04,GB 0417438 A;;GB 2005002997 W,2004-08-04,DECK-BOX FOR USE WITH UNDERWATER SWIMMING POOL LIGHT,"The invention relates to improvements to swimming pools, in particular to providing extra facilities to a deck box, such as those commonly used to provide power to underwater swimming pool lights. The improvement comprises the provision of a facility to illuminate the lid area of a deck box, by providing an internal light source and a lid which may be translucent or transparent. The invention also extends to providing a kit of parts for converting an existing deck box into a deck box in accordance with the teachings of the invention.",APPLEYARD LEES,FIELDING ALLAN;;BURNHAM DOUGLAS,,https://lens.org/129-862-767-004-259,Patent Application,yes,11,30,9,9,0,E04H4/148;;E04H4/148;;E04H4/14;;E04H4/14;;F21S8/00;;F21S8/00;;F21W2131/401;;F21W2131/401,F21V17/00;;E04H4/14;;F21S8/00;;H02G3/20,362/375,0,0,,,,DISCONTINUED
4,AU,A1,AU 2011/200856 A1,098-821-668-947-75X,2011-03-17,2011,AU 2011/200856 A,2011-02-28,AU 2005/268650 A;;AU 2011/200856 A;;GB 2005002997 W;;GB 0417438 A,2004-08-04,Deck box for a swimming pool,,BURNHAM DOUGLAS;;FIELDING ALLAN,FIELDING ALLAN;;BURNHAM DOUGLAS,,https://lens.org/098-821-668-947-75X,Patent Application,no,0,0,9,9,0,E04H4/14;;E04H4/148;;F21S8/00;;F21W2131/401;;E04H4/148;;F21S8/00;;E04H4/14;;F21W2131/401,H02G3/20;;E04H4/14;;F21S8/00,,0,0,,,,DISCONTINUED
5,AU,A1,AU 2005/268650 A1,128-744-697-801-258,2006-02-09,2006,AU 2005/268650 A,2005-08-04,GB 0417438 A;;GB 2005002997 W,2004-08-04,Deck box for a swimming pool,,BURNHAM DOUGLAS;;FIELDING ALLAN,BURNHAM DOUGLAS;;FIELDING ALLAN,,https://lens.org/128-744-697-801-258,Patent Application,no,0,0,9,9,0,E04H4/14;;E04H4/148;;F21S8/00;;F21W2131/401;;E04H4/148;;F21S8/00;;E04H4/14;;F21W2131/401,H02G3/20;;E04H4/14;;F21S8/00,,0,0,,,,DISCONTINUED
6,ZA,B,ZA 200105033 B,125-547-811-393-947,2002-01-16,2002,ZA 200105033 A,2001-06-20,GB 9900039 A,1999-01-05,Remote maintenance/manipulation/replacement system.,,FIELDING ALLAN;;BURNHAM DOUGLAS PETER,FIELDING ALLAN;;BURNHAM DOUGLAS PETER,,https://lens.org/125-547-811-393-947,Granted Patent,no,0,0,2,14,0,F21W2131/401;;Y02E30/30,F22B/;;G21C/,,0,0,,,,EXPIRED
7,EP,A1,EP 1141627 A1,160-710-803-317-406,2001-10-10,2001,EP 00900226 A,2000-01-05,GB 0000002 W;;GB 9900039 A;;GB 9901884 A,1999-01-05,REMOTE MAINTENANCE / MANIPULATION / REPLACEMENT SYSTEM,"The invention relates to a remote access system designed to make the task of positioning, manipulation and/or maintenance of devices, which are difficult to access or in hostile environments, a much easier operation. The system comprises remote manipulation whereby a device (420), such as a bulb, may be moved from a remote access position (200) along a guide (300) to an enclosure position (100). The enclosure position may, for instance, comprise an area formed in the side wall of a swimming pool, such that, a lens (120) of the enclosure sure (100) is arranged, in use, to have the device (420) to one side of it, and, sealed from the device on the other side of the lens (120), there may be water. By providing an arrangement whereby the device (420) can be remotely positioned, the need for draining a swimming pool for the simple replacement of blown bulbs etc. is avoided.",FIELDING ALLAN,FIELDING ALLAN;;BURNHAM DOUGLAS PETER,"BURNHAM, DOUGLAS PETER (2004-08-25);;FIELDING, ALLAN (2004-08-25);;ALLAN FIELDING, GB (2004-11-11)",https://lens.org/160-710-803-317-406,Patent Application,yes,0,0,11,14,0,F21V19/04;;F21W2131/401;;G21C17/00;;Y02E30/30;;G21C17/00;;F21V19/04;;F21W2131/401,F21S8/00;;F21V19/04;;G21C17/00,,0,0,,,,EXPIRED
8,AU,B2,AU 769352 B2,081-559-415-947-366,2004-01-22,2004,AU 2000/019892 A,2000-01-05,GB 9900039 A;;GB 9901884 A;;GB 0000002 W,1999-01-05,Remote maintenance / manipulation / replacement system,"The invention relates to a remote access system designed to make the task of positioning, manipulation and/or maintenance of devices, which are difficult to access or in hostile environments, a much easier operation. The system comprises remote manipulation whereby a device (420), such as a bulb, may be moved from a remote access position (200) along a guide (300) to an enclosure position (100). The enclosure position may, for instance, comprise an area formed in the side wall of a swimming pool, such that, a lens (120) of the enclosure sure (100) is arranged, in use, to have the device (420) to one side of it, and, sealed from the device on the other side of the lens (120), there may be water. By providing an arrangement whereby the device (420) can be remotely positioned, the need for draining a swimming pool for the simple replacement of blown bulbs etc. is avoided.",FIELDING ALLAN;;BURNHAM DOUGLAS PETER,FIELDING ALLAN;;BURNHAM DOUGLAS PETER,,https://lens.org/081-559-415-947-366,Granted Patent,no,3,0,11,14,0,F21V19/04;;F21W2131/401;;G21C17/00;;Y02E30/30;;G21C17/00;;F21V19/04;;F21W2131/401,F21S8/00;;F21V19/04;;G21C17/00,,0,0,,,,EXPIRED
9,AT,T1,AT E292059 T1,141-504-389-709-140,2005-04-15,2005,AT 99309917 T,1999-12-09,GB 9827899 A,1998-12-18,BEHÄLTER MIT VERBESSERTEN GIESSEIGENSCHAFTEN,"The invention concerns portable liquid containers with improved pouring capabilities. Particularly, there is disclosed a container comprising a body region (1) a hollow handle (3) with first and second ends (4, 5), an outlet spout (6) which communicates with both the body region (1) and the first end of the handle (3) and an elongate pouring tube (2) firmly located and fixed in position relative to the outlet spout (6). The pouring tube (2) has a first end (23) via which the interior of the pouring tube (2) directly communicates with the body region (1) and a second end from which, in use, liquid is dispensed. According to the invention, the interior of the pouring tube (2) forms a first passageway for the exit of liquid from the container, and a second passageway for allowing air to enter into the container is formed by an air gap (x) defined between a second portion (22) of the outer surrounding surface of the pouring tube (2) and the spout (6), air entering the container to replace displaced water, flowing into the air gap (x) and then into handle (3) before entering the body region (1). <IMAGE>",BURNHAM DOUGLAS PETER;;FIELDING ALLAN,BURNHAM DOUGLAS PETER;;FIELDING ALLAN,,https://lens.org/141-504-389-709-140,Granted Patent,no,0,0,8,8,0,B65D25/42;;B65D25/44;;B65D25/44;;B65D25/42,B65D25/42;;B65D25/44,,0,0,,,,DISCONTINUED
10,DE,T2,DE 69924457 T2,004-697-062-822-543,2006-02-16,2006,DE 69924457 T,1999-12-09,GB 9827899 A,1998-12-18,Behälter mit verbesserten Giesseigenschaften,"The invention concerns portable liquid containers with improved pouring capabilities. Particularly, there is disclosed a container comprising a body region (1) a hollow handle (3) with first and second ends (4, 5), an outlet spout (6) which communicates with both the body region (1) and the first end of the handle (3) and an elongate pouring tube (2) firmly located and fixed in position relative to the outlet spout (6). The pouring tube (2) has a first end (23) via which the interior of the pouring tube (2) directly communicates with the body region (1) and a second end from which, in use, liquid is dispensed. According to the invention, the interior of the pouring tube (2) forms a first passageway for the exit of liquid from the container, and a second passageway for allowing air to enter into the container is formed by an air gap (x) defined between a second portion (22) of the outer surrounding surface of the pouring tube (2) and the spout (6), air entering the container to replace displaced water, flowing into the air gap (x) and then into handle (3) before entering the body region (1). <IMAGE>",BURNHAM DOUGLAS PETER;;FIELDING ALLAN,BURNHAM DOUGLAS PETER;;FIELDING ALLAN,,https://lens.org/004-697-062-822-543,Granted Patent,no,0,0,8,8,0,B65D25/42;;B65D25/44;;B65D25/44;;B65D25/42,B65D25/42;;B65D25/44,,0,0,,,,EXPIRED
