"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A,US 5652301 A,045-362-748-815-463,1997-07-29,1997,US 70018396 A,1996-08-20,US 70018396 A,1996-08-20,Aqueous polyurea dispersions and their use for preparing coatings with excellent hydrolytic and thermal stability,"The present invention relates to aqueous dispersions of polyureas containing hydantoin groups (calculated as C.sub.3 N.sub.2 O.sub.2, MW 96) in an amount of 1 to 40% by weight, based on resin solids. The present invention also relates to the use of these dispersions for preparing coatings having excellent hydrolytic and thermal stability.",BAYER AG,SCHMITT PETER D;;WICKS DOUGLAS A;;GINDIN LYUBA K;;YESKE PHILIP E;;MASON ARTHUR W;;YONEK KENNETH P,BAYER CORPORATION (1996-08-12),https://lens.org/045-362-748-815-463,Granted Patent,yes,13,11,8,8,0,C08J3/03;;C08J3/03;;C08G18/0823;;C08G18/0823;;C08G18/3821;;C08G18/3821;;C08J2375/02;;C08J2375/02;;C09D175/02;;C09D175/02,C08G18/08;;C08G18/38;;C08J3/03;;C09D175/02,524/591;;524/539;;524/589;;524/590;;524/839;;524/840;;524/874,0,0,,,,EXPIRED
2,DE,T2,DE 69724365 T2,015-694-967-948-971,2004-06-24,2004,DE 69724365 T,1997-08-07,US 70441696 A,1996-08-20,Wässrige Polyurethandispersionen und deren Verwendung zur Herstellung von Beschichtungen mit ausgezeichneter hydrolitischer und thermischer Stabilität,,BAYER AG,WICKS DOUGLAS A;;MASON ARTHUR W;;YESKE PHILIP E;;GINDIN LYUBA K;;YONEK KENNETH P;;SCHMITT PETER D,,https://lens.org/015-694-967-948-971,Granted Patent,no,0,0,7,7,0,C08G18/0804;;C08G18/10;;C08G18/283;;C08G18/3821;;C08G18/8058;;C08G18/8058;;C08G18/283;;C08G18/3821;;C08G18/0804;;C08G18/10,C08G18/08;;C08G18/10;;C08G18/28;;C08G18/38;;C08G18/80,,0,0,,,,EXPIRED
3,US,A,US 5733967 A,046-124-534-877-469,1998-03-31,1998,US 70441696 A,1996-08-20,US 70441696 A,1996-08-20,Aqueous polyurethane dispersions and their use for preparing coatings with excellent hydrolytic and thermal stability,"The present invention relates to aqueous dispersions of polyurethanes containing hydantoin groups (calculated as C.sub.3 N.sub.2 O.sub.2, MW 96) in an amount of 1 to 40% by weight, based on resin solids. The present invention also relates to the use of these dispersions for preparing coatings with excellent hydrolytic and thermal stability.",BAYER AG,WICKS DOUGLAS A;;MASON ARTHUR W;;YESKE PHILIP E;;GINDIN LYUBA K;;YONEK KENNETH P;;SCHMITT PETER D,BAYER CORPORATION (1996-08-12),https://lens.org/046-124-534-877-469,Granted Patent,yes,13,6,7,7,0,C08G18/0804;;C08G18/10;;C08G18/283;;C08G18/3821;;C08G18/8058;;C08G18/8058;;C08G18/283;;C08G18/3821;;C08G18/0804;;C08G18/10,C08G18/08;;C08G18/10;;C08G18/28;;C08G18/38;;C08G18/80,524/591;;524/539;;524/589;;524/590;;524/839;;524/840;;524/874,0,0,,,,EXPIRED
4,EP,A3,EP 0825213 A3,019-916-346-077-102,1998-05-06,1998,EP 97113641 A,1997-08-07,US 70018396 A,1996-08-20,Aqueous polyurea dispersions and their use for preparing coatings with excellent hydrolytic and thermal stability,"The present invention relates to aqueous dispersions of polyureas containing hydantoin groups (calculated as C 3 N 2 O 2 , MW 96) in an amount of 1 to 40% by weight, based on resin solids. The present invention also relates to the use of these dispersions for preparing coatings having excellent hydrolytic and thermal stability.",BAYER AG,SCHMITT PETER D;;WICKS DOUGLAS A;;GINDIN LYUBA K;;YESKE PHILIP E;;MASON ARTHUR W;;YONEK KENNETH P,,https://lens.org/019-916-346-077-102,Search Report,yes,4,0,8,8,0,C08J3/03;;C08J3/03;;C08G18/0823;;C08G18/0823;;C08G18/3821;;C08G18/3821;;C08J2375/02;;C08J2375/02;;C09D175/02;;C09D175/02,C08G18/08;;C08G18/38;;C08J3/03;;C09D175/02,,0,0,,,,EXPIRED
5,EP,B1,EP 0825212 B1,124-849-657-091-947,2003-08-27,2003,EP 97113640 A,1997-08-07,US 70441696 A,1996-08-20,Aqueous polyurethane dispersions and their use for preparing coatings with excellent hydrolytic and thermal stability,,BAYER AG,WICKS DOUGLAS A;;MASON ARTHUR W;;YESKE PHILIP E;;GINDIN LYUBA K;;YONEK KENNETH P;;SCHMITT PETER D,,https://lens.org/124-849-657-091-947,Granted Patent,yes,4,0,7,7,0,C08G18/0804;;C08G18/10;;C08G18/283;;C08G18/3821;;C08G18/8058;;C08G18/8058;;C08G18/283;;C08G18/3821;;C08G18/0804;;C08G18/10,C08G18/08;;C08G18/10;;C08G18/28;;C08G18/38;;C08G18/80,,0,0,,,,EXPIRED
6,CA,A1,CA 2211144 A1,002-377-742-062-538,1998-02-20,1998,CA 2211144 A,1997-07-23,US 70018396 A,1996-08-20,AQUEOUS POLYUREA DISPERSIONS AND THEIR USE FOR PREPARING COATINGS WITH EXCELLENT HYDROLYTIC AND THERMAL STABILITY,"The present invention relates to aqueous dispersions of polyureas containing hydantoin groups (calculated as C3N2O2, MW 96) in an amount of 1 to 40% by weight, based on resin solids. The present invention also relates to the use of these dispersions for preparing coatings having excellent hydrolytic and thermal stability.",BAYER AG,MASON ARTHUR W;;YONEK KENNETH P;;YESKE PHILIP E;;SCHMITT PETER D;;GINDIN LYUBA K;;WICKS DOUGLAS A,,https://lens.org/002-377-742-062-538,Patent Application,no,0,0,8,8,0,C08J3/03;;C08J3/03;;C08G18/0823;;C08G18/0823;;C08G18/3821;;C08G18/3821;;C08J2375/02;;C08J2375/02;;C09D175/02;;C09D175/02,C08G18/08;;C08G18/38;;C08J3/03;;C09D175/02,,0,0,,,,EXPIRED
7,DE,T2,DE 69725941 T2,057-659-329-600-33X,2004-09-02,2004,DE 69725941 T,1997-08-07,US 70018396 A,1996-08-20,Wässrige Polyureadispersionen und deren Verwendung zur Herstellung von Beschichtungen mit ausgezeichneter hydrolytischer und thermischer Stabilität,,BAYER AG,SCHMITT PETER D;;WICKS DOUGLAS A;;GINDIN LYUBA K;;YESKE PHILIP E;;MASON ARTHUR W;;YONEK KENNETH P,,https://lens.org/057-659-329-600-33X,Granted Patent,no,0,0,8,8,0,C08J3/03;;C08J3/03;;C08G18/0823;;C08G18/0823;;C08G18/3821;;C08G18/3821;;C08J2375/02;;C08J2375/02;;C09D175/02;;C09D175/02,C08G18/08;;C08G18/38;;C08J3/03;;C09D175/02,,0,0,,,,EXPIRED
8,EP,B1,EP 0825213 B1,043-317-749-332-767,2003-11-05,2003,EP 97113641 A,1997-08-07,US 70018396 A,1996-08-20,Aqueous polyurea dispersions and their use for preparing coatings with excellent hydrolytic and thermal stability,,BAYER AG,SCHMITT PETER D;;WICKS DOUGLAS A;;GINDIN LYUBA K;;YESKE PHILIP E;;MASON ARTHUR W;;YONEK KENNETH P,,https://lens.org/043-317-749-332-767,Granted Patent,yes,4,0,8,8,0,C08J3/03;;C08J3/03;;C08G18/0823;;C08G18/0823;;C08G18/3821;;C08G18/3821;;C08J2375/02;;C08J2375/02;;C09D175/02;;C09D175/02,C08G18/08;;C08G18/38;;C08J3/03;;C09D175/02,,0,0,,,,EXPIRED
9,EP,A3,EP 0825212 A3,134-066-493-083-52X,1998-05-06,1998,EP 97113640 A,1997-08-07,US 70441696 A,1996-08-20,Aqueous polyurethane dispersions and their use for preparing coatings with excellent hydrolytic and thermal stability,"The present invention relates to aqueous dispersions of polyurethanes containing hydantoin groups (calculated as C 3 N 2 O 2 , MW 96) in an amount of 1 to 40% by weight, based on resin solids. The present invention also relates to the use of these dispersions for preparing coatings with excellent hydrolytic and thermal stability.",BAYER AG,WICKS DOUGLAS A;;MASON ARTHUR W;;YESKE PHILIP E;;GINDIN LYUBA K;;YONEK KENNETH P;;SCHMITT PETER D,,https://lens.org/134-066-493-083-52X,Search Report,yes,4,0,7,7,0,C08G18/0804;;C08G18/10;;C08G18/283;;C08G18/3821;;C08G18/8058;;C08G18/8058;;C08G18/283;;C08G18/3821;;C08G18/0804;;C08G18/10,C08G18/08;;C08G18/10;;C08G18/28;;C08G18/38;;C08G18/80,,0,0,,,,EXPIRED
10,EP,A2,EP 0825213 A2,184-543-453-887-657,1998-02-25,1998,EP 97113641 A,1997-08-07,US 70018396 A,1996-08-20,Aqueous polyurea dispersions and their use for preparing coatings with excellent hydrolytic and thermal stability,"The present invention relates to aqueous dispersions of polyureas containing hydantoin groups (calculated as C 3 N 2 O 2 , MW 96) in an amount of 1 to 40% by weight, based on resin solids. The present invention also relates to the use of these dispersions for preparing coatings having excellent hydrolytic and thermal stability.",BAYER AG,SCHMITT PETER D;;WICKS DOUGLAS A;;GINDIN LYUBA K;;YESKE PHILIP E;;MASON ARTHUR W;;YONEK KENNETH P,,https://lens.org/184-543-453-887-657,Patent Application,yes,0,0,8,8,0,C08J3/03;;C08J3/03;;C08G18/0823;;C08G18/0823;;C08G18/3821;;C08G18/3821;;C08J2375/02;;C08J2375/02;;C09D175/02;;C09D175/02,C08G18/08;;C08G18/38;;C08J3/03;;C09D175/02,,0,0,,,,EXPIRED
