"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,S,US D0756804 S,024-551-032-731-564,2016-05-24,2016,US 201429506819 F,2014-10-21,US 201429506819 F,2014-10-21,Combined holiday box and tray,,GROSS BRADLEY,GROSS BRADLEY,,https://lens.org/024-551-032-731-564,Design Right,no,0,24,1,1,0,,,0903;;D 9759,0,0,,,,ACTIVE
2,US,B1,US 7870958 B1,194-364-344-515-685,2011-01-18,2011,US 65573210 A,2010-01-06,US 65573210 A,2010-01-06,Shipping insert for protecting a motor vehicle window panel and attached molding during shipping and handling,"A motor vehicle window panel or windshield has a lower edge portion with an attached extruded plastic molding having a downwardly projecting portion defining a cavity with an inlet gap for receiving a projecting fin on a cowl panel. A shipping insert of extruded substantially rigid plastics material supports the windshield and attached molding during shipping and handling and includes a base portion adapted to seat on shipping container support members and a tongue portion spaced above the base portion and projecting through the inlet gap into the cavity to support the molding. The insert also has an upper portion supporting a solid locating flange of the molding attached to a bottom edge of the windshield. The base portion of the insert has inclined opposite edge surfaces to facilitate sliding on the support members, and also has an upwardly projecting hook rib for retaining the insert on the molding.",CREATIVE EXTRUDED PRODUCTS INC,GROSS BRADLEY M;;REYNOLDS MARVIN O,CREATIVE EXTRUDED PRODUCTS INC (2010-01-05);;CREATIVE EXTRUDED PRODUCTS LLC (2020-01-13);;METEOR CREATIVE INC (2021-11-24),https://lens.org/194-364-344-515-685,Granted Patent,yes,8,18,5,5,0,B65D81/07;;B65D85/48;;B65D2585/6882;;B60J1/005;;B60J10/70;;B65D85/48;;B65D81/07;;B65D2585/6882;;B60J1/005,B65D85/48,206/448;;206/454;;206/594,0,0,,,,ACTIVE
3,US,A1,US 2003/0217411 A1,193-350-430-546-150,2003-11-27,2003,US 15544102 A,2002-05-24,US 15544102 A,2002-05-24,Dual warmth level comforter,"
   A dual warmth comforter includes first and second sections joined together by a fastening device. The first section includes first and second fabric sheets and a first insulation material disposed between the first and second fabric sheets. The second section includes third and fourth fabric sheets and a second insulation material disposed between the third and fourth fabric sheets. The first section has a first thermal resistance that is greater than the thermal resistance of the second section. The different thermal resistances can be achieved by using different insulation fill weights, insulation materials with different thermal conductivities, or some combination thereof. The fastening device can be hook-and-loop type fasteners, a zipper, buttons, snaps, laces and the like. 
",BUSH EQUITIES INC,BRADLEY CHRISTOPHER W;;GROSS GERHARD O,BUSH EQUITIES INC (2002-05-20),https://lens.org/193-350-430-546-150,Patent Application,yes,5,36,2,2,0,A47G9/023;;Y10T24/23;;Y10T24/23;;A47G9/023,A47G9/02,5/486,0,0,,,,EXPIRED
4,US,B2,US 7415580 B2,053-309-246-995-158,2008-08-19,2008,US 19437205 A,2005-08-01,US 19437205 A,2005-08-01,System for determining the position of an element in memory,A system for determining a position of an element in memory comprising a memory queue with a plurality of separate entries and propagate and generate logic in communication with the memory queue such that the propagate and generate logic is operable to inspect each the separate entry in the memory queue and to output one or more vectors indicating the position of the element in the memory queue.,HEWLETT PACKARD DEVELOPMENT CO,BRADLEY DAVID E;;GROSS FRED J,HEWLETT PACKARD ENTERPRISE DEVELOPMENT LP (2015-10-27);;HEWLETT-PACKARD DEVELOPMENT COMPANY L.P (2005-07-26),https://lens.org/053-309-246-995-158,Granted Patent,yes,4,0,2,2,0,G06F7/02;;G06F7/02,G06F12/00,711/154;;711/110;;711/156;;710/57;;710/310,2,1,035-101-728-981-124,10.1109/4.62143,"Erdem Hokenek, Robert K. Montoye, and Peter w. Cook, ""Second-Generation RISC Floating Pont with Multiply-Add Fused"", in IEEE Journal of Solid-State Circuits, vol. 25, No. 5, Oct. 1990, pp. 1207-1213.;;Xuejun Liang and Jack Jean, ""Memory Access Scheduling and Loop Pipelining"", Department of Computer Science, Jackson State University and Department of Computer Science and Engineering, Wright State University.",INACTIVE
5,US,S,US D0626839 S,042-268-045-015-523,2010-11-09,2010,US 31683809 F,2009-11-06,US 31683809 F,2009-11-06,Shipping insert for protecting a molding for sealing a motor vehicle windshield,,CREATIVE EXTRUDED PRODUCTS INC,GROSS BRADLEY M;;REYNOLDS MARVIN O,CREATIVE EXTRUDED PRODUCTS INC (2009-10-30);;CREATIVE EXTRUDED PRODUCTS LLC (2020-01-13);;METEOR CREATIVE INC (2021-11-24),https://lens.org/042-268-045-015-523,Design Right,no,0,11,1,1,0,,,0907;;D 9456;;D25/119,0,0,,,,ACTIVE
6,US,B2,US 6862760 B2,110-397-322-315-272,2005-03-08,2005,US 15544102 A,2002-05-24,US 15544102 A,2002-05-24,Dual warmth level comforter,"A dual warmth comforter includes first and second sections joined together by a fastening device. The first section includes first and second fabric sheets and a first insulation material disposed between the first and second fabric sheets. The second section includes third and fourth fabric sheets and a second insulation material disposed between the third and fourth fabric sheets. The first section has a first thermal resistance that is greater than the thermal resistance of the second section. The different thermal resistances can be achieved by using different insulation fill weights, insulation materials with different thermal conductivities, or some combination thereof. The fastening device can be hook-and-loop type fasteners, a zipper, buttons, snaps, laces and the like.",BUSH EQUITIES INC,BRADLEY CHRISTOPHER W;;GROSS GERHARD O,BUSH EQUITIES INC (2002-05-20),https://lens.org/110-397-322-315-272,Granted Patent,yes,16,29,2,2,0,A47G9/023;;Y10T24/23;;Y10T24/23;;A47G9/023,A47G9/02,5/486;;5/502;;24/72.5,0,0,,,,EXPIRED
7,EP,A4,EP 2521678 A4,095-542-449-660-248,2014-06-11,2014,EP 11732003 A,2011-01-05,US 65573210 A;;US 2011/0000013 W,2010-01-06,SHIPPING INSERT FOR PROTECTING A MOTOR VEHICLE WINDOW PANEL AND ATTACHED MOLDING DURING SHIPPING AND HANDLING,,CREATIVE EXTRUDED PRODUCTS INC,GROSS BRADLEY M;;REYNOLDS MARVIN O,,https://lens.org/095-542-449-660-248,Search Report,no,1,0,5,5,0,B65D81/07;;B65D85/48;;B65D2585/6882;;B60J1/005;;B60J10/70;;B65D85/48;;B65D81/07;;B65D2585/6882;;B60J1/005,B65D81/05;;B65D85/48,,0,0,,,,ACTIVE
8,EP,B1,EP 2521678 B1,021-738-414-887-59X,2016-05-04,2016,EP 11732003 A,2011-01-05,US 65573210 A;;US 2011/0000013 W,2010-01-06,SHIPPING INSERT FOR PROTECTING A MOTOR VEHICLE WINDOW PANEL AND ATTACHED MOLDING DURING SHIPPING AND HANDLING,,CREATIVE EXTRUDED PRODUCTS INC,GROSS BRADLEY M;;REYNOLDS MARVIN O,,https://lens.org/021-738-414-887-59X,Granted Patent,yes,3,2,5,5,0,B65D81/07;;B65D85/48;;B65D2585/6882;;B60J1/005;;B60J10/70;;B65D85/48;;B65D81/07;;B65D2585/6882;;B60J1/005,B65D81/05;;B65D85/48,,0,0,,,,ACTIVE
9,EP,A1,EP 2521678 A1,143-750-318-421-760,2012-11-14,2012,EP 11732003 A,2011-01-05,US 65573210 A;;US 2011/0000013 W,2010-01-06,SHIPPING INSERT FOR PROTECTING A MOTOR VEHICLE WINDOW PANEL AND ATTACHED MOLDING DURING SHIPPING AND HANDLING,,CREATIVE EXTRUDED PRODUCTS INC,GROSS BRADLEY M;;REYNOLDS MARVIN O,,https://lens.org/143-750-318-421-760,Patent Application,yes,0,0,5,5,0,B65D81/07;;B65D85/48;;B65D2585/6882;;B60J1/005;;B60J10/70;;B65D85/48;;B65D81/07;;B65D2585/6882;;B60J1/005,B65D81/05;;B65D85/48,,0,0,,,,ACTIVE
10,US,S,US D0598351 S,156-708-646-355-97X,2009-08-18,2009,US 30881408 F,2008-07-10,US 30881408 F,2008-07-10,Molding for sealing a motor vehicle windshield panel with a cowl panel,,CREATIVE EXTRUDED PRODUCTS INC,SCHLATER TIMOTHY J;;GROSS BRADLEY M,CREATIVE EXTRUDED PRODUCTS INC (2008-07-02);;CREATIVE EXTRUDED PRODUCTS LLC (2020-01-13);;METEOR CREATIVE INC (2021-11-24),https://lens.org/156-708-646-355-97X,Design Right,no,0,2,1,1,0,,,1216;;D12/190,0,0,,,,EXPIRED
