"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,WO,A1,WO 2018/151809 A1,182-433-424-161-494,2018-08-23,2018,US 2018/0000019 W,2018-02-16,US 201762459723 P,2017-02-16,TISSUE STORAGE DURING SURGERY,"Containers and methods protect surgically-removed tissue such as cranial bone flaps, or implantable devices, for limited times during surgery. In some cases, tissue protected in such a container can be returned to the patient, lessening the need for synthetic, allographic, or xenographic alternatives.",CLINICAL BIOTECHNOLOGY RES INSTITUTE AT RSFH,CUDDY BRIAN;;BAILEY BYRON,,https://lens.org/182-433-424-161-494,Patent Application,yes,6,2,1,1,0,A61B10/0096;;A61B50/37,A61B50/37;;B65D1/24;;B65D1/40;;B65D6/08;;B65D25/04;;B65D25/30;;B65D43/02;;B65D55/02;;B65D77/04;;B65D81/18,,0,0,,,,PENDING
2,US,A,US 4894753 A,050-103-398-798-505,1990-01-16,1990,US 24306888 A,1988-09-09,US 24306888 A,1988-09-09,Electrical circuitry support apparatus,"Electrical circuitry support apparatus including a card cage having slots for removably receiving circuit boards, and a plurality of circuit boards in the slots, at least one circuit board being a high-frequency board carrying an enclosure containing a high-frequency device. The enclosure provides shielding inhibiting transmission of high-frequency signals to or from the device.",TERADYNE INC,WADELL BRIAN C;;CUDDY BERNARD M,TERADYNE INC. BOSTON MASSACHUSETTS A CORPORATION OF MASSACHUSETTS (1988-09-21),https://lens.org/050-103-398-798-505,Granted Patent,yes,9,40,1,1,0,H05K7/1425;;H05K9/0062;;Y10S174/34;;H05K9/0062;;H05K7/1425;;Y10S174/34,H05K7/14;;H05K9/00,361/424;;X174 35R;;174/51;;361/413;;361/415,0,0,,,,EXPIRED
3,US,A1,US 2003/0060252 A1,199-770-535-240-456,2003-03-27,2003,US 96087901 A,2001-09-21,US 96087901 A,2001-09-21,Gaming device having games with variable game functions,"
   The present invention includes a gaming device which includes a plurality of game functions for a single game and a probability associated with each game function. After a predetermined event occurs, the processor uses the probabilities to generate a particular game function for a player to use. Preferably, the predetermined event is a game triggering event. The processor can generate different game functions for a single game from predetermined event to predetermined event. This type of gaming device increases the interest and entertainment of gaming device players. 
",HUGHS-BAIRD ANDREA C.;;CUDDY RYAN WILLIAM;;SWIFT BRIAN DANIEL,HUGHS-BAIRD ANDREA C;;CUDDY RYAN WILLIAM;;SWIFT BRIAN DANIEL,IGT (2001-09-18),https://lens.org/199-770-535-240-456,Patent Application,yes,8,4,3,3,0,G07F17/32;;G07F17/3244;;G07F17/3267;;G07F17/3244;;G07F17/3267;;G07F17/32,G07F17/32,463/16;;X463 2;;463/21;;463/25,0,0,,,,EXPIRED
4,US,B2,US 6986709 B2,187-615-919-067-415,2006-01-17,2006,US 96087901 A,2001-09-21,US 96087901 A,2001-09-21,Gaming device having games with variable game functions,"The present invention includes a gaming device which includes a plurality of game functions for a single game and a probability associated with each game function. After a predetermined event occurs, the processor uses the probabilities to generate a particular game function for a player to use. Preferably, the predetermined event is a game triggering event. The processor can generate different game functions for a single game from predetermined event to predetermined event. This type of gaming device increases the interest and entertainment of gaming device players.",IGT RENO NEV,HUGHS-BAIRD ANDREA C;;CUDDY RYAN WILLIAM;;SWIFT BRIAN DANIEL,IGT (2001-09-18),https://lens.org/187-615-919-067-415,Granted Patent,yes,51,119,3,3,0,G07F17/32;;G07F17/3244;;G07F17/3267;;G07F17/3244;;G07F17/3267;;G07F17/32,A63F13/00;;G07F17/32,463/16,8,0,,,"The $1,000,000 Pyramid Brochure written by IGT, published in 2001.;;Big Bang Piggy Banking Brochure written by WMS Gaming, Inc., published prior to 2001.;;Fortune Cookie Brochure written by IGT, published in 2000.;;Jackpot Party Brochures and Articles written by WMS Gaming, Inc., published in 1998, 1999, 2001.;;Fortune Hunter Brochure written by Aristocrat, published in 1995.;;Neon Nights Brochure written by IGT, published in 2000.;;Jazzy Jackpots Article written by Strictly Slots, published in 2001.;;Jazzy Jackpots Advertisements written by Atronic, published in 2000.",EXPIRED
5,CA,A1,CA 2359098 A1,196-314-744-998-660,2003-03-21,2003,CA 2359098 A,2001-10-15,US 96087901 A,2001-09-21,GAMING DEVICE HAVING GAMES WITH VARIABLE GAME FUNCTIONS,"The present invention includes a gaming device which includes a plurali ty of game functions for a single game and a probability associated with each game function. After a predetermined event occurs, the processor uses the probabilities to generate a particular game function for a player to use. Preferably, the predetermined event is a game triggering event. The process or can generate different game functions for a single game from predetermined event to predetermined event. This type of gaming device increases the interest and entertainment of gaming device players.",IGT RENO NEV,HUGHS-BAIRD ANDREA C;;SWIFT BRIAN D;;CUDDY RYAN W,,https://lens.org/196-314-744-998-660,Patent Application,no,0,0,3,3,0,G07F17/32;;G07F17/3244;;G07F17/3267;;G07F17/3244;;G07F17/3267;;G07F17/32,G07F17/32,,0,0,,,,DISCONTINUED
6,US,B2,US 7794320 B2,108-327-869-848-405,2010-09-14,2010,US 94148504 A,2004-09-14,US 94148504 A;;US 82269701 A,2001-03-30,Gaming device having a plurality of symbol generators and accumulation game with multiple independent terminating conditions,A gaming device includes a plurality of symbol generators displayed to a player. A plurality of symbol sets are associated with each symbol generator and each symbol set includes a plurality of symbols. Each of the symbols has a value and a probability. The processor generates one of the symbols on each of the symbol generators and marks each generated symbol. The gaming device continues generating symbols until all of the symbols in a symbol set associated with at least one of the symbol generators are marked. The game provides an award to a player when all of the symbols in at least one of the symbol sets are marked.,IGT RENO NEV,BAERLOCHER ANTHONY J;;CUDDY RYAN W;;SCARPULLA JOEL P;;KRUEGER BRIAN,IGT (2004-10-18),https://lens.org/108-327-869-848-405,Granted Patent,yes,111,27,2,17,0,G07F17/32;;G07F17/3253;;G07F17/3262;;G07F17/32;;G07F17/3253;;G07F17/3262,G07F17/32;;A63F13/00,463/20;;463/16;;463/22;;463/26;;463/42,23,0,,,"Addams Family Advertisement and Article written by IGT, Strictly Slots, published in 2000.;;Austin Powers Advertisement written by IGT, published in 2001.;;Bonus Spin Advertisement written by IGT, published prior to 2000.;;Double Diamond Run Advertisement written by IGT, published in 2001.;;Fortune Cookie Advertisement written by IGT, published in 2000.;;Jackpot Party Brochures and Articles, WMS Gaming, Inc., published in 1998.;;Little Devil Advertisement written by IGT, published in 2000.;;On the Money Article written by Strictly Slots, published in 2000.;;Polly & Roger Advertisement written by Anchor Games, published in 2000.;;Price is Right Advertisement written by IGT, published in 2001.;;Price is Right Showcase Showdown Description from schuminweb.com, printed on Mar. 16, 2001.;;Psycho Cash Beast Advertisement written by IGT, published in 1999.;;Sphinx Advertisement written by Atronic Casino Technology, Ltd., published in 2000.;;Take Your Pick Advertisement written by IGT/Anchor Gaming, published in 1999.;;Take Your Pick Article written by Strictly Slots, published in Mar. 2001.;;Texas Tea Advertisement written by IGT, published in 2000.;;Top Gear Advertisement written by Aristocrat, published in 1995.;;Wheel of Fortune Advertisement written by IGT, published in 1997.;;Winning Streak Advertisement written by Aristocrat, published in 1994.;;A Salute to Game Shows, [online] Retrieved from the Internet: <URL http://game-shows.chris-place.com/shows/price-is-iright/pricing-games.htm [Downloaded Oct. 25, 2007] (10 pages).;;Top Dollar Advertisement, written by IGT, published in 1998.;;Wheel of Fortune Advertisement, written by IGT, published in 1998.;;Wheel of Fortune Video Advertisement, written by IGT, published in 1998.",ACTIVE
7,US,A1,US 2005/0054434 A1,178-074-365-429-713,2005-03-10,2005,US 94148504 A,2004-09-14,US 94148504 A;;US 82269701 A,2001-03-30,Gaming device having a plurality of symbol generators and accumulation game with multiple independent terminating conditions,A gaming device includes a plurality of symbol generators displayed to a player. A plurality of symbol sets are associated with each symbol generator and each symbol set includes a plurality of symbols. Each of the symbols has a value and a probability. The processor generates one of the symbols on each of the symbol generators and marks each generated symbol. The gaming device continues generating symbols until all of the symbols in a symbol set associated with at least one of the symbol generators are marked. The game provides an award to a player when all of the symbols in at least one of the symbol sets are marked.,BAERLOCHER ANTHONY J.;;CUDDY RYAN W.;;SCARPULLA JOEL P.;;KRUEGER BRIAN,BAERLOCHER ANTHONY J;;CUDDY RYAN W;;SCARPULLA JOEL P;;KRUEGER BRIAN,IGT (2004-10-18),https://lens.org/178-074-365-429-713,Patent Application,yes,99,49,2,17,0,G07F17/32;;G07F17/3253;;G07F17/3262;;G07F17/32;;G07F17/3253;;G07F17/3262,G07F17/32,463/25,0,0,,,,EXPIRED
8,US,B1,US 11875191 B1,035-297-974-259-353,2024-01-16,2024,US 202016806428 A,2020-03-02,US 202016806428 A,2020-03-02,Energy-optimizing placement of resources in data centers,"Methods, systems, and computer-readable media for energy-optimizing placement of resources in data centers are disclosed. A resource placement manager determines information descriptive of energy usage by one or more data centers. The one or more data centers comprise a plurality of computing resources in a plurality of corresponding locations. The resource placement manager selects, from the plurality of computing resources in the plurality of corresponding locations, a particular computing resource in a particular location for performing one or more computing tasks. The particular computing resource in the particular location is selected based at least in part on reducing energy usage associated with the one or more data centers according to the information descriptive of energy usage. The particular computing resource in the particular location is used to perform the one or more computing tasks.",AMAZON TECH INC,PLENDERLEITH JAMIE;;HAYWARD BRIAN;;GNYP MONIKA MARTA;;QUIGLEY SARAH ROSE;;CUDDY SUZIE,AMAZON TECHNOLOGIES INC (2020-02-27),https://lens.org/035-297-974-259-353,Granted Patent,yes,13,0,1,1,0,Y02D10/00;;H04W64/003;;H04L67/10;;G06F9/5072;;G06F9/5077;;H04W64/003;;G06F9/5094;;G06F9/5027;;H04L67/10,G06F9/50;;H04L67/10;;H04W64/00,,3,0,,,"U.S. Appl. No. 16/367,862, filed Mar. 28, 2019, Malcolm Featonby.;;Tiffany Jernigan, “Amazon ECS Task Placement”, AWS Compute Blog, Retrieved from https://aws.amazon.com/blogs/compute/amazon-ecs-task-placement/, Jan. 2, 2019, pp. 1-14.;;Roshni Pary, “Using partition placement groups for large distributed and replicated workloads in Amazon EC2”, AWS Compute Blog, Retrieved from https://aws.amazon.com/blogs/compute/using-partition-placement-groups-for-large-distributed-and-replicated-workloads-in-amazon-ec2/, Apr. 22, 2019, pp. 1-5.",ACTIVE
9,US,B1,US 11771514 B1,116-048-355-407-416,2023-10-03,2023,US 202017000392 A,2020-08-24,US 202017000392 A;;US 201962890318 P,2019-08-22,Containers and methods for tissue storage during surgery,"Containers and methods protect surgically-removed tissue such as cranial bone flaps for limited times during surgery. In some cases, tissue protected in such a container can be returned to the patient, lessening the need for synthetic, allographic, or xenographic alternatives. A container may include a frame defining a plurality of retention compartments, each retention compartment having an orientation and comprising sidewalls supported by the frame, wherein the sidewalls define a rim for each retention compartment in the plurality of retention compartments, wherein the orientation of a first retention compartment in the plurality of retention compartments differs from the orientation of a second retention compartment in the plurality of retention compartments.",CLINICAL BIOTECHNOLOGY RES INSTITUTE AT RSFH,CUDDY BRIAN G;;BAILEY BYRON N;;MARSHALL ANDREA H;;NICHOLS JILL N,CLINICAL BIOTECHNOLOGY RESEARCH INSTITUTE AT RSFH (2023-08-22),https://lens.org/116-048-355-407-416,Granted Patent,yes,14,0,1,1,0,A61B50/30;;A61B2050/005;;A61B2050/3008;;A61B2050/0066;;A61B2050/008;;A61B2050/0065;;A61B17/865;;A61F2/0095;;A61B10/0096;;A61B50/30;;A61B2050/3008;;A61B2050/005,A61B50/30;;A61B50/00,,2,0,,,"International Search Report for PCT/US2018/000019 dated Jun. 27, 2018 (3 pages).;;Written Opinion for PCT/US2018/000019 dated Jun. 27, 2018 (8 pages).",ACTIVE
10,US,A1,US 2012/0265489 A1,069-951-781-173-235,2012-10-18,2012,US 201113086150 A,2011-04-13,US 201113086150 A,2011-04-13,Compliance Tracking and Intelligent Suggesting with Information Assemblages,"An information assemblage that includes a plurality of assets can be created and disseminated to a target audience. For instance, a target device can access the information assemblage via a secure web-based portal. Feedback corresponding to consumption of the information assemblage can be received. Based upon the feedback, a compliance measurement can be generated. Additionally or alternatively, suggestions can be yielded as a function of the feedback. For example, the suggestions can relate to forming an information assemblage, determining how to evaluate compliance from feedback based on the information assemblage, or supplying supplemental asset(s) to a target device.",DEASCENTIS ANASTASIO VINCENT;;CUDDY JASON ROBERT;;HUNTER STEPHANIE IP;;ANDREWS SCOTT JAMES;;BIXEL APRIL DAWN;;TACKETT BRIAN THEODORE;;VIA680 LLC,DEASCENTIS ANASTASIO VINCENT;;CUDDY JASON ROBERT;;HUNTER STEPHANIE IP;;ANDREWS SCOTT JAMES;;BIXEL APRIL DAWN;;TACKETT BRIAN THEODORE,VIA680 LLC (2011-04-13),https://lens.org/069-951-781-173-235,Patent Application,yes,6,1,2,2,0,G06Q30/02;;G06Q30/02;;G06Q10/10;;G06Q10/10,G06F15/00,702/182,0,0,,,,DISCONTINUED
