"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,WO,A1,WO 2019/165306 A1,086-426-849-566-651,2019-08-29,2019,US 2019/0019294 W,2019-02-22,US 201862634773 P,2018-02-23,"METHODS, APPARATUSES AND SYSTEMS FOR INSTILLING STEM CELLS AND PHARMACEUTICALS INTO THE HUMAN VENTRICULAR SYSTEM","The methods, apparatuses and systems for instilling stem cells and pharmaceuticals into the human ventricular system (hereinafter ""Ventricular Stem Cell System"" or ""VSCS"") disclosed herein provide safe and effective techniques for obtaining stem cells and instilling any type of stem cell or pharmaceutical agents into the human ventricular system for treatment of various diseases, including neurodegenerative diseases such as Parkinson's, Alzheimer's, Multiple Sclerosis, and others.",REGENERATION BIOMEDICAL INC,DUMA CHRISTOPHER,,https://lens.org/086-426-849-566-651,Patent Application,yes,10,0,4,13,0,A61P25/28;;A61M27/006;;A61K35/28;;A61K35/28;;A61P25/28;;A61M27/006;;A61K9/0085;;A61M39/0208;;A61M2202/0437;;A61M5/178;;A61M2039/025;;A61M2202/08,C12N5/00;;A61K35/30;;A61K48/00;;C12N5/02;;G01N33/53,,3,0,,,"ANONYMOUS: ""Frequently Asked Questions about Ommaya Reservoirs and Ommaya Taps"", MEMORIAL SLOAN KETTERING CANCER CENTER, 2016, pages 1 - 4, XP055632243;;VOLKOV ET AL.: ""Surgical Treatment for Leptomeningeal Disease"", MOFFITT.ORG, vol. 24, no. 1, January 2017 (2017-01-01), pages 47 - 53, XP055632246, Retrieved from the Internet <URL:https://moffitt.org/media/6008/47.pdf> [retrieved on 20190429];;ANONYMOUS: ""STANDARDIZED PROCEDURE INTRAVENTRICULAR CHEMOTHERAPY VIA OMMAYA RESERVOIR"", HEALTH.UCSD.EDU, 2016, San Diego, pages 1 - 5, XP055632252, Retrieved from the Internet <URL:https://health.ucsd.edu/medinfo/medical-staff/application/Documents/SP6%20Intraventricular%20Chemo%20Via%20Ommaya%20Reservoir%20(Adult-Peds).pdf> [retrieved on 20190429]",PENDING
2,EP,A1,EP 3852771 A1,176-398-171-314-609,2021-07-28,2021,EP 19863703 A,2019-09-19,US 201862733427 P;;US 2019/0052008 W,2018-09-19,"WNT-ACTIVATED ADIPOSE-DERIVED STEM CELL APPARATUSES, METHODS AND SYSTEMS",,REGENERATION BIOMEDICAL INC,DUMA CHRISTOPHER,,https://lens.org/176-398-171-314-609,Patent Application,yes,0,0,8,13,0,C12N5/0667;;C12N2501/115;;C12N2501/16;;C12N2501/415;;C12N2501/33;;C12N2500/32;;C12N2500/33;;C12N2501/998;;A01N1/0215;;A01N1/0226;;A01N1/0215;;A01N1/0226;;C12N5/0665;;C12N5/0667;;C12N2500/32;;C12N2500/33;;C12N2501/115;;C12N2501/16;;C12N2501/33;;C12N2501/415;;C12N2501/998;;C12N5/0667;;A61K35/28;;A61K9/0078;;A61K9/0019;;A61P25/00;;A61P11/00;;A61P3/10;;C12N2501/16;;C12N2501/115;;C12N2500/32;;C12N2501/33;;C12N5/0665;;C12N2501/115;;C12N2501/16;;A61P19/02,A61K35/12;;A61K48/00;;C12N5/00,,0,0,,,,PENDING
3,US,A1,US 2020/0087626 A1,056-390-586-021-720,2020-03-19,2020,US 201916576601 A,2019-09-19,US 201916576601 A;;US 201862733427 P,2018-09-19,"WNT-ACTIVATED ADIPOSE-DERIVED STEM CELL APPARATUSES, METHODS AND SYSTEMS","The WNT-ACTIVATED ADIPOSE-DERIVED STEM CELL APPARATUSES, METHODS AND SYSTEMS (hereinafter “WAADSC”) disclosed herein in various embodiments provide for production of an isolated and enriched population of mesenchymal stem cells that have an active Wnt signaling demonstrated by the elevated expression of Lrg5 marker and/or Nestin in more than 50% of the population. Such an autologous cell population may, in embodiments, be injected into cerebral ventricles of patients with neurodegenerative diseases to yield therapeutic results, such as halting the progression of certain conditions and/or ameliorating specific symptoms thereof",REGENERATION BIOMEDICAL INC,DUMA CHRISTOPHER,REGENERATION BIOMEDICAL INC (2020-06-25),https://lens.org/056-390-586-021-720,Patent Application,yes,1,1,8,13,0,C12N5/0667;;C12N2501/115;;C12N2501/16;;C12N2501/415;;C12N2501/33;;C12N2500/32;;C12N2500/33;;C12N2501/998;;A01N1/0215;;A01N1/0226;;A01N1/0215;;A01N1/0226;;C12N5/0665;;C12N5/0667;;C12N2500/32;;C12N2500/33;;C12N2501/115;;C12N2501/16;;C12N2501/33;;C12N2501/415;;C12N2501/998;;C12N5/0667;;A61K35/28;;A61K9/0078;;A61K9/0019;;A61P25/00;;A61P11/00;;A61P3/10;;C12N2501/16;;C12N2501/115;;C12N2500/32;;C12N2501/33;;C12N5/0665;;C12N2501/115;;C12N2501/16;;A61P19/02,C12N5/0775,,11,10,014-912-259-930-910;;002-369-471-410-720;;081-800-649-467-005;;094-719-376-909-181;;013-217-037-001-031;;034-046-932-150-47X;;023-647-542-289-307;;023-647-542-289-307;;034-960-940-464-350;;007-864-106-932-926,12388166;;10.1152/ajpendo.00230.2002;;10.1634/stemcells.2008-0277;;18669909;;10.1002/stem.117;;19544426;;10.1038/nmeth.1593;;21478862;;pmc3084903;;pmc4139888;;25054323;;10.3390/ijms150713010;;26122164;;10.1111/dgd.12226;;10.1002/stem.2818;;29569790;;10.1002/stem.2818;;29569790;;22969042;;10.1002/stem.1233;;10.1007/s00018-004-4144-6;;15526158,"Roh et al. Nutrient-sensing in mTOR-mediated pathway regulates leptin production in isolated rat adipocytes. American Journal of Physiology Endocrinology and Metabolism 2003, 284:E322-E330. (Year: 2003);;Rajashekar et al. IFATS collection: Adipose stromal cell differentiation is reduced by endothelial cell contact and paracrine communication: Role of canonical Wnt signaling. Stem Cells 2008, 26:2674-2681. (Year: 2008);;Chandra et al. Generation of pancreatic hormone-expressing islet-like cell aggregates from murine adipose tissue-derived stem cells. Stem Cells 2009, 27;8:1941-1953. (Year: 2009);;Chen et al. Chemically defined conditions for human iPS cell derivation and culture. Nature Methods 2011, 8;5:424-429. (Year: 2011);;Huh et al. Arginine enhances osteoblastogenesis and inhibits adipogenesis through the regulation of Wnt and NFATc signaling in human mesenchymal stem cells. International Journal of Molecular Science 2014, 15;7:13010-12029. (Year: 2014);;Zhong et al. Lgr5 positive stem cells sorted from small intestines of diabetic mice differentiate into higher proportion of absorptive cells and Paneth cells in vitro. Development, Growth & Differentiation 2015, 57:453-465. (Year: 2015);;Shin et al. Hypoxia-activated adipose mesenchymal stem cells prevents irradiation-induced salivary hypofunction by enhanced paracrine effect through fibroblast growth factor 10. Stem Cells 2018; 36:1020-1032. (Year: 2018);;Shin et al. Hypoxia-activated adipose mesenchymal stem cells prevents irradiation-induced salivary hypofunction by enhanced paracrine effect through fibroblast growth factor 10. Stem Cells 2018 Supplement; 36:1-44. (Year: 2018);;Huang et al. Activation of Wnt/β-catenin signalling via GSK3 inhibitors direct differentiation of human adipose stem cells into functional hepatocytes. Scientific Reports 2017, 7:40716. (Year: 2017);;Kemper et al. Monoclonal antibodies against Lgr5 identify human colorectal cancer stem cells. Stem Cells 2012, 30:2378-2386. (Year: 2012);;Wiese et al. Nestin expression-- a property of multi-lineage progenitor cells? Cellular and Molecular Life Sciences 2004, 61:2510-2522. (Year: 2004)",PENDING
4,US,B2,US 9198597 B2,092-635-018-032-50X,2015-12-01,2015,US 47129409 A,2009-05-22,US 47129409 A;;US 5543708 P,2008-05-22,Leading-edge cancer treatment,"Kits and methods for the treatment of certain types of cancers, specifically various primary brain cancers. In some embodiments, treatment is directed toward the known areas of cancer cell infiltration and along pathways of likely migration ahead of established areas of cancer cell infiltration. In some embodiments, cancer cells are targeted where they have likely spread, but yet remain undetected. Some embodiments relate to a means of automatically directing radiological analysis along likely pathways of cancer cell migration to precisely determine the extent of detectable cancer spread. In some embodiments, treatments are directed to a predetermined distance along such pathways.",DUMA CHRISTOPHER,DUMA CHRISTOPHER,,https://lens.org/092-635-018-032-50X,Granted Patent,yes,12,0,3,3,0,A61B5/055;;A61N5/10;;G01R33/465;;A61B5/055;;A61N5/10;;G01R33/465;;A61N5/1039,A61B5/05;;A61B5/055;;A61N5/10;;G01R33/465,,13,1,071-360-976-019-374,10.1038/nrc865;;12154349,"(Dissemination and Growth of Cancer Cells in Metastatic Sites, 2002 nature publishing group, vol. 2, Aug. 2002, 563).;;Duma, Christopher, slide presentation, entitled ""Essential Tremor,"" 17 pages, Oct. 27, 2001.;;Duma, Christopher, et al., slide presentation, entitled ""The Role of MRI and Proton MRS in Directing 'Leading Edge' Boost Gamma Knife Radiosurgery for Recurrent Glioblastoma Multiforme,"" 36 pages, May 2004.;;Duma, Christopher, et al., slide presentation, entitled ""Radiosurgical Boost Treatment of 'The Leading Tumor Edge' in Patients with Glioblastoma Multiforme: A Trend Toward Improved Outcome,"" 17 pages, Jun. 8, 2001.;;Duma, Christopher, et al., slide presentation, entitled ""Rationale for and Results of a 6-Year Experience of 'Leading Edge' Gamma Knife Radiosurgery for Glioblastoma Multiforme: A Trend Toward Improved Outcome,"" 51 pages, Mar. 2005.;;Duma, Christopher, slide presentation, entitled ""GBM is a Local Disease: Rationale for 'Leading Edge' Radiosurgery,"" 91 pages, May 13, 2005.;;Duma, Christopher, slide presentation, entitled ""Modern Brain Surgery,"" 81 pages, Mar. 12, 2002.;;Duma, Christopher, slide presentation, entitled ""Modern Brain Surgery,"" 83 pages, Oct. 18, 2001.;;Duma, Christopher, slide presentation, entitled ""Gamma Knife Brain Surgery: An 11-Year Experience,"" 88 pages, Oct. 11, 2001.;;Duma, Christopher, slide presentation, entitled ""Modern Brain Tumor Surgery,"" 83 pages, May 6, 2003.;;Duma, Christopher, slide presentation, entitled ""Image-Guided Brain Surgery Immunotherapy,"" 68 pages, Jan. 2003.;;Duma, Christopher, slide presentation, entitled ""Gamma Knife Program The First 5½ Years,"" 81 pages, Feb. 2003.;;Duma, Christopher, slide presentation, entitled ""Modern Stereotactic Radiosurgery: Tools, Tricks and Complication Avoidance,"" 93 pages, Sep. 2003.",ACTIVE
5,US,B2,US 11730767 B2,074-226-276-484-066,2023-08-22,2023,US 201916283466 A,2019-02-22,US 201916283466 A;;US 201862634773 P,2018-02-23,"Methods, apparatuses and systems for instilling stem cells and pharmaceuticals into the human ventricular system","The METHODS, APPARATUSES AND SYSTEMS FOR INSTILLING STEM CELLS AND PHARMACEUTICALS INTO THE HUMAN VENTRICULAR SYSTEM (hereinafter “Ventricular Stem Cell System” or “VSCS”) disclosed herein provide safe and effective techniques for obtaining stem cells and instilling any type of stem cell or pharmaceutical agents into the human ventricular system for treatment of various diseases, including neurodegenerative diseases such as Parkinson's, Alzheimer's, Multiple Sclerosis, and others.",REGENERATION BIOMEDICAL INC,DUMA CHRISTOPHER,REGENERATION BIOMEDICAL INC (2019-04-23),https://lens.org/074-226-276-484-066,Granted Patent,yes,15,0,4,13,0,A61P25/28;;A61M27/006;;A61K35/28;;A61K35/28;;A61P25/28;;A61M27/006;;A61K9/0085;;A61M39/0208;;A61M2202/0437;;A61M5/178;;A61M2039/025;;A61M2202/08,A61K35/28;;A61K9/00;;A61M5/178;;A61M27/00;;A61M39/02;;A61P25/28,,11,2,009-545-708-254-047;;018-236-545-816-988,pmc3097937;;21607134;;10.4252/wjsc.v3.i4.25;;26490462;;10.1007/s12015-015-9631-7,"Frequently Asked Questions about Ommaya Reservoirs and Ommaya Taps. Memorial Sloan Kettering Cancer Center, 2017 [retrievedApr. 29, 2019] Retrieved from the internet <http://www.mskcc.org/cancer-care/patient-education/frequently-asked-questions-about-ommaya-reservoirs-and-ommaya-taps>, entiredocument.;;Volkov,et al., Surgical Treatment for Leptomeningeal Disease., 2017 [retrieved Apr. 29, 2019],Retrieved from the internet,entire document.;;Standardized Procedure Intraventricular Chemotherapy Via Ommaya Reservoir (Adult, Peds).University of California San Diego (UCSD),2016, [retrieved Apr. 29, 2019],Retrieved from the internet <http://health.ucsd.edu/medinfo/medical-staff/application/Documents/SP6%20Intraventricular%20Chemo%20Via%200mmaya%20Reservoir%20(Adult-Peds).pdf>,entiredocument.;;International Search Report and the Written Opinion of the International Search Authority; PCT/US19/19294 dated May 15, 2019; entire document.;;Frequently Asked Questions about Ommaya Reservoirs and Ommaya Taps. Memorial Sloan Kettering Cancer Center, 2017 [retrieved Apr. 29, 2019] Retrieved from the internet <https://www.mskcc.org/cancer-care/patient-education/frequently-asked-questions-about- ommaya-reservoirs-and-ommaya-taps>, entire document.;;Volkov, et al., Surgical Treatment for Leptomeningeal Disease., 2017 [retrieved Apr. 29, 2019], Retrieved from the Internet< https://moffitt.org/media/6008/47.pdf>, entire document.;;Standardized Procedure Intraventricular Chemotherapy Via Ommaya Reservoir (Adult, Peds). University of California San Diego (UCSD), 2016 [retrieved Apr. 29, 2019], Retrieved from the internet <https://health.ucsdedu/medinfo/medical-staff/application/Documents/SP6%20Intraventricular%20Chemo%20Via%20Ommaya%20Reser voir%20(Adult-Peds).pdf>, entire document.;;L. Casteilla et al., Adipose-derived stromal cells: Their identity and uses in clinical trials, an update, World J. Stem Cells, 3(4): 25-33 (Apr. 26, 2011) (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3097937/).;;Salehi, Hossein et al., “An Overview of Neutral Differentiation Potential of Human Adipose Derived Stem Cells”, Stem Cell Rev and Rep (2016), 12:26-41, Published Online Oct. 21, 2015, Springer Science+Business Media, New York, 2015.;;Chakar, Diana, “Hepatic potential of Reversed-age Mesenchymal Stem Cells and Endodermal Progenitors: Contribution of LGR5 and Cdc42 cell signaling pathways”, Ph.D. dissertation, HAL archives-ouvertes, submitted Aug. 31, 2018, pp. 1-215, Universite Paris-Saclay, Universite libanaise, http://tel.archives-ouvertes.fr/tel-01865143.;;Supplementary European Search Report, EP Application No. 19863703.5, dated May 11, 2022.",ACTIVE
6,EP,A4,EP 3852771 A4,188-386-756-389-371,2022-06-08,2022,EP 19863703 A,2019-09-19,US 201862733427 P;;US 2019/0052008 W,2018-09-19,"WNT-ACTIVATED ADIPOSE-DERIVED STEM CELL APPARATUSES, METHODS AND SYSTEMS",,REGENERATION BIOMEDICAL INC,DUMA CHRISTOPHER,,https://lens.org/188-386-756-389-371,Search Report,no,1,0,8,13,0,C12N5/0667;;C12N2501/115;;C12N2501/16;;C12N2501/415;;C12N2501/33;;C12N2500/32;;C12N2500/33;;C12N2501/998;;A01N1/0215;;A01N1/0226;;A01N1/0215;;A01N1/0226;;C12N5/0665;;C12N5/0667;;C12N2500/32;;C12N2500/33;;C12N2501/115;;C12N2501/16;;C12N2501/33;;C12N2501/415;;C12N2501/998;;C12N5/0667;;A61K35/28;;A61K9/0078;;A61K9/0019;;A61P25/00;;A61P11/00;;A61P3/10;;C12N2501/16;;C12N2501/115;;C12N2500/32;;C12N2501/33;;C12N5/0665;;C12N2501/115;;C12N2501/16;;A61P19/02,A61K35/12;;A01N1/02;;A61K48/00;;C12N5/00;;C12N5/0775,,3,1,018-236-545-816-988,26490462;;10.1007/s12015-015-9631-7,"DIANA CHAKER: ""Hepatic potential of Reversed-age Mesenchymal Stem Cells and Endodermal Progenitors : Contribution of LGR5 and Cdc42 cell signaling pathways"", 18 December 2017 (2017-12-18), XP055696081, Retrieved from the Internet <URL:https://tel.archives-ouvertes.fr/tel-01865143/document>;;SALEHI HOSSEIN ET AL: ""An Overview of Neural Differentiation Potential of Human Adipose Derived Stem Cells"", STEM CELL REVIEWS AND REPORTS, HUMANA PRESS INC, US, vol. 12, no. 1, 21 October 2015 (2015-10-21), pages 26 - 41, XP035775187, ISSN: 1550-8943, [retrieved on 20151021], DOI: 10.1007/S12015-015-9631-7;;See also references of WO 2020061366A1",PENDING
7,KR,A,KR 20210063370 A,154-037-694-807-574,2021-06-01,2021,KR 20217011342 A,2019-09-19,US 201862733427 P;;US 2019/0052008 W,2018-09-19,"WNT-활성화 지방-유래 줄기 세포 장치, 방법 및 시스템","본원에 개시된 Wnt-활성화 지방-유래 줄기 세포 장치, 방법 및 시스템 (이하 ""WAADSC"")은 다양한 실시양태에서 집단의 50% 초과에서의 Lrg5 마커 및/또는 네스틴의 상승된 발현에 의해 입증되는 활성 Wnt 신호전달을 갖는, 중간엽 줄기 세포의 단리되고 풍부화된 집단의 생산을 제공한다. 이러한 자가조직 세포 집단은, 실시양태에서, 신경변성 질환을 갖는 환자의 뇌실에 주입되어 특정한 상태의 진행을 정지시키고/거나 그의 특정한 증상을 호전시키는 등의 치료 결과를 수득한다.",REGENERATION BIOMEDICAL INC,DUMA CHRISTOPHER,,https://lens.org/154-037-694-807-574,Patent Application,no,0,0,8,13,0,C12N5/0667;;C12N2501/115;;C12N2501/16;;C12N2501/415;;C12N2501/33;;C12N2500/32;;C12N2500/33;;C12N2501/998;;A01N1/0215;;A01N1/0226;;A01N1/0215;;A01N1/0226;;C12N5/0665;;C12N5/0667;;C12N2500/32;;C12N2500/33;;C12N2501/115;;C12N2501/16;;C12N2501/33;;C12N2501/415;;C12N2501/998;;C12N5/0667;;A61K35/28;;A61K9/0078;;A61K9/0019;;A61P25/00;;A61P11/00;;A61P3/10;;C12N2501/16;;C12N2501/115;;C12N2500/32;;C12N2501/33;;C12N5/0665;;C12N2501/115;;C12N2501/16;;A61P19/02,C12N5/0775;;A61K9/00;;A61K35/28;;A61P3/10;;A61P11/00;;A61P25/00,,0,0,,,,PENDING
8,AU,A1,AU 2019/343166 A1,174-510-437-173-159,2021-05-20,2021,AU 2019/343166 A,2019-09-19,US 201862733427 P;;US 2019/0052008 W,2018-09-19,"WNT-activated adipose-derived stem cell apparatuses, methods and systems","The Wnt-activated adipose-derived stem cell apparatuses, methods and systems (hereinafter ""WAADSC"") disclosed herein in various embodiments provide for production of an isolated and enriched population of mesenchymal stem cells that have an active Wnt signaling demonstrated by the elevated expression of Lrg5 marker and/or Nestin in more than 50% of the population. Such an autologous cell population may, in embodiments, be injected into cerebral ventricles of patients with neurodegenerative diseases to yield therapeutic results, such as halting the progression of certain conditions and/or ameliorating specific symptoms thereof.",REGENERATION BIOMEDICAL INC,DUMA CHRISTOPHER,,https://lens.org/174-510-437-173-159,Patent Application,no,0,0,8,13,0,C12N5/0667;;C12N2501/115;;C12N2501/16;;C12N2501/415;;C12N2501/33;;C12N2500/32;;C12N2500/33;;C12N2501/998;;A01N1/0215;;A01N1/0226;;A01N1/0215;;A01N1/0226;;C12N5/0665;;C12N5/0667;;C12N2500/32;;C12N2500/33;;C12N2501/115;;C12N2501/16;;C12N2501/33;;C12N2501/415;;C12N2501/998;;C12N5/0667;;A61K35/28;;A61K9/0078;;A61K9/0019;;A61P25/00;;A61P11/00;;A61P3/10;;C12N2501/16;;C12N2501/115;;C12N2500/32;;C12N2501/33;;C12N5/0665;;C12N2501/115;;C12N2501/16;;A61P19/02,A61K35/12;;A61K48/00;;C12N5/00,,0,0,,,,PENDING
9,US,A1,US 2010/0014637 A1,199-956-946-228-529,2010-01-21,2010,US 47129409 A,2009-05-22,US 47129409 A;;US 5543708 P,2008-05-22,Leading-Edge Cancer Treatment,"Kits and methods for the treatment of certain types of cancers, specifically various primary brain cancers. In some embodiments, treatment is directed toward the known areas of cancer cell infiltration and along pathways of likely migration ahead of established areas of cancer cell infiltration. In some embodiments, cancer cells are targeted where they have likely spread, but yet remain undetected. Some embodiments relate to a means of automatically directing radiological analysis along likely pathways of cancer cell migration to precisely determine the extent of detectable cancer spread. In some embodiments, treatments are directed to a predetermined distance along such pathways.",DUMA CHRISTOPHER,DUMA CHRISTOPHER,,https://lens.org/199-956-946-228-529,Patent Application,yes,12,3,3,3,0,A61B5/055;;A61N5/10;;G01R33/465;;A61B5/055;;A61N5/10;;G01R33/465;;A61N5/1039,A61N5/10;;A61B5/00,378/65;;600/300,0,0,,,,ACTIVE
10,US,A1,US 2019/0262403 A1,053-149-565-036-405,2019-08-29,2019,US 201916283466 A,2019-02-22,US 201916283466 A;;US 201862634773 P,2018-02-23,"METHODS, APPARATUSES AND SYSTEMS FOR INSTILLING STEM CELLS AND PHARMACEUTICALS INTO THE HUMAN VENTRICULAR SYSTEM","The METHODS, APPARATUSES AND SYSTEMS FOR INSTILLING STEM CELLS AND PHARMACEUTICALS INTO THE HUMAN VENTRICULAR SYSTEM (hereinafter “Ventricular Stem Cell System” or “VSCS”) disclosed herein provide safe and effective techniques for obtaining stem cells and instilling any type of stem cell or pharmaceutical agents into the human ventricular system for treatment of various diseases, including neurodegenerative diseases such as Parkinson's, Alzheimer's, Multiple Sclerosis, and others.",REGENERATION BIOMEDICAL INC,DUMA CHRISTOPHER,REGENERATION BIOMEDICAL INC (2019-04-23),https://lens.org/053-149-565-036-405,Patent Application,yes,6,0,4,13,0,A61P25/28;;A61M27/006;;A61K35/28;;A61K35/28;;A61P25/28;;A61M27/006;;A61K9/0085;;A61M39/0208;;A61M2202/0437;;A61M5/178;;A61M2039/025;;A61M2202/08,A61K35/28;;A61K9/00;;A61M27/00;;A61P25/28,,4,0,,,"Frequently Asked Questions about Ommaya Reservoirs and Ommaya Taps.Memorial Sloan Kettering Cancer Center, 2017 [retrieved2019-04-29] Retrieved from the internet <http://www.mskcc.org/cancer-care/patient-education/frequently-asked-questions-about-ommaya-reservoirs-and-ommaya-taps>,entiredocument.;;VOLKOV,et al., Surgical Treatment for Leptomeningeal Disease., 2017 [retrieved 2019-04-29],Retrieved from the internet,entire document.;;STANDARDIZED PROCEDURE INTRAVENTRICULAR CHEMOTHERAPY VIA OMMAYA RESERVOIR (Adult, Peds).University of California San Diego (UCSD),2016,;;(continued from W)-[retrieved 2019-04-29],Retrieved from the internet <http://health.ucsd.edu/medinfo/medical-staff/application/Documents/SP6%20Intraventricular%20Chemo%20Via%20Ommaya%20Reservoir%20(Adult-Peds).pdf>,entiredocument.",ACTIVE
