"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,CA,A1,CA 2594544 A1,116-943-555-822-121,2006-07-27,2006,CA 2594544 A,2005-08-19,US 3668905 A;;US 2005/0029520 W,2005-01-14,IMPROVED COLLAPSIBLE SPREADER,,OMS INVESTMENTS INC,COURTNEY STEVE;;GOODWIN RANDY;;CAVINS MICHAEL;;LARIMORE DAN;;HAVLOVITZ PAUL,,https://lens.org/116-943-555-822-121,Patent Application,no,0,0,11,11,0,A01C15/02;;A01C15/02,A01C15/04,,0,0,,,,ACTIVE
2,WO,A2,WO 2006/078324 A2,104-554-342-206-54X,2006-07-27,2006,US 2005/0029520 W,2005-08-19,US 3668905 A,2005-01-14,IMPROVED COLLAPSIBLE SPREADER,"An improved collapsible spreader with a spread rate selection mechanism including a knob and a rotatable cup-shaped structure. The cup-shaped structure includes an elongated setting tab and a thirty-six step edge corresponding to thirty-six spread rate settings on the knob. Operatively engaged with the cup-shaped structure is an abutment tab that is part of a closure structure for blocking and selectively unblocking a hopper opening. The tab engages the setting tab to define the adjustable length of the closure structure. Thereafter, abutment rate selection is a function of the rotatable position of the cup-shaped structure. Engagement of the abutment tab and a step defines the size of the hopper opening and thus the amount of product released from the hopper during operation. The spreader also includes a dual spring arrangement to bias the closure structure to a closed position and to prevent breakage. The disclosed spreader also features a one piece wheel to reduce parts and assembly costs.",OMS INVESTMENTS INC,HAVLOVITZ PAUL;;COURTNEY STEVE;;CAVINS MICHAEL;;GOODWIN RANDY;;LARIMORE DAN,,https://lens.org/104-554-342-206-54X,Patent Application,yes,2,7,11,11,0,A01C15/02;;A01C15/02,A01C15/04,,1,0,,,See also references of EP 1841307A4,PENDING
3,EP,A4,EP 1841307 A4,172-733-217-297-497,2011-07-20,2011,EP 05789025 A,2005-08-19,US 2005/0029520 W;;US 3668905 A,2005-01-14,IMPROVED COLLAPSIBLE SPREADER,,OMS INVESTMENTS INC,HAVLOVITZ PAUL;;COURTNEY STEVE;;CAVINS MICHAEL;;GOODWIN RANDY;;LARIMORE DAN,"GARDEN CARE BIDCO LIMITED, GB (2019-03-07);;GARDEN CARE BIDCO LTD., GB (2018-10-25)",https://lens.org/172-733-217-297-497,Search Report,no,2,0,11,11,0,A01C15/02;;A01C15/02,A01C3/06,,1,0,,,See also references of WO 2006078324A2,ACTIVE
4,EP,B1,EP 1841307 B1,010-881-517-967-165,2015-04-08,2015,EP 05789025 A,2005-08-19,US 2005/0029520 W;;US 3668905 A,2005-01-14,IMPROVED COLLAPSIBLE SPREADER,,OMS INVESTMENTS INC,HAVLOVITZ PAUL;;COURTNEY STEVE;;CAVINS MICHAEL;;GOODWIN RANDY;;LARIMORE DAN,"GARDEN CARE BIDCO LIMITED, GB (2019-03-07);;GARDEN CARE BIDCO LTD., GB (2018-10-25)",https://lens.org/010-881-517-967-165,Granted Patent,yes,1,0,11,11,0,A01C15/02;;A01C15/02,A01C15/02,,0,0,,,,ACTIVE
5,AU,B2,AU 2005/325216 B2,179-003-221-373-560,2011-04-28,2011,AU 2005/325216 A,2005-08-19,US 3668905 A;;US 2005/0029520 W,2005-01-14,Improved collapsible spreader,,GARDEN CARE BIDCO LTD,COURTNEY STEVE;;CAVINS MICHAEL;;LARIMORE DAN;;HAVLOVITZ PAUL;;GOODWIN RANDY,GARDEN CARE BIDCO LIMITED (2018-06-28),https://lens.org/179-003-221-373-560,Granted Patent,no,3,0,11,11,0,A01C15/02;;A01C15/02,A01C3/06,,0,0,,,,ACTIVE
6,EP,A2,EP 1841307 A2,179-245-940-904-796,2007-10-10,2007,EP 05789025 A,2005-08-19,US 2005/0029520 W;;US 3668905 A,2005-01-14,IMPROVED COLLAPSIBLE SPREADER,,OMS INVESTMENTS INC,HAVLOVITZ PAUL;;COURTNEY STEVE;;CAVINS MICHAEL;;GOODWIN RANDY;;LARIMORE DAN,"GARDEN CARE BIDCO LIMITED, GB (2019-03-07);;GARDEN CARE BIDCO LTD., GB (2018-10-25)",https://lens.org/179-245-940-904-796,Patent Application,yes,0,1,11,11,0,A01C15/02;;A01C15/02,A01C15/02,,0,0,,,,ACTIVE
7,AU,A1,AU 2005/325216 A1,149-785-721-095-481,2006-07-27,2006,AU 2005/325216 A,2005-08-19,US 3668905 A;;US 2005/0029520 W,2005-01-14,Improved collapsible spreader,,OMS INVESTMENTS INC,COURTNEY STEVE;;CAVINS MICHAEL;;LARIMORE DAN;;HAVLOVITZ PAUL;;GOODWIN RANDY,GARDEN CARE BIDCO LIMITED (2018-06-28),https://lens.org/149-785-721-095-481,Patent Application,no,0,0,11,11,0,A01C15/02;;A01C15/02,A01C15/04,,0,0,,,,ACTIVE
8,US,B2,US 7837073 B2,003-928-186-632-716,2010-11-23,2010,US 3668905 A,2005-01-14,US 3668905 A,2005-01-14,Collapsible spreader,"An improved collapsible spreader with a spread rate selection mechanism including a knob and a rotatable cup-shaped structure. The cup-shaped structure includes an elongated setting tab and a thirty-six step edge corresponding to thirty-six spread rate settings on the knob. Operatively engaged with the cup-shaped structure is an abutment tab that is part of a closure structure for blocking and selectively unblocking a hopper opening. The tab engages the setting tab to define the adjustable length of the closure structure. Thereafter, abutment rate selection is a function of the rotatable position of the cup-shaped structure. Engagement of the abutment tab and a step defines the size of the hopper opening and thus the amount of product released from the hopper during operation. The spreader also includes a dual spring arrangement to bias the closure structure to a closed position and to prevent breakage. The disclosed spreader also features a one piece wheel to reduce parts and assembly costs.",OMS INVESTMENTS INC,HAVLOVITZ PAUL;;COURTNEY STEVE;;CAVINS MICHAEL;;GOODWIN RANDY;;LARIMORE DAN,OMS INVESTMENTS INC (2005-01-19),https://lens.org/003-928-186-632-716,Granted Patent,yes,24,4,11,11,0,A01C15/02;;A01C15/02,A01C15/16,222/625;;239/681,1,0,,,"International Preliminary Report on Patentability from PCT/US2005/029520, prepared Nov. 6, 2007.",ACTIVE
9,WO,A3,WO 2006/078324 A3,180-772-904-579-738,2007-12-06,2007,US 2005/0029520 W,2005-08-19,US 3668905 A,2005-01-14,IMPROVED COLLAPSIBLE SPREADER,"An improved collapsible spreader with a spread rate selection mechanism including a knob and a rotatable cup-shaped structure. The cup-shaped structure includes an elongated setting tab and a thirty-six step edge corresponding to thirty-six spread rate settings on the knob. Operatively engaged with the cup-shaped structure is an abutment tab that is part of a closure structure for blocking and selectively unblocking a hopper opening. The tab engages the setting tab to define the adjustable length of the closure structure. Thereafter, abutment rate selection is a function of the rotatable position of the cup-shaped structure. Engagement of the abutment tab and a step defines the size of the hopper opening and thus the amount of product released from the hopper during operation. The spreader also includes a dual spring arrangement to bias the closure structure to a closed position and to prevent breakage. The disclosed spreader also features a one piece wheel to reduce parts and assembly costs.",OMS INVESTMENTS INC,HAVLOVITZ PAUL;;COURTNEY STEVE;;CAVINS MICHAEL;;GOODWIN RANDY;;LARIMORE DAN,,https://lens.org/180-772-904-579-738,Search Report,yes,5,0,11,11,0,A01C15/02;;A01C15/02,A01C3/06,,0,0,,,,PENDING
10,US,A1,US 2006/0157518 A1,034-684-563-498-281,2006-07-20,2006,US 3668905 A,2005-01-14,US 3668905 A,2005-01-14,Collapsible spreader,"An improved collapsible spreader with a spread rate selection mechanism including a knob and a rotatable cup-shaped structure. The cup-shaped structure includes an elongated setting tab and a thirty-six step edge corresponding to thirty-six spread rate settings on the knob. Operatively engaged with the cup-shaped structure is an abutment tab that is part of a closure structure for blocking and selectively unblocking a hopper opening. The tab engages the setting tab to define the adjustable length of the closure structure. Thereafter, abutment rate selection is a function of the rotatable position of the cup-shaped structure. Engagement of the abutment tab and a step defines the size of the hopper opening and thus the amount of product released from the hopper during operation. The spreader also includes a dual spring arrangement to bias the closure structure to a closed position and to prevent breakage. The disclosed spreader also features a one piece wheel to reduce parts and assembly costs.",OMS INVESTMENTS INC,HAVLOVITZ PAUL;;COURTNEY STEVE;;CAVINS MICHAEL;;GOODWIN RANDY;;LARIMORE DAN,OMS INVESTMENTS INC (2005-01-19),https://lens.org/034-684-563-498-281,Patent Application,yes,22,20,11,11,0,A01C15/02;;A01C15/02,A01C15/04,222/617,0,0,,,,ACTIVE
