"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,GB,A,GB 2485658 A,120-294-950-957-584,2012-05-23,2012,GB 201119595 A,2011-11-14,GB 201019643 A,2010-11-19,Retainer clip for protective masonry cover,"A device 1, 2 for retaining a protective cover over exposed masonry 3 comprises a pair of fixing arms 1. The arms are arranged to retain the cover in position between a surface of a wall and their respective fixing arm. Also included is an alternative arrangement (Figures 3, 4 &5) including a retaining device which has a pair of arms to locate over the masonry, wherein the cover 7 is held above a masonry wall surface by a clip 5 attached to a rod 4, the rod removably attached to the retaining device 1, 2.",FORSHAW IAN DAVID,FORSHAW IAN DAVID,,https://lens.org/120-294-950-957-584,Patent Application,no,4,2,3,3,0,E04G21/28;;E04G21/245;;E04G21/28,E04G21/28,,0,0,,,,DISCONTINUED
2,US,B2,US 7797199 B2,081-795-754-839-794,2010-09-14,2010,US 29331805 A,2005-12-01,US 29331805 A;;US 96655604 A,2004-10-15,Fraudulent address database,"One embodiment of the present invention provides a system and method to collect information about potentially suspect addresses across many members of a commerce platform or a fraudulent address database system, thus reducing the chance of exposure to fraudulent charges for merchants providing services as members.",REARDEN COMMERCE INC,FORSHAW DAVID;;MTWA THEMBILE;;HANDEL SEAN,DEEM INC (2005-11-07),https://lens.org/081-795-754-839-794,Granted Patent,yes,12,61,2,7,0,G06Q10/08;;G06Q10/083;;G06Q10/087;;G06Q30/0185;;G06Q30/0601;;G06Q10/08;;G06Q30/0185;;G06Q10/083;;G06Q30/0601;;G06Q10/087,G06Q10/00;;G06Q30/00,705/26;;705/28,4,0,,,"Orttung, Mark et al., U.S. Appl. No. 11/178,007, entitled ""System for Travel Services Resource Sharing"", filed Jul. 7, 2005.;;Transaction History of U.S. Appl. No. 11/178,007, filed Jul. 7, 2005, entitled ""System for Travel Services Resource Sharing."";;Transaction History of U.S. Appl. No. 11/293,318, filed Dec. 1, 2005, entitled ""Fraudulent Address Database."";;Transaction History of U.S. Appl. No. 11/549,961, filed Oct. 16, 2006, entitled ""Method and System for Dynamic Social Networking Based on Similar Travel Itineraries.""",ACTIVE
3,US,A1,US 2006/0190287 A1,173-499-430-731-612,2006-08-24,2006,US 29331805 A,2005-12-01,US 29331805 A;;US 96655604 A,2004-10-15,Fraudulent address database,"One embodiment of the present invention provides a system and method to collect information about potentially suspect addresses across many members of a commerce platform or a fraudulent address database system, thus reducing the chance of exposure to fraudulent charges for merchants providing services as members.",REARDEN COMMERCE INC,FORSHAW DAVID;;MTWA THEMBILE;;HANDEL SEAN,DEEM INC (2005-11-07),https://lens.org/173-499-430-731-612,Patent Application,yes,11,29,2,7,0,G06Q10/08;;G06Q10/083;;G06Q10/087;;G06Q30/0185;;G06Q30/0601;;G06Q10/08;;G06Q30/0185;;G06Q10/083;;G06Q30/0601;;G06Q10/087,G06Q99/00,705/1,0,0,,,,ACTIVE
4,EP,A1,EP 4295255 A1,017-915-176-792-527,2023-12-27,2023,EP 22713775 A,2022-02-17,US 202163150521 P;;US 2022/0016779 W,2021-02-17,METHOD AND SYSTEM FOR DYNAMICALLY ASSESSING CURRENT RISK ASSOCIATED WITH A MARITIME ACTIVITY,,UNIV PLYMOUTH,TAM KIMBERLY;;FORSHAW KEVIN;;JONES KEVIN DAVID,,https://lens.org/017-915-176-792-527,Patent Application,yes,0,0,3,3,0,H04L63/1433;;G06F21/577;;G06F2221/034;;G06F21/577;;G06F2221/034,G06F21/57,,0,0,,,,PENDING
5,US,A1,US 2022/0261483 A1,035-407-530-546-428,2022-08-18,2022,US 202217674485 A,2022-02-17,US 202217674485 A;;US 202163150521 P,2021-02-17,METHOD AND SYSTEM FOR DYNAMICALLY ASSESSING CURRENT RISK ASSOCIATED WITH A MARITIME ACTIVITY,"An approach is provided for a maritime cyber risk assessment profiling tool. The tool accesses a risk profile for one or more maritime vessels, wherein the risk profile includes a plurality of attack vectors targeting a plurality of systems associated with the one or more maritime vessels, and wherein each of the plurality of attack vectors is associated with a quantified risk value. The tool retrieves a risk update from a dynamic risk data source. The tool updates the risk profile based on the risk update, including a first attack vector. The tool causes display of a risk assessment for the one or more maritime vessels based on the updated risk profile, wherein the risk assessment includes risk values assigned for a particular set of the plurality of systems including a risk value that changed based on the update to the first attack vector.",UNIV PLYMOUTH,TAM KIMBERLY;;FORSHAW KEVIN;;JONES KEVIN DAVID,UNIVERSITY OF PLYMOUTH (2021-02-19),https://lens.org/035-407-530-546-428,Patent Application,yes,0,4,3,3,0,H04L63/1433;;G06F21/577;;G06F2221/034;;G06F21/577;;G06F2221/034,G06F21/57,,0,0,,,,PENDING
6,WO,A1,WO 2022/178116 A1,087-466-635-987-250,2022-08-25,2022,US 2022/0016779 W,2022-02-17,US 202163150521 P,2021-02-17,METHOD AND SYSTEM FOR DYNAMICALLY ASSESSING CURRENT RISK ASSOCIATED WITH A MARITIME ACTIVITY,"An approach is provided for a maritime cyber risk assessment profiling tool. The tool accesses a risk profile for one or more maritime vessels, wherein the risk profile includes a plurality of attack vectors targeting a plurality of systems associated with the one or more maritime vessels, and wherein each of the plurality of attack vectors is associated with a quantified risk value. The tool retrieves a risk update from a dynamic risk data source. The tool updates the risk profile based on the risk update, including a first attack vector. The tool causes display of a risk assessment for the one or more maritime vessels based on the updated risk profile, wherein the risk assessment includes risk values assigned for a particular set of the plurality of systems including a risk value that changed based on the update to the first attack vector.",UNIV PLYMOUTH,TAM KIMBERLY;;FORSHAW KEVIN;;JONES KEVIN DAVID,,https://lens.org/087-466-635-987-250,Patent Application,yes,2,0,3,3,0,H04L63/1433;;G06F21/577;;G06F2221/034;;G06F21/577;;G06F2221/034,G06F21/57,,2,2,093-051-976-955-882;;093-051-976-955-882,10.1007/s13437-019-00162-2;;10.1007/s13437-019-00162-2,"TAM KIMBERLY ET AL: ""MaCRA: a model-based framework for maritime cyber-risk assessment"", WMU JOURNAL OF MARITIME AFFAIRS, SPRINGER BERLIN HEIDELBERG, BERLIN/HEIDELBERG, vol. 18, no. 1, 28 January 2019 (2019-01-28), pages 129 - 163, XP036754173, ISSN: 1651-436X, [retrieved on 20190128], DOI: 10.1007/S13437-019-00162-2;;TAM, K.JONES, K.: ""MaCRA: a model-based framework for maritime cyber-risk assessment"", WMUJMARIT AFFAIRS, vol. 18, 2019, pages 129 - 163, XP036754173, Retrieved from the Internet <URL:https://doi.org/10.1007/sl3437-019-00162-2> DOI: 10.1007/s13437-019-00162-2",PENDING
7,GB,A,GB 2379157 A,121-343-749-285-768,2003-03-05,2003,GB 0120295 A,2001-08-21,GB 0120295 A,2001-08-21,Sweat management system,"The sweat management system, for removing sweat from a body or clothes 3 in close proximity to a body, comprises a sweat transport medium capable of transferring sweat and means for providing a gradient to draw the sweat along the transport medium and away from the body or clothing. The sweat transport medium is preferably provided by the wicking of liquid through or along a textile, which is preferably polyester. The gradient may be provided by the addition of salt to specific regions of a textile, by adding more twist along a length of yarn to encourage liquid flow in the direction of higher twist, by providing an absorbent body 4 that contacts the transport medium, where the absorbent body may be a superabsorbent, or through a combination of the aforementioned methods. Also claimed in a garment for removing sweat from the body. The system is particularly for use with outer clothing where normal evaporation and removal of sweat is either not possible or not sufficient and where the build of sweat can have dangerous consequences, e.g. fire fighting clothing, clothing for arctic conditions etc.",SECR DEFENCE,FORSHAW PAULA LOUISE;;RANDALL ADRIAN;;CONGALTON DAVID,,https://lens.org/121-343-749-285-768,Patent Application,no,6,1,2,2,0,A41D13/002,A41D13/002,A3V V1A5C         V1A5C;;A3V V5X           V5X,0,0,,,,DISCONTINUED
8,US,A1,US 2006/0085240 A1,060-826-316-690-579,2006-04-20,2006,US 29331605 A,2005-12-01,US 29331605 A;;US 96655604 A,2004-10-15,Aggregate transit times,"A method and system to provide aggregate transit time. In one embodiment, the method, which may be performed by a system, comprises receiving information identifying a shipping destination; and in response to the information, providing data related to on-time performance for one or more shipping vendors providing shipping services to the destination.",REARDEN COMMERCE INC,SALEHI-SEDEH MASOUD;;FORSHAW DAVID;;AYER NARAYAN,REARDEN COMMERCE INC (2005-11-06),https://lens.org/060-826-316-690-579,Patent Application,yes,12,43,1,7,0,G06Q10/08;;G06Q10/08;;G06Q10/0875;;G06Q10/0875,G06F9/44;;G06F17/50,705/7,0,0,,,,DISCONTINUED
9,US,B2,US 11307212 B2,154-318-909-556-428,2022-04-19,2022,US 202117353839 A,2021-06-22,GB 201607882 A;;EP 2017058565 W,2016-05-05,Tissue processing apparatus for processing biological tissue,"A tissue processing apparatus for processing biological tissue. The tissue processing apparatus comprises a measurement probe that includes two measurement surfaces spaced apart from each other, wherein the measurement probe is configured to be inserted into a reagent receptacle so that the two measurement surfaces are at least partially immersed in reagent contained in the reagent receptacle. The tissue processing apparatus is configured to use the two measurement surfaces of the measurement probe to obtain at least one electrical measurement of reagent contained in the reagent receptacle before reagent is taken out from the reagent receptacle by the tissue processing apparatus. The tissue processing apparatus is configured to determine, based on the at least one electrical measurement, a concentration and/or a type of reagent contained in the reagent receptacle.",SHANDON DIAGNOSTICS LTD,TEMPLE JOHN;;FORSHAW MICHAEL JAMES;;CHAN DAVID JOHN,SHANDON DIAGNOSTICS LIMITED (2017-07-25),https://lens.org/154-318-909-556-428,Granted Patent,yes,13,0,11,11,0,G01N1/31;;G01N1/38;;G01N35/10;;G01N2035/00673;;G01N2035/1062;;G01N35/1002;;G01N1/31;;G01N27/226;;G01N35/1002;;G01N1/31;;G01N1/38;;G01N2035/00673;;G01N2035/1062;;G01N35/10;;G01N35/1002,G01N35/10;;G01N1/31;;G01N1/38;;G01N35/00,,7,2,022-868-394-891-453;;022-868-394-891-453,10.1007/978-1-4939-1050-2_3;;25015141;;10.1007/978-1-4939-1050-2_3;;25015141,"Feldman et al., “Tissue Processing and Hematoxylin and Eosin Staining”, 2014, Springer Science+Business Media, Histopathology: Methods and Protocols, Methods in Molecular Biology, vol. 1180, pp. 31-43. (Year: 2014).;;ISA/EP International Search Report for International Application No. PCT/EP2017/058565 dated Mar. 7, 2017.;;ISA/EP; Written Opinion for International Application No. PCT/EP2017/058565 dated Mar. 7, 2017.;;IPO; Search Report for Great British Application No. 1607882.6 dated Jul. 28, 2016.;;USPTO; Non-Final Office Action for U.S. Appl. No. 16/097,899 dated Dec. 22, 2020, 24 pages.;;USPTO; Final Office Action for U.S. Appl. No. 16/097,899 dated Apr. 8, 2021, 16 pages.;;Feldman, Ada T. et al., Tissue Processing and Hematoxylin and Eosin Staining. Jun. 18, 2014, Histopathology. Methods in Molecular Biology (Methods and Protocols), vol. 1180, p. 31-43.",ACTIVE
10,GB,A,GB 1276037 A,101-963-679-566-426,1972-06-01,1972,GB 2155070 A,1970-05-04,GB 2155070 A,1970-05-04,IMPROVED CARBURETTOR HAVING A THROTTLE VALVE CONTROL ASSEMBLY,"1276037 Fluid-pressure servomotor systems VICTA Ltd 5 May 1970 21550/70 Heading G3P [Also in Division F1] The throttle valve 8 of a carburetter 5 has its spindle 15 coupled by bevel gears 17, 22 to the shaft 20 of an engine speed governor vane 46. The vane 46 is connected by a torsion spring 47 and a toothed ring 48 to an arm 24 manually operatable by a cable 36. The manual control of the valve 8 by the cable 8 is over-riden by the vane 46 which is located in the engine cooling air stream.",VICTA LTD,GLOVER PETER DAVID;;FORSHAW RICHARD;;STEELE WILLIAM HENRY,,https://lens.org/101-963-679-566-426,Granted Patent,no,0,2,1,1,0,F02D35/0053;;F02D9/02;;F02D11/02;;F02D31/00;;F02D2009/0208;;F02D2009/0216;;F02D2009/0264;;F02D2009/0267;;F02M19/12,F02D9/02;;F02D11/02;;F02D31/00;;F02M19/12,F1B BBE           BE20;;F1B BB120         BE20;;F1B BB200         BE20;;F1B BB204         BE20;;F1B BB212         BE20;;F1B B2B13G        B2B1;;F1B B2B13X1       B2B1;;F1B B2B15         B2B1;;F1B B2B2          B2B1;;F1H HDF           HDF;;F1K K2F4D         K2F4;;G3P P1F           P1F/;;G3P P16E3         P1F/;;G3P P17           P1F/;;G3P P22           P1F/;;G3P P24KX         P1F/;;G3P P25D          P1F/;;G3P P27X          P1F/,0,0,,,,EXPIRED
11,GB,A,GB 2549978 A,169-790-404-442-031,2017-11-08,2017,GB 201607882 A,2016-05-05,GB 201607882 A,2016-05-05,Tissue processing apparatus for processing biological tissue,"A tissue processing apparatus for processing biological tissue. The tissue processing apparatus features a measurement probe 250 with two measurement surfaces (261, 262, Fig. 3) spaced apart from each other. The measurement probe is configured to be inserted into a reagent receptacle 220 so that the two measurement surfaces (261, 262, Fig. 3) are at least partially immersed in reagent contained in the reagent receptacle 220. The tissue processing apparatus uses the two measurement surfaces (261, 262, Fig. 3) of the measurement probe 250 to obtain at least one electrical measurement of the reagent contained in the reagent receptacle 220 before the reagent is taken out from the reagent receptacle 220 by the tissue processing apparatus. The tissue processing apparatus is then configured to determine, based on the at least one electrical measurement, a state and/or a type of the reagent contained in the reagent receptacle 220. Optionally, there is an extraction device configured to take reagent out of the reagent receptacle 220 via an inlet tube 210.",THERMO SHANDON LTD,JOHN TEMPLE;;MICHAEL JAMES FORSHAW;;DAVID JOHN CHAN,,https://lens.org/169-790-404-442-031,Patent Application,no,3,0,11,11,0,G01N1/31;;G01N1/38;;G01N35/10;;G01N2035/00673;;G01N2035/1062;;G01N35/1002;;G01N1/31;;G01N27/226;;G01N35/1002;;G01N1/31;;G01N1/38;;G01N2035/00673;;G01N2035/1062;;G01N35/10;;G01N35/1002,G01N1/31;;G01N27/22;;G01N35/10,,0,0,,,,DISCONTINUED
12,US,A1,US 2019/0137532 A1,022-231-276-791-250,2019-05-09,2019,US 201716097899 A,2017-04-10,GB 201607882 A;;EP 2017058565 W,2016-05-05,TISSUE PROCESSING APPARATUS FOR PROCESSING BIOLOGICAL TISSUE,"A tissue processing apparatus for processing biological tissue. The tissue processing apparatus comprises a measurement probe that includes two measurement surfaces spaced apart from each other, wherein the measurement probe is configured to be inserted into a reagent receptacle so that the two measurement surfaces are at least partially immersed in reagent contained in the reagent receptacle. The tissue processing apparatus is configured to use the two measurement surfaces of the measurement probe to obtain at least one electrical measurement of reagent contained in the reagent receptacle before reagent is taken out from the reagent receptacle by the tissue processing apparatus. The tissue processing apparatus is configured to determine, based on the at least one electrical measurement, a concentration and/or a type of reagent contained in the reagent receptacle.",THERMO SHANDON LTD,TEMPLE JOHN;;FORSHAW MICHAEL JAMES;;CHAN DAVID JOHN,THERMO SHANDON LTD (2017-07-25),https://lens.org/022-231-276-791-250,Patent Application,yes,0,1,11,11,0,G01N1/31;;G01N1/38;;G01N35/10;;G01N2035/00673;;G01N2035/1062;;G01N35/1002;;G01N1/31;;G01N27/226;;G01N35/1002;;G01N1/31;;G01N1/38;;G01N2035/00673;;G01N2035/1062;;G01N35/10;;G01N35/1002,G01N1/31;;G01N35/10;;G01N1/38,,0,0,,,,DISCONTINUED
13,US,A,US 3650252 A,030-998-604-068-277,1972-03-21,1972,US 3650252D A,1970-03-31,AU 1969/052793 A,1969-03-31,ENGINE GOVERNORS,"Means for governing the speed of an engine by providing attached to the carburetor butterfly spindle an air vane deflected by a stream of engine-cooling air produced by the engine to close the butterfly against spring action, and accelerator control means for the engine operating to increase tension on the spring with its advancement and to decrease the tension with retarding of the accelerator.",VICTA LTD,GLOVER PETER DAVID;;FORSHAW RICHARD;;STEELE WILLIAM HENRY,,https://lens.org/030-998-604-068-277,Granted Patent,no,6,13,2,2,0,F02D31/00;;F02D2009/0216;;F02D31/00;;F02D2009/0216,F02D9/02;;F02D31/00,123103   B,0,0,,,,EXPIRED
14,WO,A1,WO 2017/190913 A1,093-326-486-035-389,2017-11-09,2017,EP 2017058565 W,2017-04-10,GB 201607882 A,2016-05-05,TISSUE PROCESSING APPARATUS FOR PROCESSING BIOLOGICAL TISSUE,"A tissue processing apparatus for processing biological tissue. The tissue processing apparatus comprises a measurement probe that includes two measurement surfaces spaced apart from each other, wherein the measurement probe is configured to be inserted into a reagent receptacle so that the two measurement surfaces are at least partially immersed in reagent contained in the reagent receptacle. The tissue processing apparatus is configured to use the two measurement surfaces of the measurement probe to obtain at least one electrical measurement of reagent contained in the reagent receptacle before reagent is taken out from the reagent receptacle by the tissue processing apparatus. The tissue processing apparatus is configured to determine, based on the at least one electrical measurement, a concentration and/or a type of reagent contained in the reagent receptacle.",THERMO SHANDON LTD,TEMPLE JOHN;;FORSHAW MICHAEL JAMES;;CHAN DAVID JOHN,,https://lens.org/093-326-486-035-389,Patent Application,yes,5,0,11,11,0,G01N1/31;;G01N1/38;;G01N35/10;;G01N2035/00673;;G01N2035/1062;;G01N35/1002;;G01N1/31;;G01N27/226;;G01N35/1002;;G01N1/31;;G01N1/38;;G01N2035/00673;;G01N2035/1062;;G01N35/10;;G01N35/1002,G01N1/31;;G01N1/38;;G01N35/10,,0,0,,,,PENDING
