"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,CN,A,CN 112752548 A,120-529-576-208-519,2021-05-04,2021,CN 201980053007 A,2019-08-09,US 201862717077 P;;US 2019/0045941 W,2018-08-10,MECHANICAL VENOUS CLOT RETRIEVAL,"Systems and methods are provided for removal of clot material from a treatment site in a blood vessel, particularly in venous vasculature. A treatment device (101) can include a core member (115) having a distal portion (109) and an inner coil (111) surrounding the distal portion of the core member. A helical outer member (113) surrounds at least a portion of the inner coil, and a sheet of flexible material (117) extends between the inner coil and the helical outer member, such that the sheet extends helically around the inner coil to provide a surface for clot engagement at the treatment site.",THE FOUNDRY INC,GIFFORD HANSON III S;;GIFFORD EDWARD DEWITT,,https://lens.org/120-529-576-208-519,Patent Application,no,10,1,5,5,0,A61B2017/22067;;A61B17/320725;;A61B2017/22034;;A61B17/221;;A61B17/221;;A61B2017/22038,A61B17/22,,0,0,,,,PENDING
2,US,A1,US 2021/0307767 A1,146-033-381-394-379,2021-10-07,2021,US 201917250606 A,2019-08-09,US 201917250606 A;;US 201862717077 P;;US 2019/0045941 W,2018-08-10,MECHANICAL VENOUS CLOT RETRIEVAL,"Systems and methods are provided for removal of clot material from a treatment site in a blood vessel, particularly in venous vasculature. A treatment device ( 101 ) can include a core member ( 115 ) having a distal portion ( 109 ) and an inner coil ( 111 ) surrounding the distal portion of the core member. A helical outer member ( 113 ) surrounds at least a portion of the inner coil, and a sheet of flexible material ( 117 ) extends between the inner coil and the helical outer member, such that the sheet extends helically around the inner coil to provide a surface for clot engagement at the treatment site.",FOUNDRY LLC,GIFFORD III HANSON S;;GIFFORD EDWARD DEWITT,THE FOUNDRY LLC (2021-01-25),https://lens.org/146-033-381-394-379,Patent Application,yes,5,4,5,5,0,A61B2017/22067;;A61B17/320725;;A61B2017/22034;;A61B17/221;;A61B17/221;;A61B2017/22038,A61B17/221,,0,0,,,,PENDING
3,EP,A1,EP 3833278 A1,026-199-775-600-445,2021-06-16,2021,EP 19759191 A,2019-08-09,US 201862717077 P;;US 2019/0045941 W,2018-08-10,MECHANICAL VENOUS CLOT RETRIEVAL,,FOUNDRY LLC,GIFFORD HANSON S III;;GIFFORD EDWARD DEWITT,,https://lens.org/026-199-775-600-445,Patent Application,yes,0,0,5,5,0,A61B2017/22067;;A61B17/320725;;A61B2017/22034;;A61B17/221;;A61B17/221;;A61B2017/22038,A61B17/22,,0,0,,,,PENDING
4,US,A,US 4104097 A,042-614-898-129-361,1978-08-01,1978,US 71179776 A,1976-08-05,US 71179776 A,1976-08-05,Method for making flexible duct,The present invention relates to an apparatus and method for making a flexible duct of wire-reinforced construction made from a plurality of adhesive-coated polymeric tapes. The tapes are simultaneously applied from angularly oppositely disposed directions in conjunction with application of a reinforcement wire to provide a helix construction with overlapping convoluted edges to provide a duct of predetermined length.,CLECON INC,GREGORY RAYMOND A;;WILCOX DEWITT GIFFORD,ATCO RUBBER PRODUCTS INC (1982-03-30),https://lens.org/042-614-898-129-361,Granted Patent,yes,6,17,1,1,0,B29C53/582;;B29C53/582;;F16L11/24;;F16L11/24,B29C53/58,156/143,0,0,,,,EXPIRED
5,US,A1,US 2023/0041152 A1,148-752-279-108-931,2023-02-09,2023,US 202117758670 A,2021-02-12,US 202117758670 A;;US 202062976342 P;;US 2021/0018047 W,2020-02-13,"VASCULAR TREATMENT DEVICES, SYSTEMS, AND METHODS OF USE","Systems ( 1100 ) for treating a blood flow passage are discloses herein. In one example, a treatment device includes an expandable element ( 1104 ) configured to be positioned within the passage and a reinforcing element ( 1102 ). The expandable element may have an expanded configuration in which the expandable element defines a lumen ( 1108 ) therethrough. The reinforcing element may be positioned within the lumen of the expandable element. The reinforcing element may be coupled to the expandable element such that expansion of the expandable element causes the reinforcing element to radially expand, thereby creating a perfusion lumen through the device.",FOUNDRY LLC,GIFFORD III HANSON S;;GIFFORD EDWARD DEWITT;;LEVERING VRAD W,THE FOUNDRY LLC (2021-03-06),https://lens.org/148-752-279-108-931,Patent Application,yes,0,3,5,5,0,A61M2025/1097;;A61M2025/1084;;A61M2025/1061;;A61M25/1029;;A61M25/1002;;A61M25/0052;;A61M2025/0024;;A61M25/1011;;A61M25/0052;;A61M25/10;;A61M2025/1061;;A61M2025/1084;;A61M2025/1097,A61M25/10;;A61M25/00,,0,0,,,,PENDING
6,US,A1,US 2021/0308433 A1,153-503-546-210-011,2021-10-07,2021,US 201917250607 A,2019-08-09,US 201917250607 A;;US 201862717752 P;;US 2019/0046070 W,2018-08-10,VASCULAR TREATMENT DEVICES AND ASSOCIATED SYSTEMS AND METHODS OF USE,"Devices, systems, and methods for treating a blood flow passage are discloses herein. In one example, a treatment device includes an expandable element configured to be positioned within the passage and a reinforcing element. The expandable element may have an expanded configuration in which the expandable element defines a lumen therethrough. The reinforcing element may be positioned within the lumen of the expandable element. The reinforcing element may be coupled to the expandable element such that expansion of the expandable element causes the reinforcing element to radially expand, thereby creating a perfusion lumen through the device.",GIFFORD III HANSON S;;GIFFORD EDWARD DEWITT;;FOUNDRY LLC,GIFFORD III HANSON S;;GIFFORD EDWARD DEWITT;;LEVERING VRAD W,THE FOUNDRY LLC (2019-08-15),https://lens.org/153-503-546-210-011,Patent Application,yes,3,1,5,5,0,A61M2025/1095;;A61M2025/1097;;A61M25/104;;A61F2/2418;;A61F2/2433;;A61M25/104;;A61M2025/1095,A61M25/10,,0,0,,,,PENDING
7,CN,A,CN 112739273 A,117-037-116-485-727,2021-04-30,2021,CN 201980059066 A,2019-08-09,US 201862717752 P;;US 2019/0046070 W,2018-08-10,VASCULAR TREATMENT DEVICES,"Devices, systems, and methods for treating a blood flow passage are discloses herein. In one example, a treatment device includes an expandable element configured to be positioned within the passage and a reinforcing element. The expandable element may have an expanded configuration in which the expandable element defines a lumen therethrough. The reinforcing element may be positioned within the lumen of the expandable element. The reinforcing element may be coupled to the expandable element such that expansion of the expandable element causes the reinforcing element to radially expand, thereby creating a perfusion lumen through the device.",THE FOUNDRY INC,GIFFORD III HANSON S;;GIFFORD EDWARD DEWITT;;LEVERING VRAD W,,https://lens.org/117-037-116-485-727,Patent Application,no,7,0,5,5,0,A61M2025/1095;;A61M2025/1097;;A61M25/104;;A61F2/2418;;A61F2/2433;;A61M25/104;;A61M2025/1095,A61B17/12;;A61M25/10,,0,0,,,,PENDING
8,US,A1,US 2023/0115137 A1,060-742-627-265-184,2023-04-13,2023,US 202117907005 A,2021-03-24,US 202117907005 A;;US 202062993845 P;;US 2021/0070306 W,2020-03-24,EXPANDABLE DEVICES AND ASSOCIATED SYSTEMS AND METHODS,"Devices, systems, and methods for treating a blood flow passage are disclosed herein. For example, expandable devices of the present technology may comprise a stent having a collapsed configuration for delivery through a delivery device to a treatment site in a body conduit and an expanded configuration. The stent may comprise a plurality of struts and longitudinally extending first and second spines configured to move in opposing axial directions as the stent expands. Each of the struts may extend between and connect one of the first spines and one of the second spines. Moving the first spines axially relative to the second spines may cause the struts to push circumferentially adjacent spines to move away from one another, thereby increasing a diameter of the stent.",FOUNDRY LLC,GIFFORD III HANSON S;;GIFFORD EDWARD DEWITT;;LEVERING VRAD W,THE FOUNDRY LLC (2021-05-13),https://lens.org/060-742-627-265-184,Patent Application,yes,0,0,4,4,0,A61F2/915;;A61F2002/91575;;A61F2002/825;;A61F2250/0037;;A61F2230/0067;;A61F2/07;;A61F2/2418;;A61F2/243;;A61F2002/9505;;A61F2220/0091;;A61F2/06;;A61F2/2418,A61F2/06;;A61F2/24,,0,0,,,,PENDING
9,EP,A1,EP 4103256 A1,130-380-048-752-422,2022-12-21,2022,EP 21715691 A,2021-02-12,US 202062976342 P;;US 2021/0018047 W,2020-02-13,VASCULAR TREATMENT SYSTEMS,,FOUNDRY LLC,GIFFORD III HANSON S;;GIFFORD EDWARD DEWITT;;LEVERING VRAD W,,https://lens.org/130-380-048-752-422,Patent Application,yes,0,0,5,5,0,A61M2025/1097;;A61M2025/1084;;A61M2025/1061;;A61M25/1029;;A61M25/1002;;A61M25/0052;;A61M2025/0024;;A61M25/1011;;A61M25/0052;;A61M25/10;;A61M2025/1061;;A61M2025/1084;;A61M2025/1097,A61M25/00;;A61M25/10,,0,0,,,,PENDING
10,US,A1,US 2023/0118855 A1,042-972-081-459-614,2023-04-20,2023,US 202117907034 A,2021-03-24,US 202117907034 A;;US 202062993859 P;;US 2021/0070307 W,2020-03-24,EXPANDABLE DEVICES AND ASSOCIATED SYSTEMS AND METHODS,Expandable devices are disclosed herein. Several of the embodiments are directed towards an expandable device comprising a stent configured to be expanded within a body conduit of a human patient. The stent may comprise a tubular sidewall having first portions and second portions. Radial expansion of the stent may cause the first portions to bow outwardly and out of radial alignment with the second portions.,FOUNDRY LLC,GIFFORD III HANSON S;;GIFFORD EDWARD DEWITT;;LEVERING VRAD W,THE FOUNDRY LLC (2021-05-13),https://lens.org/042-972-081-459-614,Patent Application,yes,0,9,4,4,0,A61F2/915;;A61F2002/91575;;A61F2002/825;;A61F2/848;;A61F2/958;;A61F2250/0048;;A61F2250/0039;;A61F2/2418;;A61F2/2433;;A61F2/852;;A61F2/915;;A61F2/958;;A61F2002/0081;;A61F2230/0069;;A61F2250/001,A61F2/915;;A61F2/24;;A61F2/852;;A61F2/958,,0,0,,,,PENDING
11,US,A1,US 2023/0105665 A1,137-225-852-013-051,2023-04-06,2023,US 202117907061 A,2021-03-24,US 202117907061 A;;US 202062993876 P;;US 2021/0024020 W,2020-03-24,EXPANDABLE DEVICES,Expandable devices are disclosed herein. Several of the embodiments are directed towards an expandable device configured to be expanded within a conduit. The expandable device may comprise a tubular sidewall having first portions and second portions. Radial expansion of the expandable device may cause the first portions to bow outwardly and out of radial alignment with the second portions.,FOUNDRY LLC,GIFFORD III HANSON S;;GIFFORD EDWARD DEWITT;;LEVERING VRAD W,THE FOUNDRY LLC (2021-05-13),https://lens.org/137-225-852-013-051,Patent Application,yes,0,0,4,4,0,A61F2/915;;A61F2002/91575;;A61F2002/825;;A61F2250/0039;;A61F2/958;;A61F2220/0091;;A61F2250/0048;;B21D39/08,B21D39/08,,0,0,,,,PENDING
12,EP,A1,EP 4125739 A1,130-303-282-312-055,2023-02-08,2023,EP 21719409 A,2021-03-24,US 202062993876 P;;US 2021/0024020 W,2020-03-24,EXPANDABLE DEVICES,,FOUNDRY LLC,GIFFORD III HANSON S;;GIFFORD EDWARD DEWITT;;LEVERING VRAD W,,https://lens.org/130-303-282-312-055,Patent Application,yes,0,0,4,4,0,A61F2/915;;A61F2002/91575;;A61F2002/825;;A61F2250/0039;;A61F2/958;;A61F2220/0091;;A61F2250/0048;;B21D39/08,A61F2/915;;A61F2/848;;A61F2/958,,0,0,,,,PENDING
