"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,EP,A1,EP 3983769 A1,039-775-763-497-06X,2022-04-20,2022,EP 20821581 A,2020-06-15,NL 2023306 A;;AU 2020/050602 W,2019-06-13,OPTOELECTRONIC COUPLING PLATFORMS AND SENSORS,,UNIV GRIFFITH,DAO DZUNG;;DINH TOAN,,https://lens.org/039-775-763-497-06X,Patent Application,yes,0,0,9,9,0,G01L1/186;;G01L5/162;;G01K7/16;;H01L31/161;;H01L31/08;;H01L21/02447;;H01L21/02167;;H01L29/66219;;G01L1/18;;G01L9/06;;G01L9/0052;;G01L19/0092;;H01L31/08,G01K7/16;;G01L1/18;;G01L9/00;;H01L23/00;;H01L29/00;;H01L31/00;;H01L35/00;;H01L41/00,,0,0,,,,PENDING
2,WO,A1,WO 2020/248025 A1,147-019-523-774-12X,2020-12-17,2020,AU 2020/050602 W,2020-06-15,NL 2023306 A,2019-06-13,OPTOELECTRONIC COUPLING PLATFORMS AND SENSORS,"A sensing platform comprises a semiconductor junction, in particular a SiC/Si heterojunction, with a pair of electrodes located on a surface of an upper layer of the semiconductor junction in a spaced apart relationship. The sensing platform comprises a light source above the surface of the upper layer to illuminate a part of the surface of the semiconductor junction comprising at least part of one of the electrodes to create a lateral potential gradient between the pair of electrodes through the photovoltaic effect in the semiconductor. Parameters, such as force and temperature, are detected based on measuring a change in electrical resistance of the semiconductor material due to the piezoresistive effect and/or the thermoresistive effect. An external potential difference can be applied between the pair of electrodes to create a tuning current to modulate the piezoresistive and thermoresistive effects in the semiconductor junction. The sensing platform is used for highly sensitive force sensors and highly sensitive temperature sensors.",UNIV GRIFFITH,DAO DZUNG;;DINH TOAN,,https://lens.org/147-019-523-774-12X,Patent Application,yes,0,0,9,9,0,G01L1/186;;G01L5/162;;G01K7/16;;H01L31/161;;H01L31/08;;H01L21/02447;;H01L21/02167;;H01L29/66219;;G01L1/18;;G01L9/06;;G01L9/0052;;G01L19/0092;;H01L31/08,G01K7/16;;G01L1/18;;G01L9/00;;H01L23/00;;H01L29/00;;H01L31/00;;H01L35/00;;H01L41/00,,3,3,052-556-552-483-072;;065-637-251-656-247;;018-185-465-567-232,10.1088/0960-1317/23/4/045015;;10.1039/c6ra19418d;;10.1021/acsami.7b12128;;29098850,"JUNG, U. ET AL.: ""A photoresponse-compensated parallel piezoresistive cantilever for cellular force measurements"", JOURNAL OF MICROMECHANICS AND MICROENGINEERING, vol. 23, no. 4, 2013, pages 1 - 7, XP020239858, DOI: 10.1088/0960-1317/23/4/045015;;MD FOISAL ABU RIDUAN, PHAN HOANG-PHUONG, KOZEKI TAKAHIRO, DINH TOAN, TUAN KHOA NGUYEN, QAMAR AFZAAL, LOBINO MIRKO, NAMAZU TAKAHIRO: ""3C-SiC on glass: an ideal platform for temperature sensors under visible light illumination"", RSC ADV., vol. 6, no. 90, 2016, pages 87124 - 87127, XP055771222, DOI: 10.1039/c6ra19418d;;MD F. ET AL.: ""Pushing the Limits of Piezoresistive Effect by Optomechanical Coupling in 3C-SiC/Si Heterostructure"", ACS APPLIED MATERIALS & INTERFACES, vol. 9, 2017, pages 39921 - 39925, XP055673327, DOI: 10.1021/acsami.7b12128",PENDING
3,AU,A1,AU 2020/293026 A1,137-692-251-924-733,2022-01-20,2022,AU 2020/293026 A,2020-06-15,NL 2023306 A;;AU 2020/050602 W,2019-06-13,Optoelectronic coupling platforms and sensors,"A sensing platform comprises a semiconductor junction, in particular a SiC/Si heterojunction, with a pair of electrodes located on a surface of an upper layer of the semiconductor junction in a spaced apart relationship. The sensing platform comprises a light source above the surface of the upper layer to illuminate a part of the surface of the semiconductor junction comprising at least part of one of the electrodes to create a lateral potential gradient between the pair of electrodes through the photovoltaic effect in the semiconductor. Parameters, such as force and temperature, are detected based on measuring a change in electrical resistance of the semiconductor material due to the piezoresistive effect and/or the thermoresistive effect. An external potential difference can be applied between the pair of electrodes to create a tuning current to modulate the piezoresistive and thermoresistive effects in the semiconductor junction. The sensing platform is used for highly sensitive force sensors and highly sensitive temperature sensors.",UNIV GRIFFITH,DAO DZUNG;;DINH TOAN,,https://lens.org/137-692-251-924-733,Patent Application,no,0,0,9,9,0,G01L1/186;;G01L5/162;;G01K7/16;;H01L31/161;;H01L31/08;;H01L21/02447;;H01L21/02167;;H01L29/66219;;G01L1/18;;G01L9/06;;G01L9/0052;;G01L19/0092;;H01L31/08,G01K7/16;;G01L1/18;;G01L9/00;;H01L23/00;;H01L29/00;;H01L31/00;;H01L35/00;;H01L41/00,,0,0,,,,PENDING
4,CA,A1,CA 3141370 A1,125-627-818-496-121,2020-12-17,2020,CA 3141370 A,2020-06-15,NL 2023306 A;;AU 2020/050602 W,2019-06-13,OPTOELECTRONIC COUPLING PLATFORMS AND SENSORS,"A sensing platform comprises a semiconductor junction, in particular a SiC/Si heterojunction, with a pair of electrodes located on a surface of an upper layer of the semiconductor junction in a spaced apart relationship. The sensing platform comprises a light source above the surface of the upper layer to illuminate a part of the surface of the semiconductor junction comprising at least part of one of the electrodes to create a lateral potential gradient between the pair of electrodes through the photovoltaic effect in the semiconductor. Parameters, such as force and temperature, are detected based on measuring a change in electrical resistance of the semiconductor material due to the piezoresistive effect and/or the thermoresistive effect. An external potential difference can be applied between the pair of electrodes to create a tuning current to modulate the piezoresistive and thermoresistive effects in the semiconductor junction. The sensing platform is used for highly sensitive force sensors and highly sensitive temperature sensors.",UNIV GRIFFITH,DAO DZUNG;;DINH TOAN,,https://lens.org/125-627-818-496-121,Patent Application,no,0,0,9,9,0,G01L1/186;;G01L5/162;;G01K7/16;;H01L31/161;;H01L31/08;;H01L21/02447;;H01L21/02167;;H01L29/66219;;G01L1/18;;G01L9/06;;G01L9/0052;;G01L19/0092;;H01L31/08,G01K7/16;;G01L1/18;;G01L9/00;;H01L23/00;;H01L29/00;;H01L31/00;;H01L35/00;;H01L41/00,,0,0,,,,PENDING
5,US,A1,US 2022/0299390 A1,010-304-026-061-377,2022-09-22,2022,US 202017618106 A,2020-06-15,NL 2023306 A;;AU 2020/050602 W,2019-06-13,OPTOELECTRONIC COUPLING PLATFORMS AND SENSORS,"A sensing platform comprises a semiconductor junction, in particular a SiC/Si heterojunction, with a pair of electrodes located on a surface of an upper layer of the semiconductor junction in a spaced apart relationship. The sensing platform comprises a light source above the surface of the upper layer to illuminate a part of the surface of the semiconductor junction comprising at least part of one of the electrodes to create a lateral potential gradient between the pair of electrodes through the photovoltaic effect in the semiconductor. Parameters, such as force and temperature, are detected based on measuring a change in electrical resistance of the semiconductor material due to the piezoresistive effect and/or the thermoresistive effect. An external potential difference can be applied between the pair of electrodes to create a tuning current to modulate the piezoresistive and thermoresistive effects in the semiconductor junction. The sensing platform is used for highly sensitive force sensors and highly sensitive temperature sensors.",UNIV GRIFFITH,DAO DZUNG;;DINH TOAN,GRIFFITH UNIVERSITY (2022-03-18),https://lens.org/010-304-026-061-377,Patent Application,yes,0,0,9,9,0,G01L1/186;;G01L5/162;;G01K7/16;;H01L31/161;;H01L31/08;;H01L21/02447;;H01L21/02167;;H01L29/66219;;G01L1/18;;G01L9/06;;G01L9/0052;;G01L19/0092;;H01L31/08,G01L9/00;;G01L19/00;;H01L31/08,,0,0,,,,PENDING
6,EP,A4,EP 3983769 A4,174-390-271-015-834,2023-08-16,2023,EP 20821581 A,2020-06-15,NL 2023306 A;;AU 2020/050602 W,2019-06-13,OPTOELECTRONIC COUPLING PLATFORMS AND SENSORS,,UNIV GRIFFITH,DAO DZUNG;;DINH TOAN,,https://lens.org/174-390-271-015-834,Search Report,no,1,0,9,9,0,G01L1/186;;G01L5/162;;G01K7/16;;H01L31/161;;H01L31/08;;H01L21/02447;;H01L21/02167;;H01L29/66219;;G01L1/18;;G01L9/06;;G01L9/0052;;G01L19/0092;;H01L31/08,G01L1/18;;G01L9/06,,1,1,018-185-465-567-232,10.1021/acsami.7b12128;;29098850,"ABU RIDUAN MD FOISAL ET AL: ""Pushing the Limits of Piezoresistive Effect by Optomechanical Coupling in 3C-SiC/Si Heterostructure"", ACS APPLIED MATERIALS & INTERFACES, vol. 9, no. 46, 22 November 2017 (2017-11-22), US, pages 39921 - 39925, XP055673327, ISSN: 1944-8244, DOI: 10.1021/acsami.7b12128",PENDING
7,US,B2,US 7186254 B2,077-450-411-852-649,2007-03-06,2007,US 35778503 A,2003-02-04,US 35778503 A;;US 35987502 P,2002-02-25,Methods and apparatus for promoting fusion of vertebrae,"Methods and apparatuses for promoting fusion of vertebrae are provided. The apparatuses comprise interconnecting plates that fixate vertebrae to each other and provide for a predetermined amount of subsidence where the fusion occurs. Allowing for this predetermined amount of subsidence increases bone to bone contact at the graft, which promotes fusion without having excessive settling of the two vertebrae onto the graft. The predetermined amount of subsidence is achieved by the placement of a plate spacer between each of two interconnecting plates when the plates are attached to the vertebrae. The plate spacer has a height equal to the maximum amount of subsidence desired. After affixing the plates to the vertebrae, the plate spacer is removed, leaving a space between the plates, which allows the vertebrae to subside by a distance equal to the height of the plate spacer.",DINH DZUNG H;;VILLARRAGA MARTA L,DINH DZUNG H;;VILLARRAGA MARTA L,,https://lens.org/077-450-411-852-649,Granted Patent,yes,51,73,9,9,0,A61B17/7059;;A61B17/8004;;A61B17/8023;;A61B17/8023;;A61B17/8004;;A61B17/7059,A61B17/70;;A61B17/58;;A61B17/80;;A61F2/44,606/61;;606/71;;606/70,1,1,012-349-928-227-139,10.1016/s0021-9290(00)00110-x;;11006390,"Joshi, M.G., et al., ""Analysis of a femoral hip prosthesis designed to reduce stress shielding""; Journal of Biomechanics, 2000, pp. 1655-1662, vol. 33.",INACTIVE
8,WO,A1,WO 2003/071966 A1,044-123-813-608-168,2003-09-04,2003,US 0303272 W,2003-02-04,US 35987502 P,2002-02-25,METHODS AND APPARATUSES FOR PROMOTING FUSION OF VERTEBRAE,"Methods and apparatuses for promoting fusion of vertebrae are provided. The apparatuses comprise interconnecting plates (12, 14) that fixate vertebrae to each other and provide for a predetermined amount of subsidence where the fusion occurs. Allowing for this predetermined amount of subsidence increases bone-to-bone contact at the graft, which promotes fusion without having excessive settling of the two vertebrae onto the graft. The predetermined amount of subsidence is achieved by the placement of a plate spacer (100) between each of two interconnecting plates when the plates are attached to the vertebrae. The plate spacer has a height equal to the maximum amount of subsidence desired. After affixing the plates to the vertebrae, the plate spacer is removed, leaving a space between the plates, which allows the vertebrae to subside by a distance equal to the height of the plate spacer.",DINH DZUNG H;;VILLARRAGA MARTA L,DINH DZUNG H;;VILLARRAGA MARTA L,,https://lens.org/044-123-813-608-168,Patent Application,yes,2,0,9,9,0,A61B17/7059;;A61B17/8004;;A61B17/8023;;A61B17/8023;;A61B17/8004;;A61B17/7059,A61B17/70;;A61B17/58;;A61B17/80;;A61F2/44,,0,0,,,,PENDING
9,US,A1,US 2007/0162021 A1,194-986-985-706-824,2007-07-12,2007,US 69849807 A,2007-01-26,US 69849807 A;;US 35778503 A;;US 35987502 P,2002-02-25,Methods and apparatuses for promoting fusion of vertebrae,"Methods and apparatuses for promoting fusion of vertebrae are provided. The apparatuses comprise interconnecting plates that fixate vertebrae to each other and provide for a predetermined amount of subsidence where the fusion occurs. Allowing for this predetermined amount of subsidence increases bone to bone contact at the graft, which promotes fusion without having excessive settling of the two vertebrae onto the graft. The predetermined amount of subsidence is achieved by the placement of a plate spacer between each of two interconnecting plates when the plates are attached to the vertebrae. The plate spacer has a height equal to the maximum amount of subsidence desired. After affixing the plates to the vertebrae, the plate spacer is removed, leaving a space between the plates, which allows the vertebrae to subside by a distance equal to the height of the plate spacer.",DINH DZUNG H;;VILLARRAGA MARTA L,DINH DZUNG H;;VILLARRAGA MARTA L,,https://lens.org/194-986-985-706-824,Patent Application,yes,2,13,9,9,0,A61B17/7059;;A61B17/8004;;A61B17/8023;;A61B17/8023;;A61B17/8004;;A61B17/7059,A61B17/70;;A61B17/58;;A61B17/80;;A61F2/30;;A61F2/44,606/69,0,0,,,,DISCONTINUED
10,AU,A1,AU 2003/212914 A1,015-217-246-675-166,2003-09-09,2003,AU 2003/212914 A,2003-02-04,US 35987502 P;;US 0303272 W,2002-02-25,METHODS AND APPARATUSES FOR PROMOTING FUSION OF VERTEBRAE,,DINH DZUNG H;;VILLARRAGA MARTA L,VILLARRAGA MARTA L;;DINH DZUNG H,,https://lens.org/015-217-246-675-166,Patent Application,no,0,0,9,9,0,A61B17/7059;;A61B17/8004;;A61B17/8023;;A61B17/8023;;A61B17/8004;;A61B17/7059,A61B17/58;;A61B17/70;;A61B17/80;;A61F2/44,,0,0,,,,DISCONTINUED
