"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,WO,A1,WO 2010/022149 A1,089-952-755-167-018,2010-02-25,2010,US 2009/0054308 W,2009-08-19,US 9034108 P,2008-08-20,COMPLEMENT INHIBITORS FOR TREATMENT OF INJURY FORM INTRACEREBRAL HEMORRHAGE,Methods for treating or ameliorating the damage resulting from intracerebral hemorrhage are disclosed. The methods involve administration of a complement inhibitor to inhibit C3a or C5a formation or activity in the affected tissue. Pharmaceutical compositions suitable for use in the methods of the invention are also provided.,UNIV PENNSYLVANIA;;UNIV COLUMBIA;;LAMBRIS JOHN D;;CONNOLLY E SANDER,LAMBRIS JOHN D;;CONNOLLY E SANDER,,https://lens.org/089-952-755-167-018,Patent Application,yes,1,4,7,7,3,A61K38/08;;A61K38/12;;A61K45/06;;C07K16/2896;;A61P25/00;;A61P7/04;;A61K38/08;;A61K38/12;;A61K45/06;;C07K16/2896,A61K38/00;;A61K38/08,,2,1,050-608-511-778-439,16816116;;10.1096/fj.05-5814com,"WOODRUFF ET AL.: ""Therapeutic activity of C5a receptor antagonists in a rat model of neurodegeneration."", FASEB JOURNAL, vol. 20, 2006, pages 1407 - 1417, XP002463892;;See also references of EP 2331113A4",PENDING
2,AU,A1,AU 2009/283889 A1,089-262-498-784-710,2010-02-25,2010,AU 2009/283889 A,2009-08-19,US 9034108 P;;US 2009/0054308 W,2008-08-20,Complement inhibitors for treatment of injury form intracerebral hemorrhage,,UNIV COLUMBIA;;UNIV PENNSYLVANIA,LAMBRIS JOHN D;;CONNOLLY E SANDER,,https://lens.org/089-262-498-784-710,Patent Application,no,0,0,7,7,0,A61K38/08;;A61K38/12;;A61K45/06;;C07K16/2896;;A61P25/00;;A61P7/04;;A61K38/08;;A61K38/12;;A61K45/06;;C07K16/2896,A61K38/00;;A61K38/08,,0,0,,,,DISCONTINUED
3,EP,A4,EP 2331113 A4,170-609-000-661-090,2012-03-14,2012,EP 09808766 A,2009-08-19,US 2009/0054308 W;;US 9034108 P,2008-08-20,COMPLEMENT INHIBITORS FOR TREATMENT OF INJURY FORM INTRACEREBRAL HEMORRHAGE,,UNIV PENNSYLVANIA;;UNIV COLUMBIA,LAMBRIS JOHN D;;CONNOLLY E SANDER,,https://lens.org/170-609-000-661-090,Search Report,no,4,0,7,7,0,A61K38/08;;A61K38/12;;A61K45/06;;C07K16/2896;;A61P25/00;;A61P7/04;;A61K38/08;;A61K38/12;;A61K45/06;;C07K16/2896,A61K38/00;;A61K38/08;;A61P7/04,,3,1,028-281-536-489-204,10.1111/j.0886-0440.2005.200370.x;;15673408,"CHEN JOHN C ET AL: ""Pharmacologic C5-complement suppression reduces blood loss during on-pump cardiac surgery"", JOURNAL OF CARDIAC SURGERY, FUTURA PUBL., MOUNT KISCO, NY, US, vol. 20, no. 1, 1 January 2005 (2005-01-01), pages 35 - 41, XP009155476, ISSN: 0886-0440, [retrieved on 20050110];;HILLMEN PETER ET AL: ""The terminal complement inhibitor eculizumab reduces thrombosis in patients with paroxysmal nocturnal hemoglobinuria"", BLOOD, AMERICAN SOCIETY OF HEMATOLOGY, US, vol. 108, no. 11, Part 1, 1 November 2006 (2006-11-01), pages 40A - 41A, XP002482084, ISSN: 0006-4971;;See also references of WO 2010022149A1",DISCONTINUED
4,EP,A1,EP 2331113 A1,069-183-046-103-207,2011-06-15,2011,EP 09808766 A,2009-08-19,US 2009/0054308 W;;US 9034108 P,2008-08-20,COMPLEMENT INHIBITORS FOR TREATMENT OF INJURY FORM INTRACEREBRAL HEMORRHAGE,,UNIV PENNSYLVANIA;;UNIV COLUMBIA,LAMBRIS JOHN D;;CONNOLLY E SANDER,,https://lens.org/069-183-046-103-207,Patent Application,yes,0,0,7,7,3,A61K38/08;;A61K38/12;;A61K45/06;;C07K16/2896;;A61P25/00;;A61P7/04;;A61K38/08;;A61K38/12;;A61K45/06;;C07K16/2896,A61K38/00;;A61K38/08;;A61P7/04,,0,0,,,,DISCONTINUED
5,CA,A1,CA 2734866 A1,184-071-112-887-912,2010-02-25,2010,CA 2734866 A,2009-08-19,US 9034108 P;;US 2009/0054308 W,2008-08-20,COMPLEMENT INHIBITORS FOR TREATMENT OF INJURY FORM INTRACEREBRAL HEMORRHAGE,Methods for treating or ameliorating the damage resulting from intracerebral hemorrhage are disclosed. The methods involve administration of a complement inhibitor to inhibit C3a or C5a formation or activity in the affected tissue. Pharmaceutical compositions suitable for use in the methods of the invention are also provided.,UNIV PENNSYLVANIA;;UNIV COLUMBIA,LAMBRIS JOHN D;;CONNOLLY E SANDER,,https://lens.org/184-071-112-887-912,Patent Application,no,0,0,7,7,3,A61K38/08;;A61K38/12;;A61K45/06;;C07K16/2896;;A61P25/00;;A61P7/04;;A61K38/08;;A61K38/12;;A61K45/06;;C07K16/2896,A61K38/08;;A61K39/395;;A61K31/7088;;A61K38/12;;A61P25/00,,0,0,,,,DISCONTINUED
6,US,A1,US 2011/0256136 A1,149-856-173-018-295,2011-10-20,2011,US 200913059482 A,2009-08-19,US 200913059482 A;;US 9034108 P;;US 2009/0054308 W,2008-08-20,Complement Inhibitors For Treatment Of Injury From Intracerebral Hemorrhage,Methods for treating or ameliorating the damage resulting from intracerebral hemorrhage are disclosed. The methods involve administration of a complement inhibitor to inhibit C3 a or C5 a formation or activity in the affected tissue. Pharmaceutical compositions suitable for use in the methods of the invention are also provided.,LAMBRIS JOHN D;;CONNOLLY JR E SANDER,LAMBRIS JOHN D;;CONNOLLY JR E SANDER,THE TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA (2011-06-01),https://lens.org/149-856-173-018-295,Patent Application,yes,4,0,7,7,3,A61K38/08;;A61K38/12;;A61K45/06;;C07K16/2896;;A61P25/00;;A61P7/04;;A61K38/08;;A61K38/12;;A61K45/06;;C07K16/2896,A61K38/08;;A61K39/395;;A61K38/10;;A61K38/12;;A61P25/00,424/135.1;;514/17.7;;424/133.1,2,1,058-071-919-988-45X,18728680;;10.1038/jcbfm.2008.95;;pmc3731073,"Rynkowski et al. ""C3a receptor antagonist attenuates brain injury after intracerebral hemorrhage"" J.C.B.F.M., 29, 2009, 98-107;;Calbiochem product guide, 559410 SB290157, 2012, pp.1-2",ACTIVE
7,US,B2,US 9180160 B2,013-313-579-436-128,2015-11-10,2015,US 200913059482 A,2009-08-19,US 200913059482 A;;US 9034108 P;;US 2009/0054308 W,2008-08-20,Complement inhibitors for treatment of injury from intracerebral hemorrhage,Methods for treating or ameliorating the damage resulting from intracerebral hemorrhage are disclosed. The methods involve administration of a complement inhibitor to inhibit C3 a or C5 a formation or activity in the affected tissue. Pharmaceutical compositions suitable for use in the methods of the invention are also provided.,LAMBRIS JOHN D;;CONNOLLY JR E SANDER;;UNIV PENNSYLVANIA;;UNIV COLUMBIA,LAMBRIS JOHN D;;CONNOLLY JR E SANDER,THE TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA (2010-04-16),https://lens.org/013-313-579-436-128,Granted Patent,yes,11,0,7,7,3,A61K38/08;;A61K38/12;;A61K45/06;;C07K16/2896;;A61P25/00;;A61P7/04;;A61K38/08;;A61K38/12;;A61K45/06;;C07K16/2896,A61K38/08;;A61K38/12;;A61K45/06;;C07K16/28,,37,33,058-071-919-988-45X;;022-682-822-919-729;;086-127-693-211-271;;066-841-655-291-162;;035-081-115-342-527;;003-797-522-051-690;;022-878-471-975-570;;048-212-810-132-045;;081-490-266-984-960;;140-061-072-251-200;;095-688-901-318-257;;071-115-243-409-210;;042-092-920-167-458;;101-314-450-816-415;;044-893-032-949-921;;052-207-884-277-835;;002-264-966-090-625;;034-748-903-953-501;;113-371-660-677-966;;053-237-900-538-331;;104-504-411-677-690;;012-231-266-988-292;;071-584-724-256-763;;005-050-666-614-111;;094-199-520-454-956;;022-755-182-070-855;;072-055-755-132-66X;;007-683-525-809-161;;050-608-511-778-439;;153-263-439-316-208;;113-119-425-112-389;;046-932-089-873-018;;038-300-269-131-921,18728680;;10.1038/jcbfm.2008.95;;pmc3731073;;12472776;;10.1046/j.1523-1755.2003.00737.x;;16052609;;10.1002/eji.200526327;;10.1126/science.1494-b;;10.1126/science.242.4885.1494-b;;10.1016/s0065-2776(08)60674-4;;7872158;;16780818;;10.1016/j.brainres.2006.05.029;;10.1097/00004647-200302000-00010;;10.1097/01.wcb.0000046146.31247.a1;;12571454;;10.4049/jimmunol.170.7.3883;;12646657;;10.1038/sj.jcbfm.9600608;;18197178;;8193368;;10.1182/blood.v83.11.3324.3324;;15854749;;10.1016/j.neulet.2005.01.027;;14499250;;10.1016/s1521-6616(03)00160-8;;9134655;;10.1055/s-0038-1656046;;10.1074/jbc.m704247200;;17699522;;10395696;;10839264;;10.3171/jns.2000.92.6.1016;;10.1073/pnas.85.16.5879;;3045807;;pmc281868;;10.1074/jbc.m408570200;;15337748;;16778128;;10.1161/01.res.0000232544.90675.42;;10.1097/00004647-200405000-00002;;15129180;;8980020;;10.1006/nbdi.1996.0020;;16893082;;10.1007/0-387-34134-x_22;;18193028;;10.1038/nprot.2007.513;;12626590;;10.4049/jimmunol.170.6.3306;;10.1016/s0165-0173(98)00015-0;;9729408;;3390605;;10.1182/blood.v72.1.109.bloodjournal721109;;10.1182/blood.v72.1.109.109;;9527016;;10.1016/s0361-9230(97)00408-5;;11208721;;10.1053/gast.2001.20873;;16816116;;10.1096/fj.05-5814com;;1476621;;10.1161/01.str.32.1.162;;11136932;;12168319;;10.1007/978-3-7091-6738-0_66;;16552422;;10.1038/sj.jcbfm.9600305,"Rynkowski et al. ""C3a receptor antagonist attenuates brain injury after intracerebral hemorrhage"" J.C.B.F.M., 29, 2009, 98-107.;;Calbiochem product guide, 559410 SB290157, 2012, pp. 1-2.;;Arumugam et al., ""A small molecule C5a receptor antagonist protects kidney from ischemia/reperfusion injury"", Kidney Int., vol. 63, pp. 134-142 (2003).;;Atkinson et al., ""Complement-Dependent P-Selectin Expression and Injury following Ischemic Stroke"", J. Immunol. vol. 77. pp. 134-142 (2003).;;Bao et al., ""C5a promotes development of experimental lupus nephritis which can be blocked with a specific receptor . . . "", Eur. J. Immunol., vol. 35, pp. 2496-2506 (2005).;;Bird et al., ""Single-chain antigen-binding proteins"", Science, vol. 242, pp. 423-426 (1988).;;Burton et al., ""Human antibodies from combinatorial libraries"", Adv. Immunol., vol. 57, pp. 191-280 (1994).;;Costa et al., ""Role of complement component C5 in cerebral ischemia/reperfusion injury"", Brain Res., vol. 1100, pp. 142-151 (2006).;;De Simoni et al., ""Neuroprotection by complement (C1) inhibitor in mouse transient brain ischemia"", J. Cereb. Blood Flow Metab., vol. 23, pp. 232-239 (2003).;;De Vries et al., ""Complement Factor C5a Mediates Renal Ischemia-Reperfusion Injury Independent from Neutrophils"", J. Immunol., vol. 170, pp. 3883-3889 (2003).;;Ducruet et al., ""C3a receptor modulation of granulocyte infiltration after murine focal cerebral ischemia is . . . "", J. Cereb. Blood Flow Metab., vol. 28, pp. 1048-1058 (2008).;;Elsner et al., ""C3a Activates the Respiratory Burst in Human Polymorphonuclear Neutrophilic Leukocytes Via Pertussis Toxin . . . "", Blood, vol. 83, pp. 3324-3331 (1994).;;Figueroa et al,. ""The administration of cobra venom factor reduces post-ischemic cerebral injury in adult and neonatal rats"", Neurosci. Lett., vol. 380, pp. 48-53 (2005).;;Fleming et al., ""C5a causes limited, polymorphonuclear cell-independent, mesenteric ischemia/reperfusion-induced injury"", Clin. Immunol., vol. 108, pp. 263-273 (2003).;;Gu et al., ""Construction and expression of mouse-human chimeric antibody SZ-51 specific for activated platelet P-selectin"", Thromb. Hema., vol. 77, pp. 755-759 (1997).;;Hammel et al., ""Characterization of Ehp, a secreted complement inhibitory protein from Staphylococcus aureus"", J. Biol. Chem., vol. 282, pp. 30051-30061 (2007).;;Heller et al., ""Selection of a C5a Receptor Antagonist from Phage Libraries Attenuating the Inflammatory Response in Immune . . . "", J. Immunol., vol. 163, pp. 985-994 (1999).;;Hua et al., ""Complement activation in the brain after experimental intracerebral hemorrhage"", J. Neurosurg., vol. 92, pp. 1016-1022 (2000).;;Huston et al., ""Protein engineering of antibody binding sites: recovery of specific activity in an anti- . . . "", Proc. Natl. Acad. Sci. USA, vol. 85, pp. 5879-5883 (1988).;;Lee et al., ""Identification and Characterization of the C3 Binding Domain of the Staphylococcus aureus Extra . . . "", J. Biol. Chem., vol. 279, pp. 50710-50716 (2004).;;Mocco et al., ""Complement Component C3 Mediates Inflammatory Injury Following Focal Cerebral Ischemia"", Circ. Res., vol. 99, pp. 209-217 (2006).;;Morikis et al., ""Design, Structure, Function and Application of Compstatin"" in Bioactive Peptides . . . , IOS Press, Amsterdam NL, pp. 235-246 (1999).;;Nakamura et al., ""Intracerebral hemorrhage in mice: model characterization and application for genetically "", J. Cereb. Blood Flow Metab., vol. 24, pp. 487-494 (2004).;;Pasinetti et al., ""Hereditary deficiencies in complement C5 are associated with intensified neurodegenerative responses . . . "" Neurobiol. Dis., vol. 3, pp. 197-204 (1996).;;Proctor et al., ""Transdermal pharmacology of small molecule cyclic C5a antagonists"", Adv. Exp. Med. Biol., vol. 586, pp. 329-345 (2006).;;Rynkowski et al., ""A mouse model of intracerebral hemorrhage using autologous blood infusion"", Nat. Protoc., vol. 3, pp. 122-128 (2008).;;Soruri et al., ""IL-4 down-regulates anaphylatoxin receptors in monocytes and dendritic cells and impairs anaphylatoxin-induced . . . "", J. Immunol., vol. 170, pp. 3306-3314 (2003).;;Stahel et al., ""The role of the complement system in traumatic brain injury"", Brain Res. Rev., vol. 27, pp. 243-256 (1998).;;Tuszynski et al., ""Thrombospondin promotes platelet aggregation"", Blood, vol. 72, pp. 109-115 (1988).;;Vasthare et al., ""Complement depletion improves neurological function in cerebral ischemia"", Brain Res. Bull., vol. 45, pp. 413-419 (1998).;;Wada et al., ""Inhibition of complement C5 reduces local and remote organ injury after intestinal ischemia/reperfusion in . . . "", Gastroenterology, vol. 120, pp. 126-133 (2001).;;Woodruff, et al., ""Therapeutic activity of C5a receptor antagonists in a rat model of neurodegeneration"", FASEB J., vol. 20, pp. 1407-1417 (2006).;;Wright et al., ""Genetically engineered antibodies: progress and prospects"", Crit. Rev. Immunol., vol. 12, pp. 125-168 (1992).;;Xi et al., ""Systemic complement depletion diminishes perihematomal brain edema in rats"", Stroke, vol. 32, pp. 162-167 (2001).;;Xi et al., ""Brain edema after intracerebral hemorrhage: the effects of systemic complement depletion"", Acta Neurachir. Suppl., vol. 81, pp. 253-256 (2002).;;Yang et al., ""The role of complement C3 in intracerebral hemorrhage-induced brain injury"", J. Cereb. Blood Flow Metab., vol. 26, pp. 1490-1495 (2006).;;International Search Report in PCT/US2009/054308, mailed Jan. 26, 2010.",ACTIVE
8,WO,A2,WO 2008/033285 A2,040-557-794-521-202,2008-03-20,2008,US 2007/0019605 W,2007-09-07,US 84504806 P,2006-09-15,DELIVERY OF DOUBLE-STRANDED RNA INTO THE CENTRAL NERVOUS SYSTEM,"The present invention provides for compositions and methods for in vivo delivery of a cell-permeable complex to cells of the central nervous system, wherein the cell-permeable complex decreases the level of a functional target protein encoded by a target mRNA molecule. In preferred embodiments of the invention, the cell-permeable complex comprises an siRNA nucleic acid molecule operably linked to a cell-penetrating peptide, wherein the cell-penetrating peptide facilitates transport of the cell-permeable complex across both the blood brain barrier and cell membrane of a target cell. The methods of the invention further encompass the utilization of convection-enhanced delivery methods such as intracerebral clysis (ICC) to deliver the cell-permeable complex to the target cells of the central nervous system.",TRUSTEES OF CULUMBIA UNIVERSIT;;TROY CAROL M;;CONNOLLY E SANDER;;PRUNELL GISELLE F;;DUCRUET ANDREW F,TROY CAROL M;;CONNOLLY E SANDER;;PRUNELL GISELLE F;;DUCRUET ANDREW F,,https://lens.org/040-557-794-521-202,Patent Application,yes,0,17,3,3,23,C12N15/111;;C12N15/113;;C12N2310/14;;C12N2310/3513;;C12N2320/32;;C12N15/111;;C12N2310/3513;;C12N2320/32;;C12N2310/14;;C12N15/113,H04Q5/24,,0,0,,,,PENDING
9,US,A1,US 2009/0280058 A1,137-410-957-433-655,2009-11-12,2009,US 39747809 A,2009-03-04,US 39747809 A;;US 2007/0019605 W;;US 84504806 P,2006-09-15,Delivery Of Double-Stranded RNA Into The Central Nervous System,"The present invention provides for compositions and methods for in vivo delivery of a cell-permeable complex to cells of the central nervous system, wherein the cell-permeable complex decreases the level of a functional target protein encoded by a target mRNA molecule. In preferred embodiments of the invention, the cell-permeable complex comprises an siRNA nucleic acid molecule operably linked to a cell-penetrating peptide, wherein the cell-penetrating peptide facilitates transport of the cell-permeable complex across both the blood brain barrier and cell membrane of a target cell. The methods of the invention further encompass the utilization of convection-enhanced delivery methods such as intracerebral clysis (ICC) to deliver the cell-permeable complex to the target cells of the central nervous system.",TROY CAROL M;;CONNOLLY SANDER E;;PRUNELL GISELLE F;;DUCRUET ANDREW F,TROY CAROL M;;CONNOLLY SANDER E;;PRUNELL GISELLE F;;DUCRUET ANDREW F,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK (2009-04-21),https://lens.org/137-410-957-433-655,Patent Application,yes,11,13,3,3,23,C12N15/111;;C12N15/113;;C12N2310/14;;C12N2310/3513;;C12N2320/32;;C12N15/111;;C12N2310/3513;;C12N2320/32;;C12N2310/14;;C12N15/113,A61K38/00;;A61K51/00;;A61K38/54,424/1.69;;514/2;;424/94.3,1,1,016-338-240-406-114,pmc6730191;;10.1523/jneurosci.3643-04.2004;;15537872,"Davidson et al (The Journal of Neuroscience, 2004, 24(45):10040-10046)",DISCONTINUED
10,WO,A3,WO 2008/033285 A3,088-047-970-625-919,2009-04-16,2009,US 2007/0019605 W,2007-09-07,US 84504806 P,2006-09-15,DELIVERY OF DOUBLE-STRANDED RNA INTO THE CENTRAL NERVOUS SYSTEM,"The present invention provides for compositions and methods for in vivo delivery of a cell-permeable complex to cells of the central nervous system, wherein the cell-permeable complex decreases the level of a functional target protein encoded by a target mRNA molecule. In preferred embodiments of the invention, the cell-permeable complex comprises an siRNA nucleic acid molecule operably linked to a cell-penetrating peptide, wherein the cell-penetrating peptide facilitates transport of the cell-permeable complex across both the blood brain barrier and cell membrane of a target cell. The methods of the invention further encompass the utilization of convection-enhanced delivery methods such as intracerebral clysis (ICC) to deliver the cell-permeable complex to the target cells of the central nervous system.",TRUSTEES OF CULUMBIA UNIVERSIT;;TROY CAROL M;;CONNOLLY E SANDER;;PRUNELL GISELLE F;;DUCRUET ANDREW F,TROY CAROL M;;CONNOLLY E SANDER;;PRUNELL GISELLE F;;DUCRUET ANDREW F,,https://lens.org/088-047-970-625-919,Search Report,yes,2,0,3,3,23,C12N15/111;;C12N15/113;;C12N2310/14;;C12N2310/3513;;C12N2320/32;;C12N15/111;;C12N2310/3513;;C12N2320/32;;C12N2310/14;;C12N15/113,A61K31/70;;A61K38/00,,2,2,055-858-494-487-00X;;008-891-144-845-372,16554356;;10.1124/jpet.105.097139;;10.1074/jbc.m205167200;;12097334,"MICHAELIS ET AL.: ""Covalent linkage of apolipoprotein e to albumin nanoparticles strongly enhances drug transport into the brain."", J. PHARMACOL. EXP. THER., vol. 317, no. 3, June 2006 (2006-06-01), pages 1246 - 1253, XP002451305, DOI: doi:10.1124/jpet.105.097139;;TROY ET AL.: ""Mechanisms of p75-mediated Death of Hippocampal Neurons."", J. BIOL. CHEM., vol. 277, no. 37, 13 September 2002 (2002-09-13), pages 34295 - 34302",PENDING
