"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,DE,A1,DE 102006032399 A1,064-323-046-662-367,2008-01-17,2008,DE 102006032399 A,2006-07-07,DE 102006032399 A,2006-07-07,Vorrichtung und Verfahren zur Zuführung von Harnstoff in ein Abgassystem eines Verbrennungsmotors,"Die Erfindung betrifft eine Vorrichtung zur Zuführung von Harnstoff in ein Abgassystem eines Verbrennungsmotors, mit mindestens einem Harnstoffvorrat (2), wobei der Harnstoff zumindest teilweise fest ist, mindestens einer Schmelzvorrichtung (4, 17, 27) zur Herstellung von Harnstoffschmelze (6) aus dem zumindest teilweise festen Harnstoff, mindestens einem ersten Fördermittel (17, 18; 24, 26) zum Fördern des zumindest teilweise festen Harnstoffs zur Schmelzvorrichtung (4, 17, 27) und/oder zum Fördern der Harnstoffschmelze (6) zum Abgassystem (13) und mindestens einem Zuführmittel (11) zum Zuführen der Harnstoffschmelze (6) in das Abgassystem (13). Die Erfindung betrifft ferner ein Verfahren zur Zuführung von Harnstoff in ein Abgassystem (13) eines Verbrennungsmotors, bei dem zumindest teilweise fester Harnstoff eines Harnstoffvorrats (2) zu mindestens einer Schmelzvorrichtung (4, 17, 27) zur Herstellung von Harnstoffschmelze (6) gefördert wird und anschließend mit mindestens einem Zuführmittel (12) in das Abgassystem (13) eingetragen wird. Die Erfindung betrifft darüber hinaus eine Kartusche und einen Behälter zur Aufnahme eines Harnstoffvorrats.",AMI AGROLINZ MELAMINE INT GMBH,COUFAL GERHARD;;ENDESFELDER ANDREAS;;FELLNER JOHANNES;;SCHROEDER FRANK,,https://lens.org/064-323-046-662-367,Patent Application,no,5,5,2,2,0,B01D53/90;;B01D53/9431;;B01D2251/2067;;F01N3/2066;;F01N2240/40;;F01N2450/30;;F01N2610/02;;F01N2610/06;;F01N2610/10;;F01N2610/14;;F01N2610/1493;;Y02T10/12,F01N3/10;;B01D53/94,,0,0,,,,DISCONTINUED
2,WO,A1,WO 2003/045538 A1,006-377-327-779-131,2003-06-05,2003,DE 0204250 W,2002-11-14,AT 18062001 A;;DE 10229101 A,2001-11-16,METHOD FOR PURIFYING OFF-GASES FROM A MELAMINE-PRODUCING INSTALLATION,"The invention relates to a method for purifying off-gases from a high-pressure melamine-producing installation, with formation of melamine intermediates. According to the inventive method, the off-gases are brought into contact, in a first step, with circulatory melted massed of urea containing melamine intermediates and NH3, and, in a second step, with a fresh melted mass of urea.",AGROLINZ MELAMIN GMBH;;SCHROEDER FRANK;;BUCKA HARTMUT;;NEUMUELLER CHRISTOPH;;COUFAL GERHARD,SCHROEDER FRANK;;BUCKA HARTMUT;;NEUMUELLER CHRISTOPH;;COUFAL GERHARD,,https://lens.org/006-377-327-779-131,Patent Application,yes,7,0,15,21,0,B01D53/1487;;B01D53/1493;;B01D53/54;;C07D251/62;;C07D251/62;;B01D53/1493;;B01D53/1487;;B01D53/54,B01J10/00;;B01D53/14;;B01D53/54;;B01D53/73;;C07D251/62,,0,0,,,,PATENTED
3,BR,A,BR 0214165 A,136-571-069-701-077,2004-09-28,2004,BR 0214165 A,2002-11-14,AT 18062001 A;;DE 10229101 A;;DE 0204250 W,2001-11-16,Processo para purificar gases impróprios de uma fabrica melamina,"""PROCESSO PARA PURIFICAR GASES IMPRóPRIOS DE UMA FáBRICA DE MELAMINA"". A presente invenção refere-se a um método para purificar gases impróprios de uma instalação produzindo melamina de pressão elevada, com formação de intermediários de melamina. De acordo com o método da invenção, os gases impróprios são trazidos em contato, em uma primeira etapa, com a massa fundida circulatória de uréia contendo intermediários de melamina e NH~ 3~, e, em uma segunda etapa, com uma massa fundida fresca de uréia.",AMI AGROLINZ MELAMINE INT GMBH,SCHROEDER FRANK;;BUCKA HARTMUT;;NEUMUELLER CHRISTOPH;;COUFAL GERHARD,,https://lens.org/136-571-069-701-077,Patent Application,no,0,0,15,21,0,B01D53/1487;;B01D53/1493;;B01D53/54;;C07D251/62;;C07D251/62;;B01D53/1493;;B01D53/1487;;B01D53/54,B01J10/00;;B01D53/14;;B01D53/54;;B01D53/73;;C07D251/62,,0,0,,,,DISCONTINUED
4,DE,D1,DE 50204130 D1,187-107-484-391-572,2005-10-06,2005,DE 50204130 T,2002-11-14,AT 18062001 A;;DE 10229101 A;;DE 0204250 W;;DE 50204130 T,2001-11-16,VERFAHREN ZUR REINIGUNG VON OFFGASEN EINER MELAMINANLAGE,,AMI AGROLINZ MELAMINE INT GMBH,SCHROEDER FRANK;;BUCKA HARTMUT;;NEUMUELLER CHRISTOPH;;COUFAL GERHARD,,https://lens.org/187-107-484-391-572,Granted Patent,no,0,0,15,21,0,B01D53/1487;;B01D53/1493;;B01D53/54;;C07D251/62;;C07D251/62;;B01D53/1493;;B01D53/1487;;B01D53/54,B01J10/00;;B01D53/14;;B01D53/54;;B01D53/73;;C07D251/62,,0,0,,,,EXPIRED
5,AT,T1,AT E303197 T1,166-620-427-871-524,2005-09-15,2005,AT 02787376 T,2002-11-14,AT 18062001 A;;DE 10229101 A;;DE 0204250 W;;EP 02787376 A,2001-11-16,VERFAHREN ZUR REINIGUNG VON OFFGASEN EINER MELAMINANLAGE,,AMI AGROLINZ MELAMINE INT GMBH,SCHROEDER FRANK;;BUCKA HARTMUT;;NEUMUELLER CHRISTOPH;;COUFAL GERHARD,,https://lens.org/166-620-427-871-524,Granted Patent,no,0,0,1,21,0,,B01D53/54;;B01D53/73;;B01D53/78;;B01J3/04;;B01J10/00;;C07C273/12;;C07D251/60,,0,0,,,,EXPIRED
6,PL,A1,PL 368283 A1,023-914-760-799-034,2005-03-21,2005,PL 36828302 A,2002-11-14,AT 18062001 A;;DE 10229101 A,2001-11-16,METHOD FOR PURIFYING OFF-GASES FROM A MELAMINE-PRODUCING INSTALLATION,,AMI AGROLINZ MELAMINE INT GMBH,SCHRODER FRANK;;BUCKA HARTMUT;;NEUMULLER CHRISTOPH;;COUFAL GERHARD,,https://lens.org/023-914-760-799-034,Patent Application,no,0,0,15,21,0,B01D53/1487;;B01D53/1493;;B01D53/54;;C07D251/62;;C07D251/62;;B01D53/1493;;B01D53/1487;;B01D53/54,B01J10/00;;B01D53/14;;B01D53/54;;B01D53/73;;C07D251/62,,0,0,,,,EXPIRED
7,CN,C,CN 100518896 C,035-338-452-028-767,2009-07-29,2009,CN 02822698 A,2002-11-14,AT 18062001 A;;DE 10229101 A,2001-11-16,Method for purifying off-gases from a melamine-producing installation,,AGROLINZ MELAMIN GMBH,FRANK SCHROEDER;;HARTMUT BUCKA;;CHRISTOPH NEUMUELLER;;GERHARD COUFAL,BOREALIS AGROLINZ MELAMINE GMBH (2014-06-18);;UREA CASALE S. A. (2014-05-21),https://lens.org/035-338-452-028-767,Granted Patent,no,0,0,15,21,0,B01D53/1487;;B01D53/1493;;B01D53/54;;C07D251/62;;C07D251/62;;B01D53/1493;;B01D53/1487;;B01D53/54,B01D53/73;;B01J10/00;;B01D53/14;;B01D53/54;;C07D251/62,,0,0,,,,EXPIRED
8,PL,B1,PL 206366 B1,090-579-817-016-139,2010-07-30,2010,PL 36828302 A,2002-11-14,AT 18062001 A;;DE 10229101 A,2001-11-16,METHOD FOR PURIFYING OFF-GASES FROM A MELAMINE-PRODUCING INSTALLATION,,AMI-AGROLINZ MELAMINE INTERNATIONAL GMBHAMI-AGROLINZ MELAMINE INTERNATIONAL GMBH,SCHROEDER FRANK;;BUCKA HARTMUT;;NEUMUELLER CHRISTOPH;;COUFAL GERHARD,,https://lens.org/090-579-817-016-139,Granted Patent,no,0,1,15,21,0,B01D53/1487;;B01D53/1493;;B01D53/54;;C07D251/62;;C07D251/62;;B01D53/1493;;B01D53/1487;;B01D53/54,B01D53/73;;B01J10/00;;B01D53/14;;B01D53/54;;B01D53/78;;B01J3/04;;C07C273/12;;C07D251/60;;C07D251/62,,0,0,,,,EXPIRED
9,DE,A1,DE 10229101 A1,128-709-998-287-834,2003-07-17,2003,DE 10229101 A,2002-06-25,AT 18062001 A,2001-11-16,Purifying off-gases from a high-pressure melamine plant comprises contacting the gases first with a recycle urea melt containing melamine precursors and ammonia and then with fresh urea melt,Process for purifying off-gases from a high-pressure melamine plant comprises contacting the gases with a recycle urea melt containing melamine precursors and ammonia in a first stage and then with fresh urea melt in a second stage. An Independent claim is also included for a process for producing melamine in which the melamine synthesis reactor is supplied with a mixture of fresh urea melt and a recycle urea melt containing melamine precursors and ammonia.,AGROLINZ MELAMIN GMBH LINZ,BUCKA HARTMUT;;COUFAL GERHARD;;NEUMUELLER CHRISTOPH;;SCHROEDER FRANK,,https://lens.org/128-709-998-287-834,Patent Application,no,0,6,5,21,0,B01D53/54;;B01D53/78;;B01D53/1487;;B01D53/1493;;C07D251/62,B01D53/14;;B01D53/54;;C07D251/62,,0,0,,,,DISCONTINUED
10,US,A1,US 2005/0056147 A1,156-697-239-979-442,2005-03-17,2005,US 49531004 A,2004-09-30,AT 18062001 A;;DE 10229101 A;;DE 0204250 W,2001-11-16,Method for purifying off-gases from a melamine-producing installation,"A two-stage process is provided for purifying off-gases from a high-pressure melamine plant. In the first stage, the off-gases are contacted with a recirculated urea melt containing melamine precursors and NH 3 . In the second stage, the off-gases are contacted with a fresh urea melt.",SCHRODER FRANK;;BUCKA HARTMUT;;NEUMULLER CHRISTOPH;;COUFAL GERHARD,SCHRODER FRANK;;BUCKA HARTMUT;;NEUMULLER CHRISTOPH;;COUFAL GERHARD,AMI-AGROLINZ MELAMINE INTERNATIONAL GMBH (2004-06-03);;UREA CASALE SA (2013-12-09),https://lens.org/156-697-239-979-442,Patent Application,yes,7,7,15,21,0,B01D53/1487;;B01D53/1493;;B01D53/54;;C07D251/62;;C07D251/62;;B01D53/1493;;B01D53/1487;;B01D53/54,B01J10/00;;B01D53/14;;B01D53/54;;B01D53/73;;C07D251/62,95/87,0,0,,,,EXPIRED
