"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,GB,A,GB 925096 A,148-657-344-370-616,1963-05-01,1963,GB 3927560 A,1960-11-16,GB 3927560 A,1960-11-16,Improvements relating to the manufacture of fluted cutting tools,"925,096. Rolling; making fluted cutting-tools. FRED FOWLER Ltd. Feb. 16, 1962 [Nov. 16, 1960], No. 39275/60. Classes 83 (2) and 83 (4). A method of forming a fluted cutting-tool includes heating a wire blank to a forging temperature and rolling the wire between a plurality of freely-rotating rolls, movement of the blank past the rolls forming swarf clearance flutes in the blank. Wire blanks 12 are fed by an hydraulic pusher 15 from a magazine 11, past an induction heating coil 18, and through a cylindrical guide 20 to work rolls 24 and 25. The rolls 25 support the blank while the rolls 24 which include projections 39 and a knurled periphery form straight flutes. The rolls are radially adjustable and the rolls 24 can be skewed to give spiral flutes. The rolls 24 are synchronized by a Bowden cable 42, and for resetting the rolls are moved clear of the work and rotated in the reverse direction. A gripping head 41 is used for gripping small workpieces. Fig. 4 shows how the rolls 25 may be profiled to produce a land 36 and relief 37 on a blank, 35 being the swarf clearance flutes.",FRED FOWLER LTD,FOWLER FRED,,https://lens.org/148-657-344-370-616,Granted Patent,no,0,0,1,1,0,B21H3/10,B21H3/10,B3M ME            ME;;B3M M11C          ME;;B3M M11K          ME;;B3M M15B2G1       ME;;B3M M17A5         ME;;B3M M17D          ME;;B3M M17X          ME;;B3M M19C          ME;;B3M M29           ME;;B3M M5            ME;;B3M M6            ME;;B3M M9C           ME;;B3M M9G           ME;;B3M M9V           ME,0,0,,,,EXPIRED
2,US,A,US 1969127 A,179-448-766-321-826,1934-08-07,1934,US 67244333 A,1933-05-23,US 67244333 A,1933-05-23,Apparatus for treating rubber slabs,,HOOD RUBBER CO INC,FOWLER FRED D,,https://lens.org/179-448-766-321-826,Granted Patent,no,0,0,1,1,0,B29C71/02;;B29K2021/00;;Y10S425/235;;B29C71/02;;B29K2021/00;;Y10S425/235,,,0,0,,,,EXPIRED
3,US,A,US 1958137 A,121-709-704-244-085,1934-05-08,1934,US 66219133 A,1933-03-23,US 66219133 A,1933-03-23,Apparatus for cutting lengths from alpha traveling web,,HOOD RUBBER CO INC,FOWLER FRED D,,https://lens.org/121-709-704-244-085,Granted Patent,no,0,4,1,1,0,B26D3/003;;B26D3/003;;B26D5/22;;B26D5/22;;Y10S206/82;;Y10S206/82;;Y10T83/4693;;Y10T83/4693;;Y10T83/4838;;Y10T83/4838,B26D1/00;;B26D5/22,,0,0,,,,EXPIRED
4,US,A,US 1860410 A,134-622-626-904-331,1932-05-31,1932,US 25723028 A,1928-02-27,US 25723028 A,1928-02-27,Expanding pulley,,HOOD RUBBER CO INC,FOWLER FRED D,,https://lens.org/134-622-626-904-331,Granted Patent,no,0,0,1,1,0,F16H55/54;;F16H55/54,F16H55/54,,0,0,,,,EXPIRED
5,US,A,US 2277313 A,066-204-511-439-269,1942-03-24,1942,US 34935540 A,1940-08-01,US 34935540 A,1940-08-01,Change-roll calender,,GOODRICH CO B F,FOWLER FRED D,,https://lens.org/066-204-511-439-269,Granted Patent,no,0,14,1,1,0,B29B7/68;;B29B7/68;;Y10S425/235,B29B7/68,,0,0,,,,EXPIRED
6,US,A,US 1531435 A,129-124-127-972-900,1925-03-31,1925,US 67614823 A,1923-11-21,US 67614823 A,1923-11-21,Tread-applying machine for solid tires,,HOOD RUBBER CO INC,FOWLER FRED D,,https://lens.org/129-124-127-972-900,Granted Patent,no,0,0,1,1,0,B29D30/02;;B29D30/02,B29D30/02,,0,0,,,,EXPIRED
7,US,A,US 2187024 A,086-149-618-360-370,1940-01-16,1940,US 21385238 A,1938-06-15,US 21385238 A,1938-06-15,Method of compacting articles,,HOOD RUBBER CO INC,FOWLER FRED D,,https://lens.org/086-149-618-360-370,Granted Patent,no,0,5,1,1,0,A43D25/183;;A43D25/183;;B29D35/06;;B29D35/06;;B29K2021/00;;B29K2021/00;;Y10S264/50;;Y10S264/50;;Y10S264/72;;Y10S264/72;;Y10T156/10;;Y10T156/10,A43D25/18;;B29D35/06,,0,0,,,,EXPIRED
8,US,A,US 1942398 A,194-355-194-464-135,1934-01-09,1934,US 51735131 A,1931-02-20,US 51735131 A,1931-02-20,Apparatus for producing embossed articles from plastic strip material,,GOODRICH CO B F,FOWLER FRED D,,https://lens.org/194-355-194-464-135,Granted Patent,no,0,7,1,1,0,A43D8/22;;A43D8/22;;A43D95/14;;A43D95/14;;B29C69/001;;B29C69/001;;Y10S425/235;;Y10S425/235;;Y10T83/2079;;Y10T83/2079;;Y10T83/2192;;Y10T83/2192;;Y10T83/222;;Y10T83/222;;Y10T83/4529;;Y10T83/4529;;Y10T83/4549;;Y10T83/4549;;Y10T83/8756;;Y10T83/8756,,,0,0,,,,EXPIRED
9,US,A,US 1502027 A,060-103-550-275-745,1924-07-22,1924,US 67260723 A,1923-11-03,US 67260723 A,1923-11-03,Method of manufacturing cushion tires,,HOOD RUBBER CO INC,FOWLER FRED D,,https://lens.org/060-103-550-275-745,Granted Patent,no,0,5,1,1,0,B29D30/02;;B29D30/02;;Y10T156/1038;;Y10T156/1038,B29D30/02,,0,0,,,,EXPIRED
10,US,A,US 1998867 A,078-441-169-673-301,1935-04-23,1935,US 70505334 A,1934-01-03,US 70505334 A,1934-01-03,Shank reenforcement for shoes,,HOOD RUBBER CO INC,FOWLER FRED D,,https://lens.org/078-441-169-673-301,Granted Patent,no,0,0,1,1,0,A43B23/22;;A43B23/22,A43B23/22,,0,0,,,,EXPIRED
11,US,A,US 1974209 A,102-489-396-743-278,1934-09-18,1934,US 64170232 A,1932-11-08,US 64170232 A,1932-11-08,Method of forming articles of rubber material,,HOOD RUBBER CO INC,FOWLER FRED D,,https://lens.org/102-489-396-743-278,Granted Patent,no,0,13,1,1,0,B29D99/0078;;B29D99/0078;;B29K2021/00;;B29K2021/00;;B29L2031/731;;B29L2031/731;;Y10T428/24826;;Y10T428/24826;;Y10T428/24851;;Y10T428/24851,B29D99/00,B5S S17Y          KA          -;;B5S S171          KA          -;;B5S S22Y          KA          -;;B5S S241          KA          -;;B5S S542          KA          -;;B5S S545          KA          -;;B5S S57X          KA          -;;B5S S574          KA          -;;B5S S620          KA          -;;B5S S670          KA          -;;B5S S674          KA          -;;B5S S678          KA          -;;B5S S679          KA          -;;B5S S69X          KA          -;;B5S S691          KA          -;;B5S S727          KA          -;;B5S S734          KA          -;;B5S S735          KA          -;;B5S S736          KA          -;;B5S S747          KA          -;;B5S S753          KA          -;;B5S S760          KA          -;;B5S S761          KA          -;;B5S S763          KA          -;;B5S S766          KA          -;;B5S S77Y          KA          -;;B5S S784          KA          -;;B5S S794          KA          -,0,0,,,,EXPIRED
12,US,A,US 1763297 A,116-275-988-055-641,1930-06-10,1930,US 24510528 A,1928-01-07,US 24510528 A,1928-01-07,Machine for covering tire beads,,HOOD RUBBER CO INC,FOWLER FRED D,,https://lens.org/116-275-988-055-641,Granted Patent,no,0,4,1,1,0,B29D30/50;;B29D30/50,B29D30/50,,0,0,,,,EXPIRED
13,US,A,US 1998866 A,146-396-359-632-935,1935-04-23,1935,US 69811733 A,1933-11-15,US 69811733 A,1933-11-15,Method and apparatus for calendering plastic material,,HOOD RUBBER CO INC,FOWLER FRED D,,https://lens.org/146-396-359-632-935,Granted Patent,no,0,5,1,1,0,B29C43/22;;B29C55/18;;B29D35/122;;B29D35/128;;Y10S425/235;;Y10T156/1069;;Y10T156/1069;;B29C55/18;;B29D35/128;;B29D35/122;;B29C43/22;;Y10S425/235,,,0,0,,,,EXPIRED
14,US,A,US 1977720 A,173-269-393-608-004,1934-10-23,1934,US 68759333 A,1933-08-31,US 68759333 A,1933-08-31,Web delivery apparatus,,HOOD RUBBER CO INC,FOWLER FRED D,,https://lens.org/173-269-393-608-004,Granted Patent,no,0,8,1,1,0,B65H23/1888;;B65H23/1888;;B65H2301/3112;;B65H2301/3112,B65H23/188,,0,0,,,,EXPIRED
