"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A,US 3519566 A,166-246-220-439-921,1970-07-07,1970,US 3519566D A,1966-11-07,US 59233666 A;;US 59234466 A,1966-11-07,METHOD OF MAKING ELECTROPHOTOGRAPHIC DEVELOPER FOR ETCH RESIST IMAGE PATTERNS,,DOW CHEMICAL CO,GARRETT WALTER L;;GILLESPIE HENDERSON C,,https://lens.org/166-246-220-439-921,Granted Patent,no,4,3,5,5,0,G03G9/13;;G03G9/132;;G03G9/1355;;Y10S430/105;;G03G9/132;;G03G9/1355;;G03G9/13;;Y10S430/105,G03G9/13;;G03G9/135,252/62.1,0,0,,,,EXPIRED
2,CA,A,CA 879024 A,005-294-523-332-548,1971-08-24,1971,CA 879024D A,,CA 879024T A,,ELECTROPHOTOGRAPHIC DEVELOPER,,DOW CHEMICAL CO,GILLESPIE HENDERSON C;;GARRETT WALTER L,,https://lens.org/005-294-523-332-548,Granted Patent,no,0,0,1,1,0,,,,0,0,,,,EXPIRED
3,US,A,US 3522181 A,029-690-036-271-691,1970-07-28,1970,US 3522181D A,1966-11-07,US 59233666 A;;US 59234466 A,1966-11-07,ELECTROPHOTOGRAPHIC DEVELOPER,,DOW CHEMICAL CO,GARRETT WALTER L;;GILLESPIE HENDERSON C;;SCIAMBI LOUIS J,,https://lens.org/029-690-036-271-691,Granted Patent,no,7,6,5,5,0,G03G9/13;;G03G9/132;;G03G9/1355;;Y10S430/105;;G03G9/132;;G03G9/1355;;G03G9/13;;Y10S430/105,G03G9/13;;G03G9/135,252/62.1,0,0,,,,EXPIRED
4,GB,A,GB 1212025 A,033-718-841-615-270,1970-11-11,1970,GB 5014567 A,1967-11-03,US 59233666 A;;US 59234466 A,1966-11-07,ELECTROPHOTOGRAPHIC DEVELOPER,"1,212,025. Liquid electro-photographic developers. DOW CHEMICAL CO. Nov.3, 1967 [Nov.7, 1966 (2)], No.50145/67. Heading G2H. [Also in Division C3] A liquid electro-photographic developer comprises an anhydrous, inert, organic carrier liquid having dispersed therein a cross-linkable resin which contains hydroxyl groups and a catalyst for curing said resin on heating in the absence of solvent wherein the developer has an electrical conductivity at ambient temperatures of 0À5 x 10<SP>-11</SP> to 1À0 x 10<SP>-9</SP> reciprocal ohm centimetres specified resins are silicone and epoxy resins e.g. a phenyl alkyl siloxane resin. Specified catalysts are alkoxy and dialkoxy aluminium salts of fatty acids e.g. octanoic acid and compounds of the formula:- wherein R<SP>1</SP> is a fatty acid radical of 6-12c, n is 2 or 3, m is 1, 2 or 3 and R is alkyl of 1-4C. Specified carrier liquids are isoparaffinic hydrocarbons, chlorofluorocarbons, aliphatic naphthas, odorless mineral spirits and aromatic hydrocarbons. The developer may contain pigments e.g. black and red iron oxide, ultramarine blue, lead phthalocyanine, or copper phthalocyanine and surfactants e.g. halogenated diaryl oxide sulphonates; sodium ligno sulphonates alkyl naphthalene sulphonates and alkali metal salts of sulphonated oils.",DOW CHEMICAL CO,GARRETT WALTER LLOYD;;GILLESPIE HENDERSON CLENDENIN;;SCIAMBI LOUIS JOSEPH,,https://lens.org/033-718-841-615-270,Granted Patent,no,0,0,5,5,0,G03G9/13;;G03G9/132;;G03G9/1355;;Y10S430/105;;G03G9/132;;G03G9/1355;;G03G9/13;;Y10S430/105,G03G9/13;;G03G9/135,C3T T6D9          -;;C3T T6F1          -;;C3T T6J2X         -;;C3T T6J3E         -;;C3T T6J4          -;;C3T T6J8          -;;G2C CC17P         CC17;;G2C CTA           CTA;;G2C C1105         CC17;;G2C C1105         21;;G2C C1106         CC17;;G2C C1106         21;;G2C C1107         CC17;;G2C C1107         21;;G2C C1117         CC17;;G2C C1117         21;;G2C C1124         CC17;;G2C C1124         21;;G2C C1126         CC17;;G2C C1126         21;;G2C C1127         CC17;;G2C C1127         21;;G2C C1128         CC17;;G2C C1128         21;;G2C C1129         CC17;;G2C C1129         21;;G2C C1131         CC17;;G2C C1131         21;;G2C C1132         CC17;;G2C C1132         21;;G2C C1133         CC17;;G2C C1133         21;;G2C C1136         CC17;;G2C C1136         21;;G2C C1156         CC17;;G2C C1156         21;;G2C C1172         CC17;;G2H H10           21;;G2H H5EY          21;;G2H H5F3          21;;G2H H5GY          21;;G2H H5G1BY        21;;G2H H5G2Y         21;;G2H H5G4Y         21;;G2H H5Y           21,0,0,,,,EXPIRED
5,CA,A,CA 879025 A,092-761-467-989-646,1971-08-24,1971,CA 879025D A,,CA 879025T A,,ELECTROPHOTOGRAPHIC DEVELOPER,,DOW CHEMICAL CO,GARRETT WALTER L;;GILLESPIE HENDERSON C;;SCIAMBI LOUIS J,,https://lens.org/092-761-467-989-646,Granted Patent,no,0,0,1,1,0,,,,0,0,,,,EXPIRED
6,DE,A1,DE 1597821 A1,179-987-634-379-674,1970-05-06,1970,DE 1597821 A,1967-11-03,US 59233666 A;;US 59234466 A,1966-11-07,Elektrophotographischer Entwickler,,DOW CHEMICAL CO,LLOYD GARRETT WALTER;;CLENDENIN GILLESPIE HENDERSON;;JOSEPH SCIAMBI LOUIS,,https://lens.org/179-987-634-379-674,Patent Application,no,0,0,5,5,0,G03G9/13;;G03G9/132;;G03G9/1355;;Y10S430/105;;G03G9/132;;G03G9/1355;;G03G9/13;;Y10S430/105,G03G9/13;;G03G9/135,,0,0,,,,DISCONTINUED
7,US,B2,US 9468474 B2,049-771-450-677-726,2016-10-18,2016,US 201414194258 A,2014-02-28,US 201414194258 A;;US 201361799009 P;;US 201361770897 P,2013-02-28,Spinal deformity correction instruments and methods,An instrument for correction of spinal deformities includes an inner member with a proximal portion configured to receive a corrective force and a distal coupling portion configured to transfer the corrective force to a spinal implant in a vertebra. A slot extends transversely through the coupling portion and is configured to guide a fixation rod into the spinal implant. A threaded sleeve includes an external thread and a thru-bore that slides relative to the proximal portion. An outer member couples with the proximal portion and threadably engages the external thread to apply a reduction force as the outer member rotates relative to the inner member. A reduction blade includes a proximal interlocking portion that removably couples with the threaded sleeve and a distal rod engagement feature configured to engage the fixation rod and transfer the reduction force to reduce the fixation rod into the spinal implant.,ALPHATEC SPINE INC,PARIKH ANAND;;GLEESON GARRETT;;WALTERS CARMEN;;TIMM JENS PETER;;COSTABILE JONATHAN;;GILLESPIE WALLY;;HUTTON CLARK,ALPHATEC SPINE INC (2016-08-31),https://lens.org/049-771-450-677-726,Granted Patent,yes,16,6,7,7,0,A61B17/7083;;A61B17/7083;;A61B17/7079;;A61B17/7079;;A61B17/708;;A61B17/708;;A61B17/7085;;A61B17/7086;;A61B17/7086,A61B17/70,,0,0,,,,ACTIVE
8,US,A1,US 2014/0316475 A1,020-826-104-319-558,2014-10-23,2014,US 201414194258 A,2014-02-28,US 201414194258 A;;US 201361799009 P;;US 201361770897 P,2013-02-28,SPINAL DEFORMITY CORRECTION INSTRUMENTS AND METHODS,An instrument for correction of spinal deformities includes an inner member with a proximal portion configured to receive a corrective force and a distal coupling portion configured to transfer the corrective force to a spinal implant in a vertebra. A slot extends transversely through the coupling portion and is configured to guide a fixation rod into the spinal implant. A threaded sleeve includes an external thread and a thru-bore that slides relative to the proximal portion. An outer member couples with the proximal portion and threadably engages the external thread to apply a reduction force as the outer member rotates relative to the inner member. A reduction blade includes a proximal interlocking portion that removably couples with the threaded sleeve and a distal rod engagement feature configured to engage the fixation rod and transfer the reduction force to reduce the fixation rod into the spinal implant.,ALPHATEC SPINE INC,PARIKH ANAND;;GLEESON GARRETT;;WALTERS CARMEN;;TIMM JENS PETER;;COSTABILE JONATHAN;;GILLESPIE WALLY;;HUTTON CLARK,ALPHATEC SPINE INC (2016-08-31),https://lens.org/020-826-104-319-558,Patent Application,yes,12,52,7,7,0,A61B17/7083;;A61B17/7083;;A61B17/7079;;A61B17/7079;;A61B17/708;;A61B17/708;;A61B17/7085;;A61B17/7086;;A61B17/7086,A61B17/70,606 86 A,0,0,,,,ACTIVE
9,EP,A2,EP 2967677 A2,085-157-417-453-515,2016-01-20,2016,EP 14756587 A,2014-02-28,US 201361770897 P;;US 201361799009 P;;US 2014/0019591 W,2013-02-28,SPINAL DEFORMITY CORRECTION INSTRUMENTS,,ALPHATEC SPINE INC,PARIKH ANAND;;GLEESON GARRETT;;WALTERS CARMEN;;TIMM JENS PETER;;COSTABILE JONATHAN T;;GILLESPIE WALLY;;HUTTON CLARK,,https://lens.org/085-157-417-453-515,Patent Application,yes,0,0,7,7,0,A61B17/7083;;A61B17/7083;;A61B17/7079;;A61B17/7079;;A61B17/708;;A61B17/708;;A61B17/7085;;A61B17/7086;;A61B17/7086,A61B17/70,,0,0,,,,ACTIVE
10,WO,A3,WO 2014/134534 A3,188-547-832-774-779,2014-11-06,2014,US 2014/0019591 W,2014-02-28,US 201361770897 P;;US 201361799009 P,2013-02-28,SPINAL DEFORMITY CORRECTION INSTRUMENTS AND METHODS,An instrument for correction of spinal deformities includes an inner member with a proximal portion configured to receive a corrective force and a distal coupling portion configured to transfer the corrective force to a spinal implant in a vertebra. A slot extends transversely through the coupling portion and is configured to guide a fixation rod into the spinal implant. A threaded sleeve includes an external thread and a thru-bore that slides relative to the proximal portion. An outer member couples with the proximal portion and threadably engages the external thread to apply a reduction force as the outer member rotates relative to the inner member. A reduction blade includes a proximal interlocking portion that removably couples with the threaded sleeve and a distal rod engagement feature configured to engage the fixation rod and transfer the reduction force to reduce the fixation rod into the spinal implant.,ALPHATEC SPINE INC,PARIKH ANAND;;GLEESON GARRETT;;WALTERS CARMEN;;TIMM JENS PETER;;COSTABILE JONATHAN T;;GILLESPIE WALLY;;HUTTON CLARK,,https://lens.org/188-547-832-774-779,Search Report,yes,5,0,7,7,0,A61B17/7079;;A61B17/708;;A61B17/7086;;A61B17/7083;;A61B17/7085;;A61B17/7083;;A61B17/7079;;A61B17/708;;A61B17/7086,A61B17/70;;A61B17/64;;A61F2/44,,0,0,,,,PENDING
