"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,WO,A2,WO 2007/137085 A2,131-996-750-419-103,2007-11-29,2007,US 2007/0069066 W,2007-05-16,US 80202306 P,2006-05-19,NETWORK TIME PROTOCOL PRECISION TIMESTAMPING SERVICE,"Embodiments of the present invention set forth a method and system for reducing uncertainty in receive and transmit timestamps created by an NTP server. The uncertainty in the receive timestamps is removed by recording the time-of-arrival in the hardware clock of the NTP server before the incoming packets may be delayed by traversing the various layers of software in a timestamping system. The uncertainty in the transmit timestamps is removed by giving the outgoing packets a timestamp in the future using an estimate of the transmission latency calculated by the latency estimator filter. Subsequently, the actual time-of-departure is used to re-calculate and update the estimate of the transmission latency. In this fashion, superior control of the timestamping function may be implemented in existing NTP servers in a manner that retains interworking compatibility with the current NTP standards.",SYMMETRICOM INC;;DOWD GREGORY LOUIS,DOWD GREGORY LOUIS,,https://lens.org/131-996-750-419-103,Patent Application,yes,0,8,15,15,0,H04J3/0673;;H04J3/0697;;H04L69/28;;H04L7/00;;H04J3/0673;;H04J3/0697;;H04L69/28,,,0,0,,,,PENDING
2,KR,A,KR 20090024170 A,187-775-322-650-985,2009-03-06,2009,KR 20087030996 A,2008-12-19,US 80202306 P,2006-05-19,NETWORK TIME PROTOCOL PRECISION TIMESTAMPING SERVICE,"Embodiments of the present invention set forth a method and system for reducing uncertainty in receive and transmit timestamps created by an NTP server. The uncertainty in the receive timestamps is removed by recording the time-of-arrival in the hardware clock of the NTP server before the incoming packets may be delayed by traversing the various layers of software in a timestamping system. The uncertainty in the transmit timestamps is removed by giving the outgoing packets a timestamp in the future using an estimate of the transmission latency calculated by the latency estimator filter. Subsequently, the actual time-of-departure is used to re-calculate and update the estimate of the transmission latency. In this fashion, superior control of the timestamping function may be implemented in existing NTP servers in a manner that retains interworking compatibility with the current NTP standards.",SYMMETRICOM INC,DOWD GREGORY LOUIS,,https://lens.org/187-775-322-650-985,Patent Application,no,0,2,15,15,0,H04J3/0673;;H04J3/0697;;H04L69/28;;H04L7/00;;H04J3/0673;;H04J3/0697;;H04L69/28,H04L29/06,,0,0,,,,DISCONTINUED
3,MX,A,MX 2008014768 A,069-957-349-532-187,2009-04-16,2009,MX 2008014768 A,2007-05-16,US 80202306 P;;US 2007/0069066 W,2006-05-19,NETWORK TIME PROTOCOL PRECISION TIMESTAMPING SERVICE.,"Embodiments of the present invention set forth a method and system for reducing uncertainty in receive and transmit timestamps created by an NTP server. The uncertainty in the receive timestamps is removed by recording the time-of-arrival in the hardware clock of the NTP server before the incoming packets may be delayed by traversing the various layers of software in a timestamping system. The uncertainty in the transmit timestamps is removed by giving the outgoing packets a timestamp in the future using an estimate of the transmission latency calculated by the latency estimator filter. Subsequently, the actual time-of-departure is used to re-calculate and update the estimate of the transmission latency. In this fashion, superior control of the timestamping function may be implemented in existing NTP servers in a manner that retains interworking compatibility with the current NTP standards.",SYMMETRICOM INC,DOWD GREGORY LOUIS,,https://lens.org/069-957-349-532-187,Patent Application,no,0,0,15,15,0,H04J3/0673;;H04J3/0697;;H04L69/28;;H04L7/00;;H04J3/0673;;H04J3/0697;;H04L69/28,H04L12/28;;H04J3/06,,0,0,,,,DISCONTINUED
4,BR,A2,BR PI0711770 A2,137-451-045-332-094,2011-12-13,2011,BR PI0711770 A,2007-05-16,US 80202306 P;;US 2007/0069066 W,2006-05-19,serviço de timestamping de precisão de protocolo de tempo de rede,"SERVIçO DE TIMESTAMPING DE PRECISãO DE PROTOCOLO DE TEMPO DE REDE. As modalidades da presente invenção estabelecem ummétodo e um sistema para a redução da incerteza nas timestamps de recepção e de transmissão criadas por um servidor de NTP. A incerteza nas estampas de tempo de recepção é removida pela gravação do tempo de chegada no relógio de hardware do servidor de NTP, antes dos pacotes de entrada poderem ser atrasados por atravessarem as várias camadas de software em um sistema de timestamping. A incerteza nas estampas de tempo de transmissão é removida ao se proporcionar aos pacotes de saída uma timestamp no futuro usando uma estimativa de uma latência de transmissão calculada pelo filtro estimador de latência. Subseqüentemente, o tempo de partida real é usado para se recalcular e atualizar a timestamp da latência de transmissão. Desta forma, um controle superior da função de Limestamping pode ser implementado em servidores de NTP existentes de uma maneira que retenha uma compatibilidade de entrelaçamento com os padrões de NTP atuais.",SYMMETRICOM INC,DOWD GREGORY LOUIS,,https://lens.org/137-451-045-332-094,Patent Application,no,0,0,15,15,0,H04J3/0673;;H04J3/0697;;H04L69/28;;H04L7/00;;H04J3/0673;;H04J3/0697;;H04L69/28,H04L12/28;;H04J3/06,,0,0,,,,DISCONTINUED
5,WO,A3,WO 2007/137085 A3,138-822-443-909-932,2008-01-24,2008,US 2007/0069066 W,2007-05-16,US 80202306 P,2006-05-19,NETWORK TIME PROTOCOL PRECISION TIMESTAMPING SERVICE,"Embodiments of the present invention set forth a method and system for reducing uncertainty in receive and transmit timestamps created by an NTP server. The uncertainty in the receive timestamps is removed by recording the time-of-arrival in the hardware clock of the NTP server before the incoming packets may be delayed by traversing the various layers of software in a timestamping system. The uncertainty in the transmit timestamps is removed by giving the outgoing packets a timestamp in the future using an estimate of the transmission latency calculated by the latency estimator filter. Subsequently, the actual time-of-departure is used to re-calculate and update the estimate of the transmission latency. In this fashion, superior control of the timestamping function may be implemented in existing NTP servers in a manner that retains interworking compatibility with the current NTP standards.",SYMMETRICOM INC;;DOWD GREGORY LOUIS,DOWD GREGORY LOUIS,,https://lens.org/138-822-443-909-932,Search Report,yes,2,0,15,15,0,H04J3/0673;;H04J3/0697;;H04L69/28;;H04L7/00;;H04J3/0673;;H04J3/0697;;H04L69/28,H04J3/06;;H04L12/28,,1,0,,,"JOHANNESSEN S.: ""Time synchronization in a local area network"", CONTROL SYSTEMS MAGAZINE, IEEE, vol. 24, no. 2, April 2004 (2004-04-01), pages 61 - 69, XP011109197, DOI: doi:10.1109/MCS.2004.1275432",PENDING
6,AU,A1,AU 2007/253824 A1,110-135-709-059-090,2007-11-29,2007,AU 2007/253824 A,2007-05-16,US 80202306 P;;US 2007/0069066 W,2006-05-19,Network time protocol precision timestamping service,,SYMMETRICOM INC,DOWD GREGORY LOUIS,,https://lens.org/110-135-709-059-090,Patent Application,no,0,0,15,15,0,H04J3/0673;;H04J3/0697;;H04L69/28;;H04L7/00;;H04J3/0673;;H04J3/0697;;H04L69/28,H04L12/28;;H04J3/06,,0,0,,,,DISCONTINUED
7,CN,B,CN 101449520 B,159-219-193-928-924,2012-05-30,2012,CN 200780018257 A,2007-05-16,US 2007/0069066 W;;US 80202306 P,2006-05-19,Network time protocol precision timestamping service,"Embodiments of the present invention set forth a method and system for reducing uncertainty in receive and transmit timestamps created by an NTP server. The uncertainty in the receive timestamps is removed by recording the time-of-arrival in the hardware clock of the NTP server before the incoming packets may be delayed by traversing the various layers of software in a timestamping system. The uncertainty in the transmit timestamps is removed by giving the outgoing packets a timestamp in the future using an estimate of the transmission latency calculated by the latency estimator filter. Subsequently, the actual time-of-departure is used to re-calculate and update the estimate of the transmission latency. In this fashion, superior control of the timestamping function may be implemented in existing NTP servers in a manner that retains interworking compatibility with the current NTP standards.",SYMMETRICOM INC,LOUIS DOWD GREGORY,,https://lens.org/159-219-193-928-924,Granted Patent,no,0,0,15,15,0,H04J3/0673;;H04J3/0697;;H04L69/28;;H04L7/00;;H04J3/0673;;H04J3/0697;;H04L69/28,H04L12/28;;H04J3/06,,0,0,,,,INACTIVE
8,US,B2,US 8451867 B2,194-132-243-365-371,2013-05-28,2013,US 74966607 A,2007-05-16,US 74966607 A;;US 80202306 P,2006-05-19,Network time protocol precision timestamping service,"Embodiments of the present invention set forth a method and system for reducing uncertainty in receive and transmit timestamps created by an NTP server. The uncertainty in the receive timestamps is removed by recording the time-of-arrival in the hardware clock of the NTP server before the incoming packets may be delayed by traversing the various layers of software in a timestamping system. The uncertainty in the transmit timestamps is removed by giving the outgoing packets a timestamp in the future using an estimate of the transmission latency calculated by the latency estimator filter. Subsequently, the actual time-of-departure is used to re-calculate and update the estimate of the transmission latency. In this fashion, superior control of the timestamping function may be implemented in existing NTP servers in a manner that retains interworking compatibility with the current NTP standards.",DOWD GREGORY LOUIS;;SYMMETRICOM INC,DOWD GREGORY LOUIS,MICROSEMI FREQUENCY AND TIME CORPORATION (2013-12-03);;IP GEM GROUP LLC (2017-07-21),https://lens.org/194-132-243-365-371,Granted Patent,yes,13,13,15,15,0,H04J3/0673;;H04J3/0697;;H04L69/28;;H04L7/00;;H04J3/0673;;H04J3/0697;;H04L69/28,H04J3/06;;H04L7/00;;H04J3/07;;H04L7/02,370/503;;370/507;;370/509;;370/516;;370/517;;370/519;;375/354;;375/356;;375/358;;375/359,5,2,003-075-068-529-003;;003-075-068-529-003,10.1109/mcs.2004.1275432;;10.1109/mcs.2004.1275432,"S. Johannessen, ""Time synchronization in a local area network,"" Control Systems Magazine, IEEE, vol. 24, No. 2, pp. 61-69, 2004. [Online]. Available: http://dx.doi.org/10.1109/MCS.2004.1275432.;;Johannessen, S.; , ""Time synchronization in a local area network,"" Control Systems, IEEE , vol. 24, No. 2, pp. 61-69, Apr. 2004.;;Johannessen, S. ""Time Synchronization in a Local Area Network"", Control Systems Magazine, IEEE vol. 24, Issue2, Apr. 2004 pp. 61-69.;;English Translation of Chinese Office Action, Chinese Patent Application No. 200780018257.8, dated Oct. 12, 2010.;;English Translation of Second Chinese Office Action. Chinese Patent Application 200780018257.8, dated Aug. 17, 2011.",ACTIVE
9,CA,A1,CA 2652594 A1,114-331-425-213-416,2007-11-29,2007,CA 2652594 A,2007-05-16,US 80202306 P;;US 2007/0069066 W,2006-05-19,NETWORK TIME PROTOCOL PRECISION TIMESTAMPING SERVICE,"Embodiments of the present invention set forth a method and system for re ducing uncertainty in receive and transmit timestamps created by an NTP serv er. The uncertainty in the receive timestamps is removed by recording the ti me-of-arrival in the hardware clock of the NTP server before the incoming pa ckets may be delayed by traversing the various layers of software in a times tamping system. The uncertainty in the transmit timestamps is removed by giv ing the outgoing packets a timestamp in the future using an estimate of the transmission latency calculated by the latency estimator filter. Subsequentl y, the actual time-of-departure is used to re-calculate and update the estim ate of the transmission latency. In this fashion, superior control of the ti mestamping function may be implemented in existing NTP servers in a manner t hat retains interworking compatibility with the current NTP standards.</SDOA B>",SYMMETRICOM INC,DOWD GREGORY LOUIS,,https://lens.org/114-331-425-213-416,Patent Application,no,0,0,15,15,0,H04J3/0673;;H04J3/0697;;H04L69/28;;H04L7/00;;H04J3/0673;;H04J3/0697;;H04L69/28,H04L12/28;;H04J3/06,,0,0,,,,DISCONTINUED
10,EP,A2,EP 2025104 A2,002-193-822-396-515,2009-02-18,2009,EP 07811895 A,2007-05-16,US 2007/0069066 W;;US 80202306 P,2006-05-19,NETWORK TIME PROTOCOL PRECISION TIMESTAMPING SERVICE,,SYMMETRICOM INC,DOWD GREGORY LOUIS,,https://lens.org/002-193-822-396-515,Patent Application,yes,0,0,15,15,0,H04J3/0673;;H04J3/0697;;H04L69/28;;H04L7/00;;H04J3/0673;;H04J3/0697;;H04L69/28,H04L12/28;;H04J3/06,,0,0,,,,DISCONTINUED
