"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,S,US D0931623 S,009-841-210-228-470,2021-09-28,2021,US 202029721762 F,2020-01-23,US 202029721762 F,2020-01-23,Picture frame moulding,,GOLDSTEIN IRA,GOLDSTEIN IRA,,https://lens.org/009-841-210-228-470,Design Right,no,13,0,1,1,0,,,0607;;D 6300,1,0,,,"7.5-ft Craftsman Style Picture Rail Moulding [online], [site visited Jul. 14, 2021]. Available from internet, URL: <https://www.houseofantiquehardware.com/picture-rails-craftsman> (Year: 2021).",ACTIVE
2,US,B2,US 7742642 B2,172-698-461-360-696,2010-06-22,2010,US 44330206 A,2006-05-30,US 44330206 A,2006-05-30,System and method for automated reading of handwriting,"A system for automatically recognizing a handwriting image and converting such image to text data including a sequence of validated words, has an image input device, a number of handwriting recognition engines, and control unit. A first handwriting recognition engine is responsive to the image input device, for analyzing the data file and providing one or more possible text words for each successive word in the data file. The first handwriting recognition engine further provides a resemblance indication for each possible text word indicating a level of resemblance between its appearance and the appearance of the handwritten word in the data file. In the event that there is not a high level of confidence in the selection of the first handwriting recognition engine, a selection of a validated word is based on the selections of one or more of the other handwriting recognition engines.",EXPEDATA LLC,GOLDSTEIN IRA P,EXPEDATA LLC (2007-04-21);;THE STANDARD REGISTER COMPANY (2006-05-30),https://lens.org/172-698-461-360-696,Granted Patent,yes,12,9,2,2,0,G06V30/36;;G06V30/2272;;G06V30/10;;G06V30/1444;;G06V30/1918;;G06F18/254;;G06V30/2272;;G06V30/36;;G06V30/10;;G06F18/254;;G06V30/1444;;G06V30/1918,G06V30/10;;G06V30/224,382/229;;382/186,1,0,,,"Lin (Reliable OCR Solution for Digital content Re-mastering, Publishing Systems and Solutions Laboratory-HP Laboratories, Sep. 2001, p. 1-9).",INACTIVE
3,US,A,US 4354175 A,075-747-436-010-83X,1982-10-12,1982,US 14555080 A,1980-05-01,US 14555080 A,1980-05-01,Analog/digital converter utilizing a single column of analog switches,"An analog switch for an analog-to-digital converter which permits an analog voltage level to be read from a series resistor ladder network and be compared to an external analog signal by a comparator. The incremental levels of the series resistor ladder network are selected by a tree decoder responsive to the comparator output. The analog switch has two transistors, the first transistor being connected between the resistor ladder network and the comparator and being gated by a second transistor and the tree decoder so that the first transistor may be precharged or accessed by the tree decoder.",MOSTEK CORP,GOLDSTEIN IRA L,SGS-THOMSON MICROELECTRONICS INC (1987-12-24);;MOSTEK CORPORATION A CORP. OF DE (1980-04-30),https://lens.org/075-747-436-010-83X,Granted Patent,yes,2,10,1,1,0,H03M1/38;;H03M1/38,H03M1/00,340347AD,0,0,,,,EXPIRED
4,US,B1,US 10484323 B1,048-011-084-527-550,2019-11-19,2019,US 201414204788 A,2014-03-11,US 201414204788 A;;US 201361778456 P,2013-03-13,Computer human interaction and dialog,"An algorithm is described that informs a user about the relationship between ongoing measurements and goals for those measurements. For example, it informs a diabetic user whether his blood glucose is outside preset limits. The purpose of the algorithm is to influence the user's behavior so that the measured parameters return to the desired normal range. The algorithm accomplishes this in the following innovative fashion: first, it employs a non-deterministic decision making procedure to select the method of communication. The purpose is to preserve an element of surprise and keep the user interested in the message being delivered. Second, the algorithm varies the emphasis of the message and the time of transmission again to avoid a monotonous sequence of communications. Third, the algorithm is adaptive and adjusts its decision making based on the success or failure of different modalities in affecting the user's behavior.",GOLDSTEIN IRA PHILIP;;IDIALOGS LLC,GOLDSTEIN IRA PHILIP,,https://lens.org/048-011-084-527-550,Granted Patent,yes,11,0,1,1,0,G06Q10/10;;G06Q30/02;;G06Q50/22;;A61B5/0022;;G16H40/67;;H04L51/222;;H04L51/226;;H04L51/56;;H04L51/52;;H04L67/535;;G06Q50/22;;G06Q30/02;;G06Q10/10;;H04L51/42;;H04L9/40;;H04L51/226,H04L29/06;;G06F15/16;;G06Q10/10;;G06Q30/02;;G06Q50/00;;G06Q50/22;;H04L12/58;;H04L29/08,,0,0,,,,INACTIVE
5,US,A1,US 2007/0286486 A1,109-040-654-864-377,2007-12-13,2007,US 44330206 A,2006-05-30,US 44330206 A,2006-05-30,System and method for automated reading of handwriting,"A system for automatically recognizing a handwriting image and converting such image to text data including a sequence of validated words, has an image input device, a number of handwriting recognition engines, and control unit. A first handwriting recognition engine is responsive to the image input device, for analyzing the data file and providing one or more possible text words for each successive word in the data file. The first handwriting recognition engine further provides a resemblance indication for each possible text word indicating a level of resemblance between its appearance and the appearance of the handwritten word in the data file. In the event that there is not a high level of confidence in the selection of the first handwriting recognition engine, a selection of a validated word is based on the selections of one or more of the other handwriting recognition engines.",GOLDSTEIN IRA P,GOLDSTEIN IRA P,EXPEDATA LLC (2007-04-21);;THE STANDARD REGISTER COMPANY (2006-05-30),https://lens.org/109-040-654-864-377,Patent Application,yes,11,32,2,2,0,G06V30/36;;G06V30/2272;;G06V30/10;;G06V30/1444;;G06V30/1918;;G06F18/254;;G06V30/2272;;G06V30/36;;G06V30/10;;G06F18/254;;G06V30/1444;;G06V30/1918,G06V30/10;;G06V30/224,382/187;;382/229,0,0,,,,INACTIVE
6,US,A1,US 2005/0053405 A1,039-848-882-161-539,2005-03-10,2005,US 66100003 A,2003-09-10,US 66100003 A,2003-09-10,Methods and apparatus for generating images,"A method of generating an image comprising a position identifying pattern and a content feature comprises the steps of: generating the pattern and the content feature each as a plurality of graphical elements, and superimposing the content feature and the pattern. The content elements are smaller than the pattern elements in at least one dimension.",BROUHON PATRICK;;GOLDSTEIN IRA,BROUHON PATRICK;;GOLDSTEIN IRA,HEWLETT-PACKARD DEVELOPMENT COMPANY L.P (2004-06-21),https://lens.org/039-848-882-161-539,Patent Application,yes,6,16,4,4,0,G06F3/03545;;G06F3/03545;;G06F3/0321;;G06F3/0321,G06F3/03;;G06F3/033,400/76,0,0,,,,EXPIRED
7,US,B2,US 6962450 B2,065-383-030-439-532,2005-11-08,2005,US 66100003 A,2003-09-10,US 66100003 A,2003-09-10,Methods and apparatus for generating images,"A method of generating an image comprising a position identifying pattern and a content feature comprises the steps of: generating the pattern and the content feature each as a plurality of graphical elements, and superimposing the content feature and the pattern. The content elements are smaller than the pattern elements in at least one dimension.",HEWLETT PACKARD DEVELOPMENT CO,BROUHON PATRICK;;GOLDSTEIN IRA,HEWLETT-PACKARD DEVELOPMENT COMPANY L.P (2004-06-21),https://lens.org/065-383-030-439-532,Granted Patent,yes,18,40,4,4,0,G06F3/03545;;G06F3/03545;;G06F3/0321;;G06F3/0321,G06F3/03;;G06F3/033,400/76;;400/74;;178/18.01;;235/494,8,0,,,"U.S. Appl. No. 10/660,323, filed Sep. 10, 2003, Nelson.;;U.S. Appl. No. 10/660,324, filed Sep. 10, 2003, Nelson et al.;;U.S. Appl. No. 10/661,001, filed Sep. 10, 2003, Mackenzie et al.;;Anoto Home Page Internet:: <<http:://www.anoto.com>> pp. 1-2 (Jan. 19, 2004).;;""The Technologies Behind Anoto Functionality"" Internet: <<http://web.archive.org/web/20030622071228/www.anoto.com/?url;=/technology/1 page total (Jan. 19, 2004).;;""Construction"" Internet: <<http://web.archive.org/web/20030623220554/www/anoto.com/?url=/technology/patter . . . 1 page total (Jan. 19, 2004).;;""How does it work?"" Internet: <<http://www.anotofunctionality.com/navigate.asp?PageID=24>> 1 page total (Jan. 19, 2004).;;""Anoto Pattern & Digital Paper"" Internet: <<http://www.anotofunctionality.com/navigate.asp?PageID=73>> 1 page total (Jan. 19, 2004).",EXPIRED
8,EP,A2,EP 1515265 A2,083-165-983-341-515,2005-03-16,2005,EP 04104288 A,2004-09-06,US 66100003 A,2003-09-10,Method and apparatus for generating images,"A method of generating an image comprising a position identifying pattern and a content feature comprises the steps of: generating the pattern and the content feature each as a plurality of graphical elements, and superimposing the content feature and the pattern. The content elements are smaller than the pattern elements in at least one dimension.",HEWLETT PACKARD DEVELOPMENT CO,BROUHON PATRICK;;GOLDSTEIN IRA,,https://lens.org/083-165-983-341-515,Patent Application,yes,0,3,4,4,0,G06F3/03545;;G06F3/03545;;G06F3/0321;;G06F3/0321,G06F3/03;;G06F3/033,,0,0,,,,DISCONTINUED
9,EP,A3,EP 1515265 A3,004-265-069-121-484,2005-04-27,2005,EP 04104288 A,2004-09-06,US 66100003 A,2003-09-10,Method and apparatus for generating images,"A method of generating an image comprising a position identifying pattern and a content feature comprises the steps of: generating the pattern and the content feature each as a plurality of graphical elements, and superimposing the content feature and the pattern. The content elements are smaller than the pattern elements in at least one dimension.",HEWLETT PACKARD DEVELOPMENT CO,BROUHON PATRICK;;GOLDSTEIN IRA,,https://lens.org/004-265-069-121-484,Search Report,yes,11,0,4,4,0,G06F3/03545;;G06F3/0321;;G06F3/03545;;G06F3/0321,G06F3/03;;G06F3/033,,0,0,,,,DISCONTINUED
10,EP,A1,EP 0430023 A1,033-892-322-373-576,1991-06-05,1991,EP 90122143 A,1990-11-20,US 44281089 A,1989-11-29,Process for the preparation of substituted phenylcinnamates.,"This is a process for the preparation of substituted phenylcinnamates, which are in turn used as u.v. absorbers. The process comprises the steps of:
 1) charging a diarylketone, cyanoacetic acid ester, catalyst solution, and  
 
        C₆ 
 
to  
 
        C₈ 
 
hydrocarbon solvent is a reaction vessel with agitation, 2) heating the mixture to reflux, removal of generated water, 3) adding in a stepwise manner the remaining catalyst solution, and 4) recovering the product from the reaction mixture.",BASF CORP,GOLDSTEIN STEVEN IRA;;LABRIE EDWIN F,,https://lens.org/033-892-322-373-576,Patent Application,yes,2,18,2,2,0,C07C255/41;;Y02P20/582,C09K3/00;;C07C253/30;;C07C255/41,,2,1,124-526-198-173-153,10.1021/jo01148a024,"JOURNAL OF ORGANIC CHEMISTRY, vol. 15, no. 2, March 1950, pages 381-390, The Williams & Wilkins Co., Baltimore, US; E.J. CRAGOE, Jr. et al.: ""The synthesis of alpha,alpha-disubstituted succinic acids from ethyl alkylidenecyanoacetates"";;""Organic Reactions"", vol. 15, pages 204,238,239,265,414, John Wiley & Sons, Inc. New York, US; chapter 2, G. JONES: ""The Knoevenagel Condensation""",DISCONTINUED
