"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,EP,A2,EP 2651507 A2,003-394-015-506-48X,2013-10-23,2013,EP 11848517 A,2011-12-16,US 201061424197 P;;US 201161474747 P;;US 2011/0065648 W,2010-12-17,SITE SPECIFIC DEEP BRAIN STIMULATION FOR ENHANCEMENT OF MEMORY,,UNIV CALIFORNIA,FRIED ITZHAK;;SUTHANA NANTHIA;;KNOWLTON BARBARA,,https://lens.org/003-394-015-506-48X,Patent Application,yes,0,0,12,12,0,A61N1/36092;;A61N1/36092;;A61N1/0534;;A61N1/36082;;A61N1/36139;;A61N1/3616;;A61N1/3616,A61N1/36;;A61N1/05;;A61N1/20,,0,0,,,,ACTIVE
2,WO,A1,WO 2015/191628 A1,082-639-373-465-17X,2015-12-17,2015,US 2015/0034962 W,2015-06-09,US 201462009884 P,2014-06-09,SYSTEMS AND METHODS FOR RESTORING COGNITIVE FUNCTION,"Systems and methods for restoring cognitive function are disclosed. In some implementations, a method includes, at a computing device, separately stimulating one or more of lateral and medial entorhinal afferents and other structures connecting to a hippocampus of an animal subject in accordance with a plurality of predefined stimulation patterns, thereby attempting to restore object-specific memories and location-specific memories; collecting a plurality of one or more of macro- and micro-recordings of the stimulation of hippocampalentorhinal cortical (HEC) system; and refining the computational model for restoring individual memories in accordance with a portion of the plurality of one or more of macro- and micro-recordings.",UNIV CALIFORNIA,FRIED ITZHAK;;MARKOVIC DEJAN;;SUTHANA NANTHIA,,https://lens.org/082-639-373-465-17X,Patent Application,yes,4,10,6,6,0,A61B5/4064;;A61B5/4836;;A61N1/0531;;A61N1/0534;;A61N1/36092;;A61N1/36125;;A61N1/36139;;A61B5/6868;;A61B5/055;;A61B5/4094;;A61N1/025;;G16H50/50;;A61N1/36082;;G16H20/30;;A61B5/291;;A61B5/369;;G16H50/50;;A61B5/4064;;A61B5/4836;;A61N1/0531;;A61N1/0534;;A61N1/36092;;A61N1/36125;;A61N1/36139;;A61B5/6868;;A61B5/055;;A61B5/4094;;A61N1/025;;G16H20/30;;A61B5/291;;A61B5/369;;A61N1/36082;;A61N1/37229;;G16H20/40,G16H20/30;;A61N1/05,,2,1,029-803-275-439-285,22316444;;10.1056/nejmoa1107212;;pmc3447081,"NANTHIA, S. ET AL.: ""Memory Enhancement and Deep-Brain Stimulation of the Entorhinal Area"", THE NEW ENGLAND JOURNAL OF MEDICINE, vol. 366, 9 February 2012 (2012-02-09), pages 502 - 510, XP055243435;;See also references of EP 3151908A4",PENDING
3,EP,A1,EP 3151908 A1,127-912-774-347-479,2017-04-12,2017,EP 15806123 A,2015-06-09,US 201462009884 P;;US 2015/0034962 W,2014-06-09,SYSTEMS AND METHODS FOR RESTORING COGNITIVE FUNCTION,,UNIV CALIFORNIA,FRIED ITZHAK;;MARKOVIC DEJAN;;SUTHANA NANTHIA,,https://lens.org/127-912-774-347-479,Patent Application,yes,0,0,6,6,0,A61B5/4064;;A61B5/4836;;A61N1/0531;;A61N1/0534;;A61N1/36092;;A61N1/36125;;A61N1/36139;;A61B5/6868;;A61B5/055;;A61B5/4094;;A61N1/025;;G16H50/50;;A61N1/36082;;G16H20/30;;A61B5/291;;A61B5/369;;G16H50/50;;A61B5/4064;;A61B5/4836;;A61N1/0531;;A61N1/0534;;A61N1/36092;;A61N1/36125;;A61N1/36139;;A61B5/6868;;A61B5/055;;A61B5/4094;;A61N1/025;;G16H20/30;;A61B5/291;;A61B5/369;;A61N1/36082;;A61N1/37229;;G16H20/40,A61N1/05;;G16H20/30,,0,0,,,,DISCONTINUED
4,US,A1,US 2017/0014630 A1,018-769-544-912-531,2017-01-19,2017,US 201615225715 A,2016-08-01,US 201615225715 A;;US 201313994653 A;;US 2011/0065648 W;;US 201061424197 P;;US 201161474747 P,2010-12-17,SITE SPECIFIC DEEP BRAIN STIMULATION FOR ENHANCEMENT OF MEMORY,"The various embodiments described herein include methods, devices, and systems for enhancement of memory. In one aspect, a method includes: (1) implanting intracranial electrodes in a patient, wherein the electrodes are placed selectively at a specific brain site; (2) determining a threshold for eliciting an after-discharge threshold of the patient, and (3) stimulating the electrodes with current set below the after-discharge threshold while the patient is in a particular phase of sleep so as to enhance memory of the patient.",UNIV CALIFORNIA,FRIED ITZHAK;;SUTHANA NANTHIA;;KNOWLTON BARBARA,,https://lens.org/018-769-544-912-531,Patent Application,yes,4,14,12,12,0,A61N1/36092;;A61N1/36092;;A61N1/0534;;A61N1/36082;;A61N1/36139;;A61N1/3616;;A61N1/3616,A61N1/36,,3,3,065-312-930-869-548;;035-259-668-143-136;;031-678-208-527-519,10.1016/j.neuroscience.2010.06.042;;20643192;;2412789;;10.1016/0013-4694(85)91028-4;;4027062;;10.1016/0278-2626(85)90022-3,"""Single pulse electrical stimulation of the himmpocampus is sufficient o impair human episodic memory"" Lacruz et al., Neuroscince 170(2):623-32;;""Recall deficits produced by after discharges in the human hippocampal formation and amygdala"" Halgren, Electroencephphalogr Clin Neurophysiol 61: 375-380:;;""Human Medial Temporal-Lob Stimulation Disrupts both formation and retrieval of recent memories"" Halgren et al, Brain Cogn 4 287-295",ACTIVE
5,CA,C,CA 2859648 C,069-369-591-065-977,2018-05-29,2018,CA 2859648 A,2011-12-16,US 201061424197 P;;US 201161474747 P;;US 2011/0065648 W,2010-12-17,SITE SPECIFIC DEEP BRAIN STIMULATION FOR ENHANCEMENT OF MEMORY,"A site-specific deep brain stimulation for enhancement of memory is described. A method of the site-specific deep brain stimulation for enhancement of memory may include implanting intracranial depth electrodes in a patient, wherein the electrodes are placed in right and/or left entorhinal regions, and stimulating the electrodes with current set below an after-discharge threshold. The method may include stimulation at a specific brain site in the medial temporal lobe, stimulation (ODTS) at specific stages of information processing. A system for site specific deep brain stimulation of entorhinal regions during specific stages of information processing is also described.",UNIV CALIFORNIA,FRIED ITZHAK;;SUTHANA NANTHIA;;KNOWLTON BARBARA,,https://lens.org/069-369-591-065-977,Granted Patent,no,0,0,12,12,0,A61N1/36092;;A61N1/3616;;A61N1/36092;;A61N1/3616;;A61N1/36082;;A61N1/36139;;A61N1/0534,A61N1/36;;A61N1/05;;A61N1/20,,0,0,,,,ACTIVE
6,EP,B1,EP 2651507 B1,170-253-554-800-385,2016-04-27,2016,EP 11848517 A,2011-12-16,US 201061424197 P;;US 201161474747 P;;US 2011/0065648 W,2010-12-17,SITE SPECIFIC DEEP BRAIN STIMULATION FOR ENHANCEMENT OF MEMORY,,UNIV CALIFORNIA,FRIED ITZHAK;;SUTHANA NANTHIA;;KNOWLTON BARBARA,,https://lens.org/170-253-554-800-385,Granted Patent,yes,2,0,12,12,0,A61N1/36092;;A61N1/36092;;A61N1/0534;;A61N1/36082;;A61N1/36139;;A61N1/3616;;A61N1/3616,A61N1/36;;A61N1/05;;A61N1/20,,0,0,,,,ACTIVE
7,US,B2,US 10159839 B2,005-769-213-585-925,2018-12-25,2018,US 201615225715 A,2016-08-01,US 201615225715 A;;US 201313994653 A;;US 2011/0065648 W;;US 201061424197 P;;US 201161474747 P,2010-12-17,Site specific deep brain stimulation for enhancement of memory,"The various embodiments described herein include methods, devices, and systems for enhancement of memory. In one aspect, a method includes: (1) implanting intracranial electrodes in a patient, wherein the electrodes are placed selectively at a specific brain site; (2) determining a threshold for eliciting an after-discharge threshold of the patient, and (3) stimulating the electrodes with current set below the after-discharge threshold while the patient is in a particular phase of sleep so as to enhance memory of the patient.",UNIV CALIFORNIA,FRIED ITZHAK;;SUTHANA NANTHIA;;KNOWLTON BARBARA,,https://lens.org/005-769-213-585-925,Granted Patent,yes,19,2,12,12,0,A61N1/36092;;A61N1/36092;;A61N1/0534;;A61N1/36082;;A61N1/36139;;A61N1/3616;;A61N1/3616,A61N1/36;;A61N1/05,,73,58,065-312-930-869-548;;035-259-668-143-136;;031-678-208-527-519;;052-935-112-795-283;;033-418-171-191-872;;018-833-239-386-903;;045-057-161-610-230;;020-798-450-711-581;;042-365-424-401-023;;023-694-702-157-357;;020-208-459-300-962;;107-994-274-192-622;;101-468-786-214-639;;007-214-765-796-492;;084-620-921-494-004;;002-750-709-529-282;;070-636-435-479-915;;040-543-839-617-519;;034-983-248-420-249;;003-603-344-916-058;;044-358-109-416-02X;;051-850-247-061-595;;070-424-145-380-234;;032-657-370-633-866;;009-824-270-077-710;;035-259-668-143-136;;031-678-208-527-519;;017-029-052-918-304;;147-314-333-308-71X;;012-333-344-173-011;;030-084-166-376-681;;047-956-143-870-022;;065-312-930-869-548;;022-468-649-188-725;;031-980-575-560-895;;077-533-812-525-087;;061-969-161-961-470;;020-632-061-106-994;;098-291-467-605-176;;020-436-088-652-698;;034-426-598-676-891;;053-915-298-675-957;;098-888-196-471-584;;000-821-465-134-227;;130-816-750-974-898;;076-548-324-944-19X;;088-553-253-934-040;;036-260-153-317-875;;012-247-767-257-566;;071-764-223-842-113;;078-861-322-132-458;;000-178-640-117-919;;018-052-313-476-914;;074-474-924-514-992;;100-908-746-665-101;;085-626-646-303-931;;026-041-953-406-929;;018-169-157-303-593,10.1016/j.neuroscience.2010.06.042;;20643192;;2412789;;10.1016/0013-4694(85)91028-4;;4027062;;10.1016/0278-2626(85)90022-3;;pmc2889718;;20577631;;10.3389/fnhum.2010.00042;;10.1016/b978-0-12-547625-6.50026-x;;17634335;;10.1152/jn.00547.2007;;10.1111/j.1528-1167.2007.01005.x;;17726798;;1759558;;10.1007/bf00308809;;10.1016/j.neuron.2004.09.006;;15450170;;10.1016/s0896-6273(02)00586-x;;11832222;;10.1152/jn.00363.2009;;pmc3141810;;19955287;;pmc6730466;;10.1523/jneurosci.4352-03.2004;;14973245;;9176495;;10.1038/nm0697-671;;7929905;;10.1002/cne.903450302;;11208918;;10.1046/j.1471-4159.2001.00030.x;;17546683;;10.1002/hipo.20300;;pmc3568989;;10.1002/hipo.20109;;16114040;;12968182;;10.1038/nature01964;;18377264;;pmc2628813;;10.3171/jns/2008/108/4/0812;;10.1002/(sici)1098-1063(1999)9:1<35::aid-hipo4>3.0.co;2-z;;10088898;;10.1016/s0163-7258(97)00006-5;;9352588;;10.3171/jns.1999.91.4.0697;;10507396;;9021070;;10.1016/s0166-4328(97)81108-4;;2276040;;10.1093/brain/113.6.1673;;638728;;10.1093/brain/101.1.83;;2412789;;10.1016/0013-4694(85)91028-4;;4027062;;10.1016/0278-2626(85)90022-3;;10.1002/ana.21295;;18232017;;10.1016/s0149-7634(00)00033-6;;10974354;;10.1016/s0896-6273(03)00095-3;;12628177;;10.1006/brcg.1999.1101;;10744921;;20969727;;10.1111/j.1601-183x.2010.00609.x;;10.1016/j.neuroscience.2010.06.042;;20643192;;10.1056/nejm199810153391607;;9770561;;10.1002/ana.22089;;20687206;;6058141;;10.1093/brain/90.3.521;;10.1016/0304-3940(86)90046-7;;3951744;;11571035;;pmc1088527;;10.1098/rstb.2001.0944;;10.1016/j.neuron.2005.02.014;;15748841;;16829947;;10.1038/nm0706-780;;10.1016/j.cognition.2006.05.013;;16879816;;10.4061/2011/414682;;pmc3096058;;21603182;;16931766;;10.1126/science.1128657;;pmc2807242;;19864436;;10.1152/jn.91323.2008;;10.1093/brain/86.4.595;;14090522;;11809496;;10.1016/s0166-4328(01)00325-4;;8136074;;10.1037/0735-7044.107.6.988;;10.1037//0735-7044.107.6.988;;10.1146/annurev.neuro.27.070203.144130;;15217334;;10.1016/j.bbr.2004.11.025;;15836909;;19710304;;pmc2873654;;10.1523/jneurosci.0621-09.2009;;18173322;;10.3171/jns/2008/108/01/0132;;15852017;;10.1038/nm1239;;16149083;;10.1002/hipo.20118;;12625462;;10.1002/hipo.10082;;10.1016/j.acn.2006.06.002;;16843636;;10.1093/brain/awl329;;17142246;;pmc2906542;;10.1073/pnas.1002113107;;20616040;;10.1126/science.1077775;;12543980,"“Single pulse electrical stimulation of the himmpocampus is sufficient o impair human episodic memory” Lacruz et al., Neuroscince 170(2):623-32.;;“Recall deficits produced by after discharges in the human hippocampal formation and amygdala” Halgren, Electroencephphalogr Clin Neurophysiol 61: 375-380.;;“Human Medial Temporal-Lob Stimulation Disrupts both formation and retrieval of recent memories” Halgren et al, Brain Cogn 4 287-295.;;Augustinack JC, Helmer K, Huber KE, Kakunoori S, Zöllei L, Fischl B. (2010) Direct visualization of the perforant pathway in the human brain with ex vivo diffusion tensor imaging. Front Hum Neurosci. 4:42.;;Amaral, D.G. and Insausti, R. (1990) The hippocampal formation. The human nervous system, Academic Press, San Diego, 711-755.;;Birdno, MJ et al, (2007) Pulse-to-Pulse Changes in the Frequency of Deep Brain Stimulation Affect Tremor and Modeled Neuronal Activity. J Neurophysiol 98:1675-1684.;;Boon P, Vonck K, De H, V, Van DA, Goethals M, Goossens L, Van ZM, De ST, Dewaele I, Achten R, Wadman W, Dewaele F, Caemaert J, Van RD (2007) Deep brain stimulation in patients with refractory temporal lobe epilepsy. Epilepsia 48:1551-1560.;;Braak, H., & Braak, E. (1991) Neuropathological stageing of Alzheimer-related changes. Acta Neuropathologica, 82, 239-259.;;Buckner RL (2004) Memory and executive function in aging and AD: multiple factors that cause decline and reserve factors that compensate. Neuron 44:195-208.;;Buzsáki, G. (2002) Theta oscillations in the hippocampus. Neuron 33, 325-340.;;Carlson, JD et al., (2010) Deep Brain Stimulation Does Not Silence Neurons in Subthalamic Nucleus in Parkinson's Patients. J Neurophysiol 103:962-967.;;Coleshill SG, Binnie CD, Morris RG, Alarcon G, van Emde BW, Velis DN, Simmons A, Polkey CE, van Veelen CW, van Rijen PC (2004) Material-specific recognition memory deficits elicited by unilateral hippocampal electrical stimulation. J Neurosci 24:1612-1616.;;Davis K, Taub E, Houle S, et al. (1997) Globus pallidus stimulation activates the cortical motor system during alleviation of parkinsonian symptoms. Nat Med 3:671-674.;;De Lacalle S, Lim C, Sobreviela T, Mufson EJ, Hersh LB, Saper CB. (1994) Cholinergic innervation in the human hippocampal formation including the entorhinal cortex. J Comp Neurol 345:321-344.;;Duvernoy, H.M. (1998) The human hippocampus: Functional Anatomy, Vascularization, and Serial Sections with MRI, Springer, Berlin.;;Ehret A, Haaf A, Jeltsch H, Heimrich B, Feuerstein TJ, Jackisch R (2001) Modulation of electrically evoked acetylcholine release in cultured rat septal neurones. J Neurochem 76:555-564.;;Ekstrom A, Viskontas I, Kahana M, Jacobs J, Upchurch K, Bookheimer S, Fried I (2007) Contrasting roles of neural firing rate and local field potentials in human memory. Hippocampus 17:606-617.;;Ekstrom AD, Caplan JB, Ho E, Shattuck K, Fried I, Kahana MJ (2005) Human hippocampal theta activity during virtual navigation. Hippocampus 15:881-889.;;Ekstrom AD, Kahana MJ, Caplan JB, Fields TA, Isham EA, Newman EL, Fried I (2003) Cellular networks underlying human spatial navigation. Nature 425:184-188.;;Ekstrom, A., Suthana, N.A., Salamon, N., Behnke, E., Bookheimer, S.Y., Fried, I. (2008) High-Resolution Depth Electrode Localization and Imaging in Patients with Pharmacologically Intractable Epilepsy. Journal of Neurosurgery 108, 812-5.;;Engel J Jr (1993) Appendix 2: Presurgical evaluation protocols (University of California, Los Angeles), in Engel J Jr (ed): Surgical Treatment of the Epilepsies, ed 2. New York: Raven Press, pp. 743-745.;;Fernández G, Brewer JB, Zhao Z, Glover GH, Gabrieli JD. (1999) Level of sustained entorhinal activity at study correlates with subsequent cued-recall performance: a functional magnetic resonance imaging study with high acquisition rate. Hippocampus. 1:35-44.;;Feuerstein TJ, Seeger W (1997) Modulation of acetylcholine release in human cortical slices: possible implications for Alzheimer's disease. Pharmacol Ther 74:333-347.;;Fried, Office Action, U.S. Appl. No. 13/994,653, dated Jun. 24, 2014, 4 pgs.;;Fried, Final Office Action, U.S. Appl. No. 13/994,653, dated Feb. 13, 2015, 8 pgs.;;Fried, Notice of Allowance, U.S. Appl. No. 13/994,653, dated Apr. 5, 2016, 5 pgs.;;Fried I, Wilson CL, Maidment NT, Engel J Jr, Behnke E, Fields TA, MacDonald KA, Morrow JW, Ackerson L. (1999) Cerebral microdialysis combined with single-neuron and electroencephalographic recording in neurosurgical patients. Technical note. J Neurosurg. (4):697-705.;;Fried I, Wilson CW, Zhang JX, et al (1993) Implantation of depth electrodes for EEG recording, in De Salles AAF, Goetsch SJ (eds): Stereotactic Surgery and Radiosurgery. Madison: Medical Physics Publishing, pp. 149-158.;;Gilbert, T.H., McNamara, R.K., and Corcoran, M.E. (1996) Kindling of hippocampal field CA1 impairs spatial learning and retention in the Morris water maze. Behav. Brain Res. 82: 57-66.;;Gloor P (1990) Experiential phenomena of temporal lobe epilepsy. Facts and hypotheses. Brain 113 6:1673-1694.;;Halgren E, Walter RD, Cherlow DG, Crandall PH (1978) Mental phenomena evoked by electrical stimulation of the human hippocampal formation and amygdala. Brain 101:83-117.;;Halgren E, Wilson CL (1985) Recall deficits produced by afterdischarges in the human hippocampal formation and amygdala. Electroencephalogr Clin Neurophysiol 61:375-380.;;Halgren E, Wilson CL, Stapleton JM (1985) Human medial temporal-lobe stimulation disrupts both formation and retrieval of recent memories. Brain Cogn 4:287-295.;;Hamani C, McAndrews MP, Cohn M, Oh M, Zumsteg D, Shapiro CM, Wennberg RA, Lozano AM (2008) Memory enhancement induced by hypothalamic/fornix deep brain stimulation. Ann Neurol 63:119-123.;;Hannesson, D.K. and Corcoran, M.E. (2000) The mnemonic effects of kindling. Neurosci. Biobehav. Rev. 24: 725-751.;;Hartley T, Maguire EA, Spiers HJ, Burgess N (2003) The well-worn route and the path less traveled: distinct neural bases of route following and wayfinding in humans. Neuron 37:877-888.;;Johnson MD, Ojemann GA (2000) The role of the human thalamus in language and memory: evidence from electrophysiological studies. Brain Cogn 42:218-230.;;Kadar E, Aldavert-Vera, L, Huguet, G, Costa-Miserachs, D, Morgado-Bernal, I, Segura-Torres, P, (2011) Intracranial self-stimulation induces expression of learning and memory-related genes in rat amygdala, Genes Brain and Behavior, 10:69-77.;;Lacruz ME, Valentin A, Seoane JJ, Morris RG, Selway RP, Alarcón G. (2010) Single pulse electrical stimulation of the hippocampus is sufficient to impair human episodic memory. Neuroscience. 170(2):623-32.;;Lang AE, Lozano AM. (1998) Parkinson's disease. Part II: medical pro-gress. N. Engl J Med 339:1130-1143.;;Laxton AW, Tang-Wai DF, McAndrews MP, Zumsteg D, Wennberg R, Keren R, Wherrett J, Naglie G, Hamani C, Smith GS, Lozano AM. (2010) A phase I trial of deep brain stimulation of memory circuits in Alzheimer's disease. Ann Neurol. (in press).;;Lewis PR, Shute CCD. (1967) The cholinergic limbic system: Projections to hippocampal formation, medial cortex, nuclei of ascending cholinergic reticular system, and the subfornical organ and supra-optic crest. Brain 90:521-540.;;Lopes da Silva, F.H., Gorter, J.A., and Wadman, W.J. (1986) Kindling of the hippocampal induces spatial memory deficits in the rat. Neurosci. Lett. 63: 115-120.;;Maguire EA (2001) Neuroimaging studies of autobiographical event memory. Philos Trans R Soc Lond B Biol Sci 356:1441-1451.;;Mayberg HS, Lozano AM, Voon V, McNeely HE, Seminowicz D, Hamani C, Schwalb JM, Kennedy SH. (2005) Deep brain stimulation for treatment-resistant depression. Neuron 45:651-660.;;Mount and Downton. (2006) Alzheimer disease: progress or profit? Nature Medicine. 12,780-784.;;Newman EL, Caplan JB, Kirschen MP, Korolev IO, Sekuler R, Kahana MJ (2007) Learning your way around town: how virtual taxicab drivers learn to use both layout and landmark information. Cognition 104:231-253.;;Nowak, K et al., (2011) Optimizing a Rodent Model of Parkinson's Disease for Exploring the Effects and Mechanisms of Deep Brain Stimulation. Parkinson's Disease, 19 pgs.;;Pastalkova E, Serrano P, Pinkhasova D, Wallace E, Fenton AA, Sacktor TC (2006) Storage of spatial information by the maintenance mechanism of LTP. Science 313:1141-1144.;;Pedreira, C, (2010) Responses of Human Medial Temporal Lobe Neurons Are Modulated by Stimulus Repetition. J Neurophysiol 103:97-107.;;Penfield W, Perot P (1963) The Brain's Record of Auditory and Visual Experience. A Final Summary and Discussion. Brain 86:595-696.;;Redolar-Ripoll D, Aldavert-Vera L, Soriano-Mas C, Segura-Torres P, Morgado-Bernal I (2002) Intracranial self-stimulation facilitates memory consolidation, but not retrieval: its effects are more effective than increased training. Behav Brain Res 129:65-75.;;Robinson, G.B., McNeil, H.A., and Reed, R.D. (1993) Comparison of short- and long-lasting effects of perforant path kindling on radial maze learning. Behav. Neurosci. 6: 1-8.;;Squire LR, Stark CE, Clark RE (2004) The medial temporal lobe. Annu Rev Neurosci 27:279-306.;;Soriano-Mas C, Redolar-Ripoll D, Aldavert-Vera L, Morgado-Bernal I, Segura-Torres P (2005) Post-training intracranial self-stimulation facilitates a hippocampus-dependent task. Behav Brain Res 160:141-147.;;Suthana NA, Ekstrom AD, Moshirvaziri S, Knowlton B, Bookheimer SY. (2009) Human hippocampal CA1 involvement during allocentric encoding of spatial information. Journal of Neuroscience 29:10512-9.;;The Regents of the University of California, Decision to Grant a European Patent, EP11848517.6, dated Apr. 1, 2016, 1 pg.;;The Regents of the University of California et al., International Search Report and Written Opinion, PCTUS2011/065648, dated Aug. 30, 2012, 8 pgs.;;The Regents of the University of California et al., International Preliminary Report on Patentability, PCTUS2011/0065648, dated Jun. 18, 2013, 5 pgs.;;The Regentsof the University of California, Office Action, IL226969, dated Aug. 29, 2016, 5 pgs.;;Toda H, Hamani C, Fawcett AP, Hutchison WD, Lozano AM (2008) The regulation of adult rodent hippocampal neurogenesis by deep brain stimulation. J Neurosurg 108:132-138.;;Tuszynski MH, Thal L, Pay M, Salmon DP, Hs U, Bakay R, Patel P, Blesch A, Vahlsing HL, Ho G, Tong G, Potkin SG, Fallon J, Hansen L, Mufson EJ, Kordower JH, Gall C, Conner J (2005) A phase 1 clinical trial of nerve growth factor gene therapy for Alzheimer disease. Nat Med 11:551-555.;;Vertes RP (2005) Hippocampal theta rhythm: a tag for short-term memory. Hippocampus 15:923-935.;;Wechsler, D. (1997) Wechsler Adult Intelligence Scale—Third edition (WAIS-III). San Antonio, TX: Psychological Corporation.;;Wechsler D (2005) Wechsler Memory Scale—Fourth edition. Revised. New York, Psychological Corp/Harcourt Brace Jovanovich.;;Williams JM, Givens B (2003) Stimulation-induced reset of hippocampal theta in the freely performing rat. Hippocampus 13:109-116.;;Woods, S. P. Delis, D.C., Kramer, J.H., Kaplan, E., & Ober, B.A., Scott, J.C., Holdnack, J.A. (2006) California Verbal Learning Test: Second Edition. Test—retest reliability, practice effects, and reliable change indices for the standard and alternate forms. Archives of Clinical Neuropsychology 21:413-420.;;Vas, C.J. et al. (2001) Alzheimer's Disease: The Brain Killer World Health Organization.;;Vignai JP, Maillard L, McGonigal A, Chauvel P (2007) The dreamy state: hallucinations of autobiographic memory evoked by temporal lobe stimulations and seizures. Brain 130:88-99.;;Yassa MA, Muftuler LT, Stark CE. (2010) Ultrahigh-resolution microstructural diffusion tensor imaging reveals perforant path degradation in aged humans in vivo. Proc Natl Acad Sci U S A.;107(28):12687-91.;;Zeineh MM, Engel SA, Thompson P M, Bookheimer SY (2003) Dynamics of the hippocampus during encoding and retrieval of face-name pairs. Science 299:577-580.;;The Regentsof the University of California, Notice of Allowance, CA2859648, dated Oct. 11, 2017, 1 pg.;;The Regentsof the University of California, Notice of Allowance, IL226969, dated Aug. 14, 2017, 4 pgs.",ACTIVE
8,EP,A4,EP 2651507 A4,024-126-841-888-732,2014-06-11,2014,EP 11848517 A,2011-12-16,US 201061424197 P;;US 201161474747 P;;US 2011/0065648 W,2010-12-17,SITE SPECIFIC DEEP BRAIN STIMULATION FOR ENHANCEMENT OF MEMORY,,UNIV CALIFORNIA,FRIED ITZHAK;;SUTHANA NANTHIA;;KNOWLTON BARBARA,,https://lens.org/024-126-841-888-732,Search Report,no,4,0,12,12,0,A61N1/36092;;A61N1/3616;;A61N1/36092;;A61N1/3616;;A61N1/36082;;A61N1/36139;;A61N1/0534,A61N1/36;;A61N1/05;;A61N1/20,,0,0,,,,ACTIVE
9,US,A1,US 2017/0113046 A1,182-895-418-575-005,2017-04-27,2017,US 201515317319 A,2015-06-09,US 201515317319 A;;US 201462009884 P;;US 2015/0034962 W,2014-06-09,SYSTEMS AND METHODS FOR RESTORING COGNITIVE FUNCTION,"Systems and methods for restoring cognitive function are disclosed. In some implementations, a method includes, at a computing device, separately stimulating one or more of lateral and medial entorhinal afferents and other structures connecting to a hippocampus of an animal subject in accordance with a plurality of predefined stimulation patterns, thereby attempting to restore object-specific memories and location-specific memories; collecting a plurality of one or more of macro- and micro-recordings of the stimulation of hippocampalentorhinal cortical (HEC) system; and refining the computational model for restoring individual memories in accordance with a portion of the plurality of one or more of macro- and micro-recordings.",UNIV CALIFORNIA,FRIED ITZHAK;;MARKOVIC DEJAN;;SUTHANA NANTHIA,,https://lens.org/182-895-418-575-005,Patent Application,yes,2,55,6,6,0,A61B5/4064;;A61B5/4836;;A61N1/0531;;A61N1/0534;;A61N1/36092;;A61N1/36125;;A61N1/36139;;A61B5/6868;;A61B5/055;;A61B5/4094;;A61N1/025;;G16H50/50;;A61N1/36082;;G16H20/30;;A61B5/291;;A61B5/369;;G16H50/50;;A61B5/4064;;A61B5/4836;;A61N1/0531;;A61N1/0534;;A61N1/36092;;A61N1/36125;;A61N1/36139;;A61B5/6868;;A61B5/055;;A61B5/4094;;A61N1/025;;G16H20/30;;A61B5/291;;A61B5/369;;A61N1/36082;;A61N1/37229;;G16H20/40,A61B5/00;;A61N1/36;;A61B5/0478;;A61B5/055;;A61N1/05;;A61N1/372;;G16H20/30,,0,0,,,,ACTIVE
10,WO,A3,WO 2012/083254 A3,120-618-173-594-309,2012-11-08,2012,US 2011/0065648 W,2011-12-16,US 201061424197 P;;US 201161474747 P,2010-12-17,SITE SPECIFIC DEEP BRAIN STIMULATION FOR ENHANCEMENT OF MEMORY,"A site-specific deep brain stimulation for enhancement of memory is described. A method of the site-specific deep brain stimulation for enhancement of memory may include implanting intracranial depth electrodes in a patient, wherein the electrodes are placed in right and/or left entorhinal regions, and stimulating the electrodes with current set below an after-discharge threshold. The method may include stimulation at a specific brain site in the medial temporal lobe, stimulation (ODTS) at specific stages of information processing. A system for site specific deep brain stimulation of entorhinal regions during specific stages of information processing is also described.",UNIV CALIFORNIA;;FRIED ITZHAK;;SUTHANA NANTHIA;;KNOWLTON BARBARA,FRIED ITZHAK;;SUTHANA NANTHIA;;KNOWLTON BARBARA,,https://lens.org/120-618-173-594-309,Search Report,yes,4,0,12,12,0,A61N1/36092;;A61N1/36092;;A61N1/0534;;A61N1/36082;;A61N1/36139;;A61N1/3616;;A61N1/3616,A61N1/36;;A61N1/05;;A61N1/20,,1,0,,,See also references of EP 2651507A4,PENDING
