"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,SE,B,SE 437143 B,044-760-744-324-445,1985-02-11,1985,SE 7812859 A,1978-12-14,DE 2756223 A,1977-12-16,"SETT OCH ANORDNING FOR ATT STYRA INFORANDET AV PLATT, BOJLIGT TRANSPORTGODS TILL AVLEGGNINGSFACK I EN SNABBROTERANDE SPIRALFACKSTAPLARE",,GAO GES AUTOMATION ORG,GEIER J,,https://lens.org/044-760-744-324-445,Unknown,no,0,0,11,11,0,B65H29/40;;B65H43/00;;B65H2301/4212;;B65H2701/1912;;B65H43/00;;B65H29/40;;B65H2701/1912;;B65H2301/4212,B65H29/40;;B65H43/00,,0,0,,,,DISCONTINUED
2,SE,L,SE 7812859 L,041-811-198-199-218,1979-06-17,1979,SE 7812859 A,1978-12-14,DE 2756223 A,1977-12-16,SETT ATT STYRA INFORANDET AV MATERIAL IN I UPPSLAGSFACK TILL EN SPIRALFACKSTAPLARE,,GAO GES AUTOMATION ORG,GEIER J,,https://lens.org/041-811-198-199-218,Abstract,no,0,0,11,11,0,B65H29/40;;B65H43/00;;B65H2301/4212;;B65H2701/1912;;B65H43/00;;B65H29/40;;B65H2701/1912;;B65H2301/4212,B65H29/40;;B65H43/00,,0,0,,,,DISCONTINUED
3,NO,D0,NO 922260 D0,016-917-957-568-395,1992-06-09,1992,NO 922260 A,1992-06-09,US 71343891 A,1991-06-10,GLOBALT POSISJONERINGSSYSTEM FOR BESTEMMELSE AV ABSOLUTT OG RELATIV POSISJON OG AV HASTIGHET MED HOEYT NOEYAKTIGHETS-OG TILLITSNIVAA,,TRIMBLE NAVIGATION LTD,GEIER GEORGE J,,https://lens.org/016-917-957-568-395,Patent Application,no,0,0,8,8,0,G01S19/04;;G01S19/14;;G01S19/44;;G01S19/14;;G01S19/44;;G01S19/04,G01S5/14;;G01S19/11,,0,0,,,,PENDING
4,CN,A,CN 113966455 A,112-457-695-989-071,2022-01-21,2022,CN 202080042803 A,2020-06-12,US 201962861131 P;;US 2020/0037514 W,2019-06-13,"HANDHELD MEASUREMENT, SEARCH AND SAFETY DEVICE","The invention relates to a handheld measurement, search and safety device that includes a main frame having a handle, an extendable member that slides outwards from the main frame in measured increments, and an interchangeable support brace comprising either a buttstock and an arm brace to allow responders to use the extendable member to survey hazardous materials at a distance. The handheld measurement, search and safety device includes a plurality of picatinny rails disposed on both the main frame and extendable member to removably mount a host of different field survey instruments and/or tactical accessories for detecting, locating, identifying, measuring, or sampling hazardous materials including radioactive materials or toxic chemicals.",GEIER MICHAEL J,GEIER MICHAEL J,,https://lens.org/112-457-695-989-071,Patent Application,no,8,0,13,13,0,F41C27/00;;F41A23/08;;B25G1/04;;B25G1/102;;B25G1/06;;G01V5/26;;F41A23/08;;F41C27/00;;F41A21/48;;G01V5/00;;G01T1/02;;F41A21/48;;F41A23/08;;G01T1/02;;B25G3/24;;F16M13/04;;B25G1/04;;B25G1/06,F41B11/00;;F41G11/00,,0,0,,,,PENDING
5,ZA,B,ZA 202109377 B,077-052-303-259-131,2022-03-30,2022,ZA 202109377 A,2021-11-22,US 201962861131 P;;US 2020/0037514 W,2019-06-13,"HANDHELD MEASUREMENT, SEARCH AND SAFETY DEVICE",,MICHAEL J GEIER,MICHAEL J GEIER,,https://lens.org/077-052-303-259-131,Granted Patent,no,0,0,13,13,0,F41C27/00;;F41A23/08;;B25G1/04;;B25G1/102;;B25G1/06;;G01V5/26;;F41A23/08;;F41C27/00;;F41A21/48;;G01V5/00;;G01T1/02;;F41A21/48;;F41A23/08;;G01T1/02;;B25G3/24;;F16M13/04;;B25G1/04;;B25G1/06,,,0,0,,,,ACTIVE
6,US,B1,US 8857802 B1,006-766-794-388-999,2014-10-14,2014,US 201213549464 A,2012-07-14,US 201213549464 A;;US 201161508476 P;;US 201261645039 P,2011-07-15,Melon cutting boards,"A generally square base serving tray is subdivided generally diagonally into three sections by partial-height walls and having partial-height support pads at opposite ends of the diagonal perpendicular to the sections, and an irregular oval or boat-shaped cutting and serving tray configured to nestle to the bottom of and within a center diagonal section of the base serving tray or alternatively rest elevated above the partial-height walls between a pair of partial-height support pads. The base serving tray and the nestled cutting tray each have lids permitting food to be stored therein. The nestled cutting tray lid is further designed to serve as an alternative flat cutting board with a juice groove defined by the lid closure lip. The unique geometry of the upper rim of the cutting tray, illustrated in an alternative four-member construction, accommodates melons of various sizes, and secures them against sliding or rolling during cutting.",GEIER GARY J,GEIER GARY J,,https://lens.org/006-766-794-388-999,Granted Patent,yes,76,14,1,1,0,A47J47/005;;A47G19/02;;B26D3/26;;B26D3/24;;B26D3/245;;A47J47/005;;A47G19/02;;B26D3/26;;B26D3/24;;B26D3/245,A23G1/10;;B23Q3/00;;A47J37/08;;A47J47/00;;B23Q1/00,269/9;;99/401;;99/485,0,0,,,,INACTIVE
7,US,B2,US 11486672 B2,034-684-009-753-29X,2022-11-01,2022,US 202016900314 A,2020-06-12,US 202016900314 A;;US 201962861131 P,2019-06-13,"Handheld measurement, search and safety device","A handheld measurement, search and safety device that includes a main frame having a handle, an extendable member that slides outwards from the main frame in measured increments, and an interchangeable support brace comprising either a buttstock or arm brace to allow responders to use the extendable member to survey hazardous materials at a distance, or a one-handed configuration used to survey hazard materials in confined areas. The handheld measurement, search and safety device includes a plurality of picatinny rails disposed on both the main frame and extendable member to removably mount a host of different field survey instruments and/or tactical accessories for detecting, locating, identifying, measuring, or sampling hazardous materials including radioactive materials or toxic chemicals.",GEIER MICHAEL J,GEIER MICHAEL J,MJ GEIER AND ASSOCIATES INCORPORATED (2023-01-26);;ASARACO LLC (2024-01-07),https://lens.org/034-684-009-753-29X,Granted Patent,yes,39,0,13,13,0,F41C27/00;;F41A23/08;;B25G1/04;;B25G1/102;;B25G1/06;;G01V5/26;;F41A23/08;;F41C27/00;;F41A21/48;;G01V5/00;;G01T1/02;;F41A21/48;;F41A23/08;;G01T1/02;;B25G3/24;;F16M13/04;;B25G1/04;;B25G1/06,F41A23/08;;B25G1/04;;B25G1/06;;B25G3/24;;B25J1/04;;F16M13/04;;F41A21/48;;G01T1/02,,0,0,,,,ACTIVE
8,US,A1,US 2021/0172695 A1,039-588-980-546-573,2021-06-10,2021,US 202016900314 A,2020-06-12,US 202016900314 A;;US 201962861131 P,2019-06-13,"HANDHELD MEASUREMENT, SEARCH AND SAFETY DEVICE","A handheld measurement, search and safety device that includes a main frame having a handle, an extendable member that slides outwards from the main frame in measured increments, and an interchangeable support brace comprising either a buttstock or arm brace to allow responders to use the extendable member to survey hazardous materials at a distance, or a one-handed configuration used to survey hazard materials in confined areas. The handheld measurement, search and safety device includes a plurality of picatinny rails disposed on both the main frame and extendable member to removably mount a host of different field survey instruments and/or tactical accessories for detecting, locating, identifying, measuring, or sampling hazardous materials including radioactive materials or toxic chemicals.",GEIER MICHAEL J,GEIER MICHAEL J,MJ GEIER AND ASSOCIATES INCORPORATED (2023-01-26);;ASARACO LLC (2024-01-07),https://lens.org/039-588-980-546-573,Patent Application,yes,0,3,13,13,0,F41C27/00;;F41A23/08;;B25G1/04;;B25G1/102;;B25G1/06;;G01V5/26;;F41A23/08;;F41C27/00;;F41A21/48;;G01V5/00;;G01T1/02;;F41A21/48;;F41A23/08;;G01T1/02;;B25G3/24;;F16M13/04;;B25G1/04;;B25G1/06,F41A23/08;;G01T1/02,,0,0,,,,ACTIVE
9,CA,C,CA 2070116 C,099-823-107-284-322,1995-01-24,1995,CA 2070116 A,1992-06-01,US 71343891 A,1991-06-10,GLOBAL POSITIONING SYSTEM BASED METHOD FOR HIGH-ACCURACY AND HIGH-CONFIDENCE LEVEL ABSOLUTE AND RELATIVE POSITION AND VELOCITY DETERMINATIONS,"An embodiment of the present invention is a shipboard GPS positioning system having data links to outlying tailbuoys equipped with respective GPS receivers. On ship, an Intel 386-based microcomputer system collects data from various ship's equipment including the ships's GPS receiver and data from the several tailbuoy units. A computerimplemented process located in the microcomputer system controls the following processes. Periodically each GPS receiver produced updated pseudo ranges (PRs) and these are time-tagged. The time-tagged PRs for the ship are aligned according to their time tags with their counterpart PRs from the tailbuoys. The raw PRs are then passed through a Kalman mathematical filter to produce filtered pseudoranges (??s). A position solution is then attempted for each GPS receiver using the ??s. The filters provide statistical data that is used to rate the quality of each ?? in a weighted least squares solution process. Special measures are included to provide quality control/quality assurance, including the use of error ellipses on the display, to present a graphic indication of expected solution accuracy, and the use of real time fault detection, isolation, and correction algorithms when redundant satellite information is available.",TRIMBLE NAVIGATION LTD,GEIER GEORGE J,,https://lens.org/099-823-107-284-322,Granted Patent,no,0,0,8,8,0,G01S19/04;;G01S19/14;;G01S19/44;;G01S19/14;;G01S19/44;;G01S19/04,G01S19/11;;G01S5/14,,0,0,,,,EXPIRED
10,EP,A1,EP 3983745 A1,108-354-653-929-672,2022-04-20,2022,EP 20822645 A,2020-06-12,US 201962861131 P;;US 2020/0037514 W,2019-06-13,"HANDHELD MEASUREMENT, SEARCH AND SAFETY DEVICE",,GEIER MICHAEL J,GEIER MICHAEL J,,https://lens.org/108-354-653-929-672,Patent Application,yes,0,0,13,13,0,F41C27/00;;F41A23/08;;B25G1/04;;B25G1/102;;B25G1/06;;G01V5/26;;F41A23/08;;F41C27/00;;F41A21/48;;G01V5/00;;G01T1/02;;F41A21/48;;F41A23/08;;G01T1/02;;B25G3/24;;F16M13/04;;B25G1/04;;B25G1/06,F41B11/00;;F41G11/00,,0,0,,,,PENDING
11,EP,A2,EP 1649448 A2,123-137-341-160-430,2006-04-26,2006,EP 03817464 A,2003-08-13,US 0325209 W;;US 46433103 A;;US 18383203 A,2003-06-18,RELEASABLE TREMOLO LOCK DEVICE,,GEIER KEVAN J,GEIER KEVAN J,,https://lens.org/123-137-341-160-430,Patent Application,yes,0,0,1,9,0,,G10D3/04,,1,0,,,See references of WO 2005006306A3,DISCONTINUED
