"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,IN,B,IN 172652 B,187-735-036-341-114,1993-10-30,1993,IN 366DE1988 A,1988-04-27,IN 366DE1988 A,1988-04-27,Linearized differential amplifier,,MOTOROLA INC,ECKLUND LAWRENCE MARVIN;;MARIK CHARLES JAMES,,https://lens.org/187-735-036-341-114,Granted Patent,no,0,0,1,1,0,,H03F3/00,,0,0,,,,EXPIRED
2,US,A,US 5960760 A,071-634-144-006-007,1999-10-05,1999,US 2678598 A,1998-02-20,US 2678598 A,1998-02-20,Light weight hollow valve assembly,"An light weight hollow valve assembly for use in an engine. The intake and exhaust valve seats are of a different metallurgical composition for reducing adhesive and abrasive wear between the valve seat and the insert. The assembly 10 includes a valve 12 including a valve seat face 16. An insert 18 is mounted within the engine for cooperating in sealing engagement with the valve seat face 16. The insert 18 and the valve seat face 16 are each provided with a layer 20, 22 consisting essentially of a nitride for reducing adhesive and abrasive wear between the valve seat face 16 and the insert 18.",EATON CORP,WANG YUSHU;;NARASIMHAN SIMON;;ECKLUND LES;;LARSEN JAMES,EATON CORPORATION (1998-01-30),https://lens.org/071-634-144-006-007,Granted Patent,yes,6,16,8,8,0,F01L3/22;;F01L3/22;;F01L3/02;;F01L3/02;;F01L3/04;;F01L3/04;;Y10T29/49298;;Y10T29/49298,C22C38/00;;C22C38/04;;C22C38/40;;F01L3/02;;F01L3/04;;F01L3/22,123/188.3;;123/188.8;;29/888.4,4,2,074-358-329-158-817;;031-698-502-286-427,10.1361/105994998770348043;;10.4271/851497,"Y.S. Wang, S. Narasimhan, J.M. Larson, S.K. Schaefer, Wear and Wear Mechanism Simulation Of Heavy Duty Engine Intake Valve and Seat Inserts , Jun. 1997, pp. 1 12 (with attachments).;;S.L. Narasimhan, J.M. Larson, Valve Gear Wear and Materials , SAE Technical Paper Series 851497.;;S.K. Schaefer, J.M. Larson, L.F. Jenkins, Y. Wang, Evolution of Heavy Duty Engine Valves Materials and Design , pp. 129 139.;;Sur Sulf Treatment , Komatsu Ltd., Oct. 30, 1987.",EXPIRED
3,US,A,US 3321564 A,195-829-244-723-288,1967-05-23,1967,US 47027965 A,1965-05-11,US 47027965 A;;US 23443762 A,1962-10-31,Method for thermally conditioning blow molded machine elements,,AMERICAN CAN CO,JAMES DOBBINS WALTER;;FREDERICK ECKLUND OSCAR;;FRANZ POLKA EUGEN,,https://lens.org/195-829-244-723-288,Granted Patent,no,5,10,1,2,0,B29C49/06;;B29C49/064;;B29C49/6445;;B29C71/02;;B29K2105/258;;B29C2949/08;;B29C2049/023;;B29C2949/0715;;B29C49/6445;;B29K2105/258;;B29C49/06;;B29C71/02;;B29C49/064;;B29C2949/08,B29C49/06;;B29C49/64;;B29C71/02,,0,0,,,,EXPIRED
4,US,A,US 3186028 A,191-755-405-865-857,1965-06-01,1965,US 23443762 A,1962-10-31,US 23443762 A,1962-10-31,Apparatus for thermally conditioning blow molding machine elements,,AMERICAN CAN CO,JAMES DOBBINS WALTER;;FREDERICK ECKLUND OSCAR;;FRANZ POLKA EUGEN,,https://lens.org/191-755-405-865-857,Granted Patent,no,8,18,1,2,0,B29C49/064;;B29C49/6463;;B29C49/68;;B29K2105/258;;Y10S264/33;;B29C2949/08;;B29C2049/023;;B29C49/68;;B29K2105/258;;B29C49/064;;B29C49/6463;;Y10S264/33;;B29C2949/08,B29C49/06;;B29C49/64;;B29C49/68,,0,0,,,,EXPIRED
5,EP,A2,EP 0937867 A2,062-853-266-811-198,1999-08-25,1999,EP 99300930 A,1999-02-09,US 2678598 A,1998-02-20,Light weight hollow valve assembly,"An light weight hollow valve assembly for use in an engine. The intake and exhaust valve seats are of a different metallurgical composition for reducing adhesive and abrasive wear between the valve seat and the insert. The assembly 10 includes a valve 12 including a valve seat face 16. An insert 18 is mounted within the engine for cooperating in sealing engagement with the valve seat face 16. The insert 18 and the valve seat face 16 are each provided with a layer 20, 22 consisting essentially of a nitride for reducing adhesive and abrasive wear between the valve seat face 16 and the insert 18.",EATON CORP,WANG YUSHU;;NARASIMHAN SIMON;;ECKLUND LESLIE LEE;;LARSEN JAMES MARTIN,,https://lens.org/062-853-266-811-198,Patent Application,yes,2,2,8,8,0,F01L3/22;;F01L3/22;;F01L3/02;;F01L3/02;;F01L3/04;;F01L3/04;;Y10T29/49298;;Y10T29/49298,C22C38/00;;C22C38/04;;C22C38/40;;F01L3/02;;F01L3/04;;F01L3/22,,1,0,,,"BRIAN RADFORD: ""Nitriding in a cyanate based salt bath to improve resistance to scuffing wear and fatigue"", vol. 46, 1979",EXPIRED
6,DE,T2,DE 69912489 T2,018-835-339-461-527,2004-08-26,2004,DE 69912489 T,1999-02-09,US 2678598 A,1998-02-20,Anordnung für Hohlventil mit geringem Gewicht,,EATON CORP,WANG YUSHU;;NARASIMHAN SIMON;;ECKLUND LESLIE LEE;;LARSEN JAMES MARTIN,,https://lens.org/018-835-339-461-527,Granted Patent,no,0,0,8,8,0,F01L3/22;;F01L3/22;;F01L3/02;;F01L3/02;;F01L3/04;;F01L3/04;;Y10T29/49298;;Y10T29/49298,C22C38/00;;C22C38/04;;C22C38/40;;F01L3/02;;F01L3/04;;F01L3/22,,0,0,,,,EXPIRED
7,JP,A,JP H11315356 A,118-163-436-110-821,1999-11-16,1999,JP 4151699 A,1999-02-19,US 2678598 A,1998-02-20,LIGHTWEIGHT AND HOLLOW VALVE DEVICE,"PROBLEM TO BE SOLVED: To improve the wear resistance of a superlightweight valve device by specifying each compsn. a suction valve seat composed of C, Si, Mn and Fe and of an exhaust valve seat face composed of C, Si, Mn, Cr, Ni and Fe and providing the abutted face between each and an inserting member with a nitride layer. SOLUTION: The inside of the inner hole of a valve stem guide 14 of a cylinder head 24 of an engine is provided with a suction valve and an exhaust valve of a lightweight and hollow valve 12 so as to move reciprocatively. As for this superlightweight valve device 10, the valve seat of the suction valve 12 has a compsn. composed of, by weight, 0.15 to 0.50% C, <=0.30% Si, 0.30 to 1.65% Mn, and the balance Fe. The valve seat of the exhaust valve 12 to form into the one on the high-temp. side has a compsn. composed of 0.15 to 0.50% C, 0.10 to 3.50% Si, <=9.5% Mn, 8.00 to 22.0% Cr, <=14.0% Ni, and the balance Fe. Moreover, an inserting member 18 is arranged at the cylinder head 24 and cooperatively receives each valve seat face. Each abutted face between the valve seat face and the inserting member 18 is provided with a nitride layer of about >=20 μm thickness to attain the reduction of wear therein caused by adhesion and friction.",EATON CORP,WANG YUSHU;;NARASIMHAN SIMON;;ECKLUND LESLIE LEE;;LARSEN JAMES MARTIN,,https://lens.org/118-163-436-110-821,Patent Application,no,0,1,8,8,0,F01L3/22;;F01L3/22;;F01L3/02;;F01L3/02;;F01L3/04;;F01L3/04;;Y10T29/49298;;Y10T29/49298,C22C38/00;;C22C38/04;;C22C38/40;;F01L3/02;;F01L3/04;;F01L3/22,,0,0,,,,EXPIRED
8,DE,D1,DE 69912489 D1,164-378-326-669-014,2003-12-11,2003,DE 69912489 T,1999-02-09,US 2678598 A,1998-02-20,Anordnung für Hohlventil mit geringem Gewicht,,EATON CORP,WANG YUSHU;;NARASIMHAN SIMON;;ECKLUND LESLIE LEE;;LARSEN JAMES MARTIN,,https://lens.org/164-378-326-669-014,Granted Patent,no,0,0,8,8,0,F01L3/22;;F01L3/22;;F01L3/02;;F01L3/02;;F01L3/04;;F01L3/04;;Y10T29/49298;;Y10T29/49298,C22C38/00;;C22C38/04;;C22C38/40;;F01L3/02;;F01L3/04;;F01L3/22,,0,0,,,,EXPIRED
9,EP,B1,EP 0937867 B1,153-196-319-645-149,2003-11-05,2003,EP 99300930 A,1999-02-09,US 2678598 A,1998-02-20,Light weight hollow valve assembly,,EATON CORP,WANG YUSHU;;NARASIMHAN SIMON;;ECKLUND LESLIE LEE;;LARSEN JAMES MARTIN,,https://lens.org/153-196-319-645-149,Granted Patent,yes,6,0,8,8,0,F01L3/22;;F01L3/22;;F01L3/02;;F01L3/02;;F01L3/04;;F01L3/04;;Y10T29/49298;;Y10T29/49298,C22C38/00;;C22C38/04;;C22C38/40;;F01L3/02;;F01L3/04;;F01L3/22,,0,0,,,,EXPIRED
10,EP,A3,EP 0937867 A3,196-823-849-332-545,2000-04-26,2000,EP 99300930 A,1999-02-09,US 2678598 A,1998-02-20,Light weight hollow valve assembly,"An light weight hollow valve assembly for use in an engine. The intake and exhaust valve seats are of a different metallurgical composition for reducing adhesive and abrasive wear between the valve seat and the insert. The assembly 10 includes a valve 12 including a valve seat face 16. An insert 18 is mounted within the engine for cooperating in sealing engagement with the valve seat face 16. The insert 18 and the valve seat face 16 are each provided with a layer 20, 22 consisting essentially of a nitride for reducing adhesive and abrasive wear between the valve seat face 16 and the insert 18.",EATON CORP,WANG YUSHU;;NARASIMHAN SIMON;;ECKLUND LESLIE LEE;;LARSEN JAMES MARTIN,,https://lens.org/196-823-849-332-545,Search Report,yes,6,0,8,8,0,F01L3/22;;F01L3/22;;F01L3/02;;F01L3/02;;F01L3/04;;F01L3/04;;Y10T29/49298;;Y10T29/49298,C22C38/00;;C22C38/04;;C22C38/40;;F01L3/02;;F01L3/04;;F01L3/22,,0,0,,,,EXPIRED
