"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,S,US D0956545 S,036-582-155-076-923,2022-07-05,2022,US 201229421936 F,2012-10-24,US 201229421936 F,2012-10-24,Clip cable holder,,CONE JEFFREY,CONE JEFFREY,,https://lens.org/036-582-155-076-923,Design Right,no,35,1,1,1,0,,,0805;;D 8394,0,0,,,,ACTIVE
2,US,B1,US 6415823 B1,196-638-299-962-256,2002-07-09,2002,US 30260599 A,1999-04-30,US 30260599 A,1999-04-30,Catheter tip insert,"
    An insert is disclosed that is placed in the slit in a slit tipped catheter during storage of the catheter. This insert prevents opposite of the slit from contacting and forming bonds that tend to close the slit. When the catheter is to be used, the insert is removed and the catheter is used in its intended way. 
",MEDTRONIC INC,VASEK JEFFREY A;;SPECKMAN LORI CONE,MEDTRONIC INC (1999-04-30),https://lens.org/196-638-299-962-256,Granted Patent,yes,7,15,3,3,0,A61M27/006;;A61M27/006;;A61M2025/0078;;A61M2025/0078;;A61M2025/09116;;A61M2025/09116,A61M25/00;;A61M25/088;;A61M27/00,138 96R;;138/89;;604/256,1,0,,,"Medtronic PS Medical Model 99102 ""Innervision Catheter"".",EXPIRED
3,DE,A1,DE 10020678 A1,189-089-195-403-166,2000-12-14,2000,DE 10020678 A,2000-04-27,US 30260599 A,1999-04-30,Insert for a slit-ended catheter comprises a handle section and an insert section which is dimensioned so that it can be introduced into the central hollow space of the catheter through the slit end of the latter,The insert (36) for a slit-ended catheter comprises a handle section (40) and an insert section (38) whose width and height are dimensioned so that it can be introduced into the central hollow space of the catheter through the slit end of the latter.,MEDTRONIC INC,VASEK JEFFREY A;;SPECKMAN LORI CONE,,https://lens.org/189-089-195-403-166,Patent Application,no,0,0,3,3,0,A61M27/006;;A61M27/006;;A61M2025/0078;;A61M2025/0078;;A61M2025/09116;;A61M2025/09116,A61M25/00;;A61M25/088;;A61M27/00,,0,0,,,,EXPIRED
4,DE,B4,DE 10020678 B4,037-402-681-584-069,2007-10-11,2007,DE 10020678 A,2000-04-27,US 30260599 A,1999-04-30,Einsatz für eine Katheterspitze,,MEDTRONIC INC,VASEK JEFFREY A;;SPECKMAN LORI CONE,,https://lens.org/037-402-681-584-069,Granted Patent,no,1,0,3,3,0,A61M27/006;;A61M27/006;;A61M2025/0078;;A61M2025/0078;;A61M2025/09116;;A61M2025/09116,A61M25/00;;A61M25/088;;A61M27/00,,0,0,,,,EXPIRED
5,WO,A1,WO 2021/011918 A1,018-920-524-752-349,2021-01-21,2021,US 2020/0042653 W,2020-07-17,US 201962875411 P,2019-07-17,DISTRIBUTION TRANSFORMER MONITOR,"A distribution transformer monitor includes a housing arranged for positioning in proximity to a distribution transformer vessel. The monitor also includes a sensor arranged in the housing, which is positioned to generate digital data associated with at least one environmental condition that exists inside the distribution transformer vessel, and a processing circuit arranged to determine from the generated digital data that the at least one environmental condition has crossed a threshold. The sensor may include any one or more of a temperature sensor, a camera, an accelerometer, a pressure sensor, and a microphone.",UBICQUIA LLC,HUTSON BRADFORD;;ROOT JEFFREY;;FRENKEL YEVGENY;;CONE TYLER,,https://lens.org/018-920-524-752-349,Patent Application,yes,9,3,6,6,0,G06N20/00;;H01F27/402;;H01F27/02;;H01F27/02;;H01F27/402;;H01F27/422;;G01R31/00,H01F27/32;;G01R19/165;;G06N3/02;;G06N20/00;;H01F27/02,,0,0,,,,PENDING
6,US,A1,US 2004/0090471 A1,044-777-253-907-866,2004-05-13,2004,US 29226002 A,2002-11-12,US 29226002 A,2002-11-12,Graphical program node for displaying acquired images,"
   A display node in a graphical program may be used to automatically transfer an image from an embedded device lacking display capabilities to another device having a display. A method for displaying an image involves creating a graphical program on a display in response to user input and executing the graphical program on a first embedded system. The graphical program may include a first node for acquiring an image and a second node for displaying the image. If the first embedded system is coupled to a second system having a display device, executing the graphical program involves the second node transferring the image to the second system and directing the second system to display the image on the display device of the second system. If the first embedded system is not coupled to a second system having a display device, the second node may perform no display operation during execution. 
",CONE EVAN W.;;SCHOLTZ JOHANN G.;;KELLAM JEFFREY J.,CONE EVAN W;;SCHOLTZ JOHANN G;;KELLAM JEFFREY J,NATIONAL INSTRUMENTS CORPORATION (2002-11-06),https://lens.org/044-777-253-907-866,Patent Application,yes,18,11,2,2,0,G06F9/451;;G06F9/451,G06F9/44;;G09G5/00,345/853,0,0,,,,EXPIRED
7,US,B2,US 7293112 B2,181-068-773-687-356,2007-11-06,2007,US 29226002 A,2002-11-12,US 29226002 A,2002-11-12,Graphical program node for displaying acquired images,"A display node in a graphical program may be used to automatically transfer an image from an embedded device lacking display capabilities to another device having a display. A method for displaying an image involves creating a graphical program on a display in response to user input and executing the graphical program on a first embedded system. The graphical program may include a first node for acquiring an image and a second node for displaying the image. If the first embedded system is coupled to a second system having a display device, executing the graphical program involves the second node transferring the image to the second system and directing the second system to display the image on the display device of the second system. If the first embedded system is not coupled to a second system having a display device, the second node may perform no display operation during execution.",NAT INSTR CORP,CONE EVAN W;;SCHOLTZ JOHANN G;;KELLAM JEFFREY J,NATIONAL INSTRUMENTS CORPORATION (2002-11-06),https://lens.org/181-068-773-687-356,Granted Patent,yes,17,13,2,2,0,G06F9/451;;G06F9/451,G06F13/00;;G06F9/44;;G09G5/00,709/250;;719/329;;717/105,23,2,144-248-806-188-972;;129-534-824-563-282,10.1109/pacrim.1991.160844;;10.1109/icip.1996.560624,"US 6,094,526, Marrion et al. (withdrawn).;;Optilab Image Processing and Analysis Software for the Apple Macintosh(TM) II, User's Manual, dated 1990.;;MacUser, John Rizzo, Image Analyst and Enhance, Jul. 1990, pp. 55-58.;;SPIE-The International Society for Optical Engineering, Steven Rosenthal and Larry StahlAerg, ""Integrated Approach to Machine Vision Application Development"", vol. 1386, Nov. 8, 1990, pp. 158-162.;;Automatix News Release, www.applefritter.com/macclones/automatix/newsrelease, Vision for Process Feedback and Control, Jul. 3, 2000, pp. 1-3.;;IPLab, Serious Image Processing for the Macintosh II, 1990.;;SPIE-The International Society for Optical Engineering, Michael S. Mort and Robert J. Fontana, ""Low Cost Image Analysis Workstation Which is Menu Driven and Extensible,"" vol. 1232, Feb. 4, 1990, pp. 380-389.;;IPLab(TM), User's Guide, Signal Analytics Corporation, 1991.;;MacGuide Magazine, vol. 2, Issue 4, Stuart Gitlow, M.D., ""X-Ray Vision,"" Jun. 1989, pp. 89-94.;;Ric Ford, Optimage Processes Scientific Images, 1994.;;Signal Analytics Corp., News Release, ""Signal Analytics Brings Powerful Scientific Image Processing to the Macintosh II"", Feb. 1, 1990 (2 pgs.).;;IPLab, ""Serious Scientific Image Processing for the Macintosh II"", 1992 (4 pgs.).;;IPLab, ""Gives You Unparalleled Value"", 1992, (6 pgs.).;;Signal Analytics Corp., ""IPLab Brings Affordable Scientific Image Processing to the Macintosh II"", estimated 1990 (2 pgs.).;;Automatix Inc., ""A Seminar on Machine Vision & Image Analysis"", 1993, (46 pgs.).;;National Instruments, Measurement and Automation Catalogue, Interactive Vision Software, 1999, pp. 518-520.;;MacUser, ""Ultimage and IPLab Spectrum"", Jul. 1991, (5 pgs.).;;Advanced Imaging, Special Report: Imaging and the Macintosh/Robust Image Databases, Apr. 1991, pp. 18-32.;;""IMAQ Vision Builder Tutorial,"" National Instruments , Jan. 1999.;;Hunt, Neil, ""IDF: A graphical datadlow programming language for image processing and computer vision"", p. 351-360, IEEE 1990, retrieved from the IEEE database Jan. 7, 2003.;;Keddy, W.A., Agathoklis, P., ""DEDIP: A user-friendly environment for digital image processing algorithm development"", p. 733-736, IEEE 1991, retrieved from the IEEE database Jan. 7, 2003.;;Konstantinides, Konstantinos, Rasure, John R., ""The Khoros Software Development Environment for Image and Signal Processing"", p. 1-14,, 1992, retrieved from http://www.hpl.hp.com/techreports/92/HPL-92-96.pdf on Jan. 7, 2003.;;Sim, Young-Seok, Lim, Chae-Seong, Moon, Young-Shik, Park, Sung-Han, ""Design and Implementation of the Visual Programming Environment for the Distributed Image Processing"", p. 149-152, IEEE 1996, retrieved from IEEE database Jan. 7, 2003.",ACTIVE
8,US,A1,US 2022/0262562 A1,123-854-784-823-418,2022-08-18,2022,US 202217739938 A,2022-05-09,US 202217739938 A;;US 202117273291 A;;US 2020/0042653 W;;US 201962875411 P,2019-07-17,TRANSFORMER MONITOR,"A distribution transformer monitor includes a housing arranged for positioning in proximity to a distribution transformer vessel. The monitor also includes a sensor arranged in the housing, which is positioned to generate digital data associated with at least one environmental condition that exists inside the distribution transformer vessel, and a processing circuit arranged to determine from the generated digital data that the at least one environmental condition has crossed a threshold. The sensor may include any one or more of a temperature sensor, a camera, an accelerometer, a pressure sensor, and a microphone. The housing of the distribution transformer monitor may include at least one indicator legend arranged to facilitate positioning of the housing in a substantially vertical orientation relative to the distribution transformer vessel.",UBICQUIA INC,HUTSON BRADFORD BRIAN;;ROOT JEFFREY T;;FRENKEL YEVGENY;;CONE TYLER EDISON,,https://lens.org/123-854-784-823-418,Patent Application,yes,2,0,6,6,0,G06N20/00;;H01F27/402;;H01F27/02;;H01F27/02;;H01F27/402;;H01F27/422;;G01R31/00,H01F27/40;;G01R31/00;;H01F27/02;;H01F27/42,,0,0,,,,ACTIVE
9,US,B1,US 11328862 B1,001-558-672-880-223,2022-05-10,2022,US 202017273291 A,2020-07-17,US 202017273291 A;;US 201962875411 P;;US 2020/0042653 W,2019-07-17,Distribution transformer monitor,"A distribution transformer monitor includes a housing arranged for positioning in proximity to a distribution transformer vessel. The monitor also includes a sensor arranged in the housing, which is positioned to generate digital data associated with at least one environmental condition that exists inside the distribution transformer vessel, and a processing circuit arranged to determine from the generated digital data that the at least one environmental condition has crossed a threshold. The sensor may include any one or more of a temperature sensor, a camera, an accelerometer, a pressure sensor, and a microphone.",UBICQUIA LLC;;UBICQUIA INC,HUTSON BRADFORD BRIAN;;ROOT JEFFREY T;;FRENKEL YEVGENY;;CONE TYLER EDISON,UBICQUIA INC (2021-02-27),https://lens.org/001-558-672-880-223,Granted Patent,yes,26,4,6,6,0,G06N20/00;;H01F27/402;;H01F27/02;;H01F27/02;;H01F27/402;;H01F27/422;;G01R31/00,H01F27/40;;G01R31/00;;H01F27/02;;H01F27/42,,2,0,,,"arresterworks.com, “What is a Lightning Arrester?”, http://www.arresterworks.com/ArresterFacts_files/ArresterFacts%20009%20What%20is%20an%20Arrester%20R3.pdf, Rev. 6, Aug. 2016, 18 pages.;;Hubbell Power Systems, Inc., “Surge Arresters IEC Line Discharge Classes 2, 3, 4 & 5”, Feb. 2015, 17 pages, Hubbell/Ohio Brass, Aiken, South Carolina, USA.",ACTIVE
10,US,A1,US 2022/0148800 A1,058-094-029-605-607,2022-05-12,2022,US 202017273291 A,2020-07-17,US 202017273291 A;;US 201962875411 P;;US 2020/0042653 W,2019-07-17,DISTRIBUTION TRANSFORMER MONITOR,"A distribution transformer monitor includes a housing arranged for positioning in proximity to a distribution transformer vessel. The monitor also includes a sensor arranged in the housing, which is positioned to generate digital data associated with at least one environmental condition that exists inside the distribution transformer vessel, and a processing circuit arranged to determine from the generated digital data that the at least one environmental condition has crossed a threshold. The sensor may include any one or more of a temperature sensor, a camera, an accelerometer, a pressure sensor, and a microphone.",UBICQUIA LLC,HUTSON BRADFORD BRIAN;;ROOT JEFFREY T;;FRENKEL YEVGENY;;CONE TYLER EDISON,UBICQUIA INC (2021-02-27),https://lens.org/058-094-029-605-607,Patent Application,yes,0,1,6,6,0,G06N20/00;;H01F27/402;;H01F27/02;;H01F27/02;;H01F27/402;;H01F27/422;;G01R31/00,H01F27/40;;H01F27/02;;H01F27/42,,0,0,,,,ACTIVE
