"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,WO,A1,WO 2020/219955 A1,071-945-354-612-572,2020-10-29,2020,US 2020/0029925 W,2020-04-24,US 201962904199 P;;US 201962838893 P,2019-04-25,ELECTRIC DRIVE MODULE,"A motor assembly having an inverter with a plurality of transistor assemblies. Each of the transistor assemblies can include a surface mount MOSFET, a heat sink, and a solder material. The MOSFET has a plurality of blade terminals and a surface mount terminal that is electrically coupled to one of the blade terminals. The heat sink has a base and a plurality of fins that extend from the base. The base defines a pocket having a bottom surface. The MOSFET is received into the pocket such that the surface mount terminal is disposed proximate the bottom surface. The solder material thermally coupling the surface mount terminal to the heat sink.",AMERICAN AXLE & MFG INC,DOWNS JAMES;;CRECELIUS DAVID;;RONNING JEFFREY;;VALENTE PAUL;;MORGANTE JOHN,,https://lens.org/071-945-354-612-572,Patent Application,yes,10,9,29,36,0,H01L23/3672;;H01L23/3677;;H01L23/40;;H01L21/4882;;H02K7/116;;H02K11/33;;H02K11/215;;H02K9/19;;H02K7/006;;H02K7/003;;H02K9/227;;H02K5/203;;H01L23/49811;;H01L23/3677;;H01L23/053;;H01L23/49844;;H01L24/31;;H01L29/78;;H01L21/4882;;H01L21/52;;H01L21/4853;;H01L21/56;;H01L21/4803;;H01L23/3736;;H01L23/49513;;H01L23/49562;;H01L23/49568;;H01L24/48;;H01L24/73;;H01L24/92;;H01L2224/48175;;H01L2224/73265;;H01L2224/92247;;H01L2924/13091;;H02K1/16;;H02K11/00;;H02K11/27;;H02K11/33;;H02K9/227;;H02K5/203;;H02K1/20;;H02K5/15;;H02K5/225;;H02K7/116;;H02K9/19;;H02K2211/03,H02K5/22;;H02K1/16;;H02K1/20;;H02K7/00;;H02K7/08;;H02K7/116;;H02K9/22;;H02K11/21;;H02P27/06,,1,0,,,See also references of EP 3959799A4,PENDING
2,CN,A,CN 113728537 A,052-500-606-114-414,2021-11-30,2021,CN 202080031188 A,2020-04-24,US 201962838893 P;;US 201962904199 P;;US 2020/0029925 W,2019-04-25,ELECTRIC DRIVE MODULE,"A motor assembly having an inverter with a plurality of transistor assemblies. Each of the transistor assemblies can include a surface mount MOSFET, a heat sink, and a solder material. The MOSFET has a plurality of blade terminals and a surface mount terminal that is electrically coupled to one of the blade terminals. The heat sink has a base and a plurality of fins that extend from the base. The base defines a pocket having a bottom surface. The MOSFET is received into the pocket such that the surface mount terminal is disposed proximate the bottom surface. The solder material thermally coupling the surface mount terminal to the heat sink.",AMERICAN AXLE & MFG INC,DOWNS JAMES;;CRECELIUS DAVID;;RONNING JEFFREY;;PAUL J VALENTE;;MORGANTE JOHN,,https://lens.org/052-500-606-114-414,Patent Application,no,10,0,29,36,0,H01L23/3672;;H01L23/3677;;H01L23/40;;H01L21/4882;;H02K7/116;;H02K11/33;;H02K11/215;;H02K9/19;;H02K7/006;;H02K7/003;;H02K9/227;;H02K5/203;;H01L23/49811;;H01L23/3677;;H01L23/053;;H01L23/49844;;H01L24/31;;H01L29/78;;H01L21/4882;;H01L21/52;;H01L21/4853;;H01L21/56;;H01L21/4803;;H01L23/3736;;H01L23/49513;;H01L23/49562;;H01L23/49568;;H01L24/48;;H01L24/73;;H01L24/92;;H01L2224/48175;;H01L2224/73265;;H01L2224/92247;;H01L2924/13091;;H02K1/16;;H02K11/00;;H02K11/27;;H02K11/33;;H02K9/227;;H02K5/203;;H02K1/20;;H02K5/15;;H02K5/225;;H02K7/116;;H02K9/19;;H02K2211/03,H02K11/33;;B23K37/00;;H02M7/00;;H02P27/06;;H05K7/20,,0,0,,,,PENDING
3,WO,A4,WO 2020/219955 A4,158-385-452-099-778,2021-01-07,2021,US 2020/0029925 W,2020-04-24,US 201962904199 P;;US 201962838893 P,2019-04-25,ELECTRIC DRIVE MODULE,"A motor assembly having an inverter with a plurality of transistor assemblies. Each of the transistor assemblies can include a surface mount MOSFET, a heat sink, and a solder material. The MOSFET has a plurality of blade terminals and a surface mount terminal that is electrically coupled to one of the blade terminals. The heat sink has a base and a plurality of fins that extend from the base. The base defines a pocket having a bottom surface. The MOSFET is received into the pocket such that the surface mount terminal is disposed proximate the bottom surface. The solder material thermally coupling the surface mount terminal to the heat sink.",AMERICAN AXLE & MFG INC,DOWNS JAMES;;CRECELIUS DAVID;;RONNING JEFFREY;;VALENTE PAUL;;MORGANTE JOHN,,https://lens.org/158-385-452-099-778,Patent Application,yes,0,0,29,36,0,H01L23/3672;;H01L23/3677;;H01L23/40;;H01L21/4882;;H02K7/116;;H02K11/33;;H02K11/215;;H02K9/19;;H02K7/006;;H02K7/003;;H02K9/227;;H02K5/203;;H01L23/49811;;H01L23/3677;;H01L23/053;;H01L23/49844;;H01L24/31;;H01L29/78;;H01L21/4882;;H01L21/52;;H01L21/4853;;H01L21/56;;H01L21/4803;;H01L23/3736;;H01L23/49513;;H01L23/49562;;H01L23/49568;;H01L24/48;;H01L24/73;;H01L24/92;;H01L2224/48175;;H01L2224/73265;;H01L2224/92247;;H01L2924/13091;;H02K1/16;;H02K11/00;;H02K11/27;;H02K11/33;;H02K9/227;;H02K5/203;;H02K1/20;;H02K5/15;;H02K5/225;;H02K7/116;;H02K9/19;;H02K2211/03,H02K5/22;;H02K1/16;;H02K1/20;;H02K7/00;;H02K7/08;;H02K7/116;;H02K9/22;;H02K11/21;;H02P27/06,,0,0,,,,PENDING
4,US,B2,US 11569698 B2,199-535-687-117-940,2023-01-31,2023,US 202017128281 A,2020-12-21,US 202017128281 A;;US 201715820934 A,2017-11-22,Electric motor and stator cooling apparatus,An electric motor can include a stator body defining fluid channels extending axially for fluid communication between axial ends of the stator body. Conductive windings can form first loops extending axially outward from the first end of the stator body and second loops extending axially outward from the second end of the stator body. A first cap can be coupled to the first end of the stator body and can include a first wall. The first wall can be between the first loops and the channels. Pins can extend from a side of the first wall that is opposite the first loops. The second cap can be coupled to the second end of the stator body and include a second wall. The second wall can be between the second loops and the channels. Pins can extend from a side of the second wall that is opposite the second loops.,AMERICAN AXLE & MFG INC,MORGANTE JOHN;;DOWNS JAMES P;;CRECELIUS DAVID;;FISCHER PETER;;RONNING JEFFREY J,,https://lens.org/199-535-687-117-940,Granted Patent,yes,21,1,12,12,0,H02K1/20;;H02K5/203;;H02K9/19;;H02K5/04;;H02K11/25;;H02K3/24;;H02K1/20;;H02K5/203;;H02K9/197;;H02K1/20;;H02K11/25;;H02K5/203;;H02K3/24;;H02K5/18;;H02K2205/09;;H02K9/19;;H02K3/14;;H02K9/22;;B60K2001/006;;H02K1/20;;H02K3/24;;H02K5/203;;H02K9/197;;H02K9/19,H02K1/20;;H02K3/24;;H02K5/20;;H02K9/19,,0,0,,,,ACTIVE
5,KR,A,KR 20190059231 A,160-734-874-293-284,2019-05-30,2019,KR 20180142486 A,2018-11-19,US 201715820934 A,2017-11-22,ELECTRIC MOTOR AND STATOR COOLING APPARATUS,An electric motor can comprise a stator body forming fluid channels extending axially for fluid communication between axial ends of the stator body. Conductive windings can form first loops extending axially outward from a first end of the stator body and second loops extending axially outward from a second end of the stator body. A first cap can be coupled to the first end of the stator body and can include a first wall. The first wall can be between the first loops and the channels. Pins can extend from a side surface of the first wall opposite to the first loops. A second cap can be coupled to the second end of the stator body and can include a second wall. The second wall can be between the second loops and the channels. Pins can extend from a side surface of the second wall opposite to the second loops.,AMERICAN AXLE & MFG INC,MORGANTE JOHN;;DOWNS JAMES P;;CRECELIUS DAVID;;FISCHER PETER;;RONNING JEFFREY J,,https://lens.org/160-734-874-293-284,Patent Application,no,3,1,12,12,0,H02K1/20;;H02K5/203;;H02K9/19;;H02K5/04;;H02K11/25;;H02K3/24;;H02K1/20;;H02K5/203;;H02K9/197;;H02K1/20;;H02K11/25;;H02K5/203;;H02K3/24;;H02K5/18;;H02K2205/09;;H02K9/19;;H02K3/14;;H02K9/22;;B60K2001/006;;H02K1/20;;H02K3/24;;H02K5/203;;H02K9/197;;H02K9/19,H02K1/20;;H02K5/20;;H02K9/19;;H02K11/25,,0,0,,,,ACTIVE
6,WO,A1,WO 2022/197543 A1,185-171-593-358-214,2022-09-22,2022,US 2022/0019900 W,2022-03-11,US 202163161164 P;;US 202163209588 P,2021-03-15,ELECTRIC DRIVE UNIT,"An electric drive unit having a multi-phase electric motor and an inverter that controls power to the electric motor. The inverter has an inverter mount, a plurality of power semiconductors that are mounted to the inverter mount, and a plurality of busbars. Each of the busbars has first and second busbar portions, each having a body and a plurality of fingers. The fingers on the first and second busbar portions are mechanically and electrically coupled to opposite sides of terminals on corresponding ones of the power semiconductors.",AMERICAN AXLE & MFG INC,DOWNS JAMES;;VALENTE PAUL;;RONNING JEFFREY;;MORGANTE JOHN;;CRECELIUS DAVID;;HUANG ZUGANG,,https://lens.org/185-171-593-358-214,Patent Application,yes,5,0,8,53,0,H02K11/33;;H02K7/116;;H02K2203/09;;H02M7/003;;H02K7/006;;H02K11/33;;H02K5/203;;H02K5/124;;H02K1/20;;H02K1/16;;H02K5/225;;H02K7/116;;H02M7/003;;H05K7/209;;H02K2203/09;;H02K11/33;;H01L23/367;;H02K5/18;;H02K19/10;;H02M7/003;;H02P27/06;;H02K1/16;;H02K1/20;;H02K5/124;;H02K5/225;;H02K11/30,H02K11/33;;H02K7/00;;H02K7/116;;H02M7/00;;H02M7/44;;H05K7/20,,0,0,,,,PENDING
7,CN,A,CN 116581908 A,030-592-169-598-766,2023-08-11,2023,CN 202310800960 A,2018-11-20,US 201715820934 A;;CN 201811382514 A,2017-11-22,ELECTRIC MOTOR AND STATOR COOLING DEVICE,The invention relates to an electric motor and a stator cooling device. The electric motor may include a stator body defining a fluid passage extending axially for fluid communication between axial ends of the stator body. Conductive windings may form a first ring extending axially outward from a first end of the stator body and a second ring extending axially outward from a second end of the stator body. A first cover may be coupled to a first end of the stator body and may include a first wall. The first wall may be located between the first ring and the channel. A pin may extend from a side of the first wall opposite the first ring. A second cover may be coupled to a second end of the stator body and include a second wall. The second wall may be located between the second ring and the channel. A pin may extend from a side of the second wall opposite the second ring.,AMERICAN AXLE & MFG INC,MORGANTE JOHN;;DOWNS JAMES P;;CRECELIUS DAVID;;VISCHER PETER;;RONNING JEFFREY J,,https://lens.org/030-592-169-598-766,Patent Application,no,0,0,12,12,0,H02K1/20;;H02K5/203;;H02K9/19;;H02K5/04;;H02K11/25;;H02K3/24;;H02K1/20;;H02K5/203;;H02K9/197;;H02K1/20;;H02K11/25;;H02K5/203;;H02K3/24;;H02K5/18;;H02K2205/09;;H02K9/19;;H02K3/14;;H02K9/22;;B60K2001/006;;H02K1/20;;H02K3/24;;H02K5/203;;H02K9/197;;H02K9/19,H02K1/20;;H02K5/04;;H02K5/20;;H02K9/19;;H02K11/25,,0,0,,,,PENDING
8,KR,A,KR 20230117087 A,153-493-486-227-412,2023-08-07,2023,KR 20230098656 A,2023-07-28,US 201715820934 A;;KR 20180142486 A,2017-11-22,ELECTRIC MOTOR AND STATOR COOLING APPARATUS,"전기 모터는 고정자 본체의 축방향 단부들 사이에서의 유체 연통을 위해 축방향으로 연장하는 유체 채널을 형성하는 고정자 본체를 포함할 수 있다. 전도성 권선이 고정자 본체의 제1 단부로부터 축방향 외측으로 연장하는 제1 루프 및 고정자 본체의 제2 단부로부터 축방향 외측으로 연장하는 제2 루프를 형성할 수 있다. 제1 캡이 고정자 본체의 제1 단부에 결합될 수 있고, 제1 벽을 포함할 수 있다. 제1 벽은 제1 루프와 채널 사이에 있을 수 있다. 핀이 제1 루프에 대향하는 제1 벽의 측면으로부터 연장할 수 있다. 제2 캡이 고정자 본체의 제2 단부에 결합될 수 있고, 제2 벽을 포함할 수 있다. 제2 벽은 제2 루프와 채널 사이에 있을 수 있다. 핀은 제2 루프에 대향하는 제2 벽의 측면으로부터 연장할 수 있다.",AMERICAN AXLE & MFG INC,MORGANTE JOHN;;DOWNS JAMES P;;CRECELIUS DAVID;;FISCHER PETER;;RONNING JEFFREY J,,https://lens.org/153-493-486-227-412,Patent Application,no,0,0,12,12,0,H02K1/20;;H02K5/203;;H02K9/19;;H02K5/04;;H02K11/25;;H02K3/24;;H02K1/20;;H02K5/203;;H02K9/197;;H02K1/20;;H02K11/25;;H02K5/203;;H02K3/24;;H02K5/18;;H02K2205/09;;H02K9/19;;H02K3/14;;H02K9/22;;B60K2001/006;;H02K1/20;;H02K3/24;;H02K5/203;;H02K9/197;;H02K9/19,H02K9/19;;B60K1/00;;H02K1/20;;H02K3/14;;H02K3/24;;H02K5/18;;H02K9/22;;H02K11/25,,0,0,,,,PENDING
9,US,A1,US 2021/0184517 A1,182-550-119-497-314,2021-06-17,2021,US 202017128281 A,2020-12-21,US 202017128281 A;;US 201715820934 A,2017-11-22,ELECTRIC MOTOR AND STATOR COOLING APPARATUS,An electric motor can include a stator body defining fluid channels extending axially for fluid communication between axial ends of the stator body. Conductive windings can form first loops extending axially outward from the first end of the stator body and second loops extending axially outward from the second end of the stator body. A first cap can be coupled to the first end of the stator body and can include a first wall. The first wall can be between the first loops and the channels. Pins can extend from a side of the first wall that is opposite the first loops. The second cap can be coupled to the second end of the stator body and include a second wall. The second wall can be between the second loops and the channels. Pins can extend from a side of the second wall that is opposite the second loops.,AMERICAN AXLE & MFG INC,MORGANTE JOHN;;DOWNS JAMES P;;CRECELIUS DAVID;;FISCHER PETER;;RONNING JEFFREY J,,https://lens.org/182-550-119-497-314,Patent Application,yes,0,0,12,12,0,H02K1/20;;H02K5/203;;H02K9/19;;H02K5/04;;H02K11/25;;H02K3/24;;H02K1/20;;H02K5/203;;H02K9/197;;H02K1/20;;H02K11/25;;H02K5/203;;H02K3/24;;H02K5/18;;H02K2205/09;;H02K9/19;;H02K3/14;;H02K9/22;;B60K2001/006;;H02K1/20;;H02K3/24;;H02K5/203;;H02K9/197;;H02K9/19,H02K1/20;;H02K3/24;;H02K5/20,,0,0,,,,ACTIVE
10,US,A1,US 2023/0134328 A1,153-486-406-713-360,2023-05-04,2023,US 202218092227 A,2022-12-31,US 202218092227 A;;US 202017128281 A;;US 201715820934 A,2017-11-22,ELECTRIC MOTOR AND STATOR COOLING APPARATUS,An electric motor can include a stator body defining fluid channels extending axially for fluid communication between axial ends of the stator body. Conductive windings can form first loops extending axially outward from the first end of the stator body and second loops extending axially outward from the second end of the stator body. A first cap can be coupled to the first end of the stator body and can include a first wall. The first wall can be between the first loops and the channels. Pins can extend from a side of the first wall that is opposite the first loops. The second cap can be coupled to the second end of the stator body and include a second wall. The second wall can be between the second loops and the channels. Pins can extend from a side of the second wall that is opposite the second loops.,AMERICAN AXLE & MFG INC,MORGANTE JOHN;;DOWNS JAMES P;;CRECELIUS DAVID;;FISCHER PETER;;RONNING JEFFREY J,,https://lens.org/153-486-406-713-360,Patent Application,yes,4,0,12,12,0,H02K1/20;;H02K5/203;;H02K9/19;;H02K5/04;;H02K11/25;;H02K3/24;;H02K1/20;;H02K5/203;;H02K9/197;;H02K1/20;;H02K11/25;;H02K5/203;;H02K3/24;;H02K5/18;;H02K2205/09;;H02K9/19;;H02K3/14;;H02K9/22;;B60K2001/006;;H02K1/20;;H02K3/24;;H02K5/203;;H02K9/197;;H02K9/19,H02K1/20;;H02K3/24;;H02K5/20,,0,0,,,,PENDING
