"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A,US 5421493 A,181-564-440-235-258,1995-06-06,1995,US 5918593 A,1993-05-06,US 5918593 A;;US 84604292 A,1992-03-05,Method and tool for forming pockets in baseball gloves and softball gloves,"A method and apparatus is described to break in new and old softball and baseball gloves. A glove tool includes a head portion for pounding into the glove pocket and a handle portion for holding the tool. An elongated body portion joins the handle portion to the head portion. The head portion, handle portion, and body portion may be formed separately and connected together with mechanical fasteners. In the preferred embodiment, the tool is an integral piece with the head portion, body portion, and handle portion formed as a single unitary tool.","EBELING, II; JOHN J.",EBELING II JOHN J,,https://lens.org/181-564-440-235-258,Granted Patent,yes,4,15,1,1,0,A63B71/143;;A63B71/143,A63B71/14,223/78;;273/25,2,0,,,"John D. McGuire, The Gloves of Summer , St. Louis Post Dispatch Magazine, p. 7, Mar. 1, 1992.;;Bat Reinforced by Poly Belting The Sporting Goods Dealer Magazine, p. 135, Dec. 1971.",EXPIRED
2,US,A,US 6006962 A,042-065-780-738-592,1999-12-28,1999,US 68814196 A,1996-07-29,US 68814196 A;;US 39800095 A;;US 5918593 A,1993-05-06,Tool for forming pockets in baseball and softball gloves,"A method and apparatus is described to break in new and old softball and baseball gloves. A glove tool includes a head portion for pounding into the glove pocket and a handle portion for holding the tool. An enlogated body portion joins the handle portion to the head portion. The head portion, handle portion, and body portion may be formed seperately and connected together with mechanical fasteners. In the preferred embodiment, the tool is an intergal piece with the head portion, body portion, and handle portion formed as a single unitary tool.","EBELING, II; JOHN J.",EBELING II JOHN J,,https://lens.org/042-065-780-738-592,Granted Patent,yes,17,8,1,1,0,A63B71/143;;A63B71/143,A63B71/14,223/78;;273/25,1,0,,,"Bat Reinforced by Poly Belting The Sporting Goods Dealer Magazine , p. 135, Dec. 1971.",EXPIRED
3,AU,A,AU 1989/038982 A,168-954-674-344-150,1990-02-01,1990,AU 1989/038982 A,1988-07-27,AU 1989/038982 A,1988-07-27,OPTICAL FIBRE LINK FOR SUBMARINE COMMUNICATION SYSTEM,,OVERSEAS TELECOMMUNICATIONS CO,FRIEDGUT MARTIN;;EBELING DAVID JOHN,,https://lens.org/168-954-674-344-150,Patent Application,no,0,0,1,1,0,,G02B6/44;;H01B7/14,,0,0,,,,DISCONTINUED
4,AU,A,AU 1989/038984 A,161-147-774-333-031,1990-02-01,1990,AU 1989/038984 A,1988-07-27,AU 1989/038984 A,1988-07-27,A SUBMARINE OPTICAL FIBRE COMMUNICATION SYSTEM,,OVERSEAS TELECOMMUNICATIONS CO,FRIEDGUT MARTIN;;EBELING DAVID JOHN,,https://lens.org/161-147-774-333-031,Patent Application,no,0,1,1,1,0,,G02B6/44;;H01B7/14,,0,0,,,,DISCONTINUED
5,DE,A1,DE 102007038999 A1,073-419-118-511-115,2009-02-19,2009,DE 102007038999 A,2007-08-17,DE 102007038999 A,2007-08-17,Verfahren zur Steigerung des Durchsatzes und zur Reduzierung der Bewegungsunschärfe,"The method involves imaging and modulating light from light source (2) of two dimensional light modulators (4) with multiple rows of light modulated cells (8). The light modulator is formed over an imaging beam path (11) of light sensitive material (5), which is moved perpendicularly to the direction of the rows of light modulated cells relative to the light modulator with a relative speed. The formation of the data pattern is held during the hold time relative to the light sensitive material in stationary manner. An independent claim is included for an exposing and modulating device for the execution of the method.",PUNCH GRAPHIX PREPRESS GERMANY,HEDDE JOHN;;EBELING GUIDO;;NEBER SASCHA,"XEIKON IP BV, EEDE, NL (2010-10-21)",https://lens.org/073-419-118-511-115,Patent Application,no,6,0,14,14,0,B41J2/465;;B41J2/471;;H04N1/12;;H04N1/195;;H04N2201/0426;;H04N2201/0458;;G03B27/32;;B41J2/465;;H04N2201/0458;;H04N2201/0426;;H04N1/195;;H04N1/12;;B41J2/471,B41C1/00;;G03F7/20;;H04N1/053;;H04N1/195,,0,0,,,,DISCONTINUED
6,AT,T1,AT E525215 T1,069-314-484-932-15X,2011-10-15,2011,AT 08784935 T,2008-07-22,DE 102007038999 A;;EP 2008005970 W,2007-08-17,VERFAHREN ZUR STEIGERUNG DES DURCHSATZES UND ZUR REDUZIERUNG DER BEWEGUNGSUNSCHÄRFE,"The method involves imaging and modulating light from light source (2) of two dimensional light modulators (4) with multiple rows of light modulated cells (8). The light modulator is formed over an imaging beam path (11) of light sensitive material (5), which is moved perpendicularly to the direction of the rows of light modulated cells relative to the light modulator with a relative speed. The formation of the data pattern is held during the hold time relative to the light sensitive material in stationary manner. An independent claim is included for an exposing and modulating device for the execution of the method.",XEIKON IP BV,HEDDE JOHN;;EBELING GUIDO;;NEBER SASCHA,,https://lens.org/069-314-484-932-15X,Granted Patent,no,0,0,14,14,0,B41J2/465;;B41J2/471;;H04N1/12;;H04N1/195;;H04N2201/0426;;H04N2201/0458;;G03B27/32;;B41J2/465;;H04N2201/0458;;H04N2201/0426;;H04N1/195;;H04N1/12;;B41J2/471,,,0,0,,,,ACTIVE
7,WO,A2,WO 2009/024225 A2,056-937-318-088-909,2009-02-26,2009,EP 2008005970 W,2008-07-22,DE 102007038999 A,2007-08-17,METHOD FOR INCREASING THROUGHPUT AND REDUCING BLURRINESS DUE TO MOVEMENT,"The invention relates to a method for illuminating printing plates (5) in which the light from a light source (2) is imaged on a two-dimensional light modulator (4) having a plurality of rows of light-modulated cells (8), and said light is modulated thereby, whereupon the light modulator (4) is imaged on light-sensitive material (5) via an imaging beam path (11), wherein the light-sensitive material (5) is moved relative to the light modulator (4) substantially perpendicularly to the direction of the rows of light-modulated cells (8) at a relative speed and wherein the data pattern to be imaged on the light-sensitive material (5) is displayed beginning in the first row of the light modulator (4) in each row consecutively during a respective exposure time (T, T') and then moved to the subsequent row of the light modulator (4). In order to improve said method, the invention proposes that the image (10) of the data pattern be held substantially stationary relative to the light-sensitive material (5) during the exposure time (T, T').",PUNCH GRAPHIX PREPRESS GERMANY;;HEDDE JOHN;;EBELING GUIDO;;NEBER SASCHA,HEDDE JOHN;;EBELING GUIDO;;NEBER SASCHA,,https://lens.org/056-937-318-088-909,Patent Application,yes,0,0,14,14,0,B41J2/465;;B41J2/471;;H04N1/12;;H04N1/195;;H04N2201/0426;;H04N2201/0458;;G03B27/32;;B41J2/465;;H04N2201/0458;;H04N2201/0426;;H04N1/195;;H04N1/12;;B41J2/471,B41J2/47;;B41J2/465;;H04N1/195,,0,0,,,,PENDING
8,EP,A2,EP 2183114 A2,189-170-646-763-493,2010-05-12,2010,EP 08784935 A,2008-07-22,EP 2008005970 W;;DE 102007038999 A,2007-08-17,METHOD FOR INCREASING THROUGHPUT AND REDUCING BLURRINESS DUE TO MOVEMENT,"The method involves imaging and modulating light from light source (2) of two dimensional light modulators (4) with multiple rows of light modulated cells (8). The light modulator is formed over an imaging beam path (11) of light sensitive material (5), which is moved perpendicularly to the direction of the rows of light modulated cells relative to the light modulator with a relative speed. The formation of the data pattern is held during the hold time relative to the light sensitive material in stationary manner. An independent claim is included for an exposing and modulating device for the execution of the method.",XEIKON IP BV,HEDDE JOHN;;EBELING GUIDO;;NEBER SASCHA,"XEIKON PREPRESS NV, BE (2016-02-17)",https://lens.org/189-170-646-763-493,Patent Application,yes,0,0,14,14,0,B41J2/465;;B41J2/471;;H04N1/12;;H04N1/195;;H04N2201/0426;;H04N2201/0458;;G03B27/32;;B41J2/465;;H04N2201/0458;;H04N2201/0426;;H04N1/195;;H04N1/12;;B41J2/471,B41J2/465;;B41J2/47;;H04N1/195,,0,0,,,,ACTIVE
9,EP,B1,EP 2183114 B1,042-432-582-333-65X,2011-09-21,2011,EP 08784935 A,2008-07-22,EP 2008005970 W;;DE 102007038999 A,2007-08-17,METHOD FOR INCREASING THROUGHPUT AND REDUCING BLURRINESS DUE TO MOVEMENT,"The method involves imaging and modulating light from light source (2) of two dimensional light modulators (4) with multiple rows of light modulated cells (8). The light modulator is formed over an imaging beam path (11) of light sensitive material (5), which is moved perpendicularly to the direction of the rows of light modulated cells relative to the light modulator with a relative speed. The formation of the data pattern is held during the hold time relative to the light sensitive material in stationary manner. An independent claim is included for an exposing and modulating device for the execution of the method.",XEIKON IP BV,HEDDE JOHN;;EBELING GUIDO;;NEBER SASCHA,"XEIKON PREPRESS NV, BE (2016-02-17)",https://lens.org/042-432-582-333-65X,Granted Patent,yes,3,0,14,14,0,B41J2/465;;B41J2/471;;H04N1/12;;H04N1/195;;H04N2201/0426;;H04N2201/0458;;G03B27/32;;B41J2/465;;H04N2201/0458;;H04N2201/0426;;H04N1/195;;H04N1/12;;B41J2/471,B41J2/465;;B41J2/47;;H04N1/195,,0,0,,,,ACTIVE
10,WO,A3,WO 2009/024225 A3,062-098-722-909-951,2009-04-23,2009,EP 2008005970 W,2008-07-22,DE 102007038999 A,2007-08-17,METHOD FOR INCREASING THROUGHPUT AND REDUCING BLURRINESS DUE TO MOVEMENT,"The invention relates to a method for illuminating printing plates (5) in which the light from a light source (2) is imaged on a two-dimensional light modulator (4) having a plurality of rows of light-modulated cells (8), and said light is modulated thereby, whereupon the light modulator (4) is imaged on light-sensitive material (5) via an imaging beam path (11), wherein the light-sensitive material (5) is moved relative to the light modulator (4) substantially perpendicularly to the direction of the rows of light-modulated cells (8) at a relative speed and wherein the data pattern to be imaged on the light-sensitive material (5) is displayed beginning in the first row of the light modulator (4) in each row consecutively during a respective exposure time (T, T') and then moved to the subsequent row of the light modulator (4). In order to improve said method, the invention proposes that the image (10) of the data pattern be held substantially stationary relative to the light-sensitive material (5) during the exposure time (T, T').",PUNCH GRAPHIX PREPRESS GERMANY;;HEDDE JOHN;;EBELING GUIDO;;NEBER SASCHA,HEDDE JOHN;;EBELING GUIDO;;NEBER SASCHA,,https://lens.org/062-098-722-909-951,Search Report,yes,3,0,14,14,0,B41J2/465;;B41J2/471;;H04N1/12;;H04N1/195;;H04N2201/0426;;H04N2201/0458;;G03B27/32;;B41J2/465;;H04N2201/0458;;H04N2201/0426;;H04N1/195;;H04N1/12;;B41J2/471,B41J2/465;;B41J2/47;;H04N1/195,,0,0,,,,PENDING
