"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,WO,A1,WO 2000/064760 A1,099-760-233-010-335,2000-11-02,2000,GB 0001458 W,2000-04-27,GB 9909714 A,1999-04-27,PLANT AND FLOWER TRANSPORTATION UNIT,"A plant and flower transportation unit is disclosed which is adapted to hold several vases filled with fresh flowers in water for transportation to a retail outlet. The transportation unit is, in whole or part, adapted also to serve as a merchandising display unit and transports numerous relatively low-cost vases and/or buckets and/or plant pots and/or fresh cut flowers. The transportation unit is particularly suitable for the delivery of plants and flowers to retail outlets such as supermarkets, florists, hospitals, petrol stations and other convenience outlets.",DISPOSABLE VASE COMPANY UK LTD;;GOLD JONATHAN,GOLD JONATHAN,,https://lens.org/099-760-233-010-335,Patent Application,yes,6,4,2,2,0,B65D5/52;;B65D71/72;;B65D85/505;;B65D85/52,B65D5/52;;B65D71/72;;B65D85/50;;B65D85/52,,0,0,,,,PENDING
2,GB,A,GB 2468969 A,009-078-183-536-753,2010-09-29,2010,GB 201005000 A,2010-03-25,GB 0905374 A,2009-03-28,Dispenser for powder,"A dispenser for use in dispensing a measured portion of a powdered foodstuff, particularly powdered baby milk preparation, comprises a body 10 defining a scoop portion 20 and a dispensing channel 30, the dispensing channel 30 provided with a dispensing outlet 32. Movably mounting to the body and locating within said scoop portion for restricting entry access to a definable part of the scoop portion is divider wall 40. The divider wall 40 is movable from a first measuring position, in which a first measured portion volume is defined in combination by an accessible part of the scoop portion 22 and the divider wall 40, to a dispensing position, in which powder provided to the measured portion volume may flow into the dispensing channel 30 for dispensing through said dispensing outlet 32. Various measuring positions are possible corresponding to different rotated positions of the divider wall which allows for different portion volumes to be defined.",BROTHER MAX LTD,GOLD JONATHAN MORRIS,,https://lens.org/009-078-183-536-753,Patent Application,no,5,3,4,4,0,A61J9/00;;G01F19/002;;G01F19/00;;G01F11/10;;G01F11/24;;G01F19/002,G01F19/00;;A61J9/00,,0,0,,,,DISCONTINUED
3,US,A1,US 2010/0147888 A1,096-539-908-167-559,2010-06-17,2010,US 60085708 A,2008-06-06,GB 0711290 A;;GB 0805622 A;;GB 2008001927 W,2007-06-12,Dispenser for powdered foodstuffs,"There is provided a dispenser for use in dispensing distinct portions of a powdered foodstuff comprising a container ( 10 ) defining an interior in the form of a basin ( 12 ), the basin provided with a dispensing outlet ( 20 ); and receivable by and movable within the basin, an insert ( 50 ) provided with plural open compartments ( 52, 53, 54 ) each for holding a distinct portion of the powdered foodstuff. Each open compartment of the insert is provided with a compartment outlet ( 62, 63, 64 ) arranged such that by moving the insert within the basin one compartment outlet at a time may be brought into registration with the dispensing outlet for dispensing of the distinct portion of the powdered foodstuff held thereby.",GOLD JONATHAN MORRIS,GOLD JONATHAN MORRIS,BROTHER MAX LIMITED (2013-01-15),https://lens.org/096-539-908-167-559,Patent Application,yes,12,4,5,10,0,A47J31/404;;A47J31/404;;A47J47/01;;A47J47/01;;B65D83/06;;B65D83/06;;B65D2583/0495;;B65D2583/0495;;G01F11/24;;G01F11/24,B67D7/78;;B65B39/00,222/144;;141/297,0,0,,,,INACTIVE
4,GB,A,GB 2440933 A,182-426-609-778-786,2008-02-20,2008,GB 0616442 A,2006-08-18,GB 0616442 A,2006-08-18,Feeding bottle for use in feeding liquid foodstuffs to an infant,"There is provided a feeding bottle 101 for use in feeding liquid foodstuffs to an infant comprising a bottle container 110 defining an interior for containing said liquid foodstuffs, and defining a container rim 112; a teat 120 arranged for receipt by said container rim; a fixing ring 130 for reversibly fixing said teat to the container rim; and a sealing disc 140 arranged for reversible receipt between the bottle container and the teat such that in a non-feeding configuration the interior of the bottle container is sealed off from the teat, wherein said feeding bottle further includes a recess 150 for stowed receipt of said sealing disc in a feeding configuration. The recess for receiving the sealing disc may be provided in a lid 160 or in a seperable base (218, fig 6). The sealing disc may be provided with a circular indent 144 and a protrusion 146 in combination to act as a finger-grip.",CATALYST DEVELOPMENTS;;BROTHER MAX LTD,GOLD JONATHAN MORRIS,BROTHER MAX LIMITED (2007-09-12),https://lens.org/182-426-609-778-786,Patent Application,no,4,1,4,4,0,A47G19/22;;A47G19/2266;;A61J9/00;;A61J9/00;;A61J9/08;;A61J11/008;;A61J2200/76;;B65D47/00;;B65D47/06,A47G19/22;;A61J9/00;;B65D47/00;;B65D47/06,B8T TAX           TAX;;B8T TWG           TWG,0,0,,,,INACTIVE
5,GB,B,GB 2424921 B,148-565-431-267-838,2010-03-03,2010,GB 0507223 A,2005-04-09,GB 0507223 A,2005-04-09,Fitting for child safety seat,,GOLD JONATHAN MORRIS;;CANNON BRIDGE HOLDINGS LTD,GOLD JONATHAN MORRIS,,https://lens.org/148-565-431-267-838,Granted Patent,no,11,0,6,6,0,B60N2/2806;;B60N2/2821;;B60N2/2821;;B60N2/286;;B60N2/286;;B60N2/2869;;B60N2/2869;;B60N2/2875;;B60N2/2875;;B60N2/2887;;B60N2/2887;;B60N2/2893;;B60N2/2893;;E05B63/14;;Y10T403/20;;Y10T403/20,B60N2/28;;E05B63/14,,0,0,,,,INACTIVE
6,GB,B,GB 2440933 B,032-681-470-666-307,2011-03-09,2011,GB 0616442 A,2006-08-18,GB 0616442 A,2006-08-18,Infant feeding bottle,,CATALYST DEVELOPMENTS;;BROTHER MAX LTD;;PERFECT PAPER PLANE LTD,GOLD JONATHAN MORRIS,BROTHER MAX LIMITED (2007-09-12),https://lens.org/032-681-470-666-307,Granted Patent,no,5,0,4,4,0,A47G19/22;;A47G19/2266;;A61J9/00;;A61J9/00;;A61J9/08;;A61J11/008;;A61J2200/76;;B65D47/00;;B65D47/06,A47G19/22;;A61J9/00;;B65D47/00;;B65D47/06,,0,0,,,,INACTIVE
7,WO,A1,WO 2008/020201 A1,018-540-252-720-794,2008-02-21,2008,GB 2007003107 W,2007-08-14,GB 0616442 A,2006-08-18,INFANT FEEDING BOTTLE,"There is provided a feeding bottle for use in feeding liquid foodstuffs to an infant comprising a bottle container defining an interior for containing said liquid foodstuffs, and defining a container rim; a teat arranged for receipt by said container rim; a fixing ring for reversibly fixing said teat to the container rim; and a sealing disc arranged for reversible receipt between the bottle container and the teat such that in a non-feeding configuration the interior of the bottle container is sealed off from the teat, wherein said feeding bottle further includes a recess for stowed receipt of said sealing disc in a feeding configuration.",BROTHER MAX LTD;;GOLD JONATHAN MORRIS,GOLD JONATHAN MORRIS,,https://lens.org/018-540-252-720-794,Patent Application,yes,3,1,4,4,0,A47G19/22;;A47G19/2266;;A61J9/00;;A61J9/00;;A61J9/08;;A61J11/008;;A61J2200/76;;B65D47/00;;B65D47/06,A61J9/00;;A61J9/08,,0,0,,,,PENDING
8,GB,B,GB 2280829 B,022-308-625-908-780,1997-10-29,1997,GB 9311775 A,1993-06-08,GB 9311775 A,1993-06-08,Cooking apparatus,,LONDON INST HIGHER EDUCATION C;;GOLD JONATHAN MORRIS,GOLD JONATHAN MORRIS,,https://lens.org/022-308-625-908-780,Granted Patent,no,12,0,3,3,0,F24C15/02;;H05B6/6435;;H05B6/6414;;H05B6/6455;;H05B6/6482;;H05B6/666,F24C15/02;;H05B6/68;;H05B6/80,F4W W8            W8;;G3N NGE1B         GE1B;;G3N N277D         GE1B;;H5H HMAX          HMAX;;H5H HMCR          HMCR;;H5H HMD           HMD;;H5H H302          HMCR;;H5H H304          HMCR;;H5H H309          HMCR;;U1S S2400,0,0,,,,EXPIRED
9,WO,A1,WO 2010/112812 A1,072-381-554-777-57X,2010-10-07,2010,GB 2010000553 W,2010-03-25,GB 0905374 A,2009-03-28,DISPENSER FOR POWDER,"There is provided a dispenser for use in dispensing a measured portion of a powdered foodstuff comprising a body defining a scoop portion and a dispensing channel, the dispensing channel provided with a dispensing outlet; and movably mounting to the body and locating within said scoop portion for restricting entry access to a definable part of the scoop portion, a divider wall. The divider wall is movable from a first measuring position, in which a first measured portion volume is defined in combination by an accessible part of the scoop portion and the divider wall, to a dispensing position, in which powder provided to the measured portion volume may flow into the dispensing channel for dispensing through said dispensing outlet.",BROTHER MAX LTD;;GOLD JONATHAN MORRIS,GOLD JONATHAN MORRIS,,https://lens.org/072-381-554-777-57X,Patent Application,yes,8,0,4,4,0,G01F11/10;;G01F11/24;;G01F19/00;;G01F19/002;;A61J9/00;;G01F19/002,G01F19/00,,0,0,,,,PENDING
10,GB,A,GB 2512813 A,167-699-342-576-535,2014-10-15,2014,GB 201302397 A,2013-02-11,GB 201302397 A,2013-02-11,Electronic thermometer,"An electronic thermometer suitable for use in the measurement of the temperature of a human subject comprises a body 10 on which is a probe head 14 comprising an infrared temperature sensor and display screen 40, an activation button 30 and a mode control button 34 for switching between readings at a forehead and at the ear of a human subject. The probe head may be provided with a flip-up cover 24 which acts to protect the probe head 20 from the ingress of contaminants when the thermometer is not in use. In communication with the infrared temperature sensor is an electronic temperature calculator for receiving infrared sensing data from the infrared temperature sensor and calculating a temperature reading based thereon; and associated with the electronic temperature calculator, a timer that starts a time count on calculation of said temperature reading. The timer is arranged to prevent a subsequent temperature reading being generated until a pre-set time count is reached, thereby establishing a pre-set time delay between the temperature reading and said subsequent temperature reading.",BROTHER MAX LTD,GOLD JONATHAN MORRIS,,https://lens.org/167-699-342-576-535,Patent Application,no,4,0,2,2,0,G01J5/0025;;G01J5/02;;G01J5/0011;;G01J5/026;;G01J5/049;;G01K13/223,G01J5/02;;G01K13/00,,0,0,,,,DISCONTINUED
