"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A,US 4422491 A,008-667-200-930-875,1983-12-27,1983,US 28200881 A,1981-07-10,US 28200881 A,1981-07-10,Collapsible awning frame,"A collapsible awning frame for mounting in front of an opening in a window, door, or the like. The frame receiving an awning thereon. The frame is characterized by having a rigid structure which can withstand high winds. Also, the frame provides sufficient room to allow windows and doors to be opened outwardly for receiving outside air. Further, the frame and awning can be quickly folded adjacent the opening by loosening only a pair of lock screws.",CUSICK III JOSEPH B,CUSICK III JOSEPH B,,https://lens.org/008-667-200-930-875,Granted Patent,yes,8,9,1,1,0,E04F10/04;;E04F10/04,E04F10/04,160 58R;;160/65,0,0,,,,EXPIRED
2,US,B1,US 7274001 B1,104-569-347-230-209,2007-09-25,2007,US 12333805 A,2005-05-06,US 12333805 A;;US 65718505 P,2005-02-28,Cable assembly for arc welding,"A highly durable cable hose assembly for connecting a welding machine to the conductor tube portion of a pressurized air cooled welding torch includes a cable hose, a rear connector portion for connecting to a welding machine and a front connector portion for connecting to the conductor tube. The cable hose portion includes a gas hose for passage of inert gas, a plurality of cooling air tubes for conducting cooling air, conductive stranding for conveying electrical current for arc welding and a flexible outer hose jacket for enclosing the gas hose, the plurality of cooling air tubes and the conductive stranding in a generally tightly bundled fashion.",CUSICK III JOSEPH BAXTER,CUSICK III JOSEPH BAXTER,,https://lens.org/104-569-347-230-209,Granted Patent,yes,18,18,1,1,0,B23K9/173;;B23K9/323;;H01R9/11;;B23K9/323;;B23K9/173;;H01R9/11,B23K9/00;;B23K9/16,219/137.62;;219/137.9,0,0,,,,INACTIVE
3,CA,A,CA 1219043 A,167-030-610-422-424,1987-03-10,1987,CA 480319 A,1985-04-29,US 62085584 A,1984-06-15,WELDING POWER CONDUCTOR ASSEMBLY,"In a welding gun apparatus, an improved electrical power conductor assembly in which electrical conduit wire may be readily secured to a cable connector body while the structural integrity of the conduit wire is maintained. Conduit wire is fastened to the connector body by means of an axially movable connector sleeve which secures The wire against a tapered mandrel on the connector body. A pressure nut threadably adapted to the connector body controls the axial position of the connector sleeve.",TWECO PROD INC,CUSICK JOSEPH B III,,https://lens.org/167-030-610-422-424,Granted Patent,no,0,0,5,5,0,B23K9/282;;B23K9/282,B23K9/32;;B23K9/28;;B23K9/29,327-110,0,0,,,,EXPIRED
4,US,A,US 6005221 A,126-112-397-876-655,1999-12-21,1999,US 12800098 A,1998-08-03,US 12800098 A,1998-08-03,Pressurized air cooled tungsten inert gas welding apparatus,"An improved tungsten insert gas welder, having a means to remove heat energy using pressurized air, and a method for removing the heat away from the welder head area. A source of pressurized air is delivered though a hose to the welder head, and is directed through heat conductive air tubes within the welder head, is forced through a plurality of coils which surround an area that contains heat energy created during the welding process. As the air moves through the coils, it acquires some of the heat energy within the welder head. The heated air is vented into an outer jacket, which contains the electrically conductive cables, and an airspace surrounding the cables. As the heated air moves toward a rear connector block, it contacts the length of the cables, and is able to transfer some of the heat to the cables. This allows some of the heat energy contained within the pressurized air to be transferred through physical contact to the metal cable, so that as the air moves farther along the length of the metal cable, it will lose more of its heat energy, so that it begins to cool, which will cause the heat acquired by the metal cable to move along the length of the cable in the direction of the cooler air toward the rear connector block, thus maximizing the cooling potential of this forced air system.","CUSICK, III; JOSEPH B.",CUSICK III JOSEPH B,,https://lens.org/126-112-397-876-655,Granted Patent,yes,7,27,1,1,0,B23K9/285;;B23K9/296;;B23K9/285;;B23K9/296,B23K9/28;;B23K9/29,219/137.62;;219/137.63,1,0,,,"DF Machine Specialties Inc. Space & Maintenance Manual 702 DF MIG Warecooled Guns, Dec. 5, 1972.",EXPIRED
5,US,A,US 4544827 A,023-848-601-095-395,1985-10-01,1985,US 62085584 A,1984-06-15,US 62085584 A,1984-06-15,Welding power conductor assembly,"In a welding gun apparatus, an improved electrical power conductor assembly in which electrical conduit wire may be readily secured to a cable connector body while the structural integrity of the conduit wire is maintained. Conduit wire is fastened to the connector body by means of an axially movable connector sleeve which secures the wire against a tapered mandrel on the connector body. A pressure nut threadably adapted to the connector body controls the axial position of the connector sleeve.",TWECO PROD INC,CUSICK III JOSEPH B,VICTOR EQUIPMENT COMPANY (2007-12-20);;TWECO PRODUCTS INC (2004-02-05);;TWECO PRODUCTS INC. 4200 WEST HARRY WICHITA KN. A CORP (1984-06-11),https://lens.org/023-848-601-095-395,Granted Patent,yes,3,11,5,5,0,B23K9/282;;B23K9/282,B23K9/28;;B23K9/32;;B23K9/29,219/137.63;;174/89;;219/137.9,0,0,,,,EXPIRED
6,US,A,US 5248868 A,194-860-486-344-917,1993-09-28,1993,US 88693192 A,1992-05-22,US 88693192 A,1992-05-22,Melding gun,"An air cooled welding gun assembly adapted to be operatively connected to an electrical power, shielding gas, and weld wire feed mechanism through a cable assembly and a connector assembly. The welding gun assembly includes a front connector block having a plurality of open recesses or channels wherethrough pressurized air is conveyed, and the connector assembly includes a rear connector block. Power, gas and cooling air are contained within the cable assembly and intercommunicate the connector block of the welding gun assembly with the rear connector block of the connector assembly. The welding gun assembly also includes an air cooled nozzle assembly. In one embodiment of the air cooled welding gun assembly, a hand held air cooled welding gun assembly is provided. In another embodiment, a robotic air cooled welding gun assembly is provided. In both embodiments, pressurized and refrigerated air cools non-insulated conductor wires along with cooling a rear connector assembly, a cable assembly, a front connector assembly or handle assembly, a conductor tube assembly, and a nozzle assembly.",CUSICK III JOSEPH B,CUSICK III JOSEPH B,,https://lens.org/194-860-486-344-917,Granted Patent,yes,4,26,1,1,0,B23K9/285;;B23K9/295;;B23K9/285;;B23K9/295,B23K9/28;;B23K9/29,219/137.62;;219/136,0,0,,,,EXPIRED
7,US,B1,US 6586708 B1,158-860-836-333-607,2003-07-01,2003,US 94552501 A,2001-09-04,US 94552501 A,2001-09-04,Water vapor cooled nozzle used in the MIG and TIG arc welding process,"
    An improved welding apparatus, for use with a MIG apparatus, or a tungsten rod in a TIG apparatus. A nozzle housing, having an outer shroud, defines an airspace, which receives an injection of water vapor mist. The water vapor mist, when directed into the airspace in the nozzle housing, contacts the heated nozzle housing surface, and is then able to absorb the heat energy from the nozzle housing surface. When the water vapor mist absorbs heat energy, it undergoes a phase change from atomized water into steam. The steam is allowed to exit out of the rear portion of the rear of the nozzle assembly. 

    The phase change of water to steam provides a significant heat transfer, due to the latent heat energy absorption capability of the water that is required to convert it from a liquid state to a gaseous state. This cooling apparatus, and method of cooling, both utilize a minimal amount of water usage, and also dramatically extends the usable life of the welding apparatus. 
","CUSICK, III JOSEPH B.",CUSICK III JOSEPH B,,https://lens.org/158-860-836-333-607,Granted Patent,yes,9,15,1,1,0,B23K9/285;;B23K9/285;;B23K9/295;;B23K9/295;;B23K9/296;;B23K9/296,B23K9/28;;B23K9/29,219/137.62;;219/74;;219/75,0,0,,,,EXPIRED
8,AU,A1,AU 2004/200326 A1,019-578-869-300-685,2004-08-19,2004,AU 2004/200326 A,2004-01-30,US 35625503 A,2003-01-31,Universal alignment guide,"A universal alignment guide for universally positioning an instrument with respect to a bone to facilitate resecting the bone along desired orientations. The alignment guide comprises a spheroidal base and a collar coupled to the base in a manner to allow universal motion of the collar with respect to the base. The base of the alignment guide is attached to a bone anchor implanted in a bone, and the collar is attached to an instrument, such as a resection guide. With respect to a distal femur, the alignment guide facilitates simultaneous positioning and locking of the resection guide in flexion/extension, varus/valgus, internal/external rotation, and proximal/distal orientations. <IMAGE>",HOWMEDICA OSTEONICS CORP,CUSICK MICHAEL JOSEPH;;NEMEC MARK,,https://lens.org/019-578-869-300-685,Patent Application,no,0,1,9,9,0,A61B17/15;;A61B17/155;;A61B34/20;;A61B17/155;;A61B17/15;;A61B34/20,A61B17/15;;A61B19/00,,0,0,,,,DISCONTINUED
9,AU,A1,AU 2004/200387 A1,189-557-926-733-850,2004-08-19,2004,AU 2004/200387 A,2004-02-03,US 44489103 P,2003-02-04,Apparatus for aligning an instrument during a surgical procedure,An apparatus for aligning a cutting instrument during a surgical procedure includes a guide having an elongated slot adapted to receive a cutting instrument for resecting a patient's bone during the surgical procedure. The apparatus includes a translational assembly and first and second rotational assemblies. The translational assembly is coupled to a housing adapted for effecting distal-proximal adjustment of the guide. The first rotational assembly is also coupled to the housing adapted for effecting varus-valgus adjustment of the guide. The first rotational assembly is releasably coupled to the guide. The second rotational assembly is also coupled to the guide and adapted for effecting flexon-extension adjustment of the guide. <IMAGE>,HOWMEDICA OSTEONICS CORP,CUSICK MICHAEL JOSEPH;;RUBER JENS,,https://lens.org/189-557-926-733-850,Patent Application,no,0,0,11,11,0,A61B17/154;;A61B17/155;;A61B17/157;;A61B2034/2055;;A61B34/20;;A61B2090/067;;A61B90/39;;A61B17/155;;A61B17/154;;A61B17/157;;A61B2034/2055;;A61B90/39;;A61B34/20;;A61B2090/067,A61B17/15;;A61B19/00,,0,0,,,,EXPIRED
10,AU,B2,AU 2004/200387 B2,118-665-262-695-371,2009-06-04,2009,AU 2004/200387 A,2004-02-03,US 44489103 P,2003-02-04,Apparatus for aligning an instrument during a surgical procedure,,HOWMEDICA OSTEONICS CORP,RUBER JENS;;CUSICK MICHAEL JOSEPH,,https://lens.org/118-665-262-695-371,Granted Patent,no,2,0,11,11,0,A61B17/154;;A61B17/155;;A61B17/157;;A61B2034/2055;;A61B34/20;;A61B2090/067;;A61B90/39;;A61B17/155;;A61B17/154;;A61B17/157;;A61B2034/2055;;A61B90/39;;A61B34/20;;A61B2090/067,A61B17/15;;A61B19/00,,0,0,,,,EXPIRED
