"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A,US 1275853 A,150-080-561-707-818,1918-08-13,1918,US 19853017 A,1917-10-25,US 19853017 A,1917-10-25,BRAKE-SHOE.,,COOK JUDSON,COOK JUDSON,,https://lens.org/150-080-561-707-818,Granted Patent,no,0,0,1,1,0,F16D65/062;;F16D65/062,,,0,0,,,,EXPIRED
2,US,A,US 1063777 A,124-109-989-476-698,1913-06-03,1913,US 1912/0678452 A,1912-02-19,US 1912/0678452 A,1912-02-19,REINFORCED BRAKE-SHOE.,,COOK JUDSON,COOK JUDSON,,https://lens.org/124-109-989-476-698,Granted Patent,no,0,0,1,1,0,F16D65/062;;F16D65/062,,,0,0,,,,EXPIRED
3,US,A,US 820625 A,118-770-465-958-180,1906-05-15,1906,US 1905/0265897 A,1905-06-19,US 1905/0265897 A,1905-06-19,HAIR-PIN.,,COOK JUDSON,COOK JUDSON,,https://lens.org/118-770-465-958-180,Granted Patent,no,0,1,1,1,0,A45D8/06;;A45D8/06,,,0,0,,,,EXPIRED
4,US,A,US 1237479 A,177-440-974-081-776,1917-08-21,1917,US 17825417 A,1917-07-02,US 17825417 A,1917-07-02,BRAKE-SHOE.,,COOK JUDSON,COOK JUDSON,,https://lens.org/177-440-974-081-776,Granted Patent,no,0,0,1,1,0,F16D65/062;;F16D65/062,,,0,0,,,,EXPIRED
5,US,A,US 1006359 A,170-074-921-094-563,1911-10-17,1911,US 1911/0625281 A,1911-05-05,US 1911/0625281 A,1911-05-05,METAL CORNER-BAR.,,THOMAS CRAWFORD JR;;COOK JUDSON,COOK JUDSON,,https://lens.org/170-074-921-094-563,Granted Patent,no,0,0,1,1,0,E01F1/00;;E01F1/00,,,0,0,,,,EXPIRED
6,US,A,US 1225583 A,045-918-933-471-640,1917-05-08,1917,US 14153817 A,1917-01-10,US 14153817 A,1917-01-10,BRAKE-SHOE.,,COOK JUDSON,COOK JUDSON,,https://lens.org/045-918-933-471-640,Granted Patent,no,0,0,1,1,0,F16D65/062;;F16D65/062,,,0,0,,,,EXPIRED
7,US,A,US 1290098 A,100-463-177-843-043,1919-01-07,1919,US 25580718 A,1918-09-26,US 25580718 A,1918-09-26,ANTIRATTLER BRAKE-SHOE.,,COOK JUDSON,COOK JUDSON,,https://lens.org/100-463-177-843-043,Granted Patent,no,0,0,1,1,0,F16D65/062;;F16D65/062,,,0,0,,,,EXPIRED
8,US,A,US 1173700 A,161-404-178-236-416,1916-02-29,1916,US 7210316 A,1916-01-14,US 7210316 A,1916-01-14,BRAKE-SHOE.,,COOK JUDSON,COOK JUDSON,,https://lens.org/161-404-178-236-416,Granted Patent,no,0,0,1,1,0,F16D65/062;;F16D65/062,F16D65/06,,0,0,,,,EXPIRED
9,US,A,US 804101 A,125-856-010-778-889,1905-11-07,1905,US 1904/0276773 A,1904-07-28,US 1904/0276773 A,1904-07-28,CURTAIN HOLDER AND ADJUSTER.,,CURTAIN SUPPLY CO,COOK JUDSON,,https://lens.org/125-856-010-778-889,Granted Patent,no,0,0,1,1,0,F25D25/027;;F25D25/027,,,0,0,,,,EXPIRED
10,US,A,US 877055 A,029-147-374-425-791,1908-01-21,1908,US 1907/0372511 A,1907-05-08,US 1907/0372511 A,1907-05-08,REINFORCED BRAKE-SHOE.,,COOK JUDSON,COOK JUDSON,,https://lens.org/029-147-374-425-791,Granted Patent,no,0,1,1,1,0,F16D65/062;;F16D65/062,,,0,0,,,,EXPIRED
