"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,WO,A2,WO 2012/158700 A2,038-353-178-231-926,2012-11-22,2012,US 2012/0037959 W,2012-05-15,US 201213471628 A;;US 201161487268 P,2011-05-17,EXTENDED REACH RECHARGEABLE LIGHTING SYSTEMS,"Lighting systems for remote placement and powering of a lighting device. The lighting systems include a lighting device for placement on a wall or ceiling and an external power supply selectively attachable to and detachable from the lighting device. The lighting device includes a power receiving structure that receives power from the external power supply and delivers electrical power to a rechargeable battery and/or light source. The external power supply includes a corresponding power delivery structure that delivers power to the power receiving structure of the lighting device. The power receiving and delivery structures may constitute an inductive power transfer system composed of one or more batteries or capacitors, a DC-to-AC inverter, electromagnetic power transfer and receiving coils, and an AC-to-DC converter or rectifier. Alternatively, the power receiving and delivering structures may constitute direct electrical contacts.",VERSALITE ASSOCIATES LLC;;DOWDY RANDAL A;;DOWDY TRACY J;;PENDLETON JUSTIN D,DOWDY RANDAL A;;DOWDY TRACY J;;PENDLETON JUSTIN D,,https://lens.org/038-353-178-231-926,Patent Application,no,0,0,4,4,0,F21S8/04;;F21S8/04;;F21S9/02;;F21S9/02;;F21V17/105;;F21V17/105;;F21W2131/304;;F21W2131/304;;H05B47/175;;H05B47/175,,,0,0,,,,PENDING
2,US,B2,US 9133994 B2,126-692-088-086-08X,2015-09-15,2015,US 201213471628 A,2012-05-15,US 201213471628 A;;US 201161487268 P,2011-05-17,Extended reach recharegable lighting systems,"Lighting systems for remote placement and powering of a lighting device. The lighting systems include a lighting device for placement on a wall or ceiling and an external power supply selectively attachable to and detachable from the lighting device. The lighting device includes a power receiving structure that receives power from the external power supply and delivers electrical power to a rechargeable battery and/or light source. The external power supply includes a corresponding power delivery structure that delivers power to the power receiving structure of the lighting device. The power receiving and delivery structures may constitute an inductive power transfer system composed of one or more batteries or capacitors, a DC-to-AC inverter, electromagnetic power transfer and receiving coils, and an AC-to-DC convertor or rectifier. Alternatively, the power receiving and delivering structures may constitute direct electrical contacts.",DOWDY RANDAL A;;DOWDY TRACY J;;PENDLETON JUSTIN D;;VERSALITE ASSOCIATES LLC,DOWDY RANDAL A;;DOWDY TRACY J;;PENDLETON JUSTIN D,VERSALITE ASSOCIATES LLC (2012-05-14),https://lens.org/126-692-088-086-08X,Granted Patent,yes,26,9,4,4,0,F21S8/04;;F21S8/04;;F21S9/02;;F21S9/02;;F21V17/105;;F21V17/105;;F21W2131/304;;F21W2131/304;;H05B47/175;;H05B47/175,H05B41/26;;F21S8/04;;F21S9/02;;F21V17/10;;F21W131/304;;H05B37/00,,9,0,,,"Fraen Srl FT3 Lens Series Brochsures, Fraen Corporation, Reading, MA, Nov. 30, 2003, 6pp. (Copy attached).;;Market Analysis Report, LJM Associates, Manhattan Beach, CA, May 5, 2005, pp. 5-8 (Copy attached).;;Luxeon Technical Data Sheet DS47, Lumileds Lighting, US, LLC, San Jose, CA, 12p., Sep. 19, 2004 (Copy attached).;;International Search Report, PCT/US06/04110,dated Jan. 28, 2008 (Copy attached).;;U.S. Appl. No. 11/345,814, filed Jul. 26, 2007, Office Action.;;U.S. Appl. No. 11/345,817, filed Jan. 30, 2008, Office Action.;;U.S. Appl. No. 11/345,817, filed Sep. 8, 2008, Office Action.;;U.S. Appl. No. 11/345,817, filed Jun. 19, 2009, Notice of Allowance.;;U.S. Appl. No. 12/567,468, filed Mar. 24, 2010, Notice of Allowance.",INACTIVE
3,US,A1,US 2012/0293068 A1,018-335-046-546-198,2012-11-22,2012,US 201213471628 A,2012-05-15,US 201213471628 A;;US 201161487268 P,2011-05-17,EXTENDED REACH RECHAREGABLE LIGHTING SYSTEMS,"Lighting systems for remote placement and powering of a lighting device. The lighting systems include a lighting device for placement on a wall or ceiling and an external power supply selectively attachable to and detachable from the lighting device. The lighting device includes a power receiving structure that receives power from the external power supply and delivers electrical power to a rechargeable battery and/or light source. The external power supply includes a corresponding power delivery structure that delivers power to the power receiving structure of the lighting device. The power receiving and delivery structures may constitute an inductive power transfer system composed of one or more batteries or capacitors, a DC-to-AC inverter, electromagnetic power transfer and receiving coils, and an AC-to-DC convertor or rectifier. Alternatively, the power receiving and delivering structures may constitute direct electrical contacts.",DOWDY RANDAL A;;DOWDY TRACY J;;PENDLETON JUSTIN D;;VERSALITE ASSOCIATES LLC,DOWDY RANDAL A;;DOWDY TRACY J;;PENDLETON JUSTIN D,VERSALITE ASSOCIATES LLC (2012-05-14),https://lens.org/018-335-046-546-198,Patent Application,yes,2,3,4,4,0,F21S8/04;;F21S8/04;;F21S9/02;;F21S9/02;;F21V17/105;;F21V17/105;;F21W2131/304;;F21W2131/304;;H05B47/175;;H05B47/175,H05B37/00,315/34,0,0,,,,INACTIVE
4,US,B1,US 10541546 B1,149-070-226-409-51X,2020-01-21,2020,US 201715680566 A,2017-08-18,US 201715680566 A;;US 201662379551 P,2016-08-25,System and apparatus for providing power to remote electronic devices,"Embodiments are directed to systems and apparatuses for providing power to remote electronic devices. In one scenario, a system is provided which includes a sconce body. The sconce body includes a proximal side that allows placement adjacent to a wall, ceiling or surface, a distal side having an exterior surface, a cavity that slidably receives and encloses a removable power source, and an electronic device on or within the sconce body. The electronic device electrically connects to and is powered by the removable power source. The removable power source of the system can be slidably received within and enclosed by the cavity of the sconce body. The system also includes a wand that is attachable to and detachable from the removable power source. The wand has a specified length and is configured to provide for selective attachment of the removable power source to and removal from the sconce body.",VERSALITE ASS LLC,DOWDY RANDAL A;;DOWDY TRACY J;;PENDLETON JUSTIN D,VERSALITE ASSOCIATES LLC (2017-08-17),https://lens.org/149-070-226-409-51X,Granted Patent,yes,47,1,1,1,0,H02J7/0045;;H02J7/0045;;H01F7/0252;;H01F7/0257;;H02J7/00;;H02J50/10;;H02J50/10,H02J7/00;;H01F7/02;;H02J50/10,,4,0,,,"Fraen Srl FT3 Lens Series Brochures, Fraen Corporation, Reading, MA, Nov. 30, 2008, 6 pages.;;Market Analysis Report, LJM Associates, Manhattan Beach, CA, May 5, 2005, pp. 5-8.;;Luxeon Technical Data Sheet DS47, Lumileds Lighting, US, LLC, San Jose, CA, Sep. 19, 2004, 12 pages.;;International Search Report, PCT/US2006/04110 dated Jan. 28, 2008.",INACTIVE
5,WO,A3,WO 2012/158700 A3,069-611-383-938-510,2013-01-03,2013,US 2012/0037959 W,2012-05-15,US 201213471628 A;;US 201161487268 P,2011-05-17,EXTENDED REACH RECHARGEABLE LIGHTING SYSTEMS,"Lighting systems for remote placement and powering of a lighting device. The lighting systems include a lighting device for placement on a wall or ceiling and an external power supply selectively attachable to and detachable from the lighting device. The lighting device includes a power receiving structure that receives power from the external power supply and delivers electrical power to a rechargeable battery and/or light source. The external power supply includes a corresponding power delivery structure that delivers power to the power receiving structure of the lighting device. The power receiving and delivery structures may constitute an inductive power transfer system composed of one or more batteries or capacitors, a DC-to-AC inverter, electromagnetic power transfer and receiving coils, and an AC-to-DC converter or rectifier. Alternatively, the power receiving and delivering structures may constitute direct electrical contacts.",VERSALITE ASSOCIATES LLC;;DOWDY RANDAL A;;DOWDY TRACY J;;PENDLETON JUSTIN D,DOWDY RANDAL A;;DOWDY TRACY J;;PENDLETON JUSTIN D,,https://lens.org/069-611-383-938-510,Search Report,yes,4,0,4,4,0,F21S8/04;;F21S8/04;;F21S9/02;;F21S9/02;;F21V17/105;;F21V17/105;;F21W2131/304;;F21W2131/304;;H05B47/175;;H05B47/175,F21V23/00;;F21V21/002,,0,0,,,,PENDING
6,WO,A2,WO 2006/086308 A2,076-465-317-649-818,2006-08-17,2006,US 2006/0004110 W,2006-02-06,US 65053605 P;;US 34581706 A,2005-02-08,VERSATILE LIGHTING DEVICE,A wall or ceiling mountable lighting device (100) comprises a self-contained single or multiple LED light source (218) for emitting warm yellow-white light corresponding to halogen or incandescent light and a control circuit (202) controlled by a remote control unit (212) to energize and deenergize the light source (218) and control light intensity. A rechargeable battery power source (204) mounted on the lighting device (100) is connectable to apparatus for charging the battery (204) without removing the battery (204) from the device. The apparatus includes an elongated probe (210) assembly releasably connectable to the lighting device (100) to perform the recharging process. The lighting device (100) is particularly adapted for ease of placement of a light source (218) for decorative purposes and/or illuminating artifacts in locations which would require substantial structural modifications to install conventional lighting.,DOWDY RANDAL A;;GUYER JEFFREY A;;PENDLETON JUSTIN D;;RODERMAN BRIAN L;;TANNER ERIC A,DOWDY RANDAL A;;GUYER JEFFREY A;;PENDLETON JUSTIN D;;RODERMAN BRIAN L;;TANNER ERIC A,,https://lens.org/076-465-317-649-818,Patent Application,yes,0,6,6,8,0,F21S9/02;;F21V14/06;;F21V21/15;;F21V23/0435;;F21W2131/304;;F21W2131/308;;F21Y2115/10;;F21S9/02;;F21V21/15;;F21V23/0435;;F21V14/06;;F21W2131/308;;F21W2131/304;;F21Y2115/10,F21L4/00,,0,0,,,,PENDING
7,US,B2,US 7772801 B2,136-663-766-967-223,2010-08-10,2010,US 56746809 A,2009-09-25,US 56746809 A;;US 34581706 A;;US 65053605 P,2005-02-08,Versatile lighting device,A wall or ceiling mountable lighting device comprises a self-contained single or multiple LED light source for emitting warm yellow-white light corresponding to halogen or incandescent light and a control circuit controlled by a remote control unit to energize and deenergize the light source and control light intensity. A rechargeable battery power source mounted on the lighting device is connectable to the apparatus for charging the battery without removing the battery from the device. The apparatus includes an elongated probe assembly releasably connectable to the lighting device to perform the recharging process. The lighting device is particularly adapted for ease of placement of a light source for decorative purposes and/or illuminating artifacts in locations which would require substantial structural modifications to install conventional lighting.,VERSALITE ASSOCIATES,DOWDY RANDAL A;;GUYER JEFFREY A;;PENDLETON JUSTIN D;;RODERMAN BRIAN L;;TANNER ERIC A,VERSALITE ASSOCIATES LLC (2012-11-04);;DOWDY RANDAL A (2006-02-21);;VERSALITE ASSOCIATES (2009-08-19),https://lens.org/136-663-766-967-223,Granted Patent,yes,26,5,6,8,0,F21S9/02;;F21V14/06;;F21V21/15;;F21V23/0435;;F21W2131/304;;F21W2131/308;;F21Y2115/10;;F21S9/02;;F21V21/15;;F21V23/0435;;F21V14/06;;F21W2131/308;;F21W2131/304;;F21Y2115/10,H02J7/00,320/107;;320/115,8,0,,,"Fraen Srl FT3 Lens Series Brochures, Fraen Corporation, Reading, MA, Nov. 30, 2003, 6pp.;;Market Analysis Report, LJM Associates, Manhattan Beach, CA, May 5, 2005, pp. 5-8.;;Luxeon Technical Data Sheet DS47, Lumileds Lighting, US, LLC, San Jose, CA, 12p., Sep. 19, 2004.;;International Search Report, PCT/US06/04110, dated Jan. 28, 2008.;;Office Action mailed Jul. 26, 2007 cited in U.S. Appl. No. 11/345,817.;;Office Action mailed Jan. 30, 2008 cited in U.S. Appl. No. 11/345,817.;;Office Action mailed Sep. 8, 2008 cited in U.S. Appl. No. 11/345,817.;;Notice of Allowance mailed Jun. 19, 2009 cited in U.S. Appl. No. 11/345,817.",INACTIVE
8,US,A1,US 2006/0176689 A1,082-362-860-370-494,2006-08-10,2006,US 34581706 A,2006-02-02,US 34581706 A;;US 65053605 P,2005-02-08,Versatile lighting device,A wall or ceiling mountable lighting device comprises a self-contained single or multiple LED light source for emitting warm yellow-white light corresponding to halogen or incandescent light and a control circuit controlled by a remote control unit to energize and deenergize the light source and control light intensity. A rechargeable battery power source mounted on the lighting device is connectable to apparatus for charging the battery without removing the battery from the device. The apparatus includes an elongated probe assembly releasably connectable to the lighting device to perform the recharging process. The lighting device is particularly adapted for ease of placement of a light source for decorative purposes and/or illuminating artifacts in locations which would require substantial structural modifications to install conventional lighting.,DOWDY RANDAL A;;GUYER JEFFREY A;;PENDLETON JUSTIN D;;RODERMAN BRIAN L;;TANNER ERIC A,DOWDY RANDAL A;;GUYER JEFFREY A;;PENDLETON JUSTIN D;;RODERMAN BRIAN L;;TANNER ERIC A,VERSALITE ASSOCIATES LLC (2012-11-04);;DOWDY RANDAL A (2006-02-21);;VERSALITE ASSOCIATES (2009-08-19),https://lens.org/082-362-860-370-494,Patent Application,yes,13,80,6,8,0,F21S9/02;;F21V14/06;;F21V21/15;;F21V23/0435;;F21W2131/304;;F21W2131/308;;F21Y2115/10;;F21S9/02;;F21V21/15;;F21V23/0435;;F21V14/06;;F21W2131/308;;F21W2131/304;;F21Y2115/10,F21L4/00,362/188,0,0,,,,INACTIVE
9,US,A1,US 2010/0039063 A1,143-812-881-935-710,2010-02-18,2010,US 56746809 A,2009-09-25,US 56746809 A;;US 34581706 A;;US 65053605 P,2005-02-08,VERSATILE LIGHTING DEVICE,A wall or ceiling mountable lighting device comprises a self-contained single or multiple LED light source for emitting warm yellow-white light corresponding to halogen or incandescent light and a control circuit controlled by a remote control unit to energize and deenergize the light source and control light intensity. A rechargeable battery power source mounted on the lighting device is connectable to apparatus for charging the battery without removing the battery from the device. The apparatus includes an elongated probe assembly releasably connectable to the lighting device to perform the recharging process. The lighting device is particularly adapted for ease of placement of a light source for decorative purposes and/or illuminating artifacts in locations which would require substantial structural modifications to install conventional lighting.,VERSALITE ASSOCIATES,DOWDY RANDAL A;;GUYER JEFFREY A;;PENDLETON JUSTIN D;;RODERMAN BRIAN L;;TANNER ERIC A,VERSALITE ASSOCIATES LLC (2012-11-04);;DOWDY RANDAL A (2006-02-21);;VERSALITE ASSOCIATES (2009-08-19),https://lens.org/143-812-881-935-710,Patent Application,yes,24,4,6,8,0,F21S9/02;;F21V14/06;;F21V21/15;;F21V23/0435;;F21W2131/304;;F21W2131/308;;F21Y2115/10;;F21S9/02;;F21V21/15;;F21V23/0435;;F21V14/06;;F21W2131/308;;F21W2131/304;;F21Y2115/10,H02J7/00;;H01M10/46,320/101;;320/107;;320/126,0,0,,,,INACTIVE
10,US,B2,US 7604370 B2,154-806-793-163-210,2009-10-20,2009,US 34581706 A,2006-02-02,US 34581706 A;;US 65053605 P,2005-02-08,Versatile lighting device,A wall or ceiling mountable lighting device comprises a self-contained single or multiple LED light source for emitting warm yellow-white light corresponding to halogen or incandescent light and a control circuit controlled by a remote control unit to energize and deenergize the light source and control light intensity. A rechargeable battery power source mounted on the lighting device is connectable to apparatus for charging the battery without removing the battery from the device. The apparatus includes an elongated probe assembly releasably connectable to the lighting device to perform the recharging process. The lighting device is particularly adapted for ease of placement of a light source for decorative purposes and/or illuminating artifacts in locations which would require substantial structural modifications to install conventional lighting.,VERSALITE ASSOCIATES,DOWDY RANDAL A;;GUYER JEFFREY A;;PENDLETON JUSTIN D;;RODERMAN BRIAN L;;TANNER ERIC A,VERSALITE ASSOCIATES LLC (2012-11-04);;DOWDY RANDAL A (2006-02-21);;VERSALITE ASSOCIATES (2009-08-19),https://lens.org/154-806-793-163-210,Granted Patent,yes,23,45,6,8,0,F21S9/02;;F21V14/06;;F21V21/15;;F21V23/0435;;F21W2131/304;;F21W2131/308;;F21Y2115/10;;F21S9/02;;F21V21/15;;F21V23/0435;;F21V14/06;;F21W2131/308;;F21W2131/304;;F21Y2115/10,F21L4/00,362/199;;362/233,4,0,,,"Fraen Srl FT3 Lens Series Brochures, Fraen Corporation, Reading, MA, Nov. 30, 2003, 6 pp.;;Market Analysis Report,LJM Associates, Manhattan Beach, CA, May 5, 2005, pp. 5-8.;;Luxeon Technical Data Sheet DS47, Lumileds Lighting, US, LLC, San Jose, CA, 12 p., Sep. 19, 2004.;;International Search Report, PCT/US06/04110, dated Jan. 28, 2008.",INACTIVE
